,subjID,hemi,d_bin,d,index,condition,beta
0,pnr256,lh,5,0.74,294,odss,-1.27484727
1,pnr256,lh,4,0.63,450,odss,-1.4685802500000005
2,pnr256,lh,4,0.64,451,odss,-1.82868004
3,pnr256,lh,1,0.23,576,odss,-0.011409989999999759
4,pnr256,lh,1,0.23,577,odss,1.4244978400000003
5,pnr256,lh,2,0.4,594,odss,0.7281590699999998
6,pnr256,lh,3,0.41,595,odss,0.5294812900000001
7,pnr256,lh,3,0.43,596,odss,-0.06161927999999994
8,pnr256,lh,4,0.58,610,odss,0.8635704500000001
9,pnr256,lh,4,0.62,612,odss,2.13017606
10,pnr256,lh,1,0.21,723,odss,-0.15597938999999972
11,pnr256,lh,1,0.24,724,odss,0.5291900600000004
12,pnr256,lh,1,0.26,725,odss,-0.1679935400000001
13,pnr256,lh,2,0.36,741,odss,0.59488845
14,pnr256,lh,2,0.39,742,odss,0.09198402999999988
15,pnr256,lh,3,0.45,744,odss,-0.40707921999999996
16,pnr256,lh,4,0.55,759,odss,1.54811049
17,pnr256,lh,4,0.58,760,odss,1.7832522400000004
18,pnr256,lh,4,0.6,761,odss,1.26866198
19,pnr256,lh,4,0.64,762,odss,-0.16181278999999993
20,pnr256,lh,5,0.71,778,odss,0.2470569600000001
21,pnr256,lh,0,0.14,838,odss,1.04887783
22,pnr256,lh,1,0.18,855,odss,1.9590766400000006
23,pnr256,lh,1,0.22,856,odss,0.8697261799999998
24,pnr256,lh,1,0.26,857,odss,-1.22083676
25,pnr256,lh,2,0.35,875,odss,1.89166563
26,pnr256,lh,2,0.4,876,odss,-0.6128263500000002
27,pnr256,lh,3,0.44,877,odss,-0.16641903000000013
28,pnr256,lh,3,0.47,878,odss,-0.44816447000000004
29,pnr256,lh,3,0.5,879,odss,1.09528869
30,pnr256,lh,3,0.5,880,odss,1.7287828899999997
31,pnr256,lh,4,0.59,895,odss,1.1809721
32,pnr256,lh,4,0.64,897,odss,0.91763306
33,pnr256,lh,5,0.72,914,odss,-2.0527479599999996
34,pnr256,lh,5,0.7,915,odss,0.03205466000000001
35,pnr256,lh,1,0.17,963,odss,2.1077549500000003
36,pnr256,lh,1,0.21,964,odss,0.3238127300000002
37,pnr256,lh,1,0.22,965,odss,0.38189006000000014
38,pnr256,lh,1,0.21,966,odss,-0.2880035699999999
39,pnr256,lh,1,0.19,967,odss,1.56758988
40,pnr256,lh,0,0.15,968,odss,0.884341
41,pnr256,lh,1,0.18,980,odss,0.5491306699999998
42,pnr256,lh,1,0.23,981,odss,2.2630815500000003
43,pnr256,lh,1,0.28,982,odss,-0.46038580000000007
44,pnr256,lh,2,0.34,983,odss,-0.04422139999999963
45,pnr256,lh,2,0.38,984,odss,-0.3008096199999999
46,pnr256,lh,2,0.4,985,odss,1.5915851600000002
47,pnr256,lh,2,0.38,986,odss,0.3313229
48,pnr256,lh,2,0.35,987,odss,-0.04110144999999976
49,pnr256,lh,2,0.31,988,odss,-1.16093159
50,pnr256,lh,3,0.41,1001,odss,0.5616927200000004
51,pnr256,lh,3,0.51,1003,odss,0.17093228999999965
52,pnr256,lh,4,0.55,1004,odss,1.73830843
53,pnr256,lh,4,0.55,1005,odss,2.8854889900000003
54,pnr256,lh,4,0.53,1006,odss,3.098979000000001
55,pnr256,lh,3,0.52,1007,odss,2.75283956
