,subjID,hemi,d_bin,d,index,condition,beta
0,pnr256,lh,5,0.74,294,iso0,1.56568956
1,pnr256,lh,4,0.63,450,iso0,2.2367177
2,pnr256,lh,4,0.64,451,iso0,0.09032494
3,pnr256,lh,1,0.23,576,iso0,0.11894516
4,pnr256,lh,1,0.23,577,iso0,2.54084635
5,pnr256,lh,2,0.4,594,iso0,0.30283079
6,pnr256,lh,3,0.41,595,iso0,3.00382686
7,pnr256,lh,3,0.43,596,iso0,2.91039443
8,pnr256,lh,4,0.58,610,iso0,1.73117709
9,pnr256,lh,4,0.62,612,iso0,0.81253183
10,pnr256,lh,1,0.21,723,iso0,0.58431655
11,pnr256,lh,1,0.24,724,iso0,0.65881419
12,pnr256,lh,1,0.26,725,iso0,1.97041714
13,pnr256,lh,2,0.36,741,iso0,2.28906035
14,pnr256,lh,2,0.39,742,iso0,1.41103029
15,pnr256,lh,3,0.45,744,iso0,1.89419699
16,pnr256,lh,4,0.55,759,iso0,1.40967655
17,pnr256,lh,4,0.58,760,iso0,4.6999073
18,pnr256,lh,4,0.6,761,iso0,0.81072557
19,pnr256,lh,4,0.64,762,iso0,2.74784088
20,pnr256,lh,5,0.71,778,iso0,2.87380409
21,pnr256,lh,0,0.14,838,iso0,1.2546885
22,pnr256,lh,1,0.18,855,iso0,2.25009704
23,pnr256,lh,1,0.22,856,iso0,2.17981362
24,pnr256,lh,1,0.26,857,iso0,1.07013297
25,pnr256,lh,2,0.35,875,iso0,1.36163497
26,pnr256,lh,2,0.4,876,iso0,0.97695321
27,pnr256,lh,3,0.44,877,iso0,2.81024599
28,pnr256,lh,3,0.47,878,iso0,-0.10501603
29,pnr256,lh,3,0.5,879,iso0,0.72211438
30,pnr256,lh,3,0.5,880,iso0,1.99012315
31,pnr256,lh,4,0.59,895,iso0,1.78745866
32,pnr256,lh,4,0.64,897,iso0,3.83393049
33,pnr256,lh,5,0.72,914,iso0,1.76320159
34,pnr256,lh,5,0.7,915,iso0,-0.31137842
35,pnr256,lh,1,0.17,963,iso0,0.92266756
36,pnr256,lh,1,0.21,964,iso0,1.80079436
37,pnr256,lh,1,0.22,965,iso0,0.47725123
38,pnr256,lh,1,0.21,966,iso0,0.50554669
39,pnr256,lh,1,0.19,967,iso0,1.62971938
40,pnr256,lh,0,0.15,968,iso0,3.13189912
41,pnr256,lh,1,0.18,980,iso0,1.36817122
42,pnr256,lh,1,0.23,981,iso0,1.96885705
43,pnr256,lh,1,0.28,982,iso0,1.48843086
44,pnr256,lh,2,0.34,983,iso0,1.98840129
45,pnr256,lh,2,0.38,984,iso0,1.16002262
46,pnr256,lh,2,0.4,985,iso0,2.66293454
47,pnr256,lh,2,0.38,986,iso0,0.0142012
48,pnr256,lh,2,0.35,987,iso0,1.15177417
49,pnr256,lh,2,0.31,988,iso0,2.66542053
50,pnr256,lh,3,0.41,1001,iso0,2.74407387
51,pnr256,lh,3,0.51,1003,iso0,3.23253846
52,pnr256,lh,4,0.55,1004,iso0,1.26507211
53,pnr256,lh,4,0.55,1005,iso0,1.37502408
54,pnr256,lh,4,0.53,1006,iso0,3.38136292
55,pnr256,lh,3,0.52,1007,iso0,2.18914557
56,pnr256,lh,3,0.49,1008,iso0,1.16901827
57,pnr256,lh,4,0.64,1023,iso0,1.51798558
58,pnr256,lh,0,0.16,1084,iso0,0.58454812
59,pnr256,lh,1,0.26,1086,iso0,1.77184224
60,pnr256,lh,2,0.3,1087,iso0,1.2626456
61,pnr256,lh,2,0.3,1088,iso0,2.07738137
62,pnr256,lh,1,0.27,1089,iso0,1.04694402
63,pnr256,lh,1,0.23,1090,iso0,1.62394381
64,pnr256,lh,2,0.32,1100,iso0,1.89421713
65,pnr256,lh,2,0.39,1101,iso0,1.33418369
66,pnr256,lh,3,0.45,1102,iso0,3.54891014
67,pnr256,lh,3,0.46,1105,iso0,2.50172472
68,pnr256,lh,3,0.42,1106,iso0,2.06852078
69,pnr256,lh,2,0.35,1107,iso0,1.36297739
70,pnr256,lh,4,0.56,1121,iso0,2.25536418
71,pnr256,lh,4,0.62,1122,iso0,3.4768393
72,pnr256,lh,3,0.51,1127,iso0,1.74734306
73,pnr256,lh,4,0.64,1140,iso0,2.57283902
74,pnr256,lh,5,0.72,1160,iso0,3.64278626
75,pnr256,lh,1,0.23,1186,iso0,1.20715129
76,pnr256,lh,1,0.18,1192,iso0,2.00900769
77,pnr256,lh,1,0.26,1193,iso0,1.34812558
78,pnr256,lh,2,0.32,1194,iso0,1.42455196
79,pnr256,lh,2,0.36,1198,iso0,0.77552944
80,pnr256,lh,2,0.3,1199,iso0,1.82175314
81,pnr256,lh,1,0.22,1200,iso0,0.57301617
82,pnr256,lh,3,0.43,1205,iso0,1.89910793
83,pnr256,lh,3,0.51,1206,iso0,2.92761898
84,pnr256,lh,3,0.5,1211,iso0,1.63264358
85,pnr256,lh,4,0.59,1224,iso0,2.55490732
86,pnr256,lh,0,0.15,1275,iso0,2.13661551
87,pnr256,lh,1,0.18,1276,iso0,0.46326953
88,pnr256,lh,1,0.19,1277,iso0,0.87305868
89,pnr256,lh,1,0.21,1281,iso0,1.39063025
90,pnr256,lh,1,0.28,1282,iso0,1.09464896
91,pnr256,lh,2,0.33,1283,iso0,1.30819285
92,pnr256,lh,2,0.36,1284,iso0,0.26090562
93,pnr256,lh,2,0.34,1285,iso0,0.65453076
94,pnr256,lh,1,0.21,1287,iso0,2.05925059
95,pnr256,lh,2,0.37,1290,iso0,0.88825917
96,pnr256,lh,3,0.46,1291,iso0,1.38089228
97,pnr256,lh,3,0.46,1295,iso0,0.95646584
98,pnr256,lh,2,0.38,1296,iso0,1.68108642
99,pnr256,lh,4,0.55,1301,iso0,2.23240757
100,pnr256,lh,5,0.65,1302,iso0,2.03884578
101,pnr256,lh,4,0.59,1307,iso0,1.9949789
102,pnr256,lh,3,0.45,1308,iso0,1.15387762
103,pnr256,lh,4,0.61,1322,iso0,2.96339154
104,pnr256,lh,1,0.22,1367,iso0,1.93167794
105,pnr256,lh,1,0.25,1368,iso0,1.77074587
106,pnr256,lh,1,0.25,1369,iso0,2.11985421
107,pnr256,lh,1,0.24,1370,iso0,0.23293115
108,pnr256,lh,1,0.2,1371,iso0,2.03949714
109,pnr256,lh,0,0.13,1372,iso0,2.34900331
110,pnr256,lh,2,0.3,1374,iso0,2.46365476
111,pnr256,lh,2,0.39,1375,iso0,1.01396441
112,pnr256,lh,3,0.44,1376,iso0,2.97358036
113,pnr256,lh,3,0.46,1377,iso0,2.69301844
114,pnr256,lh,3,0.42,1378,iso0,2.32191396
115,pnr256,lh,2,0.35,1379,iso0,1.48943818
116,pnr256,lh,1,0.25,1380,iso0,1.95100081
117,pnr256,lh,2,0.36,1383,iso0,1.32499909
118,pnr256,lh,3,0.47,1384,iso0,3.62329221
119,pnr256,lh,4,0.53,1389,iso0,1.3635602
120,pnr256,lh,3,0.42,1390,iso0,1.57631552
121,pnr256,lh,1,0.27,1391,iso0,1.93898237
122,pnr256,lh,5,0.75,1396,iso0,1.81642425
123,pnr256,lh,4,0.63,1401,iso0,2.48048186
124,pnr256,lh,3,0.47,1402,iso0,0.66950703
125,pnr256,lh,0,0.16,1452,iso0,0.93793261
126,pnr256,lh,1,0.28,1454,iso0,1.59346223
127,pnr256,lh,2,0.29,1455,iso0,1.29391885
128,pnr256,lh,1,0.28,1456,iso0,0.78394175
129,pnr256,lh,1,0.25,1457,iso0,0.70573205
130,pnr256,lh,1,0.2,1458,iso0,1.4406085
131,pnr256,lh,3,0.47,1462,iso0,0.76552761
132,pnr256,lh,3,0.5,1464,iso0,2.89361238
133,pnr256,lh,3,0.44,1465,iso0,1.34997296
134,pnr256,lh,2,0.35,1466,iso0,2.08022475
135,pnr256,lh,1,0.23,1467,iso0,1.78730416
136,pnr256,lh,3,0.41,1469,iso0,1.16216195
137,pnr256,lh,4,0.64,1475,iso0,2.86000037
138,pnr256,lh,4,0.53,1476,iso0,2.64936733
139,pnr256,lh,2,0.4,1477,iso0,1.68512952
140,pnr256,lh,5,0.73,1487,iso0,1.80607438
141,pnr256,lh,4,0.61,1488,iso0,1.40328979
142,pnr256,lh,1,0.17,1532,iso0,1.51059675
143,pnr256,lh,2,0.32,1536,iso0,0.93034178
144,pnr256,lh,2,0.35,1537,iso0,2.16381431
145,pnr256,lh,2,0.34,1538,iso0,0.34240007
146,pnr256,lh,2,0.3,1539,iso0,0.54766184
147,pnr256,lh,1,0.25,1540,iso0,1.15404415
148,pnr256,lh,1,0.18,1541,iso0,0.99702835
149,pnr256,lh,3,0.5,1544,iso0,0.50967324
150,pnr256,lh,4,0.55,1545,iso0,2.10460329
151,pnr256,lh,3,0.52,1547,iso0,2.54940462
152,pnr256,lh,3,0.44,1548,iso0,0.66821849
153,pnr256,lh,2,0.32,1549,iso0,1.36096454
154,pnr256,lh,5,0.72,1557,iso0,1.84674263
155,pnr256,lh,4,0.63,1558,iso0,2.27038622
156,pnr256,lh,3,0.49,1559,iso0,2.43637729
157,pnr256,lh,5,0.69,1570,iso0,2.59292769
158,pnr256,lh,4,0.54,1571,iso0,1.54779243
159,pnr256,lh,5,0.7,1577,iso0,2.14150977
160,pnr256,lh,5,0.73,1582,iso0,3.63790894
161,pnr256,lh,1,0.18,1614,iso0,2.43956017
162,pnr256,lh,2,0.36,1619,iso0,1.65260637
163,pnr256,lh,2,0.3,1620,iso0,1.88321495
164,pnr256,lh,1,0.24,1621,iso0,1.65178132
165,pnr256,lh,0,0.16,1622,iso0,1.20114994
166,pnr256,lh,3,0.52,1628,iso0,3.235466
167,pnr256,lh,3,0.43,1629,iso0,0.31914225
168,pnr256,lh,2,0.29,1630,iso0,0.67420667
169,pnr256,lh,5,0.72,1637,iso0,1.29240811
170,pnr256,lh,4,0.61,1638,iso0,1.46060121
171,pnr256,lh,3,0.46,1639,iso0,1.00177121
172,pnr256,lh,1,0.27,1640,iso0,1.61900151
173,pnr256,lh,6,0.79,1646,iso0,2.83614826
174,pnr256,lh,5,0.65,1647,iso0,1.4776808
175,pnr256,lh,3,0.47,1648,iso0,2.19761539
176,pnr256,lh,1,0.27,1649,iso0,1.91677094
177,pnr256,lh,2,0.37,1691,iso0,2.08260894
178,pnr256,lh,2,0.3,1692,iso0,1.90113533
179,pnr256,lh,1,0.23,1693,iso0,1.57713449
180,pnr256,lh,3,0.5,1699,iso0,0.95580703
181,pnr256,lh,2,0.4,1700,iso0,0.84407473
182,pnr256,lh,1,0.27,1701,iso0,0.79239643
183,pnr256,lh,5,0.7,1707,iso0,2.35198736
184,pnr256,lh,4,0.58,1708,iso0,1.03570712
185,pnr256,lh,3,0.41,1709,iso0,1.37839937
186,pnr256,lh,5,0.76,1714,iso0,2.40178633
187,pnr256,lh,4,0.61,1715,iso0,0.8741467
188,pnr256,lh,2,0.4,1716,iso0,1.39006746
189,pnr256,lh,1,0.19,1754,iso0,1.47415614
190,pnr256,rh,3,0.53,758,iso0,1.33145523
191,pnr256,rh,5,0.69,770,iso0,1.74863601
192,pnr256,rh,5,0.66,771,iso0,2.57666969
193,pnr256,rh,6,0.8,779,iso0,3.63508725
194,pnr256,rh,5,0.77,780,iso0,0.81076276
195,pnr256,rh,6,0.78,781,iso0,0.46855742
196,pnr256,rh,1,0.22,848,iso0,1.53070772
197,pnr256,rh,1,0.17,851,iso0,1.30486202
198,pnr256,rh,2,0.38,866,iso0,1.90244091
199,pnr256,rh,2,0.34,867,iso0,0.88375896
200,pnr256,rh,2,0.29,868,iso0,3.69283557
201,pnr256,rh,1,0.27,869,iso0,3.34735179
202,pnr256,rh,4,0.54,884,iso0,1.88485157
203,pnr256,rh,2,0.39,888,iso0,3.58416486
204,pnr256,rh,4,0.54,905,iso0,2.88048792
