label,tgtOri,surOri,tgtPh,surPh,tgtC,surC,onset,deltaOri,RT,response,correct
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,0.30,6.00,1.08,[],0
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,1.51,8.00,0.84,r,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,3.31,8.00,1.07,[],0
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,4.81,12.00,0.77,r,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,6.31,12.00,0.79,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,7.51,12.00,0.77,b,1
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,9.31,8.00,1.07,[],0
rest_0,0.00,90.00,0.00,0.00,0.0000,0.40,10.51,12.00,0.77,r,1
iso_157,157.50,157.50,0.00,0.00,0.4000,0.40,11.71,12.00,0.79,b,0
iso_157,157.50,157.50,0.00,0.00,0.4000,0.40,13.51,16.00,0.82,r,1
iso_157,157.50,157.50,0.00,0.00,0.4000,0.40,15.01,16.00,0.92,b,1
iso_157,157.50,157.50,0.00,0.00,0.4000,0.40,16.51,16.00,0.93,b,1
iso_157,157.50,157.50,0.00,0.00,0.4000,0.40,17.71,12.00,0.97,b,1
iso_157,157.50,157.50,0.00,0.00,0.4000,0.40,18.91,12.00,0.95,b,1
iso_157,157.50,157.50,0.00,0.00,0.4000,0.40,20.71,12.00,0.81,r,1
iso_157,157.50,157.50,0.00,0.00,0.4000,0.40,22.51,8.00,0.98,b,1
surround_225,135.00,225.00,0.00,0.00,0.0000,0.40,23.71,8.00,1.06,[],0
surround_225,135.00,225.00,0.00,0.00,0.0000,0.40,24.91,12.00,1.06,[],0
surround_225,135.00,225.00,0.00,0.00,0.0000,0.40,26.71,16.00,0.76,b,1
surround_225,135.00,225.00,0.00,0.00,0.0000,0.40,28.21,16.00,0.76,b,1
surround_225,135.00,225.00,0.00,0.00,0.0000,0.40,30.01,16.00,0.97,b,1
surround_225,135.00,225.00,0.00,0.00,0.0000,0.40,31.21,12.00,0.92,r,1
surround_225,135.00,225.00,0.00,0.00,0.0000,0.40,32.71,12.00,0.92,r,1
surround_225,135.00,225.00,0.00,0.00,0.0000,0.40,34.51,12.00,0.95,b,1
orth_135,135.00,225.00,0.00,0.00,0.4000,0.40,35.71,8.00,0.93,b,1
orth_135,135.00,225.00,0.00,0.00,0.4000,0.40,37.51,8.00,0.97,b,1
orth_135,135.00,225.00,0.00,0.00,0.4000,0.40,39.01,8.00,0.94,r,1
orth_135,135.00,225.00,0.00,0.00,0.4000,0.40,40.51,6.00,0.99,r,1
orth_135,135.00,225.00,0.00,0.00,0.4000,0.40,42.01,6.00,1.00,b,1
orth_135,135.00,225.00,0.00,0.00,0.4000,0.40,43.51,6.00,0.85,r,1
orth_135,135.00,225.00,0.00,0.00,0.4000,0.40,44.71,4.00,0.85,b,1
orth_135,135.00,225.00,0.00,0.00,0.4000,0.40,46.51,4.00,0.94,b,1
iso90_0,0.00,0.00,0.25,0.00,0.4000,0.40,47.71,4.00,1.06,[],0
iso90_0,0.00,0.00,0.25,0.00,0.4000,0.40,49.51,6.00,0.76,r,1
iso90_0,0.00,0.00,0.25,0.00,0.4000,0.40,51.01,6.00,0.76,r,1
iso90_0,0.00,0.00,0.25,0.00,0.4000,0.40,52.81,6.00,0.81,r,1
iso90_0,0.00,0.00,0.25,0.00,0.4000,0.40,54.01,4.00,0.85,b,1
iso90_0,0.00,0.00,0.25,0.00,0.4000,0.40,55.81,4.00,0.90,b,1
iso90_0,0.00,0.00,0.25,0.00,0.4000,0.40,57.01,4.00,0.91,b,1
iso90_0,0.00,0.00,0.25,0.00,0.4000,0.40,58.51,3.00,0.80,r,1
rest_135,135.00,225.00,0.00,0.00,0.0000,0.40,60.31,3.00,1.06,[],0
rest_135,135.00,225.00,0.00,0.00,0.0000,0.40,61.51,4.00,1.04,r,0
rest_135,135.00,225.00,0.00,0.00,0.0000,0.40,63.31,6.00,1.05,r,1
rest_135,135.00,225.00,0.00,0.00,0.0000,0.40,65.11,6.00,0.93,r,1
rest_135,135.00,225.00,0.00,0.00,0.0000,0.40,66.31,6.00,0.85,r,1
rest_135,135.00,225.00,0.00,0.00,0.0000,0.40,68.11,4.00,0.82,r,1
rest_135,135.00,225.00,0.00,0.00,0.0000,0.40,69.31,4.00,0.77,r,0
rest_135,135.00,225.00,0.00,0.00,0.0000,0.40,70.51,6.00,0.90,b,1
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,72.01,6.00,0.77,r,1
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,73.81,6.00,0.91,b,1
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,75.01,4.00,0.89,b,1
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,76.81,4.00,0.85,r,1
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,78.31,4.00,0.96,r,1
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,80.11,3.00,0.82,r,1
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,81.31,3.00,0.92,b,1
orth_0,0.00,90.00,0.00,0.00,0.4000,0.40,82.51,3.00,0.95,b,1
surround_135,45.00,135.00,0.00,0.00,0.0000,0.40,84.01,2.00,1.06,b,1
surround_135,45.00,135.00,0.00,0.00,0.0000,0.40,85.21,2.00,0.98,b,0
surround_135,45.00,135.00,0.00,0.00,0.0000,0.40,87.01,3.00,0.86,r,0
surround_135,45.00,135.00,0.00,0.00,0.0000,0.40,88.51,4.00,1.06,[],0
surround_135,45.00,135.00,0.00,0.00,0.0000,0.40,90.31,6.00,1.06,b,1
surround_135,45.00,135.00,0.00,0.00,0.0000,0.40,91.51,6.00,1.05,b,1
surround_135,45.00,135.00,0.00,0.00,0.0000,0.40,93.01,6.00,0.90,r,1
surround_135,45.00,135.00,0.00,0.00,0.0000,0.40,94.51,4.00,0.89,b,1
iso90_90,90.00,90.00,0.25,0.00,0.4000,0.40,95.71,4.00,1.05,b,1
iso90_90,90.00,90.00,0.25,0.00,0.4000,0.40,97.21,4.00,0.99,b,1
