label,tgtOri,surOri,tgtPh,surPh,tgtC,surC,onset,deltaOri,RT,response,correct
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,0.30,6.00,1.06,[],0
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,1.50,8.00,0.93,b,1
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,2.70,8.00,1.06,[],0
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,3.90,12.00,1.06,[],0
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,5.70,16.00,0.96,b,1
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,7.20,16.00,0.88,r,1
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,8.70,16.00,0.88,r,1
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,10.50,12.00,0.94,b,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,11.70,12.00,1.06,b,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,13.50,12.00,0.86,b,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,15.00,8.00,0.82,b,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,16.20,8.00,0.92,r,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,18.00,8.00,0.83,r,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,19.50,6.00,0.88,b,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,21.00,6.00,0.87,b,1
center_90,90.00,0.00,0.50,0.00,0.4000,0.40,22.50,6.00,0.87,b,1
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,23.70,4.00,1.06,[],0
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,25.20,6.00,0.76,b,1
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,26.70,6.00,0.76,b,1
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,28.20,6.00,0.76,b,1
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,30.00,4.00,0.76,b,0
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,31.50,6.00,0.93,b,1
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,32.70,6.00,1.06,[],0
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,34.50,8.00,0.76,b,1
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,35.70,8.00,0.76,b,0
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,37.20,12.00,0.82,b,0
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,38.40,16.00,0.76,r,1
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,39.90,16.00,1.06,[],0
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,41.70,16.00,0.81,b,1
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,43.50,16.00,0.80,r,1
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,44.70,16.00,0.87,r,1
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,46.50,12.00,0.78,r,1
surround_0,0.00,0.00,0.00,0.00,0.0000,0.40,48.30,12.00,0.99,b,1
surround_0,0.00,0.00,0.00,0.00,0.0000,0.40,49.80,12.00,0.85,b,1
surround_0,0.00,0.00,0.00,0.00,0.0000,0.40,51.60,8.00,1.06,[],0
surround_0,0.00,0.00,0.00,0.00,0.0000,0.40,52.80,12.00,0.79,b,1
surround_0,0.00,0.00,0.00,0.00,0.0000,0.40,54.00,12.00,1.06,[],0
surround_0,0.00,0.00,0.00,0.00,0.0000,0.40,55.80,16.00,1.06,[],0
surround_0,0.00,0.00,0.00,0.00,0.0000,0.40,57.00,16.00,0.81,b,1
surround_0,0.00,0.00,0.00,0.00,0.0000,0.40,58.50,16.00,0.79,r,1
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,60.30,16.00,0.77,r,1
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,61.80,12.00,0.88,r,1
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,63.30,12.00,1.06,[],0
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,65.10,16.00,0.76,b,1
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,66.60,16.00,1.07,[],0
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,68.10,16.00,1.06,[],0
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,69.30,16.00,0.76,r,1
center_45,45.00,0.00,0.50,0.00,0.4000,0.40,70.50,16.00,0.80,b,1
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,71.70,16.00,0.98,r,0
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,72.90,16.00,0.90,r,1
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,74.40,16.00,0.86,b,1
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,76.20,16.00,0.89,r,1
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,77.40,12.00,0.95,r,1
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,78.90,12.00,0.87,r,1
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,80.70,12.00,0.88,b,1
surround_112,0.00,112.50,0.00,0.00,0.0000,0.40,82.50,8.00,0.90,r,1
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,84.30,8.00,0.86,r,1
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,86.10,8.00,1.07,[],0
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,87.60,12.00,0.78,b,1
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,89.10,12.00,0.81,r,1
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,90.60,12.00,0.77,r,1
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,92.10,8.00,1.07,[],0
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,93.30,12.00,1.07,[],0
center_22,22.50,0.00,0.50,0.00,0.4000,0.40,94.50,16.00,0.77,b,1
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,96.00,16.00,0.96,b,0
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,97.20,16.00,0.90,b,1
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,99.00,16.00,0.85,r,1
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,100.20,16.00,1.07,[],0
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,102.00,16.00,0.86,r,0
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,103.50,16.00,0.94,b,1
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,105.00,16.00,0.90,r,1
surround_45,0.00,45.00,0.00,0.00,0.0000,0.40,106.50,16.00,0.96,b,1
center_157,157.50,0.00,0.50,0.00,0.4000,0.40,107.70,12.00,0.94,r,1
center_157,157.50,0.00,0.50,0.00,0.4000,0.40,108.90,12.00,0.78,r,1
center_157,157.50,0.00,0.50,0.00,0.4000,0.40,110.10,12.00,1.06,[],0
center_157,157.50,0.00,0.50,0.00,0.4000,0.40,111.90,16.00,1.06,[],0
center_157,157.50,0.00,0.50,0.00,0.4000,0.40,113.70,16.00,1.06,[],0
center_157,157.50,0.00,0.50,0.00,0.4000,0.40,115.50,16.00,1.06,[],0
center_157,157.50,0.00,0.50,0.00,0.4000,0.40,117.30,16.00,0.76,b,1
center_157,157.50,0.00,0.50,0.00,0.4000,0.40,118.50,16.00,0.76,b,1
surround_135,0.00,135.00,0.00,0.00,0.0000,0.40,120.30,16.00,0.96,r,1
surround_135,0.00,135.00,0.00,0.00,0.0000,0.40,121.50,12.00,0.95,r,1
surround_135,0.00,135.00,0.00,0.00,0.0000,0.40,123.00,12.00,0.89,r,1
surround_135,0.00,135.00,0.00,0.00,0.0000,0.40,124.80,12.00,0.92,b,1
surround_135,0.00,135.00,0.00,0.00,0.0000,0.40,126.30,8.00,0.86,b,1
surround_135,0.00,135.00,0.00,0.00,0.0000,0.40,127.80,8.00,0.99,r,0
surround_135,0.00,135.00,0.00,0.00,0.0000,0.40,129.30,12.00,0.92,r,0
surround_135,0.00,135.00,0.00,0.00,0.0000,0.40,130.50,16.00,1.06,[],0
center_0,0.00,0.00,0.50,0.00,0.4000,0.40,131.70,16.00,0.84,b,1
center_0,0.00,0.00,0.50,0.00,0.4000,0.40,132.90,16.00,0.77,b,1
