x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur.1,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,Subject ID,Visual Region,Subregion,hemi,xy_dist,ellipse_a,ellipse_b,ellipse_theta,ellipse_comX,ellipse_comY,d_norm,no_vein,sig,iso0_loc,in_tgt,d_bin,all depths,odss,fgm,dsi,iso-sur,ctr-iso0
1.73,5.14,19.0,0.87,110.0,162.0,12.0,3.16,166.0,4.32,0.65,13.77920723,5.1750493,3.1362679,11.29094696,8.34536743,12.58978367,0.00040778,23.58,7.79924297,-0.0486568,13.63121414,8.00247574,8.69818211,10.85894394,0.87856555,7.02939034,11.01799297,7.53327608,9.96254826,0.00165065,0.70906121,-1.98340452,12.77379799,71.0646286,0.0,12.8488636,25.62266159,12.77379799,11.0109787,1.22,1.8,pnr143,V1,tgt,lh,4.013715795521209,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.9130434782608696,False,True,-6.115897659999999,False,6,True,10.64293933,-2.0387814000000004,8.60415793,-6.115897659999999,31.738559249999998
3.51,5.3,19.0,0.89,110.0,163.0,9.0,3.48,157.0,8.97,0.76,20.96390533,15.00592995,19.75901985,20.19151115,18.98009109,307.28546143,0.0,10.86,13.92255974,21.20366478,16.72674561,16.53165436,20.53362846,19.71759224,21.60028267,18.61586952,19.94615746,18.73659515,290.85037231,0.0,-0.17135827,-1.42346227,-5.69855302,14.66185951,0.00015922,0.37454122,-5.3240118,-5.69855309,12.52366161,1.08,1.81,pnr143,V1,tgt,lh,4.736966719632167,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.9347826086956522,True,True,-5.1855812,False,6,True,1.204885479999998,4.753089900000001,5.957975379999999,-5.1855812,-0.1384306000000004
3.25,5.63,0.0,0.86,110.0,163.0,10.0,3.66,168.0,7.4,0.76,15.13778973,15.54907608,17.31864929,15.69414902,15.92491627,171.42823792,0.0,12.19,9.91901588,19.97412872,14.85412788,17.0268631,14.54069233,13.31301594,18.26865196,20.11152077,15.60526562,15.94107437,171.48330688,0.0,0.30293673,-1.01598895,-2.817105289999999,17.14188004,4.613e-05,-15.68595791,-18.5030632,-2.81710553,1.61631358,1.12,1.76,pnr143,V1,tgt,lh,4.91425744664668,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.9021739130434783,True,True,-0.1450729399999986,False,6,True,-2.18085956,1.769573209999999,-0.411286350000001,-0.1450729399999986,-18.35799026
1.97,5.67,0.0,0.83,110.0,163.0,12.0,3.59,180.0,5.49,0.72,22.19971275,20.58690834,22.92160988,18.79422951,21.12561417,100.56548309,0.0,21.12,15.7384243,21.05435944,21.09895515,20.68668747,17.75142479,27.20248985,20.37268257,31.98093414,18.60466957,21.58846092,104.23882294,0.0,0.20925206,-2.3403995,-7.33995127,68.48885345,0.0,-2.70064092,-10.04059219,-7.33995152,6.07262325,1.18,1.73,pnr143,V1,tgt,lh,4.573585367593726,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.8695652173913043,False,True,1.7926788299999998,False,6,True,-0.7218971299999986,2.3347015399999975,1.612804409999999,1.7926788299999998,-11.83327102
3.32,6.07,0.0,0.8,110.0,164.0,10.0,4.01,168.0,8.8,0.74,12.90162373,8.06354523,7.72054338,9.88054371,9.64156437,63.96963501,0.0,12.09,7.67884254,6.97259426,10.11432171,9.63401413,7.64228249,12.60236263,11.14915657,10.00311375,9.7416563,9.49475574,60.01027679,0.0,-0.13376947,-2.02700591,0.16160846000000006,37.36582947,0.0,-1.19868517,-1.03707671,0.16160837,0.01059385,1.08,1.7,pnr143,V1,tgt,lh,5.344866675730472,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.8369565217391305,True,True,-1.8169984799999988,False,6,True,5.181080350000001,-0.34300185000000116,4.8380785,-1.8169984799999988,0.7799217699999987
3.08,6.18,15.0,0.83,110.0,164.0,11.0,4.06,170.0,8.15,0.73,14.07073116,8.98687077,10.09452915,13.48648739,11.65965462,65.87108612,0.0,14.4,13.57988453,8.59353256,8.36446762,9.13516903,14.45628738,11.93629074,11.04320049,11.2639122,13.38450813,11.29505539,60.183918,0.0,-0.14025673,-2.17903018,0.7959909400000011,44.95569992,0.0,10.44639874,11.24238968,0.79599071,0.25438082,1.08,1.7,pnr143,V1,tgt,lh,5.357537093002971,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.8695652173913043,True,True,-4.499616620000001,False,6,True,3.9762020099999997,1.1076583800000002,5.08386039,-4.499616620000001,15.742006300000002
2.35,6.24,13.0,0.83,110.0,164.0,12.0,4.05,169.0,7.49,0.73,18.45527458,13.29122353,11.24538231,14.50145912,14.37333488,79.6966095,0.0,16.14,12.85716343,10.83106232,15.08521748,6.20967293,22.04104233,16.73163033,16.2584095,13.15988731,14.38634109,14.15920734,76.29243469,0.0,-0.33219734,-2.72492695,-0.5294645999999998,61.00461197,0.0,2.42636108,1.89689648,-0.52946448,0.09282678,1.18,1.73,pnr143,V1,tgt,lh,5.206498087040243,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.8695652173913043,True,True,-1.21023559,False,6,True,7.209892270000001,-2.04584122,5.164051050000001,-1.21023559,3.10713207
3.41,6.42,0.0,0.8,110.0,165.0,10.0,4.29,120.0,7.34,0.73,10.41224766,7.01400709,11.4184227,6.32448578,8.79229069,31.34396172,3e-08,15.75,7.48266077,10.4037199,8.37817669,8.67277718,10.09737587,8.58259201,13.63572598,10.3281641,6.24368477,9.30456161,34.17887497,1e-08,-0.46767062,-2.89853454,-4.54863596,62.81306458,0.0,1.47386551,-3.07477045,-4.54863596,3.51765394,1.08,1.7,pnr143,V1,tgt,lh,5.702208101456356,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.8369565217391305,True,True,0.6895213099999999,False,6,True,-1.0061750400000005,4.404415610000001,3.3982405700000005,0.6895213099999999,-3.76429176
3.29,6.51,0.0,0.83,110.0,165.0,11.0,4.34,117.0,7.08,0.74,8.34918976,9.44131756,8.78146744,7.03360415,8.40139484,20.99389458,5.25e-06,18.38,8.61319828,9.35765553,5.80463934,8.67252922,4.35816765,9.79880619,11.31050396,13.48655128,7.12258673,8.71623516,22.19267654,2.85e-06,-0.6118077,-2.94797397,-4.17031431,54.93418121,0.0,-2.60477448,-6.77508879,-4.17031431,3.6054678,1.08,1.7,pnr143,V1,tgt,lh,5.7407050855599016,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.8695652173913043,True,True,2.4077134099999995,False,6,True,-0.43227768000000033,-0.6598501199999998,-1.0921278,2.4077134099999995,-9.1828022
3.42,6.93,14.0,0.88,110.0,166.0,10.0,4.69,142.0,5.21,0.72,1.79493344,3.96034312,2.22801614,1.76448929,2.43694544,1.04228044,0.30756422,23.93,-1.1867379,0.21716109,-0.6609928,-3.52487803,3.5042994,2.18642521,5.50588036,15.31977081,1.84487641,2.57584429,1.15758204,0.28225558,-0.66881824,-3.51155734,-6.57916188,66.00424194,0.0,-1.93335223,-8.51251411,-6.57916212,6.05144835,1.03,1.6,pnr143,V1,tgt,lh,6.179331280604055,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.9239130434782609,False,False,2.19585383,False,6,True,-0.4330826999999997,-1.7323269800000003,-2.16540968,2.19585383,-10.708367939999999
