x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur.1,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L0 p-val,Subject ID,Visual Region,Subregion,hemi,xy_dist,ellipse_a,ellipse_b,ellipse_theta,ellipse_comX,ellipse_comY,d_norm,no_vein,sig,iso0_loc,in_tgt,d_bin,all depths,odss,fgm,dsi,iso-sur,ctr-iso0
-5.88,-1.23,21.0,0.76,106.0,156.0,1.0,4.08,98.0,13.15,0.66,5.44743109,3.31676483,4.76806498,3.9315052,4.36594152,41.00970078,0.0,7.34,5.17351913,5.66474962,4.21112967,3.41492057,4.9608078,4.05417871,5.16057873,3.91744494,3.96060658,4.49749088,42.06806946,0.0,0.00772832,-2.95450616,-0.8062152899999999,49.30461502,0.0,5.64952469,4.8433094,-0.80621529,0.58774054,0.0,0.0,0.00987864,10.13480473,-3.70858622,0.66433233,2.64636755,0.30803838,5.55332041,1.16105127,5.96587563,1.06859708,2.45202947,7.66999912,0.0057244,0.01347909,11.32664204,-4.42351151,0.63346809,0.7111659,0.01491516,8.31666851,1.3740412,0.0953345,0.00014205,2.52682304,8.57316208,0.00349323,0.02022773,9.00547314,-1.23665643,0.02359995,-6.69856977,0.83875519,11.10044956,1.76694918,-1.54767931,0.03175009,2.91441751,12.12782574,0.00051946,0.01006316,10.99692631,1.79905725,0.17458512,8.40070152,2.19572711,0.20172916,0.0020801,10.18577576,4.2976346,2.80346799,11.14095497,0.00087731,0.01289699,10.85832024,-0.94864458,0.02439289,5.40343904,0.69295722,4.14790487,0.33282426,2.04526114,0.14287265,2.82527924,11.4193573,0.00075649,0.0193284,16.18131828,0.53567272,0.00580035,-1.37147963,0.03465886,7.20685244,1.12154341,9.17858028,1.09254169,2.46072936,8.83220768,0.00303445,0.01006316,10.99692631,1.79905725,0.17458512,8.40070152,2.19572711,0.20172916,0.0020801,10.18577576,4.2976346,2.80346799,11.14095497,0.00087731,0.01289699,10.85832024,-0.94864458,0.02439289,5.40343904,0.69295722,4.14790487,0.33282426,2.04526114,0.14287265,2.82527924,11.4193573,0.00075649,0.0193284,16.18131828,0.53567272,0.00580035,-1.37147963,0.03465886,7.20685244,1.12154341,9.17858028,1.09254169,2.46072936,8.83220768,0.00303445,pnr256,V1,tgt,lh,7.589472386471411,3.7837106656275843,1.3433150780456435,0.24574946150684301,1.4166523605150214,0.8578111587982833,0.8117647058823528,True,True,-0.6147403700000003,False,6,True,0.6793661100000001,1.4513001500000002,2.1306662600000004,-0.6147403700000003,5.458049770000001
-5.77,-1.54,19.0,0.81,106.0,156.0,2.0,4.09,89.0,12.23,0.65,5.78010464,3.28551149,4.50763988,4.02931356,4.4006424,39.38570023,0.0,7.55,3.43245006,4.27595425,4.56181192,4.92452669,5.80865526,2.64816475,5.45794249,5.18190527,4.01251936,4.47373629,39.40388489,0.0,1.73063052,-0.88435727,-4.264600339999999,69.77313232,0.0,-0.67592996,-4.9405303,-4.26460028,14.10348511,0.0,0.0,0.01489724,21.95412827,-2.01702785,0.18718378,-0.2663177,0.00298301,-3.13450766,0.35240176,2.58630586,0.19131932,1.68210924,3.43825603,0.06401363,0.01451914,12.41863537,1.09134459,0.03644328,0.53886229,0.00812088,-4.54857922,0.38839278,5.13321304,0.46530622,2.56301355,8.33497429,0.00397734,0.02792096,16.3301487,0.37832907,0.00209097,-0.25088933,0.00114666,-1.03630745,0.0146368,9.71479321,1.18895328,2.39123702,7.7703867,0.00541726,0.01120865,12.81382275,-3.06252718,0.47514993,6.78282499,1.34440553,0.37128499,0.00673685,-0.86977857,0.02944003,2.56301498,8.74584484,0.00318016,0.01235314,9.38049603,-2.6617384,0.18100972,4.92340374,0.54175681,3.06599426,0.17123266,-3.37616253,0.36664012,2.89833975,11.31628895,0.00079912,0.02605855,28.08221245,-8.95733261,1.54999244,4.49390984,0.35546583,-2.11818242,0.09250727,-2.81996417,0.09845563,1.80208921,4.52273703,0.03370531,0.01120865,12.81382275,-3.06252718,0.47514993,6.78282499,1.34440553,0.37128499,0.00673685,-0.86977857,0.02944003,2.56301498,8.74584484,0.00318016,0.01235314,9.38049603,-2.6617384,0.18100972,4.92340374,0.54175681,3.06599426,0.17123266,-3.37616253,0.36664012,2.89833975,11.31628895,0.00079912,0.02605855,28.08221245,-8.95733261,1.54999244,4.49390984,0.35546583,-2.11818242,0.09250727,-2.81996417,0.09845563,1.80208921,4.52273703,0.03370531,pnr256,V1,tgt,lh,7.5761118328700565,3.7837106656275843,1.3433150780456435,0.24574946150684301,1.4166523605150214,0.8578111587982833,0.8705882352941176,True,True,-0.7438020700000001,False,6,True,1.27246476,1.22212839,2.49459315,-0.7438020700000001,-4.19672823
-5.73,-1.91,0.0,0.84,106.0,156.0,3.0,4.17,100.0,14.68,0.66,3.88673735,2.01271367,2.66517258,2.04411793,2.65218544,17.42950821,3.255e-05,6.84,2.87804508,3.3762455,2.60052657,4.36950302,3.27002382,3.44450259,1.30548084,2.11703706,2.09911489,2.82611322,19.1856823,1.318e-05,2.99128008,0.70313561,-3.1867914199999987,76.23562622,0.0,-8.15329647,-11.34008789,-3.18679166,10.31100178,0.0,0.0,0.01457435,25.80363464,-1.52137005,0.13079064,0.81779528,0.03438354,1.36826801,0.08242058,2.75195408,0.26599368,-0.0171484,0.00041627,0.98372652,0.01873206,25.55323982,-0.00084988,0.0,-0.97078782,0.03252273,-1.4376936,0.04795443,2.07550597,0.09400064,0.26028252,0.10627963,0.74449217,0.0301248,23.33973694,-6.68833828,0.80702311,3.77311993,0.31096682,2.29149437,0.08803135,-1.98425901,0.06095115,0.4671838,0.36421627,0.54631842,0.00932886,10.82750797,2.46391106,0.37514195,4.46718168,0.71133155,4.31666851,1.1105516,1.48425889,0.10453024,1.19579971,2.32226419,0.12786813,0.0133763,13.49142361,-0.1956712,0.00123215,3.35807776,0.30910435,4.36217833,0.42517251,1.24825048,0.06144302,1.06162715,1.8623476,0.17267826,0.01470653,10.76153088,-5.44304419,0.68861628,10.13275814,2.17427015,7.70230818,1.47158718,3.31708145,0.16394842,1.16787553,2.28540635,0.13092955,0.00932886,10.82750797,2.46391106,0.37514195,4.46718168,0.71133155,4.31666851,1.1105516,1.48425889,0.10453024,1.19579971,2.32226419,0.12786813,0.0133763,13.49142361,-0.1956712,0.00123215,3.35807776,0.30910435,4.36217833,0.42517251,1.24825048,0.06144302,1.06162715,1.8623476,0.17267826,0.01470653,10.76153088,-5.44304419,0.68861628,10.13275814,2.17427015,7.70230818,1.47158718,3.31708145,0.16394842,1.16787553,2.28540635,0.13092955,pnr256,V1,tgt,lh,7.663903611921488,3.7837106656275843,1.3433150780456435,0.24574946150684301,1.4166523605150214,0.8578111587982833,0.9058823529411764,True,True,-0.03140425999999996,False,6,True,1.22156477,0.65245891,1.87402368,-0.03140425999999996,-11.308683629999999
-5.5,-2.6,19.0,0.84,106.0,156.0,4.0,4.33,113.0,17.36,0.69,1.27285945,1.12719738,1.1716795,1.83088028,1.35065413,5.52066469,0.01899658,6.19,1.63538706,3.24080014,0.5517714,-0.00066589,1.49370074,2.05059147,0.76275623,0.20086034,1.85790622,1.30903494,5.08238745,0.02439788,3.41153002,1.34263623,-2.8836860599999996,71.02848816,0.0,7.23750114,4.35381508,-2.88368583,8.1198988,0.0,0.0,0.00947093,13.08964157,3.72570777,0.94208932,-1.42893493,0.12621197,-4.52026033,1.08090246,-6.57822514,1.82557309,-0.20648572,0.07640725,0.78228688,0.00952858,7.94283342,5.80457163,1.53066111,-0.70441574,0.02053107,2.29216242,0.14640845,2.86824918,0.21567591,0.22955456,0.09926673,0.75278078,0.01615249,8.08075237,10.00267506,2.17355037,-8.00469589,1.68546391,2.12164497,0.09075575,2.83414531,0.14959739,0.29686001,0.17702357,0.67403917,0.00418494,2.64077902,6.16202784,2.84405375,9.82083607,4.16678381,-2.48148203,0.44479424,-0.55717361,0.01782762,0.7732051,1.17672276,0.27830026,0.00973291,8.68922138,5.45164442,1.1330682,6.26842737,1.31033814,-6.60794449,1.18672884,1.61979508,0.12590757,0.29266405,0.1721736,0.67828122,0.01180065,8.39311218,9.40863037,2.49225473,0.70308942,0.01265509,-3.24894285,0.31717432,3.64168477,0.23935051,0.29973921,0.18235281,0.66945609,0.00418494,2.64077902,6.16202784,2.84405375,9.82083607,4.16678381,-2.48148203,0.44479424,-0.55717361,0.01782762,0.7732051,1.17672276,0.27830026,0.00973291,8.68922138,5.45164442,1.1330682,6.26842737,1.31033814,-6.60794449,1.18672884,1.61979508,0.12590757,0.29266405,0.1721736,0.67828122,0.01180065,8.39311218,9.40863037,2.49225473,0.70308942,0.01265509,-3.24894285,0.31717432,3.64168477,0.23935051,0.29973921,0.18235281,0.66945609,pnr256,V1,tgt,lh,7.732822116545029,3.7837106656275843,1.3433150780456435,0.24574946150684301,1.4166523605150214,0.8578111587982833,0.9058823529411764,True,False,-0.7036829,False,6,True,0.10117994999999991,0.04448212000000007,0.14566206999999998,-0.7036829,5.057497980000001
-5.4,-3.06,20.0,0.8,106.0,156.0,5.0,4.52,106.0,15.01,0.69,3.86992168,1.58373523,5.07564211,4.83304739,3.84058666,34.7408638,1e-08,7.02,4.86708403,2.73443079,2.84152746,0.2517392,6.28983688,3.62274933,2.77100992,5.61269093,4.94132185,3.76649547,32.62393951,1e-08,3.19711542,1.29042029,-2.79538155,63.85039902,0.0,8.54774952,5.75236797,-2.79538083,8.28238201,0.0,0.0,0.02193845,58.94740295,8.71738911,4.32884932,8.29406929,3.56796622,-5.11506891,1.16167903,2.95326161,0.30880183,0.0546279,0.00444863,0.94683619,0.02686736,52.4257431,9.74972248,3.58517122,1.43999827,0.0714883,0.29199454,0.00198579,8.88307095,1.71787035,0.56248021,0.49495715,0.48189726,0.04763689,58.4396553,12.9682951,3.03782296,5.5603385,0.67624193,-0.80388063,0.01086299,8.98715305,1.25090241,0.57820898,0.55857331,0.45502118,0.01568858,29.99525642,5.22259998,1.65111363,10.43171978,3.79968619,-2.58071733,0.38879088,2.03660941,0.19278555,1.41133094,3.16860533,0.0753871,0.02517157,47.38304901,0.59823269,0.01116111,6.49349642,1.14641666,-1.39966166,0.0434224,-2.87670922,0.32383502,0.87251258,1.24759984,0.26429469,0.03162544,49.81925964,6.72086668,1.05096936,12.35592175,3.23649478,-4.64178753,0.53503746,10.92220974,1.77912104,0.87594831,1.28707099,0.25687551,0.01568858,29.99525642,5.22259998,1.65111363,10.43171978,3.79968619,-2.58071733,0.38879088,2.03660941,0.19278555,1.41133094,3.16860533,0.0753871,0.02517157,47.38304901,0.59823269,0.01116111,6.49349642,1.14641666,-1.39966166,0.0434224,-2.87670922,0.32383502,0.87251258,1.24759984,0.26429469,0.03162544,49.81925964,6.72086668,1.05096936,12.35592175,3.23649478,-4.64178753,0.53503746,10.92220974,1.77912104,0.87594831,1.28707099,0.25687551,pnr256,V1,tgt,lh,7.86231477874801,3.7837106656275843,1.3433150780456435,0.24574946150684301,1.4166523605150214,0.8578111587982833,0.8588235294117645,True,True,-3.2493121599999997,False,6,True,-1.2057204300000004,3.49190688,2.2861864499999998,-3.2493121599999997,9.00168013
-5.45,-0.86,0.0,0.69,106.0,157.0,1.0,3.81,91.0,16.7,0.73,4.27483273,2.58972383,3.17011642,3.56512308,3.39994907,29.94200325,6e-08,6.69,4.03776026,2.64217234,3.52260423,3.55223775,4.83664322,3.31852913,1.5275389,3.81952095,3.62636447,3.42805433,29.55146408,7e-08,0.46204579,-1.45365059,-2.59824192,22.61118698,3.13e-06,1.11325836,-1.48498356,-2.59824204,5.62194777,0.0,0.0,0.01455061,26.97451782,0.21915881,0.00288139,-2.55673289,0.35266459,1.87010372,0.16153243,5.63707924,1.17036796,0.76130778,0.90702641,0.34114764,0.02205306,37.44311905,-3.65177989,0.53320259,-6.37383747,1.48382759,-3.91029072,0.37514517,3.21735144,0.23892809,0.52526563,0.45750695,0.49895657,0.03438964,32.00566101,-4.08293343,0.31641319,-6.65210056,1.0170362,-0.41002348,0.00296283,-0.57430792,0.00531567,0.93633652,1.53919208,0.21504537,0.01240286,20.21435356,2.80664515,0.51417947,-3.19725108,0.38485345,2.23262429,0.31376752,6.22925615,1.9450115,1.46086848,3.66070795,0.05601125,0.01929628,29.753685,-3.00377131,0.29963306,-5.42836905,0.85606962,-0.05965562,8.705e-05,0.14929534,0.00087052,1.05980206,1.96685338,0.16110998,0.01644885,14.08496761,-3.4292717,0.28599748,1.36748552,0.04139777,4.90349579,0.62397885,12.2697649,2.34650469,1.76079464,5.43524313,0.01994336,0.01240286,20.21435356,2.80664515,0.51417947,-3.19725108,0.38485345,2.23262429,0.31376752,6.22925615,1.9450115,1.46086848,3.66070795,0.05601125,0.01929628,29.753685,-3.00377131,0.29963306,-5.42836905,0.85606962,-0.05965562,8.705e-05,0.14929534,0.00087052,1.05980206,1.96685338,0.16110998,0.01644885,14.08496761,-3.4292717,0.28599748,1.36748552,0.04139777,4.90349579,0.62397885,12.2697649,2.34650469,1.76079464,5.43524313,0.01994336,pnr256,V1,tgt,lh,7.078261779381886,3.7837106656275843,1.3433150780456435,0.24574946150684301,1.4166523605150214,0.8578111587982833,0.7294117647058821,True,True,-0.9753992500000002,False,5,True,1.1047163100000001,0.5803925899999998,1.6851089,-0.9753992500000002,-0.5095843099999999
-5.39,-1.24,0.0,0.75,106.0,157.0,2.0,3.84,103.0,13.12,0.69,1.21120489,-0.57057339,1.67121923,1.12376845,0.85890484,1.42176187,0.23341075,7.76,0.40521872,1.3042661,-1.79492211,-0.4133139,1.3223443,3.03673506,1.45627522,0.91809297,1.16134667,0.82096076,1.26614773,0.26077571,1.77460063,0.06732763,1.37256146,34.39206314,1e-08,8.54023361,9.91279507,1.37256086,1.47742319,0.0,0.0,0.01285257,15.48593712,2.1160202,0.19524705,-0.76247764,0.02312897,0.58878452,0.01182147,10.85614395,3.19411063,-1.47413242,2.50242615,0.11400496,0.02045516,23.64977264,-0.81946415,0.01970465,-5.30255413,0.75392842,-2.9828372,0.16027741,5.93937159,0.59770787,-1.77345395,3.82888508,0.05066996,0.02552692,12.86073017,0.84852517,0.00991404,-3.71264839,0.23100977,0.37106845,0.00171589,3.83590508,0.17463957,-0.95131004,1.1587348,0.28200224,0.00721254,4.9799366,6.26549625,1.8667649,3.36658788,0.31090617,-0.89281142,0.03654744,2.21256113,0.17875366,-0.20167838,0.05083762,0.82166076,0.01842228,20.01271439,0.71606499,0.01259098,2.22438693,0.1060597,0.24970603,0.00109207,-1.80954731,0.10104901,-1.31478143,2.23387051,0.13534838,0.01189841,5.40791607,-10.98518753,2.15328932,2.88583374,0.13540158,2.51747227,0.12068676,3.439538,0.13533843,-0.39515835,0.20089199,0.65410435,0.00721254,4.9799366,6.26549625,1.8667649,3.36658788,0.31090617,-0.89281142,0.03654744,2.21256113,0.17875366,-0.20167838,0.05083762,0.82166076,0.01842228,20.01271439,0.71606499,0.01259098,2.22438693,0.1060597,0.24970603,0.00109207,-1.80954731,0.10104901,-1.31478143,2.23387051,0.13534838,0.01189841,5.40791607,-10.98518753,2.15328932,2.88583374,0.13540158,2.51747227,0.12068676,3.439538,0.13533843,-0.39515835,0.20089199,0.65410435,pnr256,V1,tgt,lh,7.1225927873832084,3.7837106656275843,1.3433150780456435,0.24574946150684301,1.4166523605150214,0.8578111587982833,0.7999999999999998,False,False,-1.6943418399999999,False,6,True,-0.46001433999999986,2.24179262,1.7817782800000002,-1.6943418399999999,11.60713691
-5.26,-1.62,0.0,0.82,106.0,157.0,3.0,3.86,94.0,10.9,0.69,4.78451872,1.34433365,2.9452908,3.52534175,3.14987135,16.10462761,6.464e-05,8.45,3.68113899,3.92676353,4.41130686,2.53812027,1.68712449,3.50359821,3.39862728,1.95038426,3.60555768,3.18599105,15.85197735,7.374e-05,2.8013525,1.19497359,-1.17227137,43.60367584,0.0,2.35524201,1.18297064,-1.17227137,0.6984489,0.0,0.0,0.01886753,28.45110512,-11.91832638,5.28010368,-1.24309266,0.05236286,0.20352101,0.001205,7.75190449,1.38849199,-0.52604705,0.27167338,0.60233332,0.01954558,18.12874222,-5.12664461,0.64766747,-0.34475836,0.00270312,7.95645809,0.95733684,6.22291231,0.55089581,0.49858832,0.25409326,0.61432477,0.03445615,19.95977592,-9.72271061,1.11475313,-7.43054581,0.7883175,10.04083824,1.10425091,5.12893677,0.26591235,0.5761857,0.36205655,0.54751031,0.01976417,32.38188171,-4.00434494,0.66024458,0.12339264,0.00032853,-4.33716106,0.74697763,2.00795269,0.12747133,-0.06931891,0.00514704,0.94282169,0.01929601,18.41563034,-12.60877132,3.26800346,-3.032722,0.16530757,-5.62120819,0.46305516,3.31575656,0.28449282,0.68629861,0.51047063,0.47511127,0.02785155,25.51008224,-11.54523945,2.04757452,-2.27480793,0.07242086,-0.5589245,0.00511078,7.09809017,0.49607196,0.33952096,0.12766078,0.72094947,0.01976417,32.38188171,-4.00434494,0.66024458,0.12339264,0.00032853,-4.33716106,0.74697763,2.00795269,0.12747133,-0.06931891,0.00514704,0.94282169,0.01929601,18.41563034,-12.60877132,3.26800346,-3.032722,0.16530757,-5.62120819,0.46305516,3.31575656,0.28449282,0.68629861,0.51047063,0.47511127,0.02785155,25.51008224,-11.54523945,2.04757452,-2.27480793,0.07242086,-0.5589245,0.00511078,7.09809017,0.49607196,0.33952096,0.12766078,0.72094947,pnr256,V1,tgt,lh,7.12160339262417,3.7837106656275843,1.3433150780456435,0.24574946150684301,1.4166523605150214,0.8578111587982833,0.8823529411764705,False,True,-2.1810080999999997,False,6,True,1.8392279200000003,1.60095715,3.44018507,-2.1810080999999997,3.3639787399999994
-5.06,-2.02,0.0,0.85,106.0,157.0,4.0,3.91,104.0,12.0,0.73,4.7104044,1.72176325,3.25146604,2.56328249,3.06172895,15.37971592,9.424e-05,8.41,2.54907727,2.84747839,4.56926727,4.47259855,3.1775291,2.65838265,4.33383274,1.57668018,2.55891442,3.19055748,16.1251049,6.398e-05,3.14460778,1.5376426,-4.12437343,47.64477539,0.0,14.42142677,10.29705334,-4.12437344,7.02084017,0.0,0.0,0.00432285,1.46116757,-8.10878658,2.39119625,-6.96494293,1.60627687,5.41941261,0.83250326,-0.87689483,0.01746885,2.1335783,4.37214231,0.03679708,0.00550825,1.42490935,-7.408288,1.33855438,-10.45980167,2.4374125,2.27414894,0.07747329,-0.26140332,0.00096307,2.22281575,4.99777603,0.02561229,0.01660856,4.604568,-17.84492302,3.72841859,-14.57514095,3.0116961,-2.30430007,0.0577291,-2.10246015,0.04429123,1.71601963,3.18886089,0.07446157,0.00904116,6.65162039,-6.45456171,1.68402803,-8.71212578,1.76959467,0.8315866,0.02698143,-3.44410253,0.36817285,1.5084728,2.41704154,0.12035552,0.00102468,0.0514671,-6.57528257,0.88059998,-7.55946016,1.0181303,-3.98873115,0.23096128,3.57376194,0.32748878,2.84297562,8.68053532,0.00329506,0.00957687,2.97313643,-9.74425602,1.43774307,-13.61320496,2.55680943,-2.7673285,0.12369757,6.55153036,0.4165414,2.02838016,4.49148655,0.03432374,0.00904116,6.65162039,-6.45456171,1.68402803,-8.71212578,1.76959467,0.8315866,0.02698143,-3.44410253,0.36817285,1.5084728,2.41704154,0.12035552,0.00102468,0.0514671,-6.57528257,0.88059998,-7.55946016,1.0181303,-3.98873115,0.23096128,3.57376194,0.32748878,2.84297562,8.68053532,0.00329506,0.00957687,2.97313643,-9.74425602,1.43774307,-13.61320496,2.55680943,-2.7673285,0.12369757,6.55153036,0.4165414,2.02838016,4.49148655,0.03432374,pnr256,V1,tgt,lh,7.0872295620128405,3.7837106656275843,1.3433150780456435,0.24574946150684301,1.4166523605150214,0.8578111587982833,0.9176470588235294,False,True,-0.8415192400000002,False,6,True,1.4589383599999999,1.52970279,2.98864115,-0.8415192400000002,11.13857258
-5.11,-2.73,0.0,0.83,106.0,157.0,5.0,4.24,104.0,14.8,0.71,5.94940615,2.97440076,4.6016736,4.74349022,4.56724262,50.60046768,0.0,6.91,2.29223967,4.5523119,5.11276531,5.49112844,5.28893423,4.38273478,4.533288,4.95219851,4.77303648,4.59302902,49.27067184,0.0,2.9658742,1.41127253,-1.4676203700000006,46.86816406,0.0,6.92465973,5.45703936,-1.46762037,2.25930333,0.0,0.0,0.02037617,51.2632637,0.27362403,0.00431547,2.85843778,0.42723194,5.18516541,1.20342493,-1.4454385,0.0745477,0.90452385,1.24082577,0.2655946,0.02302815,38.55937958,-0.51778251,0.01018928,1.17555809,0.04771565,5.66134834,0.7426576,1.26364017,0.0348755,1.59095228,3.96404362,0.04676891,0.03827472,37.79964828,3.04344916,0.16766463,1.23342764,0.03339999,8.26094532,1.14723146,10.1406765,1.59580505,1.83830678,5.65681171,0.01758519,0.01975269,50.49768448,-2.8383832,0.51796925,5.42424488,1.09107804,8.98217773,5.00204945,-6.75688887,2.25396562,1.34759438,3.06806374,0.08016822,0.02399319,44.83346558,-2.46838284,0.1971731,9.98614025,2.82346106,12.11193371,3.38511586,-8.74057961,3.1133666,1.67855728,4.80868196,0.0285593,0.0271225,37.14837646,-7.53865719,1.34057796,8.08968925,1.40653396,11.33775711,3.2361052,-3.88327098,0.22800761,1.82810497,5.68324232,0.01732382,0.01975269,50.49768448,-2.8383832,0.51796925,5.42424488,1.09107804,8.98217773,5.00204945,-6.75688887,2.25396562,1.34759438,3.06806374,0.08016822,0.02399319,44.83346558,-2.46838284,0.1971731,9.98614025,2.82346106,12.11193371,3.38511586,-8.74057961,3.1133666,1.67855728,4.80868196,0.0285593,0.0271225,37.14837646,-7.53865719,1.34057796,8.08968925,1.40653396,11.33775711,3.2361052,-3.88327098,0.22800761,1.82810497,5.68324232,0.01732382,pnr256,V1,tgt,lh,7.447790272705978,3.7837106656275843,1.3433150780456435,0.24574946150684301,1.4166523605150214,0.8578111587982833,0.8941176470588235,True,True,-1.76908946,False,6,True,1.34773255,1.6272728399999998,2.9750053899999997,-1.76908946,7.22612882
