subject_id,odss_d0,odss_d1,odss_d2,odss_d3,odss_d4,odss_d5,odss_d6,fgm_d0,fgm_d1,fgm_d2,fgm_d3,fgm_d4,fgm_d5,fgm_d6
pnr143,0.063243745,0.3251901797,-0.5176560122,0.7036483985,1.546566063,2.971467362,-1.48115235,0.11385393,0.8263944049,0.6887539817,-0.06097678728,-0.3018456288,-0.4937738692,1.168858344
pnr256,0.67372082,0.08142326914,0.446577037,0.02705579389,0.3249090858,0.7042991615,0.7890661513,0.6728052336,0.7573602981,0.9677076018,0.6136038022,0.8774310386,1.262851693,0.7775235089
pnr328,-0.1452403214,0.01914352768,-0.1491409277,-0.01650166473,-0.08578111333,0.2182469277,0.1214077104,0.2912803029,0.2783711148,0.5119995735,0.4144404844,0.07566884134,0.01837751997,-0.02657834903
pnr495,0.365710186,0.05096366826,0.3292940499,0.07988915505,0.4678520031,1.201096592,0.2816353045,-0.071244848,0.2657393238,0.2718628078,0.5057584502,0.7156733414,0.5770187691,0.5035819933
pnr510,0.1069312783,0.4166758748,-0.3399492596,0.1437033426,0.2620168813,0.1232960798,0.2701082597,-0.44573492,0.04096650246,0.2711904838,0.2995027242,0.04690253455,0.503094391,0.5341674091
pnr579,-0.273912475,-0.09765170678,-0.2036863207,0.002229305072,-0.07279290932,0.2857623426,-0.199331111,0.1096833,0.3010627067,0.2646914341,0.2199370324,0.4014645993,0.04694326855,0.2968521501
pnr685,-0.11252794,0.1964258425,0.2803821162,0.1257867472,0.04828685754,0.3099575464,0.142447939,0.8315820956,0.2438664367,0.4652817792,0.8677421125,0.8020714548,0.3610636758,0.6162535244
pnr713,0.04621033857,0.3114425315,0.4300392879,0.2076546432,0.510715768,0.6182135708,0.3364774502,0.1736690171,0.06008515468,0.05613135602,0.3447361021,-0.6193076537,0.2291354548,0.1941285586
pnr739,0.031197501,-0.4132270544,0.2353226574,0.2854289142,-0.1198273591,-0.05402524226,0.1553393822,0.409933508,0.6339926694,0.1824036068,0.1781777736,0.4396512621,0.5978861174,0.4611075461
pnr756,-0.5015481512,-0.1567219782,0.007035184002,-0.01720280898,-0.2150051054,0.3979428269,0.4009870267,0.6068028525,0.2786555562,1.173465405,0.7159607837,0.2359623091,1.226720805,1.115386216
pnr822,-0.2047066725,0.5527145111,-0.4881970344,0.2669952824,0.5529985624,0.3847964641,-0.00359051971,-0.11520159,0.2248168135,0.6168475897,0.3695955326,0.2198485382,0.3073274173,0.5736241111
