,subjID, Nvox significant,Nvox total,Nvox_sig / Nvox_total,p_thresh
0,pnr143,2044,2501,0.8172730907636945,0.01
1,pnr256,1580,1833,0.861974904528096,0.01
2,pnr328,4296,6478,0.6631676443346712,0.01
3,pnr495,3122,4179,0.7470686767169179,0.01
4,pnr510,4440,4990,0.8897795591182365,0.01
5,pnr579,2379,2776,0.8569884726224783,0.01
6,pnr668,2062,2523,0.8172810146650813,0.01
7,pnr685,4495,5454,0.8241657499083241,0.01
8,pnr713,4143,5184,0.7991898148148148,0.01
9,pnr739,3748,4653,0.8055018267784225,0.01
10,pnr756,3190,4368,0.7303113553113553,0.01
11,pnr822,3772,4738,0.7961165048543689,0.01
