x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,theta all,theta F,theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
0.00,0.00,18.00,0.00,123.00,1.67577326,0.68384129,1.67063844,2.38890457,1.60478938,6.33062792,0.01204337,6.20,1.04365885,-0.51486909,0.32170004,1.10432577,1.56657660,2.34125495,1.88995636,4.58334017,1.54199290,7.96698332,0.00,2.12919497,-3.18254161,2.71032238,0.02669716,-4.18923712,3.00810552,2.62121129,1.48889470,-1.76636708,4.71371937,0.03019069,-0.62267166,2.45598316,1.98073685,2.13767529,2.16088557,0.42966932,0.08044519,4.71300697,-0.65874839,0.65406579,0.41888238,1.38594651,6.44280434,1.68911254,7.19429350,0.93549472,-1.00114071,-0.91586119,-4.31472969,-0.69405359,0.76389188,0.38235285,-0.72913992,-0.66988087,0.05925908,0.07037026,0.79108604,-4.18750620,-4.40762520,-0.22011909,0.07838368,0.00,0.00,
0.00,0.00,16.00,0.85,106.00,-0.26257220,-2.14170218,-0.12977149,-2.13155150,-1.16639936,1.31756794,0.25133988,9.88,-1.31677830,-0.80972677,-2.99441385,-1.79788685,-4.98393059,1.24045718,0.66103107,-0.49686235,-1.31226385,2.01555109,0.16,0.70931500,2.27245855,-3.31341577,-2.88672686,-9.25246429,0.52924371,-2.08341146,-4.91606188,-0.13396819,0.01062799,0.91791344,0.53286904,-1.49700749,-1.90335846,-5.77418566,-0.83793283,3.36035299,3.95649242,1.44645870,2.00808859,2.40465331,0.12133611,-6.71014929,1.22616136,1.15900409,-2.64755464,5.06471777,5.85181904,-5.81920481,-1.63730073,1.78925180,1.96794665,0.16102029,-0.72609162,-0.62006938,0.10602223,0.17041953,0.68020470,3.31278372,5.17798615,1.86520231,1.16429210,0.00,0.00,
0.00,0.00,18.00,0.00,51.00,3.67020202,1.25191307,1.39850140,-0.64617455,1.41861045,0.40520942,0.52457606,21.68,6.08823919,-4.12085056,-5.40515757,0.48776230,-2.19049597,1.75862229,1.74799252,7.39305925,0.71989644,0.14842097,0.70,5.70715714,-9.24546146,-9.51755524,14.36410904,-6.95658398,-7.79625416,7.24673986,15.50154781,2.26413846,0.63844401,0.42449139,2.38149500,-14.30118847,3.96094942,5.35900784,2.41322327,6.54830790,8.84178925,-3.07855129,2.13022733,0.56343693,0.45308033,0.16570675,7.80289936,-4.94818115,5.17274714,19.88224602,10.79342461,-7.69207430,-6.77746916,3.88068032,1.91796851,0.16643338,-0.97064900,-0.85423118,0.11641779,0.15368150,0.69548109,-28.63839722,-25.50540733,3.13299131,1.08940315,0.00,0.00,
0.00,0.00,19.00,0.00,123.00,-2.21345091,2.81047225,-1.36424661,0.88988715,0.03066551,0.00042546,0.98354805,14.07,2.40910864,0.93919700,2.91863489,-3.27277017,0.30888814,-0.47480014,-6.78455925,-4.26984835,-1.02826869,0.68628156,0.41,5.76881552,9.36193085,5.64025497,-6.29639196,7.77337408,-4.39306498,2.91363192,2.98556876,2.03569031,1.21347296,0.27094797,10.23500633,-5.79988384,4.35510683,-0.38952762,1.16237140,-1.05986655,-14.46868324,-5.07569742,-2.21612096,1.47264075,0.22525660,-0.04050172,-2.59483743,-5.76769733,2.22084856,-6.29458857,-7.36455870,-3.19040012,6.91543341,-2.94859910,2.60577011,0.10683554,-0.92100292,-0.93237883,-0.01137592,0.00209367,0.96355232,1.03951168,1.85207796,0.81256634,0.19224712,0.00,0.00,
0.00,0.00,20.00,0.00,17.00,-1.22047698,-1.08802176,0.51771206,-1.94467986,-0.93386662,0.49221686,0.48312494,12.95,-0.90727055,-1.23385823,1.96347189,-0.23188560,1.11400628,1.03499925,-1.06915092,-1.05197358,-0.04770768,0.00161754,0.97,5.05040932,-6.39616108,-4.27715826,4.03998232,-2.26804543,1.00646329,-0.16859311,-5.47793341,0.85862732,0.25349620,0.61475056,-10.73448277,2.95294976,0.89469880,3.56238341,3.20954728,0.20237960,-0.30860353,3.84209514,2.54585075,2.26030707,0.13308815,-2.45008755,-0.22758783,-2.98185563,-4.38068914,-0.91043258,-4.36655378,4.76555252,1.02632856,0.66341949,0.15477124,0.69411259,-2.40565658,-2.14509320,0.26056322,0.39271078,0.53163015,-4.83610392,-1.19306231,3.64304185,1.83655345,0.00,0.00,
0.00,0.00,20.00,0.00,26.00,2.86302614,4.00829268,2.60515642,3.16762900,3.16102600,1.42682731,0.23260368,25.74,5.75926876,-1.69578612,0.76311386,1.22405100,2.85232258,2.26080966,3.61053276,4.21807289,2.37404823,1.09207690,0.30,7.90422440,-7.90038919,14.20353794,10.42449379,0.40304852,6.45060682,-2.57500744,2.88834262,0.73604321,0.04698166,0.82845168,1.18860042,-4.28839970,-8.07595062,-5.96975517,17.67157555,3.65735364,6.77869272,9.49254608,-0.51435125,0.02331817,0.87866776,-2.43885779,-1.77383375,11.23812389,9.42040825,9.30648327,-3.12863111,3.36962724,-4.77573061,-0.31103793,0.00863583,0.92598108,-3.04871106,-2.88488483,0.16382623,0.12516724,0.72388868,-1.09865284,-3.73049378,-2.63184094,0.33142486,0.00,0.00,
0.00,0.00,20.00,0.00,103.00,3.66907430,3.26809549,0.20400833,2.48325920,2.40610933,1.37050319,0.24204129,19.99,-3.62525892,2.64170599,-2.27060556,5.04569387,-1.34715092,2.86355782,3.41978121,4.60214043,1.41623294,0.47805843,0.49,2.15544319,12.35292149,-1.05179274,2.35592151,-1.59229529,-5.00563145,10.78476238,4.48675919,0.96012473,0.13276367,0.71567154,-1.56430256,4.73778152,-18.16153908,-5.01859283,-1.02566814,-0.74673539,12.37232208,13.35487747,-2.27589226,0.76667279,0.38148834,-3.59312797,7.25501728,5.08674955,12.32655811,-9.88996506,3.46757054,13.83334446,1.00800145,1.30033946,0.25229099,0.61559275,-4.66840029,-4.73026419,-0.06186384,0.01374683,0.90678828,21.59704781,20.70023918,-0.89680886,0.02080952,0.00,0.00,
0.00,0.00,20.00,0.00,30.00,-8.37907410,0.65136826,-3.03239751,-7.69850492,-4.61465216,1.74131656,0.18731413,34.01,1.75270844,-5.94216204,-1.87796128,-5.04688501,-14.58712578,-2.98113418,5.45897055,-0.09329800,-2.91461086,0.99262899,0.32,10.83695602,-4.98279428,0.33980688,-3.02046871,-21.42965698,-2.40096474,2.88096571,19.57543564,8.36133671,3.48744869,0.06216958,-9.04007339,-20.53725433,14.61322498,-3.88480878,-17.87933540,-2.44071269,2.97956014,14.04690075,5.28303671,1.41121769,0.23517634,-2.50671673,-20.64097023,7.09183359,-23.00212288,-0.27574188,4.70513964,-21.38147545,-8.55160809,-0.54525083,0.01533679,0.90146895,-4.84118271,-4.85445023,-0.01326775,0.00062225,0.98012505,-3.01221848,-7.64477301,-4.63255453,0.96276283,0.00,0.00,
0.00,0.00,21.00,0.00,118.00,-2.07805967,-1.99859202,0.66741067,2.72494960,-0.17107287,0.00626468,0.93693147,21.06,-2.84287739,-2.49035549,5.25255919,-0.71087945,-4.00085115,-1.90314281,-8.09676552,-2.89895296,-2.21140814,0.97218895,0.32,-3.34445953,2.01897526,6.88987112,1.24490047,-5.65384197,4.44824600,-15.46337986,-7.69555044,-5.04649830,3.31695104,0.06890986,-15.55998325,-1.11989522,3.23038626,5.34423780,1.80333388,-0.42979228,2.05281162,10.05960464,-1.79753530,0.42473340,0.51475551,-12.76094627,6.24633884,1.39674783,-9.12272072,-6.47200346,-11.02286625,8.22990227,7.20984030,-4.65729332,2.92187881,0.08774023,-8.50334263,-8.54479027,-0.04144762,0.00215804,0.96299661,5.51684618,11.11250019,5.59565353,0.59361190,0.00,0.00,
0.00,0.00,18.00,0.73,152.00,0.27125993,-0.86288339,-0.22433200,-0.06006289,-0.21900459,0.31632638,0.57396652,3.79,0.11612802,-0.44806483,1.09569740,0.04713026,1.23425066,-0.22443408,-0.46304122,0.19211461,0.19372259,0.31009355,0.58,-0.07140142,-3.11020231,1.13316572,-1.23385489,1.09961188,-1.43316698,-0.55106241,-2.15811825,-0.78168529,2.47152185,0.11628672,-1.62699354,-0.73462027,-0.71234608,0.00657762,-0.56475729,-0.15648228,1.48776603,0.64679766,-0.14842945,0.08897200,0.76555887,2.29615116,0.59162003,-1.06841969,-0.02072366,0.98385876,-1.24282384,-0.76641101,1.47596359,0.33604053,0.46702138,0.49454138,0.10120886,-0.01029329,-0.11150215,0.44504640,0.50550615,-3.30091238,-3.56734228,-0.26643008,0.16513810,1.03,0.54,
