x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,theta all,theta F,theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L0 p-val
0.00,0.00,17.00,0.75,171.00,-0.20457104,-0.03799494,-0.44266784,0.22994490,-0.11382223,0.04430611,0.83333017,5.82,1.15432549,-0.92821598,0.47271550,1.46213174,0.48797941,-0.24389048,-0.02503109,1.18187439,0.44523612,0.91865766,0.34,1.94071925,-2.82071614,0.36679423,-0.57357258,3.38425326,-2.50254560,0.00176628,-0.72453046,-0.24728326,0.12138578,0.72761393,-2.08091354,3.57427430,-3.40628743,-2.44860601,-2.59930277,2.75099134,0.90622652,-0.46780628,-0.63893896,0.82835871,0.36297963,2.76289320,1.97314954,-3.69953823,-2.75205684,-1.48612046,-2.28811836,3.92594481,-0.20466986,-0.39297199,0.31388998,0.57543568,0.67919976,0.28664631,-0.39255345,2.42158222,0.12076838,1.97409379,1.56683576,-0.40725800,0.31092945,0.11,0.72,0.00657771,6.18516207,0.10437974,0.45234919,-0.17841201,1.36979604,-0.19672179,1.60542023,-0.09627819,0.40292066,-1.12129581,2.64833951,0.10399077,0.00795779,5.85293484,0.11504477,0.44819620,-0.20177145,1.40887225,-0.22654514,1.70513558,-0.11118779,0.43433332,-1.05164564,2.39403176,0.12213324,0.00865537,3.20882320,0.10118033,0.27626514,-0.20025264,1.08778012,-0.21264200,1.18176377,-0.09991593,0.27436987,-0.77149206,1.32056534,0.25078077,0.00849606,11.72785091,0.06775465,0.15219142,-0.24021876,1.93180740,-0.29789340,2.84304380,-0.08961096,0.27074999,-1.34019864,4.10781860,0.04296517,0.01034533,12.10873985,0.07740123,0.18070731,-0.25231054,1.91002893,-0.31130788,2.78948617,-0.09229947,0.26273447,-1.35483086,4.22265482,0.04016158,0.00455002,1.54748845,0.07215440,0.13744324,-0.16736323,0.74508703,-0.17620093,0.80462724,-0.05189778,0.07289500,-0.52357960,0.64270020,0.42293582,0.00849606,11.72785091,0.06775465,0.15219142,-0.24021876,1.93180740,-0.29789340,2.84304380,-0.08961096,0.27074999,-1.34019864,4.10781860,0.04296517,0.01034533,12.10873985,0.07740123,0.18070731,-0.25231054,1.91002893,-0.31130788,2.78948617,-0.09229947,0.26273447,-1.35483086,4.22265482,0.04016158,0.00455002,1.54748845,0.07215440,0.13744324,-0.16736323,0.74508703,-0.17620093,0.80462724,-0.05189778,0.07289500,-0.52357960,0.64270020,0.42293582,
0.00,0.00,19.00,0.00,158.00,-0.04665708,0.39288351,0.55318981,-1.25628662,-0.08921761,0.00565414,0.94007612,12.78,-1.94730890,2.17331338,-1.47461927,0.12113307,1.21483362,0.43787798,-1.47337568,1.75131524,0.10039616,0.00935637,0.92,0.81623054,-1.96705329,-3.30439830,5.11920595,5.79576683,-2.71376014,-2.05889344,0.01843798,1.71249354,1.20093071,0.27341494,6.18662262,4.41461086,-2.21983099,-10.35435581,-5.00409174,3.54530311,3.50864172,3.05457377,1.93938577,1.58399165,0.20849750,4.01156378,3.07066321,-7.67503977,-0.55042249,-2.63939619,10.34082603,3.08985710,-10.65996838,1.15284908,0.56624216,0.45194345,-0.51402909,-0.89917314,-0.38514408,1.72833419,0.18966609,-6.41496754,-6.86399460,-0.44902691,0.05121708,0.11,0.72,0.00504846,0.75233626,-0.08866460,0.06742854,-0.10421662,0.09652442,0.15391734,0.20293219,-0.16207999,0.23581515,-0.81186956,0.28670985,0.59246241,0.00757673,1.09637010,-0.09682588,0.06560664,-0.13539214,0.13112088,0.14369781,0.14174731,-0.20501328,0.30520949,-0.93024367,0.38707918,0.53398848,0.01441081,1.84459770,-0.10918423,0.06667777,-0.19127086,0.20576707,0.12348945,0.08258426,-0.26234561,0.39229837,-1.14682400,0.60509390,0.43683534,0.00378148,0.47675741,-0.15154926,0.15633358,-0.13067020,0.11727327,0.17105739,0.19234663,-0.16186273,0.18126570,-0.55908692,0.14673010,0.70176595,0.00332521,0.25653428,-0.15418009,0.14705257,-0.09155906,0.05160225,0.20417111,0.24610305,-0.14825669,0.13902146,-0.42041224,0.08335748,0.77286117,0.00889658,1.22809970,-0.16083713,0.14175357,-0.16065413,0.14249283,0.15296389,0.12585942,-0.16412476,0.15127158,-0.85872775,0.35881951,0.54930584,0.00378148,0.47675741,-0.15154926,0.15633358,-0.13067020,0.11727327,0.17105739,0.19234663,-0.16186273,0.18126570,-0.55908692,0.14673010,0.70176595,0.00332521,0.25653428,-0.15418009,0.14705257,-0.09155906,0.05160225,0.20417111,0.24610305,-0.14825669,0.13902146,-0.42041224,0.08335748,0.77286117,0.00889658,1.22809970,-0.16083713,0.14175357,-0.16065413,0.14249283,0.15296389,0.12585942,-0.16412476,0.15127158,-0.85872775,0.35881951,0.54930584,
0.00,0.00,4.00,0.33,173.00,-0.39669204,-0.06094995,0.68700701,-0.31402862,-0.02116590,0.00202975,0.96407470,5.11,0.49471569,-0.76035601,-1.60205042,0.35552832,0.43420380,1.40290225,-0.49370265,2.47759533,0.28860456,0.40983817,0.52,-0.47845513,-2.63753772,-0.26033700,0.40551040,-0.83900994,0.29218093,-0.36324555,3.32930613,0.23383781,0.14071384,0.70765656,3.93408823,1.00292158,0.32410365,-1.57357156,1.85223484,0.11132902,-0.87212962,0.69962621,1.01037443,2.66123962,0.10315376,1.47358131,1.91590071,-1.01043618,-0.64832449,-0.60037142,-1.64948273,-1.03535414,-1.61048043,-0.05310209,0.00732941,0.93179302,1.21297634,0.86321867,-0.34975761,3.21040940,0.07421727,1.70812762,2.11016607,0.40203843,0.21357238,0.20,0.75,0.00730222,9.99830627,0.04848846,0.12797938,0.15516238,1.35885501,-0.17640696,1.69328821,0.10140315,0.58621156,-1.28766048,4.58092833,0.03258460,0.01078774,14.17305088,0.06281424,0.17611353,0.14569442,0.96792465,-0.23215345,2.35959721,0.08693568,0.34994370,-1.44584703,5.96274281,0.01479335,0.01442518,11.74620533,0.04941979,0.08690771,0.17881557,1.14309716,-0.23923908,1.97140193,0.11087592,0.44526428,-1.28175926,4.80394697,0.02863748,0.00324706,2.21525884,0.00680749,0.00196375,0.24547315,2.60866404,-0.11581168,0.55566937,0.18572251,1.50365293,-0.63004220,1.17403340,0.27884982,0.00968757,13.89810371,0.01011635,0.00405021,0.16904299,1.12220204,-0.24516384,2.26450801,0.15599483,0.98250675,-1.33003283,5.32668591,0.02121603,0.00828999,6.74689770,-0.00218105,0.00014617,0.22237919,1.72792554,-0.18983242,1.22664225,0.19690835,1.37807238,-0.92902285,2.65755439,0.10339161,0.00324706,2.21525884,0.00680749,0.00196375,0.24547315,2.60866404,-0.11581168,0.55566937,0.18572251,1.50365293,-0.63004220,1.17403340,0.27884982,0.00968757,13.89810371,0.01011635,0.00405021,0.16904299,1.12220204,-0.24516384,2.26450801,0.15599483,0.98250675,-1.33003283,5.32668591,0.02121603,0.00828999,6.74689770,-0.00218105,0.00014617,0.22237919,1.72792554,-0.18983242,1.22664225,0.19690835,1.37807238,-0.92902285,2.65755439,0.10339161,
0.00,0.00,8.00,0.51,170.00,-0.83969826,1.53862989,0.67773700,1.05842590,0.60877359,1.86311805,0.17258785,4.80,0.51344705,-0.16901265,1.20460117,0.61988002,0.50188553,2.17191148,-0.81524110,0.52284640,0.56878972,1.89352632,0.17,1.57098854,0.30727017,3.23128271,4.65973949,3.33606553,-0.74217260,-1.61244130,1.37153447,0.52757317,0.81797528,0.36600332,1.02281427,-0.04111718,0.62671959,-0.96921462,0.67561740,1.83033907,-0.98296422,3.06733465,-0.38935974,0.44568604,0.50455373,-1.84016693,-0.05067435,-1.07622290,-0.22312927,-0.62915641,-0.97932237,-0.02516823,-1.92535436,-1.88179421,10.34430408,0.00134286,0.98400599,0.64456296,-0.33944300,2.47293234,0.11691578,4.99208498,5.71448231,0.72239715,0.90975946,0.11,0.71,0.00297501,1.85510051,-0.17621005,1.89002514,-0.09755874,0.60052198,-0.01552951,0.01467487,-0.08440106,0.45393723,0.28245896,0.24635749,0.61976683,0.00483216,3.16979432,-0.18996789,1.79532468,-0.12646754,0.81297410,-0.03722128,0.06765205,-0.10947102,0.61855656,0.16667220,0.08834177,0.76636112,0.00900308,5.12405729,-0.21387343,1.82229280,-0.16358271,1.07132721,-0.06802719,0.17852712,-0.13721874,0.76379985,0.04242011,0.00592348,0.93866832,0.00112554,0.29956725,-0.21559581,2.24315310,-0.08583091,0.35890776,0.03056963,0.04354366,-0.05407456,0.14339940,0.57151479,1.08711803,0.29737674,0.00594158,5.84480619,-0.22551522,2.24520302,-0.16082823,1.13565075,-0.06937131,0.20269480,-0.09328796,0.39279324,0.02062541,0.00139960,0.97016502,0.00866916,8.33347511,-0.24718615,2.39293861,-0.18706711,1.38100183,-0.09057804,0.31540993,-0.09975629,0.39944220,-0.06940140,0.01675693,0.89703023,0.00112554,0.29956725,-0.21559581,2.24315310,-0.08583091,0.35890776,0.03056963,0.04354366,-0.05407456,0.14339940,0.57151479,1.08711803,0.29737674,0.00594158,5.84480619,-0.22551522,2.24520302,-0.16082823,1.13565075,-0.06937131,0.20269480,-0.09328796,0.39279324,0.02062541,0.00139960,0.97016502,0.00866916,8.33347511,-0.24718615,2.39293861,-0.18706711,1.38100183,-0.09057804,0.31540993,-0.09975629,0.39944220,-0.06940140,0.01675693,0.89703023,
0.00,0.00,13.00,0.72,177.00,-0.69067991,-0.89921719,-0.61767238,-1.06261110,-0.81754512,3.39867711,0.06555938,4.78,-0.36106947,-1.00990236,0.41462067,0.67216963,-1.02914941,-2.19991088,-1.23873186,-0.77768350,-0.69120717,3.28846908,0.07,-1.30704665,-3.35075402,1.16396260,-0.20163751,-1.75843704,-0.68837994,-0.31008253,-0.86449403,0.14492558,0.06156046,0.80410026,-0.77888221,1.99748039,-0.34040156,3.25580931,-2.99634194,-3.69006944,-2.35924745,0.73689479,0.42249951,0.54284555,0.46143870,-0.52369046,-0.32382208,-1.46742272,-0.27327067,-1.14135730,-3.03080988,-0.90283543,1.93552244,0.37581101,0.42019156,0.51699895,0.21277408,-0.11959218,-0.33236626,1.96364653,0.16219681,-1.14921796,-1.26409185,-0.11487395,0.02158103,0.11,0.70,0.00934430,18.81714821,0.13920307,1.21270716,-0.11830419,0.90790778,-0.08131314,0.41345164,-0.17086494,1.91300404,-2.31638432,17.03791618,0.00003987,0.01189360,19.73289680,0.15580936,1.24104142,-0.13943478,1.01552796,-0.10375617,0.53986567,-0.19706179,2.05965638,-2.29143977,17.15455055,0.00003754,0.01680897,18.28812599,0.15422060,0.97015858,-0.15280533,0.95718610,-0.10902175,0.46945331,-0.21530789,1.92540729,-2.17950416,15.92695999,0.00007092,0.01173630,34.07045364,0.09104244,0.41844425,-0.18001513,1.65160036,-0.17315857,1.46245706,-0.13446116,0.92790675,-2.59051895,23.36591911,0.00000156,0.01463450,36.98605347,0.09525036,0.41778612,-0.20109767,1.85199916,-0.19241409,1.62666082,-0.17520596,1.44537687,-2.63710666,24.42000771,0.00000092,0.01365925,21.17609787,0.09272474,0.34464622,-0.15154110,0.92764670,-0.10477956,0.43201178,-0.14657198,0.88269651,-2.14788461,16.42303848,0.00005482,0.01173630,34.07045364,0.09104244,0.41844425,-0.18001513,1.65160036,-0.17315857,1.46245706,-0.13446116,0.92790675,-2.59051895,23.36591911,0.00000156,0.01463450,36.98605347,0.09525036,0.41778612,-0.20109767,1.85199916,-0.19241409,1.62666082,-0.17520596,1.44537687,-2.63710666,24.42000771,0.00000092,0.01365925,21.17609787,0.09272474,0.34464622,-0.15154110,0.92764670,-0.10477956,0.43201178,-0.14657198,0.88269651,-2.14788461,16.42303848,0.00005482,
0.00,0.00,0.00,0.33,162.00,0.57563972,-0.23727556,0.26454493,0.60639232,0.30232537,0.43007034,0.51211289,4.96,-1.05927038,0.40846270,1.20943618,-1.21305799,-1.64080095,-2.36230516,0.70356661,-1.16627276,-0.64003021,2.06373453,0.15,-0.06623127,-0.11149359,1.67395270,-3.87903380,-1.02324176,-0.34317735,1.14136422,1.16414225,-0.86517727,2.04256415,0.15328210,-3.15723348,0.32736468,3.14025736,4.79550743,-0.54847056,-2.29147553,0.46186134,-0.10565098,-0.36589718,0.37646729,0.53964763,-1.42014480,-0.38228163,2.58887076,-0.83507365,2.00903487,-1.02268589,1.37019038,2.70464921,-0.01347276,0.00054134,0.98144243,1.26989436,1.02760959,-0.24228473,1.42906952,0.23289635,-0.07155585,1.83219802,1.90375388,4.35857916,0.20,0.75,0.00447437,3.93270063,-0.07871777,0.35343903,-0.17989051,1.91356504,-0.17360906,1.71809781,-0.15951820,1.51978779,-0.24265169,0.17041908,0.67983307,0.00536818,3.65988278,-0.08598696,0.34411255,-0.20066212,1.91474056,-0.18977879,1.64436638,-0.17776150,1.52584732,-0.19284908,0.11060761,0.73952704,0.00498420,1.46282911,-0.11145317,0.46096590,-0.20107448,1.50773787,-0.17286858,1.07374787,-0.17464560,1.15252972,0.06017599,0.01103559,0.91635804,0.00607498,8.22861195,-0.12293855,0.68776941,-0.23813471,2.60528088,-0.24077345,2.54870629,-0.15953788,1.17741251,-0.44134790,0.61135918,0.43447196,0.00770104,9.21506500,-0.12480924,0.64539838,-0.26346353,2.86021280,-0.25949073,2.66179514,-0.18449223,1.44192803,-0.48082554,0.73046768,0.39294780,0.00879128,8.01097965,-0.13488032,0.66599339,-0.26114318,2.51574349,-0.25434318,2.32484245,-0.18026404,1.21940601,-0.37542534,0.45819357,0.49863473,0.00607498,8.22861195,-0.12293855,0.68776941,-0.23813471,2.60528088,-0.24077345,2.54870629,-0.15953788,1.17741251,-0.44134790,0.61135918,0.43447196,0.00770104,9.21506500,-0.12480924,0.64539838,-0.26346353,2.86021280,-0.25949073,2.66179514,-0.18449223,1.44192803,-0.48082554,0.73046768,0.39294780,0.00879128,8.01097965,-0.13488032,0.66599339,-0.26114318,2.51574349,-0.25434318,2.32484245,-0.18026404,1.21940601,-0.37542534,0.45819357,0.49863473,
0.00,0.00,21.00,0.00,138.00,-6.00276423,7.76760483,-4.67688084,1.46286619,-0.36229348,0.00682845,0.93415961,47.26,5.42426062,-5.07539415,8.00933647,13.11884212,-13.45082951,-4.26249790,2.79812574,7.64180803,1.77545643,0.22024724,0.64,-21.07362556,-22.07558250,-8.91442585,57.00255585,-17.80213165,28.51519394,6.24128485,35.03437042,5.98007965,1.11565638,0.29112562,-3.11213279,-2.67558956,29.77154350,18.08119202,-24.21719170,-39.73130035,-29.26565552,18.53624153,-6.29892302,1.23298085,0.26711057,-39.41376877,30.53932571,3.60088062,8.06480217,17.22961044,-22.94064140,-26.37113571,-16.54825401,-7.03838825,1.53710496,0.21535702,-3.64593887,-4.27663040,-0.63069177,3.42160749,0.06536912,-41.64447403,-57.37205124,-15.72757816,5.71820116,0.00,0.00,-0.01344827,0.39211750,0.48955017,0.15085617,-1.57758558,1.62403715,-1.57482409,1.56011319,1.20673573,0.95983589,2.01032829,0.12915024,0.71939485,0.00509229,0.03634155,0.62915707,0.20329572,-2.03844810,2.18016768,-2.13502169,2.29624367,1.08250940,0.62431532,-0.65854174,0.01421117,0.90513377,0.05583860,2.03469682,0.84674931,0.29481745,-2.78075719,3.19570374,-3.03645182,3.67130327,0.84844124,0.30144864,-4.41579676,0.65909958,0.41708202,-0.04478361,4.93393421,0.59230608,0.17614965,-1.18583095,0.71277386,-0.90848863,0.40036985,1.42508841,1.03662324,6.48055792,1.45432460,0.22813651,-0.00115372,0.00216927,0.64400637,0.18840082,-2.09450865,1.98238444,-2.08110332,1.87760890,1.31681097,0.80555719,0.04446582,0.00000000,1.00000000,0.03779979,1.62910557,0.60096914,0.14547332,-2.72927594,3.02278113,-2.91067481,3.34914541,1.12509072,0.52257401,-3.57922363,0.45814857,0.49865581,-0.04478361,4.93393421,0.59230608,0.17614965,-1.18583095,0.71277386,-0.90848863,0.40036985,1.42508841,1.03662324,6.48055792,1.45432460,0.22813651,-0.00115372,0.00216927,0.64400637,0.18840082,-2.09450865,1.98238444,-2.08110332,1.87760890,1.31681097,0.80555719,0.04446582,0.00000000,1.00000000,0.03779979,1.62910557,0.60096914,0.14547332,-2.72927594,3.02278113,-2.91067481,3.34914541,1.12509072,0.52257401,-3.57922363,0.45814857,0.49865581,
0.00,0.00,20.00,0.00,176.00,1.13343740,-0.99550164,0.74116081,-0.68941981,0.04741919,0.00347231,0.95302315,8.61,0.92938286,0.67608678,-2.33987308,3.59104466,1.59986055,0.67076027,0.30585086,0.95048046,0.79794919,1.36231577,0.24,2.64210820,-3.98367715,-1.95952344,1.99045002,0.83382010,-5.83215427,1.83532596,-4.50441694,-0.29427707,0.07890488,0.77884849,1.02731812,6.55122137,-5.35184669,-3.94948411,-2.66205740,4.45489407,5.01600552,0.25479725,1.50363970,2.11366940,0.14632091,8.56671238,5.65166998,-6.28493261,1.37509978,-3.83636808,-1.11397552,-0.72396708,4.24866819,1.78940105,3.02475977,0.08232809,-1.70153773,-1.98928821,-0.28775045,1.23294306,0.26775845,-0.84073991,-0.19930045,0.64143944,0.28579444,0.11,0.70,0.00987450,6.38296986,-0.06885891,0.09012745,-0.12014571,0.28451601,-0.04698811,0.04199120,-0.26674020,1.41612768,-1.39735544,1.88335657,0.17027809,0.00877449,3.24853706,-0.09475398,0.13881765,-0.09488835,0.14228809,-0.00671069,0.00071450,-0.25921583,1.07787824,-0.91602772,0.82923126,0.36272663,0.00650979,0.82886285,-0.14498772,0.25911507,-0.04948115,0.03034039,0.07940259,0.07524010,-0.23776563,0.70953751,-0.37033153,0.13897528,0.70938528,0.01235810,11.35361385,-0.13513146,0.27700529,-0.18734424,0.53764349,-0.16381174,0.39332485,-0.25393155,0.99458379,-1.67898035,2.94998789,0.08620513,0.00552103,1.56146419,-0.14623755,0.29211864,-0.04373460,0.02598195,0.04096066,0.02190635,-0.21365893,0.63762760,-0.54224581,0.30628133,0.58010176,-0.00077944,0.02075199,-0.16191815,0.31636608,0.02844995,0.00986737,0.17862824,0.37801170,-0.18995212,0.44626945,0.20946735,0.04709888,0.82823736,0.01235810,11.35361385,-0.13513146,0.27700529,-0.18734424,0.53764349,-0.16381174,0.39332485,-0.25393155,0.99458379,-1.67898035,2.94998789,0.08620513,0.00552103,1.56146419,-0.14623755,0.29211864,-0.04373460,0.02598195,0.04096066,0.02190635,-0.21365893,0.63762760,-0.54224581,0.30628133,0.58010176,-0.00077944,0.02075199,-0.16191815,0.31636608,0.02844995,0.00986737,0.17862824,0.37801170,-0.18995212,0.44626945,0.20946735,0.04709888,0.82823736,
0.00,0.00,1.00,0.27,173.00,-0.56650966,-0.20429264,-0.23278059,-1.22692907,-0.55762798,1.46450007,0.22651586,4.96,-0.34748951,0.64326704,-0.19664359,-0.65756881,-1.07259500,-0.85394263,0.41791174,-1.49247265,-0.44494167,1.27910495,0.26,2.01169538,-0.62008935,-1.10578513,-3.66853619,0.71532661,0.06597191,1.83851767,-0.91242152,1.00342333,2.75546527,0.09725438,-2.83162117,1.88634646,0.21639504,0.20255308,-2.39269876,-1.60556328,1.80106044,0.86546350,1.00650465,2.80789232,0.09413234,-4.59166479,0.76976007,0.49412984,2.07211208,-4.28338623,-1.41632390,-0.46153912,2.24757075,0.63715839,1.14379525,0.28512489,1.36308074,1.18799770,-0.17508307,0.79535019,0.37322915,4.47605705,4.43606997,-0.03998688,0.00332020,0.10,0.72,0.00844786,14.19853401,-0.01770678,0.01805360,-0.27482390,4.52328300,-0.28633511,4.73346758,-0.04156212,0.10443074,-1.76977110,9.18157864,0.00251104,0.00843384,9.10429192,-0.03003785,0.04234410,-0.28176606,3.80477619,-0.29121652,3.90215993,-0.02474905,0.02980344,-1.47119451,6.48832417,0.01101568,0.00836584,4.14174747,-0.05956516,0.13231288,-0.28005677,2.93945599,-0.27481261,2.72704697,0.00595996,0.00138628,-1.11373472,3.80241632,0.05147346,0.01019792,23.60997391,-0.08432976,0.32951644,-0.35237449,5.80838537,-0.39398506,6.94876528,0.00886855,0.00377219,-1.95422018,12.20428848,0.00049886,0.01049874,17.30642700,-0.08338720,0.29114842,-0.34567282,4.97528839,-0.37698707,5.67696476,0.00030131,0.00000000,-1.73024154,9.55777264,0.00204930,0.01004591,10.50924015,-0.09181096,0.31000733,-0.32436016,3.89923930,-0.32712996,3.86373472,0.02333139,0.02046560,-1.40295053,6.42860126,0.01138956,0.01019792,23.60997391,-0.08432976,0.32951644,-0.35237449,5.80838537,-0.39398506,6.94876528,0.00886855,0.00377219,-1.95422018,12.20428848,0.00049886,0.01049874,17.30642700,-0.08338720,0.29114842,-0.34567282,4.97528839,-0.37698707,5.67696476,0.00030131,0.00000000,-1.73024154,9.55777264,0.00204930,0.01004591,10.50924015,-0.09181096,0.31000733,-0.32436016,3.89923930,-0.32712996,3.86373472,0.02333139,0.02046560,-1.40295053,6.42860126,0.01138956,
0.00,0.00,19.00,0.00,165.00,4.90858221,4.15654564,1.51740229,2.78084779,3.34084439,10.11389732,0.00151913,11.31,-2.59410906,0.20423907,-3.53148627,0.74386811,4.02842140,0.99284345,3.24667525,4.85943794,0.99373621,1.01926875,0.31,5.88799334,1.62307799,-2.70438552,14.46328163,6.32121801,-2.29920578,6.57342386,1.28969967,1.41293311,1.06599426,0.30211616,8.72633839,6.85057163,-7.14366245,-10.27539253,-2.13196707,3.96793723,10.51224613,0.11773233,-1.11031461,0.68103927,0.40943735,16.96222115,6.16588116,-0.37198436,11.76732922,-0.70301604,7.09730959,3.32274508,-6.36554384,2.14754105,2.55780983,0.11008479,-1.41826260,-1.52348793,-0.10522533,0.15806589,0.69123698,1.48773897,4.25790739,2.77016830,2.07099056,0.11,0.70,0.00099768,0.03760648,-0.21857965,0.52436209,-0.49478772,2.78518558,0.12226317,0.16396663,-0.36780357,1.55451953,3.54884148,7.01331329,0.00822515,0.00340404,0.28331065,-0.22748917,0.46370676,-0.58282751,3.10955620,0.09307293,0.07612126,-0.43534219,1.76173091,3.29826856,6.22910786,0.01273586,0.00563660,0.36102656,-0.26909050,0.51855785,-0.67146552,3.24474311,0.08797751,0.05365412,-0.49853495,1.81229055,3.27544188,6.31515455,0.01213614,-0.00355913,0.54138595,-0.24863270,0.53925568,-0.50600803,2.25466037,0.24536116,0.50736076,-0.39644498,1.39361477,4.22287989,10.72765541,0.00109375,-0.00849925,2.15194416,-0.25939390,0.53446048,-0.44248918,1.54673576,0.34414637,0.89762110,-0.36408132,1.07662392,4.72232103,13.50762939,0.00025094,-0.00678041,0.91378349,-0.26387671,0.48882297,-0.54603642,2.10917735,0.28861427,0.57405180,-0.40905762,1.20403504,4.33235645,11.70103359,0.00065134,-0.00355913,0.54138595,-0.24863270,0.53925568,-0.50600803,2.25466037,0.24536116,0.50736076,-0.39644498,1.39361477,4.22287989,10.72765541,0.00109375,-0.00849925,2.15194416,-0.25939390,0.53446048,-0.44248918,1.54673576,0.34414637,0.89762110,-0.36408132,1.07662392,4.72232103,13.50762939,0.00025094,-0.00678041,0.91378349,-0.26387671,0.48882297,-0.54603642,2.10917735,0.28861427,0.57405180,-0.40905762,1.20403504,4.33235645,11.70103359,0.00065134,
