x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,theta all,theta F,theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L0 p-val
0.00,0.00,1.00,0.00,126.00,-2.24436545,-1.09122133,-0.60244799,-1.01565909,-1.23842347,5.10605764,0.02406732,5.97,-1.34656203,-0.36255473,-1.42985058,-0.21745811,-1.06769252,-0.58017284,0.30982897,-0.11340830,-0.60098374,1.58643436,0.21,0.68373466,0.07595807,-1.66708839,-1.71251631,-0.23038574,-3.17068934,0.41102883,-2.55733705,-0.07727220,0.01136168,0.91513590,-2.34372306,1.54021895,-2.37289858,1.98464108,-1.76970625,-1.12682629,-1.23409605,0.43710741,0.39644340,0.30588007,0.58034994,-2.72901249,-1.62043250,-3.20209002,0.92799246,-3.73916388,-3.10948420,-3.33269310,-1.21638095,-1.24620271,2.97717309,0.08477287,1.44321299,1.56311524,0.11990232,0.93283498,0.33493485,-0.76919216,-0.93267488,-0.16348274,0.03460095,6.28,0.00,-0.00031721,0.01580664,-0.01160769,0.00838070,-0.14136690,1.29890227,-0.15869509,1.59456062,-0.13128622,1.12386239,-0.95632762,1.79644001,0.18046426,0.00136841,0.21877185,0.00321293,0.00042439,-0.17449033,1.50010431,-0.19611312,1.86475933,-0.15785472,1.24674487,-1.21371663,2.95755768,0.08580301,-0.00078698,0.04200757,-0.00939138,0.00328847,-0.18011037,1.22575128,-0.20151396,1.51418197,-0.16473059,1.03979349,-0.92667347,1.71191466,0.19105393,0.00737400,7.74765730,-0.01798549,0.01433187,-0.25155658,2.80626512,-0.27097544,3.22862720,-0.18916382,1.59083724,-2.17156172,9.62791252,0.00197314,0.00724281,5.40885735,-0.01633392,0.00981547,-0.26651630,2.61443591,-0.28994259,3.07149529,-0.19414715,1.39251649,-1.99348485,8.03492260,0.00468578,0.00920431,5.24279213,-0.01244278,0.00469364,-0.28471994,2.48037362,-0.30896398,2.89512038,-0.21404620,1.39347661,-1.90278447,7.74194002,0.00550232,0.00737400,7.74765730,-0.01798549,0.01433187,-0.25155658,2.80626512,-0.27097544,3.22862720,-0.18916382,1.59083724,-2.17156172,9.62791252,0.00197314,0.00724281,5.40885735,-0.01633392,0.00981547,-0.26651630,2.61443591,-0.28994259,3.07149529,-0.19414715,1.39251649,-1.99348485,8.03492260,0.00468578,0.00920431,5.24279213,-0.01244278,0.00469364,-0.28471994,2.48037362,-0.30896398,2.89512038,-0.21404620,1.39347661,-1.90278447,7.74194002,0.00550232,
0.00,0.00,1.00,0.00,147.00,-0.64812702,-0.79972559,-0.03851040,-0.01900106,-0.37634102,1.26825297,0.26037789,3.64,-0.69088018,-0.55426562,0.25198749,0.60504395,-0.06656633,-0.50369883,0.10639790,-0.09642394,-0.11855070,0.18010834,0.67,-2.32078004,0.89615262,-0.28023100,-1.53871679,0.50987196,0.44247201,-1.06635547,-2.90245295,-0.78885126,3.22240782,0.07295549,1.47081101,-0.65684509,-1.40585494,1.76242304,0.05971618,-1.51060236,0.00827448,-0.21138379,-0.01103950,0.00064649,0.97972046,1.07140827,-0.71722424,-0.70030439,-1.58007312,-1.48572791,-1.91590714,-0.58962631,0.50106591,-0.62615907,2.02449942,0.15510924,1.19415605,1.48211551,0.28795943,8.02885818,0.00492794,-1.51581204,-2.08114815,-0.56533617,1.56291223,6.28,0.00,0.00670658,19.42459106,0.03119931,0.16684940,-0.07336260,0.96060395,0.06001043,0.62610400,-0.10187062,1.85821152,-1.53920889,12.77930927,0.00036814,0.00744484,17.75177574,0.03734238,0.18445159,-0.08507027,0.97736806,0.06776295,0.61028248,-0.11855936,1.92783546,-1.45581114,11.66363716,0.00066434,0.00985045,18.04786301,0.03617320,0.13315564,-0.10410355,1.12284172,0.07904379,0.63879800,-0.13708508,1.97449970,-1.47645485,11.91637611,0.00058098,0.00783017,23.90590858,-0.01297385,0.02041445,-0.10044366,1.22435486,0.07912982,0.75343227,-0.10079738,1.23613524,-1.61223257,14.52243137,0.00014742,0.00873059,21.50482559,-0.01262095,0.01605627,-0.10643411,1.14094424,0.08103811,0.65655565,-0.10273232,1.06686652,-1.56377172,13.52887058,0.00024812,0.01090220,20.10374260,-0.01107626,0.01027732,-0.10415232,0.90717357,0.10309690,0.88107944,-0.11111443,1.02634668,-1.43460035,12.02824974,0.00054754,0.00783017,23.90590858,-0.01297385,0.02041445,-0.10044366,1.22435486,0.07912982,0.75343227,-0.10079738,1.23613524,-1.61223257,14.52243137,0.00014742,0.00873059,21.50482559,-0.01262095,0.01605627,-0.10643411,1.14094424,0.08103811,0.65655565,-0.10273232,1.06686652,-1.56377172,13.52887058,0.00024812,0.01090220,20.10374260,-0.01107626,0.01027732,-0.10415232,0.90717357,0.10309690,0.88107944,-0.11111443,1.02634668,-1.43460035,12.02824974,0.00054754,
0.00,0.00,1.00,0.00,157.00,-0.58068317,-1.01982546,0.29360121,-0.20456603,-0.37786838,1.12781024,0.28851166,3.88,-2.00418115,-0.92853552,-0.24077643,0.64212918,-0.15019895,-0.08650681,-2.39459658,-0.09493370,-0.65719998,4.30357552,0.04,-1.57141638,-2.35280013,-2.11970210,-1.60899925,2.38806772,-1.00040817,0.55818605,-2.33655596,-0.77198213,2.73463321,0.09852546,-2.72834110,1.49255931,-1.47959030,1.26866496,-1.44156992,1.35437107,1.52587938,2.34147382,0.49563667,1.15575242,0.28262202,-0.88524359,-0.13414042,-0.18607354,-0.11917201,-2.62117791,-2.13619971,0.14870635,0.88485771,-0.38607329,0.68025750,0.40970577,1.13576984,1.48598742,0.35021761,10.76860523,0.00115899,2.60702896,4.13646030,1.52943122,6.24834251,6.28,0.00,0.00312095,3.68943763,-0.15680544,3.69761348,-0.20002356,6.26348448,-0.10649372,1.72948766,-0.23769040,8.87298203,-0.61306965,1.77816069,0.18269532,0.00317771,2.83831358,-0.17664666,3.62141347,-0.22663163,6.08754253,-0.11613980,1.57321811,-0.26917288,8.72071743,-0.53315461,1.37286508,0.24161431,0.00399286,2.60129356,-0.20541595,3.76781511,-0.26023078,6.15495491,-0.13035226,1.52408230,-0.30808935,8.74865723,-0.51679611,1.28071141,0.25805268,0.01040104,38.14654922,-0.21328591,4.98622990,-0.31562904,10.93313980,-0.18898001,3.88625932,-0.30406415,10.17256355,-1.71423411,14.84778690,0.00012438,0.01430873,53.15477371,-0.23464829,5.10493612,-0.36784878,12.54081059,-0.24126962,5.35524321,-0.32971540,10.11255646,-2.01708913,20.71357155,0.00000603,0.01708331,45.14186859,-0.25526100,4.99715853,-0.38463244,11.31426334,-0.24333939,4.48876381,-0.35803220,9.74488544,-1.72635663,15.92894268,0.00007083,0.01040104,38.14654922,-0.21328591,4.98622990,-0.31562904,10.93313980,-0.18898001,3.88625932,-0.30406415,10.17256355,-1.71423411,14.84778690,0.00012438,0.01430873,53.15477371,-0.23464829,5.10493612,-0.36784878,12.54081059,-0.24126962,5.35524321,-0.32971540,10.11255646,-2.01708913,20.71357155,0.00000603,0.01708331,45.14186859,-0.25526100,4.99715853,-0.38463244,11.31426334,-0.24333939,4.48876381,-0.35803220,9.74488544,-1.72635663,15.92894268,0.00007083,
0.00,0.00,1.00,0.00,137.00,-0.91309154,-0.12912880,1.43467295,-0.61025012,-0.05444938,0.01136216,0.91513395,5.57,2.04069567,2.65943289,-0.06839611,0.84035748,1.40128911,-0.04145196,0.77777034,-0.09582689,0.93923378,4.17732191,0.04,-3.02142310,1.74303734,-0.56890386,0.49316177,1.87276876,-4.96096563,2.60608745,0.87347269,0.45840698,0.46917614,0.49353404,1.96697557,1.03073561,2.23017406,2.36588192,1.64127386,2.49000931,-1.73576093,2.00941944,2.02595210,9.15142822,0.00255234,-1.58243048,-0.46329468,1.15559137,-6.42660761,0.84617275,-0.07410699,-0.70992082,0.25177690,-0.23469663,0.12323335,0.72563186,1.47959054,1.63293290,0.15334244,1.87079620,0.17244655,3.62798095,2.49881816,-1.12916291,2.32933378,6.28,0.00,-0.00211000,0.80609554,0.01131732,0.00922124,0.18214662,2.48283529,-0.09104657,0.60426629,-0.05552926,0.23150820,0.30906570,0.21599697,0.64221371,-0.00660686,5.90318966,-0.01415503,0.01117459,0.24591650,3.44858766,-0.05972235,0.20016016,-0.03779256,0.08270422,0.90364456,1.89753067,0.16867975,-0.00531637,2.21070886,0.00651104,0.00177375,0.25948393,2.93372750,-0.10184713,0.44600731,-0.05705178,0.14379638,0.53723717,0.66344506,0.41555068,0.00652990,6.98372316,0.00752657,0.00288916,0.13741727,0.96258324,-0.20419882,2.10755277,-0.11199515,0.64102548,-1.08022034,2.73855829,0.09828375,0.00274474,0.88951856,0.01787963,0.01349977,0.19211629,1.55564964,-0.18667234,1.45791376,-0.10606675,0.47591260,-0.42069474,0.40975761,0.52224707,0.00348909,0.86256391,0.01480829,0.00775544,0.20875794,1.52672279,-0.19514197,1.32233334,-0.11173654,0.43479326,-0.38605887,0.36493322,0.54592351,0.00652990,6.98372316,0.00752657,0.00288916,0.13741727,0.96258324,-0.20419882,2.10755277,-0.11199515,0.64102548,-1.08022034,2.73855829,0.09828375,0.00274474,0.88951856,0.01787963,0.01349977,0.19211629,1.55564964,-0.18667234,1.45791376,-0.10606675,0.47591260,-0.42069474,0.40975761,0.52224707,0.00348909,0.86256391,0.01480829,0.00775544,0.20875794,1.52672279,-0.19514197,1.32233334,-0.11173654,0.43479326,-0.38605887,0.36493322,0.54592351,
0.00,0.00,2.00,0.18,140.00,-1.30017853,-1.09012032,-0.41209987,-0.47007373,-0.81811810,2.77564359,0.09603646,5.35,-2.36498952,-2.23528576,-1.56876469,-0.84960204,-1.36108434,-0.38908163,-0.07404879,-0.91486645,-1.21971548,8.38091660,0.00,-1.54648793,-2.92106581,-2.12428546,-1.58334672,2.77366519,0.28305614,-1.97904527,-1.67006242,-0.55891246,0.74603587,0.38795291,0.85940391,-0.17523476,-2.01053786,-1.17552388,-1.86271405,2.75901675,1.39324391,-2.81925559,0.09796714,0.02332900,0.87863716,-1.42095506,0.54972196,-1.89291084,-0.46278650,-2.41885591,-4.81394958,-0.90327764,0.65014124,-0.84680891,1.72032058,0.18996967,1.19147730,1.49657357,0.30509624,6.67308235,0.01027940,-3.97478342,-2.40580702,1.56897640,3.71539116,6.28,0.00,0.00988533,19.54514503,-0.13184868,1.38046515,-0.16634728,2.28750849,-0.01853394,0.02765787,-0.05890787,0.28777680,-2.47306323,15.27881718,0.00009934,0.01240394,22.94213295,-0.14116895,1.22695994,-0.20278251,2.58552480,-0.03769357,0.08793980,-0.08197361,0.42907041,-2.55571508,16.73523521,0.00004662,0.01365384,16.02575874,-0.18533292,1.61589205,-0.22200781,2.36014748,-0.01649765,0.01283894,-0.08588094,0.35814604,-2.27848792,13.11575508,0.00030833,0.00940751,15.84942245,-0.23475067,3.06781220,-0.20220780,2.27904797,0.00048744,0.00006721,-0.03873405,0.08388392,-2.23445940,12.81239414,0.00036177,0.01211837,19.14225960,-0.25563946,3.04214716,-0.23333837,2.53352666,-0.02098087,0.02036640,-0.03486028,0.05678315,-2.39859509,14.70562172,0.00013396,0.01263151,12.39687824,-0.27359152,2.88354468,-0.22039945,1.86602390,0.00983398,0.00368303,-0.02945419,0.03314727,-1.97710145,10.49422455,0.00123909,0.00940751,15.84942245,-0.23475067,3.06781220,-0.20220780,2.27904797,0.00048744,0.00006721,-0.03873405,0.08388392,-2.23445940,12.81239414,0.00036177,0.01211837,19.14225960,-0.25563946,3.04214716,-0.23333837,2.53352666,-0.02098087,0.02036640,-0.03486028,0.05678315,-2.39859509,14.70562172,0.00013396,0.01263151,12.39687824,-0.27359152,2.88354468,-0.22039945,1.86602390,0.00983398,0.00368303,-0.02945419,0.03314727,-1.97710145,10.49422455,0.00123909,
0.00,0.00,1.00,0.22,137.00,-2.82775712,-2.25768042,-0.14415735,-1.42797613,-1.66439271,11.63307953,0.00067507,5.32,-1.50048780,0.34195536,-0.30257267,0.35541737,-1.77263463,-0.86047244,-1.19693124,-0.87835377,-0.72675997,2.79181981,0.09,-1.61689043,-0.97606486,-3.32782984,-1.90197754,-2.84293795,-5.90629482,-0.15440083,-1.10872245,-0.85262436,1.75920665,0.18504328,-3.44183612,1.30586755,0.52592212,0.70287085,0.82964844,0.97150362,-0.57374609,-1.00201154,1.27209342,3.97069860,0.04658522,-4.45237589,-3.75083804,0.07893553,-4.10411739,-3.24047565,-3.32929039,-2.48381543,-1.70521700,-1.37972641,4.61130619,0.03201510,1.32813382,1.69118404,0.36305022,8.66889954,0.00349974,4.65727758,4.20725393,-0.45002392,0.37361652,6.28,0.00,0.00004181,0.00033359,0.03162923,0.07852612,-0.08306469,0.56409377,-0.05776727,0.26573452,-0.01373694,0.01547839,-1.60558867,6.36928892,0.01177346,-0.00562845,4.67843294,0.00534216,0.00174326,-0.04799336,0.14341643,-0.00752832,0.00341947,0.02064567,0.02695344,-0.78120923,1.54861581,0.21364715,-0.00528578,2.38977504,0.01916966,0.01718926,-0.06452691,0.19837874,-0.02750934,0.03558243,0.01683430,0.01371128,-1.01019549,2.56527925,0.10956606,0.00307653,1.68568993,0.03319989,0.06102680,-0.13582760,1.02261674,-0.10542247,0.61080277,-0.03716576,0.07673468,-2.07379532,10.97493172,0.00095842,0.00008550,0.00093422,0.04096334,0.07727322,-0.12391464,0.70693654,-0.08192619,0.30675736,-0.02450844,0.02775964,-1.60009968,6.47553635,0.01109432,0.00050486,0.01975028,0.04186577,0.06732444,-0.13377370,0.68498778,-0.08781207,0.29258439,-0.02541822,0.02462113,-1.64191294,7.21158791,0.00736984,0.00307653,1.68568993,0.03319989,0.06102680,-0.13582760,1.02261674,-0.10542247,0.61080277,-0.03716576,0.07673468,-2.07379532,10.97493172,0.00095842,0.00008550,0.00093422,0.04096334,0.07727322,-0.12391464,0.70693654,-0.08192619,0.30675736,-0.02450844,0.02775964,-1.60009968,6.47553635,0.01109432,0.00050486,0.01975028,0.04186577,0.06732444,-0.13377370,0.68498778,-0.08781207,0.29258439,-0.02541822,0.02462113,-1.64191294,7.21158791,0.00736984,
0.00,0.00,2.00,0.20,130.00,0.79374784,0.18520869,-0.44195470,-0.33637238,0.05015736,0.00982468,0.92106420,5.50,0.58993471,1.00283372,0.74594378,1.52324843,-0.47304094,-0.44045135,0.47608477,-0.19091077,0.40420529,0.79184705,0.37,-0.90407997,1.51443398,1.16238868,1.72742391,-1.17072129,0.68374091,0.18616435,-1.71994579,0.50428581,0.57047546,0.45025785,0.17959124,1.91299689,0.50799090,-0.44640282,-2.07785988,0.07964051,-1.66548073,-1.99835014,-0.11061312,0.02798168,0.86718761,3.88714314,-0.20703344,1.31382358,-3.17914414,0.30397347,1.58366024,1.88967454,0.59795493,1.15026271,3.01223111,0.08296376,1.19645882,1.45432043,0.25786161,4.29601097,0.03908818,-2.75435495,-2.63996172,0.11439305,0.01962765,6.28,0.00,0.00545006,5.53941679,0.05793897,0.24851237,0.17189664,2.27749538,-0.10303592,0.79705107,-0.06533580,0.33002895,-0.97393423,2.20943928,0.13750066,0.00594532,4.89414740,0.06817697,0.26571909,0.19905241,2.31327105,-0.12040757,0.83298886,-0.07552622,0.33819938,-0.89111316,1.88920176,0.16961646,0.00872503,6.12742949,0.07368129,0.23911275,0.21293314,2.03293037,-0.14661290,0.95110101,-0.09448830,0.40590632,-1.00086355,2.36966467,0.12404697,0.00932042,14.69820786,0.03035433,0.04845277,0.17069089,1.53429532,-0.15638222,1.27691782,-0.06224768,0.20454308,-1.50306082,5.47732210,0.01947112,0.00966226,11.42077351,0.03575301,0.05588583,0.19528240,1.66537249,-0.16824384,1.22702003,-0.05929019,0.15411326,-1.34457362,4.33681679,0.03756393,0.01316989,12.75392628,0.03966209,0.05735477,0.21787696,1.72583985,-0.18079834,1.17795920,-0.06485141,0.15197429,-1.30596685,4.33348560,0.03763716,0.00932042,14.69820786,0.03035433,0.04845277,0.17069089,1.53429532,-0.15638222,1.27691782,-0.06224768,0.20454308,-1.50306082,5.47732210,0.01947112,0.00966226,11.42077351,0.03575301,0.05588583,0.19528240,1.66537249,-0.16824384,1.22702003,-0.05929019,0.15411326,-1.34457362,4.33681679,0.03756393,0.01316989,12.75392628,0.03966209,0.05735477,0.21787696,1.72583985,-0.18079834,1.17795920,-0.06485141,0.15197429,-1.30596685,4.33348560,0.03763716,
0.00,0.00,2.00,0.25,147.00,0.00052327,0.74734628,0.28994042,0.52297181,0.39019546,0.50684935,0.47668000,5.97,-0.52020437,0.89419639,0.37747210,0.57483131,-0.97554988,0.64754015,-0.56112677,1.39452827,0.22896089,0.22210447,0.64,-3.79795408,1.50929940,-1.90602362,0.86588490,3.96287632,3.63923097,-1.83090484,2.84203672,0.25504345,0.12643974,0.72223157,0.24638589,0.52500814,2.47265148,-1.46653712,-1.66097200,3.66757846,0.53164619,-1.49742210,-0.20819828,0.08453976,0.77130068,-0.04315009,0.17299365,2.28117561,-3.22032833,0.46435636,0.56473267,-1.32663262,1.24573994,-0.46317303,0.41167250,0.52127709,1.37326992,1.68885577,0.31558591,6.01157808,0.01480404,9.11380386,9.87416077,0.76035684,1.00867653,6.28,0.00,0.00765247,9.32089233,-0.14551307,1.33808994,0.02468221,0.04004714,-0.13570519,1.18004870,0.14023478,1.29782808,-1.03114903,2.11380196,0.14630687,0.01068298,13.55409718,-0.14621596,1.04841292,0.01234146,0.00765658,-0.18132605,1.62039220,0.14485595,1.06717694,-1.25593817,3.21900082,0.07310627,0.01403596,13.58537865,-0.17909965,1.21057296,0.00050584,0.00000000,-0.20810318,1.64174187,0.15928265,0.98830205,-1.26967061,3.26709104,0.07099940,0.01461585,31.25654030,-0.22887726,2.38255215,-0.03314107,0.04997286,-0.21202758,2.02988648,0.18140645,1.50237083,-2.01723385,8.53151989,0.00357314,0.01676564,29.79378128,-0.25081906,2.38132644,-0.04027217,0.06141962,-0.24562514,2.26605511,0.21355268,1.73192370,-1.98790753,8.21377754,0.00424920,0.01911323,23.08003044,-0.26495081,2.19896936,-0.00969757,0.00294038,-0.23184454,1.66425562,0.24283855,1.83098614,-1.56293035,5.33254433,0.02114480,0.01461585,31.25654030,-0.22887726,2.38255215,-0.03314107,0.04997286,-0.21202758,2.02988648,0.18140645,1.50237083,-2.01723385,8.53151989,0.00357314,0.01676564,29.79378128,-0.25081906,2.38132644,-0.04027217,0.06141962,-0.24562514,2.26605511,0.21355268,1.73192370,-1.98790753,8.21377754,0.00424920,0.01911323,23.08003044,-0.26495081,2.19896936,-0.00969757,0.00294038,-0.23184454,1.66425562,0.24283855,1.83098614,-1.56293035,5.33254433,0.02114480,
0.00,0.00,3.00,0.29,149.00,-0.35930714,-0.65538079,-1.35377884,-1.19946277,-0.89198238,3.18311834,0.07472036,5.45,-2.04803705,0.42066282,-0.61643058,0.44581005,-3.52866673,-0.59357536,-2.23159981,0.01781920,-1.01675224,5.46579409,0.02,-3.18215179,2.41325855,-3.16253328,1.81358063,-1.75808394,-1.14612520,-1.41087449,0.85081083,0.52593058,0.64068103,0.42366504,-4.33296108,1.77185965,-1.70993888,-1.52626491,-5.94304323,4.02680969,-0.91334045,-1.59673548,-0.14002092,0.04723107,0.82800026,0.69508761,-0.83863842,-2.09218502,1.52456760,-2.40936255,1.06577432,1.17536747,-2.15231013,0.79628128,1.46530485,0.22638998,1.42233849,1.78705406,0.36471558,7.23102331,0.00758165,-4.20222807,-3.38228655,0.81994176,1.28033125,6.28,0.00,0.00712795,9.74148178,-0.05210495,0.20667256,-0.07620780,0.46016330,-0.22067456,3.75903511,-0.32318363,8.30337429,-1.85531843,8.24316978,0.00418153,0.00425915,2.56454968,-0.07756608,0.35121673,-0.05696154,0.19345161,-0.21970166,2.83162069,-0.34476829,7.19577122,-1.23476207,3.70362926,0.05459297,0.00647795,3.44786215,-0.08986570,0.36312896,-0.07678674,0.26990530,-0.25900853,3.02999401,-0.40269101,7.52638102,-1.33743942,4.31932020,0.03795023,0.00599054,6.16280937,-0.11533763,0.71014398,-0.08381652,0.37550360,-0.24560329,3.19680786,-0.37265876,7.44162273,-1.55577815,5.95610857,0.01484838,0.00609142,4.61374331,-0.12164188,0.65707517,-0.08616491,0.32956687,-0.26572677,3.11116791,-0.39385581,6.91086864,-1.44184148,5.06894827,0.02458622,0.01071082,8.59872150,-0.13073006,0.63514310,-0.10429589,0.40310141,-0.30790305,3.48249912,-0.43742943,7.04858971,-1.65506601,7.09432650,0.00786385,0.00599054,6.16280937,-0.11533763,0.71014398,-0.08381652,0.37550360,-0.24560329,3.19680786,-0.37265876,7.44162273,-1.55577815,5.95610857,0.01484838,0.00609142,4.61374331,-0.12164188,0.65707517,-0.08616491,0.32956687,-0.26572677,3.11116791,-0.39385581,6.91086864,-1.44184148,5.06894827,0.02458622,0.01071082,8.59872150,-0.13073006,0.63514310,-0.10429589,0.40310141,-0.30790305,3.48249912,-0.43742943,7.04858971,-1.65506601,7.09432650,0.00786385,
0.00,0.00,7.00,0.31,138.00,0.17812394,0.17973194,-0.08568043,-0.19840692,0.01844213,0.00129971,0.97124888,5.66,-2.00685716,-0.19195665,0.19953272,-0.49329123,-0.86640680,1.47701955,-0.67590368,0.42929441,-0.26607111,0.37754032,0.54,-2.87873983,1.15468729,-1.83929038,0.24569128,2.13168740,2.60296798,-1.95653927,1.50732064,0.39622438,0.33556587,0.56253771,-0.95370036,0.38875553,2.11534429,-1.75129652,-2.09074569,4.53971529,-2.18705583,0.07737114,0.10879391,0.02588231,0.87222238,0.50539416,2.34568143,-0.25742003,1.24781203,-2.54914188,-0.36056140,0.18846749,0.15213649,0.36608154,0.28560251,0.59317786,1.48267007,1.82546723,0.34279716,5.26155758,0.02251897,-1.13958001,-1.64329338,-0.50371343,0.40683925,6.28,0.00,0.00970513,16.87745857,-0.13537681,1.30380750,-0.00032525,0.00006043,-0.00287995,0.00060434,-0.33937624,8.55718040,-1.51292479,5.12270498,0.02383995,0.01177223,18.47756767,-0.14667103,1.18426323,-0.01413317,0.01119856,-0.01759555,0.01713078,-0.39698741,8.99783325,-1.53256488,5.38093996,0.02056934,0.01456300,16.38099861,-0.18391399,1.42975497,-0.01930286,0.01600562,-0.00971865,0.00398631,-0.45384416,8.98718643,-1.44899464,4.76611137,0.02926971,0.01589438,41.72234344,-0.22720234,2.65007448,-0.07098000,0.25897020,-0.04211900,0.09043502,-0.40580070,8.48607731,-2.33156657,12.86464500,0.00035194,0.02104177,53.67937851,-0.25197107,2.74889636,-0.11024243,0.52601874,-0.08889566,0.33947214,-0.43568012,8.24556065,-2.68126750,17.09178352,0.00003877,0.02243442,35.98864746,-0.27185687,2.62023258,-0.06303108,0.14044993,-0.04290570,0.06452439,-0.46255720,7.51909399,-1.99636841,9.84708691,0.00175350,0.01589438,41.72234344,-0.22720234,2.65007448,-0.07098000,0.25897020,-0.04211900,0.09043502,-0.40580070,8.48607731,-2.33156657,12.86464500,0.00035194,0.02104177,53.67937851,-0.25197107,2.74889636,-0.11024243,0.52601874,-0.08889566,0.33947214,-0.43568012,8.24556065,-2.68126750,17.09178352,0.00003877,0.02243442,35.98864746,-0.27185687,2.62023258,-0.06303108,0.14044993,-0.04290570,0.06452439,-0.46255720,7.51909399,-1.99636841,9.84708691,0.00175350,
