x,y,z,d,scale_xy_dist,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,theta all,theta F,theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
63.06,74.62,19.00,0.00,11.70,122.00,-0.95545375,-1.40943527,0.39385852,-0.93177581,-0.72570157,1.20759630,0.27210822,6.42,0.58063555,0.42537597,-0.20259497,0.32198161,-0.08156767,-1.78229833,0.32472500,-1.47870946,-0.23655654,0.18456170,0.67,0.84672213,-3.03819656,-0.92337847,-0.42561576,1.26297557,-4.40736389,2.93117237,-6.89845991,-0.37619641,0.20167094,0.65348655,0.85042185,-0.23052762,1.65682554,-1.05368280,3.96859741,1.87725997,-3.21771455,-1.30850291,1.31880915,2.45864677,0.11724057,-0.47586238,3.00763273,-3.15617442,0.41353741,-6.22580814,-4.16862345,-0.06838096,3.53898096,0.09124618,0.01218619,0.91212451,-0.79893035,-2.40803123,-1.60910094,77.62320709,0.00000000,-2.56278729,-3.06713414,-0.50434679,0.35233951,1.29,1.70,
63.53,75.90,21.00,0.81,10.42,141.00,1.79495835,3.28583765,2.17871189,1.89587343,2.28884530,25.46616554,0.00000055,4.41,2.27535343,2.77703643,0.60459745,-0.09991771,1.64728713,1.30357265,2.54149127,0.53103375,1.44755685,14.63225460,0.00,5.69516420,6.64087391,0.84985667,2.20057344,1.25229871,2.47174764,5.37672567,1.28831470,1.39874470,5.90589714,0.01529018,4.08321047,2.36504388,2.51454043,0.50827080,2.31133771,2.00709319,1.52383709,1.97012901,0.26906118,0.21527365,0.64278027,0.54030633,2.37843776,0.20740676,-0.28345293,4.21874046,2.17448497,3.41743660,1.24891639,-0.19771442,0.11948892,0.72967245,-0.98341393,-2.85014915,-1.86673522,88.07522583,0.00000000,-4.33301497,-5.74006557,-1.40705037,3.38922715,1.19,1.88,
62.71,73.52,20.00,0.00,12.99,74.00,5.25189590,0.35828748,3.01434350,2.35263276,2.74428988,3.48328376,0.06232291,14.30,-2.66620231,1.77818215,-2.82868934,4.84792185,3.94011354,5.84719992,3.46696234,-0.66592717,1.71494520,1.97690678,0.16,0.98232800,-3.00021935,4.07933235,-1.60213912,-0.96040529,4.66378593,-5.07925463,3.85979581,-2.13018417,1.27357221,0.25940657,-4.25761461,1.98560727,-8.97569466,9.66701221,4.89211464,8.42817593,13.33606720,0.59069151,0.57125044,0.09463960,0.75843283,-0.32733679,8.51042938,-0.03675413,10.65626431,9.37266827,9.42047882,5.14824772,-3.80078268,2.63063073,2.01379299,0.15623089,-0.85993540,-2.62427878,-1.76434350,75.05764008,0.00000000,20.42844009,18.69981384,-1.72862494,0.59357762,1.36,1.74,
62.73,74.15,20.00,0.00,11.93,74.00,7.04739857,7.08088779,2.86169839,6.47160912,5.86539841,15.90707970,0.00007204,14.30,4.25649929,-2.06164265,0.21963106,4.53080606,1.94035411,1.85685813,2.78757691,7.71263409,2.65533972,4.64911127,0.03,7.66693068,-0.12941733,7.22514534,4.63541889,3.67447281,4.44904613,9.40243435,19.88582039,0.71901375,0.14679980,0.70170549,5.67750359,-0.32447380,-2.02371359,8.52689743,-4.38454151,3.02766109,-1.12077570,17.20887184,-3.30012608,3.13386154,0.07702967,8.21651173,2.54837942,4.60182095,10.09407330,14.80611038,10.03462124,10.16000175,-6.21832228,0.23121081,0.01564862,0.90047749,-0.82930779,-2.53832340,-1.70901573,70.21995544,0.00000000,-9.72729111,-13.96498299,-4.23769188,4.42956400,1.33,1.76,
62.73,74.15,19.00,0.77,11.93,80.00,-2.30578423,-4.84852839,-2.59784627,-3.79650044,-3.38716483,19.40727234,0.00001186,7.48,-3.16252875,-1.95953965,-0.48313197,-1.26893890,-2.70077705,1.88900220,-2.22529221,-0.79424143,-1.33818102,4.31090689,0.04,-12.73265743,-6.43001795,-4.03513861,-1.61820257,-6.17407417,2.44093847,-9.49801540,-1.51548648,-1.22746181,1.61101067,0.20468690,-5.06774664,-1.63186288,-5.52101421,-1.26685977,-6.95162344,-2.05705619,1.91791856,0.90358037,1.23769236,1.60566401,0.20543914,0.32794878,-3.80418849,4.42449141,-5.07874727,-1.53790665,-0.75936782,-5.00860453,-7.09019375,1.56112671,2.61865044,0.10597420,-0.24867141,-1.79276872,-1.54409730,64.95360565,0.00000000,11.97733498,13.73303032,1.75569499,1.72254384,1.33,1.76,
62.71,73.52,16.00,0.58,12.99,105.00,0.00553636,1.57564163,0.37936866,1.35444725,0.82874846,2.58325315,0.10835699,5.02,1.13004458,0.46520540,-0.13895150,-1.69923460,-0.14887448,-0.07947642,-0.68109620,0.95491374,-0.02468368,0.00325720,0.95,5.82026958,2.62615037,-1.15831959,-1.21700335,0.75335062,1.38988364,3.54211998,1.00283933,0.23606949,0.12918206,0.71936824,2.62107778,-0.34202883,4.13515091,-2.44988751,1.93135917,-1.00537336,-3.81568861,1.26407349,-0.93552804,2.06696963,0.15087745,-2.38900590,1.21379375,-2.11688972,-0.16514835,-0.76170504,1.34017980,0.53284645,2.47547245,-1.36821043,4.41706800,0.03586618,0.14252838,-1.27503848,-1.41756690,60.74485779,0.00000000,-1.42515039,-4.87394810,-3.44879770,18.84619331,1.31,1.66,
63.06,74.62,18.00,0.00,11.70,142.00,0.94907695,1.29596460,3.45994449,1.62724328,1.83305728,10.70901299,0.00110753,5.45,1.80842352,1.82161760,0.74571723,0.67134464,1.72884095,0.66618210,1.25238919,-0.60458952,1.01124072,4.62270975,0.03,4.19682169,1.92036641,0.51338041,-0.93685001,2.56882572,1.16953623,3.37423992,-2.01634121,-0.31956530,0.19930236,0.65539488,7.64778233,3.57454538,3.05705333,2.35425472,6.13303137,4.21753168,0.65352827,-0.38028213,1.75284564,6.09892893,0.01371603,-2.42845583,2.38690376,0.22672786,2.51315331,-0.20564188,-0.69662923,2.29624605,3.44943142,-0.65332878,0.85552794,0.35524792,-0.73169506,-2.34175563,-1.61006057,66.13301849,0.00000000,1.24996746,-1.74035501,-2.99032235,15.67116737,1.33,1.76,
62.60,73.52,12.00,0.67,12.80,129.00,0.46119639,2.98219442,0.33667505,1.31906247,1.27478206,7.58835506,0.00599548,4.50,1.99012363,1.88586950,-0.62111700,-0.30855113,0.04901174,0.26048607,1.25946426,0.31578082,0.60388350,2.40554833,0.12,6.67643833,5.88287210,1.49883616,1.94364572,0.12374499,1.51543379,5.67516756,-0.11105035,1.67849183,8.26119518,0.00414815,0.05545950,2.05292010,0.94769639,-0.35462281,0.08139153,0.26041764,-1.49635887,1.01019275,-0.97540557,2.72010922,0.09944976,1.57249761,0.11770584,-3.78622484,-1.08626735,1.90400398,0.75033647,1.89901292,2.57349277,-0.94966805,2.66525650,0.10292066,-0.37700158,-1.66784418,-1.29084265,52.14192963,0.00000000,-7.21547842,-7.67977428,-0.46429572,0.36856419,1.33,1.76,
63.13,75.26,19.00,0.00,10.75,109.00,4.92685318,2.90852880,3.97949219,3.83587241,3.91268659,24.07025909,0.00000111,7.76,0.08308402,0.82860732,1.33055067,2.56998181,3.12540817,2.95095873,1.63880730,3.98284960,2.06378102,9.52942753,0.00,1.24101329,4.07031250,-1.64359176,4.83824873,2.12123942,3.77841997,-0.32852411,9.10739613,-0.92836779,0.83589631,0.36082465,1.23572910,2.48909330,3.85565662,3.04325199,7.79692507,1.70508182,7.80604839,2.94577909,0.10543568,0.01071450,0.91758120,3.78420353,1.11431360,8.94919586,5.24273062,4.56990147,9.64561176,3.01274395,3.67249823,1.12945867,1.26221657,0.26153973,-0.95971000,-2.70754099,-1.74783099,76.91790771,0.00000000,-1.98192108,-6.69578838,-4.71386719,14.62463188,1.30,1.90,
63.06,74.62,15.00,0.00,11.70,128.00,3.56781626,3.42919183,2.68646932,3.27826118,3.24043465,52.05975342,0.00000000,4.37,1.36737013,0.96648806,1.83200991,1.08222055,1.91085351,2.24802470,1.67510056,1.83275509,1.61435282,17.90628815,0.00,2.59708142,4.06190395,2.91635036,3.47193956,0.90396476,3.43582869,3.43662858,6.01155281,0.14153470,0.06052940,0.80571878,1.59549510,2.11206150,2.52573156,2.24354219,3.04475594,2.87617731,4.23157072,2.78191662,-0.59104216,1.05782938,0.30399467,4.58316612,1.35683882,4.93530369,2.56084013,6.18205643,5.70708704,2.12072635,0.91419989,0.24190409,0.18403445,0.66803426,-0.90916145,-2.38246274,-1.47330117,61.23986816,0.00000000,3.38596296,1.41384029,-1.97212267,5.78818798,1.29,1.79,
