subject_id,roi,analysis_type,depth_bin,depth_order,odss,fgm,ctr-sur
pnr143,in_tgt,task,0,deepest_first,0.063243745,0.11385393,.
pnr143,in_tgt,task,1,deepest_first,0.3251901797,0.8263944049,.
pnr143,in_tgt,task,2,deepest_first,-0.5176560122,0.6887539817,.
pnr143,in_tgt,task,3,deepest_first,0.7036483985,-0.06097678728,.
pnr143,in_tgt,task,4,deepest_first,1.546566063,-0.3018456288,.
pnr143,in_tgt,task,5,deepest_first,2.971467362,-0.4937738692,.
pnr143,in_tgt,task,6,deepest_first,-1.48115235,1.168858344,.
pnr256,in_tgt,task,0,deepest_first,0.67372082,0.6728052336,.
pnr256,in_tgt,task,1,deepest_first,0.08142326914,0.7573602981,.
pnr256,in_tgt,task,2,deepest_first,0.446577037,0.9677076018,.
pnr256,in_tgt,task,3,deepest_first,0.02705579389,0.6136038022,.
pnr256,in_tgt,task,4,deepest_first,0.3249090858,0.8774310386,.
pnr256,in_tgt,task,5,deepest_first,0.7042991615,1.262851693,.
pnr256,in_tgt,task,6,deepest_first,0.7890661513,0.7775235089,.
pnr328,in_tgt,task,0,deepest_first,-0.1452403214,0.2912803029,.
pnr328,in_tgt,task,1,deepest_first,0.01914352768,0.2783711148,.
pnr328,in_tgt,task,2,deepest_first,-0.1491409277,0.5119995735,.
pnr328,in_tgt,task,3,deepest_first,-0.01650166473,0.4144404844,.
pnr328,in_tgt,task,4,deepest_first,-0.08578111333,0.07566884134,.
pnr328,in_tgt,task,5,deepest_first,0.2182469277,0.01837751997,.
pnr328,in_tgt,task,6,deepest_first,0.1214077104,-0.02657834903,.
pnr495,in_tgt,task,0,deepest_first,0.365710186,-0.071244848,.
pnr495,in_tgt,task,1,deepest_first,0.05096366826,0.2657393238,.
pnr495,in_tgt,task,2,deepest_first,0.3292940499,0.2718628078,.
pnr495,in_tgt,task,3,deepest_first,0.07988915505,0.5057584502,.
pnr495,in_tgt,task,4,deepest_first,0.4678520031,0.7156733414,.
pnr495,in_tgt,task,5,deepest_first,1.201096592,0.5770187691,.
pnr495,in_tgt,task,6,deepest_first,0.2816353045,0.5035819933,.
pnr510,in_tgt,task,0,deepest_first,0.1069312783,-0.44573492,.
pnr510,in_tgt,task,1,deepest_first,0.4166758748,0.04096650246,.
pnr510,in_tgt,task,2,deepest_first,-0.3399492596,0.2711904838,.
pnr510,in_tgt,task,3,deepest_first,0.1437033426,0.2995027242,.
pnr510,in_tgt,task,4,deepest_first,0.2620168813,0.04690253455,.
pnr510,in_tgt,task,5,deepest_first,0.1232960798,0.503094391,.
pnr510,in_tgt,task,6,deepest_first,0.2701082597,0.5341674091,.
pnr579,in_tgt,task,0,deepest_first,-0.273912475,0.1096833,.
pnr579,in_tgt,task,1,deepest_first,-0.09765170678,0.3010627067,.
pnr579,in_tgt,task,2,deepest_first,-0.2036863207,0.2646914341,.
pnr579,in_tgt,task,3,deepest_first,0.002229305072,0.2199370324,.
pnr579,in_tgt,task,4,deepest_first,-0.07279290932,0.4014645993,.
pnr579,in_tgt,task,5,deepest_first,0.2857623426,0.04694326855,.
pnr579,in_tgt,task,6,deepest_first,-0.199331111,0.2968521501,.
pnr668,in_tgt,task,0,deepest_first,0.21368122,0.69060173,.
pnr668,in_tgt,task,1,deepest_first,0.1031104433,0.4461636993,.
pnr668,in_tgt,task,2,deepest_first,0.265851514,1.233098847,.
pnr668,in_tgt,task,3,deepest_first,0.7341120451,0.9990046101,.
pnr668,in_tgt,task,4,deepest_first,-0.04434947184,1.436676482,.
pnr668,in_tgt,task,5,deepest_first,1.399013296,1.532749378,.
pnr668,in_tgt,task,6,deepest_first,0.6461089564,0.7881072185,.
pnr685,in_tgt,task,0,deepest_first,-0.11252794,0.8315820956,.
pnr685,in_tgt,task,1,deepest_first,0.1964258425,0.2438664367,.
pnr685,in_tgt,task,2,deepest_first,0.2803821162,0.4652817792,.
pnr685,in_tgt,task,3,deepest_first,0.1257867472,0.8677421125,.
pnr685,in_tgt,task,4,deepest_first,0.04828685754,0.8020714548,.
pnr685,in_tgt,task,5,deepest_first,0.3099575464,0.3610636758,.
pnr685,in_tgt,task,6,deepest_first,0.142447939,0.6162535244,.
pnr713,in_tgt,task,0,deepest_first,0.04621033857,0.1736690171,.
pnr713,in_tgt,task,1,deepest_first,0.3114425315,0.06008515468,.
pnr713,in_tgt,task,2,deepest_first,0.4300392879,0.05613135602,.
pnr713,in_tgt,task,3,deepest_first,0.2076546432,0.3447361021,.
pnr713,in_tgt,task,4,deepest_first,0.510715768,-0.6193076537,.
pnr713,in_tgt,task,5,deepest_first,0.6182135708,0.2291354548,.
pnr713,in_tgt,task,6,deepest_first,0.3364774502,0.1941285586,.
pnr739,in_tgt,task,0,deepest_first,0.031197501,0.409933508,.
pnr739,in_tgt,task,1,deepest_first,-0.4132270544,0.6339926694,.
pnr739,in_tgt,task,2,deepest_first,0.2353226574,0.1824036068,.
pnr739,in_tgt,task,3,deepest_first,0.2854289142,0.1781777736,.
pnr739,in_tgt,task,4,deepest_first,-0.1198273591,0.4396512621,.
pnr739,in_tgt,task,5,deepest_first,-0.05402524226,0.5978861174,.
pnr739,in_tgt,task,6,deepest_first,0.1553393822,0.4611075461,.
pnr756,in_tgt,task,0,deepest_first,-0.5015481512,0.6068028525,.
pnr756,in_tgt,task,1,deepest_first,-0.1567219782,0.2786555562,.
