subject_id,depth_bin,condition,value
pnr143,0,odss,0.063243745
pnr143,1,odss,0.3251901797
pnr143,2,odss,-0.5176560122
pnr143,3,odss,0.7036483985
pnr143,4,odss,1.546566063
pnr143,5,odss,2.971467362
pnr143,6,odss,-1.48115235
pnr256,0,odss,0.67372082
pnr256,1,odss,0.08142326914
pnr256,2,odss,0.446577037
pnr256,3,odss,0.02705579389
pnr256,4,odss,0.3249090858
pnr256,5,odss,0.7042991615
pnr256,6,odss,0.7890661513
pnr328,0,odss,-0.1452403214
pnr328,1,odss,0.01914352768
pnr328,2,odss,-0.1491409277
pnr328,3,odss,-0.01650166473
pnr328,4,odss,-0.08578111333
pnr328,5,odss,0.2182469277
pnr328,6,odss,0.1214077104
pnr495,0,odss,0.365710186
pnr495,1,odss,0.05096366826
pnr495,2,odss,0.3292940499
pnr495,3,odss,0.07988915505
pnr495,4,odss,0.4678520031
pnr495,5,odss,1.201096592
pnr495,6,odss,0.2816353045
pnr510,0,odss,0.1069312783
pnr510,1,odss,0.4166758748
pnr510,2,odss,-0.3399492596
pnr510,3,odss,0.1437033426
pnr510,4,odss,0.2620168813
pnr510,5,odss,0.1232960798
pnr510,6,odss,0.2701082597
pnr579,0,odss,-0.273912475
pnr579,1,odss,-0.09765170678
pnr579,2,odss,-0.2036863207
pnr579,3,odss,0.002229305072
pnr579,4,odss,-0.07279290932
pnr579,5,odss,0.2857623426
pnr579,6,odss,-0.199331111
pnr668,0,odss,0.21368122
pnr668,1,odss,0.1031104433
pnr668,2,odss,0.265851514
pnr668,3,odss,0.7341120451
pnr668,4,odss,-0.04434947184
pnr668,5,odss,1.399013296
pnr668,6,odss,0.6461089564
pnr685,0,odss,-0.11252794
pnr685,1,odss,0.1964258425
pnr685,2,odss,0.2803821162
pnr685,3,odss,0.1257867472
pnr685,4,odss,0.04828685754
pnr685,5,odss,0.3099575464
pnr685,6,odss,0.142447939
pnr713,0,odss,0.04621033857
pnr713,1,odss,0.3114425315
pnr713,2,odss,0.4300392879
pnr713,3,odss,0.2076546432
pnr713,4,odss,0.510715768
pnr713,5,odss,0.6182135708
pnr713,6,odss,0.3364774502
pnr739,0,odss,0.031197501
pnr739,1,odss,-0.4132270544
pnr739,2,odss,0.2353226574
pnr739,3,odss,0.2854289142
pnr739,4,odss,-0.1198273591
pnr739,5,odss,-0.05402524226
pnr739,6,odss,0.1553393822
pnr756,0,odss,-0.5015481512
