,subj,roi,cond,depth,radius_band,accuracy,nVoxels
1,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,deep,0-1,0.228551282,10
3,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,deep,2-Jan,0.291961538,10
5,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,deep,3-Feb,0.28775641,10
7,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,deep,4-Mar,0.276384615,10
9,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,deep,5-Apr,0.303794872,10
11,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,deep,6-May,0.281269231,10
13,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,middle,0-1,0.348358974,10
15,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,middle,2-Jan,0.335564103,10
17,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,middle,3-Feb,0.275987179,10
19,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,middle,4-Mar,0.311,10
21,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,middle,5-Apr,0.345064103,10
23,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,middle,6-May,0.300282051,10
25,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,superficial,0-1,0.400487179,10
27,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,superficial,2-Jan,0.414282051,10
29,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,superficial,3-Feb,0.332807692,10
31,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,superficial,4-Mar,0.369051282,10
33,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,superficial,5-Apr,0.322205128,10
35,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,superficial,6-May,0.297012821,10
73,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,deep,0-1,0.142307692,8
75,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,deep,2-Jan,0.213641026,10
77,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,deep,3-Feb,0.261692308,10
79,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,deep,4-Mar,0.224538462,10
81,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,deep,5-Apr,0.223717949,10
83,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,deep,6-May,0.2225,10
85,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,middle,0-1,0.205128205,7
87,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,middle,2-Jan,0.198423077,10
89,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,middle,3-Feb,0.3275,10
91,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,middle,4-Mar,0.32275641,10
93,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,middle,5-Apr,0.287051282,10
95,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,middle,6-May,0.253871795,10
97,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,superficial,0-1,0.255769231,6
99,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,superficial,2-Jan,0.327884615,10
101,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,superficial,3-Feb,0.308948718,10
103,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,superficial,4-Mar,0.337717949,10
105,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,superficial,5-Apr,0.347871795,10
107,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,superficial,6-May,0.290269231,10
145,pnr328,V1_tgt_lh_rad10_filled_deveined,sur,deep,0-1,0.128576923,10
147,pnr328,V1_tgt_lh_rad10_filled_deveined,sur,deep,2-Jan,0.213064103,10
149,pnr328,V1_tgt_lh_rad10_filled_deveined,sur,deep,3-Feb,0.188615385,10
