subj,deep_0,deep_1,deep_2,deep_3,deep_4,deep_5,middle_0,middle_1,middle_2,middle_3,middle_4,middle_5,superficial_0,superficial_1,superficial_2,superficial_3,superficial_4,superficial_5
pnr143,0.228551282,0.291961538,0.28775641,0.276384615,0.303794872,0.281269231,0.348358974,0.335564103,0.275987179,0.311,0.345064103,0.300282051,0.400487179,0.414282051,0.332807692,0.369051282,0.322205128,0.297012821
pnr256,0.142307692,0.213641026,0.261692308,0.224538462,0.223717949,0.2225,0.205128205,0.198423077,0.3275,0.32275641,0.287051282,0.253871795,0.255769231,0.327884615,0.308948718,0.337717949,0.347871795,0.290269231
pnr328,0.128576923,0.213064103,0.188615385,0.195487179,0.161679487,0.158564103,0.175,0.157192308,0.191269231,0.191935897,0.138384615,0.157653846,0.157435897,0.180858974,0.191217949,0.174102564,0.154205128,0.186012821
pnr495,0.101923077,0.172961538,0.194384615,0.079717949,0.131423077,0.164346154,0.194871795,0.195602564,0.161923077,0.134474359,0.058884615,0.098192308,0.11025641,0.159717949,0.191179487,0.174307692,0.085538462,0.066128205
pnr510,0.232653846,0.253935897,0.241333333,0.243858974,0.220320513,0.235358974,0.265884615,0.275910256,0.306910256,0.246666667,0.234871795,0.254448718,0.333628205,0.339807692,0.283653846,0.251589744,0.262089744,0.291551282
pnr579,0.250641026,0.291807692,0.255179487,0.268423077,0.236384615,0.24174359,0.359615385,0.255974359,0.291525641,0.293641026,0.259141026,0.294192308,0.280128205,0.294410256,0.305141026,0.314397436,0.291205128,0.280794872
pnr668,0.196153846,0.253346154,0.254538462,0.232192308,0.24,0.252538462,0.187820513,0.262653846,0.270153846,0.261102564,0.269589744,0.254358974,0.178846154,0.246692308,0.276,0.264833333,0.247217949,0.266910256
pnr713,0.147435897,0.168679487,0.181564103,0.200858974,0.194807692,0.178717949,0.208653846,0.2305,0.254282051,0.259923077,0.23724359,0.209871795,0.272179487,0.310512821,0.310346154,0.307653846,0.267038462,0.228807692
pnr739,0.171794872,0.282692308,0.270910256,0.287051282,0.253128205,0.282935897,0.25,0.323948718,0.241217949,0.267128205,0.302615385,0.279179487,0.180769231,0.32074359,0.300115385,0.324692308,0.30175641,0.317320513
pnr756,0.25,0.26825641,0.288115385,0.309641026,0.274987179,0.302884615,0.391025641,0.309192308,0.383820513,0.326935897,0.307371795,0.322205128,0.385897436,0.457179487,0.392461538,0.333858974,0.368397436,0.344423077
pnr822,0.115551282,0.239525641,0.143435897,0.193128205,0.165846154,0.226474359,0.154717949,0.163628205,0.161294872,0.182358974,0.200474359,0.2005,0.185705128,0.181307692,0.166410256,0.20124359,0.230935897,0.227153846
