,subj,roi,cond,depth,radius_band,accuracy,nVoxels
0,pnr143,V1_tgt_lh_rad10_filled_deveined,center,deep,0-2,0.3244444444444444,30.0
1,pnr143,V1_tgt_lh_rad10_filled_deveined,surround,deep,0-2,0.33222222222222225,30.0
2,pnr143,V1_tgt_lh_rad10_filled_deveined,center,deep,2-4,0.11666666666666667,30.0
3,pnr143,V1_tgt_lh_rad10_filled_deveined,surround,deep,2-4,0.2811111111111111,30.0
4,pnr143,V1_tgt_lh_rad10_filled_deveined,center,deep,4-6,0.12555555555555556,30.0
5,pnr143,V1_tgt_lh_rad10_filled_deveined,surround,deep,4-6,0.18333333333333335,30.0
6,pnr143,V1_tgt_lh_rad10_filled_deveined,center,middle,0-2,0.29111111111111115,30.0
7,pnr143,V1_tgt_lh_rad10_filled_deveined,surround,middle,0-2,0.3944444444444445,30.0
8,pnr143,V1_tgt_lh_rad10_filled_deveined,center,middle,2-4,0.20777777777777778,30.0
9,pnr143,V1_tgt_lh_rad10_filled_deveined,surround,middle,2-4,0.11111111111111112,30.0
10,pnr143,V1_tgt_lh_rad10_filled_deveined,center,middle,4-6,0.1766666666666667,30.0
11,pnr143,V1_tgt_lh_rad10_filled_deveined,surround,middle,4-6,0.17444444444444446,30.0
12,pnr143,V1_tgt_lh_rad10_filled_deveined,center,superficial,0-2,0.35333333333333333,30.0
13,pnr143,V1_tgt_lh_rad10_filled_deveined,surround,superficial,0-2,0.45,30.0
14,pnr143,V1_tgt_lh_rad10_filled_deveined,center,superficial,2-4,0.22666666666666666,30.0
15,pnr143,V1_tgt_lh_rad10_filled_deveined,surround,superficial,2-4,0.2511111111111112,30.0
16,pnr143,V1_tgt_lh_rad10_filled_deveined,center,superficial,4-6,0.15666666666666668,30.0
17,pnr143,V1_tgt_lh_rad10_filled_deveined,surround,superficial,4-6,0.18555555555555556,30.0
18,pnr143,V1_tgt_rh_rad10_filled_deveined,center,deep,0-2,0.3555555555555556,29.0
19,pnr143,V1_tgt_rh_rad10_filled_deveined,surround,deep,0-2,0.3833333333333333,29.0
20,pnr143,V1_tgt_rh_rad10_filled_deveined,center,deep,2-4,0.42000000000000004,30.0
21,pnr143,V1_tgt_rh_rad10_filled_deveined,surround,deep,2-4,0.3788888888888889,30.0
22,pnr143,V1_tgt_rh_rad10_filled_deveined,center,deep,4-6,0.08222222222222222,30.0
23,pnr143,V1_tgt_rh_rad10_filled_deveined,surround,deep,4-6,0.12333333333333334,30.0
24,pnr143,V1_tgt_rh_rad10_filled_deveined,center,middle,0-2,0.45777777777777773,28.0
25,pnr143,V1_tgt_rh_rad10_filled_deveined,surround,middle,0-2,0.27,28.0
26,pnr143,V1_tgt_rh_rad10_filled_deveined,center,middle,2-4,0.4811111111111111,30.0
27,pnr143,V1_tgt_rh_rad10_filled_deveined,surround,middle,2-4,0.4988888888888889,30.0
28,pnr143,V1_tgt_rh_rad10_filled_deveined,center,middle,4-6,0.11333333333333333,30.0
29,pnr143,V1_tgt_rh_rad10_filled_deveined,surround,middle,4-6,0.27222222222222225,30.0
30,pnr143,V1_tgt_rh_rad10_filled_deveined,center,superficial,0-2,0.38777777777777783,27.0
31,pnr143,V1_tgt_rh_rad10_filled_deveined,surround,superficial,0-2,0.34111111111111114,27.0
32,pnr143,V1_tgt_rh_rad10_filled_deveined,center,superficial,2-4,0.31333333333333335,30.0
33,pnr143,V1_tgt_rh_rad10_filled_deveined,surround,superficial,2-4,0.2566666666666667,30.0
34,pnr143,V1_tgt_rh_rad10_filled_deveined,center,superficial,4-6,0.11444444444444446,30.0
35,pnr143,V1_tgt_rh_rad10_filled_deveined,surround,superficial,4-6,0.13444444444444445,30.0
