,subj,roi,cond,depth,radius_band,accuracy,nVoxels
0,pnr143,V1_tgt_lh_rad10_filled_deveined,center,deep,0-1,0.20777777777777778,10.0
1,pnr143,V1_tgt_lh_rad10_filled_deveined,surround,deep,0-1,0.28111111111111114,10.0
2,pnr143,V1_tgt_lh_rad10_filled_deveined,center,deep,1-2,0.17666666666666667,10.0
3,pnr143,V1_tgt_lh_rad10_filled_deveined,surround,deep,1-2,0.22222222222222218,10.0
4,pnr143,V1_tgt_lh_rad10_filled_deveined,center,deep,2-3,0.21111111111111117,10.0
5,pnr143,V1_tgt_lh_rad10_filled_deveined,surround,deep,2-3,0.29555555555555557,10.0
6,pnr143,V1_tgt_lh_rad10_filled_deveined,center,deep,3-4,0.052222222222222225,10.0
7,pnr143,V1_tgt_lh_rad10_filled_deveined,surround,deep,3-4,0.061111111111111116,10.0
8,pnr143,V1_tgt_lh_rad10_filled_deveined,center,deep,4-5,0.08444444444444446,10.0
9,pnr143,V1_tgt_lh_rad10_filled_deveined,surround,deep,4-5,0.07111111111111112,10.0
10,pnr143,V1_tgt_lh_rad10_filled_deveined,center,deep,5-6,0.09666666666666666,10.0
11,pnr143,V1_tgt_lh_rad10_filled_deveined,surround,deep,5-6,0.0811111111111111,10.0
12,pnr143,V1_tgt_lh_rad10_filled_deveined,center,middle,0-1,0.32555555555555554,10.0
13,pnr143,V1_tgt_lh_rad10_filled_deveined,surround,middle,0-1,0.2888888888888889,10.0
14,pnr143,V1_tgt_lh_rad10_filled_deveined,center,middle,1-2,0.18555555555555556,10.0
15,pnr143,V1_tgt_lh_rad10_filled_deveined,surround,middle,1-2,0.2566666666666667,10.0
16,pnr143,V1_tgt_lh_rad10_filled_deveined,center,middle,2-3,0.17888888888888888,10.0
17,pnr143,V1_tgt_lh_rad10_filled_deveined,surround,middle,2-3,0.16444444444444445,10.0
18,pnr143,V1_tgt_lh_rad10_filled_deveined,center,middle,3-4,0.09444444444444444,10.0
19,pnr143,V1_tgt_lh_rad10_filled_deveined,surround,middle,3-4,0.12333333333333334,10.0
20,pnr143,V1_tgt_lh_rad10_filled_deveined,center,middle,4-5,0.12444444444444444,10.0
21,pnr143,V1_tgt_lh_rad10_filled_deveined,surround,middle,4-5,0.14444444444444446,10.0
