,subj,roi,cond,depth,radius_band,accuracy,nVoxels
0,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,deep,0-2,0.42115384615384616,30.0
1,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,deep,0-2,0.451923076923077,30.0
2,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,deep,2-4,0.4692307692307692,30.0
3,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,deep,2-4,0.4596153846153846,30.0
4,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,deep,4-6,0.5538461538461539,30.0
5,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,deep,4-6,0.5628205128205128,30.0
6,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,middle,0-2,0.375,30.0
7,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,middle,0-2,0.391025641025641,30.0
8,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,middle,2-4,0.49871794871794883,30.0
9,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,middle,2-4,0.4532051282051282,30.0
10,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,middle,4-6,0.5935897435897436,30.0
11,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,middle,4-6,0.5858974358974359,30.0
12,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,0-2,0.617948717948718,30.0
13,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,superficial,0-2,0.5307692307692309,30.0
14,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,2-4,0.5846153846153845,30.0
15,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,superficial,2-4,0.5634615384615385,30.0
16,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,4-6,0.5378205128205129,30.0
17,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,superficial,4-6,0.5019230769230769,30.0
18,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,deep,0-2,0.45833333333333337,29.0
19,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,deep,0-2,0.47820512820512817,29.0
20,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,deep,2-4,0.5782051282051281,30.0
21,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,deep,2-4,0.5391025641025642,30.0
22,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,deep,4-6,0.3993589743589744,30.0
23,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,deep,4-6,0.48076923076923084,30.0
24,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,middle,0-2,0.3974358974358974,28.0
25,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,middle,0-2,0.40897435897435896,28.0
26,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,middle,2-4,0.5461538461538462,30.0
27,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,middle,2-4,0.48589743589743584,30.0
28,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,middle,4-6,0.3730769230769231,30.0
29,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,middle,4-6,0.5474358974358974,30.0
30,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,0-2,0.5474358974358974,27.0
31,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,superficial,0-2,0.5455128205128205,27.0
32,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,2-4,0.5294871794871796,30.0
33,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,superficial,2-4,0.6102564102564102,30.0
34,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,4-6,0.4852564102564102,30.0
35,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,superficial,4-6,0.6108974358974358,30.0
36,pnr161,V1_tgt_lh_rad10_filled_deveined,iso0,deep,0-2,0.2576923076923077,30.0
37,pnr161,V1_tgt_lh_rad10_filled_deveined,sur,deep,0-2,0.2647435897435898,30.0
38,pnr161,V1_tgt_lh_rad10_filled_deveined,iso0,deep,2-4,0.3051282051282052,30.0
39,pnr161,V1_tgt_lh_rad10_filled_deveined,sur,deep,2-4,0.266025641025641,30.0
40,pnr161,V1_tgt_lh_rad10_filled_deveined,iso0,deep,4-6,0.2980769230769231,30.0
41,pnr161,V1_tgt_lh_rad10_filled_deveined,sur,deep,4-6,0.25833333333333336,30.0
42,pnr161,V1_tgt_lh_rad10_filled_deveined,iso0,middle,0-2,0.2275641025641026,30.0
43,pnr161,V1_tgt_lh_rad10_filled_deveined,sur,middle,0-2,0.24294871794871797,30.0
44,pnr161,V1_tgt_lh_rad10_filled_deveined,iso0,middle,2-4,0.34487179487179487,30.0
45,pnr161,V1_tgt_lh_rad10_filled_deveined,sur,middle,2-4,0.4070512820512821,30.0
46,pnr161,V1_tgt_lh_rad10_filled_deveined,iso0,middle,4-6,0.3224358974358974,30.0
47,pnr161,V1_tgt_lh_rad10_filled_deveined,sur,middle,4-6,0.3519230769230769,30.0
48,pnr161,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,0-2,0.3519230769230769,30.0
49,pnr161,V1_tgt_lh_rad10_filled_deveined,sur,superficial,0-2,0.32820512820512826,30.0
50,pnr161,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,2-4,0.367948717948718,30.0
51,pnr161,V1_tgt_lh_rad10_filled_deveined,sur,superficial,2-4,0.35064102564102567,30.0
52,pnr161,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,4-6,0.2974358974358975,30.0
53,pnr161,V1_tgt_lh_rad10_filled_deveined,sur,superficial,4-6,0.2660256410256411,30.0
54,pnr161,V1_tgt_rh_rad10_filled_deveined,iso0,deep,0-2,0.28205128205128205,30.0
55,pnr161,V1_tgt_rh_rad10_filled_deveined,sur,deep,0-2,0.258974358974359,30.0
56,pnr161,V1_tgt_rh_rad10_filled_deveined,iso0,deep,2-4,0.36153846153846153,30.0
57,pnr161,V1_tgt_rh_rad10_filled_deveined,sur,deep,2-4,0.38461538461538464,30.0
58,pnr161,V1_tgt_rh_rad10_filled_deveined,iso0,deep,4-6,0.2948717948717949,30.0
59,pnr161,V1_tgt_rh_rad10_filled_deveined,sur,deep,4-6,0.19807692307692307,30.0
60,pnr161,V1_tgt_rh_rad10_filled_deveined,iso0,middle,0-2,0.3525641025641026,30.0
61,pnr161,V1_tgt_rh_rad10_filled_deveined,sur,middle,0-2,0.3679487179487179,30.0
62,pnr161,V1_tgt_rh_rad10_filled_deveined,iso0,middle,2-4,0.4217948717948718,30.0
63,pnr161,V1_tgt_rh_rad10_filled_deveined,sur,middle,2-4,0.42243589743589743,30.0
64,pnr161,V1_tgt_rh_rad10_filled_deveined,iso0,middle,4-6,0.40769230769230774,30.0
65,pnr161,V1_tgt_rh_rad10_filled_deveined,sur,middle,4-6,0.36794871794871803,30.0
66,pnr161,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,0-2,0.3974358974358974,30.0
67,pnr161,V1_tgt_rh_rad10_filled_deveined,sur,superficial,0-2,0.47307692307692306,30.0
68,pnr161,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,2-4,0.5076923076923077,30.0
69,pnr161,V1_tgt_rh_rad10_filled_deveined,sur,superficial,2-4,0.4217948717948718,30.0
70,pnr161,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,4-6,0.4237179487179487,30.0
71,pnr161,V1_tgt_rh_rad10_filled_deveined,sur,superficial,4-6,0.4935897435897435,30.0
72,pnr256,V1_tgt_lh_rad10_filled_deveined,iso0,deep,0-2,0.26538461538461544,30.0
73,pnr256,V1_tgt_lh_rad10_filled_deveined,sur,deep,0-2,0.3205128205128205,30.0
