,subj,roi,cond,depth,radius_band,accuracy,nVoxels
0,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,deep,0-1,0.25787179487179485,10.0
1,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,deep,0-1,0.22855128205128206,10.0
2,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,deep,1-2,0.25687179487179485,10.0
3,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,deep,1-2,0.2919615384615385,10.0
4,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,deep,2-3,0.2776666666666667,10.0
5,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,deep,2-3,0.2877564102564103,10.0
6,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,deep,3-4,0.28475641025641024,10.0
7,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,deep,3-4,0.2763846153846154,10.0
8,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,deep,4-5,0.2880769230769231,10.0
9,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,deep,4-5,0.3037948717948718,10.0
10,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,deep,5-6,0.2976538461538462,10.0
11,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,deep,5-6,0.2812692307692308,10.0
12,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,middle,0-1,0.33114102564102565,10.0
13,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,middle,0-1,0.34835897435897434,10.0
14,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,middle,1-2,0.2777179487179487,10.0
15,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,middle,1-2,0.3355641025641026,10.0
16,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,middle,2-3,0.28875641025641025,10.0
17,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,middle,2-3,0.2759871794871795,10.0
18,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,middle,3-4,0.309051282051282,10.0
19,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,middle,3-4,0.311,10.0
20,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,middle,4-5,0.32914102564102565,10.0
21,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,middle,4-5,0.3450641025641026,10.0
22,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,middle,5-6,0.30453846153846154,10.0
23,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,middle,5-6,0.3002820512820513,10.0
24,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,0-1,0.36792307692307685,10.0
25,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,superficial,0-1,0.4004871794871795,10.0
26,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,1-2,0.3837179487179486,10.0
27,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,superficial,1-2,0.4142820512820513,10.0
28,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,2-3,0.3433589743589745,10.0
29,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,superficial,2-3,0.3328076923076923,10.0
30,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,3-4,0.35087179487179493,10.0
31,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,superficial,3-4,0.36905128205128207,10.0
32,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,4-5,0.34532051282051285,10.0
33,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,superficial,4-5,0.32220512820512814,10.0
34,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,5-6,0.27164102564102566,10.0
35,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,superficial,5-6,0.2970128205128205,10.0
36,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,deep,0-1,0.28141025641025635,7.0
37,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,deep,0-1,0.24230769230769234,7.0
38,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,deep,1-2,0.32273076923076927,10.0
