,subj,roi,cond,depth,radius_band,accuracy,nVoxels
0,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,deep,0-1,0.257871795,10
1,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,deep,0-1,0.228551282,10
2,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,deep,2-Jan,0.256871795,10
3,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,deep,2-Jan,0.291961538,10
4,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,deep,3-Feb,0.277666667,10
5,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,deep,3-Feb,0.28775641,10
6,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,deep,4-Mar,0.28475641,10
7,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,deep,4-Mar,0.276384615,10
8,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,deep,5-Apr,0.288076923,10
9,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,deep,5-Apr,0.303794872,10
10,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,deep,6-May,0.297653846,10
11,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,deep,6-May,0.281269231,10
12,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,middle,0-1,0.331141026,10
13,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,middle,0-1,0.348358974,10
14,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,middle,2-Jan,0.277717949,10
15,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,middle,2-Jan,0.335564103,10
16,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,middle,3-Feb,0.28875641,10
17,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,middle,3-Feb,0.275987179,10
18,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,middle,4-Mar,0.309051282,10
19,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,middle,4-Mar,0.311,10
20,pnr143,V1_tgt_lh_rad10_filled_deveined,iso0,middle,5-Apr,0.329141026,10
21,pnr143,V1_tgt_lh_rad10_filled_deveined,sur,middle,5-Apr,0.345064103,10
