,subj,roi,cond,depth,radius_band,accuracy,nVoxels
36,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,deep,0-1,0.28141025641025635,7
37,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,deep,0-1,0.24230769230769234,7
38,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,deep,2-Jan,0.32273076923076927,10
39,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,deep,2-Jan,0.41776923076923067,10
40,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,deep,3-Feb,0.33978205128205125,10
41,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,deep,3-Feb,0.34287179487179487,10
42,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,deep,4-Mar,0.2986666666666667,10
43,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,deep,4-Mar,0.30473076923076925,10
44,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,deep,5-Apr,0.2843076923076923,10
45,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,deep,5-Apr,0.33149999999999996,10
46,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,deep,6-May,0.31423076923076926,10
47,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,deep,6-May,0.328525641,10
48,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,middle,0-1,0.3044871794871795,7
49,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,middle,0-1,0.407051282,7
50,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,middle,2-Jan,0.3481794871794872,10
51,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,middle,2-Jan,0.3731025641025641,10
52,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,middle,3-Feb,0.4046153846153846,10
53,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,middle,3-Feb,0.4066282051282051,10
54,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,middle,4-Mar,0.3404358974358974,10
55,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,middle,4-Mar,0.39776923076923076,10
56,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,middle,5-Apr,0.3527051282051281,10
57,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,middle,5-Apr,0.37616666666666676,10
58,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,middle,6-May,0.30364102564102563,10
59,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,middle,6-May,0.3272435897435897,10
60,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,0-1,0.3192307692307692,6
61,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,superficial,0-1,0.335897436,6
62,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,2-Jan,0.40198717948717955,10
63,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,superficial,2-Jan,0.4080897435897436,10
64,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,3-Feb,0.37264102564102575,10
65,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,superficial,3-Feb,0.38908974358974363,10
66,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,4-Mar,0.35805128205128206,10
67,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,superficial,4-Mar,0.36898717948717946,10
68,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,5-Apr,0.3799230769230769,10
69,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,superficial,5-Apr,0.3854871794871795,10
70,pnr143,V1_tgt_rh_rad10_filled_deveined,iso0,superficial,6-May,0.3745897435897435,10
71,pnr143,V1_tgt_rh_rad10_filled_deveined,sur,superficial,6-May,0.3876282051282051,10
108,pnr256,V1_tgt_rh_rad10_filled_deveined,iso0,deep,0-1,0.25019230769230766,10
109,pnr256,V1_tgt_rh_rad10_filled_deveined,sur,deep,0-1,0.1728205128205128,10
110,pnr256,V1_tgt_rh_rad10_filled_deveined,iso0,deep,2-Jan,0.23720512820512824,10
111,pnr256,V1_tgt_rh_rad10_filled_deveined,sur,deep,2-Jan,0.21164102564102563,10
112,pnr256,V1_tgt_rh_rad10_filled_deveined,iso0,deep,3-Feb,0.22824358974358977,10
113,pnr256,V1_tgt_rh_rad10_filled_deveined,sur,deep,3-Feb,0.21165384615384614,10
114,pnr256,V1_tgt_rh_rad10_filled_deveined,iso0,deep,4-Mar,0.21755128205128205,10
115,pnr256,V1_tgt_rh_rad10_filled_deveined,sur,deep,4-Mar,0.2088846153846154,10
116,pnr256,V1_tgt_rh_rad10_filled_deveined,iso0,deep,5-Apr,0.19085897435897436,10
117,pnr256,V1_tgt_rh_rad10_filled_deveined,sur,deep,5-Apr,0.2097179487179487,10
118,pnr256,V1_tgt_rh_rad10_filled_deveined,iso0,deep,6-May,0.2626410256410257,10
119,pnr256,V1_tgt_rh_rad10_filled_deveined,sur,deep,6-May,0.2346923076923077,10
120,pnr256,V1_tgt_rh_rad10_filled_deveined,iso0,middle,0-1,0.23525641025641025,10
121,pnr256,V1_tgt_rh_rad10_filled_deveined,sur,middle,0-1,0.22692307692307692,10
122,pnr256,V1_tgt_rh_rad10_filled_deveined,iso0,middle,2-Jan,0.2516923076923077,10
123,pnr256,V1_tgt_rh_rad10_filled_deveined,sur,middle,2-Jan,0.2529615384615384,10
124,pnr256,V1_tgt_rh_rad10_filled_deveined,iso0,middle,3-Feb,0.23285897435897435,10
125,pnr256,V1_tgt_rh_rad10_filled_deveined,sur,middle,3-Feb,0.21793589743589745,10
126,pnr256,V1_tgt_rh_rad10_filled_deveined,iso0,middle,4-Mar,0.23965384615384613,10
127,pnr256,V1_tgt_rh_rad10_filled_deveined,sur,middle,4-Mar,0.23367948717948717,10
128,pnr256,V1_tgt_rh_rad10_filled_deveined,iso0,middle,5-Apr,0.24173076923076922,10
