subj,roi,cond,depth,radius_band,accuracy,nVoxels
pnr143,V1_tgt_rh_rad10_filled_deveined,sur,deep,0,0.242307692,7
pnr143,V1_tgt_rh_rad10_filled_deveined,sur,deep,1,0.417769231,10
pnr143,V1_tgt_rh_rad10_filled_deveined,sur,deep,2,0.342871795,10
pnr143,V1_tgt_rh_rad10_filled_deveined,sur,deep,3,0.304730769,10
pnr143,V1_tgt_rh_rad10_filled_deveined,sur,deep,4,0.3315,10
pnr143,V1_tgt_rh_rad10_filled_deveined,sur,deep,5,0.33,10
pnr143,V1_tgt_rh_rad10_filled_deveined,sur,middle,0,0.41,7
pnr143,V1_tgt_rh_rad10_filled_deveined,sur,middle,1,0.373102564,10
pnr143,V1_tgt_rh_rad10_filled_deveined,sur,middle,2,0.406628205,10
pnr143,V1_tgt_rh_rad10_filled_deveined,sur,middle,3,0.397769231,10
pnr143,V1_tgt_rh_rad10_filled_deveined,sur,middle,4,0.376166667,10
pnr143,V1_tgt_rh_rad10_filled_deveined,sur,middle,5,0.32724359,10
pnr143,V1_tgt_rh_rad10_filled_deveined,sur,superficial,0,0.34,6
pnr143,V1_tgt_rh_rad10_filled_deveined,sur,superficial,1,0.408089744,10
pnr143,V1_tgt_rh_rad10_filled_deveined,sur,superficial,2,0.389089744,10
pnr143,V1_tgt_rh_rad10_filled_deveined,sur,superficial,3,0.368987179,10
pnr143,V1_tgt_rh_rad10_filled_deveined,sur,superficial,4,0.385487179,10
pnr143,V1_tgt_rh_rad10_filled_deveined,sur,superficial,5,0.387628205,10
pnr256,V1_tgt_rh_rad10_filled_deveined,sur,deep,0,0.172820513,10
pnr256,V1_tgt_rh_rad10_filled_deveined,sur,deep,1,0.211641026,10
pnr256,V1_tgt_rh_rad10_filled_deveined,sur,deep,2,0.211653846,10
pnr256,V1_tgt_rh_rad10_filled_deveined,sur,deep,3,0.208884615,10
pnr256,V1_tgt_rh_rad10_filled_deveined,sur,deep,4,0.209717949,10
pnr256,V1_tgt_rh_rad10_filled_deveined,sur,deep,5,0.234692308,10
