subj,deep_0,deep_1,deep_2,deep_3,deep_4,deep_5,middle_0,middle_1,middle_2,middle_3,middle_4,middle_5,superficial_0,superficial_1,superficial_2,superficial_3,superficial_4,superficial_5
pnr143,0.242307692,0.417769231,0.342871795,0.304730769,0.3315,0.328525641,0.407051282,0.373102564,0.406628205,0.397769231,0.376166667,0.32724359,0.335897436,0.408089744,0.389089744,0.368987179,0.385487179,0.387628205
pnr256,0.172820513,0.211641026,0.211653846,0.208884615,0.209717949,0.234692308,0.226923077,0.252961538,0.217935897,0.233679487,0.265538462,0.238153846,0.296923077,0.299820513,0.32424359,0.302064103,0.261615385,0.232961538
pnr328,0.171794872,0.14525641,0.262884615,0.184858974,0.151538462,0.201487179,0.21025641,0.169910256,0.217371795,0.209551282,0.227653846,0.200589744,0.257692308,0.179846154,0.186858974,0.180705128,0.190461538,0.2345
pnr495,0.088384615,0.171628205,0.191397436,0.201153846,0.208935897,0.134,0.180128205,0.189435897,0.235192308,0.177602564,0.149576923,0.154564103,0.163461538,0.218717949,0.265833333,0.201858974,0.159807692,0.124897436
pnr510,0.241666667,0.227333333,0.315230769,0.285166667,0.285961538,0.277051282,0.226923077,0.257051282,0.309782051,0.274769231,0.268974359,0.271512821,0.124358974,0.362564103,0.308897436,0.288820513,0.283794872,0.315974359
pnr579,0.170512821,0.300858974,0.2675,0.261141026,0.225807692,0.223230769,0.289102564,0.196782051,0.297012821,0.253589744,0.260128205,0.242397436,0.330128205,0.326166667,0.270269231,0.260705128,0.270012821,0.26424359
pnr668,0.233974359,0.201884615,0.182589744,0.200166667,0.161115385,0.171141026,0.210897436,0.215807692,0.278538462,0.206448718,0.199833333,0.234730769,0.257692308,0.299230769,0.271846154,0.193192308,0.211717949,0.218012821
pnr713,0.166666667,0.166910256,0.217423077,0.264217949,0.275910256,0.281371795,0.147435897,0.282051282,0.283115385,0.308576923,0.311833333,0.283115385,0.171794872,0.255397436,0.275576923,0.342769231,0.325217949,0.311833333
pnr739,0.287179487,0.353807692,0.344692308,0.329948718,0.167628205,0.219628205,0.163461538,0.362179487,0.424230769,0.362987179,0.256589744,0.18174359,0.25,0.381410256,0.405064103,0.411448718,0.404384615,0.338435897
pnr756,0.167923077,0.157269231,0.163217949,0.149230769,0.168307692,0.159448718,0.184038462,0.148589744,0.133115385,0.168666667,0.151935897,0.162051282,0.190089744,0.173769231,0.171846154,0.194820513,0.171717949,0.212166667
