,condition,depth,radius_band,avg_accuracy,std_accuracy,nSubjects,p_raw,p_adj
0,iso0,deep,0-1,0.20507459207459205,0.06382852117431827,11,0.0016132117161461502,0.001814863180664419
1,iso0,deep,1-2,0.22400349650349655,0.052784463644736775,11,0.0014201448043798493,0.0016492004179895024
2,iso0,deep,2-3,0.23026223776223775,0.05738790045290121,11,0.001048274331045015,0.0013477812827721622
3,iso0,deep,3-4,0.2099731934731935,0.06574786715157638,11,0.00046242388527399197,0.0009248477705479839
4,iso0,deep,4-5,0.21217132867132868,0.05240457607262443,11,0.0021055422798695596,0.002296955214403156
5,iso0,deep,5-6,0.22389627039627039,0.06174001628876206,11,0.0011670939290439142,0.001400512714852697
6,iso0,middle,0-1,0.23357459207459208,0.06865523610453479,11,0.0005664236348612098,0.0010195625427501776
7,iso0,middle,1-2,0.24237762237762242,0.056562720525849965,11,0.000376720899815507,0.0008476220245848908
8,iso0,middle,2-3,0.24947668997669,0.06394434081821414,11,0.00041013049638521855,0.0008685116394039923
9,iso0,middle,3-4,0.23538461538461541,0.07240440142866662,11,0.0003139103342395072,0.0008476220245848908
10,iso0,middle,4-5,0.22934032634032633,0.08637395109359575,11,0.0010992218979146708,0.0013645513215492465
11,iso0,middle,5-6,0.23595221445221445,0.06892061798630741,11,0.0008504872288980693,0.0012086631243117948
12,iso0,superficial,0-1,0.2657820512820513,0.08740196382996233,11,0.00010317400145237666,0.0008459504712602516
13,iso0,superficial,1-2,0.27261072261072267,0.08673287809424822,11,9.562339617496255e-05,0.0008459504712602516
14,iso0,superficial,2-3,0.2713869463869464,0.05901365970774514,11,0.00015850920293453025,0.0008459504712602516
15,iso0,superficial,3-4,0.2707097902097902,0.06413533411160198,11,0.00015086028045831917,0.0008459504712602516
16,iso0,superficial,4-5,0.25174708624708625,0.08009116404282322,11,0.0006896721285858256,0.0011285543922313508
17,iso0,superficial,5-6,0.24338461538461537,0.07887228137988364,11,0.0008729233675585185,0.0012086631243117948
18,sur,deep,0-1,0.1786899766899767,0.052832762689506485,11,0.003820409945704194,0.003929564515581457
19,sur,deep,1-2,0.24089743589743587,0.04196307908122244,11,0.004264483159609641,0.004264483159609641
20,sur,deep,2-3,0.23341142191142195,0.04616998793569771,11,0.00022901379861985807,0.0008476220245848908
21,sur,deep,3-4,0.22829836829836836,0.05985195387862079,11,0.0001644903694117156,0.0008459504712602516
22,sur,deep,4-5,0.21873543123543124,0.0491952366285298,11,0.0009239866185697911,0.0012319821580930549
23,sur,deep,5-6,0.23157575757575757,0.046223030396930195,11,0.0006093209090035055,0.001044550129720295
24,sur,middle,0-1,0.24918881118881117,0.0781347285432145,11,0.0023829558625280797,0.0025231297367944374
25,sur,middle,1-2,0.24623543123543123,0.0596028408170003,11,0.0008023158013066905,0.0012086631243117948
26,sur,middle,2-3,0.26053496503496504,0.0659951198134226,11,0.00033726052652759207,0.0008476220245848908
27,sur,middle,3-4,0.2543566433566433,0.05912123592476384,11,0.00037329618227882567,0.0008476220245848908
28,sur,middle,4-5,0.24006293706293705,0.07843843194174151,11,0.00034892910117665196,0.0008476220245848908
29,sur,middle,5-6,0.23861421911421912,0.06382359541342675,11,0.00021316635606832637,0.0008476220245848908
30,sur,superficial,0-1,0.24919114219114222,0.09126379863452606,11,0.0008424702840935934,0.0012086631243117948
31,sur,superficial,1-2,0.2939452214452215,0.0910044913035551,11,0.0001315719511044291,0.0008459504712602516
32,sur,superficial,2-3,0.27802564102564103,0.06529116934146038,11,7.643953982651188e-05,0.0008459504712602516
33,sur,superficial,3-4,0.27758624708624713,0.06582924739090329,11,0.0002707824832931622,0.0008476220245848908
34,sur,superficial,4-5,0.26167832167832167,0.07903894379822235,11,0.0005504614044477933,0.0010195625427501776
35,sur,superficial,5-6,0.2542167832167832,0.07318658468319766,11,0.000260549510157428,0.0008476220245848908
