x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L0 p-val
0.00,0.00,19.00,0.76,83.00,0.94046223,-0.23941244,1.07811809,2.12444735,0.97590381,2.40780568,0.12106385,6.77,0.15730076,-2.11322355,-0.61286134,4.06448221,-4.97401094,3.25443745,1.32388675,-5.20896626,2.90171695,-2.32713532,8.11525631,0.00448470,1.49081719,-0.79558474,3.44606185,2.89857411,-3.04584026,-0.34488338,2.95428133,1.92604864,-1.02648687,1.56458247,0.21130512,4.80742741,-0.98672277,1.91230559,-1.45779979,1.67488980,-0.12722424,0.66651809,1.43740630,-1.17077529,2.02818203,0.15473532,0.15550846,-0.08871360,-0.24422206,0.88699013,0.34708084,-2.93527055,-4.10532427,-1.17005348,0.80379355,4.30,1.66,0.01785731,34.88666153,0.24787980,1.95213115,-0.00705156,0.00162606,-0.02129628,0.01437782,-0.12601107,0.52812809,-2.03738093,6.69124794,0.00983687,0.02288022,37.12357712,0.27418301,1.95365119,-0.02528924,0.01698380,-0.04625602,0.05455401,-0.15926898,0.68389803,-2.00558376,6.68046474,0.00989612,0.03597331,42.89424896,0.28231058,1.66485047,-0.05017088,0.05288663,-0.07895840,0.12613419,-0.19613644,0.81823295,-2.07863116,7.41862249,0.00657402,0.01305405,20.76605034,0.14981049,0.55817318,0.05807869,0.08470464,0.05938013,0.08470464,0.02750212,0.01915135,-1.18128693,2.39366531,0.12216179,0.02145119,39.79874420,0.16003433,0.59067959,-0.03579558,0.02941786,-0.05941969,0.07767346,-0.03959111,0.03698736,-1.86133111,6.09285069,0.01374868,0.02433906,34.01933670,0.14321475,0.41605136,0.01280995,0.00333457,0.00160212,0.00008550,-0.01484500,0.00461709,-1.54360378,4.29167318,0.03856974,0.01305405,20.76605034,0.14981049,0.55817318,0.05807869,0.08470464,0.05938013,0.08470464,0.02750212,0.01915135,-1.18128693,2.39366531,0.12216179,0.02145119,39.79874420,0.16003433,0.59067959,-0.03579558,0.02941786,-0.05941969,0.07767346,-0.03959111,0.03698736,-1.86133111,6.09285069,0.01374868,0.02433906,34.01933670,0.14321475,0.41605136,0.01280995,0.00333457,0.00160212,0.00008550,-0.01484500,0.00461709,-1.54360378,4.29167318,0.03856974,
0.00,0.00,19.00,0.00,90.00,0.20283332,1.52759731,0.46250236,1.10226870,0.82380044,1.01003635,0.31514950,8.83,0.43321831,-1.93840563,0.95376211,0.36966628,3.28932357,-0.30790788,4.65319920,2.03300881,2.86733699,0.39359871,0.13262425,0.71580796,-3.20843816,-0.61185253,-0.72809923,1.01905549,4.71797800,-3.63741064,1.57848918,4.63443518,-0.71502835,0.44758251,0.50364862,0.49256945,-0.02738686,-0.48399732,7.54761219,-0.01435468,-3.28614950,0.32580224,-3.62620831,-0.83311343,0.60961938,0.43512669,0.85182202,0.86476159,0.01293957,0.00228945,0.96187025,7.45314455,6.88700485,-0.56613946,0.09431417,6.28,0.00,0.00766410,3.64672971,0.12193954,0.26808473,-0.08203617,0.12578614,-0.03425353,0.02117481,0.15281904,0.44088286,-0.51170135,0.23952790,0.62466064,0.01376536,7.63991833,0.16255552,0.39045262,-0.14850283,0.33290401,-0.11983106,0.20805283,0.11550476,0.20444384,-0.97269350,0.89336890,0.34480709,0.02244969,9.46154881,0.17182527,0.34928033,-0.19229847,0.43967885,-0.15759985,0.28458431,0.11700434,0.16496508,-1.08128178,1.13696897,0.28656548,-0.00082508,0.04751034,0.08075119,0.09298868,0.03956323,0.02254564,0.13497235,0.25100169,0.29527795,1.26420093,0.80113119,0.63127798,0.42708599,0.00642202,2.01054430,0.09406395,0.11500460,-0.06722486,0.05837502,-0.01020168,0.00126059,0.26036149,0.90093404,-0.10304703,0.01047259,0.91851189,0.01067791,3.71985459,0.08694918,0.08714311,-0.10134885,0.11929959,-0.03346279,0.01272659,0.27458358,0.89056951,-0.32774931,0.10997324,0.74024797,-0.00082508,0.04751034,0.08075119,0.09298868,0.03956323,0.02254564,0.13497235,0.25100169,0.29527795,1.26420093,0.80113119,0.63127798,0.42708599,0.00642202,2.01054430,0.09406395,0.11500460,-0.06722486,0.05837502,-0.01020168,0.00126059,0.26036149,0.90093404,-0.10304703,0.01047259,0.91851189,0.01067791,3.71985459,0.08694918,0.08714311,-0.10134885,0.11929959,-0.03346279,0.01272659,0.27458358,0.89056951,-0.32774931,0.10997324,0.74024797,
0.00,0.00,19.00,0.76,79.00,-1.24915588,0.23917499,-1.62077439,-0.00225123,-0.65825164,1.34710443,0.24607592,6.11,0.13826239,0.56329638,-1.46064448,-4.32321119,2.36318326,1.69494975,-3.65453434,2.09727764,3.67495346,0.24591863,0.11062989,0.73950192,-1.92974448,-0.68509960,0.76332229,-2.05888391,-0.03090503,-2.71670198,-3.60380840,-2.48696494,-1.61782396,4.74918747,0.02955848,0.78172916,0.21413735,-1.13671982,1.07310021,-3.90189600,0.26057389,-3.00421762,-4.68988705,-1.25299776,2.87623143,0.09022556,3.84988999,3.78077412,-0.06911580,0.04039169,0.84085805,7.51073027,7.38696194,-0.12376801,0.01587142,4.24,1.45,-0.00388674,1.95692003,-0.01393394,0.00729627,-0.11934365,0.55542845,-0.04118019,0.06374101,-0.05841690,0.13437295,0.04952874,0.00466151,0.94558097,-0.00094040,0.07393473,0.00360640,0.00040457,-0.18568970,1.07948756,-0.11354272,0.38757578,-0.11049267,0.38818264,-0.43592414,0.37220222,0.54195268,-0.00314250,0.38389343,-0.00247319,0.00020237,-0.19896258,0.97460765,-0.10333867,0.25326443,-0.11432783,0.32601598,-0.29902914,0.18010814,0.67137671,-0.00684589,6.89582872,-0.00026331,0.00000000,-0.07679835,0.17877772,0.02487497,0.01792871,-0.08428385,0.21687622,0.45543319,0.42957589,0.51235631,-0.00454462,2.10477328,0.00264518,0.00020270,-0.13665158,0.50463068,-0.05083076,0.06699355,-0.09382610,0.24456194,0.00005443,0.00000000,1.00000000,-0.00448522,1.36847734,0.00016369,0.00000000,-0.16971512,0.69740486,-0.07713416,0.14037223,-0.11264011,0.31244469,-0.12459972,0.03311812,0.85563435,-0.00684589,6.89582872,-0.00026331,0.00000000,-0.07679835,0.17877772,0.02487497,0.01792871,-0.08428385,0.21687622,0.45543319,0.42957589,0.51235631,-0.00454462,2.10477328,0.00264518,0.00020270,-0.13665158,0.50463068,-0.05083076,0.06699355,-0.09382610,0.24456194,0.00005443,0.00000000,1.00000000,-0.00448522,1.36847734,0.00016369,0.00000000,-0.16971512,0.69740486,-0.07713416,0.14037223,-0.11264011,0.31244469,-0.12459972,0.03311812,0.85563435,
0.00,0.00,21.00,0.00,163.00,-0.56605935,10.92834854,-1.93418610,10.41446590,4.71064234,4.84519339,0.02796265,23.04,0.12173846,2.56931186,4.43643236,2.10839152,12.64931297,18.92282677,11.31035233,14.04338837,17.76409340,0.49918824,0.03138536,0.85942135,0.69368368,-3.92046213,7.94269896,-13.03901386,1.68373108,-3.84045100,-6.92052317,1.01543987,-12.28963089,19.29279709,0.00001248,24.78916359,10.58750916,9.48193741,-0.99613720,-17.80196953,-1.75848389,-2.77451730,-26.13757706,-10.73998356,15.55636024,0.00008600,1.59160316,1.91671407,0.32511082,0.84481424,0.35879002,14.70381165,20.10630989,5.40249872,2.53849983,6.28,0.00,0.00845114,0.65090114,0.52131557,0.71928793,-0.34280765,0.32237059,-1.09564626,3.17488241,0.54649198,0.82760036,3.19695568,1.37252760,0.24167275,0.02592203,3.97433019,0.67053950,0.97452360,-0.60057634,0.79875791,-1.50455487,4.81303740,0.40252334,0.36435175,1.41295135,0.27661201,0.59905361,0.04076251,4.56949472,0.70398641,0.85890263,-0.71043271,0.87905955,-1.71787369,4.95201826,0.43239349,0.32995513,1.34048104,0.25591278,0.61305987,-0.03265626,11.09987354,0.49598312,0.52263862,0.29155165,0.18234128,-0.23398949,0.11235635,0.91132736,1.79360867,9.31207180,12.70497227,0.00038290,-0.00700846,0.35197788,0.55787987,0.59466815,-0.16922648,0.05444426,-0.91250074,1.51788318,0.86269611,1.45397532,5.33357000,4.14460516,0.04204530,0.01564045,1.17149472,0.56781852,0.54533231,-0.48424783,0.39970118,-1.38284242,3.17524862,0.73387849,0.93379599,3.03876781,1.38706064,0.23919800,-0.03265626,11.09987354,0.49598312,0.52263862,0.29155165,0.18234128,-0.23398949,0.11235635,0.91132736,1.79360867,9.31207180,12.70497227,0.00038290,-0.00700846,0.35197788,0.55787987,0.59466815,-0.16922648,0.05444426,-0.91250074,1.51788318,0.86269611,1.45397532,5.33357000,4.14460516,0.04204530,0.01564045,1.17149472,0.56781852,0.54533231,-0.48424783,0.39970118,-1.38284242,3.17524862,0.73387849,0.93379599,3.03876781,1.38706064,0.23919800,
0.00,0.00,19.00,0.68,126.00,1.36290479,0.53614825,2.66971016,0.78172338,1.33762169,5.88920641,0.01541870,5.93,0.00679673,-1.30614972,-1.20203328,4.24725151,0.52397496,-1.32802093,3.98057365,-1.37068057,1.20954967,-0.26651654,0.13621838,0.71215245,3.76810670,0.27653527,3.03457189,2.80383635,2.62165880,2.14413023,4.45341396,2.03924608,1.89443612,6.88125420,0.00885076,0.53283143,5.35860491,-3.15046763,2.67321706,-0.95394999,0.13002203,0.02546496,5.44849920,0.54245836,0.57879251,0.44697579,-0.24858989,-0.45588863,-0.20729876,1.06503749,0.30293191,-5.22525120,-5.31635523,-0.09110433,0.00925813,4.29,1.73,0.01646078,38.86608124,0.11414098,0.54263997,0.06331533,0.17302540,-0.02399854,0.02390040,0.01343764,0.00785459,-1.43698525,4.36423492,0.03696742,0.02347884,51.80422592,0.14632693,0.73738664,0.02422740,0.02068820,-0.09733033,0.32004195,-0.02983077,0.03182800,-1.69578266,6.32928276,0.01204049,0.03090909,41.28136444,0.11739636,0.37530559,0.06818014,0.12720126,-0.05602196,0.08277642,0.00271065,0.00022494,-1.30282748,3.79916787,0.05157300,0.01320473,27.94621849,0.02100728,0.01442506,0.11917327,0.46903631,0.00587120,0.00110962,0.16432998,0.89801532,-0.82263756,1.52683687,0.21689423,0.01565860,27.34143448,0.01996191,0.01186632,0.12190063,0.43949729,0.01679664,0.00809571,0.14720498,0.65885782,-0.78127742,1.38403392,0.23971085,0.01945061,28.20698929,0.00452690,0.00055503,0.14177561,0.53338444,0.04085356,0.04318138,0.17558406,0.83221292,-0.71005958,1.17910707,0.27781418,0.01320473,27.94621849,0.02100728,0.01442506,0.11917327,0.46903631,0.00587120,0.00110962,0.16432998,0.89801532,-0.82263756,1.52683687,0.21689423,0.01565860,27.34143448,0.01996191,0.01186632,0.12190063,0.43949729,0.01679664,0.00809571,0.14720498,0.65885782,-0.78127742,1.38403392,0.23971085,0.01945061,28.20698929,0.00452690,0.00055503,0.14177561,0.53338444,0.04085356,0.04318138,0.17558406,0.83221292,-0.71005958,1.17910707,0.27781418,
0.00,0.00,21.00,0.82,98.00,0.93384171,-3.36691451,4.51888371,0.24966589,0.58386916,0.08718207,0.76785499,21.29,0.67882591,0.05996744,-6.69166374,-1.19356835,-0.08182255,2.02929807,-9.07247257,-7.22801113,-5.39737988,-3.53135824,1.83034694,0.17641015,-1.78283942,0.15698940,-3.82920504,8.14158821,4.98959064,8.94748974,0.55527282,18.91012383,4.08138180,2.50466943,0.11384390,-10.45896530,8.39751911,-6.72790909,3.59818649,8.15812397,4.84536505,-1.76389885,1.19584405,0.63376129,0.06029201,0.80608832,-1.84789765,-1.99520791,-0.14731021,0.35603011,0.55118644,-18.35192680,-21.08082199,-2.72889423,1.10616601,4.33,1.74,0.02376145,6.05666161,0.90381664,2.54480624,-0.20735878,0.13883080,0.30048701,0.28108537,0.33407167,0.36399448,-3.90730166,2.41309142,0.12065865,0.02779507,5.35563040,0.98802316,2.47995663,-0.22093910,0.12671801,0.34645364,0.29911891,0.38142005,0.38344106,-3.55044317,2.04660654,0.15287574,0.04385186,6.20028353,1.07860041,2.36389589,-0.25863299,0.13656065,0.35332054,0.24559434,0.40862533,0.34542999,-3.65699053,2.23364615,0.13536798,0.01653288,3.30388308,0.85984844,1.82396078,-0.11032975,0.03032682,0.45873779,0.50156415,0.65699124,1.08252692,-2.66156578,1.20530701,0.27254261,0.02260442,4.30222797,0.87139678,1.70485353,-0.20181744,0.09090677,0.37474579,0.30078951,0.61746603,0.87523723,-2.93615222,1.47594535,0.22471281,0.01925632,2.08057213,0.91137528,1.64603913,-0.06222260,0.00775236,0.59052497,0.67839801,0.70326149,1.00466526,-2.01548982,0.71488756,0.39803959,0.01653288,3.30388308,0.85984844,1.82396078,-0.11032975,0.03032682,0.45873779,0.50156415,0.65699124,1.08252692,-2.66156578,1.20530701,0.27254261,0.02260442,4.30222797,0.87139678,1.70485353,-0.20181744,0.09090677,0.37474579,0.30078951,0.61746603,0.87523723,-2.93615222,1.47594535,0.22471281,0.01925632,2.08057213,0.91137528,1.64603913,-0.06222260,0.00775236,0.59052497,0.67839801,0.70326149,1.00466526,-2.01548982,0.71488756,0.39803959,
0.00,0.00,12.00,0.56,165.00,1.49946809,-0.91901702,0.81023425,0.80951506,0.55005008,2.03322363,0.15422170,4.15,0.11845552,-2.57292867,0.75846696,4.95429945,-4.85759163,1.29675996,-0.08170620,-5.30115843,-0.68582726,-1.68464375,11.87365055,0.00059440,-1.88797665,0.92793649,0.05559950,1.24155819,-1.64597178,1.31882954,3.67824197,2.52157378,0.00584678,0.00011147,0.99157841,1.31935954,-2.63590765,1.84208524,4.52005672,2.17413306,0.92891914,1.81774735,1.80460250,0.68288887,1.86817563,0.17200925,0.72036529,0.49822497,-0.22214031,1.10960054,0.29304869,1.45198131,1.40413952,-0.04784171,0.00451901,4.35,1.69,0.01613068,79.52363586,-0.13785456,1.68671966,-0.09395988,0.81221950,-0.12061395,1.29026282,-0.19533131,3.54551840,-1.89397931,16.15389824,0.00006303,0.01893975,70.25861359,-0.15612857,1.74961114,-0.09553335,0.66928250,-0.12741077,1.14299238,-0.21437831,3.42234349,-1.66184151,12.66857052,0.00039033,0.02973042,81.32829285,-0.19758642,2.26371789,-0.12409978,0.89742827,-0.16607444,1.54848146,-0.25605360,3.87099409,-1.71720517,14.05446148,0.00018835,0.01215342,49.53113556,-0.26697025,4.87813663,-0.05448494,0.20511542,-0.07261027,0.34859174,-0.06739537,0.31603098,-1.18001235,6.57274771,0.01050855,0.01512482,53.60524750,-0.27615482,4.76507521,-0.07318264,0.33279264,-0.09504757,0.53857404,-0.11100370,0.78717810,-1.22309828,7.12783289,0.00771960,0.02151726,73.95720673,-0.30543745,5.26337671,-0.09335148,0.49545565,-0.12252107,0.83138806,-0.10824330,0.67757261,-1.41403341,10.01762199,0.00160000,0.01215342,49.53113556,-0.26697025,4.87813663,-0.05448494,0.20511542,-0.07261027,0.34859174,-0.06739537,0.31603098,-1.18001235,6.57274771,0.01050855,0.01512482,53.60524750,-0.27615482,4.76507521,-0.07318264,0.33279264,-0.09504757,0.53857404,-0.11100370,0.78717810,-1.22309828,7.12783289,0.00771960,0.02151726,73.95720673,-0.30543745,5.26337671,-0.09335148,0.49545565,-0.12252107,0.83138806,-0.10824330,0.67757261,-1.41403341,10.01762199,0.00160000,
0.00,0.00,15.00,0.68,106.00,1.49957383,-2.30749512,1.72049928,0.46560401,0.34454548,0.16993533,0.68026209,9.00,0.63102625,-1.04518056,-1.98431075,0.99234831,-9.61762047,-0.54149938,-1.44583917,-2.43602562,-1.70156801,-2.77791023,6.40933895,0.01151326,-5.02782154,2.79763746,0.60445935,2.48516631,-0.20893526,9.53783226,4.77348137,-1.67223704,1.28578365,1.40874827,0.23556258,0.25450960,-1.40997350,-3.17006516,-0.67508924,0.96365911,1.26966548,3.62944412,10.65529442,0.94326431,0.75755203,0.38431673,0.07960006,-0.08133517,-0.16093524,0.54533017,0.46083135,3.43449688,4.18625212,0.75175512,0.25078663,4.35,1.69,0.01325024,10.62725449,-0.21395215,0.80468184,0.25548577,1.18936086,0.00057457,0.00000000,-0.26652008,1.30735934,-1.70026863,2.57835317,0.10866770,0.01476956,8.51972389,-0.23935395,0.81994200,0.30129489,1.32751608,0.01706591,0.00406286,-0.28686878,1.22197616,-1.41632867,1.83490121,0.17587282,0.01801389,5.87326860,-0.30059391,1.03057325,0.38040650,1.65873480,0.06626021,0.04842884,-0.29078880,0.98205018,-1.05662882,1.04668474,0.30653313,0.01628665,18.28406143,-0.32295194,1.46735966,0.22021005,0.68872559,-0.10715656,0.15605132,-0.22598428,0.73043472,-2.03376341,4.01333475,0.04542632,0.01118846,5.93059301,-0.33755258,1.43941855,0.36504969,1.67424870,0.06557621,0.05182849,-0.21025792,0.57105571,-1.00446963,0.97201979,0.32442879,0.01055368,3.51540041,-0.36694455,1.50093424,0.43129787,2.08955979,0.13637617,0.20347668,-0.19822605,0.44896448,-0.63561261,0.39990452,0.52729122,0.01628665,18.28406143,-0.32295194,1.46735966,0.22021005,0.68872559,-0.10715656,0.15605132,-0.22598428,0.73043472,-2.03376341,4.01333475,0.04542632,0.01118846,5.93059301,-0.33755258,1.43941855,0.36504969,1.67424870,0.06557621,0.05182849,-0.21025792,0.57105571,-1.00446963,0.97201979,0.32442879,0.01055368,3.51540041,-0.36694455,1.50093424,0.43129787,2.08955979,0.13637617,0.20347668,-0.19822605,0.44896448,-0.63561261,0.39990452,0.52729122,
0.00,0.00,0.00,0.57,160.00,0.19759002,-1.12197793,0.03981146,0.75666779,-0.03197717,0.00960284,0.92195764,3.51,0.66055928,0.27976918,2.10776114,-2.29131627,-1.06641972,-0.01854463,-3.84479117,-1.44126177,-2.52859616,-1.84065485,18.87606049,0.00001546,-0.54702401,2.19842315,0.45556697,-0.23905461,-0.75926816,-0.95534247,0.71831971,-0.46576354,-0.69854724,2.69099545,0.10124953,-0.16512439,-2.41129231,0.48899058,0.60212702,-0.49237755,0.26654208,1.80966926,1.35484552,-0.57290643,1.81944752,0.17770218,1.07158518,0.93061078,-0.14097437,0.39862028,0.52830171,2.18797994,1.01113117,-1.17684865,2.40738702,4.35,1.69,0.00851715,29.64467812,-0.16159508,3.09904456,-0.04527851,0.25222644,0.03229437,0.12363571,-0.00082280,0.00007992,-1.32462168,10.56521893,0.00119299,0.00849184,18.84721184,-0.19081488,3.48736429,-0.02681439,0.07042067,0.06743838,0.42734519,0.01423645,0.02015406,-1.01993227,6.36773586,0.01178404,0.00982088,11.62569523,-0.23633432,4.24274874,-0.00522722,0.00211773,0.11231758,0.92779982,0.03884372,0.11671030,-0.76959419,3.69802237,0.05477661,0.00802728,29.75186157,-0.24090217,5.46898079,-0.05312217,0.26851428,0.02437709,0.05410243,0.06951484,0.46294740,-1.18056095,9.05836105,0.00268425,0.00774066,19.04543304,-0.24784218,5.20627880,-0.02753053,0.06385648,0.06816661,0.37571004,0.06518412,0.36820215,-0.94179177,5.73262072,0.01684622,0.00886096,16.62807465,-0.27153793,5.51507568,-0.01772675,0.02372703,0.09545010,0.66900760,0.07968400,0.48683760,-0.83283347,4.60722113,0.03209107,0.00802728,29.75186157,-0.24090217,5.46898079,-0.05312217,0.26851428,0.02437709,0.05410243,0.06951484,0.46294740,-1.18056095,9.05836105,0.00268425,0.00774066,19.04543304,-0.24784218,5.20627880,-0.02753053,0.06385648,0.06816661,0.37571004,0.06518412,0.36820215,-0.94179177,5.73262072,0.01684622,0.00886096,16.62807465,-0.27153793,5.51507568,-0.01772675,0.02372703,0.09545010,0.66900760,0.07968400,0.48683760,-0.83283347,4.60722113,0.03209107,
0.00,0.00,18.00,0.69,114.00,-0.73850775,-3.38204980,-1.66579926,-1.20527124,-1.74790704,4.97080898,0.02601120,8.44,0.03912067,-0.60136557,-4.85678434,-5.66979504,-3.18085670,-1.70496583,-9.44170856,0.52296525,-2.90881085,-2.17240286,4.46417332,0.03487454,-4.13270521,2.25887918,4.11252546,-2.90478253,-2.08223891,-0.61404902,-7.69625521,-1.86866176,-0.43988016,0.18639863,0.66602955,-1.70520055,5.15127373,3.63150597,-4.78967571,-5.60165024,1.57864070,-1.41311872,-2.44138336,0.46819964,0.21211620,0.64521974,0.10265163,-0.00026188,-0.10291351,0.19945957,0.65549189,15.27566814,15.30488968,0.02922186,0.00033738,4.35,1.69,0.01073980,7.96673727,-0.53745604,5.79404974,0.19111195,0.75945729,0.12106817,0.29381964,-0.25352818,1.34990621,-3.20738983,10.46955299,0.00125565,0.01226919,6.71412897,-0.59613478,5.80862522,0.21984777,0.80720609,0.14019333,0.31517830,-0.28258091,1.35415542,-3.00948858,9.46106815,0.00215905,0.01847611,7.07927704,-0.69228792,6.26345873,0.23952161,0.75352800,0.15649079,0.30993968,-0.32320428,1.39014041,-2.97932720,9.53526020,0.00207433,0.00720357,4.03341722,-0.68561506,7.45745230,0.27172360,1.18249428,0.19137843,0.56138074,-0.18309022,0.54060876,-2.59749508,7.38222122,0.00670733,0.00781849,3.30383825,-0.70378739,7.13842773,0.29143670,1.21727717,0.22126873,0.67319518,-0.20020336,0.59052402,-2.49340367,6.83236170,0.00909416,0.00882244,2.80829358,-0.74837202,7.13676167,0.32164410,1.32851410,0.26326787,0.86709017,-0.20069352,0.52609849,-2.37332058,6.37388086,0.01174359,0.00720357,4.03341722,-0.68561506,7.45745230,0.27172360,1.18249428,0.19137843,0.56138074,-0.18309022,0.54060876,-2.59749508,7.38222122,0.00670733,0.00781849,3.30383825,-0.70378739,7.13842773,0.29143670,1.21727717,0.22126873,0.67319518,-0.20020336,0.59052402,-2.49340367,6.83236170,0.00909416,0.00882244,2.80829358,-0.74837202,7.13676167,0.32164410,1.32851410,0.26326787,0.86709017,-0.20069352,0.52609849,-2.37332058,6.37388086,0.01174359,
