x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L0 p-val
0.00,0.00,2.00,0.24,172.00,-0.83753020,0.04882504,-0.20745021,0.54861808,-0.11188433,0.05619991,0.81265710,5.14,0.70447537,3.42254043,1.23942018,3.21226025,-1.47218692,-3.28227115,1.94976103,-3.33420897,-0.98572552,-0.54192638,0.77555895,0.37872626,-0.61432159,-0.67540461,-0.64641219,-3.42791986,2.83832979,0.43050230,0.00870397,0.38056728,-0.77928621,1.60110676,0.20605768,-0.86251903,-2.04064584,-2.74446297,0.80692488,-0.52059180,1.85554278,-3.07184696,0.47770712,-1.36463165,4.84519815,0.02796384,1.29953015,1.09912634,-0.20040387,2.92450833,0.08831705,-0.46245238,-1.00484824,-0.54239589,0.77654344,0.00,0.00,0.00376574,3.02392650,0.00174961,0.00028768,-0.26639062,6.25426197,-0.03615462,0.11226631,-0.03742818,0.12384535,-0.62966084,1.05599380,0.30439253,0.00872941,12.18564701,0.02894012,0.05532166,-0.34089112,7.83571005,-0.08844607,0.51909429,-0.07032081,0.33868179,-1.24578679,4.26441383,0.03918981,0.00668859,4.11887598,0.00104457,0.00000000,-0.35817847,6.57957506,-0.05650862,0.16155560,-0.06055844,0.19071336,-0.72271180,1.41325152,0.23481476,0.00334340,2.14033771,-0.01721769,0.01767805,-0.32105231,6.14247608,-0.02201006,0.02860108,-0.02231908,0.02975087,-0.51139551,0.71754205,0.39716491,0.00964576,13.07048702,-0.01793317,0.01613524,-0.40656576,8.28944206,-0.08503880,0.35999021,-0.03878064,0.07566118,-1.29432631,4.61496830,0.03194662,0.01552284,20.48171616,-0.02208310,0.02051278,-0.46892372,9.24115276,-0.11180039,0.52065825,-0.04240411,0.07509142,-1.48645341,6.48958349,0.01100760,0.00334340,2.14033771,-0.01721769,0.01767805,-0.32105231,6.14247608,-0.02201006,0.02860108,-0.02231908,0.02975087,-0.51139551,0.71754205,0.39716491,0.00964576,13.07048702,-0.01793317,0.01613524,-0.40656576,8.28944206,-0.08503880,0.35999021,-0.03878064,0.07566118,-1.29432631,4.61496830,0.03194662,0.01552284,20.48171616,-0.02208310,0.02051278,-0.46892372,9.24115276,-0.11180039,0.52065825,-0.04240411,0.07509142,-1.48645341,6.48958349,0.01100760,
0.00,0.00,5.00,0.40,168.00,1.71545517,0.37836003,-0.26798579,1.19943762,0.75631678,2.18653131,0.13955263,5.57,0.15153091,-2.25062585,-1.79926956,2.09095883,0.75040370,-0.80633253,1.85289240,0.11339377,2.36702776,-0.83135772,1.51993811,0.21793482,-1.85685086,1.93717349,-3.18193078,-1.61121488,4.91309977,-1.26072192,-0.55169135,-0.75131661,-1.51818192,5.22491932,0.02248565,-2.71242166,5.04101610,3.57644749,1.22026956,5.72331190,0.94196558,0.26089722,0.28528911,0.54812914,0.67596310,0.41118724,1.56636667,1.40136445,-0.16500221,1.61695063,0.20453988,5.56190014,7.28604937,1.72414899,5.73505259,0.00,0.00,0.00755741,10.42896271,-0.06084448,0.26838675,-0.05051498,0.19257581,-0.27255896,5.46122122,-0.00257241,0.00055426,-0.48393479,0.53412539,0.46505800,0.00835653,9.46280861,-0.06779970,0.25722313,-0.06050216,0.20917451,-0.31314170,5.51377869,-0.01213898,0.00855155,-0.37885922,0.33424857,0.56330518,0.01360970,14.65132046,-0.07613260,0.25094104,-0.09409124,0.39011219,-0.37703809,6.18142605,-0.03489803,0.05443138,-0.68666202,1.09611201,0.29538752,0.00669839,7.33870268,-0.11904563,0.72050619,-0.05839403,0.17354272,-0.30679113,4.75072432,0.03307994,0.05580132,-0.23066427,0.12467820,0.72409338,0.01365700,22.48013878,-0.13702846,0.80816031,-0.12692973,0.69317210,-0.40309253,6.93951559,0.01899480,0.01552715,-1.02175701,2.46744561,0.11656001,0.01882199,25.72003937,-0.15304452,0.84315991,-0.13043369,0.61070436,-0.44144306,6.93362188,0.02519818,0.02265112,-0.99239624,2.47059941,0.11632700,0.00669839,7.33870268,-0.11904563,0.72050619,-0.05839403,0.17354272,-0.30679113,4.75072432,0.03307994,0.05580132,-0.23066427,0.12467820,0.72409338,0.01365700,22.48013878,-0.13702846,0.80816031,-0.12692973,0.69317210,-0.40309253,6.93951559,0.01899480,0.01552715,-1.02175701,2.46744561,0.11656001,0.01882199,25.72003937,-0.15304452,0.84315991,-0.13043369,0.61070436,-0.44144306,6.93362188,0.02519818,0.02265112,-0.99239624,2.47059941,0.11632700,
0.00,0.00,17.00,0.82,135.00,-3.24771738,-3.05834603,0.44133705,-2.66272807,-2.13186359,11.30422783,0.00080403,6.91,0.00147669,-1.24125421,-0.90000635,-5.01307392,-2.57080793,-6.33707666,-1.29948735,0.80705118,-7.45690107,-0.42103562,0.25608256,0.61294213,2.97028089,-1.54142213,-0.71863532,2.18245625,-1.33560598,2.21388721,1.26949024,-1.13494456,3.15491700,14.45431423,0.00015279,-2.08977509,-4.40910435,-3.84587431,-6.22086382,-5.32726669,-1.36958015,-1.89423656,-0.82840765,-0.55587757,0.44332457,0.50568432,0.48587602,0.63338274,0.14750670,0.30041185,0.58404744,0.21266906,-0.73454940,-0.94721842,1.07424831,2.68,0.82,0.00180606,0.38499096,-0.26628861,3.32257700,-0.02451156,0.02929625,-0.28334907,3.81480193,0.08028084,0.31541237,-2.32307816,7.95512629,0.00489508,0.00218893,0.42005455,-0.30004910,3.25870633,-0.02640863,0.02579073,-0.31764990,3.67048240,0.09279266,0.32325971,-2.33209562,8.19245625,0.00429899,-0.00171369,0.14944987,-0.36584231,3.72709537,0.00434983,0.00055705,-0.31922930,2.85052967,0.13215080,0.50198609,-1.82357121,4.97298861,0.02597935,0.01488970,24.08992958,-0.33233994,3.73061824,-0.14677922,0.72860384,-0.45418009,6.91696548,0.06842750,0.15872194,-4.37585258,29.81329918,0.00000006,0.01128245,9.88864136,-0.36472830,3.69046569,-0.10929455,0.33125851,-0.45055178,5.58790731,0.10113047,0.28463635,-3.55604839,19.26331329,0.00001266,0.01869834,16.41243172,-0.39074871,3.55370307,-0.14991021,0.52158958,-0.51690435,6.14684343,0.11016196,0.27997208,-3.83585763,23.86608124,0.00000121,0.01488970,24.08992958,-0.33233994,3.73061824,-0.14677922,0.72860384,-0.45418009,6.91696548,0.06842750,0.15872194,-4.37585258,29.81329918,0.00000006,0.01128245,9.88864136,-0.36472830,3.69046569,-0.10929455,0.33125851,-0.45055178,5.58790731,0.10113047,0.28463635,-3.55604839,19.26331329,0.00001266,0.01869834,16.41243172,-0.39074871,3.55370307,-0.14991021,0.52158958,-0.51690435,6.14684343,0.11016196,0.27997208,-3.83585763,23.86608124,0.00000121,
0.00,0.00,20.00,0.86,109.00,-2.06231093,-8.32126141,1.25598717,0.81120837,-2.07909417,0.64338690,0.42268676,28.25,0.27977092,-9.03615856,-14.50391483,0.77604139,-17.08618355,-25.45657730,20.03365517,-5.34550238,-17.44499397,-9.28628826,7.51809120,0.00622339,16.13158226,6.91159439,14.11888027,-3.80110312,0.65847737,-18.88539505,0.59051311,-9.67131519,0.43499658,0.01661419,0.89746729,18.91997528,-16.52347755,-1.22559452,-21.45077515,-3.95531154,-0.05574419,2.13305783,4.20249176,-2.77547312,0.66980892,0.41332412,-0.61224169,-0.48659718,0.12564452,0.14676951,0.70192349,-1188.61108398,-1161.28210449,27.32896423,0.28125343,2.68,0.82,-0.00290629,0.05942074,0.09932613,0.02758277,1.11906779,3.64404154,-0.08481521,0.02036414,-0.50119919,0.73326105,-1.78949797,0.28160265,0.59577686,0.00135274,0.00957462,0.13966402,0.04217392,1.25646424,3.48181796,-0.15308271,0.05091266,-0.60191566,0.81148702,-2.49109578,0.55775958,0.45534933,-0.00189984,0.01094183,0.13518023,0.03031800,1.45030832,3.55791974,-0.13522884,0.03046997,-0.66676795,0.76258504,-2.07847881,0.38554770,0.53479815,0.00084732,0.00448347,0.17348726,0.05919700,1.32868922,3.47651339,-0.11470159,0.02568497,-0.66571808,0.87496066,-2.43362331,0.53695256,0.46387939,-0.01474965,0.99957246,0.18711072,0.05742921,1.59011316,4.14699697,0.02433998,0.00098885,-0.69327450,0.79122990,-0.28419197,0.00730226,0.93191909,-0.02672989,1.97290885,0.20387061,0.05688886,1.84178483,4.63122559,0.07364611,0.00738718,-0.72811949,0.71952605,0.28059235,0.00753949,0.93082478,0.00084732,0.00448347,0.17348726,0.05919700,1.32868922,3.47651339,-0.11470159,0.02568497,-0.66571808,0.87496066,-2.43362331,0.53695256,0.46387939,-0.01474965,0.99957246,0.18711072,0.05742921,1.59011316,4.14699697,0.02433998,0.00098885,-0.69327450,0.79122990,-0.28419197,0.00730226,0.93191909,-0.02672989,1.97290885,0.20387061,0.05688886,1.84178483,4.63122559,0.07364611,0.00738718,-0.72811949,0.71952605,0.28059235,0.00753949,0.93082478,
0.00,0.00,7.00,0.47,172.00,1.40954161,-0.50159371,0.90883708,1.12881386,0.73639971,2.09479928,0.14812964,5.55,0.15743621,-4.31622601,-2.47969365,0.81601465,-0.11562837,-1.80097473,-0.00384629,2.72100091,0.49689692,-1.65570664,6.13140154,0.01345398,0.98533362,3.10835600,-2.82674503,1.87664545,4.31423140,0.40492666,-2.89315271,2.34411478,-0.28985575,0.19261755,0.66084704,-1.99213541,4.90690708,2.24532247,1.02659285,5.10769320,0.10149076,-1.19104469,1.80987966,0.32606792,0.24070245,0.62381289,1.59711564,1.63745415,0.04033852,0.09122858,0.76283829,10.83380222,12.15310860,1.31930614,3.30156493,0.00,0.00,0.00121132,0.26815954,0.03292261,0.07864205,-0.10765556,0.87535506,-0.09896270,0.72053623,0.18490212,2.59044194,0.48006287,0.52602655,0.46846099,0.00175948,0.42031020,0.04054767,0.09214895,-0.12682667,0.92081153,-0.11554573,0.75210804,0.20672269,2.48438525,0.43431944,0.44003439,0.50726696,0.00395771,1.23561168,0.05100983,0.11233394,-0.15817958,1.09952784,-0.14461087,0.90687603,0.22380291,2.23205876,0.24737792,0.14188252,0.70650086,0.00214648,0.75712776,0.03414020,0.05951680,-0.14114381,1.01887834,-0.12774904,0.82762277,0.23237370,2.76873398,0.34913817,0.28703752,0.59225078,0.00539956,3.48536229,0.03309663,0.04675765,-0.18520309,1.46377420,-0.17197327,1.25280809,0.24548681,2.58125734,-0.04214664,0.00420571,0.94830591,0.00791480,4.50035715,0.03169729,0.03578788,-0.20631127,1.51188314,-0.19193280,1.29697013,0.27300915,2.63158560,-0.07658695,0.01455044,0.90401345,0.00214648,0.75712776,0.03414020,0.05951680,-0.14114381,1.01887834,-0.12774904,0.82762277,0.23237370,2.76873398,0.34913817,0.28703752,0.59225078,0.00539956,3.48536229,0.03309663,0.04675765,-0.18520309,1.46377420,-0.17197327,1.25280809,0.24548681,2.58125734,-0.04214664,0.00420571,0.94830591,0.00791480,4.50035715,0.03169729,0.03578788,-0.20631127,1.51188314,-0.19193280,1.29697013,0.27300915,2.63158560,-0.07658695,0.01455044,0.90401345,
0.00,0.00,10.00,0.62,180.00,1.81614637,0.83721143,0.53788769,1.52772856,1.17974353,6.73067093,0.00962224,4.96,0.01870907,-0.30064592,-0.13457645,0.45896563,0.30562529,-0.29810244,1.44295990,3.30829525,1.62364805,-0.70704067,1.38440442,0.23964800,-1.71502435,2.79315281,-0.99141449,1.11679256,-0.10132245,2.10938597,-0.97539216,2.27328157,-1.02262914,2.96934891,0.08518243,1.53356588,0.69658309,3.14384556,1.83981216,2.81015182,0.79065728,4.86278152,-1.72013032,0.23393224,0.15383743,0.69498308,1.31048989,1.32246125,0.01197143,0.00468185,0.94549539,3.08595085,3.87556720,0.78961647,1.55984211,2.55,0.79,0.00752341,13.07574081,0.02834137,0.07370653,-0.06406660,0.39190683,-0.11135944,1.15335917,-0.15553825,2.31723666,-0.03504711,0.00358404,0.95227430,0.00914747,14.37964725,0.03575786,0.09073785,-0.08263700,0.49480605,-0.13394591,1.27938020,-0.18609269,2.54838371,-0.05514075,0.00897236,0.92455522,0.01209383,14.59708691,0.03233883,0.05712657,-0.10213944,0.58000636,-0.15396732,1.30056596,-0.22092903,2.75175261,-0.07546412,0.01670094,0.89720138,0.00730013,11.04141426,-0.02773319,0.04961140,-0.08354228,0.45007962,-0.11695937,0.87465364,-0.16928476,1.85272920,0.12865935,0.04914483,0.82460576,0.01325585,26.84377670,-0.02868208,0.04481419,-0.13781016,1.03570569,-0.18462430,1.84512734,-0.19063789,1.98921251,-0.52171880,0.81534946,0.36677253,0.01685572,26.03343964,-0.03084183,0.04319821,-0.13705139,0.85093373,-0.19369447,1.68473029,-0.20281388,1.85238993,-0.35345623,0.39549664,0.52957553,0.00730013,11.04141426,-0.02773319,0.04961140,-0.08354228,0.45007962,-0.11695937,0.87465364,-0.16928476,1.85272920,0.12865935,0.04914483,0.82460576,0.01325585,26.84377670,-0.02868208,0.04481419,-0.13781016,1.03570569,-0.18462430,1.84512734,-0.19063789,1.98921251,-0.52171880,0.81534946,0.36677253,0.01685572,26.03343964,-0.03084183,0.04319821,-0.13705139,0.85093373,-0.19369447,1.68473029,-0.20281388,1.85238993,-0.35345623,0.39549664,0.52957553,
0.00,0.00,1.00,0.00,144.00,2.73029852,1.67837369,1.59557915,2.49674439,2.12524891,26.80176926,0.00000027,4.47,0.00000080,2.15637660,2.98596144,0.26992273,0.77495742,2.30930257,0.69615471,2.27705526,2.15710378,-0.82603365,2.31406689,0.12854203,1.03471744,2.29627156,0.58255374,3.02838492,1.85006344,2.30251718,1.97432852,-0.05383527,-0.88959664,2.73385215,0.09857349,0.75646585,3.70157671,2.86752367,2.46464229,3.37029028,2.33712006,4.66911936,1.64696133,0.21593376,0.15948850,0.68971793,0.22687235,0.20175484,-0.02511752,0.09316802,0.76040738,2.78035116,1.47262096,-1.30773020,4.72470140,0.00,0.00,0.01065810,33.09620285,0.07968422,0.73452783,0.03345779,0.13481902,0.01726501,0.03498220,0.15072495,2.74443173,0.02074523,0.00157223,0.96837939,0.01205099,31.36809349,0.09343445,0.77852207,0.03438774,0.10767316,0.01361467,0.01657264,0.16180028,2.42127323,0.12448993,0.05746491,0.81060033,0.01560488,30.51127243,0.09362826,0.60118997,0.03276500,0.07495279,0.02255109,0.03507594,0.17673127,2.21076441,0.13071233,0.06299953,0.80187071,0.00547767,7.65244055,0.02502387,0.04958364,0.08900387,0.62879330,0.09897205,0.77093947,0.24489245,4.77256918,1.00438750,3.68661070,0.05515046,0.00760649,10.73699474,0.02551799,0.04310851,0.08250033,0.45086315,0.09046535,0.53813630,0.26303944,4.60041714,0.83928138,2.56327605,0.10970453,0.01047693,12.24852657,0.02988547,0.04933725,0.09977216,0.54915345,0.09844691,0.53001481,0.29511848,4.77638483,0.85475695,2.81703210,0.09359794,0.00547767,7.65244055,0.02502387,0.04958364,0.08900387,0.62879330,0.09897205,0.77093947,0.24489245,4.77256918,1.00438750,3.68661070,0.05515046,0.00760649,10.73699474,0.02551799,0.04310851,0.08250033,0.45086315,0.09046535,0.53813630,0.26303944,4.60041714,0.83928138,2.56327605,0.10970453,0.01047693,12.24852657,0.02988547,0.04933725,0.09977216,0.54915345,0.09844691,0.53001481,0.29511848,4.77638483,0.85475695,2.81703210,0.09359794,
0.00,0.00,1.00,0.00,136.00,3.99737740,2.78517795,3.13301682,4.00592709,3.48037481,64.99095154,0.00000000,4.71,0.00000000,3.48585653,1.94764054,1.93633485,2.36268640,3.10990191,3.30302143,2.12992144,3.91830540,-1.20559096,4.44443464,0.03527739,0.36965188,2.89569116,0.42750883,2.66910100,5.82129526,3.64589119,3.89218569,5.37967587,-0.89841419,2.56154203,0.10982526,2.30568194,5.37276363,1.52131534,6.02451706,4.22963667,3.33409238,5.26359129,4.12647104,-0.04144628,0.00533691,0.94177847,0.40686527,0.39262241,-0.01424285,0.02655293,0.87067113,3.97415972,4.43719482,0.46303517,0.70334989,0.00,0.00,0.01400455,52.60013580,0.08604328,0.78830731,-0.06387167,0.45217997,0.09308188,0.93547612,-0.03300918,0.12111802,0.89713943,2.69607449,0.10092696,0.01545174,47.31458282,0.09840636,0.79237467,-0.07961142,0.52956939,0.10402571,0.88981330,-0.04278176,0.15528996,1.08822441,4.03250074,0.04491472,0.02053911,48.59855270,0.09823684,0.60842776,-0.10288849,0.67932397,0.11983934,0.90948874,-0.06015410,0.23547976,1.03728807,3.64290953,0.05660990,0.00746233,12.88681316,-0.00178672,0.00017371,-0.01891769,0.02570935,0.20716427,3.06497192,0.03033837,0.06644478,2.15766048,15.43777180,0.00009145,0.01237439,26.05884743,0.00160412,0.00017609,-0.05959845,0.21580116,0.18058181,1.96651113,0.03240038,0.06400956,1.65244520,9.11225033,0.00260690,0.01340367,18.20407295,0.00397845,0.00087330,-0.03169501,0.05038930,0.22847646,2.59229803,0.04616590,0.10619305,2.03471828,14.49508953,0.00014954,0.00746233,12.88681316,-0.00178672,0.00017371,-0.01891769,0.02570935,0.20716427,3.06497192,0.03033837,0.06644478,2.15766048,15.43777180,0.00009145,0.01237439,26.05884743,0.00160412,0.00017609,-0.05959845,0.21580116,0.18058181,1.96651113,0.03240038,0.06400956,1.65244520,9.11225033,0.00260690,0.01340367,18.20407295,0.00397845,0.00087330,-0.03169501,0.05038930,0.22847646,2.59229803,0.04616590,0.10619305,2.03471828,14.49508953,0.00014954,
0.00,0.00,2.00,0.17,145.00,1.26839197,0.99817181,1.26083934,0.89401525,1.10535455,9.36979580,0.00226765,3.94,0.00117349,2.78335214,0.32881966,-0.57112658,1.27373099,3.31437111,0.04672897,-2.13623476,3.01567078,0.15241417,0.10402048,0.74712841,0.78591615,1.27789235,1.04731584,3.06498623,1.22080815,0.97828102,0.61082751,1.26915288,0.36606887,0.59721184,0.43983665,-2.87607884,1.37603068,0.30007410,1.99406290,3.87640762,0.59077269,3.19923568,1.94375646,0.35675782,0.57750309,0.44748184,0.08320674,-0.00106684,-0.08427358,0.85312039,0.35644161,5.73640585,5.15071583,-0.58568972,0.91125631,0.00,0.00,0.00725728,19.48614120,0.06496508,0.61992288,0.00740817,0.00842286,-0.00814592,0.00992026,0.10925581,1.83119321,-0.31885946,0.46980870,0.49324258,0.00798762,17.49587631,0.07223991,0.59086704,0.00789077,0.00722088,-0.01025365,0.01195180,0.11751458,1.62158513,-0.21553521,0.21886730,0.64001175,0.01158443,21.45502090,0.07997544,0.55963635,-0.00547097,0.00268785,-0.01718581,0.02594092,0.12316240,1.36993086,-0.35118344,0.57945150,0.44671650,0.00575580,10.91406250,0.03226796,0.10664362,0.02454343,0.06176056,0.02126690,0.04599586,0.15897492,2.59796214,0.03476724,0.00568766,0.93989917,0.00668416,10.67471790,0.03330731,0.09468805,0.02375297,0.04814751,0.01851778,0.02904920,0.17851292,2.72802949,0.03582768,0.00605707,0.93798194,0.00668888,6.38904428,0.03799328,0.10221339,0.05214674,0.19199625,0.04334466,0.13150512,0.20574299,2.97083426,0.29255977,0.42233020,0.51593388,0.00575580,10.91406250,0.03226796,0.10664362,0.02454343,0.06176056,0.02126690,0.04599586,0.15897492,2.59796214,0.03476724,0.00568766,0.93989917,0.00668416,10.67471790,0.03330731,0.09468805,0.02375297,0.04814751,0.01851778,0.02904920,0.17851292,2.72802949,0.03582768,0.00605707,0.93798194,0.00668888,6.38904428,0.03799328,0.10221339,0.05214674,0.19199625,0.04334466,0.13150512,0.20574299,2.97083426,0.29255977,0.42233020,0.51593388,
0.00,0.00,2.00,0.19,134.00,0.82234424,0.51314950,1.01226819,0.83016306,0.79448122,6.62632656,0.01019810,3.36,0.01122389,3.10411501,-0.77669728,-1.19832730,0.25862199,2.80705810,-0.46187335,-0.07463573,0.74626172,-0.26634929,0.43490028,0.50975453,-1.95031261,2.12405896,1.19122231,2.36739993,1.18730235,0.93277121,1.83380175,0.55668443,0.18251474,0.20625103,0.64982588,-0.02632792,1.06131029,1.81977177,2.23695278,0.92320365,-1.77440739,1.11328745,0.81330276,-0.03269589,0.00649797,0.93576917,-0.06821265,-0.31111017,-0.24289751,7.27028942,0.00742171,1.06666791,1.12179255,0.05512471,0.01267157,0.00,0.00,0.00301489,4.53288984,0.13270733,3.48689651,0.07102033,1.03960192,0.00585619,0.00689592,0.01535998,0.04877602,0.15633601,0.15221481,0.69651528,0.00368803,5.04118919,0.15240791,3.55461144,0.07782386,0.94660068,0.00149923,0.00033654,0.01205242,0.02305294,0.14572337,0.13528876,0.71309230,0.00672077,9.76799202,0.17774136,3.73881912,0.07089517,0.60539466,-0.01273361,0.01927793,0.00016918,0.00000000,-0.06972300,0.03086160,0.86058700,0.00217589,2.11571884,0.13404019,2.49577498,0.09249537,1.18989789,0.01872986,0.04838756,0.02810364,0.11010895,0.34190506,0.74853963,0.38715764,0.00245060,1.94658828,0.14698420,2.50083971,0.10266049,1.21943712,0.02083777,0.04980717,0.03265460,0.12376327,0.35113198,0.78366631,0.37624643,0.00369931,2.66467738,0.16182853,2.52832222,0.11024325,1.17005491,0.02017894,0.03885079,0.03529987,0.11923752,0.32699126,0.71936893,0.39656486,0.00217589,2.11571884,0.13404019,2.49577498,0.09249537,1.18989789,0.01872986,0.04838756,0.02810364,0.11010895,0.34190506,0.74853963,0.38715764,0.00245060,1.94658828,0.14698420,2.50083971,0.10266049,1.21943712,0.02083777,0.04980717,0.03265460,0.12376327,0.35113198,0.78366631,0.37624643,0.00369931,2.66467738,0.16182853,2.52832222,0.11024325,1.17005491,0.02017894,0.03885079,0.03529987,0.11923752,0.32699126,0.71936893,0.39656486,
