x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,tgt_theta_first_half p-val,tgt_theta_second_half p-val,0,23,45,67,90,112,135,157,theta all,theta F,sur_theta p-val,0a,23a,45a,67a,90a,112a,135a,157a,theta first half all,theta first half F,sur_theta_first_half p-val,0b,23b,45b,67b,90b,112b,135b,157b,theta second half all,theta second half F,sur_theta_second_half p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
0.00,0.00,18.00,0.00,123.00,1.67577326,0.68384129,1.67063844,2.38890457,1.60478938,6.33062792,0.01204337,6.20,0.03420926,0.89992681,0.07957990,0.93465453,-0.19587608,1.30906916,0.54574978,0.67821246,3.14961505,2.12143755,4.24618387,1.59863079,6.37182426,0.01176972,0.49050683,-2.25534606,1.85364318,-0.39274937,1.35377169,1.98295951,-0.38021302,2.01607466,0.58358097,0.37797838,0.53903937,2.01033974,1.55975187,-0.86564672,1.05358911,1.13095117,2.87910843,2.45104885,3.94748521,1.77082849,4.56913424,0.03307056,2.12919497,-3.18254161,2.71032238,0.02669716,-4.18923712,3.00810552,2.62121129,1.48889470,-1.76636708,4.71371937,0.03019069,-0.62267166,2.45598316,1.98073685,2.13767529,2.16088557,0.42966932,0.08044519,4.71300697,-0.65874839,0.65406579,0.41888238,1.38594651,6.44280434,1.68911254,7.19429350,0.93549472,-1.00114071,-0.91586119,-4.31472969,-0.69405359,0.76389188,0.38235285,-0.72913992,-0.66988087,0.05925908,0.07037026,0.79108604,-4.18750620,-4.40762520,-0.22011909,0.07838368,0.00,0.00,
0.00,0.00,16.00,0.85,106.00,-0.26257220,-2.14170218,-0.12977149,-2.13155150,-1.16639936,1.31756794,0.25133988,9.88,0.34206527,0.28718315,0.15423389,0.81276542,1.90094018,-3.53600717,-3.98892617,-3.16368508,-0.63781297,-0.65130293,-1.00764966,-1.28395975,1.61259902,0.20446291,3.36393642,4.82155752,0.74623233,-3.51528955,0.07856584,1.22219944,1.77967274,2.46513724,1.37025154,0.68670899,0.40778396,-1.80147338,-1.34155786,-4.15214539,-3.24426723,-3.22884440,0.55895591,-0.37206367,-1.71986973,-1.91265821,2.46297646,0.11723356,0.70931500,2.27245855,-3.31341577,-2.88672686,-9.25246429,0.52924371,-2.08341146,-4.91606188,-0.13396819,0.01062799,0.91791344,0.53286904,-1.49700749,-1.90335846,-5.77418566,-0.83793283,3.36035299,3.95649242,1.44645870,2.00808859,2.40465331,0.12133611,-6.71014929,1.22616136,1.15900409,-2.64755464,5.06471777,5.85181904,-5.81920481,-1.63730073,1.78925180,1.96794665,0.16102029,-0.72609162,-0.62006938,0.10602223,0.17041953,0.68020470,3.31278372,5.17798615,1.86520231,1.16429210,0.00,0.00,
0.00,0.00,18.00,0.00,51.00,3.67020202,1.25191307,1.39850140,-0.64617455,1.41861045,0.40520942,0.52457606,21.68,0.33791334,0.45747208,0.31449457,8.81869411,-3.03354502,-7.40692520,2.95564103,1.10403514,0.78059745,-0.73633641,10.08512497,1.57091069,0.50815409,0.47612822,8.17483044,-3.84540439,-13.62282467,-1.52179086,-8.63325596,3.36544538,1.40445256,20.27710152,0.69981927,0.03017141,0.86219040,11.80267334,0.09561571,-1.42610288,4.15481234,10.16840458,-1.77611244,-1.89315808,3.71362615,3.10496974,2.12959218,0.14515005,5.70715714,-9.24546146,-9.51755524,14.36410904,-6.95658398,-7.79625416,7.24673986,15.50154781,2.26413846,0.63844401,0.42449139,2.38149500,-14.30118847,3.96094942,5.35900784,2.41322327,6.54830790,8.84178925,-3.07855129,2.13022733,0.56343693,0.45308033,0.16570675,7.80289936,-4.94818115,5.17274714,19.88224602,10.79342461,-7.69207430,-6.77746916,3.88068032,1.91796851,0.16643338,-0.97064900,-0.85423118,0.11641779,0.15368150,0.69548109,-28.63839722,-25.50540733,3.13299131,1.08940315,0.00,0.00,
0.00,0.00,19.00,0.00,123.00,-2.21345091,2.81047225,-1.36424661,0.88988715,0.03066551,0.00042546,0.98354805,14.07,0.93552158,0.18893028,0.68309487,3.20892358,0.44469607,3.79915071,-0.00225308,2.42054343,-0.99748015,-6.46221781,-1.57771373,0.10420612,0.00528967,0.94203742,5.29942989,3.40710831,12.10190392,3.24056888,6.41524458,1.67523253,-7.08405256,1.12543404,3.27260876,1.84994733,0.17456135,4.55674410,-3.45413828,0.51094598,-0.47525904,1.22303712,0.70739466,-1.84415293,2.66671085,0.48641035,0.09181494,0.76201704,5.76881552,9.36193085,5.64025497,-6.29639196,7.77337408,-4.39306498,2.91363192,2.98556876,2.03569031,1.21347296,0.27094797,10.23500633,-5.79988384,4.35510683,-0.38952762,1.16237140,-1.05986655,-14.46868324,-5.07569742,-2.21612096,1.47264075,0.22525660,-0.04050172,-2.59483743,-5.76769733,2.22084856,-6.29458857,-7.36455870,-3.19040012,6.91543341,-2.94859910,2.60577011,0.10683554,-0.92100292,-0.93237883,-0.01137592,0.00209367,0.96355232,1.03951168,1.85207796,0.81256634,0.19224712,0.00,0.00,
0.00,0.00,20.00,0.00,17.00,-1.22047698,-1.08802176,0.51771206,-1.94467986,-0.93386662,0.49221686,0.48312494,12.95,0.54465477,0.06361132,0.36208165,-2.85579681,-2.51710057,-0.26148790,1.52869570,0.83149070,-0.33639422,-1.41529608,-2.66578484,-0.96145922,0.52168381,0.47031640,-6.81091785,-5.02115774,-0.79909456,2.00484681,-1.81185281,-3.55356884,-9.45565987,-8.87514877,-4.29031897,3.68351936,0.05566930,-0.85034186,-1.59431744,0.46032491,2.54934454,2.99517536,1.97934246,5.80721521,3.25922847,1.82574654,1.26494753,0.26129317,5.05040932,-6.39616108,-4.27715826,4.03998232,-2.26804543,1.00646329,-0.16859311,-5.47793341,0.85862732,0.25349620,0.61475056,-10.73448277,2.95294976,0.89469880,3.56238341,3.20954728,0.20237960,-0.30860353,3.84209514,2.54585075,2.26030707,0.13308815,-2.45008755,-0.22758783,-2.98185563,-4.38068914,-0.91043258,-4.36655378,4.76555252,1.02632856,0.66341949,0.15477124,0.69411259,-2.40565658,-2.14509320,0.26056322,0.39271078,0.53163015,-4.83610392,-1.19306231,3.64304185,1.83655345,0.00,0.00,
0.00,0.00,20.00,0.00,26.00,2.86302614,4.00829268,2.60515642,3.16762900,3.16102600,1.42682731,0.23260368,25.74,0.22783373,0.67300694,0.31602638,4.23236895,-2.75040650,4.37794113,-2.82424521,2.64547920,6.09471273,9.53274441,3.82502174,3.14170218,1.41867542,0.23394307,7.00661945,-3.94119859,-3.55541921,-8.52125072,-1.20935309,1.10344446,-3.91017294,0.41816992,-1.57614505,0.23165676,0.63056325,-1.10358822,-1.79058278,8.42823982,0.42732316,3.54033470,8.32151318,17.40766525,1.14407134,4.54687214,1.25528741,0.26311963,7.90422440,-7.90038919,14.20353794,10.42449379,0.40304852,6.45060682,-2.57500744,2.88834262,0.73604321,0.04698166,0.82845168,1.18860042,-4.28839970,-8.07595062,-5.96975517,17.67157555,3.65735364,6.77869272,9.49254608,-0.51435125,0.02331817,0.87866776,-2.43885779,-1.77383375,11.23812389,9.42040825,9.30648327,-3.12863111,3.36962724,-4.77573061,-0.31103793,0.00863583,0.92598108,-3.04871106,-2.88488483,0.16382623,0.12516724,0.72388868,-1.09865284,-3.73049378,-2.63184094,0.33142486,0.00,0.00,
0.00,0.00,20.00,0.00,103.00,3.66907430,3.26809549,0.20400833,2.48325920,2.40610933,1.37050319,0.24204129,19.99,0.21980755,0.35452081,0.91194902,-0.37644249,2.87237740,-3.30828094,2.41593695,-0.30592310,2.85490060,8.87440109,7.18445349,2.52642798,1.52609146,0.21703007,-3.94201207,6.19266891,-1.16141045,3.90313387,0.60394371,2.73907471,14.42883396,11.66535282,4.30369806,1.43745220,0.23126721,1.76402307,1.34842896,-6.01697826,1.27882338,0.93745565,-0.01464086,3.43974519,0.66374600,0.42507541,0.03234256,0.85735573,2.15544319,12.35292149,-1.05179274,2.35592151,-1.59229529,-5.00563145,10.78476238,4.48675919,0.96012473,0.13276367,0.71567154,-1.56430256,4.73778152,-18.16153908,-5.01859283,-1.02566814,-0.74673539,12.37232208,13.35487747,-2.27589226,0.76667279,0.38148834,-3.59312797,7.25501728,5.08674955,12.32655811,-9.88996506,3.46757054,13.83334446,1.00800145,1.30033946,0.25229099,0.61559275,-4.66840029,-4.73026419,-0.06186384,0.01374683,0.90678828,21.59704781,20.70023918,-0.89680886,0.02080952,0.00,0.00,
0.00,0.00,20.00,0.00,30.00,-8.37907410,0.65136826,-3.03239751,-7.69850492,-4.61465216,1.74131656,0.18731413,34.01,0.29509831,0.71186273,0.20956543,1.74042261,-3.52637672,-2.71015835,-9.48282528,-14.23554611,-8.61644173,0.39806336,-1.89838493,-4.79140568,1.87872303,0.17082925,11.77011204,4.08332157,7.97118235,-2.34350991,-13.94202900,-16.09511948,-6.69316864,-0.58798015,-1.97964883,0.15669917,0.69242653,-7.15881968,-9.43679810,-12.14613438,-12.86671829,-12.36796665,-0.89190447,4.84835577,-4.69902229,-6.83987570,1.87660778,0.17137705,10.83695602,-4.98279428,0.33980688,-3.02046871,-21.42965698,-2.40096474,2.88096571,19.57543564,8.36133671,3.48744869,0.06216958,-9.04007339,-20.53725433,14.61322498,-3.88480878,-17.87933540,-2.44071269,2.97956014,14.04690075,5.28303671,1.41121769,0.23517634,-2.50671673,-20.64097023,7.09183359,-23.00212288,-0.27574188,4.70513964,-21.38147545,-8.55160809,-0.54525083,0.01533679,0.90146895,-4.84118271,-4.85445023,-0.01326775,0.00062225,0.98012505,-3.01221848,-7.64477301,-4.63255453,0.96276283,0.00,0.00,
0.00,0.00,21.00,0.00,118.00,-2.07805967,-1.99859202,0.66741067,2.72494960,-0.17107287,0.00626468,0.93693147,21.06,0.59748646,0.89235131,0.12693726,-4.19209290,-3.48704934,7.60777473,5.11901951,-3.78382921,2.60553169,-2.10075736,-2.59668827,-0.10351139,0.00230219,0.96174214,-5.54968929,2.05951309,14.13696194,11.63771534,-2.38126564,8.81899071,-2.04485512,-2.34291053,3.04180765,1.25571871,0.26314045,-5.35754299,-6.93635893,0.59269971,-0.09933390,-7.06537199,-3.87521315,-5.30303431,-6.57503319,-4.32739878,1.75406241,0.18601324,-3.34445953,2.01897526,6.88987112,1.24490047,-5.65384197,4.44824600,-15.46337986,-7.69555044,-5.04649830,3.31695104,0.06890986,-15.55998325,-1.11989522,3.23038626,5.34423780,1.80333388,-0.42979228,2.05281162,10.05960464,-1.79753530,0.42473340,0.51475551,-12.76094627,6.24633884,1.39674783,-9.12272072,-6.47200346,-11.02286625,8.22990227,7.20984030,-4.65729332,2.92187881,0.08774023,-8.50334263,-8.54479027,-0.04144762,0.00215804,0.96299661,5.51684618,11.11250019,5.59565353,0.59361190,0.00,0.00,
0.00,0.00,18.00,0.73,152.00,0.27125993,-0.86288339,-0.22433200,-0.06006289,-0.21900459,0.31632638,0.57396652,3.79,0.53867953,0.15379437,0.01415781,-0.15279171,-1.31292844,-0.10250345,0.25433096,1.13909686,-0.66173995,-0.37263340,-0.40566030,-0.20185368,0.27020088,0.60332793,1.10695302,-1.41427863,0.84740925,1.39187598,2.64713860,0.99649066,-0.45356634,0.79856575,0.74007350,1.28021061,0.25854288,-1.07426631,-1.12503517,-0.66004771,-0.71174324,-0.46954319,-2.13710427,-0.00789190,-1.33127129,-0.93961287,3.96108747,0.04714491,-0.07140142,-3.11020231,1.13316572,-1.23385489,1.09961188,-1.43316698,-0.55106241,-2.15811825,-0.78168529,2.47152185,0.11628672,-1.62699354,-0.73462027,-0.71234608,0.00657762,-0.56475729,-0.15648228,1.48776603,0.64679766,-0.14842945,0.08897200,0.76555887,2.29615116,0.59162003,-1.06841969,-0.02072366,0.98385876,-1.24282384,-0.76641101,1.47596359,0.33604053,0.46702138,0.49454138,0.10120886,-0.01029329,-0.11150215,0.44504640,0.50550615,-3.30091238,-3.56734228,-0.26643008,0.16513810,1.03,0.54,
