,x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,tgt_theta_first_half p-val,tgt_theta_second_half p-val,0,23,45,67,90,112,135,157,theta all,theta F,sur_theta p-val,0a,23a,45a,67a,90a,112a,135a,157a,theta first half all,theta first half F,sur_theta_first_half p-val,0b,23b,45b,67b,90b,112b,135b,157b,theta second half all,theta second half F,sur_theta_second_half p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur.1,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
0,0.0,0.0,1.0,0.0,123.0,-0.81937057,-0.78184396,-0.86545384,-1.13746345,-0.90103292,1.78319669,0.18211561,6.4,0.25622435,0.50571913,0.27575672,-1.98152602,-0.58889043,-0.44708109,-1.14900255,-0.72298771,-2.21248674,-1.10553849,1.30493033,-0.86282283,1.64238334,0.20035074,1.26324415,-0.55330598,-1.94331217,0.00455125,2.90246367,-2.63371801,-0.49967042,-2.01911998,-0.43485844,0.17569996,0.67532996,-2.46829462,-0.71601582,0.4155663,-1.23197293,-1.63993561,-1.86697221,-2.368819,-2.25866461,-1.51688862,2.92692828,0.08780689,0.34734291,-0.46255884,-0.99127704,-0.6228413,1.41242456,-4.28531742,-2.7569232,0.9295392,0.41008115,0.2167839,0.64162198,-0.91113234,-1.15122962,-0.83322704,0.71848273,0.00843954,0.26354885,-2.2919457,-2.66517329,0.28372499,0.10627455,0.74450714,2.7842567,-3.17858243,4.44880629,-3.59080148,-1.07269001,-0.4865779,-0.50074875,-3.48697138,0.41515073,0.23298703,0.62944339,0.85845983,0.67383134,-0.18462847,0.37629128,0.54015474,12.47180176,11.40714359,-1.06465816,0.80045301,0.0,0.0
1,0.0,0.0,3.0,0.0,104.0,-7.87728214,1.41098571,-1.17855906,-4.13498354,-2.94495964,6.12537241,0.01352002,11.29,0.00652398,0.10462731,0.04647787,-2.28057075,-7.72510147,-3.64601231,-2.45448041,-4.23741817,0.54837406,-6.89224434,-2.45154333,-3.64237452,9.07477665,0.00266896,-3.84692478,-1.89188027,-2.26604843,2.25256038,-9.45970821,0.01440936,-6.59110355,-5.01031351,-3.34987617,3.30256319,0.06995318,-1.62232089,-4.84466743,-5.67097855,-1.89344084,-3.3728466,-1.16775405,-5.67431164,-3.08404946,-3.41629624,4.81821203,0.02867406,2.24247837,0.07751147,-1.00337052,7.32490683,0.19443569,3.35185051,-8.09977245,4.82222176,5.35168743,11.94754314,0.00057463,-5.51336432,8.62609386,-1.74714065,-2.0880928,-11.66466045,-1.81078315,-2.97000217,5.11719179,2.69401956,3.15746474,0.07594187,-7.34208012,-4.28314734,-10.88423157,-12.32508087,-6.50696373,-12.00407791,-8.18238163,-2.4292326,-3.78307438,6.15596437,0.01329144,2.17572331,2.31960344,0.14387996,0.2506451,0.61706344,8.64707756,14.82542038,6.17834234,9.1451416,2.67,1.37
2,0.0,0.0,6.0,0.28,100.0,-2.5070231,-2.51996279,-1.83626938,-3.78710794,-2.66259074,5.81648636,0.01608815,10.48,0.02041505,0.03907397,0.66665699,-5.87581825,-4.80148792,0.96669132,-1.77296221,-0.02545108,-6.83579969,0.11294843,-3.09218526,-2.66550803,5.98790598,0.01460723,-0.25676209,1.08282804,-6.74880981,-11.33987904,-8.28464222,-0.71072179,0.38100311,-4.82271004,-3.83746195,3.9433732,0.04776892,1.67664504,1.58406842,-3.55819178,-4.0033493,-0.28137922,1.12327981,-2.26814842,-0.26661059,-0.74921077,0.40250617,0.52612235,-0.60370535,0.22499056,-3.47881436,-11.76308441,0.10731719,-0.66178232,3.73821115,-4.3325305,1.51543486,1.11813021,0.29062506,-4.03142595,6.91893625,-7.05596399,-0.7633332,-1.17294049,2.04238176,-6.19976711,-5.34039879,1.96754777,1.94226551,0.16379092,-8.0846777,5.43009329,-0.58862543,-2.30712295,2.16299152,1.55026615,-9.95790482,-9.34915257,1.21931493,0.75952631,0.38372552,2.48731327,2.72919488,0.24188156,0.59292674,0.4420195,-19.57596588,-15.01170635,4.56425905,3.47743154,2.67,1.37
3,0.0,0.0,1.0,0.0,127.0,1.33937049,1.38385022,1.88465071,0.82289904,1.3576926,3.29136276,0.06999847,7.1,0.04444494,7.68e-06,0.58258914,2.99945164,1.42073798,-0.48392284,1.9325453,-0.58132029,2.3866837,0.31495109,3.08929586,1.38480282,3.46187997,0.06314647,5.45118332,3.16534281,8.9577961,4.67003345,4.27640867,2.3224411,2.01809812,3.46511841,4.29080296,15.99567509,7.62e-05,-0.39638492,-1.96117687,-0.86450917,0.40181741,0.44868305,-1.37746203,0.10109255,-3.33047819,-0.87230223,0.7723586,0.37996056,-0.50842339,-3.56455922,2.33921146,3.16523695,2.29332089,-1.23702979,1.65392923,6.22890663,0.54933572,0.31879494,0.5724833,3.45869422,1.8319875,4.4495945,2.66812348,4.49975729,0.77917218,-0.4214018,-2.05608702,1.03174782,1.15044451,0.28376379,0.64894915,0.33635306,5.16051817,0.42374176,0.60337663,1.70857382,0.20589705,2.26700258,0.57447141,0.35702437,0.55032433,0.45063293,-0.07981955,-0.53045249,6.01337767,0.01488509,10.14787674,11.57255363,1.42467618,1.41369939,2.39,1.28
4,0.0,0.0,3.0,0.2,124.0,-1.28094196,-0.62833041,-1.47360158,-0.07907601,-0.86548752,1.41125333,0.23518106,6.91,0.16915475,0.16503657,0.01359598,-3.50901628,1.33683062,0.02007065,-1.75465167,0.87306112,-2.74859881,-1.32222176,0.53354031,-0.82137322,1.29329574,0.25576423,4.30164862,-2.52539968,-0.55530834,2.50959754,2.14528346,3.0749073,3.24893022,0.35856587,1.56977808,2.42569995,0.12018582,-2.9095962,-0.92745101,-4.59626675,-0.56091809,0.94683182,-0.47418758,-3.61488986,-5.9641161,-2.2625742,5.06488562,0.02490067,2.41386318,-4.64895678,0.98054117,0.23509377,-0.3291676,-0.46963015,1.85235453,-5.18944836,-0.54465079,0.33047137,0.56553541,-3.87415576,0.21851896,-4.94957733,-2.28054619,-3.53502321,4.37115717,-4.62574053,2.36356521,-1.38600671,2.2209866,0.13652097,-0.46188495,-0.58551365,0.42986777,-8.25869274,2.99614406,-2.63450098,-3.78633142,2.23109794,-1.13472617,1.5048517,0.22026968,1.56616175,1.53822362,-0.02793812,0.01476109,0.90339679,11.5621233,13.10703373,1.54491019,1.70241976,2.49,1.38
5,0.0,0.0,1.0,0.0,121.0,-3.53325009,0.79125738,-0.24393436,0.61064178,-0.59382129,0.53653705,0.46407384,7.69,0.2326766,0.08052014,0.60176372,-0.3004345,-1.17590868,-1.06873941,-1.81969726,0.25522143,-1.53433931,-1.19394898,1.02398372,-0.72673285,0.78391266,0.37619935,-0.91120225,-1.11195266,-4.1086731,2.92360282,-5.44425774,-2.41209936,-2.32050252,-2.97966838,-2.04559422,2.81255674,0.09434511,1.58918989,-1.19394457,-0.66148251,-2.85963011,0.59763235,-0.3384054,-1.06952691,1.82448912,-0.26395977,0.06136838,0.80445985,3.02865291,-1.51041615,-1.21425796,0.5697239,5.3821187,-2.24793744,1.06591105,1.7077353,0.31305677,0.08774832,0.76713259,1.27907467,3.16047096,1.11718285,-0.7009086,1.19662762,-0.72610223,-3.72043252,-3.94996405,-0.93426502,0.80378556,0.37022051,-7.36872339,-3.48998713,-1.96517658,-1.10774934,-2.87184739,-6.44452667,-3.8868475,-0.93050539,-4.18699503,16.21609497,6.162e-05,0.08646304,-0.40711087,-0.49357393,5.66413736,0.01806885,2.61972284,1.22134626,-1.39837646,1.01402462,2.31,1.31
6,0.0,0.0,14.0,0.67,57.0,4.02250481,4.38680649,5.2300415,-2.80778313,2.70789242,0.40765631,0.52333386,40.24,0.42714672,0.28388607,0.56219227,-4.71762943,5.8228035,8.62209892,-4.65679789,7.98344421,-6.84785652,7.94433928,1.36452806,1.93936622,0.20944184,0.64732302,-8.55773354,16.44440269,-0.69341695,7.13950157,-13.54585934,33.63861847,9.78223705,2.98211622,5.89873314,1.01933885,0.3133133,-5.97504044,1.26158369,15.66268921,8.32842255,14.0671196,-11.46533585,-14.68400288,-10.22622108,-0.37884814,0.00394421,0.94995152,3.10128617,-12.24686146,11.92684555,7.11300564,40.93266296,17.3614006,-11.89852524,-26.10647774,6.62716198,1.45646513,0.22783274,-7.50445795,32.0410614,-9.51527596,1.2429477,8.56372833,12.93426895,-21.50240326,19.73537254,7.79553032,2.06062055,0.15152041,-35.02058792,12.54576778,11.1334095,0.57850736,5.06864929,16.25385475,7.73320627,7.83107138,6.86594868,1.60382402,0.20571278,-9.96085072,-9.67708206,0.28376862,0.1882579,0.66474621,-13.45164013,-1.79849851,11.65314102,2.73360801,0.6,0.59
7,0.0,0.0,20.0,0.0,55.0,-10.11757088,-8.94754219,-12.06033993,-12.06294823,-10.79710007,8.28563404,0.00409645,35.59,0.00533122,0.31861392,0.01444048,-10.42457104,-10.98711205,-17.48540115,-6.46658611,-12.08590126,-5.61309719,-15.02390194,-9.8439188,-10.99131107,8.57664871,0.00349663,-7.87247705,-2.14543676,-1.65138817,-8.52902699,-12.55265331,-11.00384808,-23.75485992,7.43625498,-7.50917959,1.9445225,0.16398664,-13.59255505,-19.92957115,-18.19591331,-24.36739922,4.69451237,-7.64153957,-10.48819065,-18.19859314,-13.46490574,6.55361128,0.01079492,-7.76252222,-25.48303223,-5.1470294,-21.15839195,-0.79923898,-18.7479763,3.34066677,8.1036396,3.6242857,0.54961455,0.45868219,-15.79721928,2.88378859,-16.4961586,-2.01903176,-8.63551044,-16.67358017,-17.43862343,-24.28846169,-0.04440609,8.499e-05,0.99264677,-2.33101201,3.4646945,-25.65080643,-14.54717731,-15.02058601,-17.33534241,-6.00983477,-7.31159306,1.69800138,0.12435436,0.72444736,-13.79391575,-14.08697128,-0.29305539,0.11965505,0.729701,-0.01509472,-0.81063002,-0.79553527,0.02005594,0.6,0.59
8,0.0,0.0,17.0,0.79,27.0,-2.17600012,-2.26027131,-6.11308908,-5.90289307,-4.11306334,1.22730565,0.26824579,35.23,0.31682383,0.52712342,0.53238739,-6.68693542,6.91726542,-9.6692028,0.32315779,-4.24481058,-9.2270937,-6.2465415,-1.98331463,-3.85218453,1.07974505,0.29905218,-9.70883656,-7.52653408,1.64056933,0.59732848,-6.06053686,-9.21086121,7.32145405,-4.67533064,-3.45284343,0.38689223,0.53430761,-0.43452466,-1.16896307,0.84034359,-7.30178261,-12.12565804,0.68207413,9.28511715,-11.79649925,-2.75248647,0.29161105,0.5894589,-7.26266813,-1.2608397,-9.09387398,-0.66975009,3.78708363,-8.56597424,8.71350861,-1.76740539,3.95779943,0.66270196,0.4158381,-12.46259403,-1.79023647,-3.61341095,17.34732628,-15.72938347,-3.05603075,-4.26568556,-26.10991478,-0.21419859,0.00201012,0.96424994,-15.28851414,-14.3554554,15.48055458,-7.24241877,-2.6941452,-4.59675503,10.48033524,3.08130193,3.98087263,0.69980276,0.40308761,-16.16905403,-15.88401604,0.28503734,0.12433089,0.72468223,-29.27011681,-32.39361572,-3.12349749,0.26823255,0.6,0.59
9,0.0,0.0,20.0,0.77,19.0,1.95465672,1.65329015,1.26975965,4.24512434,2.28070784,0.39851889,0.52802527,34.28,0.61250957,0.46482941,0.61115467,-1.19699049,9.1347065,8.61895084,3.44198656,-1.01893258,0.62530911,4.43020678,-2.05752945,2.74721336,0.57847732,0.4471222,5.09874964,8.46942329,2.69955778,2.53093505,1.35772657,4.12240314,14.3820858,4.73399734,5.4243598,1.01509571,0.31432124,15.36489487,-7.60571146,-0.00026536,-4.01657295,-0.56275105,5.58269787,3.43143415,6.25686646,2.30632424,0.21527667,0.64288853,2.79033637,-4.09400034,-17.12559891,16.02144432,6.0655551,3.49439907,7.55426073,-1.60865343,-2.41109967,0.26124835,0.60939797,16.28506279,-6.42955589,3.73117566,-18.18927765,-13.3266468,8.68907547,10.62008095,10.12946892,-3.26926899,0.49764356,0.4807327,-7.52808666,1.18138707,-3.17790151,3.50911474,-2.42057037,9.89979744,6.1814518,5.11769915,-2.26969028,0.23828329,0.62557601,-16.94689941,-16.41816902,0.52873021,0.48081431,0.4887,-29.01144218,-28.23222542,0.77921724,0.01753213,0.31,0.56
