x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L0 p-val
0.00,0.00,6.00,0.22,139.00,-0.14100246,-0.31969824,0.84244186,-0.03799366,0.08593687,0.05841246,0.80907487,3.84,0.85107487,0.36385804,-0.69497705,-1.61642945,-0.37235400,-0.18908329,-1.79049194,-0.14263846,1.76842225,-0.26807848,0.32183859,0.57063926,1.14890003,0.61164343,1.55929923,0.38540509,1.13525605,2.18454933,0.37529609,-0.56387758,0.88518238,3.71227002,0.05431285,-1.24106336,1.70864987,1.40900505,0.30047137,-2.12984753,0.47572228,-0.43616137,-1.68160033,-0.09610846,0.04222029,0.83724459,-0.37041724,-0.53501290,-0.16459568,1.68573201,0.19519966,0.01370761,-0.53426367,-0.54797131,0.75288063,0.00,0.00,0.00126443,1.19184732,0.07105332,1.16574049,0.01603786,0.05639331,0.05722230,0.72642559,-0.04325080,0.42118153,-0.37796444,0.57640779,0.44791234,0.00337831,4.76404667,0.07011226,0.89637744,-0.00692806,0.00832729,0.04175098,0.30262259,-0.07151204,0.90489841,-0.73479027,2.21712375,0.13681936,0.00466033,3.96918321,0.07796933,0.90872711,-0.00190954,0.00051596,0.05195017,0.38503200,-0.07168213,0.74316978,-0.62912714,1.72187340,0.18976937,0.00161536,0.66046757,0.07376984,1.04889464,0.02740867,0.14125793,0.06997751,0.89780396,-0.04239102,0.34164110,-0.28686601,0.32673123,0.56772558,0.00278921,1.65290189,0.07622778,0.94277817,0.01971227,0.06067289,0.06782280,0.71585000,-0.04932151,0.39183232,-0.43664908,0.78224915,0.37667817,0.00060074,0.04971425,0.09481550,1.34125721,0.04341242,0.27599761,0.09642234,1.34196365,-0.03611063,0.19307628,-0.07535683,0.02556366,0.87300459,0.00161536,0.66046757,0.07376984,1.04889464,0.02740867,0.14125793,0.06997751,0.89780396,-0.04239102,0.34164110,-0.28686601,0.32673123,0.56772558,0.00278921,1.65290189,0.07622778,0.94277817,0.01971227,0.06067289,0.06782280,0.71585000,-0.04932151,0.39183232,-0.43664908,0.78224915,0.37667817,0.00060074,0.04971425,0.09481550,1.34125721,0.04341242,0.27599761,0.09642234,1.34196365,-0.03611063,0.19307628,-0.07535683,0.02556366,0.87300459,
0.00,0.00,7.00,0.33,130.00,0.63982630,1.06473744,0.34369826,0.89364445,0.73547661,4.56724119,0.03284277,3.71,0.04269543,2.33891916,0.69816649,1.04320550,1.08315051,0.50549507,2.10113144,0.87350476,-0.00671573,0.17874120,0.15208708,0.69663649,0.68252242,0.44736275,-0.18494071,-0.55862570,-1.44920015,0.85956085,1.13602972,1.70441294,-0.53660208,1.46092594,0.22708456,2.14167500,1.30214071,-0.74895704,0.52957404,1.03617775,0.88138831,-0.14355977,0.13516609,-0.22388101,0.24259689,0.62245093,-0.44686183,-0.62337148,-0.17650965,1.72342420,0.19029438,2.87756753,2.83345866,-0.04410890,0.00473337,0.00,0.00,0.00209309,3.50717807,0.10305160,2.63331819,0.07201515,1.22140121,-0.00563471,0.00752673,0.01510409,0.05510392,-0.01001800,0.00041432,0.98376467,0.00433671,8.44159031,0.10678533,2.23574114,0.06020262,0.67511624,-0.02835799,0.15007210,-0.00169919,0.00048589,-0.33113196,0.48415953,0.48671460,0.00460800,4.15697718,0.12352955,2.44335008,0.08751847,1.16477990,-0.00915940,0.01278156,0.01780842,0.04912264,-0.01190196,0.00062181,0.98011123,0.00439514,5.26218891,0.09734358,1.96557415,0.07971835,1.28628969,-0.01567823,0.04848573,0.01570418,0.05042239,-0.15905409,0.10810727,0.74238190,0.00584430,7.82307863,0.09926866,1.72354937,0.07635848,0.98097140,-0.02299054,0.08871261,0.01842234,0.05895678,-0.29528302,0.38564667,0.53474574,0.00604322,5.41567802,0.11338088,2.06594896,0.09340986,1.37642288,-0.01112576,0.01923422,0.03022435,0.14564040,-0.06765469,0.02220930,0.88156333,0.00439514,5.26218891,0.09734358,1.96557415,0.07971835,1.28628969,-0.01567823,0.04848573,0.01570418,0.05042239,-0.15905409,0.10810727,0.74238190,0.00584430,7.82307863,0.09926866,1.72354937,0.07635848,0.98097140,-0.02299054,0.08871261,0.01842234,0.05895678,-0.29528302,0.38564667,0.53474574,0.00604322,5.41567802,0.11338088,2.06594896,0.09340986,1.37642288,-0.01112576,0.01923422,0.03022435,0.14564040,-0.06765469,0.02220930,0.88156333,
0.00,0.00,7.00,0.00,159.00,2.81679392,1.24558461,1.91818154,1.89415336,1.96867836,22.78514099,0.00000210,4.45,0.00000252,2.72602034,0.63720012,3.28010750,0.40279308,0.54816949,-0.93137282,2.12991238,1.07510293,-0.61127144,1.24562502,0.26467283,1.38409877,3.89774418,1.01058626,0.73136419,3.10020590,2.70368695,1.47426140,1.26162457,0.02503216,0.00220181,0.96258412,1.21631777,3.74330211,4.05007887,2.32892418,2.68291593,2.81073380,2.65314770,3.00520635,0.91140962,2.79263258,0.09502893,-0.14692491,-0.38852850,-0.24160360,3.81750798,0.05168407,3.02308536,3.00289989,-0.02018546,0.00055679,0.00,0.00,0.00816852,39.29892349,0.09071676,1.50132084,0.02151356,0.08016663,0.10620685,1.97703719,0.10178538,1.84301972,-0.86586571,2.38996148,0.12245003,0.01317329,58.08898163,0.08866028,1.14940965,-0.00455182,0.00289889,0.08559792,1.01989150,0.08904219,1.12497616,-1.31079471,5.65790749,0.01757386,0.01834712,48.93608093,0.10095555,1.21190214,0.01906607,0.04104317,0.12003197,1.63485205,0.12505470,1.79912734,-0.92400759,2.95459509,0.08595987,0.01452045,42.30582809,0.06997835,0.74819958,0.05442856,0.44160384,0.10437375,1.58321190,0.12844647,2.48628855,-0.99304152,3.10396338,0.07842388,0.01701264,49.02351379,0.06214490,0.49949983,0.04245043,0.22415426,0.11660260,1.68674803,0.15960978,3.27131867,-1.08607399,3.85801816,0.04980030,0.02445367,66.93686676,0.06139988,0.45729837,0.03427257,0.13986352,0.10021122,1.17855132,0.16245882,3.17664647,-1.18100417,5.10538435,0.02407780,0.01452045,42.30582809,0.06997835,0.74819958,0.05442856,0.44160384,0.10437375,1.58321190,0.12844647,2.48628855,-0.99304152,3.10396338,0.07842388,0.01701264,49.02351379,0.06214490,0.49949983,0.04245043,0.22415426,0.11660260,1.68674803,0.15960978,3.27131867,-1.08607399,3.85801816,0.04980030,0.02445367,66.93686676,0.06139988,0.45729837,0.03427257,0.13986352,0.10021122,1.17855132,0.16245882,3.17664647,-1.18100417,5.10538435,0.02407780,
0.00,0.00,12.00,0.36,136.00,3.99730587,3.42311239,4.02169895,4.48813105,3.98256207,112.59946442,0.00000000,4.05,0.00000000,2.80458593,1.09137404,2.55972743,3.14763141,4.22656202,3.86030340,5.49122429,4.04248857,-1.04217207,4.38118553,0.03660328,4.58652067,4.31995869,4.29949617,2.42752409,3.68736362,3.90960646,4.37124538,4.59323788,-0.45918652,0.89524668,0.34430081,3.83529425,4.90659285,4.20756006,4.03894854,6.35022497,3.56899357,3.19922137,1.93144429,-0.47422317,0.91984206,0.33776124,-0.13069154,-0.46858341,-0.33789188,5.50436878,0.01964470,3.36247301,3.31827235,-0.04420065,0.00425645,0.00,0.00,0.01148418,101.64182281,-0.05413400,0.69952750,0.10001766,2.26809645,0.06857610,1.07857394,0.03174975,0.23466048,0.22293670,0.20733881,0.64896542,0.01680037,123.91217041,-0.07185011,0.98999166,0.09927196,1.79559040,0.05616105,0.57578653,0.02353213,0.10305907,-0.03571494,0.00549920,0.94090142,0.02533565,123.39797211,-0.08604875,1.16424453,0.11713607,2.04891014,0.07257243,0.79029685,0.03902719,0.23174985,0.20592417,0.19402944,0.65968422,0.01521702,58.10480499,-0.06853948,0.89758503,0.20317714,7.69662571,0.12310622,2.75455642,0.10156940,1.94425786,0.94091415,3.48495913,0.06223708,0.02062801,92.54136658,-0.10720778,1.90876734,0.17608292,4.95303440,0.10563447,1.77757335,0.10952818,1.97792077,0.41636586,0.72808719,0.39371922,0.02705591,104.51758575,-0.10702257,1.77233136,0.18716656,5.32065773,0.10471238,1.64136326,0.12282138,2.31592178,0.59024173,1.62657440,0.20248963,0.01521702,58.10480499,-0.06853948,0.89758503,0.20317714,7.69662571,0.12310622,2.75455642,0.10156940,1.94425786,0.94091415,3.48495913,0.06223708,0.02062801,92.54136658,-0.10720778,1.90876734,0.17608292,4.95303440,0.10563447,1.77757335,0.10952818,1.97792077,0.41636586,0.72808719,0.39371922,0.02705591,104.51758575,-0.10702257,1.77233136,0.18716656,5.32065773,0.10471238,1.64136326,0.12282138,2.31592178,0.59024173,1.62657440,0.20248963,
0.00,0.00,17.00,0.53,129.00,12.21407032,10.42350578,13.11158371,12.79895592,12.13702869,325.13714600,0.00000000,7.26,0.00000000,8.32392025,6.47919321,7.85483837,10.18294430,13.39919662,9.85079098,12.64278030,14.19939995,-2.36067009,7.01770163,0.00820516,13.42191219,15.72137833,12.45205498,10.64358616,11.43701744,14.33399677,12.90307617,13.89056778,0.32941809,0.14347281,0.70493760,14.27335072,15.88487339,13.16187096,9.85957527,14.58612251,12.86456680,9.37694168,7.76160002,-0.49591079,0.31492898,0.57480396,-0.27645022,-0.73981565,-0.46336544,7.83686972,0.00546378,2.08015156,-1.58025014,-3.66040158,10.10087585,0.00,0.00,0.03199815,306.92715454,-0.02268041,0.04778378,0.13491443,1.60520422,0.14997511,2.00650525,0.11265724,1.14908624,1.62995148,4.31046963,0.03814723,0.04533511,357.28967285,-0.04932137,0.18463732,0.13579710,1.33042109,0.12970573,1.21611154,0.10543930,0.81920046,1.23298836,2.59976244,0.10721222,0.06527212,313.46960449,-0.06210596,0.23202838,0.20394830,2.37720037,0.20327337,2.37304568,0.18043967,1.89569461,2.29627252,9.23522758,0.00243907,0.05543505,315.03747559,-0.13376476,1.39684963,0.28577021,6.22054100,0.14628960,1.58915591,0.20349677,3.18851542,1.37715912,3.05014229,0.08105361,0.06409930,367.83288574,-0.19146198,2.50604534,0.26005784,4.44731140,0.17561162,2.02227402,0.29565349,5.93267632,1.15197396,2.29414463,0.13019571,0.06988635,260.47238159,-0.11845344,0.81096977,0.39109933,8.67751598,0.28715250,4.61052418,0.40092033,9.21726608,3.26188803,18.55506325,0.00001822,0.05543505,315.03747559,-0.13376476,1.39684963,0.28577021,6.22054100,0.14628960,1.58915591,0.20349677,3.18851542,1.37715912,3.05014229,0.08105361,0.06409930,367.83288574,-0.19146198,2.50604534,0.26005784,4.44731140,0.17561162,2.02227402,0.29565349,5.93267632,1.15197396,2.29414463,0.13019571,0.06988635,260.47238159,-0.11845344,0.81096977,0.39109933,8.67751598,0.28715250,4.61052418,0.40092033,9.21726608,3.26188803,18.55506325,0.00001822,
0.00,0.00,17.00,0.63,113.00,14.82735538,11.88266468,14.86769295,15.24857426,14.20657158,247.79260254,0.00000000,9.74,0.00000000,16.46731949,9.25410938,11.82256508,9.02167130,11.43283653,9.50073242,11.54113865,15.74317837,-3.30691195,7.60370398,0.00593693,13.17788601,20.76841736,15.14819336,13.69733429,12.59792137,14.80101585,13.90874767,14.56954002,-0.40073729,0.11847461,0.73077124,12.21933937,18.41128731,15.69169140,11.20201969,17.61491585,13.41965389,15.15709877,15.32166862,-0.41853705,0.12344921,0.72540140,-0.49878797,-1.08843219,-0.58964419,10.73988056,0.00117646,-2.19544554,-0.02822740,2.16721821,2.28649259,0.00,0.00,0.03404262,167.01707458,-0.02114030,0.01998913,0.25981200,2.86202645,0.19987272,1.71339703,0.03494098,0.05320491,3.03471875,7.18365717,0.00748455,0.04913255,199.64343262,-0.05493211,0.10906905,0.26377878,2.38826442,0.16651148,0.95358682,0.00279377,0.00030695,2.42255878,4.77478933,0.02912330,0.07570976,209.43772888,-0.09292807,0.25809899,0.29399329,2.45307517,0.19819805,1.12028575,0.03127883,0.02826504,2.91327095,7.38202286,0.00670781,0.06143404,188.12904358,-0.16370085,1.01717150,0.40407595,6.04723930,0.16184810,0.94578928,0.09919903,0.36835256,2.35588455,4.34003973,0.03749323,0.06759677,191.65173340,-0.19715485,1.24497736,0.42327243,5.51968431,0.23709457,1.72703528,0.21524602,1.47320294,2.62091756,5.56368303,0.01853867,0.08542220,200.08380127,-0.17915069,0.95367390,0.47827274,6.67213488,0.25971118,1.93907547,0.26347095,2.04664278,3.55102444,11.30642891,0.00080326,0.06143404,188.12904358,-0.16370085,1.01717150,0.40407595,6.04723930,0.16184810,0.94578928,0.09919903,0.36835256,2.35588455,4.34003973,0.03749323,0.06759677,191.65173340,-0.19715485,1.24497736,0.42327243,5.51968431,0.23709457,1.72703528,0.21524602,1.47320294,2.62091756,5.56368303,0.01853867,0.08542220,200.08380127,-0.17915069,0.95367390,0.47827274,6.67213488,0.25971118,1.93907547,0.26347095,2.04664278,3.55102444,11.30642891,0.00080326,
0.00,0.00,3.00,0.00,141.00,2.18296957,1.11256230,2.24700594,1.51776493,1.76507568,20.45813560,0.00000686,4.21,0.00000694,2.99149752,0.03752046,1.61428130,0.54576886,1.96738791,-0.32543424,0.48780474,1.46574509,-0.38887990,0.56141037,0.45387862,-0.52799994,1.80514491,3.95805597,3.46881461,3.45639801,0.77528781,2.06964016,3.15531778,0.69965631,1.94527090,0.16342443,1.89902723,2.02042389,4.14065170,3.34343219,1.07467210,1.91733360,1.65134490,1.13985682,0.66572911,1.67017269,0.19655066,-0.26085299,-0.42416057,-0.16330758,1.80605459,0.18003634,-3.06059766,-2.13633013,0.92426753,1.09735596,0.00,0.00,0.00456856,13.17719746,-0.00698844,0.00947561,0.09649186,1.72935331,0.05981679,0.67222375,-0.04960788,0.46920606,0.26939473,0.24799959,0.61860254,0.00791199,22.25172615,-0.01893610,0.05574008,0.08471394,1.05873168,0.04023916,0.23934153,-0.07714779,0.89678860,-0.09672362,0.03276241,0.85640316,0.01389552,30.33141899,-0.03139943,0.12672925,0.07773711,0.73742449,0.03009624,0.11109598,-0.09693868,1.16828179,-0.24539082,0.22518556,0.63522605,0.00919261,18.21507072,-0.03323596,0.18137573,0.11155415,1.99305332,0.04596120,0.32980391,-0.05482102,0.48655108,0.01632141,0.00087568,0.97639872,0.01091454,21.60375404,-0.04461286,0.27558273,0.11020063,1.61768937,0.05003684,0.33258849,-0.04965222,0.33895907,-0.06586134,0.01515760,0.90204115,0.01556383,28.72984314,-0.04797139,0.29583251,0.10952167,1.51336098,0.04242904,0.22389421,-0.05294275,0.35747814,-0.11584166,0.05201694,0.81963922,0.00919261,18.21507072,-0.03323596,0.18137573,0.11155415,1.99305332,0.04596120,0.32980391,-0.05482102,0.48655108,0.01632141,0.00087568,0.97639872,0.01091454,21.60375404,-0.04461286,0.27558273,0.11020063,1.61768937,0.05003684,0.33258849,-0.04965222,0.33895907,-0.06586134,0.01515760,0.90204115,0.01556383,28.72984314,-0.04797139,0.29583251,0.10952167,1.51336098,0.04242904,0.22389421,-0.05294275,0.35747814,-0.11584166,0.05201694,0.81963922,
0.00,0.00,0.00,0.26,133.00,2.82093120,1.51891637,2.29514909,2.21624088,2.21280932,36.20754242,0.00000000,3.97,0.00000000,2.88368797,1.71140254,0.94324368,0.38509718,0.42894301,2.36224842,2.54897308,0.93877888,-0.67450297,1.89972627,0.16843450,1.58143699,4.32280350,1.88933492,0.60220623,2.40706873,1.67970169,2.32278705,3.63136792,0.07775965,0.02698021,0.86956425,2.80179691,4.64360952,4.43464375,0.84126580,2.41031218,2.76816583,3.13781238,1.51643884,0.62658703,1.67488801,0.19592061,-0.17972696,-0.36998114,-0.19025418,1.92189527,0.16671646,-1.43656230,0.95659125,2.39315343,11.70649052,0.00,0.00,0.00786378,45.16738129,-0.06039006,0.82513809,-0.02780815,0.16619946,-0.11164879,2.70953012,-0.04617821,0.47049946,-0.16465242,0.10722952,0.74339282,0.01209052,60.46794510,-0.07960100,1.14492619,-0.05062408,0.43998227,-0.14886498,3.81200695,-0.06903482,0.83563364,-0.46703932,0.88764089,0.34635717,0.01921495,67.38336182,-0.09588248,1.37231576,-0.06172292,0.54011542,-0.16697267,3.97164536,-0.07382404,0.78711551,-0.42468929,0.78357315,0.37627479,0.01401363,48.90909195,-0.09372744,1.66600382,-0.00121532,0.00031618,-0.13008823,3.05282259,-0.03537310,0.23409800,-0.29422280,0.33824694,0.56098099,0.01418069,41.68486023,-0.10260198,1.66636479,0.00457044,0.00313875,-0.11714696,2.08369374,-0.00738545,0.00853741,-0.04032733,0.00646583,0.93592780,0.01747691,41.07056046,-0.09829742,1.40798831,0.01660520,0.03939833,-0.11565392,1.88566160,0.00259364,0.00094104,0.20317821,0.18149579,0.67018753,0.01401363,48.90909195,-0.09372744,1.66600382,-0.00121532,0.00031618,-0.13008823,3.05282259,-0.03537310,0.23409800,-0.29422280,0.33824694,0.56098099,0.01418069,41.68486023,-0.10260198,1.66636479,0.00457044,0.00313875,-0.11714696,2.08369374,-0.00738545,0.00853741,-0.04032733,0.00646583,0.93592780,0.01747691,41.07056046,-0.09829742,1.40798831,0.01660520,0.03939833,-0.11565392,1.88566160,0.00259364,0.00094104,0.20317821,0.18149579,0.67018753,
0.00,0.00,11.00,0.38,123.00,2.46351671,2.23048353,2.03178191,3.34353685,2.51732969,47.48792267,0.00000000,3.94,0.00000000,2.73323250,1.81254935,1.15251088,1.31410003,1.41580999,2.50704741,3.59974813,3.26031446,-1.08997262,5.02757931,0.02517752,1.31464136,3.26599216,0.93775260,1.49723339,1.81825030,3.39731002,1.72460270,2.37560248,-1.30336165,7.62872791,0.00585578,3.76761031,1.92953956,1.78402865,2.33623958,2.82774091,3.13052845,1.73937321,2.28615165,-0.86505979,3.20519805,0.07372398,-0.24962983,-0.49931780,-0.24968797,2.88826799,0.09030281,-0.79700470,-1.64442396,-0.84741920,1.65421700,0.00,0.00,0.01129972,101.17247772,-0.02963047,0.21549836,-0.01289001,0.03868445,-0.10551418,2.62527990,0.01657832,0.06574989,-1.03224874,4.56968594,0.03279750,0.01539820,105.21188354,-0.03938322,0.30070105,-0.00948333,0.01660649,-0.12395473,2.83518147,0.02079816,0.08138555,-1.04224992,4.74190903,0.02968209,0.01934283,70.30714417,-0.03142010,0.15173054,0.03564297,0.18548527,-0.08772891,1.12889373,0.06768330,0.68126214,-0.30454424,0.41487160,0.51966281,0.01738261,79.66568756,-0.06045875,0.73384553,0.05464896,0.58502793,-0.09791926,1.83106565,0.06427467,0.81806165,-0.73933309,2.26084924,0.13301398,0.01964368,85.82540131,-0.07387730,0.92701530,0.04897231,0.39180762,-0.09653176,1.51806080,0.09719984,1.59309494,-0.74306816,2.37145638,0.12390507,0.02143350,64.97418213,-0.05338168,0.43678093,0.08748105,1.15137541,-0.06727167,0.67104173,0.12935796,2.54479837,-0.09834374,0.04474052,0.83252730,0.01738261,79.66568756,-0.06045875,0.73384553,0.05464896,0.58502793,-0.09791926,1.83106565,0.06427467,0.81806165,-0.73933309,2.26084924,0.13301398,0.01964368,85.82540131,-0.07387730,0.92701530,0.04897231,0.39180762,-0.09653176,1.51806080,0.09719984,1.59309494,-0.74306816,2.37145638,0.12390507,0.02143350,64.97418213,-0.05338168,0.43678093,0.08748105,1.15137541,-0.06727167,0.67104173,0.12935796,2.54479837,-0.09834374,0.04474052,0.83252730,
0.00,0.00,3.00,0.00,152.00,0.73401147,1.38843954,2.15006661,1.52028680,1.44820106,15.27371025,0.00009957,4.00,0.00020154,1.95318520,-0.62310928,1.84183562,1.64578843,2.43651772,1.36970139,1.95527101,0.46337673,-0.11629159,0.05559365,0.81365200,2.82961774,3.34104609,3.15577292,3.42746568,1.99895549,0.74204260,0.26971582,1.06695175,0.61694825,1.67170477,0.19634568,0.68070924,0.04537978,1.51432276,0.36576936,2.13177586,0.55359536,1.58990061,-0.88230383,-0.79156697,2.61680007,0.10607049,-0.39147186,-0.55587202,-0.16440015,1.88384199,0.17096234,1.75383627,1.17345643,-0.58037984,0.46623287,0.00,0.00,0.00456997,14.60044956,0.13301641,3.83141065,0.00418293,0.00361812,-0.06391815,0.85001755,-0.05490735,0.63660860,-0.00854778,0.00030151,0.98614984,0.00638990,15.94414139,0.14714628,3.69327378,0.00471255,0.00356290,-0.07599034,0.93770593,-0.06367297,0.67103225,-0.04761207,0.00863549,0.92598088,0.00993712,16.91221237,0.15826410,3.50870514,0.00314318,0.00132972,-0.08390716,0.94119924,-0.06631392,0.59601629,0.00255977,0.00012088,0.99122998,0.00759459,13.68498898,0.13073544,3.08795118,0.02691298,0.12765557,-0.06866673,0.81033266,-0.04516233,0.36344784,0.00972582,0.00036146,0.98483545,0.00752769,11.24397659,0.14323296,3.10861826,0.03550334,0.18375418,-0.05930336,0.51118273,-0.03308754,0.16470575,0.17244472,0.11399008,0.73572109,0.00997890,12.84507275,0.15097287,3.18630648,0.03612169,0.17904994,-0.06552906,0.58072364,-0.03200542,0.14203624,0.22489908,0.21335530,0.64425603,0.00759459,13.68498898,0.13073544,3.08795118,0.02691298,0.12765557,-0.06866673,0.81033266,-0.04516233,0.36344784,0.00972582,0.00036146,0.98483545,0.00752769,11.24397659,0.14323296,3.10861826,0.03550334,0.18375418,-0.05930336,0.51118273,-0.03308754,0.16470575,0.17244472,0.11399008,0.73572109,0.00997890,12.84507275,0.15097287,3.18630648,0.03612169,0.17904994,-0.06552906,0.58072364,-0.03200542,0.14203624,0.22489908,0.21335530,0.64425603,
