x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L0 p-val
0.00,0.00,14.00,0.42,166.00,4.63888264,3.49243069,4.34857416,5.39087486,4.46769047,171.51553345,0.00000000,3.67,0.00000000,3.42610359,4.04519033,3.06622195,3.86815667,3.59590983,4.06113005,3.76647902,2.22101164,-1.88980675,18.27933502,0.00002101,4.60217571,2.78555918,3.96124530,4.86866379,2.80969596,4.85144424,5.32580471,5.69467735,-1.00699389,5.15052319,0.02346353,5.16690540,5.11288595,4.30020189,4.86893511,5.05737734,5.00771713,4.36929893,3.20729136,-0.76739711,2.93222737,0.08715499,1.32171452,0.79473430,-0.52698016,18.89818764,0.00001913,0.13737844,0.74123156,0.60385311,0.83376175,4.61,4.98,0.00823334,38.15186310,0.02594999,0.15487419,0.02727715,0.16945408,0.15441142,5.58833981,0.11272741,2.95651984,1.22761083,4.43667698,0.03543671,0.01158794,59.66898346,0.02360753,0.10385267,0.00656413,0.00790679,0.14609471,4.00661469,0.08591779,1.37167633,0.65266490,1.33936489,0.24743721,0.01374983,38.16088486,0.02044213,0.05677829,0.03560355,0.16639088,0.19367535,5.07090330,0.12342970,2.02452159,1.62340128,9.31967545,0.00233023,0.00773257,34.74152756,-0.05754033,0.44286272,0.03085077,0.12501831,0.18543512,4.54319668,0.18869871,4.73594856,1.29911470,4.81101894,0.02852029,0.01248538,35.11100388,-0.06525625,0.47801742,0.03427934,0.12773326,0.20428145,4.56340599,0.20519610,4.72012568,1.62012923,8.77170849,0.00313563,0.01741166,26.76436615,-0.04946795,0.23336016,0.07641775,0.54068387,0.26003397,6.26352167,0.23411851,5.20347548,2.39153194,24.51752090,0.00000087,0.00773257,34.74152756,-0.05754033,0.44286272,0.03085077,0.12501831,0.18543512,4.54319668,0.18869871,4.73594856,1.29911470,4.81101894,0.02852029,0.01248538,35.11100388,-0.06525625,0.47801742,0.03427934,0.12773326,0.20428145,4.56340599,0.20519610,4.72012568,1.62012923,8.77170849,0.00313563,0.01741166,26.76436615,-0.04946795,0.23336016,0.07641775,0.54068387,0.26003397,6.26352167,0.23411851,5.20347548,2.39153194,24.51752090,0.00000087,
0.00,0.00,16.00,0.50,170.00,8.98289299,7.27521420,10.04974079,10.11233521,9.10504532,472.71035767,0.00000000,4.50,0.00000000,6.79943943,6.08543539,8.51187229,8.32625294,5.04856348,8.84774017,6.94177437,7.89109325,-2.88434076,28.42838287,0.00000012,10.79952335,13.65798759,7.90977097,9.78306961,8.00795746,10.15305424,10.90860462,9.41574383,-0.05325180,0.00965620,0.92174188,10.28952694,8.97736835,9.68628693,7.58145809,7.73384714,7.88112688,9.11029148,10.38974476,-1.09008741,3.93901610,0.04746658,1.66992891,1.19197154,-0.47795734,14.76924706,0.00014942,2.08008552,1.29857147,-0.78151411,1.68912625,4.67,4.57,0.02227219,218.55058289,0.15370367,4.25319910,0.00322207,0.00186342,-0.00733380,0.00989942,-0.03433575,0.21470098,0.81810850,1.54250455,0.21455224,0.02723591,261.91076660,0.15526955,3.56834793,-0.01940786,0.05491160,-0.04079390,0.24821977,-0.11044472,1.80096757,0.50524944,0.63773572,0.42473172,0.03706279,216.70701599,0.17076360,3.09642434,-0.00398377,0.00162850,-0.03034522,0.09730306,-0.11595520,1.39644146,1.91461611,10.13173199,0.00150480,0.02019493,180.03262329,-0.03863843,0.15167749,0.01101373,0.01216123,-0.03522405,0.12453995,0.05793579,0.33916304,1.26891232,3.48711848,0.06215625,0.03148368,167.66484070,-0.03481892,0.10221687,0.02568938,0.05389212,-0.02797523,0.06424742,0.06834863,0.39327884,2.33387136,13.67000294,0.00023040,0.04456465,128.06079102,0.01488254,0.01546576,0.11895318,0.95683652,0.05732062,0.22232030,0.09742370,0.65815401,4.21506071,55.62765503,0.00000000,0.02019493,180.03262329,-0.03863843,0.15167749,0.01101373,0.01216123,-0.03522405,0.12453995,0.05793579,0.33916304,1.26891232,3.48711848,0.06215625,0.03148368,167.66484070,-0.03481892,0.10221687,0.02568938,0.05389212,-0.02797523,0.06424742,0.06834863,0.39327884,2.33387136,13.67000294,0.00023040,0.04456465,128.06079102,0.01488254,0.01546576,0.11895318,0.95683652,0.05732062,0.22232030,0.09742370,0.65815401,4.21506071,55.62765503,0.00000000,
0.00,0.00,12.00,0.49,174.00,2.51131797,2.41792583,2.71513462,2.57396197,2.55458498,60.40242386,0.00000000,3.54,0.00000000,3.39833140,2.08047795,3.68498373,1.47335827,1.37571108,2.95574832,1.11040962,3.30189037,-0.21044481,0.24575959,0.62019186,4.43172121,2.41956210,1.07936847,4.43805075,2.88881397,2.68051386,1.39057183,2.47403955,0.15255797,0.12783279,0.72076942,2.36515141,2.28635716,2.72747231,1.47552896,1.58068669,2.66833711,3.14800787,3.72457218,-0.03917885,0.00824571,0.92766603,1.79030943,1.33204281,-0.45826659,14.26942635,0.00019235,1.96027875,1.12439752,-0.83588117,2.72793841,4.67,4.57,0.00891951,48.30268860,0.04984801,0.61653173,0.04872129,0.58314931,0.00434923,0.00481477,0.08465554,1.79871917,-0.83291954,2.20332050,0.13804586,0.01061419,53.09081650,0.04946638,0.48335403,0.04577306,0.40764603,-0.00821949,0.01346457,0.07054652,0.98073703,-0.86695379,2.50618458,0.11373337,0.01454978,45.97003555,0.05248053,0.40252331,0.05860151,0.48498136,-0.00368127,0.00192135,0.08683880,1.07803881,-0.33569294,0.42870173,0.51278534,0.00766396,36.51683807,-0.02611763,0.09761168,0.07162728,0.72134322,0.00142596,0.00031718,0.15910655,3.60275126,-0.49467415,0.74640030,0.38783662,0.01410914,48.54205704,-0.03999965,0.19446839,0.06231053,0.45699671,-0.01516302,0.02720792,0.16270721,3.21294212,-0.52966505,1.01503992,0.31395526,0.01871513,33.22937775,-0.01633055,0.02733732,0.11352892,1.28232563,0.02640465,0.06937042,0.18943045,3.66083026,0.44379529,0.90726709,0.34108311,0.00766396,36.51683807,-0.02611763,0.09761168,0.07162728,0.72134322,0.00142596,0.00031718,0.15910655,3.60275126,-0.49467415,0.74640030,0.38783662,0.01410914,48.54205704,-0.03999965,0.19446839,0.06231053,0.45699671,-0.01516302,0.02720792,0.16270721,3.21294212,-0.52966505,1.01503992,0.31395526,0.01871513,33.22937775,-0.01633055,0.02733732,0.11352892,1.28232563,0.02640465,0.06937042,0.18943045,3.66083026,0.44379529,0.90726709,0.34108311,
0.00,0.00,14.00,0.40,193.00,2.34726405,1.08084464,1.90608776,2.93048406,2.06617022,34.52369308,0.00000001,3.78,0.00000016,-0.50474077,0.81090033,1.89053118,2.55913830,1.25968850,0.68742669,1.68835425,0.36484927,-1.82813203,16.17256546,0.00006243,1.95588744,3.27509975,2.64051795,-0.46009389,0.68767494,2.02298188,2.28910565,2.89947271,-1.02019238,4.98315334,0.02582846,2.35116982,2.89287210,2.82610059,1.90092063,2.76832676,2.02363729,3.64974880,0.27717903,-0.60034949,1.69738889,0.19294652,1.74483991,1.30232859,-0.44251132,15.23915291,0.00011794,2.05561352,2.30196786,0.24635439,0.16176669,4.60,4.26,0.00781954,31.70770264,0.00224224,0.00109662,0.05706257,0.68319643,-0.00208944,0.00095955,-0.00381910,0.00315279,-0.85772693,1.99564910,0.15807933,0.00944188,35.86904526,-0.00511064,0.00440569,0.05950218,0.58815932,-0.01420301,0.03428176,-0.02951789,0.14662680,-0.93061078,2.46560192,0.11669646,0.01394140,36.30507278,-0.00774449,0.00757498,0.06549267,0.52108955,-0.02333823,0.06817479,-0.04141297,0.21092866,-0.63942891,1.33801627,0.24767519,0.00735473,28.99130630,-0.09501552,1.11396968,0.07291133,0.64434695,-0.01509154,0.02775354,0.02919381,0.10452010,-0.79384881,1.65707767,0.19831222,0.01247869,32.45738602,-0.10430981,1.13019693,0.07646211,0.58814973,-0.02251664,0.05131646,0.02990324,0.09275381,-0.61338502,1.16353893,0.28100689,0.01982609,32.37855911,-0.10327686,0.94922352,0.10461760,0.94551909,-0.00400420,0.00137201,0.03303859,0.09672654,-0.08412587,0.02833196,0.86636662,0.00735473,28.99130630,-0.09501552,1.11396968,0.07291133,0.64434695,-0.01509154,0.02775354,0.02919381,0.10452010,-0.79384881,1.65707767,0.19831222,0.01247869,32.45738602,-0.10430981,1.13019693,0.07646211,0.58814973,-0.02251664,0.05131646,0.02990324,0.09275381,-0.61338502,1.16353893,0.28100689,0.01982609,32.37855911,-0.10327686,0.94922352,0.10461760,0.94551909,-0.00400420,0.00137201,0.03303859,0.09672654,-0.08412587,0.02833196,0.86636662,
0.00,0.00,4.00,0.00,186.00,1.82352936,1.00210106,1.60544610,1.94391143,1.59374702,17.50778580,0.00003125,4.10,0.00006683,0.79587770,-0.76726526,3.02756977,0.28950629,0.99026227,2.84275913,1.20530820,-0.21407634,-0.98943424,4.05830383,0.04423692,-0.46730956,-0.42921123,0.06600958,4.31074381,1.08650792,0.00583211,3.38437986,4.92766380,-0.27560675,0.31756052,0.57321079,0.74778444,2.89316607,1.56876862,2.46610570,2.79158235,0.98909050,0.70192707,2.47694874,-0.15101412,0.09136534,0.76251491,0.50638688,-0.03186509,-0.53825194,22.07318306,0.00000406,1.28021407,0.55709213,-0.72312194,0.88779157,6.28,0.00,0.00497707,10.74032974,0.17949466,5.70810318,0.09067982,1.44252729,-0.02787106,0.14022979,0.00420700,0.00315188,-0.33495918,0.25449958,0.61404156,0.00617157,12.78549004,0.19780746,5.50604582,0.09661908,1.29383743,-0.04310166,0.26344249,-0.01316587,0.02435135,-0.42894757,0.43706068,0.50870502,0.00715992,7.94563484,0.22632296,5.34377384,0.12771995,1.64434803,-0.03601582,0.13462432,-0.00345969,0.00119996,0.11814146,0.03788452,0.84571687,0.00288356,3.70845866,0.19762486,4.01040030,0.14406069,2.09339929,-0.02125699,0.04584875,0.03401332,0.11814871,0.37100601,0.30125928,0.58322315,0.00504553,4.40183640,0.20808958,3.73118854,0.15465604,1.99606442,-0.02609735,0.05713936,0.03542487,0.10796151,0.41082352,0.43304121,0.51066003,0.00363937,0.90170568,0.24333028,4.35505056,0.20577234,3.02312946,0.00701195,0.00351520,0.05302190,0.20580934,1.06593657,3.75593543,0.05291667,0.00288356,3.70845866,0.19762486,4.01040030,0.14406069,2.09339929,-0.02125699,0.04584875,0.03401332,0.11814871,0.37100601,0.30125928,0.58322315,0.00504553,4.40183640,0.20808958,3.73118854,0.15465604,1.99606442,-0.02609735,0.05713936,0.03542487,0.10796151,0.41082352,0.43304121,0.51066003,0.00363937,0.90170568,0.24333028,4.35505056,0.20577234,3.02312946,0.00701195,0.00351520,0.05302190,0.20580934,1.06593657,3.75593543,0.05291667,
0.00,0.00,9.00,0.28,193.00,4.63032293,3.79624128,4.26073122,4.42107010,4.27709150,126.50287628,0.00000000,4.09,0.00000000,4.14507675,3.25636673,5.32630682,3.10577083,2.78278852,3.90060449,4.01394987,3.91526127,-0.66776747,1.83878493,0.17541667,2.56881499,3.98214436,3.07309198,7.65407372,5.74031782,3.28115392,5.41550779,2.29654813,-0.16994853,0.11975893,0.72937296,4.54382372,5.09571314,5.87260246,3.53425694,6.71268845,4.27643919,2.46367931,4.61636209,0.18345626,0.13602901,0.71234351,0.70612633,0.29556662,-0.41055968,12.24967384,0.00053875,-2.55841613,-1.80635810,0.75205791,1.54629195,4.66,4.72,0.00538517,12.62189102,0.05905582,0.62023950,0.07906555,1.10086477,-0.02169141,0.08531026,0.10147533,1.85266495,2.19395137,10.95854282,0.00096684,0.00779100,20.57977486,0.06403248,0.58274472,0.06872196,0.66111302,-0.04149131,0.24659047,0.08561901,1.03932285,1.75255048,7.36836195,0.00675856,0.01306514,27.03528786,0.07065554,0.53222173,0.06164955,0.39150265,-0.06256894,0.41532564,0.08028077,0.67206496,1.70589149,8.07476425,0.00458473,0.00321799,4.63081551,0.03756594,0.14532612,0.12743744,1.64250457,-0.01701460,0.02948729,0.17120492,3.00051665,2.92425680,18.76121330,0.00001639,0.00597017,6.18690109,0.03216041,0.08946817,0.13444422,1.51427448,-0.02486142,0.05210407,0.18320616,2.89971709,2.89898229,21.64369774,0.00000375,0.00618937,2.61772656,0.04967231,0.18210669,0.17366068,2.16120791,0.00542189,0.00210561,0.20901281,3.21014237,3.48525810,40.30424881,0.00000000,0.00321799,4.63081551,0.03756594,0.14532612,0.12743744,1.64250457,-0.01701460,0.02948729,0.17120492,3.00051665,2.92425680,18.76121330,0.00001639,0.00597017,6.18690109,0.03216041,0.08946817,0.13444422,1.51427448,-0.02486142,0.05210407,0.18320616,2.89971709,2.89898229,21.64369774,0.00000375,0.00618937,2.61772656,0.04967231,0.18210669,0.17366068,2.16120791,0.00542189,0.00210561,0.20901281,3.21014237,3.48525810,40.30424881,0.00000000,
0.00,0.00,10.00,0.00,200.00,2.13145399,1.75093865,2.72939992,2.62874222,2.31013370,32.64805222,0.00000001,4.35,0.00000004,2.85215378,2.48473740,2.38007331,-0.41787565,0.72453105,1.60035896,2.02563882,2.24431944,-0.92155129,3.10679317,0.07828886,0.98651755,1.69390953,-0.06039468,5.26042175,3.75008368,3.16375184,5.26118183,1.71718943,0.10242031,0.03843158,0.84462112,-1.59858906,0.73896879,5.28283358,3.85118985,4.19200802,0.85836548,1.00814199,3.32576084,-0.54149747,1.07222843,0.30070698,0.89865649,0.56066018,-0.33799630,8.08024120,0.00479388,-1.79516912,-2.04907823,-0.25390908,0.12063979,6.28,0.00,0.00508587,10.03309059,-0.04170554,0.27571493,0.15242589,3.64632726,-0.02756046,0.12273365,0.19852687,6.31970596,0.29606694,0.17789714,0.67328219,0.00828002,20.77889824,-0.04961061,0.31268531,0.14316888,2.56495285,-0.05916296,0.44813043,0.18673562,4.41938925,-0.39699671,0.33799052,0.56112949,0.01194730,20.06245995,-0.05977373,0.33805856,0.16715875,2.55430079,-0.06721764,0.42531952,0.21484075,4.27112436,-0.09227557,0.02093434,0.88498868,0.00497244,9.93256092,-0.11320821,1.18531203,0.19161794,3.33592558,-0.05166185,0.24378468,0.27993155,7.20614815,0.27509251,0.14909908,0.69948435,0.01001255,15.70164299,-0.13484336,1.41919279,0.18951714,2.71507597,-0.07626961,0.44230562,0.29774621,6.91069031,0.07692242,0.01371251,0.90680526,0.01641058,16.68910789,-0.13422021,1.20610952,0.22024707,3.15260625,-0.06893191,0.30893332,0.32520601,7.04766369,0.44810572,0.60413855,0.43719703,0.00497244,9.93256092,-0.11320821,1.18531203,0.19161794,3.33592558,-0.05166185,0.24378468,0.27993155,7.20614815,0.27509251,0.14909908,0.69948435,0.01001255,15.70164299,-0.13484336,1.41919279,0.18951714,2.71507597,-0.07626961,0.44230562,0.29774621,6.91069031,0.07692242,0.01371251,0.90680526,0.01641058,16.68910789,-0.13422021,1.20610952,0.22024707,3.15260625,-0.06893191,0.30893332,0.32520601,7.04766369,0.44810572,0.60413855,0.43719703,
0.00,0.00,6.00,0.00,216.00,3.84195304,2.74731565,3.93321514,4.88969851,3.85304546,81.75502014,0.00000000,4.58,0.00000000,2.36482668,2.75836229,3.48243022,2.84482408,1.72417355,2.44365573,3.76919293,2.65817285,-2.15545678,15.22303867,0.00010229,3.80745268,4.50216579,4.05628824,3.91124463,4.15966225,3.03762317,2.80416417,5.17313910,-0.94946516,2.91191101,0.08825549,3.01874924,3.97250772,3.84301782,3.28281021,3.95377135,5.93653059,4.51957846,2.18877077,-1.06706381,3.64538479,0.05652678,1.00007915,0.68173814,-0.31834105,7.38435316,0.00697649,0.29420891,0.78024113,0.48603225,0.34136716,4.67,4.59,0.00836318,24.44460297,0.05365503,0.41120866,0.03086442,0.13479070,-0.06731222,0.65954137,0.01721653,0.04286696,0.76316988,1.06483734,0.30237739,0.01132425,34.99658203,0.05335892,0.32571986,0.01280322,0.01848983,-0.10156333,1.18913889,-0.02259610,0.05827098,0.31910515,0.19657119,0.65760389,0.01605427,32.56685638,0.06263480,0.33362776,0.01788778,0.02627284,-0.11293098,1.07932913,-0.02289656,0.04360173,0.78262472,1.35593927,0.24453513,0.00951080,33.05033493,-0.03848146,0.12451882,0.01358340,0.01519204,-0.12687333,1.33736563,0.04748227,0.18854909,0.22170882,0.08807656,0.76670174,0.01441135,29.29055214,-0.03809955,0.10202920,0.02431243,0.04019895,-0.13227923,1.19807720,0.05533467,0.21492048,0.80993313,1.37261307,0.24165749,0.02237412,27.86486435,-0.02313774,0.03226398,0.05689933,0.18904099,-0.11537719,0.77748787,0.06794187,0.27637625,1.46954811,5.83690691,0.01588132,0.00951080,33.05033493,-0.03848146,0.12451882,0.01358340,0.01519204,-0.12687333,1.33736563,0.04748227,0.18854909,0.22170882,0.08807656,0.76670174,0.01441135,29.29055214,-0.03809955,0.10202920,0.02431243,0.04019895,-0.13227923,1.19807720,0.05533467,0.21492048,0.80993313,1.37261307,0.24165749,0.02237412,27.86486435,-0.02313774,0.03226398,0.05689933,0.18904099,-0.11537719,0.77748787,0.06794187,0.27637625,1.46954811,5.83690691,0.01588132,
0.00,0.00,2.00,0.00,217.00,4.67116785,2.12508750,2.95233321,4.25946379,3.50201297,66.35506439,0.00000000,4.62,0.00000000,2.91894031,1.58531153,4.27696800,0.16446722,1.94876075,3.31751537,1.46255469,1.37382662,-2.19870710,15.68030930,0.00008062,2.74899197,2.20448089,2.21741080,5.21813440,2.19687819,2.47072172,3.23521781,3.41305113,-1.28023064,5.21539354,0.02260846,5.77451944,5.64119244,4.54909039,5.97142363,3.27552891,3.43296981,4.52651167,4.08409309,0.41218507,0.53400993,0.46510661,1.06869841,0.75410867,-0.31458977,8.09570599,0.00475427,-0.73240060,-0.35183874,0.38056183,0.26439953,6.28,0.00,0.00894202,27.68778992,0.12281934,2.13438559,-0.04403591,0.27167237,0.10893770,1.71131623,0.05404742,0.41812649,0.06275885,0.00713964,0.93267960,0.01098964,32.46265793,0.13213630,1.96738362,-0.05709682,0.36174473,0.10620195,1.28068483,0.03115185,0.10908448,-0.07858219,0.01168105,0.91395594,0.01611164,32.37276840,0.14834678,1.84723735,-0.07057929,0.40404007,0.11863858,1.17561495,0.02988503,0.07328628,0.28061950,0.17204346,0.67839582,0.00954717,32.88538742,0.05092099,0.21535644,-0.07373472,0.44359747,0.11215715,1.03196228,0.10612620,0.93017417,-0.29098323,0.14982918,0.69878544,0.01624777,37.06248856,0.04900892,0.16801594,-0.09017856,0.55099618,0.11593603,0.91613978,0.11032847,0.85052299,-0.06418107,0.00850246,0.92655163,0.02328679,29.86527061,0.08176346,0.39774984,-0.05332529,0.16420023,0.16644314,1.60090637,0.12978637,0.99758524,0.87911612,2.06672144,0.15087449,0.00954717,32.88538742,0.05092099,0.21535644,-0.07373472,0.44359747,0.11215715,1.03196228,0.10612620,0.93017417,-0.29098323,0.14982918,0.69878544,0.01624777,37.06248856,0.04900892,0.16801594,-0.09017856,0.55099618,0.11593603,0.91613978,0.11032847,0.85052299,-0.06418107,0.00850246,0.92655163,0.02328679,29.86527061,0.08176346,0.39774984,-0.05332529,0.16420023,0.16644314,1.60090637,0.12978637,0.99758524,0.87911612,2.06672144,0.15087449,
0.00,0.00,1.00,0.00,209.00,0.05065564,0.66746032,1.13399720,1.36810422,0.80505437,2.94553995,0.08643955,5.05,0.10460122,-0.00248968,-1.08680511,0.59045672,1.32498670,0.19792891,2.99008989,0.83006454,0.61071032,-0.71532661,1.38907456,0.23885750,2.40454888,1.88839662,1.62935674,0.57923001,0.08656011,-1.47443759,1.67426050,2.49256945,-0.19186999,0.09867353,0.75349648,-0.86436057,1.35875237,1.06910372,1.92089283,-2.78574562,1.30364859,0.07172201,-1.72889507,-1.34599733,4.81535053,0.02844958,-0.01712845,-0.42727754,-0.41014910,13.39976501,0.00029913,-0.97616303,-1.83926249,-0.86309952,0.93742436,6.28,0.00,0.00536014,8.12709713,0.06372531,0.46935561,-0.00470330,0.00246754,-0.06776891,0.54098898,-0.05140010,0.30889088,-1.12654960,1.87779629,0.17090889,0.00570090,7.09465456,0.07003749,0.44885477,-0.00228602,0.00044818,-0.07934312,0.58054572,-0.06722906,0.41262668,-0.94188231,1.37031806,0.24205111,0.00810902,6.65848541,0.07760809,0.41056505,-0.00396989,0.00104526,-0.09475659,0.60894138,-0.07849704,0.41078904,-0.70864642,0.89093882,0.34546326,0.00523646,8.03669167,0.02080000,0.02923249,-0.00782415,0.00403722,-0.09365736,0.58464980,-0.03933514,0.10384636,-1.16420889,1.94900715,0.16302037,0.00756189,6.48348331,0.02449086,0.03395979,-0.00221786,0.00029855,-0.09441203,0.49073759,-0.04275400,0.10314819,-0.76250863,0.97811651,0.32291634,0.00860513,3.30735230,0.05436287,0.14261408,0.03431937,0.05512626,-0.07183477,0.24178183,-0.03275644,0.05148093,-0.09999948,0.02164877,0.88305654,0.00523646,8.03669167,0.02080000,0.02923249,-0.00782415,0.00403722,-0.09365736,0.58464980,-0.03933514,0.10384636,-1.16420889,1.94900715,0.16302037,0.00756189,6.48348331,0.02449086,0.03395979,-0.00221786,0.00029855,-0.09441203,0.49073759,-0.04275400,0.10314819,-0.76250863,0.97811651,0.32291634,0.00860513,3.30735230,0.05436287,0.14261408,0.03431937,0.05512626,-0.07183477,0.24178183,-0.03275644,0.05148093,-0.09999948,0.02164877,0.88305654,
