x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L0 p-val
0.00,0.00,15.00,0.70,76.00,-1.31446028,-2.08137488,-3.45137739,-1.92223942,-2.19236302,4.68809223,0.03061965,10.89,0.02329913,-7.95880270,-1.45841944,2.04656577,4.55116701,-2.28342915,-4.28804779,-0.75109875,-5.83775377,-0.08889648,0.00464898,0.94565400,-12.36284447,-6.40961409,3.58762598,-11.77355194,-0.30194026,-0.58069247,-1.39806676,0.74640572,-1.61470568,1.54042494,0.21486192,2.08096218,3.55360818,-5.88780928,-1.81749392,-0.03195341,1.01250589,-9.93524647,0.07836182,0.56240720,0.18157497,0.67012005,11.40191841,8.55179214,-2.85012579,17.52002335,0.00003777,8.04590988,11.29906559,3.25315595,3.38749051,1.00,0.89,-0.00532565,1.72698438,-0.18360677,0.83876950,0.29108712,2.08745956,0.06329874,0.10159489,-0.47990534,5.79702520,-0.13316125,0.00566562,0.94001550,-0.00547072,1.40691125,-0.19725607,0.76676857,0.32788953,2.08668876,0.07268403,0.10494248,-0.51778907,5.27028704,-0.39120641,0.05089485,0.82156200,-0.01042071,2.37135863,-0.22976823,0.77602595,0.40196553,2.29484439,0.10553174,0.16288236,-0.58197403,4.86933899,-0.12939465,0.00644058,0.93605276,-0.01067954,7.24070740,-0.13388404,0.26202527,0.48427042,3.36720276,0.18157913,0.47598559,-0.62705564,5.71428871,1.91021204,1.13652241,0.28665950,-0.01877082,8.67896461,-0.13143328,0.21202376,0.54646230,3.55011702,0.21860555,0.57147181,-0.66615182,5.44023514,1.77347910,1.14949441,0.28392758,-0.02297866,5.12038755,-0.18188180,0.34662259,0.52588803,2.81258535,0.16450042,0.27535984,-0.73606974,5.64991570,0.28126794,0.03727889,0.84693966,-0.01067954,7.24070740,-0.13388404,0.26202527,0.48427042,3.36720276,0.18157913,0.47598559,-0.62705564,5.71428871,1.91021204,1.13652241,0.28665950,-0.01877082,8.67896461,-0.13143328,0.21202376,0.54646230,3.55011702,0.21860555,0.57147181,-0.66615182,5.44023514,1.77347910,1.14949441,0.28392758,-0.02297866,5.12038755,-0.18188180,0.34662259,0.52588803,2.81258535,0.16450042,0.27535984,-0.73606974,5.64991570,0.28126794,0.03727889,0.84693966,
0.00,0.00,17.00,0.76,83.00,4.14177036,4.25737953,6.24399805,6.74606037,5.34730196,18.83449364,0.00001578,13.25,0.00005182,7.03754187,-3.64567924,9.44618225,10.32825851,-1.45485616,4.91311979,2.51278949,6.29515362,-2.64318490,2.77745581,0.09593060,0.20164590,3.85761881,6.99982691,4.52979279,1.99406099,15.31758976,10.33401203,6.47179890,-0.54271078,0.11518907,0.73438732,2.38802147,10.46265793,7.19043779,-6.05046558,10.42654228,-4.97778273,2.16725421,10.55476952,-2.64187574,2.73827124,0.09830206,11.10502815,8.08722401,-3.01780438,20.88582802,0.00000723,9.23893070,12.92954540,3.69061518,2.18528366,1.00,0.89,-0.00099429,0.04055141,-0.28923586,1.40067005,0.59793508,5.92717791,0.07204432,0.08864123,0.10770898,0.19651838,5.41647339,6.28798151,0.01232197,0.00424684,0.57128781,-0.31430280,1.31175935,0.62296671,5.07568550,0.04390111,0.02575478,0.08143761,0.08784374,3.75588417,3.16194105,0.07569363,0.00101678,0.01516527,-0.37695834,1.40517092,0.76503533,5.59234619,0.09136896,0.08215246,0.13933298,0.18778941,4.85714245,6.07217550,0.01390909,-0.00878036,3.28358197,-0.26414403,0.68419909,0.90717196,7.92713165,0.21679029,0.45517665,0.18240154,0.32436877,8.30376053,14.40824890,0.00015649,-0.00651231,0.69810820,-0.34242067,0.96178401,0.90901077,6.56407213,0.16573033,0.21955650,0.16915284,0.23446520,6.38269758,9.94869232,0.00166026,-0.01484060,1.43383157,-0.36418551,0.93287098,1.00585210,6.90753031,0.19210234,0.25208509,0.19910203,0.27750179,6.56281233,13.61493683,0.00023716,-0.00878036,3.28358197,-0.26414403,0.68419909,0.90717196,7.92713165,0.21679029,0.45517665,0.18240154,0.32436877,8.30376053,14.40824890,0.00015649,-0.00651231,0.69810820,-0.34242067,0.96178401,0.90901077,6.56407213,0.16573033,0.21955650,0.16915284,0.23446520,6.38269758,9.94869232,0.00166026,-0.01484060,1.43383157,-0.36418551,0.93287098,1.00585210,6.90753031,0.19210234,0.25208509,0.19910203,0.27750179,6.56281233,13.61493683,0.00023716,
0.00,0.00,20.00,0.00,97.00,12.13530159,1.72116375,2.69381666,4.02712536,5.14435196,2.64388657,0.10427922,34.03,0.10199032,-8.54352188,-3.20500803,-1.81474257,7.16809845,6.34093761,13.89149952,8.88139248,-8.49010849,-2.14345551,0.27450079,0.60045105,-7.96183968,-5.01073599,3.83924890,8.04893208,-10.77938652,31.96910477,-10.43470097,11.12415218,-1.42726004,0.12159851,0.72738471,-0.35498008,25.94169044,-7.53574085,18.06006432,25.43586349,12.28378487,18.09697151,4.68234301,7.71412754,3.48434806,0.06226062,12.00943089,10.26582909,-1.74360144,3.64078975,0.05737100,16.16035652,5.66806602,-10.49229050,6.17303753,1.00,0.89,0.03900865,9.52005768,-0.29206505,0.21803679,0.64186656,1.04287207,-1.03036761,2.76610351,-0.31795105,0.26143244,-8.61785889,2.43047500,0.11933024,0.04259902,8.76601219,-0.36341277,0.26743838,0.77928996,1.21119547,-1.17770267,2.83042479,-0.39748567,0.31916994,-7.65105915,2.00092149,0.15753162,0.06533278,9.57736683,-0.45539901,0.31320316,0.84905362,1.05195177,-1.42832506,3.06585431,-0.51687950,0.39462748,-6.76306963,1.79800630,0.18027457,0.02247726,3.25409031,-0.68317902,0.69210011,1.08955359,1.72919881,-1.16689670,1.99428308,-0.14182118,0.02965242,-3.09529281,0.30272809,0.58230666,0.02941679,2.15745521,-0.69703990,0.60372192,1.27036750,1.94182515,-1.23380589,1.84257030,-0.11227607,0.01564972,-0.76066720,0.02142646,0.88365425,0.08721537,7.53796864,-0.89230412,0.85240018,1.18188405,1.45168960,-1.54508448,2.48230267,-0.23839591,0.06053108,-3.60379291,0.62495965,0.42940770,0.02247726,3.25409031,-0.68317902,0.69210011,1.08955359,1.72919881,-1.16689670,1.99428308,-0.14182118,0.02965242,-3.09529281,0.30272809,0.58230666,0.02941679,2.15745521,-0.69703990,0.60372192,1.27036750,1.94182515,-1.23380589,1.84257030,-0.11227607,0.01564972,-0.76066720,0.02142646,0.88365425,0.08721537,7.53796864,-0.89230412,0.85240018,1.18188405,1.45168960,-1.54508448,2.48230267,-0.23839591,0.06053108,-3.60379291,0.62495965,0.42940770,
0.00,0.00,11.00,0.59,117.00,-25.89235115,-52.69845963,-13.84842777,-39.78443527,-33.05591965,1.97629285,0.16010709,252.90,0.19134416,3.02220464,6.61654711,-16.68477821,-53.17472458,-59.54489899,-11.72736835,-35.86914062,-234.13388062,-14.08548069,0.21536687,0.64269969,16.81650162,9.31763363,-76.38707733,-15.20981026,-21.63868904,26.80086327,-25.40568352,-23.61886024,25.79730034,0.70516205,0.40126653,-13.16584873,20.94472885,-64.36531067,-6.02832127,-105.96492767,-8.36912918,-47.19445419,8.94440937,14.18778610,0.21089299,0.64617378,10.62515450,6.33884525,-4.28630924,60.89936447,0.00000000,3.48842216,3.30569601,-0.18272619,0.00004023,1.14,0.97,-0.08876853,0.88048345,2.77002501,0.35031807,3.96838140,0.71194845,0.76275468,0.02704061,-1.05682886,0.05160099,-3.08950925,0.00562590,0.94022575,-0.12601192,1.37148678,3.20641088,0.37224254,4.86247110,0.84314448,1.16855752,0.04981392,-0.73870486,0.01973188,3.30999136,0.00671852,0.93469056,-0.15369053,0.94635069,3.75938630,0.38109341,5.48625946,0.78426957,1.13893032,0.03478786,-1.04760718,0.02891930,-6.52541447,0.02994781,0.86264561,-0.03507414,0.14229201,4.16765785,0.46266058,4.48393965,0.52612984,0.50784326,0.00677005,-2.03488564,0.10965068,-21.79034805,0.26947227,0.60380703,-0.05865646,0.15426072,4.53745031,0.46000162,4.91902018,0.52359188,0.57582873,0.00719319,-2.20494199,0.10850235,-22.83270073,0.34672394,0.55611364,-0.13825534,0.33874890,5.00616074,0.47985899,5.55494547,0.57356966,0.77481836,0.01112436,-2.19027233,0.09141323,-20.78793716,0.37188014,0.54212719,-0.03507414,0.14229201,4.16765785,0.46266058,4.48393965,0.52612984,0.50784326,0.00677005,-2.03488564,0.10965068,-21.79034805,0.26947227,0.60380703,-0.05865646,0.15426072,4.53745031,0.46000162,4.91902018,0.52359188,0.57582873,0.00719319,-2.20494199,0.10850235,-22.83270073,0.34672394,0.55611364,-0.13825534,0.33874890,5.00616074,0.47985899,5.55494547,0.57356966,0.77481836,0.01112436,-2.19027233,0.09141323,-20.78793716,0.37188014,0.54212719,
0.00,0.00,14.00,0.66,88.00,2.61098194,-1.67361796,-0.77685690,1.15481699,0.32883099,0.02694406,0.86965062,21.53,0.95973541,0.60512406,-12.88025284,8.96021271,-4.08188534,-2.83646274,5.08700848,-2.46305275,-4.78929186,-3.10522985,1.44393992,0.22980325,1.39912331,-14.50231075,5.07678747,-11.54571056,2.86282253,-0.93365675,2.57273221,8.45641804,-1.85726106,0.51197350,0.47446216,4.10595894,-0.33608896,10.00726891,-9.66728878,-14.36892509,12.32647324,7.94633532,9.40257072,1.72985709,0.44139171,0.50661323,10.33387661,5.67098904,-4.66288710,82.26793671,0.00000000,-3.89561605,-10.62724400,-6.73162794,4.93058538,1.14,0.97,0.00836308,1.08407855,0.38739771,0.95054358,-0.34060028,0.72752637,-0.22999856,0.34147459,-0.90395015,5.23559380,-2.15482616,0.37648082,0.53963972,0.00474658,0.26953653,0.43586713,0.95284271,-0.32289368,0.51503414,-0.22804551,0.26285541,-0.98263484,4.83063126,-0.62149644,0.03268499,0.85657110,0.02557369,3.64392400,0.50119406,0.94205528,-0.56153280,1.14260018,-0.42409751,0.67111248,-1.30994332,6.29432535,-3.87919950,1.46888840,0.22582282,-0.00677307,0.73665649,0.56464052,1.17871594,-0.20797448,0.15709659,-0.13337541,0.06494898,-1.06203115,4.14605236,3.31628776,0.86642343,0.35218408,-0.02230225,3.10265660,0.68096966,1.44151163,-0.10222777,0.03147004,-0.02671674,0.00216808,-1.10062218,3.76083374,5.33915138,2.63829279,0.10464765,-0.04565599,5.14998484,0.74675804,1.48849618,-0.08032060,0.01672394,-0.00870099,0.00019753,-1.16622257,3.61342382,5.42898941,3.53586173,0.06036119,-0.00677307,0.73665649,0.56464052,1.17871594,-0.20797448,0.15709659,-0.13337541,0.06494898,-1.06203115,4.14605236,3.31628776,0.86642343,0.35218408,-0.02230225,3.10265660,0.68096966,1.44151163,-0.10222777,0.03147004,-0.02671674,0.00216808,-1.10062218,3.76083374,5.33915138,2.63829279,0.10464765,-0.04565599,5.14998484,0.74675804,1.48849618,-0.08032060,0.01672394,-0.00870099,0.00019753,-1.16622257,3.61342382,5.42898941,3.53586173,0.06036119,
0.00,0.00,14.00,0.68,85.00,-7.29123259,-5.91702271,-10.00362682,-10.51709080,-8.43224335,15.20067692,0.00010343,23.26,0.00030762,-7.73633051,-20.15851021,5.61433935,16.08981705,-12.70397854,-13.15841961,-5.97661924,-6.15274811,4.55238962,2.70951438,0.10008316,-21.06071854,-12.09540844,-10.62510872,-15.55206299,-0.95859039,2.00384593,-10.59626484,-12.69732094,0.25621930,0.00833192,0.92728994,-8.90545559,8.13913918,-16.23482704,-8.50818253,-0.73022962,-9.66888714,-17.37936020,-6.24039888,2.98587632,1.11614704,0.29101904,12.38156033,9.78948498,-2.59207559,14.62644386,0.00016059,-0.99068934,10.22733116,11.21802044,15.36276054,1.04,0.88,-0.01464887,2.85795212,-0.36589223,0.72865444,0.30462530,0.50007683,0.44486016,1.09760046,-0.82695413,3.76493979,-2.99536157,0.62512422,0.42934698,-0.01964183,3.97225213,-0.39105025,0.65999389,0.38774267,0.63913655,0.53242218,1.23295069,-0.82626319,2.93941927,-2.29652977,0.38422602,0.53549897,-0.04108670,8.09934902,-0.44367766,0.63569695,0.57278723,1.02376020,0.72848469,1.70536137,-0.82083118,2.12817836,-0.70041239,0.04131946,0.83896611,-0.03736563,19.60700417,-0.09479225,0.02905905,0.78447926,1.95457911,0.94551075,2.85483646,-0.99392879,3.17580414,5.59256172,2.15495467,0.14244199,-0.06125823,20.43693733,-0.09888812,0.02650080,0.86723799,1.97689116,1.05528605,2.94451451,-1.06824255,3.09307981,4.22957993,1.44549835,0.22955156,-0.09214234,18.22740746,-0.18613100,0.08032820,0.81614298,1.49968863,1.00331688,2.26761246,-1.14828062,3.04400396,1.10510087,0.12730075,0.72132661,-0.03736563,19.60700417,-0.09479225,0.02905905,0.78447926,1.95457911,0.94551075,2.85483646,-0.99392879,3.17580414,5.59256172,2.15495467,0.14244199,-0.06125823,20.43693733,-0.09888812,0.02650080,0.86723799,1.97689116,1.05528605,2.94451451,-1.06824255,3.09307981,4.22957993,1.44549835,0.22955156,-0.09214234,18.22740746,-0.18613100,0.08032820,0.81614298,1.49968863,1.00331688,2.26761246,-1.14828062,3.04400396,1.10510087,0.12730075,0.72132661,
0.00,0.00,15.00,0.73,64.00,1.12804747,0.36681405,1.70391583,5.47383547,2.16815329,2.45939493,0.11715538,14.87,0.27801001,4.01190281,-12.09470844,5.61238241,5.31282091,-10.84777069,3.38454413,2.59333825,6.38531160,-5.36725998,9.21534157,0.00246559,-3.23577666,-0.23594499,-5.60805702,6.19285202,-1.73384690,10.48910046,6.81861067,0.89210409,-3.77282667,4.42558384,0.03566721,7.22320986,5.87031794,-1.98272038,-15.20824814,12.47408199,-4.21585798,3.99887085,-0.68142980,-4.32862234,5.87527275,0.01554140,11.99348640,9.22993183,-2.76355457,18.05020142,0.00002905,13.77376556,14.65073490,0.87696946,0.13238379,1.04,0.88,-0.00945077,2.89491749,-0.02626846,0.00911623,0.23395352,0.71778327,0.19322255,0.50392884,0.39356148,2.07527924,5.24495125,4.66401482,0.03105099,-0.00408281,0.41632324,-0.01333375,0.00184607,0.20413271,0.42972437,0.17841785,0.33584821,0.40073702,1.67725825,3.09897113,1.69722319,0.19296756,-0.00325901,0.12310842,-0.03249166,0.00827103,0.20389104,0.31334201,0.18631221,0.26945773,0.45395705,1.57224691,2.47503257,1.24366152,0.26504888,-0.01736460,10.20507526,0.17729564,0.24490854,0.45187643,1.56296682,0.39140308,1.17902815,0.54054445,2.26371193,8.29675102,11.42996311,0.00075217,-0.02041038,5.43632030,0.14264578,0.13229147,0.40716884,1.04417479,0.35643396,0.80488187,0.55219322,1.98038602,6.02901793,7.03776836,0.00811413,-0.03018453,4.69561672,0.11114832,0.06881081,0.39217889,0.83129227,0.33852693,0.61970937,0.59658992,1.97257662,4.94062138,6.10850477,0.01362785,-0.01736460,10.20507526,0.17729564,0.24490854,0.45187643,1.56296682,0.39140308,1.17902815,0.54054445,2.26371193,8.29675102,11.42996311,0.00075217,-0.02041038,5.43632030,0.14264578,0.13229147,0.40716884,1.04417479,0.35643396,0.80488187,0.55219322,1.98038602,6.02901793,7.03776836,0.00811413,-0.03018453,4.69561672,0.11114832,0.06881081,0.39217889,0.83129227,0.33852693,0.61970937,0.59658992,1.97257662,4.94062138,6.10850477,0.01362785,
0.00,0.00,19.00,0.84,87.00,3.94226074,1.22316849,8.02524281,2.80469871,3.99884272,5.66542768,0.01749810,18.07,0.02372873,-12.34824944,6.30063438,1.63894451,-2.92859387,6.37469912,5.73455763,-4.05087709,6.88894224,-1.45220017,0.45154551,0.50176583,0.28323364,4.63692904,-2.85585928,7.06118488,15.01640797,13.96859455,13.90307999,11.37259769,5.16952562,5.62788630,0.01787591,-4.11887503,3.38655376,17.30122566,-5.47526026,3.42043591,3.01475000,-0.28263697,14.31925488,1.15040648,0.27738342,0.59854470,10.82040787,7.67211962,-3.14828849,23.99872589,0.00000161,32.70571136,25.49389458,-7.21181536,5.57838440,1.09,0.93,0.01257291,3.50484920,-0.38089582,1.31441224,-0.31823313,0.90847015,-0.13503170,0.16841581,0.81283665,6.05556107,-0.64437926,0.04819918,0.82627421,0.02780247,13.37224483,-0.41376266,1.24152434,-0.51372927,1.88501823,-0.28817073,0.60693383,0.72935075,3.84827089,-4.55937958,2.54461360,0.11100393,0.03564993,10.16892529,-0.48741046,1.27941048,-0.56691718,1.67246532,-0.30582517,0.50113547,0.87681180,4.04976749,-2.70497847,1.02568054,0.31143349,0.01471435,4.98093891,-0.65782213,2.29202628,-0.47038555,1.15122426,-0.23937753,0.29980090,1.09663236,6.33318853,-1.59367406,0.28665587,0.59249698,0.02681810,6.42123175,-0.73777854,2.42179680,-0.54622084,1.28556275,-0.28862143,0.36109731,1.17973769,6.18444967,-1.60762262,0.34229013,0.55864936,0.02961230,3.08351231,-0.73809135,2.06966877,-0.47356623,0.82708037,-0.19830415,0.14515607,1.31550658,6.54373693,0.85403544,0.12453997,0.72424012,0.01471435,4.98093891,-0.65782213,2.29202628,-0.47038555,1.15122426,-0.23937753,0.29980090,1.09663236,6.33318853,-1.59367406,0.28665587,0.59249698,0.02681810,6.42123175,-0.73777854,2.42179680,-0.54622084,1.28556275,-0.28862143,0.36109731,1.17973769,6.18444967,-1.60762262,0.34229013,0.55864936,0.02961230,3.08351231,-0.73809135,2.06966877,-0.47356623,0.82708037,-0.19830415,0.14515607,1.31550658,6.54373693,0.85403544,0.12453997,0.72424012,
0.00,0.00,21.00,0.90,86.00,-9.86220741,-10.40476418,-1.77157986,-9.15979385,-7.79958630,13.02249336,0.00032377,23.25,0.00064083,-12.80489826,-2.72192836,-21.55981827,-20.01395416,-6.71854782,-0.07912823,-12.02436733,-9.21146679,-1.15455914,0.17164183,0.67875059,-6.51019478,-12.91712093,-3.60004187,1.76931703,-3.22133660,-3.56201577,9.87096024,4.08964920,7.55004740,7.21445942,0.00735842,-2.34298682,-18.24447250,4.47731400,-10.46551132,-13.77671909,-14.52177048,-14.94612694,-8.26725578,-0.53397191,0.03565431,0.85027162,12.44252682,11.69598007,-0.74654675,0.70600849,0.40146668,41.60463333,48.76403046,7.15939760,3.58182621,1.09,0.93,-0.00413530,0.22634232,-0.32580951,0.57402742,0.33118612,0.58734828,-0.10380903,0.05944005,0.42664325,0.99581671,-6.43467283,2.86610723,0.09079164,-0.00368173,0.13856845,-0.35135370,0.52897775,0.38273290,0.61818540,-0.12276410,0.06503091,0.47163197,0.95072728,-6.80177593,3.34623766,0.06767245,-0.01305730,0.80926478,-0.41200623,0.54234743,0.51853019,0.83009845,-0.08329545,0.02195376,0.61922729,1.19838393,-5.50911951,2.52412224,0.11245023,-0.01406541,2.72014046,-0.26106909,0.21571670,0.61786669,1.18711531,0.02676368,0.00224471,0.63385993,1.26455784,-2.72196579,0.49978486,0.47976822,-0.01716898,1.56860447,-0.33405906,0.29594198,0.61195320,0.96181136,-0.02511024,0.00156939,0.65710795,1.14363635,-4.42300081,1.54461527,0.21423912,-0.04144010,3.61958027,-0.35091734,0.28040820,0.72236466,1.15342593,0.00290623,0.00000000,0.73640746,1.22914517,-3.69474864,1.39709795,0.23750616,-0.01406541,2.72014046,-0.26106909,0.21571670,0.61786669,1.18711531,0.02676368,0.00224471,0.63385993,1.26455784,-2.72196579,0.49978486,0.47976822,-0.01716898,1.56860447,-0.33405906,0.29594198,0.61195320,0.96181136,-0.02511024,0.00156939,0.65710795,1.14363635,-4.42300081,1.54461527,0.21423912,-0.04144010,3.61958027,-0.35091734,0.28040820,0.72236466,1.15342593,0.00290623,0.00000000,0.73640746,1.22914517,-3.69474864,1.39709795,0.23750616,
0.00,0.00,12.00,0.60,90.00,-1.01877260,20.73941994,28.73458862,0.34270871,12.19948673,4.07519293,0.04379666,65.00,0.01657130,35.29612732,17.65268707,6.22697735,-11.38017654,-14.36741734,17.57100677,10.53128242,97.47060394,19.75639153,6.56279230,0.01056708,28.44569969,40.94145584,-9.50555515,14.91860485,13.02414989,26.78365898,4.04536438,112.09236145,29.14210701,14.13214874,0.00018084,30.93172455,37.42139435,-5.64836121,6.33875179,-107.26622009,-1.82602489,5.62456703,16.08015251,-0.59491700,0.00592607,0.93865495,7.92485523,2.72034883,-5.20450640,97.28805542,0.00000000,76.65389252,62.20365524,-14.45023632,4.55203962,1.25,1.04,0.06578664,7.37294626,-0.05356984,0.00201747,0.19554220,0.02634245,-1.13341045,0.91137964,-1.00451148,0.71061212,-10.96492672,1.07139421,0.30089442,0.06087528,4.86448812,-0.10108404,0.00563445,0.43460411,0.10239756,-1.14581108,0.72805184,-1.14336145,0.71758783,-6.04242706,0.33904460,0.56051952,0.13347289,10.92227745,-0.10913976,0.00491836,0.11789220,0.00555485,-1.70994079,1.20059943,-1.72481263,1.20083082,-12.20280361,1.59939122,0.20629999,0.05565197,5.45653391,-0.69422138,0.19552541,0.39391497,0.06183872,-1.44728875,0.83916587,-0.92390954,0.34428349,-8.24624825,0.58778423,0.44346790,0.04771750,1.54806316,-0.50814766,0.08747706,0.85285670,0.23865712,-1.16602945,0.44878536,-0.83273417,0.23464704,2.64017940,0.07029099,0.79097115,0.14286932,5.50766897,-0.70803279,0.14611948,0.60997385,0.10527506,-1.59484673,0.72012740,-1.10751486,0.35592175,-2.13367033,0.05971339,0.80700233,0.05565197,5.45653391,-0.69422138,0.19552541,0.39391497,0.06183872,-1.44728875,0.83916587,-0.92390954,0.34428349,-8.24624825,0.58778423,0.44346790,0.04771750,1.54806316,-0.50814766,0.08747706,0.85285670,0.23865712,-1.16602945,0.44878536,-0.83273417,0.23464704,2.64017940,0.07029099,0.79097115,0.14286932,5.50766897,-0.70803279,0.14611948,0.60997385,0.10527506,-1.59484673,0.72012740,-1.10751486,0.35592175,-2.13367033,0.05971339,0.80700233,
