x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L0 p-val
0.00,0.00,13.00,0.74,114.00,12.35097027,-1.12039089,-0.73070240,24.60589218,8.77644253,4.79204178,0.02884634,40.01,0.12626713,-9.83826447,19.79156113,-23.21979904,-16.08311844,-34.77092361,15.67111397,6.04220390,26.71768379,-26.44836044,26.71126747,0.00000029,7.94336653,15.85291195,0.05330114,-43.78024292,19.62437630,-5.05619001,9.95027924,-11.19053173,-24.73666954,24.09235191,0.00000109,-9.42720985,-5.21458817,3.82510853,26.00940323,30.54430771,-12.36360836,83.66286469,-11.07402611,-11.69376755,5.48641729,0.01938239,3.48550630,3.03632164,-0.44918448,0.72014308,0.39680421,3.45949173,3.36639714,-0.09309446,0.01950621,6.15,1.09,0.11399192,54.35403061,-0.58912390,0.36725491,-1.91364038,3.78160763,-2.54732370,6.60830688,-1.56974244,2.64896584,-16.71467781,9.56513119,0.00204424,0.14832333,43.14741135,-0.62733555,0.31196314,-2.30448627,4.03425264,-2.85908270,6.14599705,-1.84974027,2.71162200,-18.13638687,9.52836609,0.00208516,-0.10084479,4.67213774,-1.28291583,0.92694336,0.14641316,0.01139212,-1.66891873,1.46965516,0.96214741,0.50738180,20.60678291,10.35406399,0.00133808,0.11751540,19.22849083,-1.56184709,1.19748127,-2.42645121,2.68089008,-3.40348721,5.35489368,-1.08829689,0.58430874,-10.89796448,3.02981973,0.08208886,-0.03902632,1.03277814,-1.25237715,0.58562398,-0.23784326,0.01939152,-2.29864454,1.82373679,0.55420595,0.11520001,14.56241131,5.69069338,0.01726111,-0.21039121,29.37029648,-0.88004148,0.22335869,1.09994221,0.32700008,-1.75397325,0.83061278,1.88140357,1.04560018,25.36180878,26.15889549,0.00000038,0.11751540,19.22849083,-1.56184709,1.19748127,-2.42645121,2.68089008,-3.40348721,5.35489368,-1.08829689,0.58430874,-10.89796448,3.02981973,0.08208886,-0.03902632,1.03277814,-1.25237715,0.58562398,-0.23784326,0.01939152,-2.29864454,1.82373679,0.55420595,0.11520001,14.56241131,5.69069338,0.01726111,-0.21039121,29.37029648,-0.88004148,0.22335869,1.09994221,0.32700008,-1.75397325,0.83061278,1.88140357,1.04560018,25.36180878,26.15889549,0.00000038,
0.00,0.00,13.00,0.71,118.00,-4.28679323,-1.57751441,0.03276274,1.53192222,-1.07490575,0.45332441,0.50093236,15.93,0.43796507,-2.03790712,-0.33550352,-8.44791412,-11.88223743,3.97996259,4.22800636,10.60058498,-9.83585072,-3.33260298,2.65476918,0.10359045,1.77596879,-8.41630173,-9.75263977,2.88897419,-2.02781916,-0.18447402,19.81776810,-5.99851799,-1.60742700,0.64881456,0.42075005,-3.60890865,-13.80780697,-9.16947460,2.57414556,3.33028555,-8.28977966,10.21436024,-15.27526474,-5.80530214,8.14818573,0.00440964,3.71358228,3.40664029,-0.30694199,0.38048565,0.53783244,-3.49624634,-4.87089872,-1.37465250,3.96789122,6.15,1.09,0.05371951,78.05715179,0.46464369,1.47720134,-0.80180192,4.29298210,-0.93556166,5.76403618,-0.56391114,2.21057677,-13.51444054,40.43474579,0.00000000,0.06217597,48.09144592,0.55272740,1.53601742,-0.91227251,4.01004362,-1.04664028,5.22417545,-0.59711319,1.79229844,-12.66541862,29.47410011,0.00000007,-0.00026645,0.00022627,0.48857456,0.84377933,-0.20878851,0.14498569,-0.73812723,1.80437315,0.26903042,0.24901560,-0.82952809,0.10527442,0.74566504,0.03747891,12.24260902,0.35228217,0.38135451,-0.83294553,1.97750628,-1.12807238,3.68233824,-0.12925847,0.05158862,-7.50620937,8.99734116,0.00277820,0.00759388,0.24643753,0.52344751,0.64472044,-0.37025869,0.29622290,-0.96622920,2.03067684,0.25757730,0.15682389,-1.73988819,0.51194060,0.47448557,0.01299423,0.68508738,0.59002727,0.61385500,-0.44806227,0.33175692,-1.20386374,2.39273787,0.29586926,0.15814935,-1.77953422,0.78751922,0.37508840,0.03747891,12.24260902,0.35228217,0.38135451,-0.83294553,1.97750628,-1.12807238,3.68233824,-0.12925847,0.05158862,-7.50620937,8.99734116,0.00277820,0.00759388,0.24643753,0.52344751,0.64472044,-0.37025869,0.29622290,-0.96622920,2.03067684,0.25757730,0.15682389,-1.73988819,0.51194060,0.47448557,0.01299423,0.68508738,0.59002727,0.61385500,-0.44806227,0.33175692,-1.20386374,2.39273787,0.29586926,0.15814935,-1.77953422,0.78751922,0.37508840,
0.00,0.00,18.00,0.86,68.00,12.47346306,-2.86362529,-0.25028330,17.13974380,6.62482452,2.35989070,0.12484043,43.04,0.23088622,-17.30706596,22.05617523,-19.08737755,-19.96359253,-46.85538101,15.23918915,4.87695456,34.03306580,-20.46881676,13.96164322,0.00019836,9.57745361,9.92626286,4.84539318,-39.97392273,30.59786797,-15.20009518,5.65810728,-9.89965630,-16.99650192,9.81049538,0.00179141,-8.90146542,-19.18271637,14.40770149,20.81814766,29.99145508,-3.03161669,87.53807068,-11.79300117,-3.65304160,0.46030298,0.49765720,5.09273672,4.05197716,-1.04075933,1.94400346,0.16431291,6.55949306,7.79386711,1.23437428,1.62291348,6.15,1.09,0.09562651,32.24285889,-0.69640183,0.43259299,-1.49770176,1.95256627,-1.60934114,2.22335362,-0.69190502,0.43381104,-15.38090038,6.82731485,0.00912716,0.12415873,25.61220551,-0.80954850,0.44005957,-1.80036974,2.08589005,-1.76135099,1.97600234,-0.81723112,0.44833615,-16.53622627,6.71033525,0.00974059,-0.12114446,5.82681751,-1.42122805,0.98308963,0.54856163,0.13783319,-0.46259931,0.09757992,1.97795773,1.85308385,19.73573685,8.20767975,0.00426842,0.12558147,18.94522858,-1.56885111,1.04243505,-2.24728179,1.98405862,-2.21270156,1.95270908,-0.22618409,0.02180562,-15.40291977,5.22190857,0.02253592,-0.03718005,0.80882615,-1.28282154,0.53014922,0.08524830,0.00210696,-0.90499699,0.24391203,1.63907373,0.86961824,11.28883457,2.95067859,0.08618548,-0.18424246,19.23111725,-0.99486619,0.24365446,1.27163649,0.37313542,-0.21804687,0.01094294,3.00577211,2.27866268,20.35816574,14.39155293,0.00015839,0.12558147,18.94522858,-1.56885111,1.04243505,-2.24728179,1.98405862,-2.21270156,1.95270908,-0.22618409,0.02180562,-15.40291977,5.22190857,0.02253592,-0.03718005,0.80882615,-1.28282154,0.53014922,0.08524830,0.00210696,-0.90499699,0.24391203,1.63907373,0.86961824,11.28883457,2.95067859,0.08618548,-0.18424246,19.23111725,-0.99486619,0.24365446,1.27163649,0.37313542,-0.21804687,0.01094294,3.00577211,2.27866268,20.35816574,14.39155293,0.00015839,
0.00,0.00,7.00,0.48,136.00,12.45636082,1.02789450,0.82932788,23.83039856,9.53599548,5.68377686,0.01732770,39.92,0.06924290,-6.19987440,19.45938301,-24.55619240,-20.11796379,-32.02591324,19.80584145,14.57761097,30.79822922,-23.60716438,21.49404907,0.00000408,10.54447079,15.02622890,2.41315293,-43.84180450,21.91220665,-2.36671662,15.71964169,-13.91442299,-22.32082367,19.77992058,0.00000978,-10.09740925,-7.17419147,1.49862957,24.62983704,28.61520195,-8.53241539,89.28696442,-10.55471230,-10.64221573,4.60340166,0.03217613,0.23090872,0.01227195,-0.21863677,0.22503966,0.63558722,-1.27882314,-0.41175070,0.86707246,1.51521194,6.21,1.10,0.10437660,45.39671707,-0.26252487,0.07257898,-1.78272533,3.26931214,-2.71267486,7.46533203,-1.18110275,1.49393010,-13.73210907,6.43134642,0.01138046,0.14045851,38.73149872,-0.24483675,0.04761968,-2.19900179,3.67702150,-3.12556410,7.35238791,-1.43259811,1.62817168,-15.90320969,7.33358097,0.00689619,-0.06584588,1.99741042,-0.75142837,0.31885108,-0.09211028,0.00448271,-2.22803950,2.62650871,1.05854034,0.61579472,17.67231560,7.63623047,0.00583749,0.10778801,16.21706963,-1.05112720,0.54367799,-2.25847387,2.32834888,-3.73075414,6.45018101,-0.57179022,0.16164193,-8.41643524,1.81154990,0.17866135,-0.02574668,0.45182744,-0.74217772,0.20674768,-0.37922856,0.04959346,-2.90009212,2.91785669,0.92892200,0.32535329,13.75363731,5.10213423,0.02413504,-0.16258352,17.41547203,-0.38989818,0.04354788,0.66499168,0.11872681,-2.65108705,1.88425481,2.13821006,1.34100974,22.61080551,20.64529800,0.00000628,0.10778801,16.21706963,-1.05112720,0.54367799,-2.25847387,2.32834888,-3.73075414,6.45018101,-0.57179022,0.16164193,-8.41643524,1.81154990,0.17866135,-0.02574668,0.45182744,-0.74217772,0.20674768,-0.37922856,0.04959346,-2.90009212,2.91785669,0.92892200,0.32535329,13.75363731,5.10213423,0.02413504,-0.16258352,17.41547203,-0.38989818,0.04354788,0.66499168,0.11872681,-2.65108705,1.88425481,2.13821006,1.34100974,22.61080551,20.64529800,0.00000628,
0.00,0.00,5.00,0.45,136.00,-4.19057465,3.37505221,1.10948682,3.66743684,0.99035031,0.43992913,0.50732557,14.90,0.68577252,19.25839996,1.39866281,-1.67511594,-9.93928146,9.91734695,5.03416300,5.55959797,-5.39065504,-0.54927647,0.08403579,0.77196787,-0.56738997,-11.09149361,-5.80672789,9.00699806,3.12466168,12.61897373,13.79580307,-12.14429855,-2.45482039,1.75256634,0.18589132,-8.06071281,7.78378677,-8.00140858,-6.58941174,-1.83999944,-8.76032925,6.45162106,-12.13996601,-7.91209316,17.13402557,0.00003811,1.04179299,0.77853829,-0.26325470,0.47021529,0.49344167,-1.77344728,-2.45693827,-0.68349093,1.22940075,6.21,1.10,0.00943146,2.53038001,0.09705143,0.06781729,-0.25042966,0.44045681,0.09629270,0.06426157,0.10259698,0.07699751,-1.45273268,0.49140057,0.48348440,0.02920900,11.63209057,0.15857439,0.13857834,-0.48781011,1.25660908,-0.02289812,0.00274283,-0.08375162,0.03866087,-4.78212976,4.60521555,0.03214170,0.04002698,5.29609776,0.17997235,0.13118976,-0.43674040,0.72715318,-0.00735710,0.00019455,0.03117986,0.00382610,-3.44076085,2.07705235,0.14987651,0.01814949,3.24068713,0.00237453,0.00000000,-0.47767878,0.73411405,0.00875304,0.00019411,0.17665634,0.10876483,-2.42972064,1.06409657,0.30255983,0.07249843,26.34447861,-0.16556512,0.07564723,-1.08216083,2.96802545,-0.39461866,0.39728066,-0.16383892,0.07438644,-7.73800278,11.87641525,0.00059480,0.14259267,104.86106873,-0.37654287,0.31777781,-1.60499513,5.41136408,-0.62225449,0.81254673,-0.40581632,0.37809443,-9.70598221,29.77862549,0.00000006,0.01814949,3.24068713,0.00237453,0.00000000,-0.47767878,0.73411405,0.00875304,0.00019411,0.17665634,0.10876483,-2.42972064,1.06409657,0.30255983,0.07249843,26.34447861,-0.16556512,0.07564723,-1.08216083,2.96802545,-0.39461866,0.39728066,-0.16383892,0.07438644,-7.73800278,11.87641525,0.00059480,0.14259267,104.86106873,-0.37654287,0.31777781,-1.60499513,5.41136408,-0.62225449,0.81254673,-0.40581632,0.37809443,-9.70598221,29.77862549,0.00000006,
0.00,0.00,7.00,0.41,135.00,58.24853897,-3.45809555,49.48859406,-3.74937487,25.13241577,2.42765021,0.11956109,160.99,0.11666175,27.20255852,20.45472717,15.67191315,-79.82550049,-58.00916290,34.04279709,-9.15264416,22.05714226,0.63372886,0.00092363,0.97576172,32.95348740,28.47820091,26.88820267,13.83126450,29.90034103,-21.65037155,27.84115791,242.62957764,51.81859207,6.53134537,0.01076268,418.91323853,10.88948154,-25.73590469,30.87044716,57.54150391,-75.01836395,-13.20184326,-1.54761052,52.41125870,6.96209764,0.00846958,1.69022882,1.45686305,-0.23336576,0.46696389,0.49493853,-2.81334853,-5.35325146,-2.53990293,3.63313103,6.12,1.05,-0.04879533,0.58426046,-1.64998949,0.16903223,-1.42953837,0.12384751,5.70673847,1.94565511,10.48569489,6.93389034,28.92357826,1.68018603,0.19523202,-0.05787282,0.38966677,-1.88070560,0.16633771,-1.61592412,0.11769178,6.30059147,1.77051234,11.71713734,6.45421696,28.67289925,1.41272926,0.23491738,0.22586335,1.45049417,-1.75395322,0.10723776,-4.37690973,0.62821907,5.59884071,1.02361369,10.84419727,3.98878765,-5.85617065,0.05176257,0.82007585,-0.15842633,2.13148046,-1.73456788,0.09007765,-0.23073675,0.00150129,9.79063416,2.70268703,15.66029167,7.37914705,45.39316559,3.20612121,0.07369921,-0.07756288,0.25311029,-2.15834856,0.10794619,-2.23085690,0.10587853,9.45300007,1.91372776,16.06737137,6.00905228,26.77553368,1.19368243,0.27488039,0.19315957,1.49035060,-3.41950178,0.20294742,-5.72961998,0.53412849,8.25076580,1.10650587,16.26864815,4.70675325,3.75667739,0.03453817,0.85260860,-0.15842633,2.13148046,-1.73456788,0.09007765,-0.23073675,0.00150129,9.79063416,2.70268703,15.66029167,7.37914705,45.39316559,3.20612121,0.07369921,-0.07756288,0.25311029,-2.15834856,0.10794619,-2.23085690,0.10587853,9.45300007,1.91372776,16.06737137,6.00905228,26.77553368,1.19368243,0.27488039,0.19315957,1.49035060,-3.41950178,0.20294742,-5.72961998,0.53412849,8.25076580,1.10650587,16.26864815,4.70675325,3.75667739,0.03453817,0.85260860,
0.00,0.00,13.00,0.64,99.00,2.19842339,3.06321621,3.34857345,0.94624114,2.38911366,1.16722596,0.28025979,22.07,0.25386604,7.67880583,5.02963352,-20.27236366,17.67459297,-7.46563101,-6.45934105,26.75930023,-3.00783825,1.35223532,0.23359320,0.62899005,-8.63094616,22.02962303,-10.58612919,34.11846542,11.02157784,-12.96193218,9.42056656,-16.97461510,1.38154411,0.26048854,0.60991015,13.44800663,-4.87412691,-16.23690796,-13.62575912,1.78953755,11.33562946,6.52771473,15.37450695,1.12314796,0.15848628,0.69064863,1.55845582,0.74075037,-0.81770551,1.61270916,0.20514005,1.34233034,0.65768540,-0.68464494,1.18849730,6.18,1.14,-0.06330776,55.08872986,0.04171983,0.00606022,1.24098337,5.22584248,0.97996485,3.21366334,0.46113485,0.75115430,17.06903839,32.77758026,0.00000001,-0.04859819,14.76009750,0.00825833,0.00017961,1.14643908,3.18145037,0.93927270,2.11362290,0.14226182,0.05106844,11.39454460,11.98450089,0.00056170,0.07935838,9.55802441,0.23814763,0.10551878,0.13764860,0.03316815,0.36664063,0.23432077,-1.22862971,2.73312712,-6.19896698,3.09529710,0.07885856,-0.05717877,14.88605690,0.23520197,0.08881602,1.63140953,3.96294332,1.32106805,2.63824916,0.00066078,0.00000000,12.31988049,12.66182327,0.00039270,0.03596849,2.88843179,0.00833329,0.00005912,0.43126279,0.20998177,0.58992743,0.39548931,-1.04796791,1.35648704,-2.05833292,0.37432560,0.54081035,0.06899738,10.17064285,-0.19945934,0.03697245,0.44889310,0.17538059,0.73897940,0.47473815,-1.41653347,1.90849388,-2.90435600,1.10458171,0.29354492,-0.05717877,14.88605690,0.23520197,0.08881602,1.63140953,3.96294332,1.32106805,2.63824916,0.00066078,0.00000000,12.31988049,12.66182327,0.00039270,0.03596849,2.88843179,0.00833329,0.00005912,0.43126279,0.20998177,0.58992743,0.39548931,-1.04796791,1.35648704,-2.05833292,0.37432560,0.54081035,0.06899738,10.17064285,-0.19945934,0.03697245,0.44889310,0.17538059,0.73897940,0.47473815,-1.41653347,1.90849388,-2.90435600,1.10458171,0.29354492,
0.00,0.00,0.00,0.63,103.00,11.85347557,-1.98193812,-0.61507505,22.80745316,8.01597881,4.22353172,0.04015365,38.93,0.15797605,-10.63032818,21.13606453,-23.95980644,-15.45367622,-36.39748764,14.47443962,-0.35328051,27.61197090,-25.52609634,26.37604904,0.00000034,7.80279732,17.92538261,1.31362712,-42.63573837,24.85376740,-9.08864594,7.27402878,-13.20905876,-22.91683578,21.94019508,0.00000325,-6.29890013,-8.50588131,11.37965965,23.38340187,27.97699165,-8.92598152,76.04535675,-12.29648209,-10.31810856,4.46179724,0.03493656,2.11907411,1.32379234,-0.79528189,2.02919626,0.15538862,2.78269076,3.31381035,0.53111976,0.74008924,6.15,1.09,0.10916400,52.52427292,-0.37276432,0.15490316,-1.68114901,3.07530475,-2.32005405,5.77613306,-1.57619119,2.81422114,-16.49745750,9.81852055,0.00178357,0.14283599,42.19690704,-0.36664686,0.11238179,-2.02793288,3.29449844,-2.59858060,5.35406542,-1.88450003,2.96805239,-18.00728416,9.90560722,0.00170199,-0.09919395,4.77187538,-0.95268315,0.53956175,0.38751158,0.08402824,-1.40419829,1.09830391,0.81569588,0.38497719,19.51570320,9.80321789,0.00179831,0.10969613,17.65428734,-1.15510511,0.69016820,-2.02318788,1.96390319,-3.03373647,4.48304415,-1.13416076,0.66863179,-10.43523121,2.92717457,0.08744439,-0.03933905,1.10773516,-0.83639491,0.27572083,0.08638249,0.00272916,-1.95897353,1.39816320,0.40362999,0.06451428,13.67698288,5.29858589,0.02157030,-0.21981215,34.00155640,-0.33081305,0.03347090,1.59870243,0.73266691,-1.29418468,0.47967091,1.76306212,0.97387731,25.12962914,27.23792267,0.00000022,0.10969613,17.65428734,-1.15510511,0.69016820,-2.02318788,1.96390319,-3.03373647,4.48304415,-1.13416076,0.66863179,-10.43523121,2.92717457,0.08744439,-0.03933905,1.10773516,-0.83639491,0.27572083,0.08638249,0.00272916,-1.95897353,1.39816320,0.40362999,0.06451428,13.67698288,5.29858589,0.02157030,-0.21981215,34.00155640,-0.33081305,0.03347090,1.59870243,0.73266691,-1.29418468,0.47967091,1.76306212,0.97387731,25.12962914,27.23792267,0.00000022,
0.00,0.00,10.00,0.61,110.00,-2.92449069,-3.25340891,1.42418480,1.06336176,-0.92258829,0.36520314,0.54578211,15.24,0.57118127,-16.68788528,2.70161104,-12.20618439,-11.60573864,4.84900045,5.07945633,6.16358376,-5.62608337,-4.52597332,5.43937445,0.01990793,1.67047668,-5.61574173,-4.06861734,6.37459660,3.05372763,-3.30606556,16.41476250,-5.35369444,0.17087238,0.00790828,0.92915854,0.43391231,-15.22483349,-3.70870423,6.80734491,3.29138637,-6.16096020,9.88663197,-17.85834312,-3.92483687,4.12789392,0.04247579,2.54653597,1.88420439,-0.66233164,1.67487013,0.19664788,-1.52257109,-1.99262893,-0.47005787,0.52954847,6.15,1.09,0.06046474,111.83482361,0.36796370,1.04766655,-0.37509698,1.06254387,-0.78622895,4.60368443,-0.66724211,3.50005436,-15.11699867,57.21552658,0.00000000,0.07287108,74.18721008,0.46780542,1.23570728,-0.39948589,0.86357647,-0.86743319,4.02986717,-0.77508795,3.39153671,-14.71842289,44.70127487,0.00000000,-0.00243231,0.01866759,0.36428329,0.51255506,0.58672023,1.25097549,-0.42487234,0.65324187,0.22763631,0.19477339,-0.62988079,0.06638738,0.79673016,0.03176988,9.58604908,0.26106495,0.22823778,0.10876233,0.03679038,-0.76161247,1.82908785,-0.12148163,0.04972011,-6.52184391,7.40155029,0.00664247,0.00290044,0.03924834,0.38841698,0.38784778,0.66561073,1.04586017,-0.56367952,0.75505155,0.22448216,0.13010670,-1.21359146,0.27208063,0.60206781,-0.01633514,1.18363690,0.52334464,0.52802128,1.04404330,1.96950889,-0.57443649,0.59562582,0.41034982,0.33251289,0.34258723,0.03188310,0.85832465,0.03176988,9.58604908,0.26106495,0.22823778,0.10876233,0.03679038,-0.76161247,1.82908785,-0.12148163,0.04972011,-6.52184391,7.40155029,0.00664247,0.00290044,0.03924834,0.38841698,0.38784778,0.66561073,1.04586017,-0.56367952,0.75505155,0.22448216,0.13010670,-1.21359146,0.27208063,0.60206781,-0.01633514,1.18363690,0.52334464,0.52802128,1.04404330,1.96950889,-0.57443649,0.59562582,0.41034982,0.33251289,0.34258723,0.03188310,0.85832465,
0.00,0.00,10.00,0.59,116.00,78.28330231,-0.70850605,95.88348389,-3.95861006,42.37491608,2.92521858,0.08754815,247.27,0.08142220,29.26899338,30.30979538,35.17740250,-105.30892181,-50.09201813,47.65803528,-21.24320030,31.58036423,4.18063211,0.01700215,0.89628525,51.24524689,46.53493881,41.88467026,33.55506897,35.52837372,-7.70894098,31.59055901,510.71041870,97.49469757,10.06149673,0.00156542,463.00384521,18.92870140,-12.72573471,54.23308563,71.68972015,-62.66189575,10.05482388,16.63292694,72.28235626,5.30533743,0.02148787,2.82249832,2.36483836,-0.45766002,0.96809369,0.32598479,-1.53075659,-2.90594530,-1.37518859,2.20128489,6.09,1.05,-0.09536420,0.94840020,-2.47657323,0.16181839,-7.74307394,1.54355454,17.61720467,7.88019753,1.71221876,0.07857323,55.06541061,2.58818412,0.10801440,-0.14918360,1.10083306,-2.93197179,0.17188765,-8.38192940,1.34598827,20.03557396,7.61176014,2.46857929,0.12178914,61.07657623,2.72533512,0.09911626,0.11412965,0.15705666,-3.06595206,0.13894638,-12.75977612,2.26469278,21.19876671,6.22460461,-0.40895945,0.00242278,21.02744484,0.28310177,0.59480669,-0.16241075,0.95136517,-2.81978893,0.10111215,-9.95463657,1.16883218,27.47819138,9.04191589,2.70111871,0.09321751,60.44648361,2.41460681,0.12055971,0.02230269,0.00890947,-3.78903461,0.14133939,-14.54797935,1.91377902,28.03463745,7.15394306,0.91562217,0.00830339,29.52995110,0.61711735,0.43232728,0.31163675,1.64862537,-5.43303680,0.21773839,-19.69607353,2.68242788,29.09580231,5.84788322,-0.92175496,0.00642904,9.81429386,0.10025670,0.75159522,-0.16241075,0.95136517,-2.81978893,0.10111215,-9.95463657,1.16883218,27.47819138,9.04191589,2.70111871,0.09321751,60.44648361,2.41460681,0.12055971,0.02230269,0.00890947,-3.78903461,0.14133939,-14.54797935,1.91377902,28.03463745,7.15394306,0.91562217,0.00830339,29.52995110,0.61711735,0.43232728,0.31163675,1.64862537,-5.43303680,0.21773839,-19.69607353,2.68242788,29.09580231,5.84788322,-0.92175496,0.00642904,9.81429386,0.10025670,0.75159522,
