x,y,z,d,scale_xy_dist,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L0 p-val
-94.03,-27.59,17.00,0.59,2.64,145.00,6.19523668,6.06202459,6.56306696,6.22617197,6.26162481,518.33264160,0.00000000,2.96,5.19184017,6.71344042,7.66803646,6.58910275,5.63064718,6.71821022,6.13142824,5.76367521,6.28907156,6.29319525,521.87365723,0.00000000,5.26878309,6.73917866,7.95945501,5.44418049,4.27886152,6.56088305,6.68530655,5.64235783,-0.20798996,0.34538499,0.55687738,5.47452641,7.81709576,6.69607735,7.59888554,6.79594421,6.22374153,6.20816183,5.65003920,0.32093525,0.80427229,0.37004701,4.87023830,5.45464230,8.03518295,6.51883602,5.86587620,7.41786098,5.34505224,6.26388264,-0.04256576,0.01399031,0.90587038,1.50461841,-2.62711501,-4.13173342,330.36343384,0.00000000,3.05476093,-3.47956729,-6.53432846,170.25077820,0.90,2.34,0.01359071,184.56942749,0.16781241,11.49850941,-0.00544887,0.01201854,0.03235252,0.43557313,0.03449891,0.49163765,1.13187635,6.69644165,0.00980815,0.01604944,201.69992065,0.17414339,9.95464706,-0.02052225,0.13611636,0.01909799,0.12064250,0.00129745,0.00053589,1.11886597,6.93617344,0.00858440,0.02298130,189.90939331,0.19515030,9.21749306,-0.02554957,0.15264942,0.02226030,0.11930914,-0.00203972,0.00092796,1.74229825,19.12339973,0.00001361,0.01629787,304.01147461,0.03377837,0.30064055,-0.06738716,1.17541039,-0.03410725,0.30275723,0.08425091,1.85967970,-0.05964921,0.01992592,0.88777413,0.02680439,323.59255981,0.03520962,0.27824652,-0.07712004,1.29287541,-0.04075248,0.36318806,0.08802342,1.73685431,0.51477659,1.77080119,0.18360260,0.03388613,181.48426819,0.09721810,1.61392105,0.01482088,0.03639434,0.05259494,0.45871341,0.12758717,2.76662779,2.52882671,49.07733536,0.00000000,0.01629787,304.01147461,0.03377837,0.30064055,-0.06738716,1.17541039,-0.03410725,0.30275723,0.08425091,1.85967970,-0.05964921,0.01992592,0.88777413,0.02680439,323.59255981,0.03520962,0.27824652,-0.07712004,1.29287541,-0.04075248,0.36318806,0.08802342,1.73685431,0.51477659,1.77080119,0.18360260,0.03388613,181.48426819,0.09721810,1.61392105,0.01482088,0.03639434,0.05259494,0.45871341,0.12758717,2.76662779,2.52882671,49.07733536,0.00000000,
-94.03,-27.59,16.00,0.59,2.64,152.00,4.77946568,4.62030315,5.30055094,5.12270880,4.95575714,287.66369629,0.00000000,3.14,4.95369720,4.83663225,4.84381104,4.78888035,4.79571152,4.18536425,4.96374321,5.80561924,5.09098434,4.91335344,276.61621094,0.00000000,4.50036287,4.21427822,4.74084187,4.00866413,4.94311619,5.49824429,5.13965702,3.90804911,-0.50929242,1.81098378,0.17871235,6.36920547,5.62766123,5.21797419,5.82807064,4.51985407,4.03055096,4.83918285,6.11112547,0.20499560,0.29000577,0.59034339,4.19046974,4.53371811,4.62971830,4.92628288,4.55734491,2.96548080,5.11919641,7.32289362,-0.32331583,0.71874052,0.39677157,1.66360176,-2.05063319,-3.71423483,319.45446777,0.00000000,3.20075798,-1.02844095,-4.22919893,63.04714584,0.90,2.34,0.00631259,29.92872238,0.10061169,3.10658360,0.02489989,0.18841015,0.04428807,0.61347455,0.00790871,0.01935721,2.53399253,25.22641182,0.00000061,0.01009370,61.00033188,0.11111942,3.09916663,-0.00713291,0.01259990,0.01857150,0.08727738,-0.03236319,0.26224190,1.72700334,12.63565445,0.00039713,0.01505948,63.15759277,0.12525545,2.94085264,-0.01362016,0.03357279,0.01939526,0.07012297,-0.04360061,0.34856147,2.00493050,19.61225510,0.00001059,0.01075219,96.11114502,0.01982163,0.07517671,-0.04129945,0.32074690,-0.02409283,0.10974316,0.01313275,0.03286993,0.79967743,2.60828185,0.10663928,0.01841844,110.81506348,0.01611173,0.04225368,-0.05648013,0.50285107,-0.03596528,0.20514001,0.00765320,0.00946138,1.03003895,5.14204741,0.02357723,0.02581917,83.86166382,0.04844617,0.31901383,-0.00966177,0.01236244,0.01370070,0.02482965,0.02342366,0.07427941,2.15695190,28.41894531,0.00000012,0.01075219,96.11114502,0.01982163,0.07517671,-0.04129945,0.32074690,-0.02409283,0.10974316,0.01313275,0.03286993,0.79967743,2.60828185,0.10663928,0.01841844,110.81506348,0.01611173,0.04225368,-0.05648013,0.50285107,-0.03596528,0.20514001,0.00765320,0.00946138,1.03003895,5.14204741,0.02357723,0.02581917,83.86166382,0.04844617,0.31901383,-0.00966177,0.01236244,0.01370070,0.02482965,0.02342366,0.07427941,2.15695190,28.41894531,0.00000012,
-93.69,-27.69,17.00,0.57,2.69,143.00,5.73686981,5.48046637,5.87750959,5.55987978,5.66368151,386.76892090,0.00000000,3.10,6.62192249,6.13573790,6.49167776,5.59220171,3.83800769,5.98220682,6.87188768,4.43862200,5.61860132,5.72658634,401.28085327,0.00000000,8.36643124,5.27775002,5.66443443,5.01342916,2.90427852,5.30838490,6.75693083,4.91611290,-0.14146987,0.14766660,0.70086155,7.20128059,7.30385685,7.89325333,5.34300804,3.17048788,5.17176008,6.13096380,5.05727053,0.33407387,0.80907476,0.36862260,4.35050392,5.80834389,5.59419537,5.91785717,5.28684378,7.18663311,7.81146860,3.92348742,0.15848671,0.17871125,0.67257909,1.69084489,-2.55051827,-4.24136305,340.61517334,0.00000000,1.87434161,-2.95639563,-4.83073711,107.35630035,0.91,2.25,0.01120866,105.82607269,0.10387546,3.71392417,0.04409350,0.66264808,0.02518697,0.22255267,0.04081907,0.58015102,1.41619420,8.83697701,0.00302645,0.01176310,88.49700928,0.10447404,2.92634821,0.05448140,0.78381008,0.02806523,0.21283130,0.02766024,0.20462444,1.85049629,15.49685478,0.00008868,0.01847087,102.61902618,0.11428370,2.64425087,0.04834899,0.45730484,0.01966176,0.07784384,0.01318035,0.03437549,2.01018238,21.29361725,0.00000448,0.01185534,124.92386627,-0.00029314,0.00000000,0.03601294,0.26068035,-0.00550863,0.00612165,0.09598817,1.87464249,1.01781809,4.51743889,0.03380878,0.01790010,108.66100311,0.00778936,0.01026902,0.05259010,0.45273000,0.00600259,0.00602747,0.11106278,2.08193278,1.76128423,15.60858059,0.00008367,0.02813788,105.83060455,0.03152016,0.14349104,0.08866923,1.10217607,0.04088414,0.23443922,0.12507339,2.24854589,2.54714251,42.10977936,0.00000000,0.01185534,124.92386627,-0.00029314,0.00000000,0.03601294,0.26068035,-0.00550863,0.00612165,0.09598817,1.87464249,1.01781809,4.51743889,0.03380878,0.01790010,108.66100311,0.00778936,0.01026902,0.05259010,0.45273000,0.00600259,0.00602747,0.11106278,2.08193278,1.76128423,15.60858059,0.00008367,0.02813788,105.83060455,0.03152016,0.14349104,0.08866923,1.10217607,0.04088414,0.23443922,0.12507339,2.24854589,2.54714251,42.10977936,0.00000000,
-93.69,-27.69,16.00,0.58,2.69,160.00,5.09682655,4.92951250,4.88217926,4.36119461,4.81742811,276.77957153,0.00000000,3.11,4.59978676,5.26669836,5.97305107,5.25512886,4.09098530,4.89649963,5.66071939,4.25634766,4.40162182,4.92849350,286.55908203,0.00000000,4.77799416,4.10289860,6.86007690,4.65041399,2.85186815,4.67020941,6.19784021,5.44563055,0.51925021,1.94474649,0.16348113,5.30066061,5.56833935,4.18198490,5.90224075,4.37576818,5.39011192,5.35366821,3.06029940,0.51306123,1.85500693,0.17352606,3.80229282,5.90248108,6.46521854,4.89619303,4.92048645,4.69606829,5.43801498,4.61896944,0.71218705,3.52279663,0.06083750,1.71573639,-2.18298817,-3.89872456,339.01318359,0.00000000,6.10000467,1.80469692,-4.29530764,71.26558685,2.48,2.88,0.01019344,85.11417389,0.09506325,3.02475834,-0.00539946,0.00963575,0.04641250,0.73480690,0.12228456,5.06353092,0.92092693,3.63397574,0.05691327,0.01431946,136.20108032,0.09981481,2.77423763,-0.03824751,0.40123084,0.02044568,0.11734056,0.08493353,2.00376773,0.21887359,0.22519159,0.63522152,0.02109297,137.32276917,0.11039140,2.53169441,-0.05136985,0.52968842,0.02015811,0.08397638,0.09376267,1.78643250,0.66605723,2.39890242,0.12175381,0.01269653,144.75694275,-0.01526259,0.04816071,-0.05844146,0.69360584,-0.00400635,0.00326416,0.18695576,7.18487930,-0.14687982,0.09506157,0.75790608,0.02102211,155.27035522,-0.01981718,0.06874906,-0.06681806,0.75710690,-0.00677796,0.00786364,0.20058247,7.03547430,0.27089855,0.38254309,0.53639377,0.03234793,143.82125854,0.00591753,0.00520817,-0.02951403,0.12556830,0.03934166,0.22320710,0.22494078,7.47846794,1.26352799,10.65481949,0.00113709,0.01269653,144.75694275,-0.01526259,0.04816071,-0.05844146,0.69360584,-0.00400635,0.00326416,0.18695576,7.18487930,-0.14687982,0.09506157,0.75790608,0.02102211,155.27035522,-0.01981718,0.06874906,-0.06681806,0.75710690,-0.00677796,0.00786364,0.20058247,7.03547430,0.27089855,0.38254309,0.53639377,0.03234793,143.82125854,0.00591753,0.00520817,-0.02951403,0.12556830,0.03934166,0.22320710,0.22494078,7.47846794,1.26352799,10.65481949,0.00113709,
-94.34,-27.01,18.00,0.75,2.42,147.00,9.84864807,9.05013466,9.78580284,9.31306934,9.49941349,893.88592529,0.00000000,3.42,9.05305576,9.59385014,10.19386673,10.40441990,8.23771000,9.94450092,9.53450584,9.87434959,9.35266399,9.56697083,892.33374023,0.00000000,8.94743633,7.56525469,11.39360523,9.05025768,6.85070038,8.09762383,10.59972572,10.03513527,-0.31365505,0.59298962,0.44145742,9.96164989,11.10799313,9.03117561,11.30162525,7.22905922,11.55176544,8.53616524,9.70649529,0.47855210,1.35682333,0.24438212,8.22808075,10.05814075,9.67354584,10.59348869,10.49090481,10.30899715,9.48192501,10.08808708,0.50921750,1.49136031,0.22230946,1.72498727,-1.10517931,-2.83016658,256.12573242,0.00000000,3.17521882,1.80605626,-1.36916244,8.86668968,0.00,0.00,0.01656511,213.83782959,0.17047644,9.25431538,0.06216263,1.21836972,0.04899971,0.77918392,0.10476273,3.53563070,3.18934083,41.46391296,0.00000000,0.02030520,257.34127808,0.17410097,7.93087864,0.04801482,0.59406573,0.02572775,0.17449278,0.06372260,1.05977130,2.94833779,38.39097595,0.00000000,0.02839098,227.71630859,0.19229005,7.03118896,0.06058508,0.67448753,0.03650665,0.25225586,0.07696372,1.10171854,3.86234713,73.83461761,0.00000000,0.02032124,381.77230835,-0.00833344,0.01479807,0.00476792,0.00471652,-0.03489489,0.25598887,0.18178304,6.99329472,1.56811309,11.15320206,0.00087154,0.03222621,367.91552734,-0.00657239,0.00763748,0.01211990,0.02512788,-0.03345374,0.19245271,0.19823740,6.92899704,2.53030491,33.65258026,0.00000001,0.04943887,333.11065674,0.03462335,0.17649215,0.07995223,0.91361648,0.03040571,0.13217050,0.22531135,7.43985367,4.07022715,109.63170624,0.00000000,0.02032124,381.77230835,-0.00833344,0.01479807,0.00476792,0.00471652,-0.03489489,0.25598887,0.18178304,6.99329472,1.56811309,11.15320206,0.00087154,0.03222621,367.91552734,-0.00657239,0.00763748,0.01211990,0.02512788,-0.03345374,0.19245271,0.19823740,6.92899704,2.53030491,33.65258026,0.00000001,0.04943887,333.11065674,0.03462335,0.17649215,0.07995223,0.91361648,0.03040571,0.13217050,0.22531135,7.43985367,4.07022715,109.63170624,0.00000000,
-93.96,-26.61,0.00,0.54,2.23,153.00,3.63425350,2.86553526,3.37523842,3.46415806,3.33479619,123.75811005,0.00000000,3.22,2.90660381,3.22846484,2.83573675,3.83651400,3.25453639,3.86118174,3.41765547,3.02480793,3.47958231,3.31280422,119.21228790,0.00000000,2.35358548,4.22588491,2.79733109,4.55167150,1.83077300,2.45737767,2.67751026,2.24206161,-0.58689147,2.30025220,0.12968672,1.75372612,3.21701217,1.86500096,3.97649622,3.68753409,5.14716482,3.95668817,3.28254557,-0.10451932,0.07214808,0.78829297,4.60731077,2.34184265,3.85531139,2.70933294,4.27853107,4.15889978,3.56989145,3.62189674,0.19252448,0.23985533,0.62442405,1.81656444,-0.31194448,-2.12850904,191.69779968,0.00000000,0.91747653,0.23754556,-0.67993098,1.84234965,2.50,3.31,0.00625486,27.93943405,0.10757823,3.37720513,0.02473352,0.17678885,0.06809260,1.37891531,0.05191165,0.79559702,0.89469874,2.99030828,0.08408941,0.00849808,40.34117889,0.11402804,3.04478693,0.00875113,0.01758556,0.05810100,0.79660678,0.03081324,0.22173098,0.55264401,1.20719135,0.27216775,0.01163177,34.87525177,0.12709872,2.80271244,0.01416251,0.03364053,0.07263564,0.91086012,0.03695317,0.23168252,0.98186088,4.35359812,0.03719730,0.00867914,57.43063736,0.04084706,0.29288894,-0.01220076,0.02567154,0.03824742,0.25360370,0.07829214,1.06984198,-0.08958635,0.03004737,0.86241976,0.01419592,59.66314316,0.04298240,0.27255282,-0.01609108,0.03702898,0.04142393,0.24663252,0.08350465,1.02745688,0.23293680,0.23834972,0.62551336,0.02112945,51.82025146,0.06666718,0.55736709,0.01640431,0.03276924,0.07573069,0.69849712,0.09542882,1.13667703,0.97864550,5.39783812,0.02037225,0.00867914,57.43063736,0.04084706,0.29288894,-0.01220076,0.02567154,0.03824742,0.25360370,0.07829214,1.06984198,-0.08958635,0.03004737,0.86241976,0.01419592,59.66314316,0.04298240,0.27255282,-0.01609108,0.03702898,0.04142393,0.24663252,0.08350465,1.02745688,0.23293680,0.23834972,0.62551336,0.02112945,51.82025146,0.06666718,0.55736709,0.01640431,0.03276924,0.07573069,0.69849712,0.09542882,1.13667703,0.97864550,5.39783812,0.02037225,
-94.12,-27.59,4.00,0.31,2.64,188.00,3.38771772,3.21230197,3.58851433,3.40128994,3.39745593,86.38674927,0.00000000,3.93,2.17100549,2.80912709,3.68690920,4.35704708,3.70287657,3.67764425,3.95769382,3.05540586,3.42708755,3.42377257,86.45074463,0.00000000,3.06160760,4.96994448,0.87381446,4.64438438,3.16168046,2.85535240,3.44708228,2.72891593,-0.13862996,0.08647449,0.76877233,2.77053928,3.61897850,4.14804459,2.44053102,4.12322998,3.73772645,4.04616547,3.73388934,0.17492931,0.13431315,0.71408314,0.61183047,0.11753851,5.98895311,5.85504484,3.87461209,4.19567394,4.29666996,2.84586930,-0.02624120,0.00309365,0.95565581,1.66856241,0.00676147,-1.66180098,149.65188599,0.00000000,5.44648027,2.76934409,-2.67713642,21.68415451,2.52,3.25,0.00947863,43.70179749,0.05760390,0.65948629,-0.04044043,0.32183549,0.08821217,1.57619667,-0.01216005,0.02970196,-0.17602395,0.07881948,0.77896483,0.01121696,47.44253540,0.05594443,0.49475151,-0.05587273,0.48604223,0.08450608,1.13756073,-0.03838462,0.23231192,-0.19165644,0.09799550,0.75431728,0.01551137,41.86593246,0.06043235,0.42774996,-0.06005127,0.40812016,0.10339948,1.24597895,-0.04351014,0.21689002,0.34415835,0.36109847,0.54804030,0.01326283,93.07471466,-0.07093087,0.61291218,-0.12665625,1.91965270,0.03456390,0.14374618,-0.00191989,0.00040492,-1.70775580,7.57097006,0.00604459,0.02243881,104.35886383,-0.07981319,0.65797675,-0.14611426,2.13567877,0.02818993,0.07995322,-0.00699949,0.00504824,-1.36815155,5.75629044,0.01662172,0.03032658,73.10009766,-0.04337410,0.16157812,-0.08972765,0.67113501,0.10260530,0.87798947,0.01295728,0.01436397,0.11924320,0.05487434,0.81483931,0.01326283,93.07471466,-0.07093087,0.61291218,-0.12665625,1.91965270,0.03456390,0.14374618,-0.00191989,0.00040492,-1.70775580,7.57097006,0.00604459,0.02243881,104.35886383,-0.07981319,0.65797675,-0.14611426,2.13567877,0.02818993,0.07995322,-0.00699949,0.00504824,-1.36815155,5.75629044,0.01662172,0.03032658,73.10009766,-0.04337410,0.16157812,-0.08972765,0.67113501,0.10260530,0.87798947,0.01295728,0.01436397,0.11924320,0.05487434,0.81483931,
-93.96,-27.47,21.00,0.00,2.59,138.00,3.72151113,3.21379566,4.11774969,4.01412010,3.76679420,224.96838379,0.00000000,2.70,3.18781424,3.33805943,3.98902702,2.47169876,3.91898894,4.79304695,3.47108412,3.94356608,4.01728106,3.67749286,212.31625366,0.00000000,3.06353807,2.83950210,5.11478853,1.67102730,1.99597394,4.85781765,2.97608972,3.20393586,-0.86370367,7.19945335,0.00741972,2.81561208,4.25455046,3.09352303,3.24003005,5.82655907,5.39198208,4.49140024,3.62736797,0.06951596,0.04562947,0.83089674,3.72746992,2.83234429,4.02650166,3.04158068,3.86109591,4.38770771,3.05611682,4.91164827,-0.27570516,0.70192170,0.40235012,1.57973957,-2.40413427,-3.98387384,323.80264282,0.00000000,-0.76295465,-3.84617996,-3.08322549,44.00305176,0.00,0.00,0.01034328,120.48687744,0.05570232,1.42787468,0.04216937,0.81028265,0.06667863,2.08521056,-0.08178803,3.11430740,-0.11956882,0.08425093,0.77168066,0.01208207,127.76779938,0.05350963,1.05057645,0.03902954,0.55048382,0.06248937,1.44382203,-0.11961652,5.23685932,-0.09114400,0.05143939,0.82062614,0.01762705,125.97303772,0.05742820,0.90003002,0.04050217,0.43256444,0.07097015,1.36771977,-0.14383119,5.52184820,0.31686452,0.71319324,0.39859861,0.01188105,172.93020630,-0.05851743,0.96577799,0.02213400,0.13570267,0.04199316,0.49117023,-0.07773367,1.69452560,-0.83962697,4.23709536,0.03982233,0.01961200,184.48345947,-0.06502204,1.01058817,0.02166125,0.10869171,0.04301802,0.43097803,-0.08696973,1.80560851,-0.43537405,1.34897697,0.24574909,0.02416374,102.64138794,-0.02569755,0.12539068,0.09916095,1.81271160,0.12027933,2.66841340,-0.06903638,0.90093905,1.10300434,10.38473511,0.00131390,0.01188105,172.93020630,-0.05851743,0.96577799,0.02213400,0.13570267,0.04199316,0.49117023,-0.07773367,1.69452560,-0.83962697,4.23709536,0.03982233,0.01961200,184.48345947,-0.06502204,1.01058817,0.02166125,0.10869171,0.04301802,0.43097803,-0.08696973,1.80560851,-0.43537405,1.34897697,0.24574909,0.02416374,102.64138794,-0.02569755,0.12539068,0.09916095,1.81271160,0.12027933,2.66841340,-0.06903638,0.90093905,1.10300434,10.38473511,0.00131390,
-93.96,-27.47,17.00,0.67,2.59,149.00,7.35692310,6.18180847,7.14381599,6.67287302,6.83885527,505.73602295,0.00000000,3.27,6.34919834,6.12571907,6.94220209,6.87732220,6.97680807,7.76628780,7.12050629,6.92230606,6.68981123,6.85648775,494.60421753,0.00000000,4.59636736,6.51339483,6.39138222,6.30730200,7.23998165,7.08322334,7.07262564,4.25159836,-0.46725374,1.42271304,0.23325613,7.90598297,6.76734304,6.24059868,5.75214577,6.74471426,7.94554186,7.53781605,8.29136848,0.48272213,1.48711789,0.22296781,6.68062162,5.18599176,8.27194691,8.83162117,7.06790876,8.06958866,6.88851690,8.23648930,0.69823951,3.09151697,0.07902441,1.66384494,-1.66535628,-3.32920122,289.52359009,0.00000000,-0.03088250,-2.48385048,-2.45296812,30.13025093,0.00,0.00,0.01291935,128.61793518,0.04635010,0.67647874,0.03206173,0.32051772,0.04220596,0.57167649,-0.01496255,0.07129405,1.99404299,16.02731133,0.00006731,0.01691636,178.18145752,0.04119284,0.44295892,0.00901922,0.02088022,0.01607450,0.06796724,-0.07024997,1.28498566,1.47710752,9.61289024,0.00198918,0.02073715,117.57331085,0.04109398,0.31085545,0.04240601,0.31982630,0.04694522,0.40358794,-0.05495157,0.54359388,2.77237177,36.81611252,0.00000000,0.01534345,200.54751587,-0.11627398,2.65159512,-0.01174354,0.02661917,-0.01326973,0.03411600,0.01407470,0.03867928,0.91690594,3.51373029,0.06116927,0.02596509,227.78738403,-0.13418974,3.03192496,-0.02546178,0.10575707,-0.02628838,0.11343030,0.00842731,0.01201027,1.31154704,8.62303734,0.00339954,0.03938258,202.70574951,-0.11068593,1.72995365,0.03063129,0.12865265,0.02839782,0.11058468,0.01826111,0.04691141,2.59767938,42.82293701,0.00000000,0.01534345,200.54751587,-0.11627398,2.65159512,-0.01174354,0.02661917,-0.01326973,0.03411600,0.01407470,0.03867928,0.91690594,3.51373029,0.06116927,0.02596509,227.78738403,-0.13418974,3.03192496,-0.02546178,0.10575707,-0.02628838,0.11343030,0.00842731,0.01201027,1.31154704,8.62303734,0.00339954,0.03938258,202.70574951,-0.11068593,1.72995365,0.03063129,0.12865265,0.02839782,0.11058468,0.01826111,0.04691141,2.59767938,42.82293701,0.00000000,
-93.96,-27.47,10.00,0.49,2.59,168.00,4.85387611,4.18892860,4.17356539,4.79149580,4.50196648,155.05375671,0.00000000,3.89,3.59877920,3.86575150,4.73979425,5.21963120,4.37560797,4.07234716,5.39653015,4.15033770,4.79953957,4.46423340,149.62413025,0.00000000,3.10838675,5.10151958,4.31556034,4.59304714,4.99821186,4.05978203,4.72123241,2.63653994,-0.57559943,1.51414955,0.21881255,3.61106634,2.77907252,4.88103724,3.79255152,4.76316023,3.26388454,5.87678623,4.38873625,-0.60774994,1.66585112,0.19713018,4.10702085,3.79489708,4.83882189,7.10162592,3.56214929,4.62714386,5.52180958,5.49030733,0.07238591,0.02335946,0.87855858,1.60095453,-0.97990072,-2.58085513,241.66780090,0.00000000,0.85861129,-1.22076285,-2.07937407,11.00516987,2.47,3.06,0.01113513,63.09552002,0.01193453,0.02959342,0.03622532,0.27017444,-0.02504314,0.13290136,0.07286002,1.11668074,0.33895552,0.30582106,0.58038618,0.01247807,61.10377121,0.00096322,0.00013429,0.04129316,0.27622849,-0.03519629,0.20532493,0.06102555,0.61114043,0.52756238,0.77282208,0.37956797,0.01636070,48.12289047,-0.00444049,0.00238607,0.06180457,0.44659370,-0.02975440,0.10657801,0.08165662,0.78919429,1.28973532,5.23929071,0.02230122,0.01126617,67.21382141,-0.11562954,1.63008547,0.03211269,0.12346369,-0.06424207,0.49696162,0.14361246,2.50007224,0.13417275,0.04673789,0.82888651,0.01754414,62.89000320,-0.12258708,1.53015292,0.04270532,0.17989536,-0.06364218,0.40182233,0.15948261,2.58652520,0.73226768,1.62558150,0.20262733,0.03007281,73.82256317,-0.12069308,1.28462791,0.06464759,0.35778150,-0.05074284,0.22052881,0.16746181,2.46157479,1.25063622,6.19941568,0.01294946,0.01126617,67.21382141,-0.11562954,1.63008547,0.03211269,0.12346369,-0.06424207,0.49696162,0.14361246,2.50007224,0.13417275,0.04673789,0.82888651,0.01754414,62.89000320,-0.12258708,1.53015292,0.04270532,0.17989536,-0.06364218,0.40182233,0.15948261,2.58652520,0.73226768,1.62558150,0.20262733,0.03007281,73.82256317,-0.12069308,1.28462791,0.06464759,0.35778150,-0.05074284,0.22052881,0.16746181,2.46157479,1.25063622,6.19941568,0.01294946,
