x,y,z,d,scale_xy_dist,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
-78.85,28.97,2.00,0.18,5.12,144.00,0.59513324,0.83960563,0.25374255,0.72098404,0.60236639,2.20358229,0.13802674,4.18,-0.85728639,0.69645208,0.46618545,1.10439801,0.70454860,0.32408693,1.25480127,0.44971412,0.68060499,0.53540909,1.72491109,0.18938534,-1.50637877,1.07099628,-1.53058708,1.55967700,0.89078373,0.78248227,3.65736079,2.18238354,0.10283575,0.04009999,0.84132899,-0.63566852,0.42071790,1.71476555,2.00647044,1.14969015,-0.44271839,-1.75548792,-0.43318033,-0.48977110,0.88430202,0.34727027,0.13092491,0.99962652,1.27661645,-0.00654993,0.61694300,0.81591445,1.29570842,-0.42619947,-0.13507783,0.06769136,0.79478590,-0.56770658,-2.58270621,-2.01499963,157.59722900,0.00000000,-5.40088654,-6.06450462,-0.66361779,1.06070364,nan,nan,
-78.90,29.60,1.00,0.16,5.17,144.00,0.14743039,-0.26202810,-0.08175056,1.33202720,0.28391975,0.55946845,0.45466218,3.91,-0.52791512,-0.70758867,-0.20008841,0.67376226,0.44762477,-0.48719570,-0.09453225,0.23720321,1.31844115,0.07322794,0.03679664,0.84792147,-1.04069257,-0.75867718,-0.03994110,1.22304022,-1.52137125,0.07387376,-0.49443650,0.82327443,-1.60235858,10.97665119,0.00095826,-1.69007397,-1.64313424,-1.56882656,1.10477686,0.61700100,-0.59047896,0.99080247,1.61909723,-1.40251565,8.31372547,0.00402536,1.18837762,0.45089087,1.20956075,-0.33726791,2.46674538,-0.88365340,-0.59458315,-2.03632951,-1.21472883,6.34112072,0.01196394,-1.12190330,-2.59623170,-1.47432840,160.86854553,0.00000000,-6.21196222,-6.35888147,-0.14691949,0.04957764,nan,nan,
-79.13,29.62,1.00,0.00,5.05,158.00,0.58236212,0.05739349,0.80558383,0.51454836,0.48997197,1.76467073,0.18436644,3.80,0.37828481,0.11776308,0.32135323,0.71083862,0.46385300,0.63705343,0.79651362,0.49947333,0.53924477,0.49554595,1.77393579,0.18322136,0.15465809,-0.11157806,-0.49815086,0.47898564,1.21124351,-0.25358719,-0.35574463,-0.10617198,-0.44117454,0.87749767,0.34913115,0.10254020,0.62762964,-0.19598867,0.00000927,0.49390736,2.65431714,2.33757520,0.51596659,0.28671879,0.36600423,0.54533799,0.82645273,-0.27384156,1.66754258,1.46397090,-0.27308226,-0.42396644,0.41985342,1.23175848,0.08247381,0.03062484,0.86111809,-1.09093738,-2.19873071,-1.10779321,134.09928894,0.00000000,-2.27932835,-4.18743467,-1.90810609,10.96356487,nan,nan,
-78.90,29.60,5.00,0.23,5.17,151.00,0.46239385,0.90092415,0.12195896,0.21660927,0.42547154,1.09396493,0.29586411,4.20,0.26283237,-0.22419351,1.40435040,-0.15612634,1.72853875,0.13440524,0.27898765,0.32014069,0.15778834,0.43364632,1.12793219,0.28849195,0.93535882,0.26431745,1.41939175,-1.62227929,2.94840717,0.72241026,0.69003594,1.22642231,0.69219077,1.78985703,0.18127063,0.06445729,-1.50413263,-0.16581452,0.79596049,0.00411331,-0.22922152,1.15587234,0.64303011,-0.08866341,0.02867609,0.86556592,-0.56931794,0.55823225,2.94051123,0.22686322,2.28751278,-0.01875804,-0.84090710,-0.85528231,0.21712717,0.17614193,0.67480692,-1.08650053,-2.73681855,-1.65031815,185.53140259,0.00000000,-0.12795165,-0.80050391,-0.67255223,1.21608603,nan,nan,
-79.14,30.10,2.00,0.00,5.14,153.00,2.10154343,0.74206662,1.07324648,1.79986703,1.42918086,13.33802795,0.00027449,4.04,1.28946769,0.57255113,1.44402635,1.27943873,1.87716627,0.20352769,2.09265065,1.18226087,1.71450937,1.29377151,10.75794888,0.00107681,0.39433765,-0.82370049,1.19936514,1.29730034,0.94876045,0.44032553,1.92677820,0.41022322,-1.05255318,4.44726944,0.03522395,2.88419843,1.20974529,1.10521030,0.67852396,2.40555668,-0.43832526,1.81292391,-0.58266222,-0.69720888,1.92673624,0.16544838,1.01511502,1.55983889,2.26907539,2.01680970,2.46679854,0.61318439,2.39597273,4.31188774,0.33289140,0.44508103,0.50484569,-1.09786534,-2.29974723,-1.20188177,147.97204590,0.00000000,-2.76492119,-3.08691621,-0.32199511,0.26060781,nan,nan,
-79.42,30.59,1.00,0.00,5.14,157.00,-1.18935084,-0.89923018,-1.16263878,-1.12148106,-1.09317517,9.90147591,0.00170361,3.58,-1.29114270,-0.74479455,-1.60713124,-0.23883295,-1.03519845,-0.58003205,-1.45518601,-1.43273854,-1.05546260,-1.04789770,9.01066303,0.00275566,-1.49672306,-0.35414889,-0.76446247,-1.47204483,-0.75888085,-0.95727170,-0.71709341,-0.69478106,0.22068463,0.24720435,0.61916802,-0.58613533,-0.88407838,-2.29420304,-0.30305776,-1.65218663,0.15522179,-0.40132979,-2.98555946,-0.06173472,0.01913665,0.89000539,-2.00666904,-0.97072220,-1.68420804,0.81029582,-0.70488930,-0.94828528,-3.34094477,-0.57739043,-0.08041719,0.03310296,0.85566775,-0.78759861,-1.77771604,-0.99011749,112.68798828,0.00000000,-0.64585644,-1.47587240,-0.83001590,2.87979341,nan,nan,
-78.94,28.31,2.00,0.00,5.02,159.00,4.64093971,3.16170859,3.36288238,3.86137509,3.75672650,126.86729431,0.00000000,3.44,4.11419010,3.22396564,4.65258646,4.14499950,3.62370563,3.91136217,2.30254793,3.72129750,3.85584545,3.72410560,122.49105072,0.00000000,3.46574688,2.52151871,4.40951824,2.80559897,3.53071547,4.03828239,1.94998586,2.35350299,-0.69800079,2.69999528,0.10068656,3.23494697,3.97458386,4.04945040,5.08254147,3.61745191,3.39223981,0.47148013,3.08039379,-0.54307473,1.61688161,0.20384505,5.54360485,3.29752326,5.59707832,4.31854630,3.46994257,4.39223289,4.40332031,6.01913404,0.80320483,3.57052398,0.05912457,-1.24338031,-2.92018342,-1.67680311,116.68411255,0.00000000,0.72947121,-0.92017341,-1.64964461,7.93045187,nan,nan,
-79.69,28.32,1.00,0.13,4.56,157.00,1.79138505,1.67232120,2.53550959,2.39238954,2.09790134,38.06376266,0.00000000,3.51,2.50511551,1.48172390,2.43507719,1.95762384,2.35874200,0.95816392,1.28594398,3.10203338,2.36907578,2.04833841,36.02878571,0.00000000,3.36274028,1.58764768,-0.01363124,1.26141131,1.49139869,1.04844558,1.44299138,3.17220473,-0.72540033,2.81505013,0.09371997,2.84412551,1.75953043,3.30145478,3.88668346,3.54407191,1.38203907,0.52243710,2.93799472,0.12339417,0.08000401,0.77735491,1.33586979,1.05934179,3.90129876,0.58941919,1.74350619,0.38782176,2.10297036,3.00645423,-0.57522541,1.76941526,0.18378057,-1.31002915,-2.68336844,-1.37333930,97.40003967,0.00000000,0.50073373,-1.70153308,-2.20226669,15.42589283,nan,nan,
-78.94,27.57,0.00,0.11,5.05,156.00,2.22622275,1.96806014,2.74657655,2.26251340,2.30084324,47.01056290,0.00000000,3.46,1.52186847,3.33471179,3.09733510,2.15563655,2.19088340,1.73562765,3.03548598,1.53005695,2.26488423,2.31618047,47.41551971,0.00000000,1.12490630,2.80524516,2.13762021,1.22878814,0.64310455,1.98277020,2.76373935,3.11018443,-0.31498605,0.54354161,0.46115462,2.06804824,3.07403994,3.82168508,3.02716827,4.02955103,1.78791106,2.75157571,1.59582341,0.50029427,1.34544885,0.24637303,1.72941542,4.00710154,3.39445257,2.15034199,2.10023642,1.42895913,3.23795772,-0.22725146,-0.05252334,0.01521833,0.90184662,-1.07292259,-2.18591762,-1.11299503,83.87067413,0.00000000,-1.72250021,-2.80423617,-1.08173609,3.68333840,nan,nan,
-80.23,29.06,2.00,0.00,4.34,143.00,3.36373949,2.59211302,2.84414053,3.13342071,2.98335338,78.91595459,0.00000000,3.46,1.94862163,3.23689008,3.55375719,2.85401583,2.90912247,2.86364794,3.45380998,2.38245702,3.10440874,2.92004704,74.71873474,0.00000000,0.61968356,3.14304280,4.80976391,2.38782167,2.05539727,3.04234242,2.55661464,2.14521360,-0.54341525,1.62210536,0.20311669,2.11143756,2.45775390,2.18630290,3.38740063,2.92409134,3.23670626,4.40618610,2.08823609,-0.28109586,0.42314190,0.51553411,3.24987984,4.20109463,4.02657032,2.81271625,3.95036721,2.36107874,3.15794063,3.14667749,0.23312011,0.29511628,0.58709058,-0.72325134,-1.63400197,-0.91075069,70.24978638,0.00000000,-1.52232087,-3.23667622,-1.71435523,9.47423744,nan,nan,
