x,y,z,d,scale_xy_dist,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
80.18,49.13,1.00,0.00,2.97,129.00,16.29223824,12.54306316,16.22846413,17.77108574,15.70871258,298.61297607,0.00000000,9.53,15.81807041,14.32979870,10.74384403,14.78919601,14.07767773,14.07453537,14.89174747,21.35164070,17.70642471,15.29390621,280.17343140,0.00000000,16.61010742,5.77231264,6.57263041,5.78572512,15.56947231,15.87903881,13.35585976,19.62260818,-5.22172737,21.15644836,0.00000481,17.01845169,25.84717751,11.29941845,16.46787643,10.10329628,10.78131485,12.71718311,25.33467484,-1.50005651,1.72308850,0.18961467,13.24818134,9.91331482,15.03358269,19.78878212,16.87579918,17.28716087,19.60449028,19.83194160,-1.46871424,1.60234702,0.20588290,0.12526643,-2.35752225,-2.48278856,123.85530853,0.00000000,1.37709999,-4.93000650,-6.30710649,27.16011429,nan,nan,
80.76,48.63,2.00,0.00,2.69,124.00,11.58827114,6.15730429,7.60866022,5.49495029,7.71229649,23.56525230,0.00000141,16.66,9.76666355,8.66162872,2.33193755,8.65568829,5.22518730,9.77976227,11.96880436,10.62222958,5.40193558,8.03793621,24.96154976,0.00000070,8.92666721,1.93755758,-9.05975819,7.13223219,4.96429873,15.92154789,12.43127632,7.17986870,0.83559549,0.17498520,0.67581382,10.64157772,3.78001142,7.93899012,13.22825432,3.76247787,-1.68827331,12.81321812,12.43639088,1.95517743,0.92289346,0.33696212,9.96004963,21.33926392,7.52526379,4.62165594,6.66022491,17.37587357,12.97710705,11.61809921,6.05271578,8.88763237,0.00294469,1.24485850,-0.84894109,-2.09379959,79.26853943,0.00000000,20.14346504,19.61341476,-0.53005040,0.09498408,nan,nan,
82.87,45.39,15.00,0.46,3.19,124.00,7.22559404,5.39995956,6.42304564,7.37199593,6.60514879,110.28575897,0.00000000,6.59,7.09726906,6.41022444,4.77383423,7.55831003,5.24921894,6.58649445,5.15388393,7.36635399,7.27048016,6.37873363,100.21219635,0.00000000,9.47588539,4.04730368,3.99971557,1.46984148,6.22075224,5.77495146,5.66658735,5.35863829,-1.98288488,6.21336317,0.01284922,5.34716797,8.98016453,6.03784275,8.15300560,4.71206713,5.92319155,2.23985219,9.51029682,-0.93372524,1.34710431,0.24607810,6.95937109,5.68344593,4.13555002,12.11830902,5.16293621,8.86974907,8.09916306,7.25734997,-0.16821654,0.04389874,0.83408728,1.12385178,-1.23981333,-2.36366510,138.13238525,0.00000000,-2.23226571,-5.31726885,-3.08500314,8.01702690,nan,nan,
82.87,45.39,7.00,0.00,3.19,145.00,3.12051368,2.27105784,2.57704282,3.36058116,2.83229876,25.92315102,0.00000043,5.83,3.08164334,2.54379654,2.29975820,2.28332400,2.18738627,2.12237501,2.70153785,3.88163614,3.32191420,2.71099424,23.09727669,0.00000179,4.67285681,2.64315438,-0.85855013,1.50742233,2.86187887,1.11609244,4.65552473,0.91148728,-1.08944821,2.39818549,0.12181089,3.08354521,3.18210268,3.11166930,2.24374509,2.34487581,1.18429887,1.12786615,4.47244501,-0.78244555,1.19638646,0.27432383,1.34775984,1.43763745,4.94395542,2.63460732,1.60761940,4.14454937,2.33921123,6.33353329,-0.20261931,0.08110256,0.77587118,1.68318272,-0.46422702,-2.14740968,125.17707825,0.00000000,4.21122456,1.96699703,-2.24422765,5.98951292,nan,nan,
82.87,45.39,20.00,0.00,3.19,116.00,11.48967648,3.27284884,12.94427013,3.58156109,7.82208920,17.10932922,0.00003841,19.82,3.88418245,5.85499525,10.49319553,9.70671844,6.75493574,12.33052063,17.66007996,10.69240379,4.40337801,9.07762527,22.28274536,0.00000271,-5.14910650,-1.54912996,1.93111944,3.91082478,0.04981352,11.59911060,12.91265011,5.13760471,-0.33199322,0.01924025,0.88970948,8.12809277,7.06627989,7.10624266,12.78357124,4.76973820,4.12164021,29.73874092,31.52870941,9.13136387,14.59061909,0.00014230,9.76130772,13.82362938,20.14599419,9.97960854,14.81465530,19.10150719,10.49139500,-6.19461679,7.60773611,9.98226357,0.00163079,0.37478712,-2.90852594,-3.28331304,199.94859314,0.00000000,-0.75986308,2.43414283,3.19400597,1.24565959,nan,nan,
82.87,45.39,14.00,0.49,3.19,134.00,9.27773476,5.83112097,7.81277943,8.17943478,7.77526760,102.46598816,0.00000000,8.05,8.56364822,4.89313984,8.99233627,6.86886311,4.93557549,8.97366428,8.86707211,8.76709843,8.19937515,7.66574574,97.11277771,0.00000000,6.36238003,2.74506211,5.43333244,4.25216293,2.72085881,10.61495495,7.77646732,7.07065916,-2.31601858,5.67549944,0.01740039,11.11893463,8.43338871,9.23488903,5.92335129,2.30989957,4.94501209,6.41172743,14.17665291,-0.41948977,0.18417725,0.66790550,9.11215496,4.02321196,12.50767803,9.67882824,9.42284775,11.61788559,13.37223530,5.40976858,1.04294491,1.13605118,0.28676052,0.99266464,-1.69165027,-2.68431497,170.68363953,0.00000000,2.45532274,-3.55925035,-6.01457310,30.72632599,nan,nan,
83.26,44.88,0.00,0.00,3.47,131.00,4.33031225,3.59680057,4.83745909,8.45298767,5.30438995,37.05795288,0.00000000,9.13,4.22068977,7.01951647,2.39871001,5.62587929,4.93455505,3.12645078,2.24037099,4.14330482,8.37679005,4.67157555,28.16498947,0.00000014,8.48596859,5.81799984,3.87784505,4.22054100,4.74660826,-0.51618862,2.59733820,-1.69914544,-4.85274506,19.42189217,0.00001168,3.45708537,7.30437517,2.82019138,7.20211506,9.59662342,7.38162804,-2.70982528,3.03023362,-3.51577806,10.02476501,0.00159397,-0.02719482,6.95828295,0.76068383,5.06567621,1.29667604,2.95944977,7.73756742,10.79800415,-4.04444075,13.29119968,0.00028120,0.07549156,-4.10911083,-4.18460226,252.36462402,0.00000000,-0.08473499,0.19286823,0.27760321,0.07654925,nan,nan,
83.26,44.88,9.00,0.48,3.47,143.00,5.21993923,2.43992257,6.02618170,6.80088091,5.12173128,55.52780914,0.00000000,7.21,3.40016031,8.97538471,2.90198755,5.12878036,4.09726048,2.38000083,3.12518835,6.32835770,6.77362204,4.78529215,47.51403809,0.00000000,3.81389642,4.42112303,0.60323679,0.67834646,3.04859352,-0.79586881,2.87383318,4.08238220,-4.38902760,25.36690903,0.00000057,4.54816198,12.30639553,5.68482733,5.55383062,7.19614172,5.71184826,0.86633158,5.80394268,-0.67617232,0.59669811,0.44003377,1.27302980,8.18892670,2.82748032,8.03021431,3.56513476,3.13907909,6.68279314,8.82211685,-1.54054451,3.09514165,0.07884989,0.82544100,-2.48745441,-3.31289554,200.31727600,0.00000000,1.23980212,-0.20268798,-1.44249010,1.68543935,nan,nan,
83.26,44.88,15.00,0.69,3.47,134.00,9.79085922,10.06231022,9.02444649,8.88067436,9.43957233,98.84227753,0.00000000,9.95,8.60994816,8.26434803,9.79256344,8.99709034,7.81340647,12.88341236,9.78657722,9.99001408,8.81214142,9.42939472,96.35510254,0.00000000,7.72148180,8.00099564,6.56617308,8.64356041,9.16145897,17.32415771,10.37310600,13.37748623,1.22908688,1.04810894,0.30620501,12.05305862,9.58102512,8.77115822,9.83496284,4.29691362,2.14099860,13.63875389,13.08874989,0.05929620,0.00239524,0.96097649,7.31206846,8.02894402,13.61249542,9.53875542,10.15755367,18.99017334,5.63898706,4.28023672,0.74219042,0.37933031,0.53811017,-0.30101484,-6.33845520,-6.03744078,306.93304443,0.00000000,11.56481647,1.22175157,-10.34306431,46.05934906,nan,nan,
84.36,44.26,12.00,0.54,3.97,137.00,32.62933350,29.66704178,35.77248383,30.11997032,32.04720688,369.15441895,0.00000000,17.49,32.50953293,36.88223267,35.24812317,27.62390327,22.75343132,32.27355194,36.89432526,37.10938263,30.10545731,32.34539413,372.96228027,0.00000000,30.76105309,32.49369812,25.30646324,20.26981735,21.80725479,35.23791504,34.32793808,36.21370697,-0.47231114,0.05026024,0.82265952,42.37493515,44.21075439,37.69243240,36.71862793,29.20441818,19.18093491,39.20669556,40.12879944,5.59920359,6.95367289,0.00850203,25.52998924,30.73173141,42.76689529,23.88840485,19.67734718,43.05602264,41.44637299,34.68603516,2.53847671,1.44805753,0.22914126,-2.30011463,-11.06325626,-8.76314163,344.07379150,0.00000000,-12.12290478,-62.27952957,-50.15662384,172.78108215,nan,nan,
