,x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,tgt_theta_first_half p-val,tgt_theta_second_half p-val,0,23,45,67,90,112,135,157,theta all,theta F,sur_theta p-val,0a,23a,45a,67a,90a,112a,135a,157a,theta first half all,theta first half F,sur_theta_first_half p-val,0b,23b,45b,67b,90b,112b,135b,157b,theta second half all,theta second half F,sur_theta_second_half p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur.1,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
0,0.0,0.0,1.0,0.04,149.0,-2.26134896,-1.62780309,-2.81093407,-2.60713243,-2.32680464,5.41102648,0.02024483,9.49,0.01694903,0.29930273,0.04047241,-1.03056681,-4.03901577,1.55673635,-1.08404768,-3.3555541,-4.12019682,-2.39295745,-5.60515213,-2.50884438,6.3915267,0.01164798,-4.7842927,-3.36599588,-0.00148475,-0.60620981,-7.61145067,0.43343282,-6.65156221,1.83975947,-2.59347558,2.38686275,0.1231848,-1.57565999,-3.91570067,-3.02186108,1.87345624,-3.14242148,-2.30042076,-3.40198851,-3.41649985,-2.36263704,4.0645647,0.0443897,-1.46822226,-3.84040952,-1.65611827,-1.3713938,-2.82170916,0.93611455,-4.81970739,1.4774636,0.89665502,0.46949515,0.49340832,-6.09896803,-4.24762344,-5.10013914,6.34196329,-4.82314157,-6.3985877,0.71639442,-3.30138683,-0.169192,0.01748068,0.89484624,-9.8897028,1.30242801,-4.40318108,-1.88457286,2.55036283,-4.11369228,-1.3579334,-1.76973653,0.24009304,0.03523678,0.85114564,-0.52518576,-0.30451652,0.22066922,0.63448828,0.42647255,10.28984833,11.14875889,0.8589108,0.29368636,4.89,0.69
1,0.0,0.0,0.0,0.08,123.0,-3.70165944,-3.33318853,-2.1701591,-2.05703425,-2.81551027,6.96475506,0.00846564,10.12,0.00399613,0.09771377,0.08051394,-0.59898525,-0.19499686,-4.3616066,-2.59245467,-4.46811819,-5.42912292,-2.4384656,-3.99007392,-3.00922799,8.01207924,0.00475702,-4.34682131,-1.65768158,-2.33236074,0.00655628,-4.70330286,-5.20129013,-5.84212112,1.99951947,-2.75968766,2.49375248,0.11512442,-4.14514446,-3.64445829,-1.35091138,-1.97647524,-1.23339701,-2.21615148,-3.2714119,-1.77827179,-2.4520278,3.41233277,0.06537152,-2.01202965,2.25979042,-0.77860135,-2.1333077,-9.70606899,-5.66760683,-9.86923504,-0.04862127,-1.38884044,1.00366557,0.31671333,-11.74172497,-3.37892008,-2.05297422,1.613644,1.47824669,-1.36999917,-3.43697476,1.66684651,0.12651619,0.00866882,0.92584114,-7.39408112,-4.14957619,-6.03807306,-0.71596056,0.31540975,-6.02920628,-3.86075449,-2.00129509,-1.72649574,1.58945954,0.20775302,-0.18697108,0.10047816,0.28744924,0.84654689,0.35842154,5.61582136,5.12398863,-0.49183291,0.05646079,5.0,0.64
2,0.0,0.0,1.0,0.0,103.0,0.06410473,0.43336743,-2.69142413,-2.03021979,-1.05604291,1.34028554,0.24730959,8.66,0.39146304,0.50943755,0.13515442,-0.71008539,0.65686423,-5.1223526,0.32293689,-0.39894027,-0.27867833,-0.87956125,-2.16600251,-1.07197738,1.38384187,0.2397795,-1.50242543,-0.78877407,0.15303455,-5.11971569,-1.45319855,-1.28671205,3.17772794,1.24328232,-0.69709766,0.21410821,0.64382909,-2.30653763,1.05604529,-0.89692211,-3.41284156,-1.22457969,-0.18310215,-4.33397722,-2.57786322,-1.73497224,2.49090934,0.11521292,-2.56866264,4.60764456,4.83965111,-4.9622345,2.25761724,-0.0879543,-1.80260289,1.55404806,2.42933083,4.1943202,0.04086969,-1.72326159,-3.31960964,-0.49548379,-3.62621641,-0.74229562,-5.15754175,-1.2050184,-4.78861952,-0.63292724,0.28944695,0.5907175,2.10363984,0.71828347,2.40493727,3.14723444,-1.47189987,1.47583652,-1.85563684,-5.23986912,2.08610725,3.18569613,0.0746457,0.13945954,1.6811409,1.54168129,18.54833031,2.385e-05,2.14161015,1.9624517,-0.17915852,0.01506373,5.64,0.71
3,0.0,0.0,1.0,0.0,108.0,0.82159859,0.90740985,-1.0199585,-1.29643667,-0.14684667,0.02465422,0.87526913,8.87,0.88187072,0.17755579,0.28641349,0.35952872,1.5399102,-1.00750685,-0.95289785,0.66561604,-0.77282315,0.3564533,-1.44523621,-0.15711948,0.02810132,0.866911,2.53780532,-1.61049592,0.23434047,3.77418494,2.5320456,-1.6283133,3.49216175,-0.10894176,1.15284836,0.63352978,0.42655656,1.69323814,0.62842512,0.50827545,-1.29542327,-3.61610174,0.18886951,-2.45166183,-0.82546687,-0.6462307,0.29045394,0.59019808,8.00483704,-4.24602795,0.29474175,2.8260169,1.83349168,-0.51417893,-1.3660717,-0.08934566,2.2476263,3.41193151,0.06507772,2.30144739,-0.54204905,4.17523336,-3.96521378,-5.92384768,-1.86633432,0.1547666,-2.63809705,0.10703142,0.00792452,0.92908739,-2.7094593,1.02474141,0.36892521,1.75950372,1.08498859,2.72901559,-2.37834692,4.19661093,2.12706017,3.1388216,0.07681109,0.06339111,1.34255707,1.27916598,18.5904007,2.336e-05,-1.94735515,-0.63474786,1.31260729,0.59066266,5.5,0.7
4,0.0,0.0,2.0,0.16,107.0,-3.36882067,-2.62490463,-5.63022041,-5.2954855,-4.22985792,15.0039463,0.00011555,10.36,0.00033208,0.05269067,0.0001856,-4.82788229,-5.93874168,-4.71193647,-4.4525218,-5.12587166,-2.72342205,-2.50323606,-3.95907879,-4.28033638,15.24144173,0.00010215,-4.18716621,-4.97572327,-4.69537973,-5.06930208,-2.54372239,-4.55248785,0.77579856,-2.18308687,-3.42888379,3.92222071,0.04836703,-4.64197063,-0.19377397,-5.57148075,-2.52850151,-5.11447001,-7.04941797,-8.19452286,-7.53752232,-5.10395765,13.4424715,0.00027557,5.91240311,-2.17890716,-1.13231015,-3.98175287,-1.17884243,-5.56517649,-10.17719269,-3.19860363,2.7059083,3.63627386,0.05687382,-8.48522854,-3.32722926,-2.22677755,-4.31656981,-8.65559387,-6.48071718,-7.35859251,-5.00122166,-0.42130208,0.08961682,0.76473882,1.00558877,-2.0803678,-0.08688709,-6.24336147,-5.06446695,-2.11750579,-8.24569798,-3.31702232,2.00400496,2.04734302,0.15284353,-0.6707263,1.55769539,2.22842169,23.90661812,1.81e-06,-5.71265507,2.6596427,8.37229729,23.65923882,5.69,0.68
5,0.0,0.0,2.0,0.14,91.0,-0.65673918,-1.55256867,-3.47992325,-2.4812448,-2.04261899,4.11171627,0.04289937,9.56,0.06380384,0.48133559,0.02871303,-1.71382475,-2.11633945,0.67364502,-4.91917896,-1.19372523,-4.25601482,0.73300409,-2.43965101,-1.90401065,3.60118246,0.0580795,-1.88049328,-2.77412891,-1.5738728,-6.34587955,-5.2157979,4.55750942,4.50160646,0.94641834,-0.9730798,0.37680101,0.53968468,-1.77157319,-2.34754705,-3.13617325,-2.53064036,-3.19011641,-2.88386297,-3.01651931,-3.94518542,-2.85270214,4.9356451,0.02680833,-1.93746018,-0.27474326,-0.24956685,-0.22216061,-4.91371918,-6.10719585,0.6649574,0.48000389,0.97260898,0.54585916,0.46022073,-4.34374905,-4.75318623,-0.38972357,-4.60517406,-6.84649801,-4.86626577,3.18042421,-4.47550917,-0.9323504,0.51860213,0.47163868,0.07851965,9.88826466,0.66090751,-6.67868185,-2.86685824,-0.50123304,-0.3884953,-7.01893902,1.78279889,1.95777214,0.16212049,0.31128472,2.07850266,1.76721787,25.34831047,9.2e-07,0.16129752,1.23341954,1.0721221,0.43923947,5.56,0.67
6,0.0,0.0,1.0,0.0,116.0,-0.24928303,-0.23947383,0.67046869,-0.21621628,-0.00862612,0.00010298,0.9919057,8.09,0.886056,0.31388505,0.27175794,1.46288013,0.08563808,-0.27543515,-0.8906287,3.44202304,-2.00512838,-1.41442621,-1.18713975,-0.0977771,0.01331447,0.90816477,0.16002116,2.5733881,-0.20448159,1.82451963,-1.43297601,7.47844076,0.14565425,0.17983323,1.34054995,0.8976382,0.34401317,-0.57762045,-2.03509259,-2.00247025,1.54288876,-2.90566373,0.55735892,-1.53004456,-2.8909955,-1.23020494,1.40370488,0.23673377,-3.0322783,-0.45828483,-1.45318151,4.35023212,-4.73346376,3.77215385,-3.31619525,1.44119132,-0.21985056,0.03936525,0.84277477,-1.40713227,1.47976875,-1.10613596,3.7359879,-4.76395178,2.91859698,3.96860552,0.35093644,0.90394449,0.68232822,0.40902043,2.35087061,7.05209732,-0.99021453,-2.74507165,-0.31338021,-2.38423872,-2.44927621,-3.19160628,-0.10492406,0.00929432,0.92322025,-1.0002439,-0.72431785,0.27592611,1.13676357,0.28736994,0.01824396,0.07351236,0.05526841,0.00151155,6.28,0.0
7,0.0,0.0,1.0,0.0,120.0,-0.40432742,-0.11003605,-0.86935025,1.12183535,-0.06546959,0.00728799,0.93198761,7.29,0.75076094,0.34322733,0.69662988,0.01134693,-1.89856148,0.52617681,0.37033519,2.92218995,0.57768434,-0.43873256,-1.8113246,0.03238933,0.00179044,0.9662587,0.97374415,-1.842839,-3.04897451,-1.91723514,-1.70173335,5.49379587,-0.27577367,-3.84310126,-0.77026463,0.39062896,0.53234116,-0.51690316,-2.68745589,2.97175765,2.1526196,-0.22586368,0.64758456,0.57046407,-0.85037637,0.25772837,0.07268103,0.78759687,2.48579097,-1.13183427,-0.10987037,-1.53537321,3.87216878,0.93053377,-0.35067245,-4.68791008,-1.19815481,1.43129349,0.23189062,-2.59072709,0.46225429,0.06309098,-5.27418041,-3.85506797,3.7680552,-1.64603341,2.10165381,-1.98291326,4.05931807,0.04424607,-1.40393841,1.67871058,1.78363907,-1.1837461,-0.09081977,-5.89555502,1.98371041,0.12546594,-1.57958782,2.57822704,0.10871835,-1.15918899,-0.82532543,0.33386359,1.99782586,0.15877392,-7.22451496,-8.46148014,-1.23696542,0.56266254,6.28,0.0
8,0.0,0.0,1.0,0.0,117.0,-0.75359857,1.39250135,-1.17315233,0.17623073,-0.0895047,0.01143241,0.91487579,7.94,0.78108117,0.59928642,0.73176411,0.14212352,2.12388849,-2.46049333,-1.32903457,0.40723711,-0.85898113,1.18877101,-0.86725676,-0.20671822,0.06110507,0.80481789,-3.50426126,-2.24023128,-2.06109905,1.05476522,-0.12591749,-1.05248833,0.2305336,4.88846064,-0.35127974,0.07202712,0.78855233,0.8161822,2.23876166,-0.91199291,-0.48922697,3.71278143,-2.97555685,-1.48946714,-0.762945,0.01731704,0.00026516,0.98701537,6.52130222,-0.03318886,1.52731013,1.81351852,6.23815823,-4.64483118,-2.06631351,1.42691398,1.32640791,1.49466395,0.22183673,-4.80263615,0.1924897,-1.64109874,-0.92274159,0.29092613,-2.30664825,0.50873077,-0.55037653,-1.23019457,1.30045128,0.25445546,-4.86896896,-0.39158747,-1.34710062,5.72021151,1.86041784,-1.58178318,-3.23502994,-2.08462071,-1.02837896,0.92609537,0.33615621,-0.7579878,-0.52707958,0.2309082,0.8815853,0.34867773,-14.0179472,-17.95115662,-3.93320918,7.41779232,4.73,0.82
9,0.0,0.0,0.0,0.0,109.0,0.47728395,0.57845968,0.68947786,-1.0946821,0.16263486,0.05048096,0.8222826,6.86,0.54858419,0.1078821,0.6863569,0.63297009,-2.26115823,1.93934739,-1.01519167,-1.88628244,0.86456114,1.45899785,1.17538548,0.11357869,0.02489758,0.87466027,2.97129679,-0.284365,1.73700261,-0.27925059,5.5149622,2.8956852,2.80840468,0.66880071,2.00406718,3.49871325,0.06217899,-0.14426138,-3.80471635,0.08718506,-1.73794079,0.48853195,0.94829851,-4.59629059,0.96734744,-0.97398078,1.00169218,0.31744287,2.72256207,-1.58135235,5.37812853,-2.22861648,-0.21613984,-0.51838082,-3.37242699,3.96617985,1.62041187,2.97933197,0.08470135,1.0081836,0.16514298,-0.01469987,0.22077595,0.19040473,4.51266527,0.27276435,-0.48137039,1.8240875,3.82653713,0.05077772,7.45381498,1.10296094,-2.64025569,2.01988292,0.4493199,-3.7888,-1.75254059,1.72197998,1.50805891,2.68945408,0.10138837,-0.34008405,-0.17047398,0.16961008,0.44570929,0.5049979,-4.36164999,-6.37688971,-2.01523972,2.30187321,4.65,0.8
