,x,y,z,d,scale_xy_dist,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,0a,23a,45a,67a,90a,112a,135a,157a,NULL.1,theta first half all,theta first half F,tgt_theta_first_half p-val,0b,23b,45b,67b,90b,112b,135b,157b,NULL.2,theta second half all,theta second half F,tgt_theta_second_half p-val,sur_theta p-val,sur_theta_first_half p-val,sur_theta_second_half p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur.1,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
0,95.61,42.84,3.0,0.0,22.63,83.0,4.67302084,2.88729239,4.0262928,3.69935918,3.82149124,23.01078987,1.9e-06,7.56,4.98986244,4.79977751,4.8209343,0.8937158,1.55194175,3.13400173,1.65217543,9.37510395,3.60253477,3.86502552,23.68027115,1.36e-06,0.5706647,5.17086458,0.1189269,0.25501519,10.3392334,6.60214233,1.85753131,-0.46324369,0.47138962,2.76640034,5.08759785,0.02466273,4.97979259,5.42796516,1.73743737,8.55219746,7.93879604,0.67149711,6.98972034,3.18179655,5.52959728,4.99597692,23.83554649,1.46e-06,6e-07,0.06640959,1.8e-07,-3.86079478,5.48310137,-1.12140763,3.00597382,7.03950787,2.21432686,10.11206627,1.52990413,-0.69092262,0.45141059,0.50185037,6.11120367,3.12245178,1.82890773,4.92353868,11.63928795,3.51189804,2.86725426,-0.92278332,0.45616615,0.20076293,0.65422114,0.38424149,7.10329771,2.51285815,6.61858988,10.37195587,3.82161736,2.73359466,3.15408397,0.87663358,0.74352604,0.3887795,0.4851031,-2.55307984,-3.03818297,99.79046631,0.0,-6.92500162,-11.20971298,-4.28471184,8.54314709,2.33,6.26
1,96.49,42.2,2.0,0.0,22.07,84.0,1.34491038,4.21721935,4.47196245,2.38305378,3.10428643,14.60068893,0.00014257,7.71,4.04079533,2.10674667,3.87691998,4.81750345,0.94335204,3.00523472,2.48821783,4.66120291,2.28054428,3.13247752,14.35472488,0.00016216,2.00790167,5.6233983,1.4947449,2.41703558,2.3140564,1.20583439,7.4120388,-0.35495132,2.3530612,2.71651626,5.43494177,0.02025722,5.33116961,4.282125,2.49974918,0.01193962,7.39941931,3.21686578,0.30843553,3.28397298,2.448663,3.19483972,7.95611429,0.0050063,0.00018484,0.01392835,0.00513918,6.03477335,6.85266352,8.27104568,-0.67975134,1.11469388,5.55305815,3.28510952,3.93046498,1.8143189,2.94673014,0.08641973,6.98403168,4.45496941,1.80206168,3.3888061,5.9709549,9.55108833,4.66423559,-0.16199328,2.18248129,4.3908639,0.03643049,1.97083461,3.80420828,-0.25140291,-0.40139064,5.75172472,-3.19051933,0.48168296,2.49259424,-1.10793662,1.13581538,0.28684416,-0.80393273,-3.48482251,-2.68088984,88.94953156,0.0,-8.83897209,-13.70201015,-4.86303806,11.56888103,2.34,5.83
2,96.99,41.7,2.0,0.0,21.99,76.0,2.18411636,1.98654974,3.11479735,1.69411218,2.24489403,8.04485989,0.00467199,7.51,7.22594309,2.61476159,-0.29616418,4.43109131,3.89133692,0.45655906,-1.20810235,1.90947664,1.54009378,2.28271461,8.39163494,0.00386708,-2.02011895,5.75609875,-2.0970118,0.17287946,6.56689596,6.6610198,0.75823784,5.52440929,1.67201221,2.55238104,4.00128031,0.04617312,3.46348977,2.66999817,-0.81737328,0.61732119,9.55042171,1.05853128,-0.48533034,-0.31244814,2.28387141,2.00116134,4.32707596,0.03808103,0.0034608,0.09917989,0.01453135,6.23881674,1.09259033,-2.19243097,-4.23191786,7.42930126,9.87554073,-1.7309196,1.13253403,0.36097676,0.12678069,0.72188286,1.59858,7.03328085,-0.54423386,4.26265335,6.55709076,4.86144686,0.91198605,0.16105136,1.51412714,2.22652912,0.1360333,-2.31724596,5.89504099,0.39545193,0.79199618,8.36286354,-2.81570005,0.18627252,6.1933794,0.39118111,0.15201093,0.69671972,-0.47920084,-2.88706088,-2.40786004,71.99129486,0.0,-3.12530231,-7.87829113,-4.75298882,11.90424061,0.0,0.0
3,97.48,41.13,2.0,0.2,22.09,80.0,2.32922339,4.28732538,4.74671984,2.46053433,3.45595074,20.42335892,7.09e-06,7.26,1.02865493,7.23310137,5.29183245,2.57817459,2.98844147,4.5880475,4.0051527,1.9341594,2.34281445,3.55093217,21.20901871,4.75e-06,3.3349359,2.42634368,2.82741833,2.72222376,2.13001895,3.21493506,2.02892232,5.08148384,2.15766072,2.87755775,7.44952011,0.00663882,3.91724253,4.06019211,0.24224927,1.41665196,13.88955116,4.27778816,2.62086296,3.22599292,4.26107597,4.20818853,15.91010094,7.762e-05,1.923e-05,0.01080187,3.939e-05,10.30748844,1.10553348,5.4365983,0.14743264,14.14858818,2.11000896,-1.37493384,2.67256594,1.92504358,3.89065027,0.04888283,2.32747126,8.15059662,4.13833904,5.82589054,3.14065719,3.48458695,4.79176712,5.44108629,2.26339793,5.2803731,0.02181176,3.91748333,3.14939809,-5.48919582,1.0928911,3.93152761,3.55409002,2.03389025,5.03016567,-0.17014386,0.0304834,0.86143992,0.30997577,-1.92899287,-2.23896861,58.47109985,0.0,-3.269207,-7.25003433,-3.98082709,9.29167461,0.0,0.0
4,97.84,40.69,2.0,0.24,22.23,86.0,1.55513966,6.53605175,5.1674695,3.67652488,4.23379612,17.78811264,2.735e-05,9.53,2.67722511,3.72645664,4.27265501,6.46955872,1.7537936,7.10826111,6.56984806,0.82656306,3.46647835,4.09266329,16.09405708,6.563e-05,4.17386484,3.06887317,0.98382962,5.12517881,1.73346877,3.5265286,4.39114761,9.69607067,3.484761,4.01639318,7.34771442,0.00701769,1.02705121,-0.50897908,3.70856547,2.76927423,11.93461418,9.07967663,0.13778588,4.80220222,3.87294459,4.08736801,8.68368721,0.003379,0.00010255,0.00603323,0.00311885,16.53014755,-2.59573889,11.95917892,-3.85743284,15.35465336,12.62134838,-0.88095468,4.01579762,2.85794592,5.09898329,0.02419544,1.56520092,4.72476864,0.763116,11.37797165,0.60274833,5.59550905,6.04149485,9.67961884,1.46345711,1.29731178,0.25502917,-4.45496464,3.19582438,-2.62784314,3.42466068,3.87389278,4.26339626,-2.63839459,5.88236809,-2.16539264,2.85176015,0.09164466,0.9285199,-1.36033404,-2.28885388,61.50690842,0.0,-3.2535162,-7.07694626,-3.82343006,4.21122932,0.0,0.0
5,95.61,42.84,11.0,0.45,22.63,67.0,-0.08696844,4.628438,-0.90051937,1.27806973,1.22975492,0.99300057,0.31929437,11.71,0.37774605,3.08436489,1.05244637,10.74847794,-3.2627182,2.41712308,0.74896151,-5.19268036,1.59581816,1.28421891,1.08828282,0.29715106,18.22618103,-10.17681313,1.20697653,3.36154413,-5.21884727,0.27071655,-0.54676205,-0.04285349,1.47871399,0.95003313,0.2057693,0.65036137,-1.52257514,-2.69810176,6.88631582,-0.15799388,-0.42901483,2.5829246,3.84522486,-0.55422491,3.09570336,1.22635663,0.81911701,0.36592709,0.3608423,0.36964134,0.35603926,9.56987286,1.58596587,8.65826607,11.28352261,1.81922829,-0.25992134,2.29601431,-0.33268052,3.24041462,4.08008814,0.04370805,1.99495029,-8.27958584,1.21713161,-4.69828606,-3.41733146,-6.08026028,5.71324587,6.89027071,-2.23061109,2.00352788,0.15730377,24.15931129,-9.27906609,-0.53616136,-4.66089439,-8.5978508,6.35575581,-0.69419265,-4.38003302,-1.10010159,0.52364302,0.46949302,0.68269908,-3.01677108,-3.69947004,56.56243134,0.0,1.57823014,-0.64272642,-2.22095656,1.59244287,0.0,0.0
6,95.61,42.84,7.0,0.4,22.63,56.0,-0.95736188,3.34468842,0.62266707,1.80023253,1.20255649,0.78121954,0.37701893,12.91,-6.21055222,2.01929498,0.15182614,5.50960159,1.43265593,7.88299847,-5.30109739,2.89203477,2.06210041,1.1587137,0.72933114,0.39334269,8.60215759,-8.05727005,0.94033486,2.74428916,-9.10986614,-4.24512577,-11.38704872,-2.08129597,0.67000198,-2.4335444,1.48655307,0.22350435,0.85346514,-4.87463713,9.23027515,4.08433676,7.85990191,4.94402122,-4.03766155,6.77997208,1.62251079,2.93730259,2.80457664,0.09469665,0.44841862,0.37910445,0.22579141,15.63549709,-3.61605167,12.145648,5.75885439,11.39505959,-3.17164874,-7.92363262,-6.56590271,1.42454112,0.67181897,0.41265037,0.57892245,-4.70799112,4.86484146,3.85605097,-2.4225831,-6.33518648,-0.902574,8.80702782,-1.41773701,0.66099119,0.41644033,1.11196065,-9.04329205,6.83343697,-1.21433103,-2.79947448,8.47735882,-10.49884224,1.79880273,-2.48985958,2.08007121,0.14960551,-0.32980815,-4.18422461,-3.85441637,120.36867523,0.0,15.14834785,13.745224,-1.40312362,0.44525695,2.35,6.18
7,95.61,41.13,0.0,0.37,24.93,61.0,-3.19018245,3.34119916,-2.01055288,-0.56197083,-0.60537678,0.18189757,0.66985579,13.47,-8.7795887,-5.17985487,-2.20776272,0.87207168,-4.7123661,9.90980816,1.81771278,3.65233517,-0.24272491,-0.54061097,0.14704095,0.70147601,8.8721962,-13.90356541,0.8655203,-3.18081999,-10.8292675,-7.80748034,-6.61187983,2.82191324,-4.79473495,-3.83706117,3.40466928,0.06578596,-3.9598403,-6.24066973,17.6179409,5.68345356,-1.964396,-1.26763833,1.71399641,3.5252285,2.55620313,1.96073484,1.15613317,0.28285026,0.53043632,0.07780466,0.56436052,4.82452869,0.4567154,17.13951111,14.33287907,3.92809582,-8.33627415,-3.81571674,-7.50666714,3.5461235,3.83744121,0.05045004,0.36974424,-14.70806694,3.86145926,-6.43197966,-4.80087137,-12.61173248,3.99692583,14.29040432,-1.61542869,0.81865352,0.36583326,7.21363878,-13.39032078,6.96406269,-5.58460379,-13.62886429,5.11521626,-7.48463869,-1.34124064,-2.27616858,1.62137687,0.20325175,-1.02605975,-4.59370041,-3.56764078,132.89468384,0.0,0.83852094,2.05638337,1.21786237,0.25390223,2.35,6.0
8,96.49,42.2,8.0,0.38,22.07,74.0,-0.92306173,2.95196128,-4.0877614,-0.2206286,-0.56987256,0.22327957,0.63667392,11.44,5.10972166,-2.85929275,1.73505759,-2.73047709,-0.90452445,2.24037814,-7.4114027,0.07308318,0.03973559,-0.52255702,0.18381876,0.66822133,7.11615276,-14.32171917,-3.30859375,-0.84859264,-5.45960617,-4.46602917,-4.94548655,-5.2436595,-2.87594914,-3.81323671,3.86643362,0.04998477,-2.62386799,-0.93758667,12.97400093,2.90842795,-4.04812336,0.29120132,4.84191561,2.56303549,1.03809643,1.88778806,1.71916723,0.19047492,0.6506112,0.10331345,0.44906657,-2.51574254,5.61787796,7.80201626,8.71288013,-1.21710348,-5.80955267,12.06663895,-2.06347895,3.16265798,4.12869263,0.04247578,-0.5265494,-15.0720644,-0.0364828,-9.35724831,3.36352801,-7.43694019,-3.95819569,1.82981074,-3.79647994,6.12332487,0.0135372,9.38758278,-12.03864384,6.28507185,1.53209174,-9.70232773,3.6327734,-0.37597072,-2.61781454,-0.47245765,0.09678445,0.75580018,-1.19102764,-4.26761389,-3.07658648,110.87133789,0.0,11.38969421,14.72670078,3.33700633,2.42468643,2.36,5.81
9,96.99,41.7,7.0,0.4,21.99,74.0,0.40175083,-1.17772532,-3.99942756,-1.35299289,-1.53209865,1.97990286,0.15976704,10.33,0.83769596,-5.13329649,3.72726774,-7.22868681,3.81123042,-0.99675381,-2.33933496,-3.42134881,-0.99574965,-1.30302644,1.43433619,0.23139471,6.31276989,-6.77111483,1.09053421,1.21967232,-3.6050446,-1.33390856,-2.09357858,-4.14684105,-3.2913568,-1.40069437,0.69846177,0.40382347,-1.5748831,-3.19340563,4.35269403,-1.59696639,-15.27290154,-2.25428796,4.88833714,-1.00976992,-1.30975127,-1.8837738,2.0130167,0.15665337,0.23484545,0.46098641,0.09971542,-11.78431797,8.06962967,-3.66392541,3.6079812,-6.91166735,-4.96482706,8.25044632,-1.73615646,0.20100802,0.02070615,0.88561682,3.3433497,-14.2514801,2.23949289,-6.49029732,-5.96788406,-5.85867977,-1.57712948,-2.46191025,-2.79418325,4.07155132,0.04392834,10.69046783,-8.20794868,10.76893711,0.51417381,-8.6611681,3.40545654,4.59847116,-6.36822271,1.9742564,2.1123929,0.14648373,-0.4835051,-2.99296761,-2.50946259,57.57361603,0.0,1.69028854,1.3888303,-0.30145827,0.02387644,2.42,5.9
10,97.48,41.13,7.0,0.44,22.09,73.0,4.71547699,0.5109452,0.53704745,1.98782313,1.93782318,2.8872745,0.08964861,10.82,-0.73156941,2.74807811,6.95648909,2.85328317,5.00855637,1.84994912,-1.11220419,-0.47082373,2.15540957,2.13754559,3.42757201,0.06446585,-3.10435987,1.86800182,2.69219518,0.92840689,6.94038773,3.02091908,1.18766224,-0.48077232,-0.91694963,1.34703958,0.55039477,0.45861232,5.09731054,4.26246977,5.37454891,4.83349085,-10.78468704,-3.83034873,8.79638672,4.50980711,3.22056675,2.38422942,2.78010464,0.0961439,0.05742373,0.79501393,0.11313328,-13.46586609,7.55684757,-5.29355049,7.50811672,-6.84122133,-0.16263136,9.02957535,5.67793751,-1.51530278,1.08724117,0.29738292,4.32122421,-0.56588185,4.50856447,-3.4708643,3.87768531,-0.1782112,0.0827714,-3.42287803,-1.45095754,0.97864807,0.32281733,6.99745369,1.50593758,13.76867104,5.76902533,0.12864733,-2.32013941,11.20440102,3.09372306,2.75715256,3.62003398,0.05742901,0.85099483,-1.1764003,-2.02739525,26.39130211,5.6e-07,9.53818798,6.52221918,-3.01596904,1.85559201,2.41,5.67
11,97.84,40.69,8.0,0.47,22.23,72.0,5.52691698,-0.88836938,1.91098285,3.49054599,2.51001906,3.80406117,0.05145756,12.21,8.14719009,-1.04389548,8.20470524,-2.74409533,4.31281662,-2.04247856,2.60848618,1.08487356,3.38122153,2.43187952,3.53595877,0.06039617,-2.29096699,12.14014912,-0.98049849,2.73063827,18.89740562,9.51501751,8.21602535,-1.54989052,4.98356676,5.73442078,8.26698971,0.00426329,2.64729905,6.60130835,-1.26162469,-0.73624092,-8.15407372,-2.4268949,6.94023752,-3.04614019,2.43749022,0.33315101,0.04386711,0.83419667,0.02987992,0.01602727,0.57443137,-19.18785095,9.01251507,-11.72350979,3.88627434,-9.30999756,4.25733948,12.14361191,5.48310089,-4.36337185,7.26272202,0.00718053,5.735075,6.97434521,-0.41940522,-0.31276953,11.64038658,3.70048094,-0.98795265,-9.94185448,-1.42520595,0.75550675,0.38498633,5.02032185,9.95366764,2.91066027,-0.70066923,11.19342422,-0.13330227,14.24508476,0.48377377,1.93407118,1.39401829,0.23806149,2.07159591,0.15474753,-1.91684842,20.88542938,7.68e-06,14.99580193,12.23959827,-2.75620413,1.53686178,2.42,5.4
