x,y,z,d,scale_xy_dist,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
95.61,42.84,3.00,0.00,22.63,83.00,4.67302084,2.88729239,4.02629280,3.69935918,3.82149124,23.01078987,0.00000190,7.56,1.55194175,4.98986244,0.89371580,4.82093430,9.37510395,3.13400173,4.79977751,1.65217543,3.60253477,3.86502552,23.68027115,0.00000136,-3.86079478,5.48310137,-1.12140763,3.00597382,7.03950787,2.21432686,10.11206627,1.52990413,-0.69092262,0.45141059,0.50185037,6.11120367,3.12245178,1.82890773,4.92353868,11.63928795,3.51189804,2.86725426,-0.92278332,0.45616615,0.20076293,0.65422114,0.38424149,7.10329771,2.51285815,6.61858988,10.37195587,3.82161736,2.73359466,3.15408397,0.87663358,0.74352604,0.38877950,0.48510310,-2.55307984,-3.03818297,99.79046631,0.00000000,-6.92500162,-11.20971298,-4.28471184,8.54314709,2.33,6.26,
96.49,42.20,2.00,0.00,22.07,84.00,1.34491038,4.21721935,4.47196245,2.38305378,3.10428643,14.60068893,0.00014257,7.71,4.81750345,4.66120291,3.00523472,0.94335204,4.04079533,3.87691998,2.48821783,2.10674667,2.28054428,3.13247752,14.35472488,0.00016216,6.03477335,6.85266352,8.27104568,-0.67975134,1.11469388,5.55305815,3.28510952,3.93046498,1.81431890,2.94673014,0.08641973,6.98403168,4.45496941,1.80206168,3.38880610,5.97095490,9.55108833,4.66423559,-0.16199328,2.18248129,4.39086390,0.03643049,1.97083461,3.80420828,-0.25140291,-0.40139064,5.75172472,-3.19051933,0.48168296,2.49259424,-1.10793662,1.13581538,0.28684416,-0.80393273,-3.48482251,-2.68088984,88.94953156,0.00000000,-8.83897209,-13.70201015,-4.86303806,11.56888103,2.34,5.83,
96.99,41.70,2.00,0.00,21.99,76.00,2.18411636,1.98654974,3.11479735,1.69411218,2.24489403,8.04485989,0.00467199,7.51,1.90947664,4.43109131,-1.20810235,0.45655906,7.22594309,3.89133692,-0.29616418,2.61476159,1.54009378,2.28271461,8.39163494,0.00386708,6.23881674,1.09259033,-2.19243097,-4.23191786,7.42930126,9.87554073,-1.73091960,1.13253403,0.36097676,0.12678069,0.72188286,1.59858000,7.03328085,-0.54423386,4.26265335,6.55709076,4.86144686,0.91198605,0.16105136,1.51412714,2.22652912,0.13603330,-2.31724596,5.89504099,0.39545193,0.79199618,8.36286354,-2.81570005,0.18627252,6.19337940,0.39118111,0.15201093,0.69671972,-0.47920084,-2.88706088,-2.40786004,71.99129486,0.00000000,-3.12530231,-7.87829113,-4.75298882,11.90424061,0.00,0.00,
97.48,41.13,2.00,0.20,22.09,80.00,2.32922339,4.28732538,4.74671984,2.46053433,3.45595074,20.42335892,0.00000709,7.26,5.29183245,4.00515270,1.02865493,2.57817459,7.23310137,2.98844147,1.93415940,4.58804750,2.34281445,3.55093217,21.20901871,0.00000475,10.30748844,1.10553348,5.43659830,0.14743264,14.14858818,2.11000896,-1.37493384,2.67256594,1.92504358,3.89065027,0.04888283,2.32747126,8.15059662,4.13833904,5.82589054,3.14065719,3.48458695,4.79176712,5.44108629,2.26339793,5.28037310,0.02181176,3.91748333,3.14939809,-5.48919582,1.09289110,3.93152761,3.55409002,2.03389025,5.03016567,-0.17014386,0.03048340,0.86143992,0.30997577,-1.92899287,-2.23896861,58.47109985,0.00000000,-3.26920700,-7.25003433,-3.98082709,9.29167461,0.00,0.00,
97.84,40.69,2.00,0.24,22.23,86.00,1.55513966,6.53605175,5.16746950,3.67652488,4.23379612,17.78811264,0.00002735,9.53,4.27265501,1.75379360,2.67722511,3.72645664,6.56984806,7.10826111,0.82656306,6.46955872,3.46647835,4.09266329,16.09405708,0.00006563,16.53014755,-2.59573889,11.95917892,-3.85743284,15.35465336,12.62134838,-0.88095468,4.01579762,2.85794592,5.09898329,0.02419544,1.56520092,4.72476864,0.76311600,11.37797165,0.60274833,5.59550905,6.04149485,9.67961884,1.46345711,1.29731178,0.25502917,-4.45496464,3.19582438,-2.62784314,3.42466068,3.87389278,4.26339626,-2.63839459,5.88236809,-2.16539264,2.85176015,0.09164466,0.92851990,-1.36033404,-2.28885388,61.50690842,0.00000000,-3.25351620,-7.07694626,-3.82343006,4.21122932,0.00,0.00,
95.61,42.84,11.00,0.45,22.63,67.00,-0.08696844,4.62843800,-0.90051937,1.27806973,1.22975492,0.99300057,0.31929437,11.71,10.74847794,-5.19268036,3.08436489,1.05244637,-3.26271820,0.74896151,2.41712308,0.37774605,1.59581816,1.28421891,1.08828282,0.29715106,9.56987286,1.58596587,8.65826607,11.28352261,1.81922829,-0.25992134,2.29601431,-0.33268052,3.24041462,4.08008814,0.04370805,1.99495029,-8.27958584,1.21713161,-4.69828606,-3.41733146,-6.08026028,5.71324587,6.89027071,-2.23061109,2.00352788,0.15730377,24.15931129,-9.27906609,-0.53616136,-4.66089439,-8.59785080,6.35575581,-0.69419265,-4.38003302,-1.10010159,0.52364302,0.46949302,0.68269908,-3.01677108,-3.69947004,56.56243134,0.00000000,1.57823014,-0.64272642,-2.22095656,1.59244287,0.00,0.00,
95.61,42.84,7.00,0.40,22.63,56.00,-0.95736188,3.34468842,0.62266707,1.80023253,1.20255649,0.78121954,0.37701893,12.91,5.50960159,-5.30109739,7.88299847,2.89203477,2.01929498,0.15182614,-6.21055222,1.43265593,2.06210041,1.15871370,0.72933114,0.39334269,15.63549709,-3.61605167,12.14564800,5.75885439,11.39505959,-3.17164874,-7.92363262,-6.56590271,1.42454112,0.67181897,0.41265037,0.57892245,-4.70799112,4.86484146,3.85605097,-2.42258310,-6.33518648,-0.90257400,8.80702782,-1.41773701,0.66099119,0.41644033,1.11196065,-9.04329205,6.83343697,-1.21433103,-2.79947448,8.47735882,-10.49884224,1.79880273,-2.48985958,2.08007121,0.14960551,-0.32980815,-4.18422461,-3.85441637,120.36867523,0.00000000,15.14834785,13.74522400,-1.40312362,0.44525695,2.35,6.18,
95.61,41.13,0.00,0.37,24.93,61.00,-3.19018245,3.34119916,-2.01055288,-0.56197083,-0.60537678,0.18189757,0.66985579,13.47,3.65233517,-8.77958870,9.90980816,0.87207168,-5.17985487,-4.71236610,-2.20776272,1.81771278,-0.24272491,-0.54061097,0.14704095,0.70147601,4.82452869,0.45671540,17.13951111,14.33287907,3.92809582,-8.33627415,-3.81571674,-7.50666714,3.54612350,3.83744121,0.05045004,0.36974424,-14.70806694,3.86145926,-6.43197966,-4.80087137,-12.61173248,3.99692583,14.29040432,-1.61542869,0.81865352,0.36583326,7.21363878,-13.39032078,6.96406269,-5.58460379,-13.62886429,5.11521626,-7.48463869,-1.34124064,-2.27616858,1.62137687,0.20325175,-1.02605975,-4.59370041,-3.56764078,132.89468384,0.00000000,0.83852094,2.05638337,1.21786237,0.25390223,2.35,6.00,
96.49,42.20,8.00,0.38,22.07,74.00,-0.92306173,2.95196128,-4.08776140,-0.22062860,-0.56987256,0.22327957,0.63667392,11.44,1.73505759,-7.41140270,5.10972166,0.07308318,-2.85929275,-2.73047709,2.24037814,-0.90452445,0.03973559,-0.52255702,0.18381876,0.66822133,-2.51574254,5.61787796,7.80201626,8.71288013,-1.21710348,-5.80955267,12.06663895,-2.06347895,3.16265798,4.12869263,0.04247578,-0.52654940,-15.07206440,-0.03648280,-9.35724831,3.36352801,-7.43694019,-3.95819569,1.82981074,-3.79647994,6.12332487,0.01353720,9.38758278,-12.03864384,6.28507185,1.53209174,-9.70232773,3.63277340,-0.37597072,-2.61781454,-0.47245765,0.09678445,0.75580018,-1.19102764,-4.26761389,-3.07658648,110.87133789,0.00000000,11.38969421,14.72670078,3.33700633,2.42468643,2.36,5.81,
96.99,41.70,7.00,0.40,21.99,74.00,0.40175083,-1.17772532,-3.99942756,-1.35299289,-1.53209865,1.97990286,0.15976704,10.33,0.83769596,-5.13329649,3.72726774,-0.99675381,-7.22868681,-2.33933496,3.81123042,-3.42134881,-0.99574965,-1.30302644,1.43433619,0.23139471,-11.78431797,8.06962967,-3.66392541,3.60798120,-6.91166735,-4.96482706,8.25044632,-1.73615646,0.20100802,0.02070615,0.88561682,3.34334970,-14.25148010,2.23949289,-6.49029732,-5.96788406,-5.85867977,-1.57712948,-2.46191025,-2.79418325,4.07155132,0.04392834,10.69046783,-8.20794868,10.76893711,0.51417381,-8.66116810,3.40545654,4.59847116,-6.36822271,1.97425640,2.11239290,0.14648373,-0.48350510,-2.99296761,-2.50946259,57.57361603,0.00000000,1.69028854,1.38883030,-0.30145827,0.02387644,2.42,5.90,
