x,y,z,d,scale_xy_dist,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
-82.91,2.09,0.00,0.00,4.32,nan,2.16199279,1.77040493,1.49850452,1.89663291,1.83188379,13.25579262,0.00028647,4.72,1.78300309,0.70624727,0.92389143,1.19898021,2.36656761,2.16522980,2.63998771,2.47995138,1.85069406,1.78871536,12.55214119,0.00041519,2.42085719,2.10625863,0.46940795,-0.78147262,2.00988340,3.23325253,2.48557496,2.27214527,-0.15406670,0.07108048,0.78982858,-0.37834018,-0.51918197,1.81780159,2.87023401,1.64322340,1.59436452,3.07401633,2.74107122,-0.36248353,0.38379872,0.53572749,3.34668612,0.64160109,0.58248079,1.96467721,3.73718023,1.88645935,2.78811455,2.41135740,0.28212216,0.24171275,0.62308671,-0.18574435,-0.88473743,-0.69899309,44.84862900,0.00000000,-2.09917474,-1.38324344,0.71593136,0.86643517,nan,nan,
-83.02,2.72,0.00,0.00,4.53,nan,0.92204636,0.42081136,0.09165201,-0.13625690,0.32456321,0.54905009,0.45888997,4.11,0.45267609,0.77213532,-0.65230948,0.97510785,-0.26487684,0.46055284,1.43522418,0.22864935,-0.24273194,0.35125145,0.63761783,0.42477621,2.04558444,0.59866464,-0.67217630,-0.08203257,0.82033122,1.30166864,0.57962680,-1.73982036,0.55169684,1.20370054,0.27286458,-0.72070736,0.29223979,0.17876381,0.47224593,-0.97624397,-0.11394452,1.33528292,0.55410326,0.25370842,0.24654014,0.61963809,0.13844104,1.48203444,-1.17927086,2.68161726,-0.08241288,0.09909981,2.50948763,1.79704881,1.02951396,4.27475357,0.03895605,-0.24351160,-0.95224011,-0.70872849,51.62326813,0.00000000,-2.91165423,-1.63947940,1.27217472,3.93593073,nan,nan,
-82.91,2.09,0.00,0.00,4.32,nan,2.57732773,2.89310741,2.06052423,2.17731214,2.42706800,16.12484741,0.00006400,5.68,3.36136270,1.91308177,2.73337221,2.80654716,2.70261145,1.33436310,3.51563740,1.75656950,2.17683864,2.47534275,16.61298180,0.00004971,4.18574715,1.73210537,2.76667428,2.66306686,0.91705179,2.28001618,4.01542187,5.32560301,0.66801155,0.92529374,0.33633647,4.65460253,1.52006996,3.57040215,2.65646648,2.54611588,1.54380286,0.64964974,-0.72465044,-0.10851869,0.02388093,0.87722148,0.94877094,2.47468352,2.44511652,2.72261167,4.39543104,-0.14802890,6.11944103,1.59797227,0.33685401,0.24032952,0.62408274,-0.15801585,-0.87268978,-0.71467394,50.20169830,0.00000000,-3.65063667,-6.15880775,-2.50817108,6.29240227,nan,nan,
-82.36,2.56,0.00,0.00,4.90,nan,1.74701238,1.22311258,2.02732301,1.03198624,1.50735855,12.10284424,0.00052640,4.07,1.47906387,1.73427653,1.11749709,1.66533279,1.39900136,2.10011315,1.59986830,2.21436739,1.02213371,1.59081364,13.28219128,0.00028260,1.76144481,2.11860132,1.59762955,1.06586540,-0.02864219,1.77432752,0.19653168,1.07475126,0.20123741,0.16290633,0.68658659,1.24102128,2.44372272,1.45132732,2.12213182,1.86687422,1.45452797,2.84138799,2.76285887,0.99927402,3.90361381,0.04847477,1.47046363,0.35279363,0.40927467,2.24644542,2.42702055,3.14057279,1.59288275,2.40975428,0.74934429,2.29841185,0.12984291,-0.27655959,-1.02644384,-0.74988431,60.00811768,0.00000000,1.63372982,0.36991429,-1.26381552,3.44168568,nan,nan,
-82.25,1.80,1.00,0.00,4.67,nan,-0.00826962,-0.72052872,-0.94629210,-0.65857410,-0.58341616,1.50602436,0.22005205,4.46,-1.11758852,-1.17705750,0.18585446,-0.36447456,-0.12118156,-0.29612407,-0.94568849,-1.01668596,-0.73609591,-0.62038368,1.68063867,0.19515744,-0.33151659,-1.80512142,0.23253016,-1.45060956,-1.10627687,-0.73670852,-0.35958958,0.34511471,-0.09525152,0.03025471,0.86195104,0.09592517,-2.27042222,0.14838813,-1.07870960,1.13159692,-0.77311313,-2.66878295,-2.18488169,-0.31181774,0.31823790,0.57280324,-2.83950067,0.65778369,0.40199071,1.72247183,-0.12055027,1.10074115,0.37940314,-0.90031201,0.65528297,1.46706486,0.22611410,-0.08183388,-0.67312807,-0.59129417,34.82437515,0.00000001,0.25521913,-0.71836913,-0.97358829,2.69046307,nan,nan,
-84.22,3.06,0.00,0.00,3.89,nan,0.89321232,-0.60686857,0.03246636,0.21819451,0.13425115,0.07925438,0.77837197,4.48,0.22700700,-1.25288320,0.02613343,0.57006168,0.12962091,0.52421576,-1.08125401,1.24219704,0.11929235,0.05598740,0.01368272,0.90690630,0.80095607,-2.71634865,-0.91413987,0.02380054,-1.82267714,0.02203299,-1.01403868,0.87326038,-0.85692430,2.45100856,0.11778630,-0.70250547,-0.55468309,1.14453804,0.71264422,0.91021603,0.24919264,-1.26550007,0.23925439,-0.18446933,0.11003632,0.74017681,0.92594957,-0.48701242,0.21160010,1.48824215,1.33172250,1.63359392,-0.96041697,2.74341559,0.70388341,1.67822492,0.19547886,-0.14705254,-1.16308308,-1.01603055,75.78266907,0.00000000,-1.06603551,-3.82415318,-2.75811768,15.89232063,nan,nan,
-83.32,4.27,0.00,0.00,5.11,nan,2.17725420,2.21641803,1.45357144,1.95559597,1.95070994,23.89895439,0.00000119,3.75,2.25533628,2.53082013,1.45215261,2.06442952,2.67472601,1.22884536,1.48910367,1.36166501,1.88250124,1.88029337,21.97191620,0.00000317,4.19712639,2.95074797,2.83574724,1.28726971,1.24438238,1.67234755,1.60701478,1.96737075,0.24225543,0.27962106,0.59707466,1.18556571,1.58873594,-0.35038900,2.77486134,2.70689845,2.59098911,0.41153771,0.08176357,-0.47498706,1.05124021,0.30548568,1.17186570,3.05293345,2.18928671,2.33426118,3.92343235,-0.74193347,2.86707687,2.65718246,0.15808818,0.12157091,0.72741507,-0.24964169,-1.31696022,-1.06731856,94.89949799,0.00000000,1.88284326,-0.02049430,-1.90333760,8.50890732,nan,nan,
-83.69,2.39,0.00,0.00,3.93,nan,0.29980782,0.56139827,0.64356530,0.48212159,0.49672323,1.25140929,0.26356746,4.17,0.89179718,-0.05225414,1.26206863,-0.37629816,0.48408815,1.00966990,1.07163918,-0.01679190,0.53927147,0.53426415,1.43726480,0.23088428,0.43241173,-0.07410751,0.78606200,-0.46932784,1.57194960,1.12579870,1.26955545,0.04691790,0.06132063,0.01432400,0.90475994,0.26671094,0.08066712,2.12154102,-0.24535432,-0.26512364,2.40621567,0.48741665,0.82547897,0.16216117,0.09824548,0.75401498,1.82834363,0.11345214,0.94706458,-0.76921725,0.06554157,-0.61416721,1.41350412,-0.79727328,-0.18999921,0.14075953,0.70761183,-0.16513580,-1.08547902,-0.92034322,61.79584885,0.00000000,4.54467535,3.72163510,-0.82304013,1.51233709,nan,nan,
-82.80,2.32,0.00,0.00,4.50,nan,3.31768012,2.80367470,2.75850677,3.13223553,3.00302434,45.70905304,0.00000000,4.17,3.01373076,3.01900792,3.27418756,3.00727701,2.68935394,2.68628740,3.12500381,2.64373159,3.09349608,2.94728041,43.38044739,0.00000000,3.78551865,2.80473399,2.49156213,2.16309047,1.52180636,2.48959780,4.00290632,3.59916568,-0.35698563,0.48816636,0.48491940,2.33892655,2.82527614,3.69132018,3.82798719,2.08311820,2.56353402,2.96322918,2.19304466,-0.33581612,0.41961831,0.51728591,3.12342525,3.67473722,3.76958513,3.37617540,4.60797977,3.29179859,2.72343421,2.45660996,0.19342747,0.14513892,0.70331093,-0.27781478,-1.35459793,-1.07678318,84.99642181,0.00000000,-1.92001498,-1.43751180,0.48250321,0.45639420,nan,nan,
-83.48,3.17,0.00,0.00,4.44,nan,2.76512361,2.43324375,2.84758782,2.41781187,2.61594176,41.32809830,0.00000000,3.82,2.51950908,2.42625189,3.08265376,2.53270483,2.46886683,1.90115786,3.30508804,3.55278707,2.48140216,2.69401693,43.45923233,0.00000000,3.71903062,0.88139135,3.10629702,2.56872725,0.79537249,2.81908894,3.43161941,2.64769578,-0.02347775,0.00251575,0.96000776,1.83086884,2.42972708,3.43461895,3.30669713,2.52120948,1.58826971,3.81645298,4.47550344,0.43170530,0.83081597,0.36227062,2.43506694,3.89306474,2.79658437,1.84756839,3.97272635,1.14083540,2.73859477,3.36257982,0.30018049,0.41825059,0.51796930,-0.33229017,-1.48991132,-1.15762115,99.34574890,0.00000000,-0.89250129,-0.96935397,-0.07685264,0.01374417,nan,nan,
