x,y,z,d,xv,yv,zv,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L0 p-val
0.00,0.00,19.00,0.00,115.00,138.00,19.00,173.00,25.80,0.65,1.16235995,1.45603204,1.70946205,0.96910393,1.32423949,15.38981056,0.00009374,3.63,0.00006590,1.52191091,-0.04255215,-1.56446302,59.19725418,0.00000000,1.65048671,1.82499838,0.17451167,0.09744169,2.11,6.19,0.00971415,34.74077225,-1.30951834,0.35534948,2.74706507,0.88249093,-2.07250285,0.63757384,-3.41800117,1.55484021,-0.28384838,0.43227237,0.51103580,0.01111396,30.19750214,-1.82981896,0.41414776,4.26619434,1.48150301,-1.35709894,0.14254630,-4.70284224,1.65518260,-0.11064989,0.06715909,0.79557528,0.01693752,33.55412674,-3.37460732,0.89353013,-1.31103528,0.11265285,-1.14312327,0.07263631,-1.48631227,0.08121656,-0.12450317,0.08898317,0.76553928,0.00714372,20.57717323,1.25897193,0.32603675,3.76897240,2.11982965,0.58314788,0.06795510,-3.52359819,2.19620538,0.22197384,0.27632612,0.59924244,0.00901094,23.08546257,-0.96230888,0.10900141,4.32072592,1.67270970,1.50009704,0.23891631,0.32915765,0.01130659,0.14020298,0.11232688,0.73758464,0.01184499,27.40985298,-2.69829416,0.62464648,2.68232155,0.68195623,-0.42219043,0.01351505,1.05225015,0.09497462,0.10901069,0.07178486,0.78881388,0.00714372,20.57717323,1.25897193,0.32603675,3.76897240,2.11982965,0.58314788,0.06795510,-3.52359819,2.19620538,0.22197384,0.27632612,0.59924244,0.00901094,23.08546257,-0.96230888,0.10900141,4.32072592,1.67270970,1.50009704,0.23891631,0.32915765,0.01130659,0.14020298,0.11232688,0.73758464,0.01184499,27.40985298,-2.69829416,0.62464648,2.68232155,0.68195623,-0.42219043,0.01351505,1.05225015,0.09497462,0.10901069,0.07178486,0.78881388,
0.00,0.00,19.00,0.70,115.00,140.00,17.00,176.00,26.44,0.56,0.76631105,1.11665392,0.73568743,0.92545271,0.88602626,6.66996956,0.00995336,3.69,0.01349780,0.57405204,-0.40708518,-0.98113728,39.89481354,0.00000000,2.05818462,1.12886906,-0.92931545,2.28684020,0.00,0.00,0.00602736,12.63519478,-0.43965787,0.03784741,2.95418811,0.96412402,0.29297024,0.01202957,-4.16149569,2.17735147,-0.10662487,0.05761529,0.81035751,0.00804541,15.00299454,-0.71853477,0.06058011,0.99457157,0.07639278,-0.59451365,0.02600306,-5.10975266,1.85261285,-0.13121183,0.08953487,0.76483496,0.01190527,15.74823380,0.61338562,0.02803640,-0.75350201,0.03534413,-1.66193831,0.14580332,-6.58642006,1.51473832,-0.07072479,0.02726346,0.86888752,0.00297673,3.39430690,-0.20004456,0.00778929,7.33229017,7.62199783,0.35135734,0.02336788,-2.69189596,1.21772599,0.43506595,1.00832736,0.31556039,0.00576428,8.96241379,1.95678937,0.42745936,4.47643185,1.70331717,-1.93952382,0.37894338,-3.28715253,1.07050622,0.16028351,0.13930814,0.70905332,0.00664699,8.18301392,0.18013026,0.00266057,4.81023693,2.07923818,-1.93153143,0.26843786,-5.14031935,2.14960337,0.21865679,0.27375901,0.60094367,0.00297673,3.39430690,-0.20004456,0.00778929,7.33229017,7.62199783,0.35135734,0.02336788,-2.69189596,1.21772599,0.43506595,1.00832736,0.31556039,0.00576428,8.96241379,1.95678937,0.42745936,4.47643185,1.70331717,-1.93952382,0.37894338,-3.28715253,1.07050622,0.16028351,0.13930814,0.70905332,0.00664699,8.18301392,0.18013026,0.00266057,4.81023693,2.07923818,-1.93153143,0.26843786,-5.14031935,2.14960337,0.21865679,0.27375901,0.60094367,
0.00,0.00,20.00,0.00,115.00,140.00,19.00,126.00,29.86,0.53,0.79754347,0.93068969,0.73356473,0.51031625,0.74302852,5.34738302,0.02096593,3.46,0.02005381,0.79232353,-0.32799619,-1.12031972,49.82267761,0.00000000,-0.90214229,-2.60210419,-1.69996190,9.63977146,2.94,6.57,0.00326491,4.17220688,-1.83891261,0.74488711,2.74499846,0.93678916,-1.76489842,0.49155107,-1.50653398,0.32110342,0.17083099,0.16648927,0.68334317,0.00433101,4.89877129,-3.39868641,1.52631283,2.26612687,0.44653064,-3.32763028,0.91570854,-2.22923446,0.39727685,0.13715823,0.11022711,0.73995919,0.00624871,4.88328505,-4.24545670,1.51205218,-0.26006329,0.00474543,-4.31105518,1.10434067,-2.49764585,0.24518056,0.17983380,0.19851716,0.65602226,0.00290407,3.66031051,-0.26063734,0.01510620,4.92813206,3.90113521,-0.52670264,0.05970922,-0.77599698,0.11464807,0.30148718,0.54867291,0.45904407,0.00463886,6.56236744,-1.06739533,0.14386463,1.32788074,0.16946699,-2.45135379,0.68436760,-1.95365715,0.42755142,0.12530404,0.09630608,0.75637663,0.00548511,6.31215286,-1.50672233,0.20914666,2.24655819,0.51370609,-0.87609559,0.06249813,-2.41508341,0.53749979,0.17612651,0.20113611,0.65390796,0.00290407,3.66031051,-0.26063734,0.01510620,4.92813206,3.90113521,-0.52670264,0.05970922,-0.77599698,0.11464807,0.30148718,0.54867291,0.45904407,0.00463886,6.56236744,-1.06739533,0.14386463,1.32788074,0.16946699,-2.45135379,0.68436760,-1.95365715,0.42755142,0.12530404,0.09630608,0.75637663,0.00548511,6.31215286,-1.50672233,0.20914666,2.24655819,0.51370609,-0.87609559,0.06249813,-2.41508341,0.53749979,0.17612651,0.20113611,0.65390796,
0.00,0.00,14.00,0.69,116.00,136.00,18.00,177.00,33.70,0.66,0.72209734,0.34616700,1.30631173,1.20846164,0.89575940,9.65921974,0.00193995,3.10,0.00411844,1.06249666,0.33106926,-0.73142731,22.56534004,0.00000320,-1.22353256,-0.69233358,0.53119898,1.42111552,2.05,6.08,0.00460328,10.39782715,0.93210709,0.23988953,-1.16551781,0.21170227,-3.52226734,2.45447588,2.08998132,0.77475291,0.17080948,0.20862550,0.64795161,0.00654086,14.05298805,0.89078516,0.13186596,-1.96482193,0.42219022,-5.20953608,2.82266879,2.23396444,0.50176793,0.08496448,0.05318461,0.81766147,0.00929064,13.59576893,2.89697838,0.88673472,-2.43045855,0.52126294,-5.25806379,2.06901455,2.92154860,0.42254871,0.16354065,0.20679188,0.64939782,0.00286087,4.41024017,0.75678253,0.15744513,-1.83710361,0.67301619,-3.00654006,2.41300702,3.44325066,2.80262184,0.46822739,1.64285851,0.20024744,0.00203888,1.57205284,2.05435681,0.66060817,0.47403669,0.02683321,-1.33506763,0.25172111,3.92898893,2.14410162,0.66055900,3.31709647,0.06887822,0.00352062,3.21386337,-0.44068319,0.02215241,-1.68598962,0.35767314,-1.35755539,0.18564893,-0.87911719,0.08802151,0.53492916,2.29365635,0.13023726,0.00286087,4.41024017,0.75678253,0.15744513,-1.83710361,0.67301619,-3.00654006,2.41300702,3.44325066,2.80262184,0.46822739,1.64285851,0.20024744,0.00203888,1.57205284,2.05435681,0.66060817,0.47403669,0.02683321,-1.33506763,0.25172111,3.92898893,2.14410162,0.66055900,3.31709647,0.06887822,0.00352062,3.21386337,-0.44068319,0.02215241,-1.68598962,0.35767314,-1.35755539,0.18564893,-0.87911719,0.08802151,0.53492916,2.29365635,0.13023726,
0.00,0.00,18.00,0.00,116.00,136.00,19.00,167.00,30.20,0.63,0.43704101,-0.71252859,0.59527242,0.45519978,0.19374616,0.41331586,0.52044609,3.25,0.45191931,1.47300303,0.37235117,-1.10065186,35.44573975,0.00000001,1.59553039,1.84158647,0.24605601,0.22521491,2.05,6.08,0.00818270,30.81138802,-0.40361691,0.04216403,1.88254225,0.51797533,-2.22391272,0.91764939,-5.71788883,5.43860149,-1.13384545,8.62147331,0.00340260,0.00920906,25.83707428,-0.61617029,0.05847352,1.52578139,0.23611109,-4.39277792,1.86145318,-8.22936344,6.31606388,-0.95522738,6.23652887,0.01268296,0.01283520,23.95433998,-0.11245611,0.00119541,0.77644920,0.04910391,-5.21851826,1.88139701,-8.10949135,3.00508571,-0.84311074,5.07305956,0.02452878,0.00540663,14.74470139,-1.19557905,0.36785060,5.68206596,6.02716875,1.13020074,0.31924739,-2.28452158,1.15483475,-0.65979576,3.05368686,0.08087820,0.00761150,20.65439987,-2.00413823,0.59268326,5.09780169,2.91977119,1.50528264,0.30171618,-4.74446678,2.94757080,-0.82545620,4.88342857,0.02735427,0.00724162,12.66336346,0.08788231,0.00082158,4.01273394,1.88652813,-1.54194999,0.22301307,-5.64911795,3.38490582,-0.53652316,2.14879441,0.14301384,0.00540663,14.74470139,-1.19557905,0.36785060,5.68206596,6.02716875,1.13020074,0.31924739,-2.28452158,1.15483475,-0.65979576,3.05368686,0.08087820,0.00761150,20.65439987,-2.00413823,0.59268326,5.09780169,2.91977119,1.50528264,0.30171618,-4.74446678,2.94757080,-0.82545620,4.88342857,0.02735427,0.00724162,12.66336346,0.08788231,0.00082158,4.01273394,1.88652813,-1.54194999,0.22301307,-5.64911795,3.38490582,-0.53652316,2.14879441,0.14301384,
0.00,0.00,11.00,0.61,116.00,138.00,18.00,174.00,24.01,0.66,2.51667285,2.17990470,2.83590746,3.05827713,2.64769053,52.02454758,0.00000000,3.95,0.00000000,1.11465991,0.19984411,-0.91481578,34.00743103,0.00000001,-1.74565136,-2.63214326,-0.88649184,2.27573109,2.09,6.02,0.01507894,75.06308746,3.91548443,2.84839749,-0.86185133,0.07792578,-1.88916135,0.47503340,1.23691666,0.18256134,0.26967284,0.34989810,0.55431199,0.01944238,83.67201996,5.05316591,2.85973811,-1.15424895,0.09819045,-4.70306206,1.55024123,-0.41395566,0.01161104,0.28488013,0.40296340,0.52571612,0.02722634,77.74085236,7.47670364,3.93264985,-2.62296438,0.40424150,-8.42435455,3.53630090,-3.03113461,0.30283293,0.50881213,1.33263731,0.24862781,0.01037162,37.66978455,4.42255735,3.49425721,1.06208730,0.14619812,2.04216504,0.72348511,-0.46114379,0.03265241,1.08671141,5.75099421,0.01667200,0.01603722,65.67401886,5.75102568,3.49568963,-0.19855888,0.00311943,2.53110290,0.61094427,0.16202700,0.00245572,0.63486797,2.06898046,0.15065237,0.01972908,67.99874878,10.07745266,7.79111099,1.09217381,0.10110950,-8.02215195,4.36725664,2.02407646,0.31435743,0.76612347,3.16972661,0.07533554,0.01037162,37.66978455,4.42255735,3.49425721,1.06208730,0.14619812,2.04216504,0.72348511,-0.46114379,0.03265241,1.08671141,5.75099421,0.01667200,0.01603722,65.67401886,5.75102568,3.49568963,-0.19855888,0.00311943,2.53110290,0.61094427,0.16202700,0.00245572,0.63486797,2.06898046,0.15065237,0.01972908,67.99874878,10.07745266,7.79111099,1.09217381,0.10110950,-8.02215195,4.36725664,2.02407646,0.31435743,0.76612347,3.16972661,0.07533554,
0.00,0.00,15.00,0.75,116.00,138.00,19.00,185.00,26.44,0.68,1.57814610,1.25856876,1.24020338,1.48128796,1.38955152,19.82335663,0.00000950,3.36,0.00001831,1.65088320,0.36930311,-1.28158009,46.98190689,0.00000000,4.38823032,4.01156425,-0.37666625,0.63807136,2.09,6.02,0.00980217,41.65679550,-4.59874201,5.16014004,0.85192031,0.09997042,-0.63551563,0.07059315,-1.61987865,0.41128182,-0.30478522,0.58693159,0.44379903,0.01112816,35.48563385,-5.32695866,4.11421585,0.81492442,0.06342662,-1.12303472,0.11442858,-2.92372465,0.74991125,-0.11083774,0.07897918,0.77874698,0.01525750,31.79203415,-6.37892342,3.72768545,-2.11705184,0.34287694,-0.52889931,0.01813707,-4.51062489,0.87317026,0.05149952,0.01779160,0.89391713,0.00906538,39.39865494,-2.73867011,1.83443987,0.90570152,0.14560997,0.93624020,0.20822755,-3.57097960,2.68192863,-0.08758758,0.05120061,0.82103596,0.00958990,31.02694702,-4.78921652,3.20298648,3.72843194,1.47802484,4.05871582,2.07563615,-2.30851436,0.66039783,0.07790576,0.04121458,0.83916790,0.01212909,33.78733063,-1.52482963,0.23450461,1.36346376,0.20715587,-0.49039617,0.02144489,-1.73745131,0.30456948,0.15169911,0.16339788,0.68613852,0.00906538,39.39865494,-2.73867011,1.83443987,0.90570152,0.14560997,0.93624020,0.20822755,-3.57097960,2.68192863,-0.08758758,0.05120061,0.82103596,0.00958990,31.02694702,-4.78921652,3.20298648,3.72843194,1.47802484,4.05871582,2.07563615,-2.30851436,0.66039783,0.07790576,0.04121458,0.83916790,0.01212909,33.78733063,-1.52482963,0.23450461,1.36346376,0.20715587,-0.49039617,0.02144489,-1.73745131,0.30456948,0.15169911,0.16339788,0.68613852,
0.00,0.00,19.00,0.86,116.00,138.00,20.00,166.00,18.59,0.67,5.61960077,4.19387197,5.17527199,5.50998259,5.12468195,136.40101624,0.00000000,4.72,0.00000000,2.35375166,0.53066212,-1.82308948,56.76812744,0.00000000,4.81052876,1.55075479,-3.25977421,19.02474022,2.07,5.91,0.02129994,110.70888519,0.86565858,0.10295939,8.80396557,6.00767517,0.87620133,0.07561543,-3.41631246,1.02959383,1.63692200,9.52872849,0.00208165,0.02425235,93.80913544,-1.28520417,0.13327840,13.36350441,9.48346424,2.82353473,0.40264004,-7.83830166,2.99973130,2.01989102,14.59872437,0.00014168,0.03874126,116.20781708,0.58582455,0.01782320,11.37591743,5.61303329,-0.14815344,0.00078344,-10.03938770,2.45245194,1.91230237,13.89699936,0.00020456,0.01652048,69.49897003,3.32333255,1.43479300,0.89365643,0.07519625,3.14132833,1.24484324,-2.55675054,0.73022467,2.57083440,23.40431976,0.00000153,0.02075942,78.38665771,5.59110880,2.35347080,3.75582290,0.80853873,2.62779212,0.46908674,-1.30602372,0.11393863,2.49506450,22.76342392,0.00000212,0.02580565,82.92492676,3.57180095,0.69764322,5.71506214,1.97326648,1.41999865,0.09753825,-0.74403304,0.03022179,2.55973172,25.22229767,0.00000061,0.01652048,69.49897003,3.32333255,1.43479300,0.89365643,0.07519625,3.14132833,1.24484324,-2.55675054,0.73022467,2.57083440,23.40431976,0.00000153,0.02075942,78.38665771,5.59110880,2.35347080,3.75582290,0.80853873,2.62779212,0.46908674,-1.30602372,0.11393863,2.49506450,22.76342392,0.00000212,0.02580565,82.92492676,3.57180095,0.69764322,5.71506214,1.97326648,1.41999865,0.09753825,-0.74403304,0.03022179,2.55973172,25.22229767,0.00000061,
0.00,0.00,0.00,0.52,116.00,139.00,17.00,163.00,23.63,0.57,2.12366104,0.73208940,1.60736465,1.13561249,1.39968193,15.88420582,0.00007248,3.78,0.00004214,0.71286118,-0.09811573,-0.81097692,31.24270439,0.00000005,-1.65063262,-2.84931278,-1.19868016,3.94746852,2.14,6.14,0.00786656,20.78296089,-2.06464028,0.80571967,4.99436712,2.66089249,-1.99688518,0.53997689,-4.82332563,2.82440042,0.07376902,0.02662862,0.87040933,0.00998103,22.36562729,-0.98545736,0.11034618,6.34241962,3.00698447,-3.50065970,0.87112904,-7.35558224,3.71848273,0.13118663,0.08665681,0.76853566,0.01393655,20.88228798,-1.37786877,0.13693795,7.77205706,3.63810253,-7.40555859,2.80144858,-9.14013386,2.82273030,0.24493988,0.31657550,0.57380612,0.00616433,13.89283466,-2.56699777,1.22907090,0.35078755,0.01660997,-1.83379781,0.60907692,1.42093670,0.32382748,0.40276054,0.82473868,0.36402936,0.00667538,11.47822285,-3.73301768,1.48580372,3.40314627,0.94014317,-0.48854065,0.02296461,-2.90668511,0.79934263,0.48169890,1.20152462,0.27329584,0.01019417,18.55701828,0.62261456,0.03044458,3.83411717,1.27360952,-3.00856829,0.62786037,-3.51309276,0.96808362,0.38087392,0.80080718,0.37107953,0.00616433,13.89283466,-2.56699777,1.22907090,0.35078755,0.01660997,-1.83379781,0.60907692,1.42093670,0.32382748,0.40276054,0.82473868,0.36402936,0.00667538,11.47822285,-3.73301768,1.48580372,3.40314627,0.94014317,-0.48854065,0.02296461,-2.90668511,0.79934263,0.48169890,1.20152462,0.27329584,0.01019417,18.55701828,0.62261456,0.03044458,3.83411717,1.27360952,-3.00856829,0.62786037,-3.51309276,0.96808362,0.38087392,0.80080718,0.37107953,
0.00,0.00,0.00,0.65,116.00,139.00,18.00,187.00,25.28,0.65,1.96903551,1.79802620,2.35146284,2.51293087,2.15786386,38.13403702,0.00000000,3.76,0.00000000,0.94468647,0.05843557,-0.88625091,35.70520020,0.00000001,3.16303325,2.43439722,-0.72863603,1.50769544,2.14,6.01,0.01155133,46.33356476,-3.67962813,2.64591837,1.60343134,0.28354144,-3.87160873,2.09857178,-0.73951983,0.06862026,0.20076066,0.20396441,0.65164315,0.01413235,46.08254623,-4.36616755,2.22550273,0.29155833,0.00657625,-6.14856863,2.76202703,-1.61866105,0.18511458,0.29636067,0.45467108,0.50028960,0.02147462,51.19744110,-6.81448364,3.45822287,-0.92345387,0.05300792,-8.85827351,4.13904142,-8.40658951,2.46567583,0.31917980,0.55514389,0.45640836,0.00916851,31.74001694,-2.93632293,1.66080356,1.80607069,0.45582008,-1.86989927,0.65405685,-1.65730178,0.45492089,0.67659444,2.40367270,0.12138487,0.01264403,42.95772934,-6.53315639,4.74705315,-0.48092744,0.01955561,-2.49914169,0.62675714,-3.74730563,1.38586378,0.42657498,0.98287868,0.32174238,0.01743516,57.14839172,-5.26331139,2.28707838,2.40845251,0.52911031,-8.78420258,5.63514900,-5.62041950,2.60859561,0.35536465,0.73393178,0.39182844,0.00916851,31.74001694,-2.93632293,1.66080356,1.80607069,0.45582008,-1.86989927,0.65405685,-1.65730178,0.45492089,0.67659444,2.40367270,0.12138487,0.01264403,42.95772934,-6.53315639,4.74705315,-0.48092744,0.01955561,-2.49914169,0.62675714,-3.74730563,1.38586378,0.42657498,0.98287868,0.32174238,0.01743516,57.14839172,-5.26331139,2.28707838,2.40845251,0.52911031,-8.78420258,5.63514900,-5.62041950,2.60859561,0.35536465,0.73393178,0.39182844,
