x,y,z,d,xv,yv,zv,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L0 p-val
0.00,0.00,3.00,0.24,76.00,142.00,9.00,138.00,30.87,0.70,3.37903619,2.36865425,2.65982819,3.25675583,2.91606855,83.18212128,0.00000000,3.45,0.00000000,-0.51992327,-0.73487103,-0.21494773,5.19615364,0.02336578,-4.41470194,-2.73746347,1.67723835,11.65230465,4.66,2.56,0.00841548,72.75077820,-1.44718778,0.17190637,6.18979788,11.88882923,0.41285178,0.04551255,-1.89681578,0.70387352,0.27005512,0.38133591,0.53703729,0.01056414,65.24617004,-4.74762011,1.88488412,6.96249771,8.55665207,2.32230687,0.68234092,-3.67226887,2.34571791,0.43652064,1.00785327,0.31567358,0.01658198,73.09073639,-5.04230499,1.45034003,7.58159018,4.71503496,2.11752439,0.31853470,-4.69980001,1.20622694,0.52691340,1.58572388,0.20824777,0.01285060,57.37395859,-4.69477654,3.59194613,6.75333023,8.68780899,1.01597285,0.24694411,-2.69852400,0.82818854,0.56959951,1.64029658,0.20059769,0.01542213,70.38591766,-9.33409214,9.20289135,6.34263039,3.53298211,2.44636321,0.75752211,-0.84081829,0.06956302,0.36791354,0.71995109,0.39637392,0.01829926,66.01955414,-12.00805950,4.27977371,3.69055367,1.27120638,4.50330448,1.65676999,-1.14113927,0.14155129,0.69892418,2.84454370,0.09201329,0.01285060,57.37395859,-4.69477654,3.59194613,6.75333023,8.68780899,1.01597285,0.24694411,-2.69852400,0.82818854,0.56959951,1.64029658,0.20059769,0.01542213,70.38591766,-9.33409214,9.20289135,6.34263039,3.53298211,2.44636321,0.75752211,-0.84081829,0.06956302,0.36791354,0.71995109,0.39637392,0.01829926,66.01955414,-12.00805950,4.27977371,3.69055367,1.27120638,4.50330448,1.65676999,-1.14113927,0.14155129,0.69892418,2.84454370,0.09201329,
0.00,0.00,7.00,0.29,76.00,143.00,8.00,137.00,27.59,0.65,3.47333360,2.03771210,2.41657829,3.49590158,2.85588121,65.77561951,0.00000000,3.80,0.00000000,-0.49639282,-0.74550033,-0.24910752,7.63931227,0.00607782,0.57162577,-0.03197425,-0.60360003,1.01142013,4.62,2.44,0.00837858,56.69598007,-2.82879257,0.51647347,0.28511292,0.01983179,2.47340155,1.28398490,-2.15553975,0.71457964,0.14179625,0.08264422,0.77380829,0.01031904,49.44089890,-7.79346991,4.03391409,1.17915583,0.19490351,3.94857168,1.56658423,-4.90727234,3.32667089,0.37814599,0.60068393,0.43851026,0.01436364,43.05213928,1.74964237,0.13707727,-1.99822283,0.25709757,3.94377184,0.86728138,-10.23922443,4.49447727,0.72068053,2.32858729,0.12735029,0.01295623,46.73729324,-0.20664310,0.00557258,2.16643500,0.71649438,2.13314104,0.87224799,-0.55663520,0.02828084,0.38991818,0.61597902,0.43274132,0.01425707,47.71270752,-1.15724921,0.11221997,2.01802444,0.28369594,0.84514380,0.07170185,-3.44191480,0.92493314,0.46996081,0.93184751,0.33462923,0.01741339,47.89419174,-8.77338886,1.83031273,2.53329778,0.47982419,-2.11908507,0.29392335,-4.02283335,1.40919042,0.76272851,2.71401429,0.09980144,0.01295623,46.73729324,-0.20664310,0.00557258,2.16643500,0.71649438,2.13314104,0.87224799,-0.55663520,0.02828084,0.38991818,0.61597902,0.43274132,0.01425707,47.71270752,-1.15724921,0.11221997,2.01802444,0.28369594,0.84514380,0.07170185,-3.44191480,0.92493314,0.46996081,0.93184751,0.33462923,0.01741339,47.89419174,-8.77338886,1.83031273,2.53329778,0.47982419,-2.11908507,0.29392335,-4.02283335,1.40919042,0.76272851,2.71401429,0.09980144,
0.00,0.00,9.00,0.42,76.00,143.00,9.00,149.00,29.10,0.67,3.01988149,2.32331371,3.77060246,3.04642725,3.04005623,88.47599030,0.00000000,3.49,0.00000000,-0.46005717,-0.74657708,-0.28651989,7.92536688,0.00520973,-3.16793013,-2.51517367,0.65275645,1.23777199,4.63,2.47,0.00822905,65.68056488,4.61072397,1.64778185,0.23089604,0.01559549,0.30809903,0.02390178,0.17286384,0.00550928,0.39418143,0.76714540,0.38132323,0.01150574,75.34317017,4.62093782,1.73829281,0.51426536,0.04542816,2.66632819,0.87558705,0.45380607,0.03486547,0.30432263,0.47686690,0.49001378,0.01715890,75.27109528,4.56339979,1.14248621,-1.57086480,0.19467275,1.70172405,0.19780308,-0.04001381,0.00008460,0.47259948,1.22675133,0.26832040,0.01155796,44.02594376,-0.84227765,0.10974474,2.28587008,0.94424999,1.92340112,0.83945239,-0.27652049,0.00832774,0.84715056,3.44174647,0.06387840,0.01250015,43.61044312,0.01294803,0.00000000,4.40240812,1.60520208,1.46487641,0.25617465,0.28120631,0.00731693,0.95103717,4.53723431,0.03342184,0.01511474,42.80535126,-5.46772623,0.84324038,2.81696868,0.70380497,2.96622968,0.68310243,2.03856611,0.42927113,1.22192621,8.26301956,0.00413645,0.01155796,44.02594376,-0.84227765,0.10974474,2.28587008,0.94424999,1.92340112,0.83945239,-0.27652049,0.00832774,0.84715056,3.44174647,0.06387840,0.01250015,43.61044312,0.01294803,0.00000000,4.40240812,1.60520208,1.46487641,0.25617465,0.28120631,0.00731693,0.95103717,4.53723431,0.03342184,0.01511474,42.80535126,-5.46772623,0.84324038,2.81696868,0.70380497,2.96622968,0.68310243,2.03856611,0.42927113,1.22192621,8.26301956,0.00413645,
0.00,0.00,14.00,0.57,76.00,143.00,10.00,139.00,38.24,0.76,3.10210872,1.98383772,3.09174514,2.95548058,2.78329301,115.51461792,0.00000000,2.79,0.00000000,-0.35696691,-0.79585755,-0.43889067,13.21821308,0.00032813,0.63775975,1.07204974,0.43428996,1.02544594,6.28,0.00,0.00821566,105.97515106,1.08993292,0.14907083,-0.73358947,0.25526577,-0.66715765,0.18165648,0.28233120,0.02387328,0.13717672,0.15044285,0.69819949,0.01133310,118.14672852,-0.15258096,0.00305352,0.14103776,0.00555186,-0.93571490,0.17432845,0.52875483,0.07654629,0.10021199,0.08362491,0.77250701,0.01595519,104.77991486,-5.16370678,2.35515809,0.06546710,0.00054484,-2.29370594,0.57869285,2.73538661,0.63270056,0.46685532,1.92745519,0.16536292,0.01125559,65.87296295,-1.82412088,0.81154174,-0.38652951,0.04260318,-0.74875098,0.20072275,-1.37574828,0.32215807,0.66166270,3.31251073,0.06906927,0.01368220,84.31211853,-4.14580297,2.76294732,0.40264753,0.02162439,0.49673721,0.04749407,-2.53200960,0.96036184,0.49830762,2.01000738,0.15659281,0.01662839,83.55743408,-5.72958136,1.49349105,-0.47119531,0.03173990,-0.26063272,0.00851236,-1.48684704,0.36827523,0.76238537,5.18785715,0.02296693,0.01125559,65.87296295,-1.82412088,0.81154174,-0.38652951,0.04260318,-0.74875098,0.20072275,-1.37574828,0.32215807,0.66166270,3.31251073,0.06906927,0.01368220,84.31211853,-4.14580297,2.76294732,0.40264753,0.02162439,0.49673721,0.04749407,-2.53200960,0.96036184,0.49830762,2.01000738,0.15659281,0.01662839,83.55743408,-5.72958136,1.49349105,-0.47119531,0.03173990,-0.26063272,0.00851236,-1.48684704,0.36827523,0.76238537,5.18785715,0.02296693,
0.00,0.00,10.00,0.46,76.00,144.00,8.00,132.00,26.45,0.67,4.71992588,3.29300141,4.38102293,3.56123924,3.98879743,106.53443146,0.00000000,4.17,0.00000000,-0.23431423,-0.59452647,-0.36021224,13.75931263,0.00024913,1.59249806,-0.14646317,-1.73896122,10.30701542,4.53,1.30,0.01429731,149.65766907,-0.73642111,0.03173332,-1.78721690,0.70638627,-2.48828912,1.17803550,-3.34885621,1.56363368,-0.58816391,1.28923011,0.25647656,0.01768155,130.58651733,4.25005722,1.07923937,-0.70206928,0.06220563,-2.33735180,0.49386355,-3.11609650,1.20673883,-0.16630799,0.10455840,0.74649771,0.02740470,142.88717651,-1.51931274,0.09425484,-4.52701139,1.20321298,-4.22284126,0.90665972,-7.39290953,2.13625407,-0.02690871,0.00295924,0.95662883,0.01985157,94.79926300,-0.70962191,0.05681291,-0.64171708,0.05428522,-3.39019513,1.90347326,-2.01044607,0.31824860,0.25212979,0.22255735,0.63720666,0.02185059,98.45137024,-5.03435135,1.86537969,3.55125308,0.77175981,0.87050390,0.06687451,-4.45207024,1.35941732,0.34727412,0.44698411,0.50393323,0.02436820,82.37017059,-5.65339375,0.66740906,9.40693283,5.81082678,6.87010336,2.71301150,-4.32207775,1.42853534,1.03213048,4.36460209,0.03695893,0.01985157,94.79926300,-0.70962191,0.05681291,-0.64171708,0.05428522,-3.39019513,1.90347326,-2.01044607,0.31824860,0.25212979,0.22255735,0.63720666,0.02185059,98.45137024,-5.03435135,1.86537969,3.55125308,0.77175981,0.87050390,0.06687451,-4.45207024,1.35941732,0.34727412,0.44698411,0.50393323,0.02436820,82.37017059,-5.65339375,0.66740906,9.40693283,5.81082678,6.87010336,2.71301150,-4.32207775,1.42853534,1.03213048,4.36460209,0.03695893,
0.00,0.00,14.00,0.60,76.00,144.00,9.00,137.00,29.98,0.69,4.99036455,3.59259796,4.94802094,4.43725252,4.49205923,204.60643005,0.00000000,3.39,0.00000000,-0.20380290,-0.66694760,-0.46314472,17.36228561,0.00004084,2.61825013,1.67967153,-0.93857872,4.85553360,4.53,1.30,0.01293563,192.91484070,-0.82208931,0.06226192,-3.30931735,3.81389546,-1.42955422,0.61234301,-3.19980931,2.24797773,0.32650340,0.62564164,0.42915614,0.01745043,204.94676208,-0.47441784,0.02163034,-3.62305737,2.66723418,-2.43833733,0.86592448,-2.84148788,1.61669016,0.35726920,0.77716899,0.37823159,0.02496171,186.85357666,5.92627811,2.26021671,-4.84727335,2.17427373,-5.69051647,2.59495687,-7.18841219,3.18345690,0.80045336,4.12823248,0.04245153,0.01834628,126.59979248,-1.27827668,0.28832692,-0.51052636,0.05373194,-4.50130796,5.24691010,-1.38305974,0.23553599,1.05724645,6.11791325,0.01355598,0.02038881,133.60829163,-2.71019888,0.84259319,0.50684351,0.02452041,-3.37562037,1.56656063,-3.39026093,1.22867131,1.10481155,7.05117941,0.00805406,0.02571013,144.59355164,-3.78908753,0.47278520,1.71804535,0.30560514,-8.68786621,6.84177208,-3.58046317,1.54598558,1.42490625,13.11799812,0.00030797,0.01834628,126.59979248,-1.27827668,0.28832692,-0.51052636,0.05373194,-4.50130796,5.24691010,-1.38305974,0.23553599,1.05724645,6.11791325,0.01355598,0.02038881,133.60829163,-2.71019888,0.84259319,0.50684351,0.02452041,-3.37562037,1.56656063,-3.39026093,1.22867131,1.10481155,7.05117941,0.00805406,0.02571013,144.59355164,-3.78908753,0.47278520,1.71804535,0.30560514,-8.68786621,6.84177208,-3.58046317,1.54598558,1.42490625,13.11799812,0.00030797,
0.00,0.00,19.00,0.73,76.00,144.00,10.00,112.00,26.36,0.76,6.06695318,4.28653383,6.28815556,5.60614681,5.56194735,225.50767517,0.00000000,4.00,0.00000000,-0.14339164,-0.82643270,-0.68304110,26.15294456,0.00000058,0.88387436,-1.31698430,-2.20085859,15.27523994,4.44,1.24,0.01530355,201.37785339,5.74219418,2.26576924,-3.54407787,3.26242542,1.07104445,0.25637743,3.19839287,1.67516947,0.57666802,1.45561063,0.22793048,0.01813900,155.08377075,1.27899027,0.11023665,-2.74985361,1.07605195,3.00015473,0.91809350,3.70460773,1.92458975,1.20435107,6.18534279,0.01305216,0.02634415,144.23556519,0.14672692,0.00096288,-4.64920855,1.38619864,-1.43142402,0.11375701,1.37622321,0.08081287,1.66571712,12.38947201,0.00045227,0.02231699,138.24589539,-3.27105570,1.39306593,-1.41203868,0.30340505,0.47374171,0.04284754,4.64903259,1.96376467,1.29312170,6.75414753,0.00949811,0.02345651,130.24673462,0.62545854,0.03305193,1.74047470,0.21281542,2.65524936,0.71389389,8.73752975,6.01112890,1.60986376,11.02693462,0.00093221,0.02678479,110.98781586,-0.38619196,0.00344568,2.01248956,0.29659882,4.94797659,1.56947398,7.01086187,4.19204283,2.32760787,24.75552940,0.00000077,0.02231699,138.24589539,-3.27105570,1.39306593,-1.41203868,0.30340505,0.47374171,0.04284754,4.64903259,1.96376467,1.29312170,6.75414753,0.00949811,0.02345651,130.24673462,0.62545854,0.03305193,1.74047470,0.21281542,2.65524936,0.71389389,8.73752975,6.01112890,1.60986376,11.02693462,0.00093221,0.02678479,110.98781586,-0.38619196,0.00344568,2.01248956,0.29659882,4.94797659,1.56947398,7.01086187,4.19204283,2.32760787,24.75552940,0.00000077,
0.00,0.00,20.00,0.80,76.00,145.00,10.00,93.00,11.79,0.78,22.82901955,14.62669563,20.19170380,21.56025314,19.80191803,494.29495239,0.00000000,9.61,0.00000000,0.13092928,-0.75821954,-0.88914883,40.58125305,0.00000000,-1.11326933,-5.80978823,-4.69651890,16.76570320,4.44,1.24,0.05283996,635.22631836,-0.65402037,0.00771398,10.93469143,8.21714115,7.01876783,2.91270447,1.07990682,0.05049875,2.80591035,9.11808681,0.00259868,0.06326097,462.46984863,-5.29681349,0.46381864,20.00363731,13.96100998,15.71509361,6.17625046,7.04300928,1.70552731,4.75108147,23.60013771,0.00000139,0.10068521,530.00958252,-10.97449398,1.35133910,14.74784946,3.50908017,12.51280594,2.18750000,-2.56423712,0.07066052,5.02760553,28.39362335,0.00000012,0.07772757,372.60552979,-13.49637222,5.26938105,13.65947342,6.30916023,4.06640053,0.70211506,1.50036585,0.04542517,5.17551422,24.03904724,0.00000111,0.08938485,428.68649292,-8.05206013,1.24169219,16.10949135,4.13220978,6.79502344,1.05968356,-0.74297547,0.00986223,4.84702444,22.65682030,0.00000224,0.10644621,393.76434326,-29.40216827,4.52276421,22.15355682,8.07390594,7.67749786,0.84881121,-7.61180496,1.11003530,6.97244740,49.90004730,0.00000000,0.07772757,372.60552979,-13.49637222,5.26938105,13.65947342,6.30916023,4.06640053,0.70211506,1.50036585,0.04542517,5.17551422,24.03904724,0.00000111,0.08938485,428.68649292,-8.05206013,1.24169219,16.10949135,4.13220978,6.79502344,1.05968356,-0.74297547,0.00986223,4.84702444,22.65682030,0.00000224,0.10644621,393.76434326,-29.40216827,4.52276421,22.15355682,8.07390594,7.67749786,0.84881121,-7.61180496,1.11003530,6.97244740,49.90004730,0.00000000,
0.00,0.00,19.00,0.76,76.00,146.00,9.00,111.00,17.77,0.72,10.44558144,6.70625687,11.48312283,10.58577156,9.80518341,320.48077393,0.00000000,5.91,0.00000000,0.21595283,-0.56974542,-0.78569824,39.01966476,0.00000000,2.42684293,0.90399885,-1.52284408,4.16581726,4.49,1.29,0.02735309,360.36398315,-0.74143577,0.02112884,4.85091686,3.42363024,3.42231798,1.46605551,9.76003170,8.73740864,0.94727224,2.20000935,0.13834191,0.03458687,314.33056641,-2.30512929,0.19974554,8.72903824,6.04485989,6.10536480,2.11964989,7.18986702,4.04137802,1.57053280,5.86374903,0.01564243,0.05161187,304.66506958,-6.98632145,1.19794226,7.21969986,1.83964574,4.49400473,0.61725253,11.79081821,3.26657844,2.22535253,12.16927719,0.00050814,0.04534552,314.06118774,-7.82322741,4.38472939,3.64000177,1.10961401,0.31798518,0.01062307,6.89227486,2.37505841,1.22494686,3.33495593,0.06813629,0.05110124,345.82913208,-1.80866015,0.15463606,7.94242430,2.47924829,2.43010426,0.33455068,3.85853338,0.65583789,1.25052476,3.72234440,0.05398681,0.05803525,282.55224609,-7.07284307,0.63176990,10.78878498,4.62250090,5.62041140,1.09808671,6.52905321,1.97151482,2.83664966,19.93790245,0.00000896,0.04534552,314.06118774,-7.82322741,4.38472939,3.64000177,1.10961401,0.31798518,0.01062307,6.89227486,2.37505841,1.22494686,3.33495593,0.06813629,0.05110124,345.82913208,-1.80866015,0.15463606,7.94242430,2.47924829,2.43010426,0.33455068,3.85853338,0.65583789,1.25052476,3.72234440,0.05398681,0.05803525,282.55224609,-7.07284307,0.63176990,10.78878498,4.62250090,5.62041140,1.09808671,6.52905321,1.97151482,2.83664966,19.93790245,0.00000896,
0.00,0.00,16.00,0.69,76.00,147.00,6.00,114.00,30.75,0.67,2.86607432,1.64942420,2.51090407,2.56555653,2.39798975,68.01518250,0.00000000,3.14,0.00000000,-0.05519102,-0.66304058,-0.60784960,27.83530998,0.00000026,-0.95282990,-1.52111506,-0.56828517,1.23719132,4.58,1.48,0.00844444,87.90144348,-0.18321042,0.00333933,0.53123337,0.10513508,-2.27208805,1.65383089,3.98312402,3.72432423,-0.31564379,0.62520903,0.42931569,0.01144220,93.46721649,-1.55152214,0.24581611,0.83006883,0.14854532,-4.40849733,3.00257587,4.34981489,4.01891041,-0.29770550,0.57242191,0.44948590,0.01541757,75.79972076,-4.66120625,1.48680711,2.49913120,0.61460459,-3.78767180,1.22256088,8.48961830,4.72160721,0.16461976,0.18573217,0.66659056,0.01101206,49.33872604,-1.25874972,0.30242181,1.26538932,0.35718548,-3.59531784,3.62091827,1.63112068,0.35433534,0.35568914,0.74908179,0.38698584,0.01498267,80.08168793,-2.35901475,0.70868003,2.32315207,0.57144159,-5.40155792,4.45226336,0.66927302,0.05317202,-0.06107353,0.02395893,0.87702236,0.01759802,73.85463715,-1.52316129,0.08331941,3.22117686,1.17147088,-2.31303883,0.52876580,-1.69923377,0.37962404,0.29086778,0.59594208,0.44032270,0.01101206,49.33872604,-1.25874972,0.30242181,1.26538932,0.35718548,-3.59531784,3.62091827,1.63112068,0.35433534,0.35568914,0.74908179,0.38698584,0.01498267,80.08168793,-2.35901475,0.70868003,2.32315207,0.57144159,-5.40155792,4.45226336,0.66927302,0.05317202,-0.06107353,0.02395893,0.87702236,0.01759802,73.85463715,-1.52316129,0.08331941,3.22117686,1.17147088,-2.31303883,0.52876580,-1.69923377,0.37962404,0.29086778,0.59594208,0.44032270,
