x,y,z,d,xv,yv,zv,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L0 p-val
0.00,0.00,14.00,0.70,79.00,138.00,15.00,176.00,26.94,0.27,2.98343396,2.47484446,3.26524186,3.28528762,3.00220203,89.57630920,0.00000000,3.41,0.00000000,2.36354589,1.32242382,-1.04112196,75.71039581,0.00000000,1.01916695,-0.31242058,-1.33158755,7.00761890,4.53,3.66,0.01083148,55.09951782,1.80831194,0.27210632,1.02144349,0.13307454,-0.56314164,0.06780757,4.19545412,3.26562643,-0.46139151,0.70076579,0.40273725,0.00915539,33.06639099,10.29309940,6.74119902,0.36222005,0.01206479,-0.50057536,0.03886585,4.77122116,1.62659168,0.39275968,0.50215364,0.47872939,0.02000836,56.46464539,13.69404030,5.57304096,-0.66993809,0.01886236,-4.21921921,1.00494456,0.89849597,0.04139240,0.03613045,0.00515222,0.94279294,0.00522167,17.62735367,0.42284682,0.02927054,-0.06524553,0.00108101,-2.23412514,1.40689862,4.38579655,2.38238931,1.08830166,3.77947569,0.05218015,0.00660635,11.02861214,-4.24905396,1.21772611,0.89792126,0.07933420,-3.11873960,1.09810448,7.47063923,4.25112200,1.55716670,8.36301613,0.00391678,0.00807322,5.56447935,-5.35271454,1.36615515,-0.79142994,0.02430764,-8.47176456,4.47367382,6.10322905,1.76197553,2.29685450,24.75798988,0.00000077,0.00522167,17.62735367,0.42284682,0.02927054,-0.06524553,0.00108101,-2.23412514,1.40689862,4.38579655,2.38238931,1.08830166,3.77947569,0.05218015,0.00660635,11.02861214,-4.24905396,1.21772611,0.89792126,0.07933420,-3.11873960,1.09810448,7.47063923,4.25112200,1.55716670,8.36301613,0.00391678,0.00807322,5.56447935,-5.35271454,1.36615515,-0.79142994,0.02430764,-8.47176456,4.47367382,6.10322905,1.76197553,2.29685450,24.75798988,0.00000077,
0.00,0.00,10.00,0.58,79.00,138.00,16.00,202.00,29.22,0.65,3.29854918,1.59072185,3.15724373,3.76624537,2.95319009,70.31114197,0.00000000,3.79,0.00000000,2.18305635,1.24699605,-0.93606031,65.40804291,0.00000000,2.61809421,1.75826991,-0.85982442,2.74691701,4.41,3.27,0.01303037,65.56501770,5.63140106,2.16981196,0.29838416,0.00936413,-1.16289496,0.23792082,2.96844935,1.34418428,-1.14168417,3.52782631,0.06065326,0.01206751,47.27058411,0.01905920,0.00000000,2.48468876,0.46850932,3.52090859,1.58280563,8.17395210,3.92818880,-0.69833517,1.30632341,0.25334965,0.02389806,65.49260712,3.12246490,0.23557650,-2.41773510,0.20014773,-1.28940618,0.07625351,3.62880874,0.54896849,-0.67022896,1.43255794,0.23164634,0.00994533,54.21650696,1.45295489,0.29287282,0.35103041,0.02686195,-0.71279550,0.12140755,3.56108403,1.33167589,-0.77684647,1.63279760,0.20162901,0.01488847,47.25691223,-6.77385044,2.61106491,-0.50454271,0.02114703,1.06722236,0.10845704,4.77611065,1.46584511,-0.39572394,0.45560336,0.49985036,0.02457984,43.78858185,-14.20541477,8.16827774,-4.67044449,0.71757472,-4.26992941,0.96478355,7.09538126,2.02166033,0.63120121,1.58726728,0.20802673,0.00994533,54.21650696,1.45295489,0.29287282,0.35103041,0.02686195,-0.71279550,0.12140755,3.56108403,1.33167589,-0.77684647,1.63279760,0.20162901,0.01488847,47.25691223,-6.77385044,2.61106491,-0.50454271,0.02114703,1.06722236,0.10845704,4.77611065,1.46584511,-0.39572394,0.45560336,0.49985036,0.02457984,43.78858185,-14.20541477,8.16827774,-4.67044449,0.71757472,-4.26992941,0.96478355,7.09538126,2.02166033,0.63120121,1.58726728,0.20802673,
0.00,0.00,4.00,0.40,79.00,138.00,17.00,218.00,23.71,0.71,3.44144011,1.80812502,3.31667757,3.28637147,2.96315360,52.64336014,0.00000000,4.39,0.00000000,2.09352660,1.29544938,-0.79807717,49.08216858,0.00000000,4.45513725,4.16247034,-0.29266673,0.28241611,4.35,3.12,0.01327322,48.74553680,-0.81670594,0.03272178,-1.56489742,0.18415031,-4.20740700,2.23158383,-2.16924787,0.51436156,-1.15565765,2.58997512,0.10787460,0.01641062,64.67182159,-4.45995188,0.77041972,-2.73612356,0.42030525,-1.33836603,0.16923425,-8.92158508,3.46201015,-1.78344381,6.30321503,0.01221724,0.02427953,49.18607330,6.59867716,0.76549095,-6.96390438,1.20841980,-11.16578484,4.16355181,-10.64938545,3.44011164,-0.58200252,0.78594810,0.37555275,0.01215939,60.09446716,-6.95838976,4.98013783,-0.76092559,0.09358017,0.91544640,0.14847356,-6.47896051,3.26861405,-1.69741368,5.78032684,0.01639731,0.01930322,59.25770569,-1.33621252,0.07580321,-0.51358110,0.01634767,-3.70688009,0.97638285,-5.03634930,1.21597517,-1.31052589,3.72799778,0.05380511,0.02744969,40.03937912,-5.34576797,0.84817368,0.21335351,0.00112449,0.95787621,0.03567707,-1.19511127,0.04211734,0.25574040,0.19106142,0.66213411,0.01215939,60.09446716,-6.95838976,4.98013783,-0.76092559,0.09358017,0.91544640,0.14847356,-6.47896051,3.26861405,-1.69741368,5.78032684,0.01639731,0.01930322,59.25770569,-1.33621252,0.07580321,-0.51358110,0.01634767,-3.70688009,0.97638285,-5.03634930,1.21597517,-1.31052589,3.72799778,0.05380511,0.02744969,40.03937912,-5.34576797,0.84817368,0.21335351,0.00112449,0.95787621,0.03567707,-1.19511127,0.04211734,0.25574040,0.19106142,0.66213411,
0.00,0.00,9.00,0.52,79.00,139.00,15.00,195.00,26.33,0.51,2.89664245,2.27426171,3.36115766,3.70144391,3.05837631,91.31362915,0.00000000,3.44,0.00000000,2.31900764,1.42652369,-0.89248383,61.03873062,0.00000000,2.02151561,0.91063452,-1.11088121,3.92029071,4.53,3.66,0.00853211,32.68931198,0.65245825,0.03384065,-6.38311100,4.97155952,1.20568264,0.29744589,4.86144590,4.19238710,0.34331551,0.37099066,0.54261054,0.00861514,28.27542114,-0.94326580,0.05467733,-2.56750274,0.58713633,-1.38334715,0.28678551,9.53493214,6.27332926,0.50222307,0.79302937,0.37341138,0.01570270,33.35234070,2.41940999,0.16682285,-6.90235806,1.92457616,-0.34287149,0.00636473,11.94257641,7.01359415,0.69258964,1.80431640,0.17951267,0.00714862,33.12986755,-1.24068630,0.25257701,-5.39168310,7.49083900,1.73164129,0.84753805,3.05064225,1.15590048,0.36059716,0.41609749,0.51904668,0.01133467,32.81099319,-5.66616488,2.18858123,-8.91655350,7.91265297,4.13268852,1.94871259,3.18530726,0.78105688,0.50769293,0.89844114,0.34344134,0.01896650,31.21448708,-6.78569317,2.23143649,-15.28903770,9.20685577,5.26274872,1.75468445,3.49761033,0.58809429,1.20693064,6.94804335,0.00852805,0.00714862,33.12986755,-1.24068630,0.25257701,-5.39168310,7.49083900,1.73164129,0.84753805,3.05064225,1.15590048,0.36059716,0.41609749,0.51904668,0.01133467,32.81099319,-5.66616488,2.18858123,-8.91655350,7.91265297,4.13268852,1.94871259,3.18530726,0.78105688,0.50769293,0.89844114,0.34344134,0.01896650,31.21448708,-6.78569317,2.23143649,-15.28903770,9.20685577,5.26274872,1.75468445,3.49761033,0.58809429,1.20693064,6.94804335,0.00852805,
0.00,0.00,0.00,0.39,79.00,139.00,16.00,215.00,26.67,0.74,3.08066940,3.36394191,3.22650313,4.06060219,3.43292928,97.71018982,0.00000000,3.74,0.00000000,2.08446407,1.28689134,-0.79757273,51.41999435,0.00000000,4.34689951,3.10978889,-1.23711050,4.25177193,4.44,3.43,0.00803745,24.17550087,0.43132207,0.01235599,-2.50856757,0.63992846,1.28263891,0.28048790,1.93334198,0.55259883,0.87068975,1.98847628,0.15882795,0.00864481,23.87434769,0.59154427,0.01800526,-2.97657871,0.66165841,0.10623369,0.00139576,3.95212722,0.90375245,0.90171051,2.14353323,0.14350297,0.01374074,21.33592224,1.74364376,0.07241362,-6.84511900,1.58134568,3.47669125,0.54670537,10.40624809,4.44885492,1.32750762,5.53813791,0.01880957,0.00716974,28.06246948,1.48006058,0.30263260,-1.41037154,0.43162012,1.61831522,0.62338108,1.92202115,0.38640076,0.71231377,1.36718321,0.24259004,0.01260064,34.29353333,0.64366984,0.02382861,-2.61954665,0.57754314,4.15495157,1.66588116,1.82011771,0.21565948,0.57684290,0.98086172,0.32223860,0.02131432,33.33174896,-1.27641952,0.06676188,-2.37083793,0.18722966,8.44700718,3.82215285,-5.71641159,1.32839203,1.26042449,6.40716457,0.01152659,0.00716974,28.06246948,1.48006058,0.30263260,-1.41037154,0.43162012,1.61831522,0.62338108,1.92202115,0.38640076,0.71231377,1.36718321,0.24259004,0.01260064,34.29353333,0.64366984,0.02382861,-2.61954665,0.57754314,4.15495157,1.66588116,1.82011771,0.21565948,0.57684290,0.98086172,0.32223860,0.02131432,33.33174896,-1.27641952,0.06676188,-2.37083793,0.18722966,8.44700718,3.82215285,-5.71641159,1.32839203,1.26042449,6.40716457,0.01152659,
0.00,0.00,1.00,0.00,79.00,139.00,17.00,236.00,25.87,0.75,3.04562736,2.23605037,2.86367321,3.30419230,2.86238575,65.67311859,0.00000000,3.80,0.00000000,1.89998329,1.22357905,-0.67640424,38.30178452,0.00000000,3.30153227,3.04890847,-0.25262383,0.16392738,6.28,0.00,0.00318408,3.64424205,10.33043289,6.79686308,7.81129169,5.95966005,1.70791900,0.47774100,2.69189596,1.02897036,1.83311450,8.46597290,0.00370301,0.00412302,5.16109514,3.58691001,0.63007313,5.77223253,2.36483026,-4.09493399,2.00250506,2.96821356,0.48449311,1.68741703,7.13395357,0.00769322,0.01035669,11.49158192,6.84657145,1.05813670,-1.18003106,0.04450914,-4.53645039,0.88242179,-0.62235326,0.01505749,1.35352314,5.45843840,0.01968140,0.00291865,4.40258121,5.97769451,4.67333841,3.85010123,3.04507208,-0.09546256,0.00206076,1.22314692,0.14817528,1.77194989,8.00970840,0.00475091,0.00771425,12.11470222,2.63721061,0.37794089,4.96989059,1.95954800,-0.23313326,0.00499834,2.43825340,0.36481196,1.12088144,3.49090505,0.06201478,0.01598494,17.68803978,0.87351179,0.02949738,0.15874016,0.00079903,-1.85520983,0.17392133,-1.46286845,0.08209992,1.28261721,6.25996923,0.01251698,0.00291865,4.40258121,5.97769451,4.67333841,3.85010123,3.04507208,-0.09546256,0.00206076,1.22314692,0.14817528,1.77194989,8.00970840,0.00475091,0.00771425,12.11470222,2.63721061,0.37794089,4.96989059,1.95954800,-0.23313326,0.00499834,2.43825340,0.36481196,1.12088144,3.49090505,0.06201478,0.01598494,17.68803978,0.87351179,0.02949738,0.15874016,0.00079903,-1.85520983,0.17392133,-1.46286845,0.08209992,1.28261721,6.25996923,0.01251698,
0.00,0.00,0.00,0.00,79.00,139.00,18.00,243.00,21.40,0.74,1.41564798,0.91352952,1.11506128,1.60074306,1.26124549,12.62844467,0.00039854,3.82,0.00104435,1.64492381,1.10764062,-0.53728324,27.94078636,0.00000025,-0.47390890,-0.70383501,-0.22992611,0.10523970,6.28,0.00,0.00656358,15.27338696,-10.85394096,7.40043259,1.94660652,0.36498889,-0.66975170,0.07241581,-0.97367626,0.13272925,-0.92257714,2.11500454,0.14619226,0.00599967,10.81672382,-7.44164705,2.68402791,-1.24214029,0.10837992,1.94973600,0.44927451,-0.55209196,0.01654254,-0.57916433,0.83178806,0.36198762,0.01030120,11.36406708,-20.20118713,9.20848179,-0.06791101,0.00013261,5.86218786,1.47297251,4.44560575,0.76947314,-0.45015377,0.60351092,0.43743517,0.00404207,8.36238861,-2.16902304,0.60935152,4.18456459,3.56229687,1.34149659,0.40158212,-0.08601843,0.00072416,-0.35506669,0.31850070,0.57264342,0.00868008,15.26254654,-3.01295829,0.49080852,7.30951357,4.21773052,-2.14204955,0.41520768,-1.87336135,0.21426865,-0.69482678,1.33481884,0.24824055,0.01525720,15.96279335,0.30674249,0.00362780,5.04685688,0.79283977,-0.59698635,0.01787517,-4.10369921,0.63987845,-0.26645726,0.26766586,0.60502241,0.00404207,8.36238861,-2.16902304,0.60935152,4.18456459,3.56229687,1.34149659,0.40158212,-0.08601843,0.00072416,-0.35506669,0.31850070,0.57264342,0.00868008,15.26254654,-3.01295829,0.49080852,7.30951357,4.21773052,-2.14204955,0.41520768,-1.87336135,0.21426865,-0.69482678,1.33481884,0.24824055,0.01525720,15.96279335,0.30674249,0.00362780,5.04685688,0.79283977,-0.59698635,0.01787517,-4.10369921,0.63987845,-0.26645726,0.26766586,0.60502241,
0.00,0.00,3.00,0.00,79.00,140.00,15.00,219.00,24.53,0.67,3.76826954,3.47803974,4.50822115,3.56912732,3.83091450,95.27375031,0.00000000,4.22,0.00000000,1.94211543,1.21637988,-0.72573555,46.05174637,0.00000000,2.65861821,0.61925375,-2.03936434,13.30063915,6.28,0.00,0.00925072,25.00985718,1.67807770,0.14588538,-1.73165882,0.23812680,-3.31423521,1.46256089,-1.12553418,0.14632151,0.98903400,2.00379777,0.15723373,0.00803653,16.07813263,2.10667610,0.17815647,-3.42672515,0.68336821,3.15902877,0.97714150,6.08559322,1.66986346,1.43812025,4.24878168,0.03955044,0.01345107,15.78302383,4.95712471,0.45173055,2.11387324,0.11644322,-3.87900424,0.52539867,0.78519177,0.01955123,1.82016146,8.03706646,0.00468029,0.00682877,19.69923401,3.03812790,0.98662436,1.05072057,0.18528412,-2.10905170,0.81916225,-2.18808770,0.38741225,1.31657219,3.61418128,0.05759162,0.01173270,22.85614014,2.50699139,0.27851999,1.53288484,0.15208800,-2.94746304,0.64444435,-2.48127723,0.30808961,1.23845291,3.47584677,0.06257940,0.01953120,21.51356506,2.63759518,0.21905012,2.53553367,0.16447747,-8.00561333,2.63890839,-2.99844313,0.28089193,1.92600572,11.49975204,0.00072477,0.00682877,19.69923401,3.03812790,0.98662436,1.05072057,0.18528412,-2.10905170,0.81916225,-2.18808770,0.38741225,1.31657219,3.61418128,0.05759162,0.01173270,22.85614014,2.50699139,0.27851999,1.53288484,0.15208800,-2.94746304,0.64444435,-2.48127723,0.30808961,1.23845291,3.47584677,0.06257940,0.01953120,21.51356506,2.63759518,0.21905012,2.53553367,0.16447747,-8.00561333,2.63890839,-2.99844313,0.28089193,1.92600572,11.49975204,0.00072477,
0.00,0.00,0.00,0.00,79.00,140.00,16.00,215.00,23.10,0.75,2.01522732,1.02443635,1.24796295,1.47326493,1.44022298,13.15382576,0.00030213,4.27,0.00017846,1.78338242,1.11303782,-0.67034459,40.31538773,0.00000000,0.17936753,0.77329069,0.59392315,0.81165045,6.28,0.00,0.00220381,1.35318494,0.85092676,0.03575784,0.49592471,0.01860655,3.30404425,1.38582432,3.26454782,1.17304444,0.66231209,0.85662907,0.35491904,0.00345762,2.84287119,4.47240067,0.76715863,-0.78813463,0.03449305,-2.46379948,0.56778467,-0.57823819,0.01444137,0.51426041,0.51895416,0.47146555,0.00936961,7.39266253,3.68858218,0.24139604,-2.76858044,0.19280401,-2.82179189,0.26840320,-4.33763361,0.57601368,0.06215586,0.00907190,0.92413912,0.00259358,2.71152663,-0.48828572,0.02426561,-0.47192219,0.03567252,-2.00928211,0.70950991,-1.10990453,0.09509216,0.50989783,0.51725161,0.47219348,0.00275202,1.19866145,-3.59008574,0.54451644,0.16956614,0.00186514,-1.03228617,0.07543444,2.65726876,0.33686450,0.83285940,1.49832690,0.22123277,0.00588532,1.86772358,3.46459055,0.36151162,0.89938295,0.01981312,3.07797194,0.37302607,2.97629833,0.26462445,0.82417953,2.01336575,0.15624741,0.00259358,2.71152663,-0.48828572,0.02426561,-0.47192219,0.03567252,-2.00928211,0.70950991,-1.10990453,0.09509216,0.50989783,0.51725161,0.47219348,0.00275202,1.19866145,-3.59008574,0.54451644,0.16956614,0.00186514,-1.03228617,0.07543444,2.65726876,0.33686450,0.83285940,1.49832690,0.22123277,0.00588532,1.86772358,3.46459055,0.36151162,0.89938295,0.01981312,3.07797194,0.37302607,2.97629833,0.26462445,0.82417953,2.01336575,0.15624741,
0.00,0.00,0.00,0.00,79.00,140.00,17.00,227.00,25.50,0.71,1.41567922,1.14366055,1.57896852,1.86592746,1.50105894,15.37723923,0.00009434,4.12,0.00017165,1.64084780,1.04934180,-0.59150600,32.53774261,0.00000003,1.79405046,0.04795206,-1.74609840,7.99974918,6.28,0.00,0.00699526,14.84169769,-3.38302255,0.61504948,-1.89559424,0.29618105,0.93949133,0.12198020,-1.00767195,0.12169731,-0.73594147,1.15140033,0.28352898,0.00785149,15.99699879,-7.64207554,2.44440174,-2.78980517,0.47215727,1.31599593,0.17675428,-4.73335791,1.05304277,-0.83569527,1.49549544,0.22166936,0.01140250,11.87741661,-14.75451183,4.19031954,-4.01729345,0.44026464,3.52223086,0.45361283,-1.32923496,0.05870949,-0.31571335,0.25316349,0.61497308,0.00692560,21.31639290,-0.27638930,0.00857455,-1.02937281,0.18715389,2.35001802,1.07004690,-3.25036526,0.89952767,-1.16260576,2.96508002,0.08540610,0.01025546,18.36282539,-0.15218982,0.00108599,0.26479095,0.00474404,5.83236790,2.65340710,-0.79730201,0.03343694,-0.86838901,1.79702127,0.18039384,0.01306066,10.09747028,1.64704466,0.08967811,6.06567383,0.98856592,11.35780430,5.57513142,6.68232965,1.46445775,0.12314031,0.04925179,0.82441812,0.00692560,21.31639290,-0.27638930,0.00857455,-1.02937281,0.18715389,2.35001802,1.07004690,-3.25036526,0.89952767,-1.16260576,2.96508002,0.08540610,0.01025546,18.36282539,-0.15218982,0.00108599,0.26479095,0.00474404,5.83236790,2.65340710,-0.79730201,0.03343694,-0.86838901,1.79702127,0.18039384,0.01306066,10.09747028,1.64704466,0.08967811,6.06567383,0.98856592,11.35780430,5.57513142,6.68232965,1.46445775,0.12314031,0.04925179,0.82441812,
