x,y,z,d,xv,yv,zv,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L0 p-val
0.00,0.00,19.00,0.75,132.00,130.00,10.00,82.00,27.98,0.74,0.32763869,1.56100690,0.45784280,0.43997750,0.69661647,3.33354449,0.06819292,3.63,0.04448181,0.60730165,-0.53037459,-1.13767624,62.77994537,0.00000000,-2.49498034,-2.81063509,-0.31565470,0.24929754,2.04,4.69,0.00397031,9.32217121,-3.31749749,2.22910476,1.18930769,0.21141680,1.67639315,0.46416157,-0.03487114,0.00021713,-0.38925028,0.57707161,0.44765111,0.00471269,5.32967901,-2.03405929,0.28318802,3.05610251,1.20574462,-2.30417061,0.49611890,-0.22201054,0.00633466,-0.00142690,0.00000000,1.00000000,0.00799973,5.28410959,-4.75931263,0.75686711,-0.06792364,0.00028784,-5.18544245,1.83625543,-1.31040061,0.10894626,0.07145867,0.02338675,0.87848815,0.00325720,5.87322903,-2.31269193,0.60186768,-0.03808209,0.00021666,4.57254267,1.91479719,-2.67231226,0.70174563,-0.24583602,0.19845600,0.65607161,0.00584773,8.94860744,-5.41097021,1.36511171,0.51823550,0.01412709,2.68482399,0.39512390,-5.81201649,3.06050754,-0.24733025,0.24631852,0.61979426,0.00909775,9.54208183,-9.78122425,3.44798350,8.19547844,1.65310395,-4.09734917,0.57284629,-7.30549479,3.45430899,-0.23894864,0.24429034,0.62123882,0.00325720,5.87322903,-2.31269193,0.60186768,-0.03808209,0.00021666,4.57254267,1.91479719,-2.67231226,0.70174563,-0.24583602,0.19845600,0.65607161,0.00584773,8.94860744,-5.41097021,1.36511171,0.51823550,0.01412709,2.68482399,0.39512390,-5.81201649,3.06050754,-0.24733025,0.24631852,0.61979426,0.00909775,9.54208183,-9.78122425,3.44798350,8.19547844,1.65310395,-4.09734917,0.57284629,-7.30549479,3.45430899,-0.23894864,0.24429034,0.62123882,
0.00,0.00,5.00,0.00,132.00,134.00,10.00,112.00,22.61,0.54,2.63829494,0.89862359,2.47372007,2.62536955,2.15900207,24.68478394,0.00000080,4.14,0.00000286,1.64311028,0.90804350,-0.73506683,33.78875351,0.00000002,-3.26868773,-2.56389022,0.70479757,1.12155318,0.00,0.00,0.00704911,22.95998383,-0.48447511,0.03709754,-0.69518679,0.05643803,-2.26036000,0.65938616,1.48123705,0.27382055,0.27999577,0.23321685,0.62926016,0.01147508,25.04179955,6.67180204,2.41422272,2.51954603,0.64947838,-2.51910734,0.46995196,4.03088188,1.64642918,0.44626647,0.66579378,0.41472670,0.01300820,10.83277607,1.66175318,0.07152446,-0.31713685,0.00546755,-1.91153383,0.19348428,3.26780725,0.52533102,1.13356793,4.55781555,0.03302445,0.00484391,10.03720760,0.29434261,0.00747804,-0.16754380,0.00267870,2.06363654,0.30135396,-0.01285953,0.00000000,0.74102724,1.39314818,0.23816993,0.00764297,11.77431393,2.46421313,0.21807384,-3.00717998,0.36773455,0.46749231,0.00915151,-2.45879483,0.42186239,0.89635694,2.49222469,0.11474314,0.01125221,11.22417355,3.87975192,0.41718027,0.20519049,0.00089452,-6.05174971,0.96104646,3.69654679,0.68016821,1.04161000,3.56956935,0.05915221,0.00484391,10.03720760,0.29434261,0.00747804,-0.16754380,0.00267870,2.06363654,0.30135396,-0.01285953,0.00000000,0.74102724,1.39314818,0.23816993,0.00764297,11.77431393,2.46421313,0.21807384,-3.00717998,0.36773455,0.46749231,0.00915151,-2.45879483,0.42186239,0.89635694,2.49222469,0.11474314,0.01125221,11.22417355,3.87975192,0.41718027,0.20519049,0.00089452,-6.05174971,0.96104646,3.69654679,0.68016821,1.04161000,3.56956935,0.05915221,
0.00,0.00,5.00,0.28,132.00,134.00,11.00,105.00,19.66,0.57,2.23880386,1.30632150,2.28294015,1.97653043,1.95114899,14.63274670,0.00013912,4.86,0.00013406,2.03823209,1.25703681,-0.78119522,32.19256210,0.00000003,3.10543847,1.74110532,-1.36433315,4.03727007,1.79,4.76,0.01343688,63.53747559,3.43560219,1.42259264,-0.94515747,0.07950669,-1.53901732,0.23283488,-0.10725094,0.00111981,-1.55756903,5.49810743,0.01924235,0.02967046,136.44981384,1.46822011,0.09531365,-3.87219477,1.25023615,-7.43787432,3.33895326,9.84706211,8.00783443,-2.51098371,17.17896080,0.00003706,0.02922138,40.88272095,-8.29449463,1.33296525,-2.67494273,0.28573677,-6.03773355,1.44353807,-2.19001746,0.17649919,-0.31507602,0.26337186,0.60793250,0.01271303,52.71799850,5.31122112,1.87025106,-2.38237906,0.42058522,-3.87300730,0.80942655,-11.56777477,7.74772120,-1.78427434,6.15865421,0.01324922,0.01530348,35.37947083,12.17038536,3.98690844,-3.27574539,0.32704943,3.16494942,0.31701213,2.19168401,0.25126764,-0.62675023,0.91322911,0.33950245,0.02601632,45.27862549,14.44834995,4.36551237,-9.81012726,1.37442172,0.22401349,0.00101253,-5.32331467,1.06425071,-0.66484964,1.09741104,0.29510170,0.01271303,52.71799850,5.31122112,1.87025106,-2.38237906,0.42058522,-3.87300730,0.80942655,-11.56777477,7.74772120,-1.78427434,6.15865421,0.01324922,0.01530348,35.37947083,12.17038536,3.98690844,-3.27574539,0.32704943,3.16494942,0.31701213,2.19168401,0.25126764,-0.62675023,0.91322911,0.33950245,0.02601632,45.27862549,14.44834995,4.36551237,-9.81012726,1.37442172,0.22401349,0.00101253,-5.32331467,1.06425071,-0.66484964,1.09741104,0.29510170,
0.00,0.00,0.00,0.00,132.00,135.00,9.00,145.00,17.06,0.60,1.26500535,1.42084837,3.17263269,2.69006276,2.13713717,11.20008087,0.00084988,6.08,0.00140029,1.06741285,0.46640268,-0.60101014,26.73511887,0.00000044,-0.66124600,-0.60610759,0.05513841,0.00311360,0.00,0.00,0.01406833,43.36803436,2.99488306,0.67312855,1.96216249,0.21314843,-3.46376061,0.73427325,-6.43840790,2.45383501,-1.49734271,3.16375756,0.07560976,0.02443764,53.88489532,-0.83932722,0.01818841,4.27968550,0.88906682,0.48305148,0.00822809,1.97056925,0.18675600,-1.52911341,3.70870328,0.05442792,0.03652538,40.81751633,4.60923576,0.26301128,1.04319394,0.02773031,1.09169519,0.03018337,-2.33322906,0.12798603,-0.64164001,0.69795048,0.40368350,0.00772147,11.90878963,0.19298364,0.00156342,6.99426746,2.21974587,2.92545462,0.28287506,1.40403235,0.06993705,-0.06958143,0.00573255,0.93966293,0.01391852,18.24239922,-7.46721411,0.93557721,3.91822433,0.29176828,1.61579967,0.05151306,0.26084170,0.00229410,-0.17910694,0.04650774,0.82930183,0.01974123,16.05857468,8.28935623,0.88510925,-0.89510477,0.00706840,-0.38377580,0.00187105,-6.91931438,1.10765994,0.14840604,0.03367885,0.85443082,0.00772147,11.90878963,0.19298364,0.00156342,6.99426746,2.21974587,2.92545462,0.28287506,1.40403235,0.06993705,-0.06958143,0.00573255,0.93966293,0.01391852,18.24239922,-7.46721411,0.93557721,3.91822433,0.29176828,1.61579967,0.05151306,0.26084170,0.00229410,-0.17910694,0.04650774,0.82930183,0.01974123,16.05857468,8.28935623,0.88510925,-0.89510477,0.00706840,-0.38377580,0.00187105,-6.91931438,1.10765994,0.14840604,0.03367885,0.85443082,
0.00,0.00,2.00,0.00,132.00,135.00,10.00,133.00,17.34,0.60,2.97737336,1.88799489,3.03595018,2.94279432,2.71102810,21.07678032,0.00000500,5.62,0.00000462,1.40038371,0.77932388,-0.62105989,27.01500320,0.00000038,-4.08613110,-6.20770884,-2.12157774,4.76697302,0.00,0.00,0.00458606,5.18295717,-2.00865960,0.34051177,3.78105354,0.89045787,3.36451459,0.77910537,4.65348291,1.44167066,1.42173791,3.20792842,0.07360081,0.00838372,7.08772707,1.82913721,0.09625182,-1.99718273,0.21640021,5.06480026,1.00728643,8.16604900,3.58291483,1.35036314,3.23233080,0.07251562,0.01947733,13.28464794,6.16808796,0.53913015,-5.36730528,0.84131891,8.34501171,2.01693153,9.53392696,2.44589186,1.15570319,2.59140134,0.10777780,0.00156189,0.55901879,1.97877979,0.18235372,3.45580482,0.62167674,-4.08113384,0.63136244,0.06183630,0.00011958,2.27300501,7.02145529,0.00818782,0.00403461,1.75972152,-2.74648046,0.14532666,5.24864292,0.60081917,-3.44873023,0.26934513,2.22402835,0.18512988,2.02786469,6.84118652,0.00904937,0.00448916,0.95589048,-1.02327144,0.01549575,7.74415255,0.60732579,-0.03317771,0.00000000,5.75117540,0.88080490,2.25260615,8.93261337,0.00287341,0.00156189,0.55901879,1.97877979,0.18235372,3.45580482,0.62167674,-4.08113384,0.63136244,0.06183630,0.00011958,2.27300501,7.02145529,0.00818782,0.00403461,1.75972152,-2.74648046,0.14532666,5.24864292,0.60081917,-3.44873023,0.26934513,2.22402835,0.18512988,2.02786469,6.84118652,0.00904937,0.00448916,0.95589048,-1.02327144,0.01549575,7.74415255,0.60732579,-0.03317771,0.00000000,5.75117540,0.88080490,2.25260615,8.93261337,0.00287341,
0.00,0.00,0.00,0.00,132.00,135.00,11.00,135.00,16.01,0.57,4.51012897,3.25345016,3.82058740,4.26470661,3.96221828,44.37346268,0.00000000,5.66,0.00000000,1.61392593,1.00283813,-0.61108792,23.18708611,0.00000237,-0.22664562,-2.30196786,-2.07532239,4.85085917,0.00,0.00,0.00890541,19.51798439,0.30334830,0.00771093,1.39988017,0.12186880,2.52474260,0.43813732,-6.20886707,2.56310034,1.66853118,4.41239786,0.03594201,0.01551032,24.41305733,-0.89989948,0.02343944,2.82699776,0.43633884,10.73831654,4.55668783,3.84182191,0.79809761,1.53928638,4.22676992,0.04006419,0.03375510,40.51158142,2.36062002,0.08019150,13.58877850,5.47533178,5.48923779,0.88607270,4.88847637,0.65293479,1.32686532,3.46825123,0.06286628,0.00584676,7.78769302,-5.00310278,1.15905094,0.17951779,0.00166428,3.03186131,0.34640765,-3.61366224,0.52805173,2.26540136,6.93379927,0.00859572,0.00983520,10.39854813,-5.49052858,0.57735652,-1.65616012,0.05946177,2.00271797,0.09029379,2.50132871,0.23284729,2.32308316,8.92807484,0.00288049,0.00955701,4.28464079,-0.20420028,0.00059169,3.68326402,0.13585317,8.44838333,0.99102992,-4.39670515,0.50909436,2.96293354,15.28407288,0.00009907,0.00584676,7.78769302,-5.00310278,1.15905094,0.17951779,0.00166428,3.03186131,0.34640765,-3.61366224,0.52805173,2.26540136,6.93379927,0.00859572,0.00983520,10.39854813,-5.49052858,0.57735652,-1.65616012,0.05946177,2.00271797,0.09029379,2.50132871,0.23284729,2.32308316,8.92807484,0.00288049,0.00955701,4.28464079,-0.20420028,0.00059169,3.68326402,0.13585317,8.44838333,0.99102992,-4.39670515,0.50909436,2.96293354,15.28407288,0.00009907,
0.00,0.00,12.00,0.41,133.00,130.00,8.00,109.00,23.01,0.69,3.68152690,2.60284925,2.95761943,3.10073495,3.08568263,44.78956604,0.00000000,4.39,0.00000000,0.67972571,-0.38018200,-1.05990767,63.45886612,0.00000000,1.35841465,-0.07504085,-1.43345547,3.65320039,2.52,4.63,0.01083177,50.21517181,2.85887456,1.19806123,5.57811403,3.36601162,0.95075279,0.10811465,0.46509668,0.02503818,0.22692974,0.14195287,0.70643149,0.01881209,62.07985687,6.66207123,2.22036648,4.28185797,1.73015571,-1.54730844,0.16354391,-1.28656948,0.15470371,0.33795205,0.35224032,0.55298909,0.02807403,46.61434174,5.62833118,0.75820398,-2.30196857,0.26142833,1.42048848,0.09875723,-1.42734349,0.09257202,0.95519537,2.98982882,0.08411423,0.01085323,47.14009094,1.92997205,0.30301204,5.35063362,2.60275030,-8.25915527,4.51604891,-0.53922796,0.02067415,-0.06336331,0.00960617,0.92194419,0.01706344,55.12530899,0.34828275,0.00408835,9.10768414,3.16847062,-11.72947693,5.45679283,-1.31070566,0.11258685,0.24179710,0.17034788,0.67989604,0.02071550,34.76300812,9.41302681,2.24379659,2.59849906,0.11678778,-4.71493149,0.53305495,3.02851272,0.41708460,1.01428103,3.09288359,0.07895762,0.01085323,47.14009094,1.92997205,0.30301204,5.35063362,2.60275030,-8.25915527,4.51604891,-0.53922796,0.02067415,-0.06336331,0.00960617,0.92194419,0.01706344,55.12530899,0.34828275,0.00408835,9.10768414,3.16847062,-11.72947693,5.45679283,-1.31070566,0.11258685,0.24179710,0.17034788,0.67989604,0.02071550,34.76300812,9.41302681,2.24379659,2.59849906,0.11678778,-4.71493149,0.53305495,3.02851272,0.41708460,1.01428103,3.09288359,0.07895762,
0.00,0.00,14.00,0.56,133.00,130.00,9.00,115.00,19.41,0.71,6.89740276,5.70060825,6.64025307,6.95859194,6.54921389,130.80258179,0.00000000,5.45,0.00000000,0.69885927,-0.35448709,-1.05334640,60.79288101,0.00000000,-0.12148009,0.49907458,0.62055469,0.90458626,2.53,4.56,0.01361760,51.41360474,3.66008091,1.27206063,-3.23549604,0.73362011,3.33949399,0.86358148,3.14821768,0.74237472,2.97836113,15.83852577,0.00007424,0.02079838,48.37877655,-0.52124363,0.00865551,-8.32790565,4.17269230,2.48694706,0.26939425,3.98867679,0.94807988,3.41470647,22.92387390,0.00000195,0.02494930,23.35745239,1.62952161,0.04035401,-8.46740341,2.24367023,4.81916809,0.72081298,5.37498999,0.83304554,4.59005785,43.80228806,0.00000000,0.01468782,55.55233765,-3.26264095,0.55717278,-5.81105661,1.97533309,-4.90240860,1.02384615,-7.84513187,2.81320858,2.21155977,7.46946096,0.00639211,0.01953784,45.97705460,-5.04680681,0.54664886,-5.91126919,0.84914964,-5.95781469,0.89563179,-11.33040047,5.35358429,3.36611748,21.00239944,0.00000520,0.02824366,42.14202118,9.71938324,1.56010723,3.83343792,0.16571933,-11.73875427,2.15475106,-9.58575344,2.72527337,3.73451352,27.34408951,0.00000021,0.01468782,55.55233765,-3.26264095,0.55717278,-5.81105661,1.97533309,-4.90240860,1.02384615,-7.84513187,2.81320858,2.21155977,7.46946096,0.00639211,0.01953784,45.97705460,-5.04680681,0.54664886,-5.91126919,0.84914964,-5.95781469,0.89563179,-11.33040047,5.35358429,3.36611748,21.00239944,0.00000520,0.02824366,42.14202118,9.71938324,1.56010723,3.83343792,0.16571933,-11.73875427,2.15475106,-9.58575344,2.72527337,3.73451352,27.34408951,0.00000021,
0.00,0.00,16.00,0.70,133.00,130.00,10.00,113.00,20.59,0.73,5.05176544,2.58604622,3.99429965,5.65615129,4.32206583,63.14241028,0.00000000,5.18,0.00000000,0.87367612,-0.12395502,-0.99763113,53.91976929,0.00000000,-1.42259598,-4.21655273,-2.79395676,17.32434082,2.53,4.56,0.02146620,158.39450073,-2.74663782,0.88808984,0.31439382,0.00858220,2.98690081,0.85645348,5.39312267,2.70095420,-1.42391264,4.48824024,0.03438811,0.03041341,123.26750183,-1.79599476,0.12256529,-1.10981119,0.08834615,3.74531245,0.72795630,2.52463174,0.45260412,-0.25030884,0.14679052,0.70170732,0.04389342,85.30086517,1.88980150,0.06397387,1.56853712,0.09082901,6.57713938,1.58406723,1.23817503,0.05216688,0.93754262,2.15620494,0.14232638,0.02080863,135.00578308,-2.78258586,0.49070114,-4.48169994,1.42264283,-1.27087641,0.08330205,-0.05533183,0.00016270,-1.80594039,6.03085709,0.01423624,0.02847704,115.69802094,-6.72907352,1.15112114,-9.65112591,2.68110442,-7.27558327,1.58212018,0.73852319,0.02693744,-0.39123958,0.33612549,0.56221185,0.04511925,129.10426331,-6.79624319,0.91573578,-4.71611834,0.30116573,-13.57868099,3.46104598,-4.75559902,0.80518836,-0.24583073,0.14222381,0.70616450,0.02080863,135.00578308,-2.78258586,0.49070114,-4.48169994,1.42264283,-1.27087641,0.08330205,-0.05533183,0.00016270,-1.80594039,6.03085709,0.01423624,0.02847704,115.69802094,-6.72907352,1.15112114,-9.65112591,2.68110442,-7.27558327,1.58212018,0.73852319,0.02693744,-0.39123958,0.33612549,0.56221185,0.04511925,129.10426331,-6.79624319,0.91573578,-4.71611834,0.30116573,-13.57868099,3.46104598,-4.75559902,0.80518836,-0.24583073,0.14222381,0.70616450,
0.00,0.00,1.00,0.00,133.00,131.00,6.00,118.00,13.73,0.57,-0.83785152,-0.35747755,-0.96630669,-1.24692070,-0.85213912,1.23639739,0.26644663,7.30,0.32199810,0.63556516,-0.08836988,-0.72393507,37.38715363,0.00000000,4.62250137,3.92298150,-0.69951963,0.48763606,0.00,0.00,-0.00264982,1.02225399,-7.30977964,2.66421771,-1.21470129,0.05430925,4.30768490,0.75455642,-3.64621067,0.52292252,-0.18418357,0.03178730,0.85853333,-0.00225447,0.30058074,-8.64462471,1.26036716,0.30865067,0.00305122,-0.85072702,0.01667528,-0.91639692,0.02646757,-0.53925771,0.30235472,0.58253935,0.01822824,6.85045862,-16.95113945,2.39725804,8.84856987,1.34621620,-17.19113350,5.03945255,-3.67903090,0.21439128,-2.29717851,6.02796698,0.01425941,-0.00338289,1.56915963,-15.31775093,6.53922653,5.20575714,0.84414506,1.08345711,0.02661654,-3.05759287,0.22752851,0.20125176,0.03298448,0.85592264,-0.00460815,1.36903393,-14.17818451,2.30913806,5.77145720,0.43328467,5.80589914,0.45527372,-11.20920658,2.80460620,-0.02775673,0.00078532,0.97764919,-0.00418323,0.49308023,-15.35054207,2.07559991,8.34655952,0.41908622,5.72025728,0.27287516,-2.71353602,0.11649971,-0.47971365,0.24060497,0.62388291,-0.00338289,1.56915963,-15.31775093,6.53922653,5.20575714,0.84414506,1.08345711,0.02661654,-3.05759287,0.22752851,0.20125176,0.03298448,0.85592264,-0.00460815,1.36903393,-14.17818451,2.30913806,5.77145720,0.43328467,5.80589914,0.45527372,-11.20920658,2.80460620,-0.02775673,0.00078532,0.97764919,-0.00418323,0.49308023,-15.35054207,2.07559991,8.34655952,0.41908622,5.72025728,0.27287516,-2.71353602,0.11649971,-0.47971365,0.24060497,0.62388291,
