x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
0.00,0.00,1.00,0.00,123.00,-0.81937057,-0.78184396,-0.86545384,-1.13746345,-0.90103292,1.78319669,0.18211561,6.40,0.25622435,0.34734291,-0.46255884,-0.99127704,-0.62284130,1.41242456,-4.28531742,-2.75692320,0.92953920,0.41008115,0.21678390,0.64162198,-0.91113234,-1.15122962,-0.83322704,0.71848273,0.00843954,0.26354885,-2.29194570,-2.66517329,0.28372499,0.10627455,0.74450714,2.78425670,-3.17858243,4.44880629,-3.59080148,-1.07269001,-0.48657790,-0.50074875,-3.48697138,0.41515073,0.23298703,0.62944339,0.85845983,0.67383134,-0.18462847,0.37629128,0.54015474,12.47180176,11.40714359,-1.06465816,0.80045301,0.00,0.00,
0.00,0.00,3.00,0.00,104.00,-7.87728214,1.41098571,-1.17855906,-4.13498354,-2.94495964,6.12537241,0.01352002,11.29,0.00652398,2.24247837,0.07751147,-1.00337052,7.32490683,0.19443569,3.35185051,-8.09977245,4.82222176,5.35168743,11.94754314,0.00057463,-5.51336432,8.62609386,-1.74714065,-2.08809280,-11.66466045,-1.81078315,-2.97000217,5.11719179,2.69401956,3.15746474,0.07594187,-7.34208012,-4.28314734,-10.88423157,-12.32508087,-6.50696373,-12.00407791,-8.18238163,-2.42923260,-3.78307438,6.15596437,0.01329144,2.17572331,2.31960344,0.14387996,0.25064510,0.61706344,8.64707756,14.82542038,6.17834234,9.14514160,2.67,1.37,
0.00,0.00,6.00,0.28,100.00,-2.50702310,-2.51996279,-1.83626938,-3.78710794,-2.66259074,5.81648636,0.01608815,10.48,0.02041505,-0.60370535,0.22499056,-3.47881436,-11.76308441,0.10731719,-0.66178232,3.73821115,-4.33253050,1.51543486,1.11813021,0.29062506,-4.03142595,6.91893625,-7.05596399,-0.76333320,-1.17294049,2.04238176,-6.19976711,-5.34039879,1.96754777,1.94226551,0.16379092,-8.08467770,5.43009329,-0.58862543,-2.30712295,2.16299152,1.55026615,-9.95790482,-9.34915257,1.21931493,0.75952631,0.38372552,2.48731327,2.72919488,0.24188156,0.59292674,0.44201950,-19.57596588,-15.01170635,4.56425905,3.47743154,2.67,1.37,
0.00,0.00,1.00,0.00,127.00,1.33937049,1.38385022,1.88465071,0.82289904,1.35769260,3.29136276,0.06999847,7.10,0.04444494,-0.50842339,-3.56455922,2.33921146,3.16523695,2.29332089,-1.23702979,1.65392923,6.22890663,0.54933572,0.31879494,0.57248330,3.45869422,1.83198750,4.44959450,2.66812348,4.49975729,0.77917218,-0.42140180,-2.05608702,1.03174782,1.15044451,0.28376379,0.64894915,0.33635306,5.16051817,0.42374176,0.60337663,1.70857382,0.20589705,2.26700258,0.57447141,0.35702437,0.55032433,0.45063293,-0.07981955,-0.53045249,6.01337767,0.01488509,10.14787674,11.57255363,1.42467618,1.41369939,2.39,1.28,
0.00,0.00,3.00,0.20,124.00,-1.28094196,-0.62833041,-1.47360158,-0.07907601,-0.86548752,1.41125333,0.23518106,6.91,0.16915475,2.41386318,-4.64895678,0.98054117,0.23509377,-0.32916760,-0.46963015,1.85235453,-5.18944836,-0.54465079,0.33047137,0.56553541,-3.87415576,0.21851896,-4.94957733,-2.28054619,-3.53502321,4.37115717,-4.62574053,2.36356521,-1.38600671,2.22098660,0.13652097,-0.46188495,-0.58551365,0.42986777,-8.25869274,2.99614406,-2.63450098,-3.78633142,2.23109794,-1.13472617,1.50485170,0.22026968,1.56616175,1.53822362,-0.02793812,0.01476109,0.90339679,11.56212330,13.10703373,1.54491019,1.70241976,2.49,1.38,
0.00,0.00,1.00,0.00,121.00,-3.53325009,0.79125738,-0.24393436,0.61064178,-0.59382129,0.53653705,0.46407384,7.69,0.23267660,3.02865291,-1.51041615,-1.21425796,0.56972390,5.38211870,-2.24793744,1.06591105,1.70773530,0.31305677,0.08774832,0.76713259,1.27907467,3.16047096,1.11718285,-0.70090860,1.19662762,-0.72610223,-3.72043252,-3.94996405,-0.93426502,0.80378556,0.37022051,-7.36872339,-3.48998713,-1.96517658,-1.10774934,-2.87184739,-6.44452667,-3.88684750,-0.93050539,-4.18699503,16.21609497,0.00006162,0.08646304,-0.40711087,-0.49357393,5.66413736,0.01806885,2.61972284,1.22134626,-1.39837646,1.01402462,2.31,1.31,
0.00,0.00,14.00,0.67,57.00,4.02250481,4.38680649,5.23004150,-2.80778313,2.70789242,0.40765631,0.52333386,40.24,0.42714672,3.10128617,-12.24686146,11.92684555,7.11300564,40.93266296,17.36140060,-11.89852524,-26.10647774,6.62716198,1.45646513,0.22783274,-7.50445795,32.04106140,-9.51527596,1.24294770,8.56372833,12.93426895,-21.50240326,19.73537254,7.79553032,2.06062055,0.15152041,-35.02058792,12.54576778,11.13340950,0.57850736,5.06864929,16.25385475,7.73320627,7.83107138,6.86594868,1.60382402,0.20571278,-9.96085072,-9.67708206,0.28376862,0.18825790,0.66474621,-13.45164013,-1.79849851,11.65314102,2.73360801,0.60,0.59,
0.00,0.00,20.00,0.00,55.00,-10.11757088,-8.94754219,-12.06033993,-12.06294823,-10.79710007,8.28563404,0.00409645,35.59,0.00533122,-7.76252222,-25.48303223,-5.14702940,-21.15839195,-0.79923898,-18.74797630,3.34066677,8.10363960,3.62428570,0.54961455,0.45868219,-15.79721928,2.88378859,-16.49615860,-2.01903176,-8.63551044,-16.67358017,-17.43862343,-24.28846169,-0.04440609,0.00008499,0.99264677,-2.33101201,3.46469450,-25.65080643,-14.54717731,-15.02058601,-17.33534241,-6.00983477,-7.31159306,1.69800138,0.12435436,0.72444736,-13.79391575,-14.08697128,-0.29305539,0.11965505,0.72970100,-0.01509472,-0.81063002,-0.79553527,0.02005594,0.60,0.59,
0.00,0.00,17.00,0.79,27.00,-2.17600012,-2.26027131,-6.11308908,-5.90289307,-4.11306334,1.22730565,0.26824579,35.23,0.31682383,-7.26266813,-1.26083970,-9.09387398,-0.66975009,3.78708363,-8.56597424,8.71350861,-1.76740539,3.95779943,0.66270196,0.41583810,-12.46259403,-1.79023647,-3.61341095,17.34732628,-15.72938347,-3.05603075,-4.26568556,-26.10991478,-0.21419859,0.00201012,0.96424994,-15.28851414,-14.35545540,15.48055458,-7.24241877,-2.69414520,-4.59675503,10.48033524,3.08130193,3.98087263,0.69980276,0.40308761,-16.16905403,-15.88401604,0.28503734,0.12433089,0.72468223,-29.27011681,-32.39361572,-3.12349749,0.26823255,0.60,0.59,
0.00,0.00,20.00,0.77,19.00,1.95465672,1.65329015,1.26975965,4.24512434,2.28070784,0.39851889,0.52802527,34.28,0.61250957,2.79033637,-4.09400034,-17.12559891,16.02144432,6.06555510,3.49439907,7.55426073,-1.60865343,-2.41109967,0.26124835,0.60939797,16.28506279,-6.42955589,3.73117566,-18.18927765,-13.32664680,8.68907547,10.62008095,10.12946892,-3.26926899,0.49764356,0.48073270,-7.52808666,1.18138707,-3.17790151,3.50911474,-2.42057037,9.89979744,6.18145180,5.11769915,-2.26969028,0.23828329,0.62557601,-16.94689941,-16.41816902,0.52873021,0.48081431,0.48870000,-29.01144218,-28.23222542,0.77921724,0.01753213,0.31,0.56,
