x,y,z,d,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
0.00,0.00,1.00,0.04,149.00,-2.26134896,-1.62780309,-2.81093407,-2.60713243,-2.32680464,5.41102648,0.02024483,9.49,0.01694903,-1.46822226,-3.84040952,-1.65611827,-1.37139380,-2.82170916,0.93611455,-4.81970739,1.47746360,0.89665502,0.46949515,0.49340832,-6.09896803,-4.24762344,-5.10013914,6.34196329,-4.82314157,-6.39858770,0.71639442,-3.30138683,-0.16919200,0.01748068,0.89484624,-9.88970280,1.30242801,-4.40318108,-1.88457286,2.55036283,-4.11369228,-1.35793340,-1.76973653,0.24009304,0.03523678,0.85114564,-0.52518576,-0.30451652,0.22066922,0.63448828,0.42647255,10.28984833,11.14875889,0.85891080,0.29368636,4.89,0.69,
0.00,0.00,0.00,0.08,123.00,-3.70165944,-3.33318853,-2.17015910,-2.05703425,-2.81551027,6.96475506,0.00846564,10.12,0.00399613,-2.01202965,2.25979042,-0.77860135,-2.13330770,-9.70606899,-5.66760683,-9.86923504,-0.04862127,-1.38884044,1.00366557,0.31671333,-11.74172497,-3.37892008,-2.05297422,1.61364400,1.47824669,-1.36999917,-3.43697476,1.66684651,0.12651619,0.00866882,0.92584114,-7.39408112,-4.14957619,-6.03807306,-0.71596056,0.31540975,-6.02920628,-3.86075449,-2.00129509,-1.72649574,1.58945954,0.20775302,-0.18697108,0.10047816,0.28744924,0.84654689,0.35842154,5.61582136,5.12398863,-0.49183291,0.05646079,5.00,0.64,
0.00,0.00,1.00,0.00,103.00,0.06410473,0.43336743,-2.69142413,-2.03021979,-1.05604291,1.34028554,0.24730959,8.66,0.39146304,-2.56866264,4.60764456,4.83965111,-4.96223450,2.25761724,-0.08795430,-1.80260289,1.55404806,2.42933083,4.19432020,0.04086969,-1.72326159,-3.31960964,-0.49548379,-3.62621641,-0.74229562,-5.15754175,-1.20501840,-4.78861952,-0.63292724,0.28944695,0.59071750,2.10363984,0.71828347,2.40493727,3.14723444,-1.47189987,1.47583652,-1.85563684,-5.23986912,2.08610725,3.18569613,0.07464570,0.13945954,1.68114090,1.54168129,18.54833031,0.00002385,2.14161015,1.96245170,-0.17915852,0.01506373,5.64,0.71,
0.00,0.00,1.00,0.00,108.00,0.82159859,0.90740985,-1.01995850,-1.29643667,-0.14684667,0.02465422,0.87526913,8.87,0.88187072,8.00483704,-4.24602795,0.29474175,2.82601690,1.83349168,-0.51417893,-1.36607170,-0.08934566,2.24762630,3.41193151,0.06507772,2.30144739,-0.54204905,4.17523336,-3.96521378,-5.92384768,-1.86633432,0.15476660,-2.63809705,0.10703142,0.00792452,0.92908739,-2.70945930,1.02474141,0.36892521,1.75950372,1.08498859,2.72901559,-2.37834692,4.19661093,2.12706017,3.13882160,0.07681109,0.06339111,1.34255707,1.27916598,18.59040070,0.00002336,-1.94735515,-0.63474786,1.31260729,0.59066266,5.50,0.70,
0.00,0.00,2.00,0.16,107.00,-3.36882067,-2.62490463,-5.63022041,-5.29548550,-4.22985792,15.00394630,0.00011555,10.36,0.00033208,5.91240311,-2.17890716,-1.13231015,-3.98175287,-1.17884243,-5.56517649,-10.17719269,-3.19860363,2.70590830,3.63627386,0.05687382,-8.48522854,-3.32722926,-2.22677755,-4.31656981,-8.65559387,-6.48071718,-7.35859251,-5.00122166,-0.42130208,0.08961682,0.76473882,1.00558877,-2.08036780,-0.08688709,-6.24336147,-5.06446695,-2.11750579,-8.24569798,-3.31702232,2.00400496,2.04734302,0.15284353,-0.67072630,1.55769539,2.22842169,23.90661812,0.00000181,-5.71265507,2.65964270,8.37229729,23.65923882,5.69,0.68,
0.00,0.00,2.00,0.14,91.00,-0.65673918,-1.55256867,-3.47992325,-2.48124480,-2.04261899,4.11171627,0.04289937,9.56,0.06380384,-1.93746018,-0.27474326,-0.24956685,-0.22216061,-4.91371918,-6.10719585,0.66495740,0.48000389,0.97260898,0.54585916,0.46022073,-4.34374905,-4.75318623,-0.38972357,-4.60517406,-6.84649801,-4.86626577,3.18042421,-4.47550917,-0.93235040,0.51860213,0.47163868,0.07851965,9.88826466,0.66090751,-6.67868185,-2.86685824,-0.50123304,-0.38849530,-7.01893902,1.78279889,1.95777214,0.16212049,0.31128472,2.07850266,1.76721787,25.34831047,0.00000092,0.16129752,1.23341954,1.07212210,0.43923947,5.56,0.67,
0.00,0.00,1.00,0.00,116.00,-0.24928303,-0.23947383,0.67046869,-0.21621628,-0.00862612,0.00010298,0.99190570,8.09,0.88605600,-3.03227830,-0.45828483,-1.45318151,4.35023212,-4.73346376,3.77215385,-3.31619525,1.44119132,-0.21985056,0.03936525,0.84277477,-1.40713227,1.47976875,-1.10613596,3.73598790,-4.76395178,2.91859698,3.96860552,0.35093644,0.90394449,0.68232822,0.40902043,2.35087061,7.05209732,-0.99021453,-2.74507165,-0.31338021,-2.38423872,-2.44927621,-3.19160628,-0.10492406,0.00929432,0.92322025,-1.00024390,-0.72431785,0.27592611,1.13676357,0.28736994,0.01824396,0.07351236,0.05526841,0.00151155,6.28,0.00,
0.00,0.00,1.00,0.00,120.00,-0.40432742,-0.11003605,-0.86935025,1.12183535,-0.06546959,0.00728799,0.93198761,7.29,0.75076094,2.48579097,-1.13183427,-0.10987037,-1.53537321,3.87216878,0.93053377,-0.35067245,-4.68791008,-1.19815481,1.43129349,0.23189062,-2.59072709,0.46225429,0.06309098,-5.27418041,-3.85506797,3.76805520,-1.64603341,2.10165381,-1.98291326,4.05931807,0.04424607,-1.40393841,1.67871058,1.78363907,-1.18374610,-0.09081977,-5.89555502,1.98371041,0.12546594,-1.57958782,2.57822704,0.10871835,-1.15918899,-0.82532543,0.33386359,1.99782586,0.15877392,-7.22451496,-8.46148014,-1.23696542,0.56266254,6.28,0.00,
0.00,0.00,1.00,0.00,117.00,-0.75359857,1.39250135,-1.17315233,0.17623073,-0.08950470,0.01143241,0.91487579,7.94,0.78108117,6.52130222,-0.03318886,1.52731013,1.81351852,6.23815823,-4.64483118,-2.06631351,1.42691398,1.32640791,1.49466395,0.22183673,-4.80263615,0.19248970,-1.64109874,-0.92274159,0.29092613,-2.30664825,0.50873077,-0.55037653,-1.23019457,1.30045128,0.25445546,-4.86896896,-0.39158747,-1.34710062,5.72021151,1.86041784,-1.58178318,-3.23502994,-2.08462071,-1.02837896,0.92609537,0.33615621,-0.75798780,-0.52707958,0.23090820,0.88158530,0.34867773,-14.01794720,-17.95115662,-3.93320918,7.41779232,4.73,0.82,
0.00,0.00,0.00,0.00,109.00,0.47728395,0.57845968,0.68947786,-1.09468210,0.16263486,0.05048096,0.82228260,6.86,0.54858419,2.72256207,-1.58135235,5.37812853,-2.22861648,-0.21613984,-0.51838082,-3.37242699,3.96617985,1.62041187,2.97933197,0.08470135,1.00818360,0.16514298,-0.01469987,0.22077595,0.19040473,4.51266527,0.27276435,-0.48137039,1.82408750,3.82653713,0.05077772,7.45381498,1.10296094,-2.64025569,2.01988292,0.44931990,-3.78880000,-1.75254059,1.72197998,1.50805891,2.68945408,0.10138837,-0.34008405,-0.17047398,0.16961008,0.44570929,0.50499790,-4.36164999,-6.37688971,-2.01523972,2.30187321,4.65,0.80,
