x,y,z,d,xv,yv,zv,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L0 p-val
0.00,0.00,15.00,0.00,130.00,165.00,0.00,76.00,4.60,0.00,-1.31446028,-2.08137488,-3.45137739,-1.92223942,-2.19236302,4.68809223,0.03061965,10.89,0.02329913,11.40191841,8.55179214,-2.85012579,17.52002335,0.00003777,8.04590988,11.29906559,3.25315595,3.38749051,1.00,0.89,-0.00634575,1.71979570,3.93712878,0.11732977,2.58816886,0.07775249,-2.36427236,0.10878974,1.79062128,0.05410808,-0.15015768,0.00675554,0.93451128,-0.00242720,0.21513958,4.36051464,0.11200533,-8.67292595,0.64216387,-3.49942255,0.17588985,-16.84043312,1.87581801,-1.22037446,0.44878715,0.50307445,-0.00988031,1.25980067,-5.28570986,0.07593704,-3.79130483,0.05535478,5.15765858,0.13736422,-22.64119720,2.40505648,-0.72481102,0.18850029,0.66426645,-0.00805299,4.02869701,-3.26573014,0.16760667,4.48271799,0.49617201,3.01464772,0.24610439,1.10246730,0.01444665,0.70663458,0.15309611,0.69568182,-0.01704471,7.10962677,0.16021276,0.00019227,3.22255588,0.09902076,1.98936462,0.04326150,7.93331957,0.46427599,1.58438468,0.83843988,0.36007596,-0.02675593,5.98090792,-3.06594038,0.04384537,16.49247551,1.03152359,0.47132939,0.00135008,33.34421539,5.14662409,0.50739223,0.11822822,0.73104030,-0.00805299,4.02869701,-3.26573014,0.16760667,4.48271799,0.49617201,3.01464772,0.24610439,1.10246730,0.01444665,0.70663458,0.15309611,0.69568182,-0.01704471,7.10962677,0.16021276,0.00019227,3.22255588,0.09902076,1.98936462,0.04326150,7.93331957,0.46427599,1.58438468,0.83843988,0.36007596,-0.02675593,5.98090792,-3.06594038,0.04384537,16.49247551,1.03152359,0.47132939,0.00135008,33.34421539,5.14662409,0.50739223,0.11822822,0.73104030,
0.00,0.00,17.00,0.00,130.00,165.00,1.00,83.00,8.10,0.00,4.14177036,4.25737953,6.24399805,6.74606037,5.34730196,18.83449364,0.00001578,13.25,0.00005182,11.10502815,8.08722401,-3.01780438,20.88582802,0.00000723,9.23893070,12.92954540,3.69061518,2.18528366,1.00,0.89,-0.00544272,0.86313099,22.89389420,2.70601344,32.64937592,8.43998623,8.91209602,1.05436778,10.80486870,1.34378839,6.77088261,9.36277580,0.00227659,-0.00005625,0.00008719,23.02211189,2.13249159,42.94450378,10.75496674,0.12075067,0.00017438,1.88309896,0.01604295,5.27015018,5.71756744,0.01698995,0.00448314,0.17491911,4.23774815,0.03293204,29.91332817,2.32558799,10.93581200,0.41656438,-2.28148437,0.01646602,4.44098568,4.77316236,0.02915069,-0.00980142,4.07516432,28.67996216,8.82950783,18.27227783,5.62933302,6.07915878,0.68354440,-5.49407053,0.24530777,8.94851780,16.76621819,0.00004588,-0.00977451,1.57991600,17.71277046,1.38485181,21.37865257,2.94536519,16.99889183,2.13487864,-14.72185612,1.08030212,7.23371506,11.81039143,0.00061457,-0.01265879,0.89691681,12.56605721,0.49359715,12.54363728,0.39978784,19.63999367,1.57632363,10.16772366,0.32062277,6.40946054,12.63970470,0.00039628,-0.00980142,4.07516432,28.67996216,8.82950783,18.27227783,5.62933302,6.07915878,0.68354440,-5.49407053,0.24530777,8.94851780,16.76621819,0.00004588,-0.00977451,1.57991600,17.71277046,1.38485181,21.37865257,2.94536519,16.99889183,2.13487864,-14.72185612,1.08030212,7.23371506,11.81039143,0.00061457,-0.01265879,0.89691681,12.56605721,0.49359715,12.54363728,0.39978784,19.63999367,1.57632363,10.16772366,0.32062277,6.40946054,12.63970470,0.00039628,
0.00,0.00,20.00,0.00,130.00,166.00,1.00,97.00,3.65,0.00,12.13530159,1.72116375,2.69381666,4.02712536,5.14435196,2.64388657,0.10427922,34.03,0.10199032,12.00943089,10.26582909,-1.74360144,3.64078975,0.05737100,16.16035652,5.66806602,-10.49229050,6.17303753,1.00,0.89,0.04214480,7.88779640,54.39879608,2.32851648,29.06552315,1.01941514,-24.59021950,1.22342551,-7.43300056,0.09691548,-7.49986982,1.75073481,0.18610309,0.05135086,9.96238518,-9.23910618,0.05197601,25.49763107,0.57416582,-23.14109993,0.79580337,-23.21290207,0.36869159,-9.66492653,2.91234660,0.08823104,0.09383965,11.75729847,3.36165047,0.00317433,9.18918419,0.03364791,-72.35890961,2.79796100,-50.82171631,1.25375485,-8.50334263,2.68484902,0.10163829,0.01651896,1.74283195,28.04354668,1.27100337,35.56404114,3.21078992,-10.47267914,0.30536890,-16.50724411,0.33334002,-0.96953577,0.02954844,0.86355548,0.02461777,1.51670313,26.52445793,0.46994516,54.10395432,2.85501385,-0.04509121,0.00000000,1.65775311,0.00209750,-0.58479017,0.01164113,0.91410252,0.04938883,2.07746410,-20.94086075,0.20856431,79.69707489,2.45537543,1.08883107,0.00073401,-25.00965309,0.29507288,0.13907625,0.00083887,0.97689997,0.01651896,1.74283195,28.04354668,1.27100337,35.56404114,3.21078992,-10.47267914,0.30536890,-16.50724411,0.33334002,-0.96953577,0.02954844,0.86355548,0.02461777,1.51670313,26.52445793,0.46994516,54.10395432,2.85501385,-0.04509121,0.00000000,1.65775311,0.00209750,-0.58479017,0.01164113,0.91410252,0.04938883,2.07746410,-20.94086075,0.20856431,79.69707489,2.45537543,1.08883107,0.00073401,-25.00965309,0.29507288,0.13907625,0.00083887,0.97689997,
0.00,0.00,11.00,0.00,131.00,164.00,0.00,117.00,2.63,0.00,-25.89235115,-52.69845963,-13.84842777,-39.78443527,-33.05591965,1.97629285,0.16010709,252.90,0.19134416,10.62515450,6.33884525,-4.28630924,60.89936447,0.00000000,3.48842216,3.30569601,-0.18272619,0.00004023,1.14,0.97,-0.12612315,1.26461184,192.47953796,0.52190518,366.14242554,2.89605141,-22.04266739,0.01761552,-192.04713440,1.15831125,8.12535858,0.03681035,0.84789272,-0.12410416,1.04313898,-37.30315781,0.01521106,242.03991699,0.92757136,48.76467133,0.06332889,-307.37438965,1.15900970,2.60665464,0.00387852,0.95035477,-0.22471479,1.20716012,-21.17078018,0.00224312,539.40985107,2.07730722,48.45225143,0.02243116,-271.78686523,0.64195555,-1.43738151,0.00133374,0.97087504,-0.04127187,0.19563545,133.22773743,0.51586521,158.99206543,1.15402532,-25.59506607,0.03279753,-118.74282074,0.31024528,-17.36965370,0.17112806,0.67920467,-0.04135592,0.07722237,194.15580750,0.45413533,252.63859558,1.12256885,-16.27922249,0.00532568,-197.96794128,0.53317326,-24.65347290,0.37443167,0.54074505,-0.28275648,1.23070133,306.85858154,0.80951071,603.99548340,2.54897618,37.71255493,0.01601070,-102.15464020,0.08902920,-7.95694399,0.05361159,0.81694386,-0.04127187,0.19563545,133.22773743,0.51586521,158.99206543,1.15402532,-25.59506607,0.03279753,-118.74282074,0.31024528,-17.36965370,0.17112806,0.67920467,-0.04135592,0.07722237,194.15580750,0.45413533,252.63859558,1.12256885,-16.27922249,0.00532568,-197.96794128,0.53317326,-24.65347290,0.37443167,0.54074505,-0.28275648,1.23070133,306.85858154,0.80951071,603.99548340,2.54897618,37.71255493,0.01601070,-102.15464020,0.08902920,-7.95694399,0.05361159,0.81694386,
0.00,0.00,14.00,0.00,131.00,164.00,1.00,88.00,5.29,0.00,2.61098194,-1.67361796,-0.77685690,1.15481699,0.32883099,0.02694406,0.86965062,21.53,0.95973541,10.33387661,5.67098904,-4.66288710,82.26793671,0.00000000,-3.89561605,-10.62724400,-6.73162794,4.93058538,1.14,0.97,-0.00652582,0.46748224,55.44311523,5.97833443,-9.20173931,0.25257799,0.68323600,0.00235871,-6.87477541,0.20494525,3.08727694,0.73329520,0.39203333,0.01445101,1.95138133,-4.74003172,0.03383709,-29.31653976,1.87750149,-10.54057598,0.40833142,-29.17069626,1.44016683,-3.40048385,0.89165318,0.34527004,0.01285706,0.54520130,38.56855011,1.03368700,-42.28150177,1.76079631,-17.48025131,0.40334702,-29.94329071,1.07504749,-1.12543976,0.11617544,0.73329557,-0.00780054,0.97290784,45.07102966,8.21946907,-4.01690578,0.10253605,-14.47670460,1.46097410,-4.98952103,0.07621101,4.01421452,1.27176285,0.25972127,-0.01840454,2.12775707,37.09706497,2.30747223,-13.98114967,0.47847226,-22.58362198,1.43133688,-35.70597076,2.41401124,4.83429337,2.00371361,0.15724244,-0.03091727,2.03624511,31.82504272,1.20502698,6.50669050,0.04098062,-38.62424469,2.32022452,-21.70218277,0.55589396,3.45968747,1.40160286,0.23675183,-0.00780054,0.97290784,45.07102966,8.21946907,-4.01690578,0.10253605,-14.47670460,1.46097410,-4.98952103,0.07621101,4.01421452,1.27176285,0.25972127,-0.01840454,2.12775707,37.09706497,2.30747223,-13.98114967,0.47847226,-22.58362198,1.43133688,-35.70597076,2.41401124,4.83429337,2.00371361,0.15724244,-0.03091727,2.03624511,31.82504272,1.20502698,6.50669050,0.04098062,-38.62424469,2.32022452,-21.70218277,0.55589396,3.45968747,1.40160286,0.23675183,
0.00,0.00,14.00,0.00,131.00,165.00,0.00,85.00,2.27,0.00,-7.29123259,-5.91702271,-10.00362682,-10.51709080,-8.43224335,15.20067692,0.00010343,23.26,0.00030762,12.38156033,9.78948498,-2.59207559,14.62644386,0.00016059,-0.99068934,10.22733116,11.21802044,15.36276054,1.04,0.88,-0.02209370,4.59076738,2.88602710,0.01392230,10.36491680,0.27451637,-13.32661915,0.76101106,4.36981869,0.07095884,-1.34648728,0.11946234,0.72969496,-0.01985216,3.16505218,15.79007435,0.32302868,-10.24476719,0.19705085,9.65209770,0.29428506,-31.94233513,1.48411298,-2.32676935,0.35884589,0.54929087,-0.04171570,4.93926859,13.62361145,0.11100617,-12.20425224,0.12630185,21.41884804,0.52117789,-35.29249954,1.28528726,-2.14151669,0.36203533,0.54752174,-0.03220123,14.27683353,0.46118030,0.00073672,11.64330578,0.74187374,-0.81882662,0.00402361,13.36326504,0.47104535,3.63658667,0.89873773,0.34336174,-0.05466168,16.22966194,16.92276382,0.41522014,19.58636284,0.81206065,-16.44075203,0.65597612,4.62371111,0.03499526,3.93470502,1.14784443,0.28427323,-0.11634060,25.42393875,-11.76894951,0.14529321,28.27919960,0.68183154,-28.82962608,1.13985491,94.50148010,9.29413986,3.48970461,1.25745392,0.26241724,-0.03220123,14.27683353,0.46118030,0.00073672,11.64330578,0.74187374,-0.81882662,0.00402361,13.36326504,0.47104535,3.63658667,0.89873773,0.34336174,-0.05466168,16.22966194,16.92276382,0.41522014,19.58636284,0.81206065,-16.44075203,0.65597612,4.62371111,0.03499526,3.93470502,1.14784443,0.28427323,-0.11634060,25.42393875,-11.76894951,0.14529321,28.27919960,0.68183154,-28.82962608,1.13985491,94.50148010,9.29413986,3.48970461,1.25745392,0.26241724,
0.00,0.00,15.00,0.00,131.00,165.00,1.00,64.00,7.44,0.00,1.12804747,0.36681405,1.70391583,5.47383547,2.16815329,2.45939493,0.11715538,14.87,0.27801001,11.99348640,9.22993183,-2.76355457,18.05020142,0.00002905,13.77376556,14.65073490,0.87696946,0.13238379,1.04,0.88,-0.01189466,3.25552082,32.80263138,4.38695908,5.71397924,0.20417398,6.80473757,0.48547119,6.35899925,0.36755437,6.04474735,5.89295673,0.01538669,-0.01103722,2.39444280,34.17210007,3.70196390,22.68013000,2.36359596,3.30126071,0.08422767,1.51184499,0.00810674,5.50625515,4.91783762,0.02681697,-0.00275250,0.05221929,3.27810812,0.01556340,-9.69982719,0.19358681,7.66802835,0.16218698,6.09414244,0.09303908,2.56494641,1.26070344,0.26180196,-0.01749615,10.42896175,47.23672104,19.23657036,6.65243006,0.59925199,5.81888533,0.50291735,-5.84276152,0.22281769,8.94000912,13.43994522,0.00025999,-0.02568441,8.78211594,58.96074295,12.35314560,3.21552825,0.05362262,12.31913185,0.90258932,-10.09370899,0.40882888,7.82674980,11.13049412,0.00088215,-0.02818585,3.55327940,40.24747849,4.04634666,-8.40178299,0.14331515,2.87436128,0.02698345,19.17539978,0.91117316,4.81521177,5.70059729,0.01715397,-0.01749615,10.42896175,47.23672104,19.23657036,6.65243006,0.59925199,5.81888533,0.50291735,-5.84276152,0.22281769,8.94000912,13.43994522,0.00025999,-0.02568441,8.78211594,58.96074295,12.35314560,3.21552825,0.05362262,12.31913185,0.90258932,-10.09370899,0.40882888,7.82674980,11.13049412,0.00088215,-0.02818585,3.55327940,40.24747849,4.04634666,-8.40178299,0.14331515,2.87436128,0.02698345,19.17539978,0.91117316,4.81521177,5.70059729,0.01715397,
0.00,0.00,19.00,0.00,131.00,165.00,2.00,87.00,5.49,0.00,3.94226074,1.22316849,8.02524281,2.80469871,3.99884272,5.66542768,0.01749810,18.07,0.02372873,10.82040787,7.67211962,-3.14828849,23.99872589,0.00000161,32.70571136,25.49389458,-7.21181536,5.57838440,1.09,0.93,0.02691931,11.37807369,4.56411982,0.05792229,-4.48722172,0.08585244,0.20799404,0.00028118,-1.58315384,0.01555841,-4.43801403,2.16758680,0.14127881,0.02658470,9.52202702,24.79689980,1.33617866,-11.06266022,0.38539812,-20.40639496,2.20680928,26.65056801,1.73316133,-3.36304164,1.25744140,0.26241962,0.05728824,15.60221863,30.62745094,0.93961805,-33.49912643,1.59318757,-18.36339569,0.64160764,-11.15719986,0.21512505,-4.32117748,2.46866369,0.11646995,0.01551663,5.44607401,2.24150681,0.02876841,-6.54525232,0.38516152,2.48760772,0.06107468,-19.40502739,1.63179266,-1.83894420,0.37762028,0.53902688,0.01949488,3.37350178,-13.99739170,0.46419474,-10.36924839,0.37195089,16.97574997,1.14281917,-12.19317055,0.39780149,-0.55342108,0.03710210,0.84729853,0.04004842,4.87877655,-4.54542351,0.03511056,-28.15363121,1.09441960,31.03420258,2.13893533,-52.73159409,4.68627691,-0.21624972,0.00786477,0.92935214,0.01551663,5.44607401,2.24150681,0.02876841,-6.54525232,0.38516152,2.48760772,0.06107468,-19.40502739,1.63179266,-1.83894420,0.37762028,0.53902688,0.01949488,3.37350178,-13.99739170,0.46419474,-10.36924839,0.37195089,16.97574997,1.14281917,-12.19317055,0.39780149,-0.55342108,0.03710210,0.84729853,0.04004842,4.87877655,-4.54542351,0.03511056,-28.15363121,1.09441960,31.03420258,2.13893533,-52.73159409,4.68627691,-0.21624972,0.00786477,0.92935214,
0.00,0.00,21.00,0.00,131.00,166.00,2.00,86.00,4.46,0.00,-9.86220741,-10.40476418,-1.77157986,-9.15979385,-7.79958630,13.02249336,0.00032377,23.25,0.00064083,12.44252682,11.69598007,-0.74654675,0.70600849,0.40146668,41.60463333,48.76403046,7.15939760,3.58182621,1.09,0.93,-0.00259316,0.06305247,21.56799316,0.77320468,19.89942932,1.00939953,-7.49877834,0.24033855,15.62431431,0.90457338,-7.00267744,3.22418761,0.07287583,-0.00635214,0.32294512,-1.38792968,0.00257371,2.06250572,0.00805684,-3.86581254,0.04711015,35.11312485,1.78738821,-6.14815807,2.49672604,0.11441646,0.00079436,0.00179006,-12.59726143,0.09442553,7.80321360,0.05135227,-17.58482742,0.34950870,35.26387787,1.27653468,-7.84395123,4.83114100,0.02819101,-0.01546834,3.26485181,21.97920609,1.66803312,18.63159752,1.88268697,-5.17864656,0.15950215,7.57263565,0.14984216,-1.84394276,0.22891928,0.63243653,-0.02397585,3.07658982,0.46798566,0.00033641,26.73443604,1.49074876,3.12594199,0.02332449,15.27023029,0.37621951,-2.59692931,0.49261770,0.48293402,-0.01557793,0.44216177,31.42506599,1.00490296,3.49949479,0.01009502,-35.61653137,1.68755043,-23.22028542,0.54434580,-6.20617437,3.85775495,0.04980808,-0.01546834,3.26485181,21.97920609,1.66803312,18.63159752,1.88268697,-5.17864656,0.15950215,7.57263565,0.14984216,-1.84394276,0.22891928,0.63243653,-0.02397585,3.07658982,0.46798566,0.00033641,26.73443604,1.49074876,3.12594199,0.02332449,15.27023029,0.37621951,-2.59692931,0.49261770,0.48293402,-0.01557793,0.44216177,31.42506599,1.00490296,3.49949479,0.01009502,-35.61653137,1.68755043,-23.22028542,0.54434580,-6.20617437,3.85775495,0.04980808,
0.00,0.00,12.00,0.00,132.00,163.00,0.00,90.00,6.21,0.00,-1.01877260,20.73941994,28.73458862,0.34270871,12.19948673,4.07519293,0.04379666,65.00,0.01657130,7.92485523,2.72034883,-5.20450640,97.28805542,0.00000000,76.65389252,62.20365524,-14.45023632,4.55203962,1.25,1.04,0.08022904,7.93585396,54.77662277,0.65546304,151.67797852,7.70741653,-93.74637604,4.93660879,-96.84808350,4.56828260,-11.58920288,1.16061640,0.28161152,0.06647103,4.55715322,-38.00971985,0.24029644,76.53118896,1.41224623,-12.67471409,0.06512114,-109.99445343,2.26020551,-7.22347450,0.44408119,0.50532115,0.15782987,9.19942093,-58.52377701,0.26656505,258.96960449,7.39679956,-86.08300018,1.09535170,-141.80621338,2.69989300,-12.37294388,1.57228899,0.21018370,0.04602313,3.71726394,25.37868690,0.28604561,57.34990692,2.29425931,-63.31361389,3.06716037,-38.37438583,0.49511898,-4.02063131,0.14007567,0.70828941,0.05192687,1.85483789,28.18505478,0.14585504,105.08386230,2.96016550,-82.24062347,2.07863593,-73.62168884,1.12389088,1.10622740,0.01147239,0.91472495,0.07900205,1.48469055,98.52815247,1.28974664,369.04022217,14.70555973,-157.04838562,4.28367138,-53.26709747,0.37395504,4.21212482,0.23202318,0.63013877,0.04602313,3.71726394,25.37868690,0.28604561,57.34990692,2.29425931,-63.31361389,3.06716037,-38.37438583,0.49511898,-4.02063131,0.14007567,0.70828941,0.05192687,1.85483789,28.18505478,0.14585504,105.08386230,2.96016550,-82.24062347,2.07863593,-73.62168884,1.12389088,1.10622740,0.01147239,0.91472495,0.07900205,1.48469055,98.52815247,1.28974664,369.04022217,14.70555973,-157.04838562,4.28367138,-53.26709747,0.37395504,4.21212482,0.23202318,0.63013877,
