x,y,z,d,xv,yv,zv,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L0 p-val
0.00,0.00,1.00,0.00,57.00,160.00,6.00,126.00,18.75,0.56,-2.24436545,-1.09122133,-0.60244799,-1.01565909,-1.23842347,5.10605764,0.02406732,5.97,0.02315403,1.44321299,1.56311524,0.11990232,0.93283498,0.33493485,-0.76919216,-0.93267488,-0.16348274,0.03460095,6.28,0.00,-0.00144884,0.45153454,-2.26748729,0.40899482,0.96620125,0.08529103,-0.31239262,0.00687831,0.70125180,0.03608467,-0.96643299,1.75925982,0.18503597,-0.00120930,0.17155492,1.51744092,0.10214882,-4.32320738,0.83573419,1.98339868,0.14718331,5.98666668,1.28162861,-1.02410340,2.07603717,0.14995805,-0.00467499,0.70179284,-2.66210008,0.10142312,-9.88932323,1.44687092,8.32568073,0.88140512,4.85843420,0.29015926,-0.87731510,1.57004273,0.21050945,0.00531867,4.06916714,-3.81835866,0.84862185,-9.21763325,6.64286375,0.60152638,0.01445055,7.47245026,1.49258113,-2.05916214,8.19827747,0.00428534,0.00762392,4.90324306,-4.44830275,0.72797376,-9.86485386,4.46295357,0.65697157,0.01442696,7.94495296,1.21239901,-2.13487196,9.22395706,0.00245399,0.00991208,3.71950769,0.58208489,0.00585649,-10.84054184,2.89597917,3.77964902,0.20103720,5.94445467,0.31231043,-1.95566022,8.27564049,0.00410805,0.00531867,4.06916714,-3.81835866,0.84862185,-9.21763325,6.64286375,0.60152638,0.01445055,7.47245026,1.49258113,-2.05916214,8.19827747,0.00428534,0.00762392,4.90324306,-4.44830275,0.72797376,-9.86485386,4.46295357,0.65697157,0.01442696,7.94495296,1.21239901,-2.13487196,9.22395706,0.00245399,0.00991208,3.71950769,0.58208489,0.00585649,-10.84054184,2.89597917,3.77964902,0.20103720,5.94445467,0.31231043,-1.95566022,8.27564049,0.00410805,
0.00,0.00,1.00,0.00,58.00,149.00,9.00,147.00,27.37,0.64,-0.64812702,-0.79972559,-0.03851040,-0.01900106,-0.37634102,1.26825297,0.26037789,3.64,0.21133616,1.19415605,1.48211551,0.28795943,8.02885818,0.00492794,-1.51581204,-2.08114815,-0.56533617,1.56291223,6.28,0.00,0.00482926,13.69347763,0.61080188,0.08102094,-0.50631589,0.06390689,-0.39929220,0.03061754,-1.89954126,0.72240061,-1.39912212,10.06457710,0.00156005,0.00693260,15.39827347,1.21157873,0.17784910,-2.06711745,0.52189809,-0.19661132,0.00397954,-2.45606303,0.58918846,-1.38313150,10.34317684,0.00134349,0.01464175,18.89618492,3.38995361,0.45134282,5.71270609,1.32541454,-1.13739467,0.04521437,-4.18461132,0.59091759,-1.52005541,12.93815422,0.00033856,0.00790493,24.58322716,-2.48669386,0.98429513,1.29154325,0.35664138,1.33742607,0.19548310,1.33445299,0.13012691,-1.81115627,17.34588623,0.00003400,0.00940420,20.33529663,-2.73980522,0.75275725,2.95396948,1.09072244,0.16418946,0.00240311,-0.82453275,0.03553696,-1.62158442,14.50555992,0.00014873,0.01518883,24.03179359,-5.10549307,1.24343550,5.71670723,2.21600485,0.60833627,0.01435635,-5.40403414,0.71012652,-1.61108339,15.45343685,0.00009071,0.00790493,24.58322716,-2.48669386,0.98429513,1.29154325,0.35664138,1.33742607,0.19548310,1.33445299,0.13012691,-1.81115627,17.34588623,0.00003400,0.00940420,20.33529663,-2.73980522,0.75275725,2.95396948,1.09072244,0.16418946,0.00240311,-0.82453275,0.03553696,-1.62158442,14.50555992,0.00014873,0.01518883,24.03179359,-5.10549307,1.24343550,5.71670723,2.21600485,0.60833627,0.01435635,-5.40403414,0.71012652,-1.61108339,15.45343685,0.00009071,
0.00,0.00,1.00,0.00,58.00,149.00,10.00,157.00,25.77,0.71,-0.58068317,-1.01982546,0.29360121,-0.20456603,-0.37786838,1.12781024,0.28851166,3.88,0.22728933,1.13576984,1.48598742,0.35021761,10.76860523,0.00115899,2.60702896,4.13646030,1.52943122,6.24834251,6.28,0.00,0.00074234,0.28171265,1.30671167,0.32276562,-2.01231122,0.87826949,-1.00533998,0.16905273,-2.76026034,1.32796609,-0.45483902,0.92604935,0.33613674,0.00247440,1.70608985,1.51359594,0.24138981,-2.62358189,0.73115438,1.81894732,0.29418597,-3.09318304,0.81277132,-0.70720947,2.35178876,0.12547263,0.00342972,0.89587003,-2.83582377,0.27285030,-4.63690567,0.75444335,0.10699845,0.00031456,-8.69111824,2.20230508,-0.56878841,1.56531894,0.21119646,0.01144781,46.38118744,-3.39831495,1.65376914,-3.05038691,1.78986049,-0.27904654,0.00770328,-7.31109905,3.51539516,-2.40139866,27.43276405,0.00000020,0.01451538,43.63714218,-4.08385086,1.50652266,-3.64564943,1.49648702,-1.85814452,0.28460476,-6.27623892,1.85750675,-2.21661139,24.41330147,0.00000092,0.02194410,45.02912521,-0.94058663,0.03787314,-1.71712005,0.17943715,-4.89724112,0.83366930,-5.54574347,0.67132771,-2.05300736,22.52629852,0.00000239,0.01144781,46.38118744,-3.39831495,1.65376914,-3.05038691,1.78986049,-0.27904654,0.00770328,-7.31109905,3.51539516,-2.40139866,27.43276405,0.00000020,0.01451538,43.63714218,-4.08385086,1.50652266,-3.64564943,1.49648702,-1.85814452,0.28460476,-6.27623892,1.85750675,-2.21661139,24.41330147,0.00000092,0.02194410,45.02912521,-0.94058663,0.03787314,-1.71712005,0.17943715,-4.89724112,0.83366930,-5.54574347,0.67132771,-2.05300736,22.52629852,0.00000239,
0.00,0.00,1.00,0.00,58.00,153.00,10.00,137.00,21.01,0.64,-0.91309154,-0.12912880,1.43467295,-0.61025012,-0.05444938,0.01136216,0.91513395,5.57,0.92397949,1.47959054,1.63293290,0.15334244,1.87079620,0.17244655,3.62798095,2.49881816,-1.12916291,2.32933378,6.28,0.00,-0.00133479,0.44281960,-2.93076706,0.78946978,1.02898800,0.11163725,7.17167425,4.18217850,-0.42808396,0.01552895,0.08193360,0.01461188,0.90381196,-0.00574822,4.48478174,-4.10391760,0.86433017,6.35818005,2.09176612,-1.12548232,0.05486740,-0.39531249,0.00649826,0.70989728,1.15429974,0.28292396,-0.00592013,1.29282391,3.11740685,0.15972149,-2.60075831,0.11493122,8.68358517,1.10141408,4.30008078,0.26112422,0.35987794,0.30347693,0.58184052,0.00364468,2.18519044,-7.42851210,3.67289233,-4.53265667,1.83693576,-1.12626302,0.05802203,-5.61339951,0.96323913,-0.70044261,1.08485281,0.29787975,0.00543157,2.84921503,-9.94653893,4.16723013,-3.53906560,0.65760058,-2.45097303,0.23092484,-2.68387961,0.15837468,-0.76088607,1.34138286,0.24708163,0.00433206,0.81399095,-10.50741577,2.19280434,1.09086609,0.03360877,3.61941767,0.21122897,6.07769775,0.37396616,-0.44383836,0.48839456,0.48481556,0.00364468,2.18519044,-7.42851210,3.67289233,-4.53265667,1.83693576,-1.12626302,0.05802203,-5.61339951,0.96323913,-0.70044261,1.08485281,0.29787975,0.00543157,2.84921503,-9.94653893,4.16723013,-3.53906560,0.65760058,-2.45097303,0.23092484,-2.68387961,0.15837468,-0.76088607,1.34138286,0.24708163,0.00433206,0.81399095,-10.50741577,2.19280434,1.09086609,0.03360877,3.61941767,0.21122897,6.07769775,0.37396616,-0.44383836,0.48839456,0.48481556,
0.00,0.00,2.00,0.00,58.00,157.00,7.00,140.00,19.56,0.62,-1.30017853,-1.09012032,-0.41209987,-0.47007373,-0.81811810,2.77564359,0.09603646,5.35,0.08514599,1.19147730,1.49657357,0.30509624,6.67308235,0.01027940,-3.97478342,-2.40580702,1.56897640,3.71539116,6.28,0.00,0.00828392,18.81457138,1.31066561,0.17419215,1.11406708,0.14438458,1.44164205,0.18646584,0.62506264,0.03655135,-2.66266584,17.02106094,0.00004021,0.01105505,18.20239067,-1.77914071,0.17826816,1.27746046,0.09263217,3.09981036,0.45656833,1.39422357,0.08825956,-2.58910632,16.84822464,0.00004397,0.01922011,15.01715755,-4.99798822,0.45245025,11.57638073,2.51006794,1.30405951,0.02733372,1.17209840,0.02135656,-2.43842554,15.35543728,0.00009546,0.01055698,20.20807266,-2.12932944,0.33266124,2.07643199,0.42495093,-4.78893280,1.15537536,2.63607717,0.23416489,-2.68336153,17.54880714,0.00003061,0.01331766,18.86096764,-6.48909998,1.95305085,3.82768464,0.84702927,-5.92667866,1.48666263,-5.40918636,0.70847350,-2.55159354,16.61032867,0.00004974,0.01567318,11.67860317,-3.92163968,0.33482817,6.44032860,1.28361940,-1.43152487,0.03623739,3.01910138,0.10115715,-2.06040788,11.53545856,0.00071115,0.01055698,20.20807266,-2.12932944,0.33266124,2.07643199,0.42495093,-4.78893280,1.15537536,2.63607717,0.23416489,-2.68336153,17.54880714,0.00003061,0.01331766,18.86096764,-6.48909998,1.95305085,3.82768464,0.84702927,-5.92667866,1.48666263,-5.40918636,0.70847350,-2.55159354,16.61032867,0.00004974,0.01567318,11.67860317,-3.92163968,0.33482817,6.44032860,1.28361940,-1.43152487,0.03623739,3.01910138,0.10115715,-2.06040788,11.53545856,0.00071115,
0.00,0.00,1.00,0.00,58.00,157.00,8.00,137.00,22.10,0.65,-2.82775712,-2.25768042,-0.14415735,-1.42797613,-1.66439271,11.63307953,0.00067507,5.32,0.00050853,1.32813382,1.69118404,0.36305022,8.66889954,0.00349974,4.65727758,4.20725393,-0.45002392,0.37361652,6.28,0.00,-0.00192751,1.00886357,-1.75454164,0.30912477,1.87962484,0.40704545,0.27191052,0.00654586,1.15355527,0.12316899,-1.30844021,4.07092237,0.04390850,-0.00669011,6.65583897,0.73231441,0.03015825,1.66993761,0.15811253,1.49063373,0.10545313,5.27292681,1.26046717,-0.70531350,1.24837697,0.26414548,-0.01085752,4.80711937,6.12528610,0.68169802,5.73242712,0.61736143,14.05902100,3.19156456,13.73914909,2.94674897,-1.01244426,2.65544915,0.10352746,-0.00045611,0.03747715,1.25136685,0.11417457,-6.96478558,4.75074816,-1.73937523,0.15145059,-2.94810748,0.29096749,-1.47723377,5.28535080,0.02172205,0.00203478,0.43839955,0.66528571,0.02045462,-9.82120800,5.55205488,0.55270070,0.01287635,-0.94752789,0.02166178,-1.83593321,8.56190205,0.00351453,0.00038721,0.00715329,1.34513998,0.03937653,-6.99982166,1.51616359,4.57376289,0.36969817,8.47976494,0.79789287,-1.66065931,7.49297285,0.00630984,-0.00045611,0.03747715,1.25136685,0.11417457,-6.96478558,4.75074816,-1.73937523,0.15145059,-2.94810748,0.29096749,-1.47723377,5.28535080,0.02172205,0.00203478,0.43839955,0.66528571,0.02045462,-9.82120800,5.55205488,0.55270070,0.01287635,-0.94752789,0.02166178,-1.83593321,8.56190205,0.00351453,0.00038721,0.00715329,1.34513998,0.03937653,-6.99982166,1.51616359,4.57376289,0.36969817,8.47976494,0.79789287,-1.66065931,7.49297285,0.00630984,
0.00,0.00,2.00,0.00,58.00,158.00,6.00,130.00,17.94,0.65,0.79374784,0.18520869,-0.44195470,-0.33637238,0.05015736,0.00982468,0.92106420,5.50,0.82016859,1.19645882,1.45432043,0.25786161,4.29601097,0.03908818,-2.75435495,-2.63996172,0.11439305,0.01962765,6.28,0.00,0.00577212,8.53907967,-3.25927329,1.00676334,3.82453084,1.59058511,2.42418456,0.49272773,-3.29872441,0.95090902,-1.33323443,3.98916554,0.04607888,0.00514968,3.68270445,-4.65525198,1.13785362,6.18964052,2.02820325,-3.33929944,0.49406722,-3.26143169,0.45028672,-0.82003987,1.57590950,0.20965990,0.01399309,7.46023607,-9.22033310,1.44317758,8.82025623,1.36569357,-6.97615099,0.73417753,-4.35876083,0.27707902,-1.07439590,2.79395342,0.09495020,0.00619195,6.48347378,-0.33441716,0.00761311,2.70343518,0.67171520,-2.73134041,0.35051754,5.85144424,1.07590199,-1.04427445,2.47872734,0.11572889,0.01223339,15.06011772,-2.69609261,0.31902304,2.79162025,0.42636266,-3.29108548,0.43382034,12.82147217,3.76651144,-1.49465716,5.39343357,0.02042343,0.01541412,10.67262745,-1.69935358,0.05944328,1.68816245,0.08338483,-1.44344568,0.03480685,11.35406399,1.35171866,-1.12247849,3.23476315,0.07240840,0.00619195,6.48347378,-0.33441716,0.00761311,2.70343518,0.67171520,-2.73134041,0.35051754,5.85144424,1.07590199,-1.04427445,2.47872734,0.11572889,0.01223339,15.06011772,-2.69609261,0.31902304,2.79162025,0.42636266,-3.29108548,0.43382034,12.82147217,3.76651144,-1.49465716,5.39343357,0.02042343,0.01541412,10.67262745,-1.69935358,0.05944328,1.68816245,0.08338483,-1.44344568,0.03480685,11.35406399,1.35171866,-1.12247849,3.23476315,0.07240840,
0.00,0.00,2.00,0.00,58.00,158.00,7.00,147.00,18.05,0.65,0.00052327,0.74734628,0.28994042,0.52297181,0.39019546,0.50684935,0.47668000,5.97,0.45473942,1.37326992,1.68885577,0.31558591,6.01157808,0.01480404,9.11380386,9.87416077,0.76035684,1.00867653,6.28,0.00,0.01006557,22.38311195,-1.36801505,0.15291521,0.47445586,0.02108426,-1.46777284,0.15574093,3.89064407,1.14028883,-1.84926522,6.61567497,0.01025963,0.00823440,8.06011009,0.65003073,0.01900665,3.47352719,0.54668289,-6.27438641,1.49304247,8.58682060,2.67188454,-0.90723783,1.65110910,0.19912157,0.01571578,8.02745724,-7.67386770,0.85278976,11.83081436,2.09605217,-0.74726194,0.00719518,14.38099194,2.57318926,-1.02477539,2.16832614,0.14121106,0.01318797,25.62017822,-0.28158933,0.00471354,5.47893000,2.40346742,0.28292745,0.00328852,6.77714539,1.25720000,-1.99280775,7.86317301,0.00514813,0.01583181,21.60760880,-2.82133269,0.29934123,7.02612019,2.31358767,4.27877665,0.62816882,9.20850945,1.66445076,-1.72468269,6.15194798,0.01329922,0.02186448,18.54809380,-3.81737542,0.25895831,2.89315104,0.21137896,24.16814423,8.42493057,4.29860210,0.16740079,-1.43979931,4.59697390,0.03228194,0.01318797,25.62017822,-0.28158933,0.00471354,5.47893000,2.40346742,0.28292745,0.00328852,6.77714539,1.25720000,-1.99280775,7.86317301,0.00514813,0.01583181,21.60760880,-2.82133269,0.29934123,7.02612019,2.31358767,4.27877665,0.62816882,9.20850945,1.66445076,-1.72468269,6.15194798,0.01329922,0.02186448,18.54809380,-3.81737542,0.25895831,2.89315104,0.21137896,24.16814423,8.42493057,4.29860210,0.16740079,-1.43979931,4.59697390,0.03228194,
0.00,0.00,3.00,0.00,58.00,158.00,8.00,149.00,18.70,0.65,-0.35930714,-0.65538079,-1.35377884,-1.19946277,-0.89198238,3.18311834,0.07472036,5.45,0.09812720,1.42233849,1.78705406,0.36471558,7.23102331,0.00758165,-4.20222807,-3.38228655,0.81994176,1.28033125,6.28,0.00,0.00430134,4.81381369,-5.45870638,2.86695170,0.03888368,0.00019199,0.47988832,0.01964718,2.26365328,0.45457292,-1.92827141,8.47126007,0.00369236,0.00254224,0.91542590,-6.92245150,2.56625056,2.26251507,0.27637431,-4.84027719,1.05866718,7.42841339,2.38264084,-1.35084391,4.36159611,0.03702389,0.00863654,2.87939286,-4.58282614,0.36122355,6.84883118,0.83430904,-0.61824572,0.00580356,-0.25271741,0.00095663,-1.63048601,6.51968956,0.01082406,0.00356563,2.18217993,-5.76244926,2.30606961,0.92630059,0.08008117,-5.26193810,1.32038140,2.34486747,0.17536117,-1.53324890,5.42348766,0.02007683,0.00759230,5.83147669,-6.91297388,2.10859489,-0.62146491,0.02121026,-4.64984655,0.87051785,5.62006187,0.72749275,-1.84477985,8.25982761,0.00414367,0.01003618,4.60381079,-11.29137230,2.66851711,3.48815584,0.36201587,2.68144703,0.12212893,16.90792847,3.05007362,-1.70827997,7.62348080,0.00587246,0.00356563,2.18217993,-5.76244926,2.30606961,0.92630059,0.08008117,-5.26193810,1.32038140,2.34486747,0.17536117,-1.53324890,5.42348766,0.02007683,0.00759230,5.83147669,-6.91297388,2.10859489,-0.62146491,0.02121026,-4.64984655,0.87051785,5.62006187,0.72749275,-1.84477985,8.25982761,0.00414367,0.01003618,4.60381079,-11.29137230,2.66851711,3.48815584,0.36201587,2.68144703,0.12212893,16.90792847,3.05007362,-1.70827997,7.62348080,0.00587246,
0.00,0.00,7.00,0.00,58.00,158.00,9.00,138.00,19.40,0.70,0.17812394,0.17973194,-0.08568043,-0.19840692,0.01844213,0.00129971,0.97124888,5.66,0.84389943,1.48267007,1.82546723,0.34279716,5.26155758,0.02251897,-1.13958001,-1.64329338,-0.50371343,0.40683925,6.28,0.00,0.00928521,21.36860657,6.36217213,3.70992327,2.54876375,0.68316627,4.23717833,1.45576715,-2.19425178,0.40687591,-2.02664924,8.91420364,0.00290224,0.01057513,14.90713882,7.40080452,2.76040959,-1.56350827,0.12420609,4.88787699,1.01604557,-0.97309309,0.03847198,-1.58096242,5.62226725,0.01793254,0.01587912,9.08888626,4.24847841,0.28989157,4.03013945,0.26976350,9.98891449,1.42420840,-0.51700342,0.00369213,-1.29318929,3.82956982,0.05064873,0.01680216,47.26388931,5.29925776,1.90222883,-3.17184520,0.91542190,3.44815946,0.55301547,-5.41069841,0.91075009,-2.90234470,18.95569992,0.00001483,0.02066746,41.83041000,7.19683695,2.21223354,-3.67284322,0.71818197,5.34872866,1.11504912,-3.34191728,0.24904998,-2.58796835,15.73561573,0.00007832,0.02519232,27.70557022,13.55589485,3.67350984,-4.39456511,0.54878259,13.62085152,3.01090646,6.32694006,0.40794948,-1.90203130,9.02645779,0.00273089,0.01680216,47.26388931,5.29925776,1.90222883,-3.17184520,0.91542190,3.44815946,0.55301547,-5.41069841,0.91075009,-2.90234470,18.95569992,0.00001483,0.02066746,41.83041000,7.19683695,2.21223354,-3.67284322,0.71818197,5.34872866,1.11504912,-3.34191728,0.24904998,-2.58796835,15.73561573,0.00007832,0.02519232,27.70557022,13.55589485,3.67350984,-4.39456511,0.54878259,13.62085152,3.01090646,6.32694006,0.40794948,-1.90203130,9.02645779,0.00273089,
