,x,y,z,d,scale_xy_dist,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,0a,23a,45a,67a,90a,112a,135a,157a,NULL.1,theta first half all,theta first half F,tgt_theta_first_half p-val,0b,23b,45b,67b,90b,112b,135b,157b,NULL.2,theta second half all,theta second half F,tgt_theta_second_half p-val,sur_theta p-val,sur_theta_first_half p-val,sur_theta_second_half p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur.1,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
0,-96.48,36.21,6.0,0.39,10.48,75.0,-1.42159617,3.01726437,3.21085,0.47659084,1.3207773,1.47293913,0.22522045,10.33,-10.20143032,2.09222341,3.96804214,2.89967394,6.73230696,0.97524685,0.18375464,2.49740767,-0.04148446,1.0107373,0.8842532,0.34730877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.80233026,-0.93588501,-17.35423088,0.95278335,6.85802841,8.25758076,4.90806103,8.07192135,3.35267925,1.14425564,0.42136812,0.51658929,0.52153867,1.0,0.11795103,0.61553383,1.22253847,2.33918953,4.89883709,0.99762243,-0.36348605,5.16890001,9.11443138,2.58406115,3.30760789,0.06931536,-0.79930264,3.73187399,0.53432184,-0.17142823,-1.90089107,9.08730412,4.7587471,10.31562614,2.80157375,4.04669666,0.04457641,1.47581899,-0.48674092,-30.17704964,2.20435619,6.70750618,-1.04249191,3.3091805,2.13603806,-2.18325281,2.82581711,0.09313098,-18.26216888,-20.17945862,-1.91728997,0.32151094,0.57121183,8.74875164,7.94679832,-0.80195385,1.88217533,4.42,6.03
1,-96.48,36.21,3.0,0.29,10.48,87.0,-34.05571365,-40.38751602,-24.99951553,-18.51189613,-29.48866081,3.33917356,0.06799989,153.13,-56.7533989,-38.8469429,-20.04025078,15.11452103,-99.92157745,-15.08130264,-10.28044415,-35.52809906,-17.39358902,-30.93915176,3.60760689,0.05785693,-10.69482327,-66.27492523,-57.09241104,-45.71362305,-50.66117859,4.95925474,-268.37268066,-130.90582275,-68.289711,-76.92810059,4.74750805,0.02995133,1.54305744,0.55013186,1.38105631,2.53857017,3.80955625,1.89176834,5.114151,6.18113089,2.74493074,2.85873318,14.23867416,0.00018277,0.07626265,0.0346991,4.718e-05,-1.07986736,14.11866188,-5.5371809,-97.54749298,3.9839952,13.63938046,-208.88066101,-53.10372925,-24.05247307,1.32085431,0.25076553,-41.76198578,-73.10899353,-29.28607178,-2.42411089,-35.27051544,44.11693573,16.2121582,-62.16181946,-4.17288399,0.04032707,0.84089099,-4.2501545,-54.8228569,10.31329536,-9.28277016,-20.47687912,-5.93581343,-110.74777222,-58.88724899,-14.88806438,0.51611894,0.47270148,-15.03486538,-16.8363018,-1.80143619,0.53627175,0.46467068,25.61097336,27.39915276,1.78817892,0.41169703,4.42,6.03
2,-95.88,35.99,3.0,0.25,9.52,92.0,-1.44293165,2.19207549,2.96780801,1.04576862,1.19068015,1.12834978,0.28843002,10.64,4.49701786,3.5925436,-11.05845165,0.49527487,2.42956042,1.12703729,3.07684565,2.39372993,0.58845168,0.79276311,0.51207519,0.47444005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.54715765,-1.47550285,-17.66327095,2.51007938,7.93428469,8.36897373,3.17613316,5.21059847,3.94040656,1.16045463,0.37845248,0.53874637,0.59386084,1.0,0.16041552,1.63057661,1.66210949,1.34194815,4.97753954,1.81853151,-2.57015181,3.0132618,5.24209213,1.20165682,0.67165464,0.41270751,-0.84024841,3.1820569,0.97286695,1.89332759,-1.47120798,9.72953701,2.30895257,7.75884676,1.96960342,1.87320006,0.17147449,2.92051697,-1.77174246,-31.92615128,1.31773257,7.34606123,1.13328183,3.26376796,1.53092468,-2.74549103,4.2571063,0.03939285,-12.52635098,-15.36023521,-2.83388352,0.60758597,0.43643841,7.46451139,6.8980484,-0.56646276,0.55164546,4.42,5.34
3,-95.19,35.94,2.0,0.19,8.48,96.0,-2.48019218,1.70506418,2.74032569,-0.275664,0.42238343,0.16081573,0.68850762,10.0,4.20711708,-0.35102838,2.33091664,2.41068411,-11.29162216,-0.09401475,2.18841386,2.15183544,-0.78263414,0.0854331,0.00672958,0.93463914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.51659727,-2.39745069,-19.28001404,0.83788508,5.17575407,8.21519566,2.15266728,4.12944794,1.56920922,-0.45664325,0.06866789,0.79340728,0.82842998,1.0,0.60185749,0.7975933,0.091314,0.93693256,2.31336451,1.25577152,-0.78011227,3.59915662,5.61685896,2.04546547,2.20141435,0.13825884,-1.19458735,3.45672393,0.42001346,0.95479745,-1.32582104,9.17493916,4.00119305,6.54122448,3.11634851,5.31368923,0.02140115,-0.4352015,-2.08163762,-31.66517448,2.67981839,4.10945177,0.31581354,1.08601213,1.4517926,-2.4744668,3.92096043,0.04801318,-7.18103981,-11.55637074,-4.37533092,1.4329921,0.23241517,0.53226298,0.39659965,-0.13566335,0.02876489,6.28,0.0
4,-94.57,35.7,3.0,0.0,7.49,84.0,-3.2557683,1.55302572,2.67637014,-1.26445901,-0.07270788,0.00486652,0.94440075,9.92,-11.75548077,-0.35809654,-0.23702422,1.72417712,-0.63624024,2.79873395,2.52250791,4.43953371,-1.79061639,-0.36546817,0.12506236,0.72369594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.23326659,1.30842733,-19.08125114,1.33602643,6.02511311,3.88971877,-2.75657058,4.72213268,-0.37985215,-0.90681678,0.28700671,0.59241217,0.46765984,1.0,0.97827881,-0.22724283,0.43413836,-0.5689615,4.98535013,4.70218801,-3.40611386,1.27062786,4.61974907,2.87430048,4.44218159,0.03535684,0.39316607,6.73382998,-1.32693827,-0.10248116,0.71464896,4.83765364,0.74557942,8.48235989,3.91005635,8.49543381,0.00365487,-0.62292653,-0.36964634,-29.99303627,1.78536463,1.43758571,-1.67680192,-2.1155653,1.08847249,-2.26473141,3.24616075,0.07194899,-0.9042837,-6.49748993,-5.59320641,2.45761108,0.11822645,-4.2411623,-5.67880583,-1.43764341,7.6069169,6.28,0.0
5,-94.0,35.89,2.0,0.0,6.73,79.0,-1.53713894,1.04884756,1.13019323,-0.8732233,-0.05783037,0.00333142,0.95398651,9.43,0.67277104,0.1831332,-9.14540958,1.94758058,-0.88554627,1.83548069,2.48884368,2.2109549,-1.2043227,-0.21051311,0.04537484,0.83136776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.86678505,-0.20537168,-14.64176369,1.17695963,4.84233189,2.00221825,1.65649354,1.81938922,0.02885662,-0.57583153,0.11258604,0.73737674,0.59065049,1.0,0.93173694,-0.8239488,1.44720984,-0.14814316,5.31945229,2.45284033,-6.93952227,3.26804304,3.2566793,2.0200398,2.4392519,0.11870885,-0.5406633,0.53077197,-0.00193537,-0.39544284,-0.97952962,5.26745367,0.44655254,4.68241739,2.02913904,2.51010633,0.11349423,2.08584857,0.88648617,-25.11341286,-0.17307743,2.93622899,-0.26358718,3.09852433,0.18493952,-0.88375151,0.53458017,0.46489126,5.52644396,-0.23467164,-5.76111555,2.80967212,0.0949526,2.41940403,3.14153433,0.72213048,1.26722991,4.59,4.73
6,-93.31,36.13,3.0,0.0,5.84,85.0,-1.42680597,0.71659178,1.11350179,-1.2600497,-0.21419053,0.06146925,0.80424865,8.2,0.52032644,-0.77141386,0.31086844,-0.03361998,2.03705549,-6.39117479,1.29053283,2.34724522,-1.50962341,-0.24417821,0.07950755,0.77803508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.90662867,-2.13976145,-9.75079346,0.55894893,5.02151108,3.79469085,-0.371683,1.19347036,-0.98527211,-0.3979924,0.06768875,0.79485224,0.500933,1.0,0.91650619,1.76943409,-2.6162653,-0.64175886,1.1439507,3.24858522,-1.21541727,0.76238811,3.37345767,2.04947925,3.29349375,0.069911,-2.13752961,2.5395596,-0.98266727,1.32431173,-0.47687277,4.32297373,1.22612607,2.96388674,2.44458318,4.82871771,0.02826144,0.85072428,-1.79197943,-15.3831501,1.20521069,2.95108414,-1.04144049,-0.39181355,0.34407198,-0.30103451,0.07739928,0.78092165,11.31557655,6.89078617,-4.42479038,1.82464337,0.17798779,-0.76497519,-1.19356787,-0.42859268,0.33398184,4.6,4.46
7,-93.31,36.13,1.0,0.0,5.84,102.0,-46.12910843,-55.48753738,-38.5067215,-28.29827118,-42.10541153,6.83782482,0.00908321,152.8,-74.61843109,-28.33492851,-20.41173553,-23.69063759,-52.24994659,-46.74369049,-138.02281189,14.71411896,-26.8333168,-43.97724533,7.39852619,0.00666209,-21.42878723,-93.88656616,-89.08261108,-61.39012909,-70.36819458,5.64334869,-359.28710938,-166.29772949,-92.92796326,-105.34185791,9.41588783,0.00230462,3.36266255,2.59737968,0.04980336,0.48354056,2.46840477,0.78289014,-2.23301578,2.16651678,1.38108599,1.22757876,1.6831286,0.19517991,0.01058697,0.00300577,0.22850979,-1.38477337,9.81983852,-17.71450043,-119.00058746,-4.86190557,11.37186813,-268.01898193,-69.43679047,-29.90895271,2.07649541,0.14995548,-58.94637299,-94.77206421,-42.63673019,-5.53444958,-42.8563652,46.44231033,-6.73983145,-85.03941345,-7.60795259,0.13484788,0.71354999,-13.069911,-70.13037872,7.14968014,-19.27774048,-27.96990776,-7.72391367,-143.73641968,-72.94503784,-16.97356987,0.67632765,0.41108726,6.69603157,2.65216351,-4.04386806,2.17697716,0.14135274,30.00452614,31.06264114,1.05811477,0.11992322,4.53,4.32
8,-96.48,36.21,10.0,0.61,10.48,58.0,-1.78965676,3.28439832,3.81775022,0.69030118,1.50069821,2.01366639,0.15625563,10.04,5.19409561,2.56435037,-9.48229599,3.49855232,3.41952753,1.75275373,1.42579806,2.09403706,0.18910824,1.18280792,1.25954354,0.26205706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.8481102,0.32589257,-15.4173336,1.32750225,7.55670881,8.28267765,4.20775414,5.84341526,3.66815519,1.54807949,0.79598093,0.37277882,0.41348258,1.0,0.09103645,2.23403788,1.99201024,4.56182957,4.43829918,1.6565299,0.16642217,4.8139925,6.11833239,2.60890532,3.55206275,0.05981609,-0.37153614,5.38925743,0.55872399,1.18883789,0.98791534,7.81244373,5.53861618,9.35479355,3.22926307,5.65973186,0.01758104,3.27405596,-0.38230893,-30.2708683,0.94492632,5.55196571,-0.65245122,1.82363224,1.05202985,-2.74418235,4.75092411,0.0295593,-18.82635307,-21.68807793,-2.86172509,0.70037186,0.40346123,4.21906805,1.64682317,-2.57224512,22.40804291,4.42,6.03
9,-96.88,36.62,7.0,0.5,11.26,90.0,-31.18609047,-37.50932312,-23.29868126,-16.43102837,-27.10628128,3.18873978,0.07450441,144.04,-51.18209457,-22.06494904,-10.00959969,14.58102608,-34.83924484,-13.88032436,-32.08797073,-92.79087067,-15.39124489,-28.60084534,3.48220325,0.06237917,-10.04227543,-61.55545044,-54.72781754,-41.72151184,-47.78190231,7.45510292,-249.78134155,-117.24526215,-62.14228058,-70.76724243,4.53310204,0.0338844,1.02741992,2.72385907,2.58412385,3.16870284,-0.2134304,0.29486623,5.55983925,4.02248669,3.94298601,2.56530476,10.6798563,0.0011668,0.08235371,0.03830922,0.00018206,3.52207255,13.73773384,-5.52713537,-89.45716858,-1.62382793,14.44637299,-196.09619141,-49.88350677,-23.13929558,1.38139832,0.24019574,-40.22800064,-68.95802307,-26.08751678,1.30533898,-37.11852264,38.48578644,17.40074921,-56.53373718,-4.78634167,0.05993815,0.80665344,-6.52582979,-47.32019043,7.51346016,-11.08831215,-20.25674248,-3.10426927,-103.16703033,-50.16616821,-14.1379776,0.52577764,0.46858916,-14.89966011,-17.41105461,-2.51139402,1.04148054,0.30846789,27.24575424,29.28027344,2.0345192,0.56489062,4.42,6.03
