,x,y,z,d,scale_xy_dist,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,0a,23a,45a,67a,90a,112a,135a,157a,NULL.1,theta first half all,theta first half F,tgt_theta_first_half p-val,0b,23b,45b,67b,90b,112b,135b,157b,NULL.2,theta second half all,theta second half F,tgt_theta_second_half p-val,sur_theta p-val,sur_theta_first_half p-val,sur_theta_second_half p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur.1,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
0,63.06,74.62,19.0,0.0,11.7,122.0,-0.95545375,-1.40943527,0.39385852,-0.93177581,-0.72570157,1.2075963,0.27210822,6.42,-1.99949574,-0.61462229,-0.17918959,-2.35091162,0.02588658,-0.67004526,-0.05381249,-0.200702,-1.03864276,-0.78605044,1.36964595,0.24219028,1.49559987,-0.54992461,2.53514194,-0.14891513,-2.79129648,-4.00272036,-1.04974592,-3.36338949,-0.05670734,-0.88044733,0.58452779,0.44499836,0.51473689,-0.05018639,-0.48112142,1.63460505,4.97122812,0.16130972,-0.64195651,1.66823637,-0.88796806,0.76466614,1.11665738,0.29118568,0.25244503,0.48845163,0.58551716,0.84672213,-3.03819656,-0.92337847,-0.42561576,1.26297557,-4.40736389,2.93117237,-6.89845991,-0.37619641,0.20167094,0.65348655,0.85042185,-0.23052762,1.65682554,-1.0536828,3.96859741,1.87725997,-3.21771455,-1.30850291,1.31880915,2.45864677,0.11724057,-0.47586238,3.00763273,-3.15617442,0.41353741,-6.22580814,-4.16862345,-0.06838096,3.53898096,0.09124618,0.01218619,0.91212451,-0.79893035,-2.40803123,-1.60910094,77.62320709,0.0,-2.56278729,-3.06713414,-0.50434679,0.35233951,1.29,1.7
1,63.53,75.9,21.0,0.81,10.42,141.0,1.79495835,3.28583765,2.17871189,1.89587343,2.2888453,25.46616554,5.5e-07,4.41,2.65990877,1.52034962,1.49259317,2.38374376,3.32918692,3.53962302,3.68733072,0.85213625,1.97306633,2.37961125,26.88764572,2.7e-07,0.57115746,4.42934752,1.81768477,-1.3298564,3.74676061,2.01883841,2.97978735,2.39933801,2.42077994,2.11497593,8.53386021,0.00368559,4.94632149,3.3481257,0.98696917,3.30504894,2.55861068,2.49687505,4.1176343,1.87117696,1.47698081,2.78695965,22.496912,2.8e-06,4.8e-07,0.00079754,9.95e-06,5.6951642,6.64087391,0.84985667,2.20057344,1.25229871,2.47174764,5.37672567,1.2883147,1.3987447,5.90589714,0.01529018,4.08321047,2.36504388,2.51454043,0.5082708,2.31133771,2.00709319,1.52383709,1.97012901,0.26906118,0.21527365,0.64278027,0.54030633,2.37843776,0.20740676,-0.28345293,4.21874046,2.17448497,3.4174366,1.24891639,-0.19771442,0.11948892,0.72967245,-0.98341393,-2.85014915,-1.86673522,88.07522583,0.0,-4.33301497,-5.74006557,-1.40705037,3.38922715,1.19,1.88
2,62.71,73.52,20.0,0.0,12.99,74.0,5.2518959,0.35828748,3.0143435,2.35263276,2.74428988,3.48328376,0.06232291,14.3,7.20473766,6.04444456,-1.34176528,-1.71267378,0.57742548,4.72139454,5.21275616,2.92222214,2.47971082,2.89801598,3.7943604,0.05174388,4.3095355,4.47382069,0.78349578,7.86874819,6.15463829,7.7383585,4.83559752,-1.47279501,1.09574687,3.97237325,2.49314356,0.11514155,-6.5487051,1.82953513,-4.95609283,4.56272554,-4.42429161,4.76959515,8.77681828,-3.38876224,2.84830976,0.38507366,0.05453637,0.81545203,0.07226213,0.18338269,0.54277125,0.982328,-3.00021935,4.07933235,-1.60213912,-0.96040529,4.66378593,-5.07925463,3.85979581,-2.13018417,1.27357221,0.25940657,-4.25761461,1.98560727,-8.97569466,9.66701221,4.89211464,8.42817593,13.3360672,0.59069151,0.57125044,0.0946396,0.75843283,-0.32733679,8.51042938,-0.03675413,10.65626431,9.37266827,9.42047882,5.14824772,-3.80078268,2.63063073,2.01379299,0.15623089,-0.8599354,-2.62427878,-1.7643435,75.05764008,0.0,20.42844009,18.69981384,-1.72862494,0.59357762,1.36,1.74
3,62.73,74.15,20.0,0.0,11.93,74.0,7.04739857,7.08088779,2.86169839,6.47160912,5.86539841,15.9070797,7.204e-05,14.3,5.57757854,11.12039757,1.07392633,6.22570753,7.88649797,3.27839112,5.42839622,7.81021881,6.79635715,6.12691927,16.85928345,4.401e-05,2.83662271,-0.41030276,-5.2313695,5.66071987,5.0968895,6.13948774,4.3848691,9.03745365,5.11391068,3.62173915,2.23441935,0.13576374,10.71024132,-1.46196747,6.26406384,10.40572262,2.10498905,2.62015462,6.96871758,8.20048714,8.13014698,5.98762369,10.97965145,0.00099278,3.929e-05,0.13411277,0.00039077,7.66693068,-0.12941733,7.22514534,4.63541889,3.67447281,4.44904613,9.40243435,19.88582039,0.71901375,0.1467998,0.70170549,5.67750359,-0.3244738,-2.02371359,8.52689743,-4.38454151,3.02766109,-1.1207757,17.20887184,-3.30012608,3.13386154,0.07702967,8.21651173,2.54837942,4.60182095,10.0940733,14.80611038,10.03462124,10.16000175,-6.21832228,0.23121081,0.01564862,0.90047749,-0.82930779,-2.5383234,-1.70901573,70.21995544,0.0,-9.72729111,-13.96498299,-4.23769188,4.429564,1.33,1.76
4,62.73,74.15,19.0,0.77,11.93,80.0,-2.30578423,-4.84852839,-2.59784627,-3.79650044,-3.38716483,19.40727234,1.186e-05,7.48,-4.67402649,-2.72207618,-4.17030621,-2.21352887,-5.21608591,-3.73338866,-0.21587795,-3.12416315,-3.84482455,-3.32048488,18.12568665,2.291e-05,-6.80190754,-3.4878242,2.52921915,-2.92328548,-5.87886238,-0.14327198,-4.56208563,-4.70671129,-5.49541807,-3.49318647,5.83306265,0.01617986,-5.19444227,-3.24228501,-7.94843674,-3.16731811,-7.97660732,-1.92158592,-1.94390404,-3.74186444,-3.03232908,-4.23673391,34.8876915,1e-08,5.47e-06,0.00629017,4e-08,-12.73265743,-6.43001795,-4.03513861,-1.61820257,-6.17407417,2.44093847,-9.4980154,-1.51548648,-1.22746181,1.61101067,0.2046869,-5.06774664,-1.63186288,-5.52101421,-1.26685977,-6.95162344,-2.05705619,1.91791856,0.90358037,1.23769236,1.60566401,0.20543914,0.32794878,-3.80418849,4.42449141,-5.07874727,-1.53790665,-0.75936782,-5.00860453,-7.09019375,1.56112671,2.61865044,0.1059742,-0.24867141,-1.79276872,-1.5440973,64.95360565,0.0,11.97733498,13.73303032,1.75569499,1.72254384,1.33,1.76
5,62.71,73.52,16.0,0.58,12.99,105.0,0.00553636,1.57564163,0.37936866,1.35444725,0.82874846,2.58325315,0.10835699,5.02,0.70048487,1.66927111,1.89098823,0.50224543,0.03962683,1.12250352,0.58231127,-1.011783,1.42469597,0.7681582,2.15036225,0.14289431,3.62392664,3.34055638,1.38432753,-1.12366366,2.33991742,2.68588114,1.18299615,4.62430048,2.39975429,2.27083755,6.72195864,0.0098759,1.46875274,-0.83390003,1.15386462,0.70826381,1.75727117,0.1030689,-0.93189883,1.44577992,1.20083272,0.67399591,1.29489243,0.25573175,0.09864383,0.00805507,0.22455104,5.82026958,2.62615037,-1.15831959,-1.21700335,0.75335062,1.38988364,3.54211998,1.00283933,0.23606949,0.12918206,0.71936824,2.62107778,-0.34202883,4.13515091,-2.44988751,1.93135917,-1.00537336,-3.81568861,1.26407349,-0.93552804,2.06696963,0.15087745,-2.3890059,1.21379375,-2.11688972,-0.16514835,-0.76170504,1.3401798,0.53284645,2.47547245,-1.36821043,4.417068,0.03586618,0.14252838,-1.27503848,-1.4175669,60.74485779,0.0,-1.42515039,-4.8739481,-3.4487977,18.84619331,1.31,1.66
6,63.06,74.62,18.0,0.0,11.7,142.0,0.94907695,1.2959646,3.45994449,1.62724328,1.83305728,10.70901299,0.00110753,5.45,2.65725636,1.43819714,2.54447889,0.19227628,2.05635595,1.46097255,2.55483389,1.53622925,1.5892489,1.77931321,9.65468407,0.00194946,-1.32216418,2.15486193,1.85282505,-0.76599783,2.08697343,-0.79378468,2.44559169,-1.86144018,1.03504968,0.53634256,0.34231016,0.558832,7.05698776,2.26871324,2.80344152,4.46161842,7.24796295,4.63506174,0.52345419,4.55233145,2.76265383,4.03065681,41.01753235,0.0,0.0014747,0.36682891,0.0,4.19682169,1.92036641,0.51338041,-0.93685001,2.56882572,1.16953623,3.37423992,-2.01634121,-0.3195653,0.19930236,0.65539488,7.64778233,3.57454538,3.05705333,2.35425472,6.13303137,4.21753168,0.65352827,-0.38028213,1.75284564,6.09892893,0.01371603,-2.42845583,2.38690376,0.22672786,2.51315331,-0.20564188,-0.69662923,2.29624605,3.44943142,-0.65332878,0.85552794,0.35524792,-0.73169506,-2.34175563,-1.61006057,66.13301849,0.0,1.24996746,-1.74035501,-2.99032235,15.67116737,1.33,1.76
7,62.6,73.52,12.0,0.67,12.8,129.0,0.46119639,2.98219442,0.33667505,1.31906247,1.27478206,7.58835506,0.00599548,4.5,1.0371877,1.98729968,0.78741306,0.38568443,2.75857663,2.54965401,0.02640749,1.04814434,1.43875539,1.33412266,7.92926979,0.00497312,1.98241305,3.41856742,-1.02642524,0.19173668,3.14137268,1.92679024,2.5856967,1.47905219,1.75958431,1.71592546,3.69916368,0.05515643,3.79676771,2.14583492,1.59877849,1.76331413,0.57245797,0.84977609,1.73404288,1.64883518,1.48871696,1.73143625,13.61634827,0.00025065,0.00366821,0.04221091,0.00020485,6.67643833,5.8828721,1.49883616,1.94364572,0.12374499,1.51543379,5.67516756,-0.11105035,1.67849183,8.26119518,0.00414815,0.0554595,2.0529201,0.94769639,-0.35462281,0.08139153,0.26041764,-1.49635887,1.01019275,-0.97540557,2.72010922,0.09944976,1.57249761,0.11770584,-3.78622484,-1.08626735,1.90400398,0.75033647,1.89901292,2.57349277,-0.94966805,2.6652565,0.10292066,-0.37700158,-1.66784418,-1.29084265,52.14192963,0.0,-7.21547842,-7.67977428,-0.46429572,0.36856419,1.33,1.76
8,63.13,75.26,19.0,0.0,10.75,109.0,4.92685318,2.9085288,3.97949219,3.83587241,3.91268659,24.07025909,1.11e-06,7.76,5.06855297,3.59556961,5.11057711,4.43641233,3.07139993,2.6131711,2.14904547,5.92232943,3.86804867,3.9776969,24.14840698,1.06e-06,-1.8693434,0.26408228,-0.43768913,2.43796277,2.70016122,1.65479982,2.87827563,6.3188138,3.03947783,1.88550603,1.89628577,0.16927257,3.72941589,6.51906252,5.2348218,5.429914,5.79077721,7.70681763,5.17400169,5.94196415,4.06382847,5.50455713,31.04288673,4e-08,1.01e-06,0.10021803,1.5e-07,1.24101329,4.0703125,-1.64359176,4.83824873,2.12123942,3.77841997,-0.32852411,9.10739613,-0.92836779,0.83589631,0.36082465,1.2357291,2.4890933,3.85565662,3.04325199,7.79692507,1.70508182,7.80604839,2.94577909,0.10543568,0.0107145,0.9175812,3.78420353,1.1143136,8.94919586,5.24273062,4.56990147,9.64561176,3.01274395,3.67249823,1.12945867,1.26221657,0.26153973,-0.95971,-2.70754099,-1.74783099,76.91790771,0.0,-1.98192108,-6.69578838,-4.71386719,14.62463188,1.3,1.9
9,63.06,74.62,15.0,0.0,11.7,128.0,3.56781626,3.42919183,2.68646932,3.27826118,3.24043465,52.05975342,0.0,4.37,3.51160359,2.6978364,3.33892035,3.36890936,3.62925124,4.0810523,3.15570354,2.51123857,3.34825253,3.29034734,51.89095306,0.0,2.29120207,2.80414224,1.97562921,1.98899615,4.41960621,3.88985348,5.20130777,4.10566616,2.37993932,3.22525406,18.46678162,2.179e-05,3.45229769,2.99209905,3.9517858,3.56167674,2.66469049,3.85896063,2.36178398,2.73939157,4.05028486,3.28925991,33.7404213,1e-08,0.0,2.602e-05,0.0,2.59708142,4.06190395,2.91635036,3.47193956,0.90396476,3.43582869,3.43662858,6.01155281,0.1415347,0.0605294,0.80571878,1.5954951,2.1120615,2.52573156,2.24354219,3.04475594,2.87617731,4.23157072,2.78191662,-0.59104216,1.05782938,0.30399467,4.58316612,1.35683882,4.93530369,2.56084013,6.18205643,5.70708704,2.12072635,0.91419989,0.24190409,0.18403445,0.66803426,-0.90916145,-2.38246274,-1.47330117,61.23986816,0.0,3.38596296,1.41384029,-1.97212267,5.78818798,1.29,1.79
