,x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur.1,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L0 p-val
0,-7.67,-6.35,0.0,0.0,106.0,151.0,6.0,7.25,83.0,18.94,0.7,1.0997597,0.3669073,1.69927692,1.13575053,1.0754236,4.14573669,0.04201587,5.69,0.53776658,1.07101893,1.17739141,0.19667378,1.88161254,1.52040839,1.74543357,0.86484116,1.17602265,1.12899971,4.42773771,0.03562244,1.80641532,-0.31986201,2.73133421,-2.21223688,0.09042068,2.0839982,-0.33443794,-0.3791438,-0.78003037,1.25896966,0.26213122,2.11544371,2.91210127,-0.11605848,-0.37051618,2.09547734,3.63094592,2.3439045,0.75319433,0.58350849,0.71256465,0.39880736,-0.98280942,2.55672002,0.63333291,2.97539353,1.83577085,0.02740925,0.89294404,0.72189677,-0.01687777,0.00064265,0.97978067,2.44395494,-0.60483897,-3.04879403,80.28768921,0.0,0.62881964,-0.31591645,-0.94473606,1.08862054,0.0,0.0,0.00968367,14.17609787,0.0929376,0.37925443,-0.09710953,0.42915946,-0.02933753,0.03778353,-0.11885255,0.6492973,-0.48609394,0.52636778,0.46831718,0.01206895,14.24079514,0.10389577,0.38676733,-0.11530879,0.48669651,-0.04367071,0.06699394,-0.14059992,0.73480469,-0.4277719,0.41899303,0.51759681,0.01654212,12.40929794,0.09371652,0.25100228,-0.11807928,0.40043512,-0.02808862,0.02183655,-0.14569086,0.6176793,-0.27588663,0.17882363,0.67248215,0.00747743,9.5046711,0.03998489,0.05549099,-0.07937496,0.2207282,-0.00077151,5.885e-05,-0.04600466,0.07467451,-0.08439239,0.01712394,0.89591505,0.01030402,12.60451508,0.05007326,0.07934162,-0.1137168,0.40709808,-0.02866746,0.02479426,-0.071173,0.16393727,-0.23592213,0.13436127,0.71403418,0.00922872,6.71178341,0.03906054,0.04241504,-0.06929813,0.13463694,0.04100117,0.04593496,-0.04552344,0.05907599,0.14863481,0.05455876,0.81536296,0.00747743,9.5046711,0.03998489,0.05549099,-0.07937496,0.2207282,-0.00077151,5.885e-05,-0.04600466,0.07467451,-0.08439239,0.01712394,0.89591505,0.01030402,12.60451508,0.05007326,0.07934162,-0.1137168,0.40709808,-0.02866746,0.02479426,-0.071173,0.16393727,-0.23592213,0.13436127,0.71403418,0.00922872,6.71178341,0.03906054,0.04241504,-0.06929813,0.13463694,0.04100117,0.04593496,-0.04552344,0.05907599,0.14863481,0.05455876,0.81536296
1,-7.72,-6.49,0.0,0.0,106.0,151.0,7.0,7.37,104.0,17.47,0.71,2.54929662,2.8051331,3.23476982,2.24765754,2.70921421,26.18796921,3.7e-07,5.7,2.10206699,3.98124266,2.10529876,4.35745192,2.60058188,2.96917939,4.15446901,1.20106137,2.31911016,2.86274147,28.70473862,1.1e-07,3.67159915,1.63225889,2.7442441,1.48045993,2.28044343,6.24096394,2.57914019,1.96706581,0.53160125,0.58089274,0.44615279,5.38774776,3.7267065,2.43957877,1.03150225,3.03797555,4.29066086,1.77261937,4.06164551,0.99867213,2.07680869,0.14988382,3.01382923,6.28598547,3.3198421,0.91578794,0.6080128,2.77146149,2.13193679,1.41921067,0.31607991,0.20907608,0.64759763,2.48414564,-0.08403655,-2.56818223,69.43053436,0.0,1.05845249,-0.39854011,-1.45699263,3.02860641,0.0,0.0,0.00523045,4.08269262,-0.17164993,1.27692139,-0.00598324,0.00157601,0.02396102,0.02486599,-0.164454,1.22713101,1.99904752,8.78721046,0.0031095,0.00703249,4.77686357,-0.18804586,1.25162435,-0.01148572,0.00479012,0.01360633,0.00642578,-0.18943664,1.31780982,1.96707428,8.7530756,0.00316769,0.01380805,8.59257317,-0.20862962,1.23613214,-0.04609835,0.06064532,-0.0255677,0.01794726,-0.23845111,1.64428568,1.72796607,6.97045755,0.00842295,0.00379017,2.41769958,-0.22355112,1.71666622,0.01078189,0.00401989,0.04788689,0.07608654,-0.1367242,0.6527946,2.24997377,11.99312687,0.00055787,0.00696111,5.69689178,-0.23072721,1.66884017,-0.02549111,0.02022766,0.00311329,0.00029231,-0.1644991,0.86733389,1.96127689,9.19534111,0.00249241,0.00810192,5.15253592,-0.25321668,1.77764118,-0.01207892,0.00409043,0.0268682,0.01969249,-0.16695045,0.79208201,2.04506946,10.29677391,0.00137741,0.00379017,2.41769958,-0.22355112,1.71666622,0.01078189,0.00401989,0.04788689,0.07608654,-0.1367242,0.6527946,2.24997377,11.99312687,0.00055787,0.00696111,5.69689178,-0.23072721,1.66884017,-0.02549111,0.02022766,0.00311329,0.00029231,-0.1644991,0.86733389,1.96127689,9.19534111,0.00249241,0.00810192,5.15253592,-0.25321668,1.77764118,-0.01207892,0.00409043,0.0268682,0.01969249,-0.16695045,0.79208201,2.04506946,10.29677391,0.00137741
2,-7.65,-6.67,0.0,0.0,106.0,151.0,8.0,7.48,108.0,16.12,0.69,2.24927306,1.28904223,3.41744995,2.81763506,2.44335008,17.73062325,2.786e-05,6.25,2.71552253,2.41147399,0.86749077,-0.70368642,3.56115365,3.75521564,3.15596247,3.31931734,2.872123,2.4369576,17.31505966,3.455e-05,3.28477859,-0.1389551,-1.5206939,-0.04622892,2.03712368,1.59400976,2.94282293,1.82147515,-1.54925513,4.10943079,0.042925,3.68539667,5.47826338,2.96407008,0.5629307,4.13678694,4.17775202,1.07316136,5.2075963,0.60189384,0.62953955,0.42772343,2.38818359,6.13010502,1.1283108,-2.61061645,3.80567145,1.48548126,4.20306206,2.04748249,-0.52644199,0.48665404,0.48559526,2.65926313,0.41030365,-2.24895954,62.15882111,0.0,2.78625178,0.15943155,-2.62682033,6.81411505,0.0,0.0,0.01407358,25.49819565,0.44138995,7.28367376,0.02798109,0.03031255,0.26479986,2.61946797,-0.03503497,0.04803684,-0.15765856,0.04713048,0.82818063,0.018676,29.14930534,0.49474022,7.4963007,0.01137749,0.00404353,0.26558852,2.11911321,-0.05916129,0.11119708,-0.21220982,0.08814896,0.7666088,0.02755474,29.50383568,0.52709413,6.80354357,0.0159866,0.00627083,0.30912465,2.26569009,-0.05978885,0.08910643,-0.13381931,0.03610782,0.84933372,0.01048532,15.83593273,0.39942479,4.69031858,0.09359812,0.25997493,0.3529104,3.53743386,0.1001277,0.29966423,0.48547122,0.47786719,0.48955941,0.01745139,31.03504181,0.43511304,5.14448452,0.0171793,0.00800643,0.2814678,2.05390215,0.05310044,0.07834137,-0.09809043,0.0199654,0.88766382,0.01925516,25.07502174,0.44480911,4.72607279,0.05426363,0.07088858,0.36400959,3.10701418,0.07339691,0.13190915,0.21211964,0.09545791,0.75741791,0.01048532,15.83593273,0.39942479,4.69031858,0.09359812,0.25997493,0.3529104,3.53743386,0.1001277,0.29966423,0.48547122,0.47786719,0.48955941,0.01745139,31.03504181,0.43511304,5.14448452,0.0171793,0.00800643,0.2814678,2.05390215,0.05310044,0.07834137,-0.09809043,0.0199654,0.88766382,0.01925516,25.07502174,0.44480911,4.72607279,0.05426363,0.07088858,0.36400959,3.10701418,0.07339691,0.13190915,0.21211964,0.09545791,0.75741791
3,-7.53,-7.14,0.0,0.0,106.0,151.0,9.0,7.79,115.0,17.15,0.67,0.91144079,1.36896181,1.73756289,1.1145463,1.2831279,8.1044426,0.00451059,4.85,1.12767565,1.10146868,1.34681118,1.85938299,0.56994218,1.79355872,2.87219477,0.15861055,1.14048648,1.32868457,8.48613358,0.00366274,2.92538834,0.82014865,0.13302189,-0.35483959,1.36848342,2.17461443,3.24288487,0.53838855,0.2310572,0.15149266,0.69720067,2.35157299,3.88389134,1.38963771,1.25231922,0.25776851,1.10330534,0.08893757,3.75170851,0.62363845,1.12116694,0.28993789,2.8257556,1.08401358,0.43406636,-0.40186778,2.06030083,2.50548434,-0.1654827,-0.8009553,-0.20908596,0.12583221,0.72287224,2.69611311,0.60669416,-2.08941889,56.89777374,0.0,3.38337278,1.15702415,-2.22634864,6.40422964,0.0,0.0,0.01043422,22.80062294,0.17423348,1.84623504,-0.07848012,0.38826719,-0.14108609,1.20968986,-0.09138003,0.53169668,-0.43891245,0.59444201,0.44089886,0.01133473,17.301754,0.18463494,1.68245554,-0.07084868,0.25313801,-0.13493596,0.8815034,-0.08887338,0.40446696,-0.17899437,0.10107602,0.75061226,0.01724853,18.64456558,0.19015606,1.42807424,-0.08508862,0.2874091,-0.1578413,0.95267475,-0.10208003,0.41904312,-0.16954949,0.09338349,0.75998618,0.009433,21.01668167,0.12286344,0.72767347,-0.07914687,0.30480525,-0.16314283,1.23957944,-0.02171973,0.02305662,-0.20303087,0.13703154,0.71133285,0.01327031,29.20325089,0.14143001,0.88449466,-0.1113176,0.54499584,-0.20968676,1.85499787,-0.04711283,0.10035708,-0.43433282,0.6361171,0.42532029,0.01377248,20.83043861,0.13810888,0.73985952,-0.07789809,0.23716381,-0.15414289,0.90467244,-0.01763688,0.01242637,-0.12056279,0.05011424,0.82291289,0.009433,21.01668167,0.12286344,0.72767347,-0.07914687,0.30480525,-0.16314283,1.23957944,-0.02171973,0.02305662,-0.20303087,0.13703154,0.71133285,0.01327031,29.20325089,0.14143001,0.88449466,-0.1113176,0.54499584,-0.20968676,1.85499787,-0.04711283,0.10035708,-0.43433282,0.6361171,0.42532029,0.01377248,20.83043861,0.13810888,0.73985952,-0.07789809,0.23716381,-0.15414289,0.90467244,-0.01763688,0.01242637,-0.12056279,0.05011424,0.82291289
4,-7.42,-7.57,0.0,0.0,106.0,151.0,10.0,8.09,105.0,19.58,0.68,1.10382581,2.13298464,0.31044573,0.30965453,0.96422768,4.86616659,0.02762651,4.71,0.18179281,1.72507179,2.1696558,2.02288032,0.00359462,0.04701158,1.61543059,1.41947782,0.26847517,1.04932642,5.59378004,0.0182251,0.94370407,2.54007888,0.78225893,1.02473974,1.9755336,2.39737415,2.48935175,4.91393518,1.81360066,9.93046951,0.00167682,0.57234204,0.3075006,3.53579903,0.93727505,-2.03976297,-3.0239439,-0.42132747,2.77398825,0.00417839,8.693e-05,0.99256269,-0.81231666,1.82559419,2.20689034,4.19629002,1.28731728,0.6796062,1.582232,-2.24912024,0.83293575,2.14685488,0.1431949,2.56717277,0.4787035,-2.08846927,54.94345856,0.0,4.73121548,2.22264194,-2.50857329,8.03098202,0.0,0.0,0.00827268,15.17837906,0.1683277,1.82491696,-0.08611064,0.49498391,0.06142017,0.24272081,0.03369934,0.07651171,-0.47812068,0.74698675,0.38765079,0.01025573,15.08560467,0.18884242,1.87436962,-0.09762929,0.51187778,0.06486709,0.21694735,0.03218247,0.0564705,-0.4252665,0.60746992,0.43593675,0.01542477,15.87110329,0.19765013,1.64216757,-0.1109782,0.5202744,0.07152262,0.20817921,0.03613284,0.0558212,-0.40427977,0.56472301,0.45255021,0.00702396,12.3251009,0.12761328,0.83036739,-0.08042885,0.33294255,0.07490271,0.27638555,0.11533666,0.68949378,-0.22331746,0.17537856,0.67547025,0.01039975,18.93917274,0.14681996,1.00652373,-0.11843147,0.65133637,0.03829715,0.06539487,0.08708611,0.36206642,-0.45557106,0.73902297,0.3901916,0.01426976,23.94559097,0.14667536,0.8935464,-0.13079636,0.71601021,0.04235636,0.073098,0.09711448,0.40146998,-0.53866667,1.07020724,0.30116274,0.00702396,12.3251009,0.12761328,0.83036739,-0.08042885,0.33294255,0.07490271,0.27638555,0.11533666,0.68949378,-0.22331746,0.17537856,0.67547025,0.01039975,18.93917274,0.14681996,1.00652373,-0.11843147,0.65133637,0.03829715,0.06539487,0.08708611,0.36206642,-0.45557106,0.73902297,0.3901916,0.01426976,23.94559097,0.14667536,0.8935464,-0.13079636,0.71601021,0.04235636,0.073098,0.09711448,0.40146998,-0.53866667,1.07020724,0.30116274
5,-7.21,-5.71,20.0,0.0,106.0,152.0,6.0,6.7,82.0,17.3,0.68,3.19507432,3.91542435,2.10278058,2.42299342,2.90906811,29.14190674,8e-08,5.8,2.5949111,2.19029427,2.05578971,2.98573756,3.77828765,2.44104671,4.66003323,2.94414902,2.34513617,2.88548779,27.79475212,1.7e-07,3.6397326,4.59293652,1.86641026,2.08418989,3.10186887,3.26139331,5.82446289,7.01415586,1.4709698,4.30423212,0.03828785,1.66377842,3.03919244,0.14785348,2.67300224,3.0676403,3.46875763,2.97916555,-0.15262681,-0.3186672,0.20399974,0.65161519,2.7305572,1.9438206,4.28230476,2.12319469,2.35810018,5.11263466,4.79829121,2.32780361,0.75946522,1.15737057,0.28228611,2.23013473,-0.706056,-2.93619084,81.54664612,0.0,5.06568718,0.56488043,-4.50080681,18.84952927,0.0,0.0,0.00939204,12.84167385,0.34874564,5.14196491,-0.06544311,0.18767834,-0.03702598,0.05790924,-0.17950769,1.42632115,1.2609272,3.41049576,0.06509481,0.01071547,10.78868484,0.38674536,5.15024185,-0.06496519,0.14848925,-0.03138512,0.03330069,-0.19851731,1.40783501,1.43261921,4.51650572,0.03382768,0.01404823,8.59759998,0.41023937,4.62040567,-0.05552874,0.08510005,-0.01199291,0.0038553,-0.21278037,1.26567185,1.61947644,5.9185071,0.0151669,0.00951968,14.94238853,0.33126578,3.69298983,-0.08847275,0.26597425,-0.0641259,0.13372912,-0.13880059,0.65911388,1.32191586,4.0558219,0.0443017,0.00929102,9.85677433,0.35731936,3.88740563,-0.05928988,0.10640626,-0.0213434,0.01322981,-0.15165518,0.71599942,1.58843672,5.85802221,0.01569348,0.01203185,11.05410194,0.36822739,3.65682817,-0.06204576,0.10464972,-0.01909294,0.00966347,-0.15416756,0.65705925,1.584602,6.01363516,0.01437531,0.00951968,14.94238853,0.33126578,3.69298983,-0.08847275,0.26597425,-0.0641259,0.13372912,-0.13880059,0.65911388,1.32191586,4.0558219,0.0443017,0.00929102,9.85677433,0.35731936,3.88740563,-0.05928988,0.10640626,-0.0213434,0.01322981,-0.15165518,0.71599942,1.58843672,5.85802221,0.01569348,0.01203185,11.05410194,0.36822739,3.65682817,-0.06204576,0.10464972,-0.01909294,0.00966347,-0.15416756,0.65705925,1.584602,6.01363516,0.01437531
6,-7.24,-6.0,0.0,0.0,106.0,152.0,7.0,6.91,101.0,20.11,0.68,1.67874098,2.24781775,1.87216938,1.22114837,1.75496912,16.08129883,6.543e-05,4.71,2.42209673,2.67627239,1.54057753,1.05113041,1.75255585,1.14156342,2.89735341,2.14890814,1.23205924,1.87173939,17.83065987,2.647e-05,3.25202656,2.19425607,3.87322521,0.21391547,-0.22277784,2.57603407,3.41804051,3.34536386,0.99679679,3.00286031,0.08344389,1.63195944,1.54543483,2.43370247,1.5156076,0.91492265,3.85538459,2.38926029,0.50485712,0.67336911,1.37981904,0.24042788,0.29914826,3.62073874,2.19576406,1.44673634,2.86325455,-1.12496936,0.45332742,3.83215261,0.48294476,0.71694225,0.39736311,2.22696161,-0.28222126,-2.50918293,73.3584671,0.0,0.38372818,-0.99582225,-1.37955046,2.57076478,0.0,0.0,0.01016596,23.0756073,0.18715402,2.27128243,0.07224977,0.35090601,-0.06278237,0.25545049,0.03320562,0.07484481,-0.03311295,0.00366801,0.95171916,0.01302079,24.5197773,0.21471323,2.44334459,0.07059889,0.26984027,-0.08278229,0.35625914,0.02639957,0.03831119,-0.01874244,0.00113709,0.97310692,0.01857672,23.16162682,0.21883617,2.02557659,0.0870927,0.32239774,-0.08062258,0.26623362,0.0402701,0.06987759,0.08652313,0.0260294,0.87186294,0.00896746,20.23013878,0.13862464,0.98666614,0.09853613,0.50326067,-0.06516951,0.21065713,0.12408537,0.80370182,0.23009595,0.1874927,0.66511027,0.01092775,20.92708397,0.15690668,1.15047371,0.09106786,0.38535029,-0.06767563,0.20417814,0.11342216,0.61462587,0.21714877,0.16801342,0.68197611,0.0117153,15.98565006,0.15391828,0.97457618,0.13264088,0.72937143,-0.0232333,0.02184993,0.14197677,0.84997952,0.44046679,0.70882207,0.40004769,0.00896746,20.23013878,0.13862464,0.98666614,0.09853613,0.50326067,-0.06516951,0.21065713,0.12408537,0.80370182,0.23009595,0.1874927,0.66511027,0.01092775,20.92708397,0.15690668,1.15047371,0.09106786,0.38535029,-0.06767563,0.20417814,0.11342216,0.61462587,0.21714877,0.16801342,0.68197611,0.0117153,15.98565006,0.15391828,0.97457618,0.13264088,0.72937143,-0.0232333,0.02184993,0.14197677,0.84997952,0.44046679,0.70882207,0.40004769
7,-7.08,-6.16,19.0,0.0,106.0,152.0,8.0,6.98,107.0,19.48,0.68,3.06823659,1.97085094,1.23479986,1.35177255,1.90641499,15.58688068,8.46e-05,5.2,1.51687598,3.37310815,2.39325285,3.38494658,1.04875457,1.15411079,1.72510421,2.02628446,1.31872237,1.99146879,16.49618721,5.278e-05,2.60592866,2.67430162,2.335742,-1.13560259,2.53720236,1.03009021,3.81420779,1.98757529,0.61102033,0.92383981,0.33671464,-0.33918074,3.65329432,4.67133713,0.5504393,-0.12044942,0.32408026,0.6889593,0.54443318,-0.08464891,0.01804421,0.89317122,1.06581879,-0.23832119,3.2067101,5.37283421,2.84265828,2.07011604,5.44339705,4.49196291,1.71403444,7.43160534,0.00652738,2.41951466,0.1432112,-2.27630329,67.62689972,0.0,1.26950288,-2.14748073,-3.4169836,15.54892349,0.0,0.0,0.01244693,28.51937866,0.23822398,3.03385687,0.04170978,0.09641007,-0.19926511,2.12109327,-0.0669912,0.25114137,-0.21510594,0.12549868,0.72322446,0.01505862,26.95203972,0.26148406,2.9781456,0.04663828,0.09682748,-0.22271948,2.11942196,-0.07979365,0.28775084,-0.08782499,0.02149326,0.88347439,0.02189192,26.45665169,0.27115631,2.55782986,0.05512086,0.1061841,-0.24421757,2.00894856,-0.08700041,0.26811844,0.00371097,0.0,1.0,0.01383866,40.31125259,0.18099621,1.40738761,0.00831224,0.00298747,-0.29446933,3.59909415,0.01612296,0.01136694,-0.31121966,0.28694239,0.59231239,0.0153851,34.47799683,0.19916412,1.54069805,0.02353139,0.02143983,-0.28244764,2.95630622,-0.01293957,0.00666373,-0.14587617,0.06308815,0.80173443,0.02230486,49.13924026,0.20304067,1.43821728,-0.00120609,7.353e-05,-0.32460809,3.60855794,-0.00960138,0.00330878,-0.38144043,0.45072967,0.50215238,0.01383866,40.31125259,0.18099621,1.40738761,0.00831224,0.00298747,-0.29446933,3.59909415,0.01612296,0.01136694,-0.31121966,0.28694239,0.59231239,0.0153851,34.47799683,0.19916412,1.54069805,0.02353139,0.02143983,-0.28244764,2.95630622,-0.01293957,0.00666373,-0.14587617,0.06308815,0.80173443,0.02230486,49.13924026,0.20304067,1.43821728,-0.00120609,7.353e-05,-0.32460809,3.60855794,-0.00960138,0.00330878,-0.38144043,0.45072967,0.50215238
8,-6.82,-6.57,19.0,0.0,106.0,152.0,9.0,7.22,110.0,19.45,0.66,1.46982682,0.99518245,1.07355881,0.56016785,1.02468395,4.37968063,0.03663406,5.27,1.23649025,0.00613957,0.31595054,2.33611441,1.63705373,1.57466769,0.61196518,1.56011367,0.52444845,1.08812678,4.81939507,0.02838325,0.87830096,1.25938618,1.42029786,0.53111845,2.80208302,2.62138319,0.50320166,-2.32833481,0.44613901,0.47965497,0.48874879,0.57946247,0.64478731,1.64139187,-0.75144964,0.62542039,1.73588777,0.9780671,2.84078979,0.51939553,0.65518337,0.41846932,0.08755997,-2.1749146,1.89744866,3.89655852,3.07212043,0.68130702,3.56392932,0.70085847,0.92879707,2.1226902,0.14546361,2.47583246,0.26309571,-2.21273685,63.16910553,0.0,2.69525623,0.46608004,-2.22917628,6.93805075,0.0,0.0,0.00595257,6.1974802,0.19401242,1.91196895,0.06135665,0.19825697,-0.15463604,1.21369112,0.10072377,0.5395627,-0.0774316,0.01546103,0.90107056,0.0078062,6.89762878,0.21663611,1.94676113,0.06222623,0.16416405,-0.18150389,1.34055901,0.10063372,0.43587679,-0.08922363,0.02115375,0.88439184,0.01074588,6.068573,0.22954574,1.74501646,0.07716938,0.19813877,-0.19053523,1.16414225,0.11995755,0.48525876,0.00480346,0.0,1.0,0.00396454,3.09563565,0.17944391,1.29443312,0.08838989,0.31709728,-0.14069881,0.76884669,0.17546129,1.25809419,0.26732975,0.19812614,0.65633937,0.00664226,6.06801176,0.19138254,1.34321892,0.06951793,0.1762462,-0.18707964,1.22462714,0.15657201,0.91925693,0.04243666,0.00499262,0.94368451,0.01259731,14.71118927,0.19751026,1.27725959,0.02363878,0.01842599,-0.25803432,2.14003778,0.14885062,0.74359584,-0.33609617,0.32842436,0.5667244,0.00396454,3.09563565,0.17944391,1.29443312,0.08838989,0.31709728,-0.14069881,0.76884669,0.17546129,1.25809419,0.26732975,0.19812614,0.65633937,0.00664226,6.06801176,0.19138254,1.34321892,0.06951793,0.1762462,-0.18707964,1.22462714,0.15657201,0.91925693,0.04243666,0.00499262,0.94368451,0.01259731,14.71118927,0.19751026,1.27725959,0.02363878,0.01842599,-0.25803432,2.14003778,0.14885062,0.74359584,-0.33609617,0.32842436,0.5667244
9,-6.71,-7.14,0.0,0.0,106.0,152.0,10.0,7.63,103.0,19.23,0.66,2.00129986,2.87517381,2.52754927,2.81092477,2.55373693,20.71971703,6e-06,6.04,2.88283062,2.0849781,1.19445324,2.73441076,0.58595884,4.17943287,2.81452465,2.79757285,2.79591393,2.44977856,18.66436577,1.723e-05,5.30571938,0.59369385,-0.62506062,1.86688817,2.35513377,5.94135618,1.53364944,6.24134302,0.03604832,0.00241913,0.9607825,2.81761074,2.2640729,0.69168824,0.63041645,2.70743442,0.488491,4.26927662,6.06772375,-0.2955218,0.16282167,0.68666314,-1.36249888,5.36995173,1.80492687,1.53076184,3.6492362,2.38877034,2.7671082,0.10896176,-0.77923149,1.1343658,0.28711807,2.34051442,0.04393559,-2.29657865,60.94579697,0.0,5.55800629,1.67748439,-3.88052201,15.09954071,0.0,0.0,0.02186712,67.79061127,0.21207801,1.85185051,-0.2535674,2.74395037,-0.23264521,2.22670102,-0.4251056,7.78979397,-0.88075167,1.62050784,0.20333341,0.02641936,63.73756409,0.22999591,1.77028227,-0.28309536,2.74019861,-0.26155609,2.24579644,-0.47855172,7.95097208,-0.65168178,0.90828174,0.34081392,0.03750849,59.45023727,0.21367481,1.21579766,-0.30555826,2.49857736,-0.26510835,1.81214786,-0.5177477,7.26860905,-0.42224208,0.39023429,0.53232675,0.0184219,53.59996033,0.0840288,0.22766012,-0.24306852,1.92286408,-0.24248539,1.83123147,-0.29877585,2.92535591,-0.19274703,0.08266621,0.77377914,0.02348149,61.070755,0.10694192,0.33773246,-0.28531685,2.39111495,-0.27771342,2.17323017,-0.35121307,3.72497106,-0.34118569,0.26216677,0.60875483,0.02671267,52.34093094,0.08722119,0.19712432,-0.26029027,1.7687676,-0.20698729,1.0895896,-0.34203005,3.10659194,-0.00084255,0.0,1.0,0.0184219,53.59996033,0.0840288,0.22766012,-0.24306852,1.92286408,-0.24248539,1.83123147,-0.29877585,2.92535591,-0.19274703,0.08266621,0.77377914,0.02348149,61.070755,0.10694192,0.33773246,-0.28531685,2.39111495,-0.27771342,2.17323017,-0.35121307,3.72497106,-0.34118569,0.26216677,0.60875483,0.02671267,52.34093094,0.08722119,0.19712432,-0.26029027,1.7687676,-0.20698729,1.0895896,-0.34203005,3.10659194,-0.00084255,0.0,1.0
