,x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur.1,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
0,5.86,6.56,0.0,0.88,110.0,143.0,9.0,3.68,115.0,6.95,0.71,2.62180734,1.08728993,2.31240726,0.45281106,1.61857891,1.06562972,0.3021963,14.93,2.57032418,1.01329601,1.44343984,0.6013301,2.90221214,4.57400084,0.50432521,2.47194719,0.38368505,1.82756627,1.33392179,0.24839945,-0.31448311,5.3021369,3.7552917,-2.10548449,-2.20505166,5.97707319,2.6088562,-2.72092175,0.62098157,0.11312663,0.73668672,2.09426999,1.40067315,1.58180845,5.76290417,1.70934343,0.3797836,5.5474205,0.72007728,1.87940812,1.10789835,0.29280775,2.07863212,1.14288223,3.47177625,9.93977737,1.96193492,-1.58286524,0.43496659,4.03943491,2.09153366,1.33295178,0.24857203,0.29674277,-2.98046088,-3.2772038,127.34968567,0.0,-14.89108181,-11.88529491,3.00578642,2.04221082,,
1,5.56,6.44,0.0,0.88,110.0,144.0,9.0,3.47,129.0,5.34,0.79,1.65004635,-1.42253137,-1.78672719,-0.48264894,-0.51046526,0.08927585,0.76516486,16.27,-3.01809525,2.63706899,-1.10368955,-0.34876174,-4.14880466,-0.35907429,1.85690057,0.39602375,-0.51472694,-0.51095062,0.08789352,0.76693726,3.59637284,-1.83301365,4.31954765,-7.60565567,-5.20964098,4.97028494,-2.79904032,-4.37381363,-0.99453509,0.24526861,0.62054137,-1.57371151,7.06985521,-3.89092064,-1.27853239,-3.33186817,-9.48061943,3.69489074,-2.92745519,-1.27692032,0.43438435,0.51000564,6.02503014,-7.38349342,5.27946854,1.55920041,-3.13915014,2.64981866,1.31964159,6.21487904,2.15358233,1.19563305,0.2744743,0.6897853,-3.00874352,-3.69852877,150.84242249,0.0,-21.63822174,-14.84158325,6.79663754,6.49764347,,
2,7.32,6.66,19.0,0.85,111.0,141.0,7.0,4.73,46.0,18.22,0.69,3.78233004,3.91459084,3.38779879,4.47833014,3.89076233,50.52986145,0.0,5.21,3.94011855,3.46782303,3.9922576,4.05516291,3.7370348,4.5934906,2.65682077,3.19463849,4.5185585,3.79130554,47.20640564,0.0,1.77382743,3.45376444,5.57561588,4.89926863,3.28264165,5.76082516,3.06904483,4.08643532,-0.54006791,0.70350742,0.40181932,7.36150455,3.7957592,2.40397024,0.3795357,2.67221355,2.76465917,2.89711547,5.12701416,-1.07187498,3.00583053,0.08329091,5.06013441,2.41012955,2.26429033,6.09637833,6.30727959,3.36955047,2.45494866,3.065907,-0.76855266,1.48686957,0.22300642,2.12554812,-3.20615816,-5.33170652,235.93663025,0.0,7.13818979,1.24033248,-5.89785767,54.54592896,,
3,7.18,6.7,21.0,0.91,111.0,141.0,8.0,4.63,85.0,24.39,0.69,2.14177966,2.07456994,1.84524715,2.04360509,2.02630043,27.68941498,1.8e-07,3.67,2.04884052,1.51621413,2.11063051,1.48153555,1.98634446,2.21365952,2.1285882,2.66008615,2.05130267,2.01988935,27.04633904,2.4e-07,3.39720845,1.97793984,3.95106173,1.99237907,0.64349788,1.73314202,1.20528734,1.87080312,0.0471776,0.01081898,0.91718001,1.91250896,3.19006419,0.68653786,2.2436502,2.9437387,1.93551683,0.6677689,1.36533082,-0.20668651,0.22341877,0.63655615,1.09142172,2.82706594,1.4756968,2.20766115,2.70194626,3.00147128,2.8128376,1.28826392,0.10784766,0.05873679,0.80855623,2.14340067,-2.6908958,-4.8342967,220.38395691,0.0,0.67402476,-3.57067919,-4.24470425,52.01158905,,
4,6.42,6.92,0.0,0.9,111.0,141.0,9.0,4.05,142.0,15.15,0.64,16.86299706,12.03709316,15.65935135,14.12966061,14.67227554,345.96170044,0.0,7.51,12.73970699,15.04697037,14.28990555,12.85693073,13.59774399,17.41476822,16.67703247,16.45897865,13.9703722,14.7688179,338.68759155,0.0,16.24126816,11.50499725,10.10457134,12.70711803,9.27749634,12.51612091,11.65637875,12.85616875,-2.12440276,5.2464118,0.0222111,17.29238892,18.17695427,14.75165558,11.69283676,16.45415878,16.69445038,15.00867367,15.03596115,1.50566125,2.82703781,0.0930189,15.97259521,19.73846245,17.24840164,14.48578644,12.78394413,22.77849579,14.29735088,17.02049065,2.7753253,9.409338,0.00222019,2.11366081,-1.7487365,-3.86239743,170.04995728,0.0,1.50350845,1.36314189,-0.14036646,0.02176781,,
5,6.84,5.95,0.0,0.77,111.0,142.0,6.0,4.46,84.0,18.79,0.62,3.30595613,3.35622191,3.78689432,2.81447124,3.31588602,37.18374634,0.0,5.18,3.08349395,1.86252582,3.8263092,4.12479496,5.08579302,2.76879716,3.35327744,2.83041072,2.70534801,3.29012322,36.28744125,0.0,4.1001749,2.35798168,3.71164942,2.60497093,5.56394625,4.13373375,1.72971833,2.4153471,0.55126148,0.74145657,0.38941265,2.29039979,5.1123395,2.91796947,2.24885058,6.56971455,3.43374848,4.77518034,3.04341984,0.96240187,2.43412328,0.11905436,3.90411782,1.90848887,6.24610949,0.90776402,3.60707951,3.74067879,2.11437678,3.01710153,0.44855219,0.51262718,0.47418028,1.1479851,-3.91197705,-5.05996227,220.51593018,0.0,3.02498984,-1.63519335,-4.66018295,31.97533607,,
6,6.63,6.14,0.0,0.79,111.0,142.0,7.0,4.28,56.0,21.32,0.64,3.47955728,3.6703124,3.11316562,3.03307438,3.32402754,39.7530899,0.0,5.02,3.58347011,3.54217243,4.15738869,3.01430297,3.75590086,2.50682855,3.9405148,3.01119375,3.07224798,3.39482641,40.77159882,0.0,5.16257811,4.2437253,4.26802301,2.53046846,2.27733374,6.0268712,1.07783043,4.52567959,0.64125395,1.07408154,0.3002899,4.41948462,1.53818285,1.85682666,4.09427309,3.7268188,0.89020717,5.13756132,3.96817708,0.11817363,0.03904412,0.84340369,3.2895813,3.60093617,4.31677485,4.53858376,3.27268457,3.83180022,1.5108664,3.3183372,0.40208772,0.43501651,0.50969799,1.40044081,-3.31789756,-4.71833849,212.34173584,0.0,-0.02580791,-3.64815116,-3.6223433,20.62988853,,
7,6.36,6.45,19.0,0.79,111.0,142.0,8.0,4.05,88.0,20.09,0.61,4.43960619,4.39387465,4.05060816,3.36780787,4.06297445,61.73910522,0.0,4.92,5.13194895,4.44420004,3.75686789,5.1620307,4.41971254,4.25654745,4.19659758,3.40767217,3.42172885,4.23990107,66.18383789,0.0,3.01139283,6.96537495,5.4150033,5.64892387,2.04143453,5.11842918,3.65225935,3.62899613,1.07114923,3.11474657,0.07790884,4.22680902,4.97617435,4.62945271,3.85587239,3.01259661,3.63543701,4.9387002,3.16506815,0.67929119,1.331424,0.24884316,5.44646835,3.59432077,2.5132134,5.87421703,5.11720419,4.47164011,4.76766634,4.4851408,1.06929255,3.20295715,0.07382469,1.55550432,-2.59506392,-4.15056801,188.68997192,0.0,2.78137159,-0.21372192,-2.99509358,15.6739893,,
8,6.16,6.65,21.0,0.74,111.0,142.0,9.0,3.89,144.0,9.24,0.64,17.28834915,15.0226593,16.7585659,12.84439659,15.47849274,204.57727051,0.0,10.3,16.69422722,15.76721478,14.40585709,16.88602257,14.88813114,16.87693596,19.93202972,16.46482468,12.90554047,16.07510757,217.27835083,0.0,17.3842659,13.69499683,12.22263718,20.6486969,13.93441677,16.96468925,15.1979351,10.36174297,2.20241165,3.00337672,0.0834167,17.48304558,18.1104908,12.99129868,12.91710758,19.80943298,18.25628853,17.51569176,17.27210999,3.88963294,10.00562096,0.00161034,15.49033928,18.35034561,18.91730881,12.77049446,15.77549744,23.81818771,17.3209877,15.15662956,4.47678709,12.89549828,0.0003463,1.66129971,-1.61187303,-3.27317262,137.29676819,0.0,5.99805403,0.92929196,-5.0687623,11.94652748,,
9,6.1,6.87,0.0,0.8,111.0,142.0,10.0,3.83,130.0,10.01,0.62,21.52956581,19.64631462,21.542202,19.41573906,20.5334549,355.80639648,0.0,10.37,20.82089996,21.87532997,20.58108521,19.49513626,19.32401657,20.50830269,20.44159698,25.14759827,19.43480873,20.82679367,361.17422485,0.0,19.33190727,18.3312645,19.98560143,21.29070282,15.01646328,25.63868523,19.28933525,20.66341782,0.20085114,0.02462351,0.87534228,24.02104568,18.88935471,17.34176445,15.63262367,24.62599564,23.74163628,20.67424011,27.58454895,2.13588357,3.01393747,0.08287678,19.15855026,24.34242249,23.10045242,20.76578522,19.53162384,25.41481209,21.76733398,17.85110092,2.11375356,2.83027363,0.09283225,1.82029545,-0.60039818,-2.42069364,83.06282043,0.0,-2.47290301,-7.30400419,-4.83110142,14.4298296,,
