,x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur.1,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
0,-6.46,-1.18,0.0,0.15,79.0,159.0,2.0,3.9,142.0,20.28,0.7,0.09365159,-0.55489951,-0.86016679,0.00497202,-0.32911068,0.48846596,0.48478275,4.48,-0.19375937,-0.63263535,-1.4829278,-0.36102843,0.61882001,-1.53902555,0.14440881,-0.1177844,0.01118033,-0.39435545,0.69170088,0.40579567,0.35895491,0.81555825,-1.05297017,-0.88258147,-0.56185347,-1.619084,-0.10744099,-1.79086471,-0.55494261,1.00010645,0.31754021,0.52840942,-0.60837722,0.30165607,-0.7277422,-1.26633823,-1.94453299,-0.2541967,-3.00889802,-0.85535133,2.55939388,0.10997415,0.87122965,0.28831732,-1.13923419,1.24954963,0.68332899,-0.56755006,-0.23387635,0.0118289,0.07362828,0.01822292,0.89264664,1.3516016,0.89235622,-0.45924535,9.21408749,0.00262033,-0.59964049,-1.34049749,-0.74085701,0.86259657,,
1,-6.61,-1.69,0.0,0.21,79.0,160.0,2.0,4.16,145.0,22.21,0.74,-0.02596413,-0.48972803,-0.05575152,-0.26320896,-0.20866317,0.16199324,0.68741815,4.94,-0.10348828,0.14961849,-0.18237381,-1.13243294,0.37012115,-0.70822901,-0.59902525,0.71616834,-0.27318332,-0.19567353,0.14014916,0.7082164,2.46724033,1.35639107,-2.35275912,-2.11670256,-2.07715344,-0.34142768,0.13977981,-0.78830373,-0.26277757,0.1866986,0.66577703,-0.97739506,-2.41025686,1.46452463,1.27414525,2.21511507,-0.84650701,0.1115751,-1.70683026,0.22638743,0.14847149,0.70008689,-2.18724537,-1.10933614,0.29773182,-2.55883765,0.80192614,2.31377864,1.85165548,0.24781875,0.29150495,0.23894945,0.62507909,1.70274472,1.39327145,-0.30947325,3.30341959,0.07017125,-0.54715961,-0.1892895,0.3578701,0.25921085,,
2,-6.48,-2.01,0.0,0.16,79.0,160.0,3.0,4.24,144.0,22.02,0.72,0.72030801,0.517492,0.37200126,0.58785266,0.54941344,1.05814528,0.30389931,5.09,0.16905016,0.43834388,1.13756299,0.30659428,0.19316415,0.25467986,1.76560628,0.01749913,0.59440655,0.54133672,1.0109477,0.3149322,0.92846364,1.87054348,0.92126244,1.56578517,-0.47398308,2.64395308,-2.56159544,-0.38742396,-0.02189504,0.00117879,0.97261841,-0.46320835,-0.88646895,1.2962352,-1.41673172,2.49142432,1.31859767,-0.19759515,0.17345864,-0.22034752,0.13187765,0.71657416,0.08209879,-0.72190374,1.32757354,0.3560929,-0.22654641,0.7517454,2.99768043,1.18256211,0.18231325,0.0873001,0.76770277,1.12953734,0.68042207,-0.44911528,11.53106117,0.00078032,2.96943259,3.31914401,0.34971154,0.25103793,,
3,-6.88,-2.27,0.0,0.23,79.0,161.0,2.0,4.57,154.0,20.38,0.74,1.42084837,0.2322387,0.42428395,0.08641119,0.54094553,1.14543402,0.28477771,4.81,0.63573176,0.25673598,1.37995696,-0.18170869,0.16329752,0.66251081,1.17999303,1.24748886,0.04426914,0.59809858,1.37132132,0.24187894,-0.42664838,0.35774639,1.58450055,1.20805418,-0.3839266,0.62649161,-1.73779321,0.75493085,0.18553975,0.09705094,0.75546632,1.9911046,1.69145334,0.29745713,-0.32219374,-0.24358642,-0.38775146,-0.31651771,0.92016286,0.34563333,0.36150879,0.54781338,0.25177079,2.00184727,1.66213655,-0.33317158,1.72920871,3.79464316,1.71939445,0.39300731,1.34627545,5.32646513,0.02121871,1.54903758,1.24571431,-0.3033233,2.15327311,0.14335372,1.00500774,2.67788506,1.67287731,5.10864449,,
4,-6.52,-2.53,0.0,0.22,79.0,161.0,3.0,4.52,152.0,21.77,0.69,-1.05847549,-0.23931277,-0.84990245,-1.14985466,-0.82438636,2.92018962,0.08780284,4.59,0.21120881,-0.58795452,-0.42805758,-1.50346959,-1.37192976,-0.8281793,-0.25359809,-0.97649872,-1.13480735,-0.76293474,2.45849276,0.11722426,-1.8673929,1.75656748,0.98086458,-0.40869224,-1.188447,0.76111287,-0.77095032,-0.91195375,0.93857008,2.73630452,0.09842276,-0.6763677,0.28269473,-0.58438206,-1.07002866,-0.93418276,-1.35426259,-2.41266894,0.02816563,0.3036387,0.3059532,0.58030469,-2.00982308,-1.26194322,-1.05310047,-0.93402773,-1.99260962,-0.94151103,0.44549537,-0.6330151,0.13575827,0.05914084,0.80791173,0.95908535,0.55653632,-0.40254906,8.0623312,0.00484018,1.86937213,3.56700468,1.69763255,5.63746452,,
5,-6.21,-2.87,0.0,0.21,79.0,161.0,4.0,4.55,154.0,22.83,0.61,-0.73761827,-0.28334054,0.0189109,0.18937901,-0.20316723,0.18653615,0.66591292,4.48,-1.35994601,-1.14104199,0.60350823,-0.44003826,-0.20393181,0.01324656,-0.2372123,0.20907374,0.17965078,-0.26381272,0.3096354,0.57803519,0.6809997,-0.40218407,-0.48744985,-2.14797068,-2.22772026,1.96418047,0.4866139,0.94137836,-0.52627718,0.90773445,0.34095936,-1.2911756,0.86137605,1.49001896,2.76700568,0.10416835,-1.85361898,0.10934078,-1.9236362,-0.16015747,0.09054425,0.76355245,-0.24051785,-1.49131072,-0.31647298,-3.49859238,-1.63961375,-0.22398029,1.16202998,-0.02279933,-0.86645079,2.5556953,0.11023103,0.73116612,0.21704753,-0.51411861,15.67049599,9.497e-05,5.35590935,5.17089653,-0.18501277,0.05485765,,
6,-6.01,-3.23,0.0,0.21,79.0,161.0,5.0,4.67,152.0,20.0,0.64,0.39565462,1.35132635,0.97474962,0.75751388,0.86981112,3.03632021,0.08174252,4.75,1.7582109,1.36775243,-0.25859678,1.97439706,0.36653095,1.47334766,1.05250418,-0.04659758,0.83238149,0.94571227,3.5434103,0.06008818,1.95408881,0.48161763,-1.67182338,0.55015695,2.7801466,1.51190472,1.02385473,4.08407164,0.55257875,0.89210755,0.34514773,1.04941761,1.82311082,0.9056499,1.62034762,-0.12622793,1.68761909,1.09580886,-0.30814323,0.20061274,0.12465578,0.72411735,-2.27515888,0.83373356,0.36213744,-2.87802005,1.49127495,2.28209877,1.80717564,1.22398317,-0.29607433,0.26676607,0.60563,0.56762981,-0.07775754,-0.64538735,23.39140511,2.15e-06,3.83950949,4.54679728,0.70728767,0.87591803,,
7,-5.9,-3.72,0.0,0.19,79.0,161.0,6.0,4.93,153.0,19.71,0.66,0.17837891,0.73354977,1.15540516,0.41524285,0.62064415,1.29009163,0.25631632,5.2,0.32982275,1.40356255,0.27780291,0.1158732,1.64496934,-0.68977368,1.03232801,1.0400207,0.3498989,0.611,1.23143303,0.26740964,1.04175878,1.74253857,1.83776641,-0.00329724,0.45283175,-0.07080254,0.51935834,0.14902782,0.33276388,0.26638934,0.60588467,-0.34320918,0.0961692,3.14712214,0.15672563,1.19144607,2.74205446,0.11439656,1.29847884,0.7262246,1.36860788,0.24234555,-0.73528337,1.33595753,0.08639065,-2.00440478,-0.42960852,1.43167627,2.19083071,-0.59637207,-0.18030412,0.08179476,0.77494233,0.29100767,-0.46138218,-0.75238985,31.71474075,4e-08,4.14401054,1.95963252,-2.18437839,6.48246622,,
8,-6.97,-2.63,0.0,0.18,79.0,162.0,2.0,4.8,148.0,23.25,0.71,0.04825336,-0.09596439,-0.17436269,-0.01887631,-0.06023751,0.01839726,0.89213726,4.23,-0.22607352,0.05412655,0.01927604,0.56298006,0.11602928,-0.28643769,-0.58688825,-0.65856379,-0.07177967,-0.11958373,0.07109599,0.78980558,-0.99642897,-0.34228361,1.23199201,0.78165138,-0.19521931,-1.7407012,0.30422151,-0.15332645,-0.05466557,0.01087155,0.91697974,-0.18199611,0.44481525,-0.56104559,-1.80670977,0.44470796,0.53160834,-0.59646142,0.2060419,-0.1662696,0.1080131,0.74249029,1.11949515,-0.01604946,1.20764291,-0.60092908,-1.06941664,-0.82993847,-0.42364109,0.50521678,0.06285053,0.01497649,0.90262525,0.55904055,0.16635482,-0.39268574,2.49347377,0.11541302,-0.69987679,-1.03411078,-0.334234,0.22866818,,
9,-6.73,-3.06,0.0,0.25,79.0,162.0,3.0,4.92,151.0,19.2,0.67,-2.74890351,-1.8787477,-1.60690725,-2.25620651,-2.12269115,20.39134407,7.1e-06,4.48,-2.76075912,-2.02458,-1.48800397,-1.89977324,-2.34571075,-2.71970844,-2.23900414,-1.36839628,-2.28938746,-2.12402105,19.99343681,8.71e-06,-1.99493122,-3.31629968,0.0255334,-0.71332234,-2.87676716,-1.15033555,-1.8743664,-2.70084858,0.38950086,0.49580896,0.48152055,-1.77561903,-2.88077378,0.15310109,-1.27402472,-0.92074382,-1.6116972,-3.06911731,-2.00566554,0.658674,1.5196588,0.21797707,-1.76761091,-2.09867096,-4.43163824,-1.91637707,-3.08867025,-3.92535663,-3.18376517,-1.26427245,-0.47437328,0.76439863,0.38217714,0.44284001,0.04415339,-0.39868662,6.8195734,0.00948723,-1.820158,-0.17116702,1.64899099,4.47356176,,
10,-6.44,-3.39,0.0,0.31,79.0,162.0,4.0,4.98,154.0,19.72,0.63,-1.3892175,-1.04724765,-1.00459695,-1.31145918,-1.18813026,5.75702667,0.01661379,4.72,-1.00199151,-1.90599442,-1.56271589,-1.08115935,-0.87238359,-0.96332318,-0.052849,-1.59872997,-1.29615593,-1.14721859,5.28313971,0.02174949,-0.9886291,-0.71291584,-2.1254952,-0.41597822,-0.76207209,-2.73464656,-0.53001726,-0.60502833,0.26649079,0.20834531,0.6481721,-2.03817534,-1.64497519,-1.51034844,0.33896238,0.10579358,-1.85016966,0.15078723,-1.32452297,0.31615293,0.31532094,0.57456611,-2.88326287,-0.54358625,-1.11802292,-3.45896029,-1.99733734,-0.03887431,-0.09641267,-1.26131952,-0.02263201,0.00162143,0.96788873,0.43645078,-0.06153906,-0.49798983,14.90758324,0.00013936,1.20992291,0.98323965,-0.22668329,0.09065881,,
11,-6.21,-3.75,0.0,0.33,79.0,162.0,5.0,5.1,155.0,20.34,0.64,-0.26911351,-0.03924589,0.45646816,-0.25779629,-0.02742188,0.00296722,0.95657034,4.8,-0.52946723,-0.36965823,1.41297865,0.03973098,-0.10219648,0.39753363,-0.1706374,-0.81411034,-0.32846248,-0.05153607,0.01030189,0.9191764,0.96605551,0.36563429,-2.67072701,-0.96403033,3.18949389,-1.29200196,0.40139598,-1.31214273,0.20453316,0.12015783,0.72894038,-1.76276052,1.52811217,-0.81723768,-0.62219208,1.80253887,1.24273276,1.01814628,1.3947041,0.69393051,1.47419178,0.22498818,0.438483,-0.85154343,2.56926155,-1.08674848,-0.95042264,-1.43585241,-1.37674356,-0.364151,-0.05128242,0.00784269,0.92945114,0.41108167,-0.26925808,-0.68033975,26.98563385,3.9e-07,-1.5410713,-1.26842225,0.27264902,0.11999027,,
12,-6.28,-4.25,0.0,0.38,79.0,162.0,6.0,5.46,158.0,20.01,0.66,-0.36215237,-1.38286793,-1.12556303,-0.80623889,-0.91920555,3.06981206,0.08007996,5.0,-0.5153662,-0.99496835,-0.79695481,-0.20713726,-0.41536561,-2.14795065,-2.46338272,0.27922681,-0.78129762,-0.89279479,2.86383128,0.09091975,-1.17380214,-0.18830602,1.37437463,-1.18273938,-4.59100294,2.02557611,-2.91979218,-3.17566228,-0.547135,0.79920244,0.37155907,-0.31399843,-0.91105801,-1.01347554,-0.2161781,-1.12256467,-0.53955078,-1.06204557,-4.06406784,-0.33166224,0.30965096,0.57802591,-1.06980419,-0.43228817,-1.56051517,0.9243806,-0.44246113,-0.99025494,1.38982356,-0.16972497,0.48065189,0.62799317,0.42829086,0.27506086,-0.58593953,-0.86100036,43.33434296,0.0,5.90535355,4.70286274,-1.20249081,2.03295612,,
13,-6.33,-4.61,0.0,0.41,79.0,162.0,7.0,5.73,166.0,19.68,0.65,-0.27651364,-1.97467053,-0.76982182,-0.55956262,-0.89514214,2.74334526,0.09798897,5.15,-0.74692792,-1.46843243,-1.44156337,-0.44196799,-0.98513037,-0.91067338,-1.63358188,-0.22903992,-0.59587634,-0.93830448,2.93822289,0.08683239,1.26237011,-1.8280443,-3.94444776,-1.60578144,-2.62636352,-1.89136958,-1.79352939,-3.39277172,-1.432989,5.09246349,0.02425731,-1.58326578,-0.18222661,0.42742988,-1.60466409,-0.99571729,0.14652281,-0.86274272,-1.98767185,-0.22895734,0.13862069,0.7097394,-2.22282624,1.13333654,-1.07432318,0.04891773,-0.7530098,0.45988885,0.08883348,0.28654909,0.32353643,0.26827064,0.60461518,0.06865296,-0.90064192,-0.96929491,58.69186401,0.0,-0.70556134,-0.94894123,-0.24337989,0.07756279,,
14,-6.01,-5.12,0.0,0.44,79.0,162.0,8.0,5.96,161.0,18.44,0.67,-0.1820637,-0.78361189,-0.03929242,-0.18744755,-0.2981039,0.2789464,0.59751545,5.37,0.1623179,-0.08043009,0.29393092,-1.55200875,-0.13335179,-0.88321233,0.74684024,-1.86161387,-0.29036158,-0.39936572,0.49493814,0.48190531,1.79547298,-0.19895887,-2.9006474,-0.89857948,-1.14916074,-3.50172257,-0.0109507,-0.04083806,-0.61565769,0.86311835,0.35310425,0.94579691,0.51419634,2.63389874,-1.84544349,0.72148532,-1.46565497,1.16259229,-3.51800823,0.15626283,0.06000248,0.80654509,-0.63403296,0.73064756,-0.07632194,0.14406113,1.21122301,0.87506688,-1.31005609,-2.30643201,-0.05051488,0.00602539,0.93814403,-0.118949,-1.1250695,-1.00612044,64.73207855,0.0,-3.29963183,-3.17393899,0.12569286,0.02371725,,
