x,y,z,d,scale_xy_dist,t1,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,iso0_0,iso0_23,iso0_45,iso0_67,iso0_90,iso0_112,iso0_135,iso0_157,iso0_theta all,iso0_theta F,iso0_theta p-val,iso90_0,iso90_23,iso90_45,iso90_67,iso90_90,iso90_112,iso90_135,iso90_157,iso90_theta all,iso90_theta F,iso90_theta p-val,orth_0,orth_23,orth_45,orth_67,orth_90,orth_112,orth_135,orth_157,orth_theta all,orth_theta F,orth_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
78.03,63.74,20.00,0.00,15.48,85.00,18.60962677,18.54884911,13.24289703,18.30954742,17.17773056,92.41646576,0.00000000,18.03,8.11056423,20.77189445,13.05959511,23.51163101,25.82169533,16.07859612,11.15627575,12.08687115,18.26182747,16.52334404,86.45820618,0.00000000,6.69606924,23.28068161,20.34185600,11.13162518,26.89639664,21.33081436,23.30887604,14.10726261,0.19175497,0.00749144,0.93104543,-2.01623917,16.01670837,-6.42648125,25.00501633,30.91529274,24.28330421,9.99666595,6.16003084,-5.52297163,6.12092161,0.01353703,23.45422935,22.42149734,25.18192673,29.88121986,18.42349625,4.18672132,3.59300661,18.42430687,0.52707040,0.05433159,0.81574186,2.54762316,-4.33004284,-6.87766600,543.36883545,0.00000000,5.11879110,-1.98047531,-7.09926605,7.86091280,nan,nan,
77.78,63.31,21.00,0.00,15.49,92.00,-7.57931662,-7.05112886,-1.05630028,-9.82937431,-6.37902975,9.68838120,0.00191072,20.67,6.33394480,-1.94218719,-6.62692499,-7.71951580,-13.60076904,-8.21620941,-1.11080563,-2.95171762,-9.57005787,-5.03987122,6.03670788,0.01419308,14.82178593,-11.00579929,1.06665790,-11.49268055,-18.06156349,-15.49217606,-1.01501811,-11.96730042,3.36785293,1.77781737,0.18274477,11.36394787,7.80798864,3.34678555,3.94837546,-20.32580566,-17.41868210,-3.46241355,9.44888020,9.09820461,12.29962540,0.00047477,-9.77382946,-5.28564310,-25.51325417,-13.50322628,-3.76316524,7.99294043,-1.23740399,-6.98242950,2.05907226,0.62500918,0.42939389,2.82705641,-5.06709051,-7.89414692,592.42358398,0.00000000,-16.68434906,-9.97206020,6.71228790,6.33960056,nan,nan,
77.78,63.31,19.00,0.00,15.49,87.00,6.45373964,7.82458448,11.02803993,10.99061680,9.07424545,13.42654324,0.00026204,24.98,15.02785778,8.86258316,4.47130060,3.05593491,1.62313616,14.48189735,14.75858784,8.89206219,11.11668968,9.13419533,13.48646545,0.00025399,21.17490387,6.31914520,6.47796297,7.20475578,10.01381397,5.66298437,7.77551603,-1.46834064,-3.06110215,0.98122710,0.32215425,14.64323902,12.19235420,10.69669914,3.98008370,-7.86738300,13.46270275,18.13849831,24.49721527,0.48865283,0.02366282,0.87777940,6.83237362,7.74935818,-5.75427723,0.31961414,1.38651037,24.18515587,15.14663029,2.92874503,-4.83130980,2.33534098,0.12680806,3.58937597,-4.09328604,-7.68266153,528.75610352,0.00000000,34.87100983,31.80258751,-3.06842422,0.86523288,nan,nan,
77.51,62.69,20.00,0.70,15.40,99.00,25.60467529,26.30270576,26.52289200,20.65849304,24.77219200,250.63586426,0.00000000,15.78,21.72554970,31.93712997,25.73018837,25.68651390,27.41465569,26.27282906,23.42514420,26.08304024,20.74431038,25.42115021,261.29669189,0.00000000,22.27710533,29.40843582,15.13347530,30.13756371,20.32397270,28.78837013,28.70978546,35.30506134,5.54030991,8.15288639,0.00439511,19.05882645,34.43999481,28.95574760,22.98724747,30.02514839,28.56674767,26.55507469,20.78950691,5.67201710,7.95168495,0.00490659,23.35558701,31.78674698,35.03099060,21.32513809,32.03926849,21.58631706,17.29727364,20.19006729,4.91375542,6.07476425,0.01389285,2.92064977,-3.32954693,-6.25019693,510.20336914,0.00000000,8.88910866,-18.41880798,-27.30791473,120.53472900,nan,nan,
77.51,62.69,21.00,0.00,15.40,91.00,-0.03266710,1.95776021,1.89083433,2.20308542,1.50475323,4.17790890,0.04123394,7.43,3.90061808,-1.02935314,0.73833358,1.92293847,0.66375124,2.02771854,2.20124078,0.72504932,2.17203927,1.47877932,3.97361159,0.04651029,2.95601010,1.19119346,4.09764576,-2.52115870,2.24060583,2.65329909,0.71679091,4.60632372,-0.26035535,0.08050507,0.77667740,3.41500258,-0.07489236,-1.02420771,6.10057163,1.57439268,1.97154796,1.64712620,1.82358086,-0.28495809,0.09039075,0.76374833,4.87262917,-4.08484602,-1.15574205,2.26266909,-2.67537045,1.10873163,3.49212027,-4.33156490,-2.18922353,5.48392344,0.01940283,1.26082468,-4.35733557,-5.61816025,582.11956787,0.00000000,-1.84975481,-6.98321199,-5.13345718,27.35490799,nan,nan,
77.35,62.16,20.00,0.74,15.24,102.00,9.32206154,10.44167137,10.68175983,9.05266380,9.87453938,293.32739258,0.00000000,5.82,9.44637203,10.03070450,9.75536919,10.65340328,9.76353550,9.74155140,10.98759747,11.27117252,9.10907650,10.07422543,298.63601685,0.00000000,11.23231602,8.99460411,8.56744671,13.21532154,10.79353905,7.96537256,10.03680992,12.92195797,1.28214645,3.19459367,0.07420839,9.27009964,10.38631439,10.65347290,9.51756096,8.52170944,12.08729362,12.42869663,12.46369648,1.68500435,5.14527273,0.02353879,7.52893496,10.49076939,10.25643063,9.46288872,9.41799164,9.13147449,10.92105961,7.58832741,0.26050478,0.12379992,0.72502904,1.65658212,-3.76495647,-5.42153883,553.82165527,0.00000000,-5.27563524,-10.19538116,-4.91974592,50.46868515,nan,nan,
77.35,62.16,16.00,0.53,15.24,106.00,19.06706810,20.02768707,18.14939499,18.22690964,18.86776543,644.14062500,0.00000000,7.50,23.56394958,19.46808434,19.42708206,15.82132435,16.33599281,16.45594025,20.77900314,22.54130936,18.20538139,19.15838623,680.95434570,0.00000000,29.97187424,15.34889698,17.63143730,17.89669609,18.89240837,18.06616592,18.64220238,24.91532135,1.72438335,3.61157608,0.05768839,18.55111504,26.31024933,21.25771332,11.11066628,14.41482544,13.84484768,20.61144257,19.95549583,-0.08423722,0.00807677,0.92840923,20.71294785,16.73994255,19.37472916,18.91411400,16.61717987,17.91597366,21.80856514,20.78229141,0.86455196,0.82295901,0.36455194,2.09554434,-2.74674416,-4.84228849,479.80407715,0.00000000,6.38894701,-6.54968739,-12.93863392,196.21084595,nan,nan,
77.27,60.86,21.00,0.90,14.49,96.00,8.14360905,10.26402378,10.28745937,10.89466858,9.89743996,195.43389893,0.00000000,7.14,10.42475605,8.32383728,8.58816147,9.42801666,10.63316345,12.10871792,8.10716057,8.89893723,10.88633156,9.70129776,184.48034668,0.00000000,12.94617844,9.80077076,10.99549580,4.76950645,9.91039276,13.57504559,9.54505730,10.72669220,-0.57570076,0.42821601,0.51302776,11.30992126,7.51919794,9.21164703,9.58960819,15.49861145,12.30332947,7.48794937,8.94998169,-0.68253672,0.56491327,0.45247792,7.33954096,8.16691494,4.94859505,13.62596989,5.98142576,10.42095661,7.08867788,7.66762304,-2.75092053,9.25477505,0.00241490,1.02158070,-3.65173149,-4.67331219,705.20544434,0.00000000,-4.49312496,-10.27282143,-5.77969599,48.57606506,nan,nan,
77.27,60.86,18.00,0.68,14.49,88.00,5.06810522,4.80172348,5.02880096,4.94543695,4.96101665,133.63745117,0.00000000,4.33,5.78711319,5.13897657,5.81172085,4.56632662,3.57397246,4.79440260,4.73303604,5.42509604,4.90036011,4.96514177,132.12370300,0.00000000,7.54986334,3.78072977,4.37986469,4.05965281,3.06900048,6.28461361,4.93556404,4.58684206,-0.07619574,0.02034349,0.88661288,3.86935902,6.54681396,7.91219282,5.86288357,3.88269114,2.78664613,3.53700447,5.54388380,0.08222903,0.02232483,0.88125867,5.49208832,5.01724815,5.62472534,3.98383164,3.90438414,5.16089058,5.51908970,5.76416016,0.10291072,0.03474684,0.85216788,1.45101070,-2.99669504,-4.44770575,655.12664795,0.00000000,6.45083237,2.58939528,-3.86143708,30.25711250,nan,nan,
76.91,59.68,19.00,0.57,14.16,88.00,1.64837277,0.60426712,1.49459851,0.83927494,1.14662838,8.12575054,0.00446006,4.06,2.17467403,0.70687014,0.46308923,2.22722602,1.12278485,0.62545639,0.44650277,2.40153360,0.89876533,1.22842610,9.21219349,0.00247100,1.20042419,-0.79139793,-0.59016532,1.03378117,2.09215593,0.37061593,0.20328502,1.31512129,-0.31038088,0.38227382,0.53654054,1.20825064,1.49576151,-0.36783656,2.67926955,1.30958927,0.87861657,0.39025468,4.28537273,0.66418099,1.65368080,0.19877946,4.13604450,1.02039564,2.12323213,2.86462522,-0.30902034,0.62375408,0.66211748,1.47381413,0.82725471,2.58996105,0.10788308,1.96374750,-3.38420844,-5.34795618,866.37927246,0.00000000,-1.51829243,-4.13920355,-2.62091112,10.21672249,nan,nan,
