x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
3.76,-6.16,0.00,0.10,87.00,140.00,3.00,4.59,149.00,25.10,0.84,0.99443156,1.37180042,2.08110714,1.82194817,1.56732178,13.83900166,0.00021142,4.22,0.92837250,2.03701758,2.49041533,1.38133347,0.84339553,1.21122301,1.33714414,1.81113327,1.83665609,1.54031265,13.04334736,0.00032118,0.36412627,-0.50239676,-0.86652303,8.62389946,0.00359748,-5.26932192,-5.53177261,-0.26245075,0.09399115,6.28,0.00,
3.91,-5.86,0.00,0.11,87.00,141.00,3.00,4.32,152.00,24.03,0.79,1.29892445,0.83292669,0.33418721,1.61744440,1.02087069,5.95580101,0.01485961,4.19,-0.25090796,0.71065015,1.33989954,1.57632065,-0.26093835,1.74540257,0.38764289,1.06014276,1.57273877,0.87478560,4.29176855,0.03858139,0.86120218,-0.41568875,-1.27689087,20.35844421,0.00000951,-1.07578945,-3.74062157,-2.66483212,8.53246498,6.28,0.00,
4.21,-5.71,0.00,0.09,87.00,142.00,3.00,4.21,147.00,19.52,0.74,3.00066805,1.75859487,3.11969852,1.31764781,2.29915237,16.96627808,0.00004153,5.60,1.79788744,2.86282349,1.61578095,3.56974268,1.72928524,1.32873762,4.46764517,3.80724931,1.29204452,2.49430275,19.65319633,0.00001043,1.29231894,-0.32898223,-1.62130117,36.73206711,0.00000000,4.13647461,2.16825676,-1.96821809,3.59228468,6.28,0.00,
-5.86,7.27,9.00,0.85,87.00,147.00,18.00,9.41,158.00,6.33,0.72,1.40206921,2.34193301,6.20935678,5.14977694,3.77578402,3.45915532,0.06322636,20.35,2.60870886,2.25780034,2.64563394,7.41705084,2.13185358,-1.82782066,5.18175888,7.03773785,5.16415930,3.62047410,3.10641670,0.07832337,-3.34263635,-6.73604107,-3.39340472,104.69921112,0.00000000,-21.03909492,-19.62035179,1.41874230,0.17367549,3.59,1.02,
-5.85,7.67,1.00,0.21,87.00,148.00,16.00,9.73,158.00,10.54,0.83,1.95736539,0.68197668,1.61075485,0.86384857,1.27848637,2.40655494,0.12117724,8.26,-1.73915350,1.78106844,2.80793786,0.40935093,2.88907671,-0.82609677,2.64411092,2.92938209,0.80532527,1.29881120,2.45388246,0.11758570,-1.78434992,-4.66970444,-2.88535452,90.96166992,0.00000000,2.58792758,-1.43172669,-4.01965427,6.29596758,3.60,0.94,
-5.96,7.78,4.00,0.45,87.00,148.00,17.00,9.84,165.00,10.23,0.79,6.48806286,5.65338135,5.39364910,6.30003738,5.95878267,43.38694382,0.00000000,9.07,9.40525627,3.73447990,5.17926931,6.49607706,5.12863922,4.60727644,5.84652185,6.53480864,6.37985468,5.91765261,42.09728241,0.00000000,-2.11932921,-5.31962585,-3.20029664,101.60443878,0.00000000,-5.77257347,-9.05581760,-3.28324413,3.41972828,3.60,0.94,
-5.80,7.62,7.00,0.78,87.00,148.00,18.00,9.67,173.00,7.68,0.77,5.44523478,6.60669899,2.50653028,5.11303139,4.91787386,15.01215744,0.00011451,12.73,-0.71254915,3.82221866,5.45488882,8.68914413,4.10516262,3.61758137,7.39510775,4.61074400,4.99917841,4.65994406,13.23537922,0.00029032,-2.77524900,-6.49741507,-3.72216582,115.64157867,0.00000000,15.34305668,8.95021820,-6.39283800,6.64194679,3.64,0.94,
-5.42,7.30,10.00,0.92,87.00,148.00,19.00,9.29,168.00,4.27,0.73,-2.08902669,3.31762671,-2.72533751,3.35121918,0.46362042,0.03028084,0.86189340,26.71,-6.68286800,-3.72808146,-4.00591516,0.33250105,-1.56906390,0.19002897,11.59217644,-1.45352793,3.42978430,-0.21034117,0.00616359,0.93744097,-4.09235525,-8.43679810,-4.34444284,123.26685333,0.00000000,-3.55255580,-15.00514889,-11.45259285,6.38167048,3.67,0.93,
3.15,-7.14,0.00,0.15,88.00,138.00,2.00,5.58,148.00,20.74,0.77,-0.21206783,-0.01101676,-0.15852650,0.10769872,-0.06847809,0.02316445,0.87906408,4.51,0.75002509,-1.48658240,-0.14344929,0.17514132,-0.16323212,0.77874368,-0.29930702,-0.52107823,0.11465981,-0.08825378,0.03776898,0.84595157,-0.17020187,-1.52969110,-1.35948920,8.07354164,0.00482646,5.13487768,1.61132944,-3.52354836,3.89506340,6.28,0.00,
2.99,-6.99,0.00,0.16,88.00,138.00,3.00,5.43,155.00,21.32,0.77,-1.07461441,-0.45193264,-0.94967395,-1.15461731,-0.90770954,4.00338984,0.04570679,4.55,-0.97374916,-0.65866488,-1.44841754,-1.30442238,-0.79986078,-0.73894519,0.03323363,-0.71880066,-1.13093483,-0.85920238,3.50187111,0.06162341,-0.35332152,-1.66352224,-1.31020069,19.96869087,0.00001150,-5.11306047,-9.64340496,-4.53034449,25.79497719,6.28,0.00,
3.93,-7.10,0.00,0.17,88.00,139.00,1.00,5.51,151.00,17.94,0.64,38.72196198,40.31479645,38.50090027,30.08830833,36.90649033,34.78189468,0.00000001,62.74,19.40710449,73.18423462,23.91344452,67.50012970,71.35014343,28.31008530,6.87086439,16.82085037,28.24451256,37.25175476,36.93084335,0.00000000,2.29309583,0.82154644,-1.47154939,4.14892340,0.04261513,0.99242216,-2.47653794,-3.46896005,36.48764420,6.28,0.00,
3.46,-6.85,0.00,0.28,88.00,139.00,2.00,5.27,154.00,23.82,0.79,0.89674026,1.67987287,2.24245644,1.06480479,1.47096860,12.27839851,0.00048066,4.21,0.53919274,2.56711864,1.66690493,2.03936744,2.12194037,0.14999649,1.93044722,1.87035978,1.06033337,1.54796839,13.31102753,0.00027900,0.78932077,-0.82492203,-1.61424279,11.52344227,0.00078812,9.44620037,11.31058598,1.86438620,0.88307333,6.28,0.00,
