x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
1.04,9.59,0.00,0.90,96.00,177.00,18.00,nan,60.00,14.56,0.66,-1.40907371,-2.55568719,-1.45776856,-1.46994746,-1.72311914,5.61777925,0.01798188,7.59,-2.02597618,-5.36308479,-0.09952358,-0.54166496,-0.00034356,-1.28606689,-3.29379725,-1.81843650,-1.55711544,-1.77444708,5.90072441,0.01532380,-2.78948903,-3.73247766,-0.94298875,18.63712120,0.00002191,-17.42586708,-20.48032570,-3.05445886,7.22078896,nan,nan,
0.17,10.35,0.00,0.90,96.00,178.00,18.00,nan,72.00,17.46,0.67,0.21630549,-0.42101949,0.30398342,-0.47608873,-0.09420483,0.02820888,0.86665512,5.85,0.37406188,-0.16810758,0.41996756,-1.52626967,1.36208987,0.08782670,0.21367982,-0.72685474,-0.49174574,-0.05054406,0.00800348,0.92873395,-1.37835550,-2.14234543,-0.76398975,12.30837440,0.00052462,-9.18868542,-10.15346432,-0.96477878,1.19314432,nan,nan,
8.59,1.08,0.00,0.45,97.00,163.00,22.00,nan,140.00,9.72,0.76,9.90490818,8.74753666,9.00614262,8.63939190,9.07449532,138.28727722,0.00000000,8.06,8.65221500,6.16302156,11.24727631,8.05058384,10.27780151,9.77800274,8.56273556,10.61303806,8.48509502,9.08310413,136.58493042,0.00000000,-2.85004616,-8.05042076,-5.20037413,135.97354126,0.00000000,6.09395123,-2.58828974,-8.68224049,36.98202515,nan,nan,
6.49,3.26,21.00,0.72,97.00,167.00,22.00,nan,82.00,17.00,0.70,2.89503002,1.72157955,2.75365353,2.66838503,2.50966215,30.11497879,0.00000005,4.78,0.51583475,1.49673676,3.06641293,2.88707352,1.09486318,3.23761845,2.93456936,4.40147734,2.53943658,2.46131659,28.82381439,0.00000010,-1.49170887,-4.66274977,-3.17104077,146.88740540,0.00000000,-9.61181164,-12.32372665,-2.71191478,8.99833870,nan,nan,
6.15,3.81,20.00,0.67,97.00,168.00,22.00,nan,51.00,18.41,0.76,-0.28167534,0.85880047,0.95451874,0.51332700,0.51124269,1.39841676,0.23729043,4.52,0.28439298,0.09836595,-0.66232294,0.50208026,1.42822754,1.58171070,0.65482491,0.12735020,0.47206071,0.49802265,1.29716218,0.25502647,-1.52784312,-4.42220306,-2.89436007,143.86233521,0.00000000,-7.76471424,-9.06465816,-1.29994416,2.32753491,nan,nan,
5.62,4.47,19.00,0.72,97.00,169.00,21.00,nan,35.00,15.52,0.71,4.64661837,3.50135016,2.99115181,2.17620158,3.32883048,45.30532455,0.00000000,5.17,3.61524343,5.75322771,4.03687048,3.28912091,2.19977784,4.07689285,3.09750915,3.92660379,2.23021507,3.57702637,51.26843643,0.00000000,-1.31491494,-3.91129327,-2.59637833,148.73620605,0.00000000,-8.64711380,-13.01370525,-4.36659098,24.10724831,nan,nan,
5.93,4.66,19.00,0.58,97.00,169.00,22.00,nan,26.00,16.89,0.76,1.96152878,1.18492365,2.88586259,2.47001052,2.12558150,23.64814568,0.00000136,4.57,1.45816839,2.35119987,2.33961034,2.49069762,-0.25690705,2.57169056,3.64550900,1.61182809,2.44561458,2.07097268,22.16342735,0.00000289,-1.44867671,-4.28860235,-2.83992577,139.50321960,0.00000000,-4.42580175,-7.59705639,-3.17125463,10.18264866,nan,nan,
4.99,5.11,0.00,0.77,97.00,170.00,20.00,nan,30.00,20.70,0.72,3.01057053,2.83677030,2.39495301,3.54170084,2.94599867,40.24722672,0.00000000,4.85,2.13169789,3.83877277,4.43941450,3.60734177,1.06014967,3.94244337,3.07414317,0.38586894,3.58912635,2.89365435,39.07130051,0.00000000,-1.39999509,-3.35310531,-1.95311034,107.87234497,0.00000000,5.85261393,3.41802526,-2.43458867,9.63273144,nan,nan,
5.27,5.02,20.00,0.68,97.00,170.00,21.00,nan,22.00,14.65,0.72,6.85546255,6.87122011,6.95574474,6.19680643,6.71980858,111.23917389,0.00000000,6.66,6.01915884,9.23684597,7.06199598,7.13883305,4.82077789,8.19276333,7.17916679,5.85672522,6.22074652,6.85169840,114.35936737,0.00000000,-1.37605178,-3.82731318,-2.45126128,130.57257080,0.00000000,-3.65009212,-8.76211739,-5.11202526,18.97144508,nan,nan,
5.63,5.05,17.00,0.56,97.00,170.00,22.00,nan,22.00,9.55,0.75,8.36466980,7.65475512,6.12563324,5.33164072,6.86917448,51.28908920,0.00000000,10.02,9.01130486,6.85585451,8.53731537,8.00598240,6.41756725,6.78046131,5.94514132,7.73979902,5.41534710,7.18267393,54.66866302,0.00000000,-1.40204549,-4.17579079,-2.77374530,125.28067780,0.00000000,2.14115095,-3.61940551,-5.76055670,8.96524525,nan,nan,
