x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L0 p-val
-1.34,-9.70,20.00,0.87,108.00,138.00,4.00,3.17,141.00,3.86,0.58,-7.62177277,-3.76043510,-10.36586189,-0.04340685,-5.44786930,5.23620033,0.02233949,25.95,-7.35460091,-4.20965576,-4.66417694,-7.55206251,-11.73614788,-3.81366706,-4.17647839,-14.75469208,0.07077622,-6.45916843,7.17100954,0.00753709,1.53153253,-3.70529747,-5.23682976,273.53027344,0.00000000,12.01556778,13.33918095,1.32361293,0.14367446,0.00,0.00,0.01957124,4.41925335,-36.34218979,5.63494730,15.36318493,1.15539527,-18.66097641,1.31440639,18.69375801,1.37470520,-10.32440853,10.76888752,0.00106984,0.02924936,5.35424089,-37.50066757,3.32758570,1.71769094,0.00705553,20.44670486,0.83472317,7.77096272,0.11514983,-10.46168518,11.55885315,0.00070236,0.04169463,3.00748515,-116.31061554,10.42751503,2.48974419,0.00493870,65.05632019,2.89929104,73.11130524,3.54004145,-9.87745476,10.72255707,0.00109666,0.01073795,0.86979508,-15.76012611,0.75806177,-7.95369339,0.25930384,-14.98975277,0.47091445,13.35473156,0.24996279,-7.20643187,5.26583481,0.02196552,0.01579937,1.10768354,-24.08835220,1.12297440,-19.35288811,0.90350640,-10.21702099,0.18429913,-34.61862183,1.21085155,-7.42154169,5.86384201,0.01564161,0.00844475,0.14297801,-29.08348465,0.77641118,-58.39534378,4.44945765,4.14432049,0.01280939,-53.93840027,1.36131299,-6.08107328,4.23665953,0.03983251,0.01073795,0.86979508,-15.76012611,0.75806177,-7.95369339,0.25930384,-14.98975277,0.47091445,13.35473156,0.24996279,-7.20643187,5.26583481,0.02196552,0.01579937,1.10768354,-24.08835220,1.12297440,-19.35288811,0.90350640,-10.21702099,0.18429913,-34.61862183,1.21085155,-7.42154169,5.86384201,0.01564161,0.00844475,0.14297801,-29.08348465,0.77641118,-58.39534378,4.44945765,4.14432049,0.01280939,-53.93840027,1.36131299,-6.08107328,4.23665953,0.03983251,
-1.22,-8.57,21.00,0.89,108.00,139.00,6.00,2.77,106.00,5.04,0.63,-6.07844448,-7.25827837,-3.78731322,-3.42412162,-5.13703966,4.83164406,0.02818156,25.47,-4.56674576,-13.03847790,-6.99887800,-1.76003134,-6.33459377,-4.49561691,-8.56886005,-0.21133775,-3.59392786,-5.50209999,5.41451263,0.02017969,1.16964877,-3.14605832,-4.31570721,284.58731079,0.00000000,1.45153713,2.65441322,1.20287597,0.14657590,0.00,0.00,0.00241511,0.06950545,21.87787437,2.10936356,-1.34409273,0.00919235,-38.00276947,5.63041019,-1.18417025,0.00572177,-4.80321074,2.40745854,0.12109168,0.00714846,0.33265105,50.94929886,6.38819838,-15.16952515,0.57094431,-24.96960449,1.29476142,26.77982712,1.42298627,-5.53938055,3.37034965,0.06669240,0.00242033,0.01047608,110.88942719,9.78088665,-39.28160095,1.26921058,-56.21294022,2.23376536,24.92690849,0.42461172,-4.38540983,2.18110180,0.14004616,0.00800961,0.50422281,37.85831833,4.55812550,-6.69534206,0.19146991,1.44947696,0.00458555,-2.97736454,0.01291439,-6.19710541,4.05736542,0.04426080,-0.00638246,0.18846267,61.83189392,7.71356153,-2.83697009,0.02025270,2.85793304,0.01509577,8.06416798,0.06854040,-3.91891623,1.70441508,0.19202800,0.01754443,0.63929993,46.53360367,2.05940580,-6.20949078,0.05205995,-46.57584000,1.67489111,0.57895648,0.00009346,-6.02524614,4.30938625,0.03817142,0.00800961,0.50422281,37.85831833,4.55812550,-6.69534206,0.19146991,1.44947696,0.00458555,-2.97736454,0.01291439,-6.19710541,4.05736542,0.04426080,-0.00638246,0.18846267,61.83189392,7.71356153,-2.83697009,0.02025270,2.85793304,0.01509577,8.06416798,0.06854040,-3.91891623,1.70441508,0.19202800,0.01754443,0.63929993,46.53360367,2.05940580,-6.20949078,0.05205995,-46.57584000,1.67489111,0.57895648,0.00009346,-6.02524614,4.30938625,0.03817142,
-1.71,-8.73,0.00,0.87,108.00,140.00,6.00,2.79,96.00,8.68,0.64,5.04497051,5.52347183,7.57613897,3.99414825,5.53468227,20.52612305,0.00000663,13.32,-0.14920513,7.82588530,6.79587126,6.80229759,5.35275221,3.34425926,9.51046944,8.09369564,3.90322232,5.71419668,21.54916000,0.00000393,1.63515377,-2.80011082,-4.43526459,297.42480469,0.00000000,-15.36126137,-20.66590691,-5.30464602,11.61420059,0.00,0.00,0.00842138,3.09413028,-3.24438381,0.16981187,-17.34126663,5.56661844,2.44524384,0.08533519,-6.94792461,0.71813768,3.95869160,5.98694134,0.01459265,0.01220250,3.53858519,-5.08867359,0.23262540,-21.47522545,4.17806911,-3.67629743,0.10244448,-19.20426178,2.67180014,4.13522434,6.85776949,0.00896637,0.00934450,0.56493884,29.89309692,2.57587147,-19.20096588,1.09892452,-0.29282272,0.00017101,-11.56164169,0.33107963,5.13836813,10.85166550,0.00102358,0.03374063,33.80440521,-23.47340775,6.62004805,-12.34989548,2.46152663,-12.42695045,1.27407205,-15.22324276,1.27875638,-0.38501686,0.05921805,0.80778873,0.03935406,26.79825020,-24.44485664,4.50955725,-13.03978729,1.59945846,-14.89519405,1.52782393,-5.72379923,0.12906495,0.60320938,0.15098494,0.69768304,0.06257087,30.78344727,-56.67417526,11.56474686,-10.02220726,0.51403791,-23.91750336,1.67206061,-14.76437187,0.40010211,0.60630155,0.16515380,0.68454681,0.03374063,33.80440521,-23.47340775,6.62004805,-12.34989548,2.46152663,-12.42695045,1.27407205,-15.22324276,1.27875638,-0.38501686,0.05921805,0.80778873,0.03935406,26.79825020,-24.44485664,4.50955725,-13.03978729,1.59945846,-14.89519405,1.52782393,-5.72379923,0.12906495,0.60320938,0.15098494,0.69768304,0.06257087,30.78344727,-56.67417526,11.56474686,-10.02220726,0.51403791,-23.91750336,1.67206061,-14.76437187,0.40010211,0.60630155,0.16515380,0.68454681,
-0.65,-10.19,19.00,0.84,109.00,136.00,3.00,3.44,79.00,3.50,0.72,6.67564201,11.16611671,8.32382870,-0.66938615,6.37405014,3.51807666,0.06100806,37.04,0.59196204,19.70483589,4.75773668,13.47920799,5.14343596,3.18824983,15.33562756,7.18073750,-0.62324423,7.63219929,4.94641304,0.02637952,2.52265239,-2.77274275,-5.29539490,216.89590454,0.00000000,-13.18767929,-24.07909775,-10.89141846,8.81757545,0.00,0.00,0.03761160,8.09512424,-8.46767616,0.15178977,36.50667191,3.23586965,66.15074921,8.19196320,12.90944099,0.32519946,-3.66544271,0.67327994,0.41211646,0.04125364,5.23778200,-51.98466110,3.14459085,29.67325783,1.03307271,42.71128464,1.79124069,5.24481726,0.02580013,-1.27090216,0.08389490,0.77215021,0.09742005,8.00732803,-71.85006714,1.94061363,90.91585541,3.21315455,38.06546021,0.48403832,-13.34429741,0.05744944,-2.37375641,0.30196640,0.58278157,0.04675350,8.25837135,-79.14924622,9.57643986,35.23130035,2.54878116,37.16880035,1.45013607,-6.52418661,0.02986818,-3.20812893,0.52260315,0.46991148,0.05891686,7.68894386,-94.73474884,8.67040062,54.31589890,3.55263901,17.29303932,0.26363736,-13.63242531,0.09374571,-2.39662671,0.30521232,0.58076316,0.05990152,3.55059433,-75.65415192,2.59345603,82.57479858,4.39195347,37.51140594,0.51762247,4.99924183,0.00569990,0.86157882,0.04194773,0.83776337,0.04675350,8.25837135,-79.14924622,9.57643986,35.23130035,2.54878116,37.16880035,1.45013607,-6.52418661,0.02986818,-3.20812893,0.52260315,0.46991148,0.05891686,7.68894386,-94.73474884,8.67040062,54.31589890,3.55263901,17.29303932,0.26363736,-13.63242531,0.09374571,-2.39662671,0.30521232,0.58076316,0.05990152,3.55059433,-75.65415192,2.59345603,82.57479858,4.39195347,37.51140594,0.51762247,4.99924183,0.00569990,0.86157882,0.04194773,0.83776337,
-0.77,-10.16,17.00,0.79,109.00,137.00,3.00,3.41,103.00,6.03,0.62,8.95200348,13.45311546,15.18732071,9.34611511,11.73463821,55.82724762,0.00000000,17.12,8.33444214,12.40340328,16.52465820,14.29142475,2.46570826,11.86431122,23.27033615,8.24741554,9.07798386,11.81924534,56.71542358,0.00000000,2.01995587,-3.08887196,-5.10882807,247.55712891,0.00000000,-4.41677427,-31.63927460,-27.22249985,114.24179077,0.00,0.00,0.03113579,26.16672516,-21.98725128,4.82532978,11.58064651,1.53581989,0.61231518,0.00329302,-8.25386620,0.62694764,4.48377514,4.75160885,0.02951609,0.04698424,32.61897659,-21.81940842,2.65978360,5.68473291,0.18206725,6.72381783,0.21314147,-0.11123198,0.00000000,4.21799135,4.43635416,0.03544338,0.08953922,32.38739777,-49.12584305,4.34376907,15.85232258,0.46770346,-8.60712051,0.11852759,-10.37630749,0.16647254,4.60458660,5.44127083,0.01987461,0.07379218,106.09104919,-15.73078918,1.95074487,-4.73402023,0.23736246,16.58607292,1.48918414,20.43608475,1.51203310,-1.37702429,0.49658802,0.48117606,0.10745559,135.21083069,-20.36650467,2.11845350,-8.55350113,0.46579632,-0.55233496,0.00142409,19.39957237,1.00339055,-1.95361817,1.07216227,0.30072133,0.14229251,103.71810150,-26.23698997,1.61478090,1.65950620,0.00922106,3.27593398,0.02045923,30.77699280,1.13269222,0.68967134,0.13929567,0.70906557,0.07379218,106.09104919,-15.73078918,1.95074487,-4.73402023,0.23736246,16.58607292,1.48918414,20.43608475,1.51203310,-1.37702429,0.49658802,0.48117606,0.10745559,135.21083069,-20.36650467,2.11845350,-8.55350113,0.46579632,-0.55233496,0.00142409,19.39957237,1.00339055,-1.95361817,1.07216227,0.30072133,0.14229251,103.71810150,-26.23698997,1.61478090,1.65950620,0.00922106,3.27593398,0.02045923,30.77699280,1.13269222,0.68967134,0.13929567,0.70906557,
-0.68,-9.78,0.00,0.74,109.00,137.00,4.00,3.28,85.00,4.67,0.69,3.32191753,3.12307072,-5.31327915,2.76152897,0.97330952,0.15319617,0.69558691,27.10,-2.07703185,5.10097170,-6.23480511,6.35292196,5.44899273,6.23118687,-3.40678167,-5.16702604,3.20199871,1.04899740,0.17344800,0.67715964,1.60805988,-2.97684240,-4.58490229,233.75057983,0.00000000,7.37810087,4.87588024,-2.50222063,0.69191635,0.00,0.00,0.02833483,8.54850101,5.18037319,0.10568087,39.33978271,6.99153090,-17.58386993,1.07700622,-2.97884083,0.03218196,-5.56751251,2.89000726,0.08945820,0.03841925,8.53021812,-21.28273582,0.98972374,45.63441849,4.58794498,-22.37879944,0.92340249,-29.58324432,1.54184413,-5.42594433,2.87119293,0.09050610,0.05515498,4.78405905,-16.45760918,0.18980601,82.18247986,4.89380264,-34.63362503,0.74691945,0.34782994,0.00008314,-3.84861255,1.47978854,0.22411007,-0.00665051,0.30866310,-10.54029179,0.31364822,28.47687149,3.07574677,-33.67699814,2.19894409,-56.00124359,4.06679201,1.72864568,0.28033090,0.59660825,-0.01298229,0.69176847,-13.21760464,0.31273091,36.11527252,2.91041923,-26.87190247,1.17962539,-79.04569244,5.83914137,2.26821089,0.50665903,0.47676366,-0.02131336,0.83498007,10.33757114,0.08991712,25.03419304,0.74986076,-35.47081757,0.85979623,-90.60282135,3.52223611,2.53071308,0.67284805,0.41226639,-0.00665051,0.30866310,-10.54029179,0.31364822,28.47687149,3.07574677,-33.67699814,2.19894409,-56.00124359,4.06679201,1.72864568,0.28033090,0.59660825,-0.01298229,0.69176847,-13.21760464,0.31273091,36.11527252,2.91041923,-26.87190247,1.17962539,-79.04569244,5.83914137,2.26821089,0.50665903,0.47676366,-0.02131336,0.83498007,10.33757114,0.08991712,25.03419304,0.74986076,-35.47081757,0.85979623,-90.60282135,3.52223611,2.53071308,0.67284805,0.41226639,
-1.40,-10.06,16.00,0.78,109.00,138.00,3.00,3.30,116.00,8.67,0.68,8.13262367,10.27541065,11.25591469,10.32944012,9.99834728,144.59266663,0.00000000,9.06,10.57008266,9.88761139,8.23050499,9.90081120,12.06919193,10.73349285,9.75831127,8.66180134,10.41026497,10.01465034,140.39108276,0.00000000,1.81499410,-2.54779506,-4.36278915,258.46047974,0.00000000,12.36317062,-0.23935959,-12.60252953,71.14633179,0.00,0.00,0.02743417,77.06167603,7.91439390,2.37169409,-4.41498184,0.84681058,-1.84705186,0.11433857,-9.01689339,2.83841729,4.25132227,16.20444489,0.00006139,0.04006469,90.16990662,5.15949488,0.56539571,-2.62756324,0.14786960,3.25097275,0.18937863,-10.07626629,1.73871100,3.94175243,14.72870445,0.00013236,0.07336728,81.67949677,7.31253338,0.36149400,-8.20390987,0.47059399,5.21634007,0.16344944,-12.42619705,0.89696640,4.44091702,19.01167679,0.00001441,0.04685596,163.68589783,12.81901836,4.95722008,2.07949257,0.17531577,5.75774193,0.68672740,-2.76640296,0.10607713,1.75446105,3.08478093,0.07935043,0.05766213,142.17164612,16.15882874,4.86951017,3.93911052,0.36065230,2.69048429,0.12317863,-6.40025377,0.39878675,2.68174720,7.37760925,0.00672416,0.09338406,170.44421387,15.20302391,2.06873441,-3.70016694,0.17426361,0.08863281,0.00010995,-23.89341545,2.60471869,2.82706118,8.92812347,0.00288042,0.04685596,163.68589783,12.81901836,4.95722008,2.07949257,0.17531577,5.75774193,0.68672740,-2.76640296,0.10607713,1.75446105,3.08478093,0.07935043,0.05766213,142.17164612,16.15882874,4.86951017,3.93911052,0.36065230,2.69048429,0.12317863,-6.40025377,0.39878675,2.68174720,7.37760925,0.00672416,0.09338406,170.44421387,15.20302391,2.06873441,-3.70016694,0.17426361,0.08863281,0.00010995,-23.89341545,2.60471869,2.82706118,8.92812347,0.00288042,
-1.25,-9.58,15.00,0.68,109.00,138.00,4.00,3.14,118.00,6.92,0.61,2.51194382,2.38694859,-0.92160797,0.71896935,1.17406344,0.57546467,0.44828291,16.87,-1.92903376,-0.08631138,7.37463045,-3.85527420,-5.20981789,3.92483306,9.97975254,-2.24811769,0.53916341,0.94237053,0.37132242,0.54243017,1.15985024,-2.77415729,-3.93400741,227.80746460,0.00000000,-0.05589999,-1.85742319,-1.80152321,0.42125848,1.58,6.60,0.00717562,1.40403366,-26.12405396,6.88194370,7.95612717,0.73233402,-19.86454391,3.52011847,-7.67470598,0.54764074,-0.51822013,0.06417581,0.80006850,0.01252121,2.32366371,-31.67511368,5.62246513,11.94433689,0.80611664,-4.96042395,0.11632244,-23.70287514,2.53852820,-0.96391195,0.23232354,0.62991742,0.02037537,1.68345249,-68.41522217,8.45659924,10.00539589,0.18703836,-5.17008829,0.04298131,-27.97830391,1.21515989,-0.54274225,0.07588720,0.78301029,0.01647251,4.88109875,-25.43877220,4.71018505,4.25988340,0.17744583,3.80675626,0.07239190,-17.87273598,1.06778049,-2.05935788,1.02548051,0.31148065,0.01664586,2.91714406,-23.01331902,2.43189573,8.74348736,0.43755558,-1.35979176,0.00778872,-20.21121025,0.97924536,-1.20255089,0.36532319,0.54570911,0.02637054,3.31573391,-56.60916519,6.99687862,3.35026884,0.03486745,21.82166862,0.84411418,-35.75425720,1.42280662,-1.30251741,0.46239606,0.49667214,0.01647251,4.88109875,-25.43877220,4.71018505,4.25988340,0.17744583,3.80675626,0.07239190,-17.87273598,1.06778049,-2.05935788,1.02548051,0.31148065,0.01664586,2.91714406,-23.01331902,2.43189573,8.74348736,0.43755558,-1.35979176,0.00778872,-20.21121025,0.97924536,-1.20255089,0.36532319,0.54570911,0.02637054,3.31573391,-56.60916519,6.99687862,3.35026884,0.03486745,21.82166862,0.84411418,-35.75425720,1.42280662,-1.30251741,0.46239606,0.49667214,
-1.07,-9.21,16.00,0.83,109.00,138.00,5.00,3.02,92.00,4.87,0.61,-13.80629253,-16.78589249,-21.31539345,-14.87597084,-16.69588661,106.91069031,0.00000000,17.60,-15.44407082,-15.51728153,-16.01396370,-14.88426399,-18.99723625,-18.12240028,-22.91308212,-16.13354874,-14.83332920,-16.96736908,106.64012146,0.00000000,0.58571833,-3.01892233,-3.60464048,221.40493774,0.00000000,3.96489549,19.29375648,15.32886124,32.52584076,1.61,6.66,-0.05660111,87.35105896,6.84094191,0.47192833,26.82355690,8.32355785,-0.83055687,0.00622370,6.86135197,0.43769795,-4.69529724,5.26353502,0.02199439,-0.07063039,72.82741547,17.54267502,1.69865608,40.20921326,8.99778175,-3.24089026,0.04895202,16.44065857,1.20291138,-6.47481585,10.32803154,0.00135443,-0.13272953,69.90136719,22.44382286,0.89044327,53.51625443,5.23578548,4.75222778,0.03544992,29.75161552,1.34447491,-6.98532391,12.29954910,0.00047430,-0.08358289,130.45132446,4.14373779,0.12972611,17.64042282,3.15822506,13.98039913,1.01402020,33.18226624,3.82063961,-2.15559745,1.16620100,0.28045758,-0.09770258,101.86835480,7.67168283,0.27394634,12.43217945,0.89667952,26.21762657,2.91942668,40.02910233,3.89321780,-4.45283270,5.07638931,0.02448149,-0.13469295,85.96232605,5.93539572,0.07644308,-1.17071974,0.00426461,14.69690609,0.38050959,53.92218018,3.21594024,-6.23744345,10.53613853,0.00121160,-0.08358289,130.45132446,4.14373779,0.12972611,17.64042282,3.15822506,13.98039913,1.01402020,33.18226624,3.82063961,-2.15559745,1.16620100,0.28045758,-0.09770258,101.86835480,7.67168283,0.27394634,12.43217945,0.89667952,26.21762657,2.91942668,40.02910233,3.89321780,-4.45283270,5.07638931,0.02448149,-0.13469295,85.96232605,5.93539572,0.07644308,-1.17071974,0.00426461,14.69690609,0.38050959,53.92218018,3.21594024,-6.23744345,10.53613853,0.00121160,
-2.22,-10.22,14.00,0.74,109.00,139.00,3.00,3.29,130.00,15.81,0.70,2.94531202,3.07254219,3.38468623,2.20081019,2.90083766,20.32925606,0.00000733,7.01,1.91338801,3.67794228,3.38906431,1.57586455,5.04631281,3.61129642,2.99973965,3.17039514,2.25400066,3.06781840,22.24098396,0.00000277,1.56459045,-2.04068661,-3.60527706,253.97312927,0.00000000,9.46893215,7.51376247,-1.95517004,4.26684856,1.52,6.38,0.01149078,21.38930893,1.84304202,0.20345193,-10.02153015,6.90278196,-11.33127213,6.80444288,4.16011906,0.95589733,0.71099836,0.71706247,0.39732265,0.01409235,17.30890846,3.03366017,0.30327830,-6.31468153,1.32483494,-13.65147781,5.18218565,2.53463626,0.17069246,0.99608463,1.45931029,0.22734084,0.02634101,16.51629066,10.64604282,1.20202696,-5.32187510,0.31059378,0.82471007,0.00637075,13.55959034,1.67542887,0.86678368,1.13611722,0.28674537,0.01606942,27.46433830,1.69674563,0.12386154,1.09694958,0.06956824,-3.59939766,0.38282317,-5.48062944,0.59366482,0.07150502,0.00728132,0.93201653,0.01769632,19.40964699,2.35487008,0.14988963,3.91870403,0.51742935,-2.14740276,0.11377165,-6.96504450,0.68459278,0.62856305,0.58746684,0.44359096,0.02519705,17.68161392,-1.06100428,0.01441287,5.80594587,0.61113703,2.88422132,0.08616389,-10.87658024,0.76905191,0.88777995,1.25454628,0.26296932,0.01606942,27.46433830,1.69674563,0.12386154,1.09694958,0.06956824,-3.59939766,0.38282317,-5.48062944,0.59366482,0.07150502,0.00728132,0.93201653,0.01769632,19.40964699,2.35487008,0.14988963,3.91870403,0.51742935,-2.14740276,0.11377165,-6.96504450,0.68459278,0.62856305,0.58746684,0.44359096,0.02519705,17.68161392,-1.06100428,0.01441287,5.80594587,0.61113703,2.88422132,0.08616389,-10.87658024,0.76905191,0.88777995,1.25454628,0.26296932,
