x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L0 p-val
-8.06,-1.64,0.00,0.07,66.00,143.00,7.00,4.82,151.00,25.15,0.62,1.17827463,1.34485078,1.33960509,1.21277690,1.26887679,12.56133938,0.00041291,3.90,1.17331219,2.07687354,1.41435266,1.46988893,2.01666069,0.73106706,0.65352327,1.01469660,1.24253726,1.30901325,13.05449295,0.00031844,0.22601235,-0.72418404,-0.95019639,121.17857361,0.00000000,-2.65506363,-3.88615537,-1.23109174,5.01738691,6.28,0.00,0.00441622,10.02646351,2.71926022,1.40577865,0.14712615,0.00474199,4.46052408,3.34626412,1.46795750,0.37771529,0.25636789,0.29590017,0.58659191,0.00554884,8.64256477,-0.55189234,0.03232951,0.08539417,0.00082409,9.14382362,7.48764086,5.73568010,2.81513929,0.28234792,0.37762132,0.53902632,0.00978429,7.28985834,0.06497719,0.00012580,-2.53710437,0.22581489,10.62774467,3.40577936,8.32541847,2.02057171,0.42275327,0.86457545,0.35269790,0.00250057,2.11935496,5.03331614,3.47431207,0.07055214,0.00094580,8.40474701,6.65208387,6.17257738,2.39969110,0.82719213,3.11730313,0.07778642,0.00533902,5.71826506,2.90811610,0.73990238,0.06896666,0.00050826,10.20985413,8.32247257,10.67895603,5.20866871,0.54306161,1.41932166,0.23381295,0.00729852,4.76174021,8.45988941,2.92966819,-2.78755569,0.45212519,8.92409134,2.64656353,6.99090338,1.01978016,0.72451621,2.68188858,0.10182680,0.00250057,2.11935496,5.03331614,3.47431207,0.07055214,0.00094580,8.40474701,6.65208387,6.17257738,2.39969110,0.82719213,3.11730313,0.07778642,0.00533902,5.71826506,2.90811610,0.73990238,0.06896666,0.00050826,10.20985413,8.32247257,10.67895603,5.20866871,0.54306161,1.41932166,0.23381295,0.00729852,4.76174021,8.45988941,2.92966819,-2.78755569,0.45212519,8.92409134,2.64656353,6.99090338,1.01978016,0.72451621,2.68188858,0.10182680,
-8.65,-1.27,0.00,0.14,66.00,144.00,6.00,5.10,130.00,26.16,0.62,0.65296859,1.80140591,0.89272046,1.43780839,1.19622588,10.23786831,0.00142127,4.07,0.69095373,2.34433651,0.95929521,0.20404480,1.64991152,1.25019574,0.79560113,1.21746755,1.48612368,1.17637026,9.63014412,0.00197076,0.22891852,-1.08259189,-1.31151044,171.35385132,0.00000000,1.08317125,0.71595913,-0.36721215,0.39211142,6.28,0.00,0.00813041,31.69359970,-2.45896411,1.07205570,1.96196306,0.78306466,-3.21082449,1.61701679,1.29546666,0.27436745,-0.61360085,1.58075285,0.20896161,0.01159212,35.24191284,-5.31016397,2.79602671,0.90552205,0.08197130,-4.29127884,1.54081166,3.60712838,1.04021811,-0.60475034,1.61857772,0.20360186,0.02366287,40.19680405,-11.28635025,4.07443810,-1.98957443,0.13093422,-4.47433186,0.56910133,-1.52865493,0.06422181,-0.62114602,1.75954711,0.18500013,0.01175534,44.36957932,-3.97619486,2.05394697,-1.08767247,0.20643403,-3.19469643,0.91043621,4.89058113,1.42705882,-0.85440117,3.15050817,0.07622381,0.01879349,68.14548492,-8.13892651,5.57428598,-2.51651716,0.66427034,-5.18994808,2.06833649,3.19144297,0.44747049,-1.17422736,6.38227463,0.01168821,0.02612378,58.73968124,-10.35786057,4.22858477,-4.18317938,0.98045021,-4.00134563,0.51231551,4.87799883,0.47806028,-0.81200755,3.24365616,0.07201783,0.01175534,44.36957932,-3.97619486,2.05394697,-1.08767247,0.20643403,-3.19469643,0.91043621,4.89058113,1.42705882,-0.85440117,3.15050817,0.07622381,0.01879349,68.14548492,-8.13892651,5.57428598,-2.51651716,0.66427034,-5.18994808,2.06833649,3.19144297,0.44747049,-1.17422736,6.38227463,0.01168821,0.02612378,58.73968124,-10.35786057,4.22858477,-4.18317938,0.98045021,-4.00134563,0.51231551,4.87799883,0.47806028,-0.81200755,3.24365616,0.07201783,
-8.53,-1.84,0.00,0.12,66.00,144.00,7.00,5.09,136.00,30.46,0.62,-0.13081062,0.58251417,0.46190152,0.89438379,0.45199722,1.94469953,0.16348381,3.53,0.84195566,-0.62932515,2.00359368,0.30681005,-1.50632596,0.23412554,1.01970220,-0.36182725,0.83821309,0.30490834,0.88379711,0.34740301,0.13911660,-0.98935181,-1.12846839,151.26890564,0.00000000,-2.34528661,-3.54934740,-1.20406055,5.47124338,6.28,0.00,0.00423116,11.15674019,-3.18266177,2.33429384,0.45271951,0.05418609,-0.66442317,0.08997803,1.78304601,0.67552501,-0.52700263,1.51560104,0.21859141,0.00461563,7.23966694,-4.38838196,2.47438741,-3.00705838,1.17142391,1.82320857,0.36039090,5.63157797,3.28549719,-0.28301862,0.45939094,0.49807397,0.00989946,9.14533520,-14.66010380,8.93620014,-4.84950256,1.01113772,0.10577372,0.00038543,6.95665693,1.72888601,-0.35836729,0.76137894,0.38311805,0.00349398,4.99546862,0.21542315,0.00768862,-1.91683781,0.81720090,2.36213827,0.63434887,1.60830212,0.19670677,-0.14718711,0.11921161,0.72996766,0.00422930,4.30319118,-1.27442646,0.17036609,-4.26700830,2.38131571,0.95154941,0.08663070,4.64005995,1.17930520,-0.05339972,0.01645755,0.89794906,0.00374800,1.51665616,0.10505267,0.00053141,-4.06282091,1.16007721,2.84323239,0.32446635,7.29843473,1.34242821,0.18364179,0.20808662,0.64837561,0.00349398,4.99546862,0.21542315,0.00768862,-1.91683781,0.81720090,2.36213827,0.63434887,1.60830212,0.19670677,-0.14718711,0.11921161,0.72996766,0.00422930,4.30319118,-1.27442646,0.17036609,-4.26700830,2.38131571,0.95154941,0.08663070,4.64005995,1.17930520,-0.05339972,0.01645755,0.89794906,0.00374800,1.51665616,0.10505267,0.00053141,-4.06282091,1.16007721,2.84323239,0.32446635,7.29843473,1.34242821,0.18364179,0.20808662,0.64837561,
-9.55,-0.96,0.00,0.16,66.00,145.00,4.00,5.57,128.00,22.07,0.57,2.84625316,2.88160658,2.82737541,2.66428113,2.80487895,51.58009720,0.00000000,4.26,3.15062952,3.20963621,3.69253111,3.21486640,1.17026067,2.39926696,3.93037963,1.69052303,2.63083506,2.78487110,50.21694946,0.00000000,0.01087027,-1.46438479,-1.47525501,201.11331177,0.00000000,-6.08425379,-7.51293850,-1.42868471,4.13830805,6.28,0.00,0.00651246,18.34248924,-2.79170561,1.24642718,0.79091012,0.11478151,-4.10299873,2.38179612,0.60005468,0.05308246,1.38376606,7.25144672,0.00720925,0.00852072,17.07351303,-1.13158429,0.11386378,0.75838149,0.05162108,-4.32077074,1.40067315,1.16223085,0.09686919,1.51720381,9.13491249,0.00257511,0.01787611,20.62506294,-3.62624025,0.37821358,3.26399279,0.31690183,-4.29302406,0.47108757,2.88939953,0.20632739,1.39197600,7.94472456,0.00492306,0.00837972,20.13134003,-2.48423839,0.71585631,-1.55953550,0.37888864,-3.95606184,1.24653506,4.97418547,1.31811011,1.37239969,7.25797892,0.00718328,0.01399629,33.40813446,-6.27818727,2.93181157,-2.46212292,0.56203586,-5.09726477,1.76355910,3.00427914,0.35042176,1.05536592,4.55699539,0.03304019,0.01936775,28.63274384,-7.20296955,1.81350482,-3.50151086,0.60918903,-5.17249584,0.75915152,1.41292489,0.03553155,1.32647276,7.67631865,0.00570432,0.00837972,20.13134003,-2.48423839,0.71585631,-1.55953550,0.37888864,-3.95606184,1.24653506,4.97418547,1.31811011,1.37239969,7.25797892,0.00718328,0.01399629,33.40813446,-6.27818727,2.93181157,-2.46212292,0.56203586,-5.09726477,1.76355910,3.00427914,0.35042176,1.05536592,4.55699539,0.03304019,0.01936775,28.63274384,-7.20296955,1.81350482,-3.50151086,0.60918903,-5.17249584,0.75915152,1.41292489,0.03553155,1.32647276,7.67631865,0.00570432,
-9.39,-1.29,0.00,0.20,66.00,145.00,5.00,5.51,134.00,22.86,0.62,-1.14868295,0.63324487,-0.56515896,-0.26428470,-0.33622044,0.84587467,0.35795449,3.98,-0.67539203,-0.66745096,-1.04464877,-0.56227428,-0.60871208,0.44341353,-0.18985449,0.35204688,-0.25615141,-0.35620162,0.91347623,0.33943715,0.02259422,-1.52863801,-1.55123222,198.35333252,0.00000000,-2.42429876,-2.48335719,-0.05905829,0.00729791,6.28,0.00,0.00275549,3.68554688,-3.74457908,2.51690793,-0.09210223,0.00173123,-0.79750037,0.10100824,-0.37330920,0.02304325,-0.97168982,4.01310730,0.04543182,0.00433162,4.98345757,-6.08086824,3.71328568,-4.04730558,1.65855336,-1.61025810,0.21971288,2.19954395,0.39174032,-0.96491581,4.17310524,0.04134632,0.00801139,4.67663813,-16.93159103,9.30717182,-5.24347353,0.92300087,0.03893957,0.00006019,-3.48424149,0.33862427,-0.95029479,4.18019772,0.04117442,0.00454053,6.63954926,-2.67480421,0.93229645,-2.95394874,1.52740610,0.78613371,0.05529912,1.50283766,0.13516231,-1.11692119,5.40026188,0.02034414,0.00694893,9.16876316,-4.41084862,1.61120415,-4.67503071,2.25609469,2.01554012,0.30699053,0.43712163,0.00823853,-1.22201467,6.80256128,0.00924576,0.00855179,6.24115467,-2.82841969,0.31263679,-4.36427689,1.05810452,8.70052147,2.40160275,-5.09494209,0.51714087,-1.04212260,5.29712343,0.02157654,0.00454053,6.63954926,-2.67480421,0.93229645,-2.95394874,1.52740610,0.78613371,0.05529912,1.50283766,0.13516231,-1.11692119,5.40026188,0.02034414,0.00694893,9.16876316,-4.41084862,1.61120415,-4.67503071,2.25609469,2.01554012,0.30699053,0.43712163,0.00823853,-1.22201467,6.80256128,0.00924576,0.00855179,6.24115467,-2.82841969,0.31263679,-4.36427689,1.05810452,8.70052147,2.40160275,-5.09494209,0.51714087,-1.04212260,5.29712343,0.02157654,
-9.22,-1.69,0.00,0.21,66.00,145.00,6.00,5.45,137.00,30.17,0.62,0.72023088,1.13254941,2.34417462,0.43387794,1.15770817,11.00188923,0.00094456,3.80,0.48296514,1.79627097,0.91594535,1.52110398,0.49712920,1.90985358,1.45583999,2.55575204,0.42721185,1.28339005,13.10108948,0.00031072,0.02363247,-1.47193301,-1.49556553,191.46046448,0.00000000,-1.94203734,-4.54482746,-2.60279012,20.55006218,6.28,0.00,0.00083770,0.37651137,1.23724258,0.30372971,4.69743776,5.02318668,0.40566555,0.02890150,5.47874403,5.49115372,0.86329621,3.50143695,0.06162311,0.00011824,0.00409714,3.91804743,1.69839644,0.15356152,0.00264332,2.56049085,0.61205971,10.96209526,10.71937180,1.07439399,5.69997978,0.01715997,-0.00195457,0.30842689,14.43610764,7.49620724,-5.32755804,1.05572021,2.50977206,0.20132773,20.71196365,13.25815487,1.28091633,8.41495228,0.00380741,0.00442229,6.97681427,1.61553872,0.37676814,-4.42423153,3.79535675,1.12332511,0.12510268,8.28434563,4.54975557,0.46886665,1.05418098,0.30480776,0.00746545,11.77964211,3.65924287,1.23433948,-6.14268875,4.33565092,1.14668632,0.11064876,10.27863884,5.08422041,0.29876402,0.45263577,0.50124971,0.01107633,11.68199253,7.68536234,2.57538390,-4.75206566,1.39967251,0.36601374,0.00475373,16.55874252,6.09441710,0.39179459,0.83538455,0.36095229,0.00442229,6.97681427,1.61553872,0.37676814,-4.42423153,3.79535675,1.12332511,0.12510268,8.28434563,4.54975557,0.46886665,1.05418098,0.30480776,0.00746545,11.77964211,3.65924287,1.23433948,-6.14268875,4.33565092,1.14668632,0.11064876,10.27863884,5.08422041,0.29876402,0.45263577,0.50124971,0.01107633,11.68199253,7.68536234,2.57538390,-4.75206566,1.39967251,0.36601374,0.00475373,16.55874252,6.09441710,0.39179459,0.83538455,0.36095229,
-9.07,-2.06,0.00,0.17,66.00,145.00,7.00,5.41,132.00,30.64,0.62,-0.11007741,-0.20921254,0.73086601,0.51515210,0.23168203,0.64671415,0.42149026,3.14,-0.84588349,0.23575246,0.84558469,-0.40746325,1.08748877,-0.29449895,0.34676841,0.16318557,0.51768249,0.18299645,0.39421877,0.53024118,0.04582697,-1.25789428,-1.30372131,168.70280457,0.00000000,1.20484173,-0.23692603,-1.44176781,7.79515409,6.28,0.00,-0.00207521,3.37439942,0.96149498,0.26789361,-0.22665590,0.01715290,-3.23720264,2.68625975,-0.96360314,0.24813886,0.75710702,3.93292880,0.04763732,-0.00235521,2.36873007,2.01098919,0.65289074,-2.55372763,1.06159842,-4.52321005,2.78737092,3.66152692,1.74525309,0.67795277,3.31209445,0.06908671,-0.00550862,3.52740288,1.86071515,0.17926995,1.29875398,0.09035514,-2.32659745,0.24917276,0.01496373,0.00000000,0.66809052,3.29608989,0.06976051,0.00065427,0.22032824,0.16350833,0.00555369,-1.98398817,1.10116243,-0.99718332,0.14219359,-0.02966950,0.00009575,0.15121526,0.15818438,0.69092309,0.00158198,0.75710654,-0.49030039,0.03180556,-2.13858414,0.75212497,-0.82097661,0.08114251,-2.89548945,0.57748175,0.04742438,0.01638178,0.89818295,0.00045244,0.02794587,1.98438179,0.24548340,-1.73670340,0.26730415,-2.14623952,0.23313746,1.22339392,0.04756540,0.22694412,0.40071696,0.52687173,0.00065427,0.22032824,0.16350833,0.00555369,-1.98398817,1.10116243,-0.99718332,0.14219359,-0.02966950,0.00009575,0.15121526,0.15818438,0.69092309,0.00158198,0.75710654,-0.49030039,0.03180556,-2.13858414,0.75212497,-0.82097661,0.08114251,-2.89548945,0.57748175,0.04742438,0.01638178,0.89818295,0.00045244,0.02794587,1.98438179,0.24548340,-1.73670340,0.26730415,-2.14623952,0.23313746,1.22339392,0.04756540,0.22694412,0.40071696,0.52687173,
-10.24,-0.35,0.00,0.14,66.00,146.00,3.00,5.92,130.00,19.22,0.60,1.91602314,1.60322404,1.85234821,1.55371904,1.73132861,15.43070316,0.00009175,4.80,1.13146079,1.73804259,1.40565503,1.52359951,2.27642322,2.02421427,0.80569440,3.52345848,1.55975842,1.77470207,15.89818668,0.00007198,-0.27108604,-1.53737819,-1.26629210,157.98835754,0.00000000,1.60328841,-0.26822048,-1.87150884,6.85835552,6.28,0.00,0.00169168,0.95454884,2.29772520,0.65121663,-3.25881767,1.50295901,1.32630992,0.19191076,0.82497460,0.07737146,1.41964138,5.88671255,0.01544100,0.00292032,1.54847836,2.88703299,0.57220131,0.55694640,0.02140527,-2.33383465,0.31550214,-4.02148819,0.89516664,1.33816850,5.48688364,0.01936554,0.00500154,1.23999870,1.39012825,0.04266820,-3.06629896,0.21473327,4.34095478,0.36984572,2.00737596,0.07640967,1.33717811,5.63097477,0.01784422,0.00904723,18.50833702,1.34241855,0.16489770,0.89495885,0.09843383,5.53461409,1.92442346,-12.66983032,6.74507332,0.05629065,0.00967512,0.92166547,0.01006045,13.33300686,0.55450082,0.01768934,2.52629447,0.45708591,5.36798191,1.51076984,-11.81514645,4.18695021,0.35892406,0.40718859,0.52355387,0.01498822,13.30340958,-4.01020718,0.43614051,1.86153233,0.13358209,10.90806103,2.61950803,-11.39347553,1.79444706,0.46992037,0.74744338,0.38750535,0.00904723,18.50833702,1.34241855,0.16489770,0.89495885,0.09843383,5.53461409,1.92442346,-12.66983032,6.74507332,0.05629065,0.00967512,0.92166547,0.01006045,13.33300686,0.55450082,0.01768934,2.52629447,0.45708591,5.36798191,1.51076984,-11.81514645,4.18695021,0.35892406,0.40718859,0.52355387,0.01498822,13.30340958,-4.01020718,0.43614051,1.86153233,0.13358209,10.90806103,2.61950803,-11.39347553,1.79444706,0.46992037,0.74744338,0.38750535,
-10.13,-0.97,2.00,0.21,66.00,146.00,4.00,5.89,136.00,23.01,0.54,2.24700928,2.48472905,2.32991290,2.23094988,2.32315040,33.39602661,0.00000001,4.38,1.52745056,2.44906044,3.52372837,1.97415590,1.49125695,1.84039533,2.62273955,3.03017116,2.19614768,2.29271674,31.85489655,0.00000002,-0.25844851,-1.75332773,-1.49487925,194.86106873,0.00000000,0.90489244,0.13032238,-0.77457005,1.35176170,6.28,0.00,0.00344628,4.77971697,0.26507178,0.01039392,-2.38096929,0.96792114,0.53403056,0.03751709,2.15262771,0.63581073,1.58794582,8.88600731,0.00294698,0.00369039,2.98286247,-2.23204684,0.41252774,0.59907317,0.02987611,1.14945912,0.09229937,6.06439686,2.45557880,1.68757355,10.52608585,0.00121814,0.00510218,1.55363011,-2.32732606,0.14404452,-0.59436351,0.00976072,2.58538532,0.15804474,7.54236126,1.29975283,1.87000608,13.25781441,0.00028612,0.00714196,13.82263565,1.71270180,0.32163954,2.07706976,0.63541454,3.52487445,0.93547702,8.69273567,3.80522776,1.05179739,4.02966976,0.04498982,0.01220391,24.01410103,0.55654633,0.02175357,3.28680134,0.94694406,4.56825924,1.33922315,10.31785202,3.90818691,0.72575253,2.03748202,0.15379245,0.01646426,19.58791542,4.00184155,0.52985352,3.20117402,0.48198989,5.37605095,0.77638686,16.84124565,4.78412819,1.06348538,4.67102385,0.03092516,0.00714196,13.82263565,1.71270180,0.32163954,2.07706976,0.63541454,3.52487445,0.93547702,8.69273567,3.80522776,1.05179739,4.02966976,0.04498982,0.01220391,24.01410103,0.55654633,0.02175357,3.28680134,0.94694406,4.56825924,1.33922315,10.31785202,3.90818691,0.72575253,2.03748202,0.15379245,0.01646426,19.58791542,4.00184155,0.52985352,3.20117402,0.48198989,5.37605095,0.77638686,16.84124565,4.78412819,1.06348538,4.67102385,0.03092516,
-10.01,-1.51,0.00,0.25,66.00,146.00,5.00,5.86,128.00,23.91,0.57,2.80729294,2.39365411,3.60377479,3.42865753,3.05834484,58.54887390,0.00000000,4.36,2.06673717,3.46969342,3.27955294,3.74157882,3.81793523,2.15222073,2.70818472,2.48605394,3.44286871,3.01529574,55.42119980,0.00000000,-0.19894764,-1.82593083,-1.62698317,205.73309326,0.00000000,2.86587095,1.83706677,-1.02880406,2.15034747,6.28,0.00,0.00708063,20.71834946,-1.82172596,0.50711805,-1.00439227,0.17686619,-3.05222726,1.25940919,-0.19953485,0.00559060,1.54606354,8.64956951,0.00335084,0.01032074,24.11251831,1.19911158,0.12310287,0.73991066,0.04723715,-4.46950436,1.44277787,-4.29103804,1.27069962,1.53991306,9.05859184,0.00268376,0.01619196,16.15813065,-2.47656059,0.16840507,9.22317982,2.41550303,-4.30052567,0.45135412,7.38998270,1.28849232,1.70499122,11.38159657,0.00077177,0.01005500,27.85542107,1.05482447,0.12403741,-2.98414660,1.33355594,-0.47501335,0.01732423,-2.95779681,0.44796982,1.32756937,6.52682829,0.01078101,0.01125725,20.38977432,2.11893773,0.31501529,-3.42228723,1.02443659,1.74402404,0.19475710,-8.29826069,2.52256823,1.63629878,10.33527279,0.00134919,0.01795451,23.44987297,6.21009970,1.28468072,-0.99423128,0.04685330,-2.39297080,0.15488188,-10.73328876,1.95617652,1.69409025,11.93214512,0.00057614,0.01005500,27.85542107,1.05482447,0.12403741,-2.98414660,1.33355594,-0.47501335,0.01732423,-2.95779681,0.44796982,1.32756937,6.52682829,0.01078101,0.01125725,20.38977432,2.11893773,0.31501529,-3.42228723,1.02443659,1.74402404,0.19475710,-8.29826069,2.52256823,1.63629878,10.33527279,0.00134919,0.01795451,23.44987297,6.21009970,1.28468072,-0.99423128,0.04685330,-2.39297080,0.15488188,-10.73328876,1.95617652,1.69409025,11.93214512,0.00057614,
