x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
-0.48,8.63,0.00,0.44,105.00,192.00,15.00,3.08,178.00,20.74,0.62,5.38176203,4.39474058,5.76492214,5.20022678,5.18541288,124.80586243,0.00000000,4.57,4.89692688,5.08332205,5.52087069,4.56723881,4.07722425,4.39226246,6.42561102,5.54648733,5.07154894,5.05954552,116.15454102,0.00000000,1.42569625,-1.36073828,-2.78643465,286.56210327,0.00000000,4.74426317,3.03217125,-1.71209180,4.42784023,2.54,3.95,
-0.88,9.04,11.00,0.42,105.00,192.00,16.00,3.20,172.00,18.18,0.65,5.73163843,4.00923014,4.34020138,3.31106687,4.34803438,57.93134689,0.00000000,5.62,4.77265263,3.95217013,4.81329250,3.30750751,6.32408381,3.63261366,6.29940701,5.20074129,3.43856859,4.63325500,64.51753998,0.00000000,1.54283273,-1.47240162,-3.01523423,280.68801880,0.00000000,-0.15301241,-2.13497424,-1.98196185,5.26621437,2.51,3.70,
-0.33,8.73,8.00,0.54,105.00,193.00,15.00,3.14,135.00,14.48,0.63,9.62027168,7.67551374,8.55697536,8.46687984,8.57991028,184.62272644,0.00000000,6.22,7.43516827,9.16947365,8.41477489,10.00063801,5.61156178,8.17411804,8.71775818,8.86000156,8.12427330,8.27036190,168.52488708,0.00000000,2.18550563,-1.31529379,-3.50079942,305.64181519,0.00000000,0.80409527,-4.87131453,-5.67540979,27.40071487,2.55,4.13,
-0.90,9.16,15.00,0.59,105.00,193.00,16.00,3.25,173.00,4.75,0.67,26.59612656,19.96319199,26.82523155,22.39369965,23.94456291,184.75086975,0.00000000,17.34,22.46532440,21.43147850,26.95428276,21.76551056,21.20919609,24.91571808,23.89290810,26.99751282,21.65548325,23.45290375,171.40827942,0.00000000,2.42103791,-1.41701245,-3.83805037,283.83056641,0.00000000,-10.11789989,-21.02759552,-10.90969563,11.45167923,2.50,3.87,
0.53,8.47,0.00,0.66,105.00,194.00,15.00,3.20,149.00,13.73,0.67,15.35430241,13.85017395,15.34680080,14.57780170,14.78226948,352.84197998,0.00000000,7.75,12.30390263,17.96659660,14.70993423,14.54825115,12.45383358,14.01104164,13.73634529,16.41219330,14.22597313,14.47085571,334.90493774,0.00000000,2.83650184,-1.19402492,-4.03052664,329.63497925,0.00000000,3.68361115,1.73650217,-1.94710898,1.82580566,2.55,4.13,
-0.44,8.96,0.00,0.73,105.00,194.00,16.00,3.23,160.00,3.74,0.71,52.36104202,41.32131577,54.31809616,51.69707870,49.92438126,437.27676392,0.00000000,23.50,42.09629822,54.41486740,49.88796616,41.39644241,38.71081161,55.99872208,52.18440247,48.71850204,49.88991165,48.09606934,396.37008667,0.00000000,3.17925477,-1.29355478,-4.47280931,303.58193970,0.00000000,19.50474739,-0.78079587,-20.28554153,28.08223343,2.50,3.87,
-1.80,9.60,20.00,0.76,105.00,194.00,17.00,3.35,178.00,11.73,0.73,15.45221615,11.05460453,12.31064987,12.06097317,12.71961117,246.18087769,0.00000000,7.98,9.74991131,14.79473114,13.25298691,12.01672077,12.80326748,13.57594013,11.56710529,13.28293896,11.74848270,12.51992130,230.00294495,0.00000000,2.91949534,-1.38512897,-4.30462408,294.60122681,0.00000000,14.02759743,9.01971436,-5.00788355,13.18378067,2.40,3.04,
1.48,8.23,0.00,0.73,105.00,195.00,15.00,3.34,123.00,16.62,0.69,10.39989758,9.16216564,10.27373505,8.69856739,9.63359165,310.67257690,0.00000000,5.38,9.61870956,10.38698006,10.43017673,8.40360546,7.75274563,9.76035500,11.58683586,10.52960873,8.51848507,9.65561295,308.63827515,0.00000000,2.95083189,-1.13278043,-4.08361244,347.87695312,0.00000000,5.75948191,0.24145901,-5.51802301,37.49209976,2.57,4.31,
0.04,8.75,21.00,0.81,105.00,195.00,16.00,3.22,150.00,14.31,0.76,17.70510864,15.46606350,15.27174950,14.14027786,15.64579964,568.71710205,0.00000000,6.46,15.56670666,16.62849236,16.28188705,15.62767887,15.12854767,15.46612835,15.42156315,18.01824760,14.04894352,15.78288937,560.68676758,0.00000000,3.31544948,-1.27846348,-4.59391308,331.38018799,0.00000000,11.32467556,1.25680661,-10.06786919,101.66162872,2.53,4.13,
-3.48,10.15,19.00,0.82,105.00,195.00,17.00,3.57,178.00,15.84,0.76,13.90231323,11.74907494,12.33869076,12.00765228,12.49943256,445.28125000,0.00000000,5.83,12.61892319,12.21115494,14.64356232,11.01689243,11.77478409,12.15489197,12.24127007,13.68234158,11.92579174,12.46192741,432.35317993,0.00000000,3.09783936,-1.47503746,-4.57287693,324.56240845,0.00000000,7.97467232,1.39190328,-6.58276892,47.54496765,2.35,2.83,
