x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
4.44,5.50,0.00,0.13,80.00,157.00,9.00,4.81,nan,27.03,0.64,0.50119388,0.93134654,0.07299539,0.81259292,0.57953221,1.93283927,0.16477515,3.91,0.44491750,0.64018089,0.00077017,-0.37038198,1.42240798,0.49844435,0.20183946,0.90794194,0.80004919,0.50462484,1.44923651,0.22895324,0.10081231,-0.35980293,-0.46061525,21.82048035,0.00000462,0.98564023,1.03902245,0.05338220,0.00849040,6.28,0.00,
4.37,5.64,0.00,0.20,80.00,158.00,9.00,4.84,nan,26.69,0.57,0.66907734,1.59228611,0.35023218,0.56170118,0.79332417,3.63793373,0.05677961,3.91,0.82642335,0.42871764,1.55634749,0.73257852,0.35198501,0.81264973,1.67279470,0.90239304,0.60443586,0.87560415,4.35689211,0.03712804,0.04240487,-0.39871243,-0.44111729,22.44025040,0.00000342,2.22001219,3.11008930,0.89007711,2.32506967,6.28,0.00,
4.32,5.90,0.00,0.21,80.00,159.00,9.00,4.93,nan,27.85,0.57,-1.68363857,-1.19121683,-0.41468689,-0.90938663,-1.04973221,5.71810484,0.01698540,4.12,-1.12670350,-1.22352886,-0.21396601,-1.80884266,-1.25313294,-0.97692817,-0.84366703,-0.56118953,-0.75597185,-0.97279632,4.83018017,0.02820869,0.04549941,-0.36800075,-0.41350016,21.05179596,0.00000671,0.52933174,1.53649163,1.00715983,2.79017997,6.28,0.00,
4.40,6.34,0.00,0.20,80.00,160.00,9.00,5.18,nan,24.98,0.60,-0.88468629,-1.08363628,-0.46062857,-0.51070219,-0.73491335,2.62789464,0.10533410,4.26,-0.53193629,-1.12141836,0.46681154,-0.84623075,-1.42409003,-1.12223971,-0.97707653,-0.50877905,-0.43129504,-0.72108424,2.50680161,0.11369179,0.03261576,-0.26658317,-0.29919893,10.67908764,0.00121621,2.23541546,2.51364231,0.27822679,0.21711875,6.28,0.00,
4.45,6.48,0.00,0.10,80.00,161.00,9.00,5.27,nan,21.65,0.60,0.37380314,0.16341029,0.77854842,0.60344732,0.47980228,0.93976861,0.33258514,4.65,0.91957039,2.32799840,0.90859151,0.31612784,-1.21663392,-0.30689681,-0.51546955,1.14168000,0.65575027,0.46960971,0.90413761,0.34191884,-0.07020666,-0.17915124,-0.10894458,1.23869610,0.26666034,-0.60913217,0.87444347,1.48357558,4.31440306,6.28,0.00,
5.49,4.22,0.00,0.11,81.00,155.00,12.00,4.84,nan,26.57,0.75,1.54964733,1.97975206,1.42017353,1.16041315,1.52749646,15.25366020,0.00010068,3.67,1.22498858,1.74272299,1.29762650,2.08400083,1.48143697,1.35803890,2.20213795,1.94812036,1.16451216,1.60989797,16.73012161,0.00004678,-0.00677553,-0.60268271,-0.59590715,43.11355209,0.00000000,1.18252659,0.08445971,-1.09806693,2.97804403,6.28,0.00,
6.61,4.19,0.00,0.14,81.00,155.00,14.00,5.50,nan,23.80,0.72,0.37676024,-0.02052905,-0.09012054,-0.41621771,-0.03752677,0.00649685,0.93577469,4.37,-0.98308897,0.03959069,0.28511906,-0.79573321,0.21119027,0.82338834,-0.10637072,1.09388292,-0.42569542,0.01579340,0.00118423,0.97255544,-0.33703762,-0.65752006,-0.32048240,13.40077305,0.00029968,-1.77585769,-2.24429059,-0.46843290,0.51995528,6.28,0.00,
6.62,4.22,0.00,0.12,81.00,155.00,15.00,5.51,nan,21.50,0.73,0.18504535,-0.41040546,-0.44579232,-0.57789153,-0.31226099,0.40220162,0.52610775,4.62,-0.03427288,-0.14719361,-0.58534002,-1.40292978,-0.42415541,-0.34830430,0.34277996,0.55047947,-0.59281844,-0.29323483,0.35097831,0.55370218,-0.52550441,-0.71339774,-0.18789333,3.94493985,0.04797028,-4.15027857,-4.85613298,-0.70585459,0.80221277,6.28,0.00,
4.21,4.83,0.00,0.19,81.00,156.00,9.00,4.39,nan,23.20,0.81,0.84030586,0.21218896,0.29759818,0.91818875,0.56707042,1.47741318,0.22448294,4.38,1.68384373,-0.20335808,0.80224514,0.04145397,-0.09978055,0.00125615,0.29433390,0.91530299,0.90719903,0.48201710,1.05931866,0.30363511,0.12643588,-0.54201049,-0.66844636,34.52757263,0.00000001,0.61247092,-0.92308569,-1.53555667,6.10197878,6.28,0.00,
4.49,4.80,0.00,0.14,81.00,156.00,10.00,4.53,nan,23.79,0.79,0.40657854,0.77047211,0.82043082,0.22160950,0.55477273,1.37900901,0.24056555,4.44,1.81530857,-0.15905268,1.12919927,1.39672542,0.22122356,0.83503437,0.92815256,-0.61259151,0.22869839,0.64187950,1.83785963,0.17552728,0.06710096,-0.59257656,-0.65967751,37.93429184,0.00000000,-0.97739154,-0.89322209,0.08416948,0.02004646,6.28,0.00,
