x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L0 p-val
-9.91,-3.13,7.00,0.15,117.00,122.00,6.00,2.67,95.00,15.51,0.70,4.31530905,2.97742438,4.48574829,4.33013964,4.02715540,33.59389114,0.00000001,6.93,2.52514100,2.39187431,4.44178152,3.90721154,4.15105057,3.86439204,4.65105247,5.85511351,4.28580046,4.00414944,31.99620628,0.00000002,-1.12054634,-1.03496146,0.08558486,0.37193164,0.54243578,3.32557392,2.65756273,-0.66801113,0.40105930,1.16,3.68,0.00880686,10.58562756,7.74547815,3.44278669,-1.67028058,0.15887803,-2.66503668,0.50543827,-5.71240139,2.07761812,2.04467821,4.52840281,0.03360791,0.01547547,14.69934750,9.72169018,2.08103442,-2.13366055,0.09212556,-3.59883356,0.28314167,-5.64251137,0.83247453,1.06911623,1.05070269,0.30562073,0.02506129,9.89542007,15.16331768,1.58896947,-5.51583338,0.15010794,-10.90577126,0.61817586,-1.60971391,0.02159500,1.37746930,1.54479790,0.21422876,0.01272107,7.85103416,0.28940633,0.00240866,2.11048746,0.09040010,-4.85954189,0.73260963,6.39576817,0.74119049,1.66553080,2.32631588,0.12755392,0.01094183,2.90757036,8.02390099,0.88077438,0.29046693,0.00090220,-0.04565096,0.00000000,24.74315453,4.61897182,2.61391473,6.15895462,0.01325638,0.00514825,0.58989996,-2.39642692,0.09398762,13.62779617,2.66370821,14.41660595,3.19257617,10.27373981,2.11149335,3.54401922,16.44047737,0.00005455,0.01272107,7.85103416,0.28940633,0.00240866,2.11048746,0.09040010,-4.85954189,0.73260963,6.39576817,0.74119049,1.66553080,2.32631588,0.12755392,0.01094183,2.90757036,8.02390099,0.88077438,0.29046693,0.00090220,-0.04565096,0.00000000,24.74315453,4.61897182,2.61391473,6.15895462,0.01325638,0.00514825,0.58989996,-2.39642692,0.09398762,13.62779617,2.66370821,14.41660595,3.19257617,10.27373981,2.11149335,3.54401922,16.44047737,0.00005455,
-9.88,-2.21,6.00,0.13,117.00,123.00,6.00,2.46,106.00,15.02,0.68,-2.22007132,-0.78917968,-0.75122118,-0.86601985,-1.15662301,2.38820386,0.12260361,7.47,0.06390288,-3.84565735,0.75948411,-3.88021398,-3.95685983,2.11847830,0.00115728,-0.64984411,-1.00549161,-1.15384996,2.35280156,0.12540951,-1.39774001,-1.39577997,0.00196002,0.00017035,0.98959557,5.22699976,5.60248137,0.37548164,0.12577739,1.14,3.54,-0.00638832,4.75607109,5.76672125,1.62952113,-4.80047464,1.12039292,0.15769377,0.00148868,-1.39834750,0.10627875,0.47239503,0.20634387,0.64975778,-0.00795462,3.29154944,3.41803455,0.21800219,-3.49316335,0.20936970,2.05573654,0.07827206,-0.67019761,0.00992090,0.43237808,0.14565690,0.70281091,0.00821986,0.90825433,-8.45288563,0.42127076,18.66473007,1.46668446,15.96753311,1.13077605,-3.38942838,0.08188333,-2.22150230,3.42834115,0.06441382,0.00737765,2.25603795,-5.00693893,0.63026047,-0.54012203,0.00508015,1.75694644,0.08186120,-3.43793225,0.18301412,-2.57244229,4.74119759,0.02970770,0.02324829,11.33660221,-2.66821575,0.08408979,-7.86744356,0.55681080,-0.72050160,0.00558434,1.20944142,0.00948039,-4.04808998,12.75775242,0.00037333,0.03658438,26.27578163,6.18783188,0.55296457,-3.92227054,0.19460697,7.31031370,0.72406507,3.56638885,0.22440389,-4.02354193,18.69100952,0.00001709,0.00737765,2.25603795,-5.00693893,0.63026047,-0.54012203,0.00508015,1.75694644,0.08186120,-3.43793225,0.18301412,-2.57244229,4.74119759,0.02970770,0.02324829,11.33660221,-2.66821575,0.08408979,-7.86744356,0.55681080,-0.72050160,0.00558434,1.20944142,0.00948039,-4.04808998,12.75775242,0.00037333,0.03658438,26.27578163,6.18783188,0.55296457,-3.92227054,0.19460697,7.31031370,0.72406507,3.56638885,0.22440389,-4.02354193,18.69100952,0.00001709,
-10.38,-2.23,9.00,0.26,117.00,123.00,7.00,2.61,123.00,15.75,0.67,3.50194383,3.07732439,3.62412119,2.53170729,3.18377423,21.77888489,0.00000352,6.81,1.82611346,3.31593323,3.19060016,4.50195074,2.30074644,3.30115199,3.92575574,5.01825333,2.52433276,3.31943703,22.87207985,0.00000202,-1.54329717,-1.23373592,0.30956128,5.00102091,0.02610076,-0.11877223,-0.65443617,-0.53566390,0.32079348,1.18,3.46,0.00205391,0.59174484,5.26132298,1.63259566,-3.23475933,0.61231101,-8.88848877,5.77808142,1.20200801,0.09457322,2.80144453,8.73657131,0.00320028,0.00675758,2.87187171,8.26756191,1.54213274,-7.32437754,1.11282790,-12.69734669,3.61170602,0.07184213,0.00007789,1.96264005,3.62813997,0.05712882,0.00221449,0.07919309,15.16351986,1.62755716,-0.53224432,0.00146940,-8.18651485,0.35683289,-0.43971860,0.00170141,3.03226447,7.66765404,0.00573755,0.00347738,0.60264939,-0.91882402,0.02551633,2.90993953,0.17660396,5.59378672,0.99722469,-1.24674475,0.02899583,2.45898080,5.20912075,0.02270127,0.02089136,11.03062153,3.29340076,0.15437126,-4.07527351,0.17995636,6.73177528,0.59166521,-4.83797216,0.18371198,0.56312245,0.29747570,0.58560442,0.03178499,23.92857552,0.95211011,0.01581727,-4.10156727,0.25683096,17.29852867,4.89145136,7.03501654,1.05360603,0.60488719,0.50966763,0.47546787,0.00347738,0.60264939,-0.91882402,0.02551633,2.90993953,0.17660396,5.59378672,0.99722469,-1.24674475,0.02899583,2.45898080,5.20912075,0.02270127,0.02089136,11.03062153,3.29340076,0.15437126,-4.07527351,0.17995636,6.73177528,0.59166521,-4.83797216,0.18371198,0.56312245,0.29747570,0.58560442,0.03178499,23.92857552,0.95211011,0.01581727,-4.10156727,0.25683096,17.29852867,4.89145136,7.03501654,1.05360603,0.60488719,0.50966763,0.47546787,
-10.47,-2.02,12.00,0.40,117.00,123.00,8.00,2.61,118.00,12.30,0.68,4.53394175,0.91670036,3.35259938,3.64968562,3.11323190,14.45736790,0.00015298,8.17,4.95879269,1.92505634,6.23882484,3.28723407,1.77045929,2.33206320,0.04911974,3.26263452,3.63455796,3.04792047,13.35324669,0.00027290,-1.68521321,-1.22652805,0.45868516,12.53619099,0.00046555,-5.32244539,-3.43161511,1.89083028,2.44281197,1.18,3.46,0.00463784,2.10557508,4.37815714,0.78897226,12.35931969,6.23843718,-2.79188800,0.39785689,6.07610035,1.68591714,1.88543701,2.76172924,0.09689207,0.00463911,0.94960809,-1.92828691,0.05885188,29.09127617,12.31741905,-4.54827070,0.32518804,8.93464375,1.50053155,2.08908391,2.88412428,0.08980228,0.01634890,3.03669167,-4.25484943,0.09021924,50.81147766,9.18624687,-11.50031757,0.49574307,1.97751153,0.02357570,1.16574538,0.79787135,0.37196934,0.02592085,24.01895332,5.50286818,0.65656590,11.91448975,2.12321806,-2.21516776,0.11214532,-2.21125126,0.06527945,-1.68518531,1.75483572,0.18560622,0.03686450,24.43010139,0.42869434,0.00183651,23.97874451,4.43311453,-11.76351357,1.28516793,1.87536323,0.01964510,-1.42819500,1.36096573,0.24367921,0.02434093,9.55771923,12.36050415,1.81297576,2.35374570,0.05756515,-10.24066162,1.16757143,3.78987813,0.20822479,1.32053304,1.65442669,0.19868829,0.02592085,24.01895332,5.50286818,0.65656590,11.91448975,2.12321806,-2.21516776,0.11214532,-2.21125126,0.06527945,-1.68518531,1.75483572,0.18560622,0.03686450,24.43010139,0.42869434,0.00183651,23.97874451,4.43311453,-11.76351357,1.28516793,1.87536323,0.01964510,-1.42819500,1.36096573,0.24367921,0.02434093,9.55771923,12.36050415,1.81297576,2.35374570,0.05756515,-10.24066162,1.16757143,3.78987813,0.20822479,1.32053304,1.65442669,0.19868829,
-9.62,-1.73,5.00,0.10,117.00,124.00,6.00,2.32,100.00,10.80,0.69,3.70436740,4.29752779,3.44564462,3.46627331,3.72845316,16.06769753,0.00006615,9.28,5.07491112,3.19633150,2.97350430,2.98903823,3.94739127,5.21035719,2.54517508,3.92983294,3.42188883,3.69501591,15.17147732,0.00010544,-1.64966774,-2.03940129,-0.38973343,5.88042259,0.01592737,-15.37223053,-19.81542587,-4.44319534,8.82189465,1.12,3.40,-0.00316168,0.75976485,-15.20975590,7.39333344,-7.99655533,2.02778435,-5.70950460,1.29191267,7.86756134,2.19478250,4.36180973,11.47659492,0.00073535,0.00345313,0.40334213,-8.74730206,0.92839897,-8.08597946,0.72945035,-15.50876331,2.89761329,13.63119793,2.67705250,2.95401669,4.42001009,0.03579710,0.02508739,5.52756834,-39.76600266,6.09174871,-1.48246455,0.00597684,-24.35119247,1.71813154,11.28469372,0.59305423,0.89114976,0.36037830,0.54844734,0.00261126,0.18389800,-19.51317787,6.22701406,2.63975120,0.07864610,-6.71551800,0.77759242,-4.17992926,0.17594974,3.20549369,4.78912926,0.02889631,0.03625875,18.05060577,-26.64146805,5.48938656,-6.39084435,0.24057613,-5.66678667,0.22782475,-7.62273073,0.24788693,-0.80906266,0.33357623,0.56370528,0.06615002,57.47426605,1.63793969,0.02587143,-1.02624857,0.00886008,3.60700822,0.11792764,-13.86801434,2.27048373,-1.37957358,1.47006416,0.22565374,0.00261126,0.18389800,-19.51317787,6.22701406,2.63975120,0.07864610,-6.71551800,0.77759242,-4.17992926,0.17594974,3.20549369,4.78912926,0.02889631,0.03625875,18.05060577,-26.64146805,5.48938656,-6.39084435,0.24057613,-5.66678667,0.22782475,-7.62273073,0.24788693,-0.80906266,0.33357623,0.56370528,0.06615002,57.47426605,1.63793969,0.02587143,-1.02624857,0.00886008,3.60700822,0.11792764,-13.86801434,2.27048373,-1.37957358,1.47006416,0.22565374,
-10.32,-1.55,7.00,0.23,117.00,124.00,7.00,2.52,96.00,11.22,0.69,0.18415236,0.74644965,2.11270857,-1.04089534,0.50060380,0.38693863,0.53406967,8.03,2.72583771,1.91493249,2.54871416,-0.75626004,-2.98744059,4.49953461,-2.70070505,2.09259081,-1.18402469,0.68300295,0.71510136,0.39798023,-1.91783392,-1.93331945,-0.01548554,0.01018693,0.91967625,3.63743401,3.70118403,0.06375002,0.00257355,1.15,3.33,-0.01824973,34.76425171,-4.92569590,1.06482637,2.01852679,0.17739378,-6.27032042,2.13979793,2.36794209,0.27298930,5.06131744,21.22116470,0.00000468,-0.01761656,14.25573635,-11.80530357,2.29659820,2.49166918,0.09409164,-10.12913799,1.67880189,1.60310209,0.05028840,4.07071590,11.40005016,0.00076587,-0.00377063,0.16513662,-13.51419067,0.93037540,7.39743233,0.19903220,-18.27538300,1.27968359,-10.21537113,0.64268035,0.97730792,0.57327509,0.44915858,-0.00413063,0.61150920,7.12792110,1.10441959,9.02179050,1.22046065,3.98273993,0.36352491,2.82603669,0.10692237,1.23848474,0.95018011,0.32993537,0.00651277,0.76123130,7.73368835,0.60461831,5.68726921,0.24900298,-3.32196426,0.10233455,-1.96445501,0.02155581,-0.25755978,0.04416719,0.83359042,0.04580162,35.92568970,5.21251488,0.34229410,-7.54461384,0.62815529,1.91561580,0.04337882,-2.27188063,0.07942194,-3.05583000,9.40488529,0.00222877,-0.00413063,0.61150920,7.12792110,1.10441959,9.02179050,1.22046065,3.98273993,0.36352491,2.82603669,0.10692237,1.23848474,0.95018011,0.32993537,0.00651277,0.76123130,7.73368835,0.60461831,5.68726921,0.24900298,-3.32196426,0.10233455,-1.96445501,0.02155581,-0.25755978,0.04416719,0.83359042,0.04580162,35.92568970,5.21251488,0.34229410,-7.54461384,0.62815529,1.91561580,0.04337882,-2.27188063,0.07942194,-3.05583000,9.40488529,0.00222877,
-10.34,-1.42,11.00,0.38,117.00,124.00,8.00,2.52,131.00,12.00,0.69,2.92584801,2.72454071,3.70004320,2.92958307,3.07000375,17.30984306,0.00003478,7.36,4.96059942,1.92371452,3.10592008,2.33027434,0.64760870,4.12059355,2.00622511,5.22265530,2.82951856,3.01332927,16.22946167,0.00006085,-2.06512737,-1.87169981,0.19342759,1.82987916,0.17720655,-5.56661463,-5.08409452,0.48251998,0.16935222,1.15,3.33,-0.00315881,1.19504857,6.27503395,1.98294520,-4.94868326,1.22371757,-1.37704718,0.11846719,-6.49184942,2.35471010,4.04740953,15.57095242,0.00008565,0.00199384,0.21291091,9.21741009,1.63238335,-11.80610943,2.46240425,-5.17362261,0.51065457,-5.06610489,0.58560449,2.81281781,6.34640312,0.01193418,0.03672889,18.98793411,-10.46645832,0.67638183,-1.38668585,0.00849946,-15.39549065,1.10068035,0.31261516,0.00074202,-0.95891011,0.66882676,0.41367741,0.00033206,0.00468535,-4.07844067,0.42913827,0.26112953,0.00125383,1.63793731,0.07298584,2.54880571,0.10320964,2.94371963,6.37121534,0.01176963,0.02986175,19.43397713,-0.60496086,0.00452041,-8.10578251,0.61416829,-5.88552094,0.39003700,5.88332796,0.23431906,-0.61128634,0.30226013,0.58260538,0.03613361,26.29410553,-7.18968678,0.76571846,-6.45160818,0.54013956,-7.24888372,0.73032957,0.97702116,0.01725295,0.20641531,0.05046827,0.82230144,0.00033206,0.00468535,-4.07844067,0.42913827,0.26112953,0.00125383,1.63793731,0.07298584,2.54880571,0.10320964,2.94371963,6.37121534,0.01176963,0.02986175,19.43397713,-0.60496086,0.00452041,-8.10578251,0.61416829,-5.88552094,0.39003700,5.88332796,0.23431906,-0.61128634,0.30226013,0.58260538,0.03613361,26.29410553,-7.18968678,0.76571846,-6.45160818,0.54013956,-7.24888372,0.73032957,0.97702116,0.01725295,0.20641531,0.05046827,0.82230144,
-10.48,-1.08,6.00,0.18,117.00,125.00,7.00,2.55,81.00,11.29,0.69,5.76715088,4.41968393,5.64002228,6.35850430,5.54634047,34.17443848,0.00000001,9.47,6.71889830,6.27482986,4.93387890,7.56015539,4.45521975,5.04073668,2.71713114,4.14859152,6.38349915,5.35385656,30.75758362,0.00000004,-2.06183267,-2.61309314,-0.55126047,11.13358402,0.00095951,-2.51924896,-4.37663221,-1.85738325,1.52728951,1.13,3.19,0.01172360,10.11639977,-3.54783225,0.38957655,14.41345596,6.37948990,-1.43378413,0.07889641,-6.70310640,1.54277229,2.82673240,4.66764212,0.03099941,0.01369337,6.15786982,-2.36542821,0.06588654,21.85528564,5.17420816,-7.91915417,0.73361814,-14.62994957,2.99442124,3.10061502,4.72853899,0.02992593,0.04306806,15.71928978,-17.08586884,1.08513939,-7.40234375,0.14548129,-15.32766628,0.65689963,-22.97227478,2.37156439,0.90487367,0.35862640,0.54942079,0.00792922,1.62835944,-1.57860100,0.03913785,14.86249638,2.39367723,-9.94712734,1.63864625,-5.33940268,0.27573296,4.17333746,7.79735231,0.00534319,0.01131377,1.65541458,-7.67759657,0.42944849,5.90789843,0.19354409,-11.44248772,0.87483209,-10.21877003,0.41951904,4.22253847,8.55894089,0.00352469,0.00778774,0.71954089,-8.60091400,0.64559406,-8.23959732,0.51906818,-7.10126400,0.41294974,-11.47441578,1.40402901,4.93771172,17.01088715,0.00004061,0.00792922,1.62835944,-1.57860100,0.03913785,14.86249638,2.39367723,-9.94712734,1.63864625,-5.33940268,0.27573296,4.17333746,7.79735231,0.00534319,0.01131377,1.65541458,-7.67759657,0.42944849,5.90789843,0.19354409,-11.44248772,0.87483209,-10.21877003,0.41951904,4.22253847,8.55894089,0.00352469,0.00778774,0.71954089,-8.60091400,0.64559406,-8.23959732,0.51906818,-7.10126400,0.41294974,-11.47441578,1.40402901,4.93771172,17.01088715,0.00004061,
-10.50,-0.98,10.00,0.32,117.00,125.00,8.00,2.56,113.00,13.40,0.69,3.71608925,4.02387714,5.63475561,3.67768598,4.26310205,30.87642097,0.00000004,7.66,1.86302423,4.87734890,4.41743660,5.68168736,5.45269156,6.33866310,3.15263176,4.14665747,3.62349725,4.39045382,31.60845184,0.00000003,-2.24169707,-2.55456090,-0.31286380,3.99563074,0.04656123,-6.86134529,-6.92555618,-0.06421113,0.00318341,1.13,3.19,0.00193327,0.41221067,-5.26617813,1.28599930,-4.76596117,1.04510415,4.39882088,1.11266255,-1.00063825,0.05151102,3.71589041,12.08524513,0.00053253,0.00800693,3.18197584,-12.42995453,2.75097561,-11.75002384,2.26023054,2.64533758,0.12366974,-4.94288635,0.51656091,2.68763828,5.36936903,0.02071700,0.03907261,20.07613564,-47.05248260,12.77021122,-24.40386200,2.45270228,-17.04351044,1.26025712,-2.53078055,0.04468282,-0.05306524,0.00189067,0.96532710,0.00843904,2.81798601,-6.21713257,0.92766458,-11.27779102,2.10567760,-3.54996419,0.31885976,4.46539402,0.29473349,2.68152070,4.91820002,0.02682425,0.02984128,18.02594948,-22.74466515,5.89879560,-25.60953140,5.69393873,-7.16687250,0.53717703,-4.25597906,0.11392765,0.57151252,0.24540192,0.62045243,0.04119368,31.78835106,-9.29025459,1.18929493,-10.25883293,1.27048516,-3.73722148,0.18057722,-3.13328195,0.16528691,0.98704004,1.07329082,0.30048158,0.00843904,2.81798601,-6.21713257,0.92766458,-11.27779102,2.10567760,-3.54996419,0.31885976,4.46539402,0.29473349,2.68152070,4.91820002,0.02682425,0.02984128,18.02594948,-22.74466515,5.89879560,-25.60953140,5.69393873,-7.16687250,0.53717703,-4.25597906,0.11392765,0.57151252,0.24540192,0.62045243,0.04119368,31.78835106,-9.29025459,1.18929493,-10.25883293,1.27048516,-3.73722148,0.18057722,-3.13328195,0.16528691,0.98704004,1.07329082,0.30048158,
-9.49,-3.77,6.00,0.29,118.00,121.00,5.00,2.78,120.00,12.79,0.75,1.94625032,3.57215667,4.08024931,2.14493990,2.93589902,17.41518593,0.00003294,7.02,1.72410178,4.69867992,2.37640429,2.60958266,5.98291302,5.21418905,2.91883826,0.16637686,2.12783337,3.08790016,18.78613472,0.00001627,-1.03314435,-1.10211110,-0.06896676,0.18386997,0.66839000,-1.65598643,-2.94951558,-1.29352915,1.71126282,1.17,3.81,-0.00744467,7.48086882,6.29601765,2.24976301,-8.37055874,3.94568753,-13.51284218,12.85073376,2.48134589,0.38771698,4.95272970,26.27674675,0.00000036,-0.00400164,0.95096970,5.35003519,0.60978270,-13.13148880,3.37789154,-15.55614376,5.11927652,3.51495481,0.31257704,3.83463264,13.07866478,0.00031528,0.00818619,1.02458072,3.12869549,0.06557962,-23.62271881,2.67198443,-35.70220184,6.42951298,-8.63465309,0.60443151,2.32374454,4.26633835,0.03916041,0.00191674,0.17285396,-4.50269747,0.57849139,-7.55910492,1.12479162,-8.04906654,1.94913280,-12.15493679,2.59616733,2.73266506,6.07310104,0.01391147,0.01720632,7.02110624,1.23990488,0.02048361,-10.35921574,1.09150481,-15.74195766,3.03612638,-16.56020927,2.02038884,0.99299043,0.86794710,0.35177411,0.03436298,26.27512550,6.55400229,0.70315266,-3.59235978,0.18507573,-9.55949688,1.40345347,6.56120539,0.86105996,0.29270300,0.11212617,0.73781441,0.00191674,0.17285396,-4.50269747,0.57849139,-7.55910492,1.12479162,-8.04906654,1.94913280,-12.15493679,2.59616733,2.73266506,6.07310104,0.01391147,0.01720632,7.02110624,1.23990488,0.02048361,-10.35921574,1.09150481,-15.74195766,3.03612638,-16.56020927,2.02038884,0.99299043,0.86794710,0.35177411,0.03436298,26.27512550,6.55400229,0.70315266,-3.59235978,0.18507573,-9.55949688,1.40345347,6.56120539,0.86105996,0.29270300,0.11212617,0.73781441,
