x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_filled_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_filled_deveined_sur_L0 p-val
-6.43,3.61,0.00,0.11,81.00,116.00,6.00,7.77,141.00,16.01,0.78,0.54949713,1.28465962,1.88939369,0.93161970,1.16379249,4.20460653,0.04060190,5.66,1.56134331,1.08987534,1.97947359,1.09909379,0.39611816,0.63543516,2.06733680,1.38814366,0.91115260,1.23520494,4.53770161,0.03342675,-1.13374567,-2.01242971,-0.87868422,33.31987381,0.00000002,-1.15859258,-3.03368664,-1.87509406,3.59351158,6.28,0.00,0.00487669,4.82537413,4.03050900,1.38593853,-1.48196304,0.18593369,-5.41009235,3.09647226,-2.50704670,0.59493148,0.11261272,0.02045271,0.88631195,0.00683348,4.25074530,10.74948883,3.77343607,-0.23362133,0.00163462,-4.36591911,0.61805552,-3.09005332,0.37026966,-0.09524887,0.01245693,0.91115703,0.00008844,0.00016832,18.29722786,3.43834043,12.18200684,1.08817482,-11.98048210,1.10870957,0.06924520,0.00005611,1.23257387,1.83831120,0.17548911,0.01276561,11.96560287,6.63500214,1.96054709,0.39985090,0.00489852,-10.37969494,5.05857611,-2.40632010,0.15880318,-1.03850198,1.36879444,0.24232885,0.01024134,3.82172513,-0.50581300,0.00524528,6.11362362,0.58414412,-17.33190346,5.65475464,4.23174238,0.20270485,0.00003517,0.00000000,1.00000000,0.00706830,1.66391850,-3.86983156,0.36692026,3.45744157,0.25655773,-14.21046066,4.64151573,0.65713614,0.01297391,0.64211583,0.80758399,0.36907587,0.01276561,11.96560287,6.63500214,1.96054709,0.39985090,0.00489852,-10.37969494,5.05857611,-2.40632010,0.15880318,-1.03850198,1.36879444,0.24232885,0.01024134,3.82172513,-0.50581300,0.00524528,6.11362362,0.58414412,-17.33190346,5.65475464,4.23174238,0.20270485,0.00003517,0.00000000,1.00000000,0.00706830,1.66391850,-3.86983156,0.36692026,3.45744157,0.25655773,-14.21046066,4.64151573,0.65713614,0.01297391,0.64211583,0.80758399,0.36907587,
-6.32,3.38,0.00,0.15,81.00,116.00,7.00,7.70,150.00,14.69,0.78,-0.73864979,-0.53911835,-2.18648505,-1.42445588,-1.22217727,4.17288589,0.04136507,5.97,-1.74307466,-0.74178791,-0.05846758,-0.38696706,-1.25644350,-2.69996595,-1.37967813,-0.73712134,-1.35802436,-1.15012991,3.54125452,0.06018267,-1.07389820,-1.94363284,-0.86973459,33.42584229,0.00000002,-5.31080294,-6.15202188,-0.84121877,0.78412521,6.28,0.00,-0.00092306,0.15420283,0.44373828,0.01497798,-2.41311288,0.43968919,-3.01203513,0.85615748,-2.16650152,0.39626309,-0.89276123,1.14486051,0.28491449,0.00127911,0.13293701,1.52798343,0.06807742,-5.29871273,0.75206953,-7.06616545,1.44420671,0.41182536,0.00593289,-1.41702735,2.44193816,0.11848172,0.01567117,5.19371128,-6.66518450,0.41209957,-1.54157937,0.01581100,-22.02663231,3.38517594,7.18110561,0.57831776,-2.89905739,9.18517780,0.00250964,-0.00018527,0.00221487,0.11310093,0.00050338,-1.91393840,0.09946797,-7.42681980,2.28876996,5.62068987,0.76564163,-1.12465072,1.41872740,0.23392701,0.01521891,7.62661409,-9.48168850,1.66758597,-7.35623837,0.76422101,-7.93042326,1.06992984,18.31731987,3.43221569,-3.13897061,12.04231739,0.00054477,0.01647820,8.18378353,-9.80742645,2.13250470,-7.88966322,1.20907664,-10.49984837,2.29322004,2.33031607,0.14719547,-2.56624174,11.67296696,0.00066255,-0.00018527,0.00221487,0.11310093,0.00050338,-1.91393840,0.09946797,-7.42681980,2.28876996,5.62068987,0.76564163,-1.12465072,1.41872740,0.23392701,0.01521891,7.62661409,-9.48168850,1.66758597,-7.35623837,0.76422101,-7.93042326,1.06992984,18.31731987,3.43221569,-3.13897061,12.04231739,0.00054477,0.01647820,8.18378353,-9.80742645,2.13250470,-7.88966322,1.20907664,-10.49984837,2.29322004,2.33031607,0.14719547,-2.56624174,11.67296696,0.00066255,
-6.68,3.54,0.00,0.19,81.00,117.00,6.00,8.05,143.00,18.50,0.79,-0.51619953,1.39255738,-0.40788624,0.94970107,0.35454318,0.41873592,0.51773256,5.47,0.47452849,0.73888439,-0.95899117,2.30626774,0.49615794,-0.92166692,0.82228267,-1.57945681,1.01973331,0.26614910,0.22773090,0.63332732,-0.81093669,-1.61466241,-0.80372572,28.95182228,0.00000015,3.05203986,1.85873508,-1.19330490,1.98692012,6.28,0.00,0.00257583,1.43565178,-3.10517216,0.87726599,2.14191246,0.41417769,-2.60049272,0.76298106,-2.91419101,0.85725707,-0.17883934,0.05497934,0.81466822,0.00735585,5.27289963,-7.65317249,2.04763556,0.61574143,0.01218903,-7.72559834,2.07183266,-4.50099564,0.84104276,-0.99199504,1.43613267,0.23108165,0.02850359,20.75730515,-8.23738575,0.76042449,-0.74701142,0.00446912,-7.53772259,0.47893089,-8.01379776,0.87007105,-2.76194334,10.07162952,0.00155681,0.00533627,2.21611929,-5.25136518,1.30173171,3.45780134,0.38933620,-6.06545544,1.83088839,-11.47844124,3.82973051,-0.54577291,0.40074643,0.52686483,0.01640661,10.54411507,-1.99225664,0.08761549,0.39454988,0.00266788,-4.00800228,0.32511714,-14.24926567,2.47081733,-1.61890662,3.81057644,0.05123970,0.01524670,8.37715626,-10.47231960,2.90718532,4.37219763,0.44394481,-0.19181493,0.00091159,-10.79267693,3.77289271,-0.84680009,1.51974368,0.21798020,0.00533627,2.21611929,-5.25136518,1.30173171,3.45780134,0.38933620,-6.06545544,1.83088839,-11.47844124,3.82973051,-0.54577291,0.40074643,0.52686483,0.01640661,10.54411507,-1.99225664,0.08761549,0.39454988,0.00266788,-4.00800228,0.32511714,-14.24926567,2.47081733,-1.61890662,3.81057644,0.05123970,0.01524670,8.37715626,-10.47231960,2.90718532,4.37219763,0.44394481,-0.19181493,0.00091159,-10.79267693,3.77289271,-0.84680009,1.51974368,0.21798020,
-6.56,3.11,0.00,0.25,81.00,117.00,7.00,8.02,156.00,14.55,0.76,-0.00893960,0.62307298,0.04320066,0.57970762,0.30926040,0.23775804,0.62594818,6.33,-0.63814622,0.92167222,-1.93041110,0.31884676,0.62415767,1.65074384,0.71533030,-0.27808234,0.58128333,0.21815878,0.11435441,0.73531901,-0.82625461,-1.65697908,-0.83072448,31.90731621,0.00000004,-0.23361643,0.51594144,0.74955785,0.44628364,6.28,0.00,-0.01144469,21.64380264,1.44375145,0.14482002,4.47890711,1.38294864,7.19957447,4.46592665,0.92636776,0.06616935,3.01892328,11.95224094,0.00057138,-0.01344538,13.28257656,5.67650414,0.84932059,6.70143795,1.08844793,11.31369114,3.35005736,-3.73555255,0.43676224,2.96382761,9.66627598,0.00193584,-0.01257510,2.96991897,5.50452471,0.24967588,6.40936232,0.24166538,9.05376625,0.50790232,-15.92044926,2.52421069,1.72021770,2.87199259,0.09047915,-0.01313530,10.13370895,4.59838486,0.75323027,4.92589712,0.59622377,8.61014748,2.78429127,-12.95144749,3.67967486,2.76014137,7.73459816,0.00553042,-0.00775769,1.75488019,4.87117195,0.38970256,-3.29956555,0.13612959,12.92373848,2.51605034,-22.52744102,4.59708166,1.27044129,1.74684596,0.18660959,0.00289619,0.22337778,8.88584232,1.54666877,-4.06937695,0.28418466,5.93370104,0.64705002,-10.27967644,2.52927947,0.15759589,0.03889126,0.84370877,-0.01313530,10.13370895,4.59838486,0.75323027,4.92589712,0.59622377,8.61014748,2.78429127,-12.95144749,3.67967486,2.76014137,7.73459816,0.00553042,-0.00775769,1.75488019,4.87117195,0.38970256,-3.29956555,0.13612959,12.92373848,2.51605034,-22.52744102,4.59708166,1.27044129,1.74684596,0.18660959,0.00289619,0.22337778,8.88584232,1.54666877,-4.06937695,0.28418466,5.93370104,0.64705002,-10.27967644,2.52927947,0.15759589,0.03889126,0.84370877,
-6.33,2.71,0.00,0.22,81.00,117.00,8.00,7.89,164.00,16.92,0.72,-0.48490214,-1.99304843,-1.70454180,-2.55041718,-1.68322730,8.75229931,0.00317262,5.68,-1.54333568,-1.71194720,-0.77987629,-2.44182491,-1.24911451,0.41383034,-2.95241094,-1.04816413,-2.58012605,-1.54211962,7.07698107,0.00794696,-0.95512885,-1.79325664,-0.83812779,35.65091324,0.00000001,-0.50992519,-1.93350041,-1.42357528,2.69789195,6.28,0.00,0.00089027,0.15873770,0.47156024,0.01874373,0.87359297,0.06373981,4.28041887,1.91341782,2.17383480,0.44150662,-2.02409315,6.51241732,0.01087661,-0.00197156,0.34946132,-1.18444884,0.04525518,6.62503815,1.30149007,8.07777309,2.08947587,2.91167688,0.32469064,-1.40917075,2.67356277,0.10237707,-0.00971254,2.20065284,-3.26529789,0.10911589,16.67901421,2.03245115,20.70908165,3.30069995,-3.77711725,0.17647484,-0.75764632,0.69198036,0.40571226,-0.00249902,0.44909045,0.46987522,0.00959547,7.61981916,1.74698973,4.39035797,0.88635397,-8.69997692,2.03301311,-1.23092401,1.88355792,0.17027224,-0.00910751,2.99898863,-6.89119864,0.96718460,9.52893162,1.40801978,9.25539684,1.60009110,-9.96652508,1.11571527,-0.63119537,0.53463227,0.46485616,-0.00855281,2.41976261,-4.90588570,0.58562529,2.66390705,0.15128747,9.25619888,1.95597064,1.04359663,0.03241077,-1.07964063,2.26758265,0.13245669,-0.00249902,0.44909045,0.46987522,0.00959547,7.61981916,1.74698973,4.39035797,0.88635397,-8.69997692,2.03301311,-1.23092401,1.88355792,0.17027224,-0.00910751,2.99898863,-6.89119864,0.96718460,9.52893162,1.40801978,9.25539684,1.60009110,-9.96652508,1.11571527,-0.63119537,0.53463227,0.46485616,-0.00855281,2.41976261,-4.90588570,0.58562529,2.66390705,0.15128747,9.25619888,1.95597064,1.04359663,0.03241077,-1.07964063,2.26758265,0.13245669,
-7.32,3.45,0.00,0.21,81.00,118.00,6.00,8.74,138.00,16.24,0.77,-1.36356843,0.10412878,-1.54255188,-1.57568014,-1.09441793,3.50725412,0.06142285,5.83,-1.72897887,-2.92905116,-0.13487959,1.28033018,-0.60763967,-0.53353584,-1.67202961,-0.58090419,-1.59092987,-0.94323570,2.52332044,0.11252538,-0.46251163,-1.26941264,-0.80690098,32.38502121,0.00000003,-2.74508142,-0.43159971,2.31348181,6.19382334,6.28,0.00,0.00106198,0.21538575,-5.68249416,2.59375381,7.02255869,3.93063092,-0.00788670,0.00000000,2.84889054,0.72329295,-1.43676734,3.12977791,0.07721284,-0.00052738,0.02382251,-10.73253822,3.53282595,8.69116402,2.13015628,-0.65901583,0.01323473,2.34174800,0.19979149,-1.03861260,1.38128233,0.24019367,0.00791088,1.38850725,-29.57638741,8.51329994,-12.07901669,1.01378679,2.10537910,0.03243182,1.89774334,0.04232087,-2.04842973,4.81118107,0.02853081,0.00886929,5.39819288,-8.89132309,3.29046702,-9.70500469,2.70436645,-7.47736502,2.45353031,-0.29780343,0.00234227,-2.70207858,8.66076565,0.00333483,0.00134832,0.06215320,-9.38575935,1.69719529,-11.44787598,1.92240798,-13.36433887,3.15594244,-5.46936989,0.31786016,-1.15585637,1.69603062,0.19314107,-0.01234834,4.79508781,3.13684607,0.22761525,-9.75450611,1.92815363,-1.07854533,0.02524344,-2.42952681,0.16684008,-0.11767323,0.02556164,0.87301142,0.00886929,5.39819288,-8.89132309,3.29046702,-9.70500469,2.70436645,-7.47736502,2.45353031,-0.29780343,0.00234227,-2.70207858,8.66076565,0.00333483,0.00134832,0.06215320,-9.38575935,1.69719529,-11.44787598,1.92240798,-13.36433887,3.15594244,-5.46936989,0.31786016,-1.15585637,1.69603062,0.19314107,-0.01234834,4.79508781,3.13684607,0.22761525,-9.75450611,1.92815363,-1.07854533,0.02524344,-2.42952681,0.16684008,-0.11767323,0.02556164,0.87301142,
-7.10,2.97,0.00,0.31,81.00,118.00,7.00,8.61,148.00,16.22,0.70,2.65238023,1.64160228,1.93243659,2.43948650,2.16647649,10.82542610,0.00103984,6.57,1.66037917,1.06229806,2.53797507,0.69134349,1.56973338,3.58863878,2.29228020,3.27061272,2.39385724,2.11645007,9.96447754,0.00164900,-0.51226586,-1.40556824,-0.89330244,42.08581161,0.00000000,3.07015467,4.18831730,1.11816263,1.24367392,6.28,0.00,-0.00982004,14.64455700,6.78102827,2.93613100,1.80881298,0.20722952,0.00490179,0.00000000,2.08204985,0.30709103,4.57477188,25.22380447,0.00000062,-0.01151367,8.96794891,9.52055073,2.19976306,1.29500449,0.03744884,2.89605832,0.20215669,2.55329633,0.18791442,4.42264748,19.81730461,0.00000959,-0.01288367,2.89218426,7.53849173,0.43430778,2.46554303,0.03315135,30.10247612,5.20902157,-1.53621256,0.02179472,3.47285628,10.85978222,0.00102116,-0.00032956,0.00581861,1.48576832,0.07173519,-1.27368307,0.03640790,8.06529713,2.22861218,-6.41584539,0.82374942,2.18008780,4.40161467,0.03618323,0.00314451,0.26540604,3.36482811,0.17117609,-4.67920685,0.25202772,12.02364540,2.00475454,4.07475853,0.13843659,1.68648505,2.83362913,0.09265634,0.01810336,8.17503643,7.16659689,0.94237381,-2.77179623,0.12350725,10.49026012,1.89442289,9.64631462,2.08624625,0.71345842,0.74668044,0.38775950,-0.00032956,0.00581861,1.48576832,0.07173519,-1.27368307,0.03640790,8.06529713,2.22861218,-6.41584539,0.82374942,2.18008780,4.40161467,0.03618323,0.00314451,0.26540604,3.36482811,0.17117609,-4.67920685,0.25202772,12.02364540,2.00475454,4.07475853,0.13843659,1.68648505,2.83362913,0.09265634,0.01810336,8.17503643,7.16659689,0.94237381,-2.77179623,0.12350725,10.49026012,1.89442289,9.64631462,2.08624625,0.71345842,0.74668044,0.38775950,
-6.84,2.45,0.00,0.34,81.00,118.00,8.00,8.50,155.00,14.93,0.69,-1.29353034,1.25163841,1.05069494,-0.45361066,0.13879809,0.04420491,0.83352017,6.59,1.43273556,0.09937000,1.31357181,3.38844585,0.13258658,-0.62991220,-0.99417067,-1.57063663,-0.45538655,0.30154303,0.20132071,0.65376492,-0.61564368,-1.62126303,-1.00561929,59.28797531,0.00000000,-2.99252582,-3.62649322,-0.63396752,0.34888455,6.28,0.00,-0.00003675,0.00016657,-4.84366655,1.47934926,2.02682996,0.25702465,7.35302925,4.22758055,8.29269028,4.81092501,-0.18491343,0.04072750,0.84011044,0.00179521,0.21691549,-8.83102417,1.88329661,8.40925407,1.57017803,12.67621422,3.85295939,10.17484665,2.96879101,-0.50851738,0.26068208,0.60977715,0.01260549,2.75416040,-10.24948025,0.79868656,15.56131172,1.31453097,18.77431107,2.01561403,-0.64589161,0.00390414,-1.43241072,1.83785129,0.17554307,-0.00459681,1.13784468,4.87078285,0.77485389,13.57932091,4.15438652,15.79192162,8.58696842,-1.27076626,0.03249791,0.81769127,0.62238938,0.43036853,0.00978278,2.59485531,2.70299673,0.11155342,25.59697342,7.61920786,18.93878746,5.02418470,-5.05819273,0.21546850,-1.24418092,1.55780292,0.21231181,0.02309991,13.41090965,9.01372051,1.50200629,21.10121346,7.21147823,9.16948795,1.45835078,4.02699375,0.36628306,-1.60525775,3.80871654,0.05129638,-0.00459681,1.13784468,4.87078285,0.77485389,13.57932091,4.15438652,15.79192162,8.58696842,-1.27076626,0.03249791,0.81769127,0.62238938,0.43036853,0.00978278,2.59485531,2.70299673,0.11155342,25.59697342,7.61920786,18.93878746,5.02418470,-5.05819273,0.21546850,-1.24418092,1.55780292,0.21231181,0.02309991,13.41090965,9.01372051,1.50200629,21.10121346,7.21147823,9.16948795,1.45835078,4.02699375,0.36628306,-1.60525775,3.80871654,0.05129638,
-6.81,2.09,0.00,0.22,81.00,118.00,9.00,8.61,154.00,17.47,0.71,-0.59716094,1.02136230,1.13143706,-0.13050693,0.35628286,0.37369373,0.54115123,5.82,0.95804870,-1.25835001,1.32132542,0.61085522,0.60300875,1.49809837,-0.84035808,1.25663936,-0.22753567,0.43531224,0.53675687,0.46397066,-0.75504714,-1.84479082,-1.08974361,69.38143921,0.00000000,0.26201606,-1.19652522,-1.45854127,2.17367005,6.28,0.00,-0.00829872,13.44832039,-8.17941761,5.49321508,-0.79703879,0.05173223,0.97779584,0.09733686,-2.71208024,0.67002463,2.44069886,9.23198032,0.00244693,-0.00706103,4.34303379,-17.42523575,9.48844910,-2.61602592,0.19665796,3.00811982,0.28080124,-3.15274429,0.36888200,1.75563681,4.02107811,0.04523398,0.00860712,1.66279137,-38.84110260,14.85271263,-1.67498505,0.01968501,2.68896222,0.05351525,0.59068185,0.00414138,-0.73817199,0.63196397,0.42684542,-0.00789626,4.29890442,-3.89943171,0.63591993,-10.14594173,2.96951604,1.37397981,0.08322047,5.60372400,0.80867195,1.77869046,3.77048635,0.05247622,-0.00114914,0.04542092,-10.98616982,2.33614564,-13.60468769,2.72759509,2.32329726,0.09584133,1.51881230,0.02467834,0.45608884,0.26529220,0.60663391,0.00686581,1.48311448,-6.53984785,0.98980409,-2.89854407,0.17041439,4.21973658,0.38666877,3.04450941,0.26209435,-0.25927958,0.12446829,0.72432051,-0.00789626,4.29890442,-3.89943171,0.63591993,-10.14594173,2.96951604,1.37397981,0.08322047,5.60372400,0.80867195,1.77869046,3.77048635,0.05247622,-0.00114914,0.04542092,-10.98616982,2.33614564,-13.60468769,2.72759509,2.32329726,0.09584133,1.51881230,0.02467834,0.45608884,0.26529220,0.60663391,0.00686581,1.48311448,-6.53984785,0.98980409,-2.89854407,0.17041439,4.21973658,0.38666877,3.04450941,0.26209435,-0.25927958,0.12446829,0.72432051,
-7.71,3.24,0.00,0.21,81.00,119.00,6.00,9.19,149.00,16.30,0.73,1.43543816,-0.71210331,-0.14120768,-0.39277002,0.04733929,0.00553824,0.94069314,6.35,0.67164981,-0.60781157,2.91998291,0.49277830,-1.27949584,0.26264834,0.23704883,-0.17084919,-0.36488247,0.23987868,0.13696584,0.71140328,-0.19012664,-1.08221173,-0.89208508,42.44314957,0.00000000,-2.51143003,-3.25713634,-0.74570632,0.58763623,6.28,0.00,-0.00226796,0.82852733,-4.11482716,1.14671683,-3.19372892,0.68540013,-4.64234686,1.80993235,3.61349154,0.98113662,0.58244687,0.43367529,0.51035946,-0.00186705,0.25073138,-2.59436464,0.17365865,-1.88427067,0.08420083,-0.02815404,0.00000000,8.13914108,2.03035378,0.29150677,0.09150714,0.76233970,-0.00289382,0.15606365,-15.12817860,1.87017453,12.77335453,0.95191681,-0.58175087,0.00214275,12.78526402,1.61483014,0.22673509,0.04955110,0.82389675,-0.00164437,0.15504402,2.38003993,0.19702955,1.74499190,0.07311887,-1.30270398,0.06226667,6.38753033,0.87369037,0.34618723,0.11884040,0.73037613,-0.00662528,1.27108443,-3.06633925,0.15330473,2.05931425,0.05262566,-10.65236473,1.69764817,23.80837440,5.09948921,0.86431050,0.80292231,0.37046068,-0.01033649,2.82787013,-3.09506059,0.18648338,-0.01523168,0.00000000,1.86726344,0.06364895,7.42631435,1.31198967,0.79386526,0.98097938,0.32222333,-0.00164437,0.15504402,2.38003993,0.19702955,1.74499190,0.07311887,-1.30270398,0.06226667,6.38753033,0.87369037,0.34618723,0.11884040,0.73037613,-0.00662528,1.27108443,-3.06633925,0.15330473,2.05931425,0.05262566,-10.65236473,1.69764817,23.80837440,5.09948921,0.86431050,0.80292231,0.37046068,-0.01033649,2.82787013,-3.09506059,0.18648338,-0.01523168,0.00000000,1.86726344,0.06364895,7.42631435,1.31198967,0.79386526,0.98097938,0.32222333,
