label,tgtOri,surOri,tgtPh,surPh,tgtC,surC,onset,deltaOri,RT,response,correct
surround_45,90.00,45.00,0.00,0.00,0.0000,0.40,0.01,6.00,0.84,b,0
surround_45,90.00,45.00,0.00,0.00,0.0000,0.40,1.81,8.00,1.06,[],0
surround_45,90.00,45.00,0.00,0.00,0.0000,0.40,3.61,12.00,1.06,[],0
surround_45,90.00,45.00,0.00,0.00,0.0000,0.40,4.81,16.00,0.76,r,1
surround_45,90.00,45.00,0.00,0.00,0.0000,0.40,6.31,16.00,1.06,[],0
surround_45,90.00,45.00,0.00,0.00,0.0000,0.40,7.81,16.00,1.06,[],0
surround_45,90.00,45.00,0.00,0.00,0.0000,0.40,9.31,16.00,0.76,b,0
surround_45,90.00,45.00,0.00,0.00,0.0000,0.40,10.51,16.00,0.76,r,0
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,11.71,16.00,1.06,[],0
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,13.51,16.00,1.06,[],0
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,14.71,16.00,0.76,r,1
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,15.91,16.00,1.06,[],0
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,17.71,16.00,1.06,[],0
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,19.51,16.00,0.76,b,0
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,21.01,16.00,0.76,r,0
center_135,135.00,0.00,0.50,0.00,0.4000,0.40,22.51,16.00,1.07,[],0
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,24.01,16.00,1.07,[],0
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,25.81,16.00,1.06,[],0
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,27.31,16.00,0.76,r,0
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,28.81,16.00,0.76,b,1
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,30.31,16.00,1.07,[],0
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,31.81,16.00,1.07,[],0
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,33.02,16.00,0.77,r,0
surround_67,0.00,67.50,0.00,0.00,0.0000,0.40,34.52,16.00,1.07,[],0
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,35.72,16.00,1.06,[],0
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,37.22,16.00,0.76,r,1
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,38.72,16.00,0.76,r,1
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,40.22,16.00,1.06,[],0
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,42.02,16.00,1.06,[],0
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,43.22,16.00,0.79,r,0
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,44.72,16.00,0.77,r,0
center_67,67.50,0.00,0.50,0.00,0.4000,0.40,46.52,16.00,1.06,[],0
surround_157,0.00,157.50,0.00,0.00,0.0000,0.40,48.32,16.00,1.06,[],0
