x,y,z,d,xv,yv,zv,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L0 p-val
0.00,0.00,20.00,0.72,126.00,142.00,15.00,nan,25.89,0.52,2.14217019,1.86764467,2.41650987,2.23421288,2.16513443,30.05901146,0.00000005,3.71,0.00000008,1.00204444,0.54753691,-0.45450747,16.30932426,0.00006922,2.59320259,1.29933643,-1.29386616,3.73920822,2.78,5.38,0.01000451,38.69566727,-9.03296185,4.77651930,-0.21092413,0.00505068,-0.56154102,0.04040543,-3.57840848,1.10609865,-1.16254151,3.12629890,0.07736244,0.01980268,44.80382156,2.22607112,0.19403724,2.47094131,0.20832044,-4.76501942,1.11323237,0.72122794,0.02620967,-1.18763423,3.57515574,0.05895694,0.02936807,33.90395737,0.30082053,0.00339452,2.84728479,0.41285831,-5.83834219,2.19915295,2.88179111,0.28980702,0.10641341,0.04151213,0.83859662,0.00958708,28.97535133,-3.07185674,0.62817544,1.01564562,0.11312810,-2.58266783,1.13121045,-8.50431824,6.63901567,-0.21858539,0.13248919,0.71594676,0.01357141,28.36619186,-7.98332882,1.53918278,-1.59156334,0.10307967,-6.34048557,1.80340326,-7.21118593,1.30504465,-0.27157006,0.20440628,0.65129169,0.01780505,17.14958954,2.65732694,0.07094116,6.99710083,0.80555457,-2.09329891,0.10185172,9.32413197,1.38317847,0.64127183,1.40030456,0.23697145,0.00958708,28.97535133,-3.07185674,0.62817544,1.01564562,0.11312810,-2.58266783,1.13121045,-8.50431824,6.63901567,-0.21858539,0.13248919,0.71594676,0.01357141,28.36619186,-7.98332882,1.53918278,-1.59156334,0.10307967,-6.34048557,1.80340326,-7.21118593,1.30504465,-0.27157006,0.20440628,0.65129169,0.01780505,17.14958954,2.65732694,0.07094116,6.99710083,0.80555457,-2.09329891,0.10185172,9.32413197,1.38317847,0.64127183,1.40030456,0.23697145,
0.00,0.00,21.00,0.62,126.00,142.00,16.00,nan,25.14,0.55,2.56962776,2.12720132,2.31408882,2.51901388,2.38248301,35.47202682,0.00000000,3.76,0.00000001,1.13553905,0.68320954,-0.45232952,15.49861813,0.00010384,1.42931020,0.99431092,-0.43499926,0.62083161,2.80,5.20,0.00971831,35.52526093,-6.43838167,2.36093593,1.84836018,0.37692475,0.95057768,0.11253758,0.73316652,0.04512577,-0.89019179,1.78343689,0.18205080,0.01523672,25.33451653,3.61166763,0.48798534,-3.66990304,0.43900946,0.99473524,0.04631563,0.83852762,0.03383292,-0.17408207,0.07332740,0.78661169,0.02229970,18.72870827,3.10323405,0.34914669,2.05580401,0.20624927,2.09779835,0.27204037,-3.66367054,0.44881576,0.84859371,2.53170300,0.11191560,0.00903780,24.91970825,-3.68231559,0.87350959,-0.46053275,0.02249762,3.70184970,2.24901009,-0.49985877,0.02215572,0.07355843,0.01449695,0.90418940,0.01033468,15.83539200,-1.65554547,0.06372527,-3.76655483,0.55557096,0.87415075,0.03301023,1.59833837,0.06176761,0.55977577,0.83592165,0.36080000,0.01724882,15.67145252,-12.90552235,1.62974000,-0.06487294,0.00006779,9.90240192,2.22009873,4.70878410,0.34347776,0.91528386,2.77764845,0.09592120,0.00903780,24.91970825,-3.68231559,0.87350959,-0.46053275,0.02249762,3.70184970,2.24901009,-0.49985877,0.02215572,0.07355843,0.01449695,0.90418940,0.01033468,15.83539200,-1.65554547,0.06372527,-3.76655483,0.55557096,0.87415075,0.03301023,1.59833837,0.06176761,0.55977577,0.83592165,0.36080000,0.01724882,15.67145252,-12.90552235,1.62974000,-0.06487294,0.00006779,9.90240192,2.22009873,4.70878410,0.34347776,0.91528386,2.77764845,0.09592120,
0.00,0.00,18.00,0.60,126.00,143.00,15.00,nan,24.07,0.52,1.72645938,2.31641245,1.66487670,2.15834522,1.96652353,19.89891815,0.00000915,4.14,0.00001438,0.78268057,0.28754070,-0.49513990,17.87124443,0.00003187,-0.50665647,0.41546994,0.92212641,1.81642616,2.78,5.38,0.00354094,3.74190164,2.77709508,0.34847975,-1.19037461,0.12399422,-5.50941992,2.99914432,-2.03023005,0.27478611,0.82185632,1.20611548,0.27238373,0.00770976,5.23851585,-5.33989859,0.86146247,2.98360896,0.23434335,-8.99801636,3.06210852,-5.22617579,1.06220222,0.68204755,0.90949899,0.34049230,0.01377526,5.79682398,2.46580696,0.17883222,1.67872059,0.11156405,-2.85502291,0.40866515,-3.04414630,0.25137633,0.99666321,2.83262753,0.09269883,0.00085840,0.18053858,-8.64445114,3.86554623,3.45758677,1.01854944,-2.55488014,0.86019385,0.22297512,0.00351413,1.73922300,6.51553202,0.01085055,0.00063804,0.04898557,-11.85310936,2.65135765,4.85331249,0.74870110,-2.70415163,0.25632492,3.89484549,0.29752979,1.81585097,7.13950968,0.00767071,0.00019995,0.00175120,-14.01550007,1.55177867,-5.80977249,0.43659508,-6.36644125,0.74086541,-3.48520803,0.15191627,1.93540061,10.02647305,0.00159272,0.00085840,0.18053858,-8.64445114,3.86554623,3.45758677,1.01854944,-2.55488014,0.86019385,0.22297512,0.00351413,1.73922300,6.51553202,0.01085055,0.00063804,0.04898557,-11.85310936,2.65135765,4.85331249,0.74870110,-2.70415163,0.25632492,3.89484549,0.29752979,1.81585097,7.13950968,0.00767071,0.00019995,0.00175120,-14.01550007,1.55177867,-5.80977249,0.43659508,-6.36644125,0.74086541,-3.48520803,0.15191627,1.93540061,10.02647305,0.00159272,
0.00,0.00,0.00,0.52,126.00,143.00,16.00,nan,26.58,0.61,1.55648434,0.68083721,1.15685356,1.11597466,1.12753749,9.57307816,0.00203252,3.42,0.00381151,0.96259618,0.40201586,-0.56058037,20.68532753,0.00000801,6.21544266,5.46718740,-0.74825501,1.70557904,2.80,5.20,0.00533234,12.52337074,-0.59724849,0.02374506,-0.82052225,0.08695716,-3.65840316,1.95163310,1.64218044,0.26532874,-0.66096205,1.15127063,0.28355840,0.00427505,2.34556413,-1.85533547,0.15145610,-3.13132286,0.37591276,-6.48786688,2.31828904,-1.93153489,0.21130052,0.43220371,0.53186119,0.46600691,0.00732685,2.40212393,1.33402205,0.07663613,-0.68152446,0.02696754,-8.77578545,5.65618086,-0.54715538,0.01191402,0.57907003,1.40062177,0.23691838,0.00551306,10.96161079,-2.98341274,0.67782527,0.08092208,0.00080838,-2.23106670,0.96568882,1.48942709,0.23297465,-0.30252877,0.29020783,0.59021479,0.00680821,8.23121357,8.81098747,2.16180229,-0.73624545,0.02538826,-3.66394162,0.69437701,3.29111004,0.31339139,-0.10112996,0.03266515,0.85661448,0.00577381,2.07931471,0.50785762,0.00296999,2.31950116,0.10210346,-6.62750149,1.17764151,8.15049648,1.21865940,0.62954026,1.55603433,0.21255717,0.00551306,10.96161079,-2.98341274,0.67782527,0.08092208,0.00080838,-2.23106670,0.96568882,1.48942709,0.23297465,-0.30252877,0.29020783,0.59021479,0.00680821,8.23121357,8.81098747,2.16180229,-0.73624545,0.02538826,-3.66394162,0.69437701,3.29111004,0.31339139,-0.10112996,0.03266515,0.85661448,0.00577381,2.07931471,0.50785762,0.00296999,2.31950116,0.10210346,-6.62750149,1.17764151,8.15049648,1.21865940,0.62954026,1.55603433,0.21255717,
0.00,0.00,0.00,0.47,126.00,143.00,17.00,nan,30.49,0.59,3.86929774,3.41669893,3.90665245,3.58509684,3.69443655,129.92344666,0.00000000,3.04,0.00000000,1.13198900,0.46433350,-0.66765553,28.05317497,0.00000024,0.70198095,-0.29748967,-0.99947059,2.65470243,2.81,5.05,0.01305075,104.22369385,-0.72493988,0.04869705,-3.30678844,1.96285725,-0.95384240,0.18431695,-2.11749196,0.61301994,-0.61372232,1.37905562,0.24055918,0.02223204,87.60808563,0.60613012,0.02238023,-8.25261974,3.60598731,1.14235878,0.09927073,-2.87782955,0.64791882,-0.00128745,0.00011079,0.99160398,0.03111337,57.95631409,-0.34839076,0.00700096,-8.51908302,5.62952566,3.07816982,0.93101990,-2.52463531,0.33873874,1.58211815,13.98888683,0.00019501,0.01308593,84.48336029,0.45132783,0.02123178,-6.37928057,6.98304462,-2.77815914,2.04842472,-0.88943446,0.11367850,0.36779809,0.58685970,0.44382815,0.01891111,87.07759094,-1.34416163,0.06895540,-8.13389587,4.25472546,-2.78290939,0.54931515,2.57831335,0.26373777,0.34962493,0.53556842,0.46445736,0.03018526,77.75048828,-1.66520548,0.04392683,-17.09028625,7.58067274,0.04149550,0.00010982,-0.56479102,0.00801665,1.05740011,6.00578642,0.01444012,0.01308593,84.48336029,0.45132783,0.02123178,-6.37928057,6.98304462,-2.77815914,2.04842472,-0.88943446,0.11367850,0.36779809,0.58685970,0.44382815,0.01891111,87.07759094,-1.34416163,0.06895540,-8.13389587,4.25472546,-2.78290939,0.54931515,2.57831335,0.26373777,0.34962493,0.53556842,0.46445736,0.03018526,77.75048828,-1.66520548,0.04392683,-17.09028625,7.58067274,0.04149550,0.00010982,-0.56479102,0.00801665,1.05740011,6.00578642,0.01444012,
0.00,0.00,18.00,0.51,126.00,143.00,18.00,nan,28.08,0.63,6.40846062,4.82202816,5.81873894,5.98814917,5.75934410,262.62017822,0.00000000,3.34,0.00000000,1.33640838,0.57972354,-0.75668484,36.16905975,0.00000001,4.50697422,3.20789623,-1.29907787,5.63651371,2.83,4.91,0.01631562,141.06297302,-3.65674829,1.07294536,-0.05279584,0.00039002,0.79602760,0.11115574,-1.99527168,0.47133932,0.33726326,0.36067110,0.54827837,0.02991732,138.01895142,-5.43816185,1.56350327,-3.41126347,0.53601146,-5.29746819,1.85719633,-1.32638502,0.11980979,0.73788041,1.86269045,0.17264085,0.04207324,90.74185181,-0.30206782,0.00451886,-1.21883965,0.09867705,-5.49870062,2.54393125,-5.67600632,1.46641481,2.83097315,38.35005188,0.00000000,0.01721881,126.21105957,-3.01573229,0.81751209,-0.37474552,0.02080038,-1.66261029,0.63298029,2.59751296,0.83630878,1.30834126,6.40708876,0.01152844,0.02316797,111.30265045,-1.06202567,0.03663250,-5.79713106,1.84059417,-3.71913958,0.83537203,3.87316036,0.50690693,1.63665295,9.99359035,0.00162111,0.03931886,113.32352448,-1.46191943,0.02905533,-0.94565368,0.01990479,-8.52202797,2.28820157,-3.56944704,0.27461061,2.34661722,25.40869713,0.00000056,0.01721881,126.21105957,-3.01573229,0.81751209,-0.37474552,0.02080038,-1.66261029,0.63298029,2.59751296,0.83630878,1.30834126,6.40708876,0.01152844,0.02316797,111.30265045,-1.06202567,0.03663250,-5.79713106,1.84059417,-3.71913958,0.83537203,3.87316036,0.50690693,1.63665295,9.99359035,0.00162111,0.03931886,113.32352448,-1.46191943,0.02905533,-0.94565368,0.01990479,-8.52202797,2.28820157,-3.56944704,0.27461061,2.34661722,25.40869713,0.00000056,
0.00,0.00,14.00,0.00,126.00,143.00,21.00,nan,35.17,0.64,2.36311483,1.55885172,2.23456097,2.63271379,2.19731045,48.27693176,0.00000000,2.97,0.00000000,2.14130306,1.69887316,-0.44242996,4.32957029,0.03834865,3.56604600,2.42943883,-1.13660717,6.07363224,0.00,0.00,0.00801545,38.91265106,2.75444937,0.69585586,0.97397560,0.16861466,2.06119537,0.85198873,0.89029616,0.10732049,-0.47125846,0.80484796,0.36987731,0.01534799,42.02766800,-8.41509533,4.33150768,-7.08712816,2.67685843,-1.65443218,0.20966104,2.89960194,0.66199356,-0.37478912,0.55604786,0.45604324,0.02959726,54.84890366,-4.45271397,1.19508064,2.38104272,0.45991933,-1.59562337,0.26161221,3.10995841,0.53769898,0.14656159,0.12559639,0.72312168,0.00880255,38.20597839,-3.41909742,1.21725631,0.54043597,0.05006511,-1.62073994,0.69671178,2.82746601,1.14785039,-0.09408717,0.03835009,0.84478410,0.01417422,49.52302551,1.43366408,0.07940375,0.07207664,0.00033669,-1.21586883,0.10611484,4.39605808,0.77619272,-0.34236190,0.51985610,0.47108216,0.02294268,45.51329422,1.57886302,0.03994864,-2.61047220,0.17915684,-4.79495621,0.85450023,-2.86997080,0.20942433,0.20086658,0.21955059,0.63949108,0.00880255,38.20597839,-3.41909742,1.21725631,0.54043597,0.05006511,-1.62073994,0.69671178,2.82746601,1.14785039,-0.09408717,0.03835009,0.84478410,0.01417422,49.52302551,1.43366408,0.07940375,0.07207664,0.00033669,-1.21586883,0.10611484,4.39605808,0.77619272,-0.34236190,0.51985610,0.47108216,0.02294268,45.51329422,1.57886302,0.03994864,-2.61047220,0.17915684,-4.79495621,0.85450023,-2.86997080,0.20942433,0.20086658,0.21955059,0.63949108,
0.00,0.00,0.00,0.40,126.00,144.00,15.00,nan,23.88,0.63,-0.08043426,0.33128539,-0.31457937,0.45885739,0.09878229,0.04668735,0.82897778,4.29,0.95661955,0.36020115,-0.21602209,-0.57622325,21.40326309,0.00000565,2.62867141,1.63332891,-0.99534243,2.18341589,2.80,5.21,0.00540442,8.15784168,-3.00197482,0.38112685,-3.15986252,0.81806600,-5.19163561,2.49243402,5.17870855,1.67364848,-1.74428177,5.08456945,0.02436882,0.01492971,18.50100708,4.10998631,0.48074105,-5.87403774,0.85553849,-3.57714939,0.45583755,5.06903172,0.94124800,-2.41788340,10.76546574,0.00107213,0.02461368,17.42484474,6.53252029,1.18160152,-2.45733237,0.22508174,-1.81906581,0.15626365,-2.66156745,0.18089327,-1.60507476,6.91678762,0.00867845,0.00595728,8.10880375,-2.34604907,0.26549301,-2.54641986,0.51521212,-2.11791825,0.55126673,4.18302965,1.16409266,-1.45924675,4.27800179,0.03888144,0.00728343,5.98473835,-6.21492195,0.68328035,-4.14541483,0.51202363,-2.19352794,0.15810682,15.67915726,4.51934814,-1.19126534,2.88054395,0.08998640,0.01471402,8.62364197,-17.97043991,2.38955545,-4.03906441,0.19766016,0.40771842,0.00287058,-5.12133646,0.30725494,-1.17368257,3.45392680,0.06341377,0.00595728,8.10880375,-2.34604907,0.26549301,-2.54641986,0.51521212,-2.11791825,0.55126673,4.18302965,1.16409266,-1.45924675,4.27800179,0.03888144,0.00728343,5.98473835,-6.21492195,0.68328035,-4.14541483,0.51202363,-2.19352794,0.15810682,15.67915726,4.51934814,-1.19126534,2.88054395,0.08998640,0.01471402,8.62364197,-17.97043991,2.38955545,-4.03906441,0.19766016,0.40771842,0.00287058,-5.12133646,0.30725494,-1.17368257,3.45392680,0.06341377,
0.00,0.00,4.00,0.36,126.00,144.00,16.00,nan,25.08,0.65,2.79849768,3.04979539,2.89808059,2.57845569,2.83120728,44.50481033,0.00000000,3.98,0.00000000,0.62632555,-0.09432103,-0.72064662,29.50773811,0.00000012,1.82770526,1.39389741,-0.43380794,0.34197539,2.80,5.21,0.00398940,5.14369059,-1.54829192,0.11732914,-1.04642212,0.10383005,1.75361848,0.32909250,5.30870771,2.03503323,1.45490706,4.09325886,0.04333686,0.00947904,8.57119465,3.62444711,0.42960915,5.07213831,0.73304856,2.90274096,0.34493947,3.13910389,0.41482174,1.19311535,3.01269007,0.08294243,0.00835920,2.29765153,-4.21003437,0.56108814,4.88905525,1.01835871,1.02805281,0.05702572,2.96240234,0.25620165,2.25226617,15.57021046,0.00008541,0.00610368,9.93136215,3.32812762,0.62350726,1.98498368,0.36532086,2.45103550,0.86149758,-0.06606562,0.00035851,1.24518573,3.63426733,0.05690591,0.00547361,3.90690255,-8.53464794,1.48944652,3.67497706,0.46513289,4.37568951,0.72720802,3.09075475,0.20299838,1.84903395,8.02149391,0.00472119,0.00676460,2.10713029,4.18382549,0.14969236,12.88646698,2.32574272,4.67454100,0.43248409,2.38243032,0.07686104,2.27447200,14.99519157,0.00011524,0.00610368,9.93136215,3.32812762,0.62350726,1.98498368,0.36532086,2.45103550,0.86149758,-0.06606562,0.00035851,1.24518573,3.63426733,0.05690591,0.00547361,3.90690255,-8.53464794,1.48944652,3.67497706,0.46513289,4.37568951,0.72720802,3.09075475,0.20299838,1.84903395,8.02149391,0.00472119,0.00676460,2.10713029,4.18382549,0.14969236,12.88646698,2.32574272,4.67454100,0.43248409,2.38243032,0.07686104,2.27447200,14.99519157,0.00011524,
0.00,0.00,11.00,0.47,126.00,144.00,18.00,nan,29.67,0.62,2.84228134,2.09774780,2.75664544,2.49631310,2.54824686,56.52019501,0.00000000,3.18,0.00000000,1.05630696,0.10379881,-0.95250809,50.77585220,0.00000000,-2.18705773,-3.70521283,-1.51815522,8.29239559,2.83,4.88,0.01109020,66.28610229,0.62302327,0.03173325,0.52291703,0.04323655,-1.49305439,0.39775649,-0.35511377,0.01517246,-1.13854003,4.18006277,0.04118003,0.01912875,57.52955246,4.50158787,1.09223497,-1.44791639,0.09847215,-5.34785604,1.92964137,-6.68088341,3.09686065,-0.63294411,1.39738071,0.23746124,0.02186161,25.28413200,-2.62805867,0.35176468,-3.22179151,0.71152401,-1.65963185,0.23917332,-10.78755093,5.46624804,1.03489220,5.28903294,0.02167827,0.01097576,52.84501648,2.80223846,0.72739822,-0.33866709,0.01750161,1.15107501,0.31266916,4.77045536,2.90683985,-0.32723784,0.41305757,0.52057823,0.01232024,32.22604370,5.55936432,1.02891350,-2.37710214,0.31687132,1.81904483,0.20464203,11.33988285,4.44876480,0.36233050,0.50150347,0.47901563,0.02170159,35.37262726,11.40146255,1.81370330,-0.78830135,0.01420882,3.87273860,0.48416328,-16.17083359,5.77632189,0.65868360,2.05119371,0.15241899,0.01097576,52.84501648,2.80223846,0.72739822,-0.33866709,0.01750161,1.15107501,0.31266916,4.77045536,2.90683985,-0.32723784,0.41305757,0.52057823,0.01232024,32.22604370,5.55936432,1.02891350,-2.37710214,0.31687132,1.81904483,0.20464203,11.33988285,4.44876480,0.36233050,0.50150347,0.47901563,0.02170159,35.37262726,11.40146255,1.81370330,-0.78830135,0.01420882,3.87273860,0.48416328,-16.17083359,5.77632189,0.65868360,2.05119371,0.15241899,
